idiom,instance,label,meaning,maxVote,gold_0,gold_1,AssignmentId,WorkerId,TimeMe
outside the lines,the child was coloring outside the lines in his coloring book,literal,not sticking to the rules,literal,literal,literal,"['32RIADZIS8KXP3F32IEY76ZY8BA4SQ', '3OS4RQUCRPV86XVQBDOM8LMPTDZFBQ']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[83.249, 148.876]"
over my dead body,"he smirked and said, 'over my dead body will you ever beat me in a race'",figurative,"in no way, under no circumstances",figurative,figurative,figurative,"['3TOK3KHVJ9YFAY5TXZVWQD972OV7OE', '3M68NM076XNZ3BJ46H78EUEGI0VR68']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[123.647, 59.048]"
pass away,our beloved grandmother passed away peacefully in her sleep,figurative,die,tie,figurative,literal,"['3RRCEFRB72SY8HY1RWS3HHPY4NM4BN', '37U1UTWH9B2M7P2SZW46Y8A7OVLR8U']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[52.175, 48.645]"
pieces of the same cake,she cut two pieces of the same cake to share with her friend,literal,things that have the same characteristics or qualities,tie,literal,figurative,"['39GHHAVOMV74Q0WDFO5KF58BCSVJ4N', '3SKEMFQBZJL0KLPX9CV9XWOTT3RK8U']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[111.002, 86.66]"
piss and vinegar,the container was accidentally full of piss and vinegar after a mix-up at the factory,literal,to self-reference someone who is in a bad mood and ready to fight.,tie,literal,discard,"['35K3O9HUART6D07AL4QC9TSAWABEFO', '3VJ40NV2QY328W20A2YXV91PRLOOT9']","['A1HKYY6XI2OHO1', 'A1I7H6RDJS4EKN']","[125.003, 2125.893]"
playing second fiddle,"in the orchestra, he was playing second fiddle to her during the performance",literal,to play a secondary or minor role with regards to someone else,literal,literal,literal,"['3RRCEFRB72SY8HY1RWS3HHPY4NM4BN', '37U1UTWH9B2M7P2SZW46Y8A7OVLR8U']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[52.175, 48.645]"
prick up ears,"when the speaker mentioned a new opportunity, the audience pricked up their ears",figurative,to start paying attention,figurative,figurative,figurative,"['30JNVC0ORP0FOZOLPL9C6VT1VSDHQ2', '3TS1AR6UQ6UL4LS0YWC63J0TAN47FS']","['A2LMQ4497NMK3S', 'AKQAI78JTXXC9']","[159.239, 113.325]"
pull a rabbit out of the hat,our team pulled a rabbit out of the hat by winning the game in the last minute,figurative,do something unexpected or surprising,figurative,figurative,figurative,"['33SA9F9TRDA8OMT5BT0CDHEARDYEWJ', '3PW9OPU9P60NS51MLLGQIQFRYX0217']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.421, 74.937]"
put damper on,the fire marshal put a damper on the event by adjusting the ventilation system,literal,to discourage someone from doing something that they want to,tie,ambiguous,literal,"['3SB5N7Y3OJKD0AOBOHXF6PQI3OYG00', '3DIP6YHAPS8XYLXNDQK6Z1BO96VE84']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[120.967, 52.012]"
put his heart into,"as a bizarre art installation, he put his heart into the project by placing a replica of a human heart in the center",literal,to be very enthusiastic and invest a lot of energy and hard work in something,literal,literal,literal,"['3SB5N7Y3OJKD0AOBOHXF6PQI3OYG00', '3DIP6YHAPS8XYLXNDQK6Z1BO96VE84']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[120.967, 52.012]"
put the cart before the horse,"by focusing on the design before understanding the requirements, they were putting the cart before the horse",figurative,to do things in the wrong order or sequence,figurative,figurative,figurative,"['31HQ4X3T38QTNBMO8ADFTN19UX3SL5', '3180JW2OTKSMMJ0DTTOUKXEPCOQJ5S']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[48.675, 79.492]"
put the clock back,"due to daylight saving time, we had to put the clock back an hour",literal,change to a lower level or earlier time.,literal,literal,literal,"['3L4D84MILF8Y2CK8UVP39UHFHXJHJ9', '33FOTY3KE210QNTOIE5WU3ODAOCC1P']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[127.917, 52.404]"
put the clock back,he wished he could put the clock back an hour to avoid the embarrassing situation,figurative,change to a lower level or earlier time.,tie,figurative,ambiguous,"['30JNVC0ORP0FOZOLPL9C6VT1VSDHQ2', '3TS1AR6UQ6UL4LS0YWC63J0TAN47FS']","['A2LMQ4497NMK3S', 'AKQAI78JTXXC9']","[159.239, 113.325]"
rabbit hole,"researching the topic, I went down the rabbit hole of conspiracy theories",figurative,mentally go somewhere surreal or strange,figurative,figurative,figurative,"['3YGXWBAF7GXHIMQ75WOYS1VGM8MC42', '3LRLIPTPE6PE39IC6AFNTNUOJRRKAY']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[115.33, 43.487]"
raise eyebrows,the instructor asked everyone to raised eyebrows at the meeting as a facial exercise,literal,to show surprise or disapproval by the expression on their face,literal,literal,literal,"['3LYA37P8I63JMJN4COFJOYEU19DBKL', '30BUDKLTXTBEB3ELFSD3NH1X7GZ5EY']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[103.787, 47.3]"
rats in the attic,"when they went up to clean, they found rats in the attic",literal,someone who is bit mad or that their behaviour is eccentric,literal,literal,literal,"['3L4D84MILF8Y2CK8UVP39UHFHXJHJ9', '33FOTY3KE210QNTOIE5WU3ODAOCC1P']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[127.917, 52.404]"
ready to drop,"after working for 12 hours straight, he looked ready to drop",figurative,to be extremely tired and nearly too exhausted to stay standing,figurative,figurative,figurative,"['3YGXWBAF7GXHIMQ75WOYS1VGM8MC42', '3LRLIPTPE6PE39IC6AFNTNUOJRRKAY']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[115.33, 43.487]"
recharge one's batteries,they plugged in their devices to recharge their batteries before leaving the house,literal,take a break or holiday to relax and regain one's vim and vigour,literal,literal,literal,"['3YGXWBAF7GXHIMQ75WOYS1VGM8M4CU', '3MHW492WWGTTLLLD2HJZ4N05T6PVMH']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[152.895, 31.362]"
red book,"after years of research, he finally found a red book of knowledge",figurative,"any document or publication, which is bound in red and serves as an official collection of rules, regulations, laws, or legal principles.",tie,literal,ambiguous,"['337RC3OW0LI9F33S25IK4ALGT1XLV3', '31LVTDXBLNQHMWMBTLDA3DWD8VKLRA']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[100.005, 56.233]"
red book,she found a red book on the shelf at the library,literal,"any document or publication, which is bound in red and serves as an official collection of rules, regulations, laws, or legal principles.",ambiguous,ambiguous,ambiguous,"['3QEMNNSB2DFO61E47QHGFJX8YAOD7N', '3GLB5JMZFDB7ZUP50TLALWA1XD7GDT']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[160.22, 66.441]"
red herring,the detective found a red herring in the suspect's alibi,figurative,something irrelevant that distracts you from something important,figurative,figurative,figurative,"['3EWIJTFFV4NFGWSKIM7R6M56Q8KE0I', '3907X2AHFGLQ9XKO6NRGJMXP1D72PC']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[49.498, 32.637]"
red herring,"while exploring the fish market, we found a red herring among the seafood",literal,something irrelevant that distracts you from something important,literal,literal,literal,"['308Q0PEVBOT9SVIJE1GBKC4RL5K9IX', '3SNLUL3WOK392OESXF8F8OJXFUPLUF']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[41.075, 83.204]"
ring fencing,the accountant was ring fencing the funds by placing them in a separate account with a unique password,literal,to create a separate legal entity through the way of off-shore accounting in order to protect some assets in a corporation,tie,figurative,literal,"['3ZAZR5XV0HYXLJEWQPEOMX8PN3PCZE', '3OWEPKL08PSXSD5HWKVJBO92CEQN7F']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[108.016, 66.468]"
ring fencing,the company decided to ring fencing the funds for the research department,figurative,to create a separate legal entity through the way of off-shore accounting in order to protect some assets in a corporation,figurative,figurative,figurative,"['3D4CH1LGEQ9VW4COODG8Z0RB6SS9G5', '39RP059MEX9EC7N7X0SZ3B6YQE8BMQ']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.477, 87.946]"
rip off,the plagiarized book seemed to rip off the cover of the original work,figurative,the act of stealing,figurative,figurative,figurative,"['3E13VNJ1N3BR3QFOAO1I56M8NTW1IG', '31QTRG6Q29TGAIDVZ8YBSQYUGSZYPM']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[147.3, 42.162]"
rip off,"with a strong pull, he managed to rip off the cover of the old book",literal,the act of stealing,literal,literal,literal,"['3W8CV64QJIF9W07Z8JYQK03CLS59H4', '33PPUNGG3OL1RL3F8M4JBS7BN4TRZ0']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[104.323, 76.872]"
rock the boat,"by questioning the company's policies, he rocked the boat a bit among his colleagues",figurative,to make trouble.,figurative,figurative,figurative,"['337RC3OW0LI9F33S25IK4ALGT1XLV3', '31LVTDXBLNQHMWMBTLDA3DWD8VKLRA']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[100.005, 56.233]"
roll the dice,she rolled the dice on that decision and hoped for the best,figurative,to gamble or take a chance on something or someone,tie,figurative,ambiguous,"['3ZAZR5XV0HYXLJEWQPEOMX8PN3PCZE', '3OWEPKL08PSXSD5HWKVJBO92CEQN7F']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[108.016, 66.468]"
rub shoulders,"during the crowded bus ride, he accidentally rubbed shoulders with the famous actress",literal,"to meet and spend time with people, especially when they are powerful or famous",literal,literal,literal,"['3JWH6J9I98TKUP87917ZGQVYV4HNB1', '3Z3ZLGNNSYA0URHMA0KA21SRCNRQ30']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[120.909, 50.118]"
second wind,"after a short break, the marathon runner found a second wind and continued running",figurative,another burst of energy when you had been too tired to finish,figurative,figurative,figurative,"['3D4CH1LGEQ9VW4COODG8Z0RB6SS9G5', '39RP059MEX9EC7N7X0SZ3B6YQE8BMQ']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.477, 87.946]"
see eye to eye,"during the staring contest, we were seeing eye to eye with her",literal,to agree fully with someone,literal,literal,literal,"['3EWIJTFFV4NFGWSKIM7R6M56Q8KE0I', '3907X2AHFGLQ9XKO6NRGJMXP1D72PC']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[49.498, 32.637]"
sink or swim,"when thrown into the deep end of the pool, it was a sink or swim situation for the inexperienced swimmer",literal,"having to do something alone, and their success or failure depends entirely on their own efforts",literal,literal,literal,"['3W8CV64QJIF9W07Z8JYQK03CLS59H4', '33PPUNGG3OL1RL3F8M4JBS7BN4TRZ0']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[104.323, 76.872]"
sit on the fence,"when it came to choosing a side, he was always sitting on the fence",figurative,delay or avoid making a decision or choice,figurative,figurative,figurative,"['382M9COHEXVVWI40GTLBVTTD6XNEUK', '3E337GFOLPOGL6GIPNZDH1MVBH9GNB']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S']","[125.714, 155.442]"
skating on thin ice,"despite the danger, they were skating on thin ice on the frozen lake",literal,to do something considered quite dangerous or risky,literal,literal,literal,"['36WLNQG78FQG0JVUG24GQ31PHCGEB3', '37C0GNLMHVJ5210ZOGCO95XC3Z4D6O']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S']","[116.321, 153.414]"
smell something fishy,"walking past the seafood market, I smelled something fishy in the air",literal,to have a suspicion that something is wrong,literal,literal,literal,"['3DBQWDE4YMEI59RY8RGMD4V6L8VN50', '3S96KQ6I92KB4ZBBKTKHKFPQN7ETDE']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[126.835, 45.423]"
smooth his ruffled feathers,the bird handler had to smooth his ruffled feathers before the photoshoot,literal,to make someone feel less angry or offended,tie,literal,ambiguous,"['37W3JXSD6MO6URAWBUC6KK6Q9P3WYG', '3EWIJTFFV4NFGWSKIM7R6M56Q8K0E4']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[146.281, 44.872]"
smooth sailing,"on a calm day at sea, the boat would experience smooth sailing without any turbulence",literal,easy progress without impediment or difficulty,literal,literal,literal,"['35K3O9HUART6D07AL4QC9TSAWABEFO', '3VJ40NV2QY328W20A2YXV91PRLOOT9']","['A1HKYY6XI2OHO1', 'A1I7H6RDJS4EKN']","[125.003, 2125.893]"
snake in the grass,she found a snake in the grass when she discovered her friend 's betrayal,figurative,a hidden army,figurative,figurative,figurative,"['3EWIJTFFV4NFGWSKIM7R6M56Q8KE0I', '3907X2AHFGLQ9XKO6NRGJMXP1D72PC']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[49.498, 32.637]"
snow under,the unexpected blizzard left her car snowed under with work to dig it out,literal,to bury or cover something or somebody in the snow (Literal meaning),literal,literal,literal,"['3IUZPWIU14NBAMLF7FBFBCRFBATWKK', '3ZDAD0O1THTP25GSBTLTEMSI3PRTXH']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[103.687, 52.675]"
spin a yarn,they spun a yarn together about their adventurous trip to the mountains,figurative,to tell a tale,figurative,figurative,figurative,"['3BDCF01OGDAQJXYX7G54B9PABI0LYD', '3Y54SXRO111XL1MX6OA6UFTE97ATUP']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[113.946, 31.328]"
stop by,"during our walk, we decided to stop by the store to take shelter from the sudden downpour",literal,to meet someone or go somewhere in a brief and informal manner,literal,literal,literal,"['30BXRYBRPKDK8WK71U8IYKBNJTPWHG', '31Q0U3WYD5VUE6YSRXXLEHWZ9DM71S']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[57.123, 70.349]"
straighten up and fly right,the pilot had to straighten up and fly right to avoid turbulence,literal,to get serious and stop acting absurd anymore.,literal,literal,literal,"['308Q0PEVBOT9SVIJE1GBKC4RL5K9IX', '3SNLUL3WOK392OESXF8F8OJXFUPLUF']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[41.075, 83.204]"
suited and booted,"he was suited and booted for the event, wearing a tailored suit and polished shoes",literal,formally dressed; well dressed,literal,literal,literal,"['3SUWZRL0METAU7EZKBN8FNFX3B6E6J', '3I7DHKZYG3G6HHEHA3X95ZMXJH9F5L']","['A2A6FH0F7LD9ND', 'A2H1QUGX0SOUMH']","[52.399, 420.147]"
take a leaf out of someone's book,"to press and preserve the leaf, I had to carefully take a leaf out of her book of botanical specimens",literal,implement actionable advice,literal,literal,literal,"['39GHHAVOMV74Q0WDFO5KF58BCSVJ4N', '3SKEMFQBZJL0KLPX9CV9XWOTT3RK8U']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[111.002, 86.66]"
take the edge off,"using a file, he took the edge off the situation by smoothing the sharp corners of the metal",literal,blunt the effect of,tie,discard,literal,"['3ZAZR5XV0HYXLJEWQPEOMX8PN3PCZE', '3OWEPKL08PSXSD5HWKVJBO92CEQN7F']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[108.016, 66.468]"
tall poppy,"she was a tall poppy among them, always standing out with her exceptional achievements",figurative,a privileged or distinguished person.,figurative,figurative,figurative,"['3QEMNNSB2DFO61E47QHGFJX8YAOD7N', '3GLB5JMZFDB7ZUP50TLALWA1XD7GDT']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[160.22, 66.441]"
tearing a strip off,the boss was tearing a strip off the fabric of our team's morale with his harsh criticism,figurative,to reprimand someone severely for doing something wrong,figurative,figurative,figurative,"['337RC3OW0LI9F33S25IK4ALGT1XLV3', '31LVTDXBLNQHMWMBTLDA3DWD8VKLRA']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[100.005, 56.233]"
that's going too far,"driving 200 miles for a cup of coffee, that's going too far for a simple pleasure",literal,to do something that is considered extreme or unacceptable,literal,literal,literal,"['3EWIJTFFV4NFGWSKIM7R6M56Q8KE0I', '3907X2AHFGLQ9XKO6NRGJMXP1D72PC']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[49.498, 32.637]"
that's going too far,insulting her family was that's going too far and crossed the line,figurative,to do something that is considered extreme or unacceptable,figurative,figurative,figurative,"['3DBQWDE4YMEI59RY8RGMD4V6L8VN50', '3S96KQ6I92KB4ZBBKTKHKFPQN7ETDE']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[126.835, 45.423]"
the ball is in your court,"after I hit the tennis ball over the net, the ball is in your court now",literal,the initiative for taking action lies with somebody,literal,literal,literal,"['3XUHV3NRV0EQVD5N5TL98KYAZWNH5M', '3RKNTXVS32ETP7T9LIS7M65SM514AS']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[65.204, 151.035]"
the brains behind,"she was the brains behind the project, coming up with innovative ideas",figurative,"used to refer to the person who originally invented a particular scheme, plan or idea",figurative,figurative,figurative,"['3TEM0PF1QLDAOQEKMRW704NLQWJ0DB', '3IRIK4HM3Q0VX9ULOKHDPZFUIZSC6N']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[96.687, 47.933]"
the devil is beating his wife,"in the theatrical performance, the actor playing Satan acted out a scene where the devil is beating his wife",literal,raining whereas the sun is shining.,literal,literal,literal,"['39GHHAVOMV74Q0WDFO5KF58BCSVJ4N', '3SKEMFQBZJL0KLPX9CV9XWOTT3RK8U']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[111.002, 86.66]"
the other side of the coin,"before making a decision, it's important to consider the other side of the coin and weigh the pros and cons",figurative,"the opposite aspect, contrasting arguments.",figurative,figurative,figurative,"['3R5F3LQFVI0YU8BZGUNFHX26CH8ZOY', '34MAJL3QPK3T5MUOC3DXZYRMGVC43Z']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[47.996, 27.061]"
to the core,the powerful earthquake had shaken to the core of the Earth,literal,totally,literal,literal,literal,"['37W3JXSD6MO6URAWBUC6KK6Q9P3WYG', '3EWIJTFFV4NFGWSKIM7R6M56Q8K0E4']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[146.281, 44.872]"
top dog,"after years of hard work, she became the top dog in her company",figurative,"The term ""top dog"" means a person, group, or thing in a position of power, particularly after struggling or winning a grueling competition.",figurative,figurative,figurative,"['3W8CV64QJIF9W07Z8JYQK03CLS59H4', '33PPUNGG3OL1RL3F8M4JBS7BN4TRZ0']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[104.323, 76.872]"
tore your hair out,you accidentally tore your hair out while removing the tangled hairbrush,literal,to be extremely agitated or distressed about something,literal,literal,literal,"['3KRVW3HTZ31DTT498MEUT0GYU2TSM7', '3X73LLYYQHUUL2BT9THV21YWQHMHNB']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[101.172, 52.15]"
tore your hair out,you tore your hair out trying to solve that complex math problem,figurative,to be extremely agitated or distressed about something,figurative,figurative,figurative,"['3K3R2QNK8RJE1MDJ8I5P3FS2F0B9U9', '3HL8HNGX4LHPI4GTDTAQHFRZ5DS9F6']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[37.079, 153.593]"
turn the tables,"during the furniture rearrangement, they turned the tables on her to make more space",literal,change your position with respect to someone else.,ambiguous,ambiguous,ambiguous,"['3SUWZRL0METAU7EZKBN8FNFX3B6E6J', '3I7DHKZYG3G6HHEHA3X95ZMXJH9F5L']","['A2A6FH0F7LD9ND', 'A2H1QUGX0SOUMH']","[52.399, 420.147]"
two peas in a pod,"the twins were dressed identically, looking like two peas in a pod",literal,practically identical in appearance,tie,ambiguous,figurative,"['3XUHV3NRV0EQVD5N5TL98KYAZWNH5M', '3RKNTXVS32ETP7T9LIS7M65SM514AS']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[65.204, 151.035]"
under fire,the politician was under fire from the crowd for his controversial statements,figurative,being shot at,figurative,figurative,figurative,"['3P1L2B7ADH5EPJUV1TW69IR8X80LO1', '37FMASSAYS7SGOXGCLU7BIZH95OBIA']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[100.216, 34.816]"
under the radar,he was working under the radar to avoid drawing attention to his project,figurative,"going unnoticed, avoiding unnecessary attention",figurative,figurative,figurative,"['3E7TUJ2EGS2SKK2XMNF0TFOET0C9DV', '3IGI0VL64N04DJXGD6CLMAVX231ON7']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[141.766, 36.871]"
wag the dog,the politician was wagging the dog by creating a diversion from the scandal,figurative,to divert attention from something that is bad,figurative,figurative,figurative,"['3K3R2QNK8RJE1MDJ8I5P3FS2F0B9U9', '3HL8HNGX4LHPI4GTDTAQHFRZ5DS9F6']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[37.079, 153.593]"
walking on broken glass,he accidentally dropped a glass bottle and ended up walking on broken glass in the kitchen,literal,when a person is punished for something,literal,literal,literal,"['3F6KKYWMNRHD9M6RNXY5BGJYYPTND8', '37QW5D2ZRW2Y8425EL4BOIF3AX58S0']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[124.668, 63.569]"
wash dirty linen in public,they washed their dirty linen in public by arguing about their personal issues on social media,figurative,discuss publicly matters that one should keep private,figurative,figurative,figurative,"['3W8CV64QJIF9W07Z8JYQK03CLS59H4', '33PPUNGG3OL1RL3F8M4JBS7BN4TRZ0']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[104.323, 76.872]"
wash hands of,"after trying to help for months, they finally washed their hands of the situation and moved on",figurative,abandon taking responsibility for someone or something,figurative,figurative,figurative,"['3YGXWBAF7GXHIMQ75WOYS1VGM8MC42', '3LRLIPTPE6PE39IC6AFNTNUOJRRKAY']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[115.33, 43.487]"
water under the bridge,"despite their past disagreements, they decided to let it be water under the bridge and move forward",figurative,past events that are not important anymore,figurative,figurative,figurative,"['34T446B1CGU0JY86MV1WGY535W6C0M', '3JV9LGBJW9UY3RGUQ2ZQWQM01REOGY']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[108.273, 45.577]"
way around,he knows his way around computers and can fix any issue,figurative,"to find an alternative for something, someone or to perform a task",tie,figurative,literal,"['3RRCEFRB72SY8HY1RWS3HHPY4NM4BN', '37U1UTWH9B2M7P2SZW46Y8A7OVLR8U']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[52.175, 48.645]"
wet the baby's head,"after the birth of their child, they invited friends over to wet the baby's head with a small celebration",figurative,to have drink to celebrate the birth of a baby,figurative,figurative,figurative,"['382M9COHEXVVWI40GTLBVTTD6XNEUK', '3E337GFOLPOGL6GIPNZDH1MVBH9GNB']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S']","[125.714, 155.442]"
wheels fall off,"due to a manufacturing defect, the wheels fell off the toy car",literal,when a situation gets out of control and everything starts to go wrong,literal,literal,literal,"['30BXRYBRPKDK8WK71U8IYKBNJTPWHG', '31Q0U3WYD5VUE6YSRXXLEHWZ9DM71S']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[57.123, 70.349]"
when the chips are down,he always comes through when the chips are down and we need him the most,figurative,when a situation is urgent or desperate.,figurative,figurative,figurative,"['3E13VNJ1N3BR3QFOAO1I56M8NTW1IG', '31QTRG6Q29TGAIDVZ8YBSQYUGSZYPM']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[147.3, 42.162]"
when the chips are down,the poker game gets intense when the chips are down on the table,literal,when a situation is urgent or desperate.,literal,literal,literal,"['3DBQWDE4YMEI59RY8RGMD4V6L8VN50', '3S96KQ6I92KB4ZBBKTKHKFPQN7ETDE']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[126.835, 45.423]"
whole nine yards,"the fabric store required her to buy the fabric in bulk, so she went the whole nine yards",literal,"everything, all of something",literal,literal,literal,"['30JNVC0ORP0FOZOLPL9C6VT1VS9HQY', '37C0GNLMHVJ5210ZOGCO95XC3Z7D6R']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[127.313, 77.38]"
will never fly,"he proposed a risky investment, but we knew that idea will never fly with the board",figurative,there's no chance that something will work; to be unsuccessful,figurative,figurative,figurative,"['35GMH2SV3UX0JDK3K792WN1OOBZOEH', '3VP0C6EFSWC86V6C19BRSVK6CDX6M0']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[62.593, 57.684]"
wipe the slate clean,"after a long discussion, they wiped the slate clean together and started fresh",figurative,"to make a fresh start and forget all past offences, disagreements or mistakes",tie,ambiguous,figurative,"['30BXRYBRPKDK8WK71U8IYKBNJTPWHG', '31Q0U3WYD5VUE6YSRXXLEHWZ9DM71S']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[57.123, 70.349]"
wipe the slate clean,the teacher and student wiped the slate clean together after the lesson,literal,"to make a fresh start and forget all past offences, disagreements or mistakes",literal,literal,literal,"['3TK8OJTYMH1Z6OIQUXBRLRU0YBYPV5', '30IQTZXKA0MOMWJ1DRXJUBQD6EUX09']","['A290OV59Q76QC8', 'A2YO837C0O1E91']","[53.466, 45.91]"
wouldn't be seen dead,"she wouldn't be seen dead in that outfit, as it was completely out of style",figurative,to be too ashamed or embarrassed of something,figurative,figurative,figurative,"['3CPLWGV3M4F16WTABHT3PK0874EN9R', '34MAJL3QPK3T5MUOC3DXZYRMGVA43X']","['A1HKYY6XI2OHO1', 'AKQAI78JTXXC9']","[108.83, 111.134]"
wrapped up in cotton wool,she was always wrapped up in cotton wool by her overprotective parents,figurative,to be over-protected from dangers and risks,figurative,figurative,figurative,"['37W3JXSD6MO6URAWBUC6KK6Q9P3WYG', '3EWIJTFFV4NFGWSKIM7R6M56Q8K0E4']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[146.281, 44.872]"
yellow streak,the painting has a yellow streak running through the middle,literal,people who  have an inclination towards being fainthearted.,literal,literal,literal,"['33SA9F9TRDA8OMT5BT0CDHEARDYEWJ', '3PW9OPU9P60NS51MLLGQIQFRYX0217']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.421, 74.937]"
you can't have your cake and eat it,"at the cake decorating competition, participants can't have the cake and eat it as they must present their creations to the judges",literal,you can't have things both ways,literal,literal,literal,"['3K3R2QNK8RJE1MDJ8I5P3FS2F0B9U9', '3HL8HNGX4LHPI4GTDTAQHFRZ5DS9F6']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[37.079, 153.593]"
you can't have your cake and eat it,you can't have the cake and eat it when it comes to maintaining a high-paying job and having ample free time,figurative,you can't have things both ways,figurative,figurative,figurative,"['30JNVC0ORP0FOZOLPL9C6VT1VS9HQY', '37C0GNLMHVJ5210ZOGCO95XC3Z7D6R']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[127.313, 77.38]"
you can't teach an old dog new tricks,trying to convince my grandfather to use a smartphone was like teaching an old dog new tricks,figurative,you cannot make others change their habits,figurative,figurative,figurative,"['35GMH2SV3UX0JDK3K792WN1OOBZOEH', '3VP0C6EFSWC86V6C19BRSVK6CDX6M0']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[62.593, 57.684]"
