idiom,meaning,instance,label,assignment_0,assignment_1,assignment_2,gold_0,gold_1,gold_2,maxVote,review_noAgreement,review_maxVoteGptDiff,num_discard
bite tongue,to keep yourself from saying something that you really want to say,I had to bite my tongue to stop myself from screaming in pain,1,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 17.402, 'AssignmentId': '345LHZDEDD8SMKO3R94FC2PG7TL3U4', 'HITId': '3ULIZ0H1WPLC4IMFC2DNRDMDVY351V', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 46.228, 'AssignmentId': '39U1BHVTD17DM79ER4E5763EOFE3TD', 'HITId': '3ULIZ0H1WPLC4IMFC2DNRDMDVY351V', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}","{'WorkerId': 'AX8NXTT8QMGHC', 'WorkTimeInSeconds': 132.853, 'AssignmentId': '3DI28L7YXQUFNLD2E5BRKROGNLDE16', 'HITId': '3ULIZ0H1WPLC4IMFC2DNRDMDVY351V', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}",0,3,1,0,True,True,1
cut both ways,"have two different effects at the same time, usually one good and one bad.","His decision cut both ways, as it impacted people coming from different directions",1,"{'WorkerId': 'A1P3Z24Y6GRNVA', 'WorkTimeInSeconds': 42.724, 'AssignmentId': '3H8DHMCCWPRC1GLOQK6PJO2UWFHKDR', 'HITId': '36AZSFEY0JGUFAJMKQOP1NTLUYWBVR', 'HITTypeId': '3VU3J1KUFRFVJRVRP9M4MWPPXMFGTQ', 'gold': 2, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 41.128, 'AssignmentId': '3DY4FPOOAH4KI1Y57PFGQMUFQ7GVRG', 'HITId': '3NFWQRSHWTU1AU570XBZKCHWMG3GFQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}","{'WorkerId': 'AKQAI78JTXXC9', 'WorkTimeInSeconds': 88.38, 'AssignmentId': '37FMASSAYS7SGOXGCLU7BIZH0JJBIO', 'HITId': '3NFWQRSHWTU1AU570XBZKCHWMG3GFQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",2,3,0,0,True,True,1
back to the wall,to be in a difficult situation,They were backed up against the wall with no other options left,0,"{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 29, 'AssignmentId': '3BC8WZX3VJCSPUHOY5A6PP5C5WNRRT', 'HITId': '324N5FAHTCRV8DNGQ31I0QCBHRPKV2', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 454, 'AssignmentId': '34S6N1K2ZBZ4X288XG1GP9U7CV0LH0', 'HITId': '324N5FAHTCRV8DNGQ31I0QCBHRPKV2', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 56, 'AssignmentId': '3TPZPLC3MGSFUFG7AN5L2W2HY0IP3U', 'HITId': '324N5FAHTCRV8DNGQ31I0QCBHRPKV2', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",3,0,0,0,False,False,1
as the crow flies,in a straight line,"She went as the crow flies, never taking no for an answer",0,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 225, 'AssignmentId': '3KB8R4ZV1UNEKXRLMXU4Q6M1L5WGB4', 'HITId': '3TLFH2L6ZO4LE5F1W2VZZC2W3602TV', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'AEK2SAEL9GG39', 'WorkTimeInSeconds': 102, 'AssignmentId': '3KIBXJ1WDLA35DCDGTK5UIETZLXKOG', 'HITId': '3TLFH2L6ZO4LE5F1W2VZZC2W3602TV', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 344, 'AssignmentId': '32N49TQG3WYSJKCO5ETUVW55Q2ZVAD', 'HITId': '3TLFH2L6ZO4LE5F1W2VZZC2W3602TV', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",0,0,3,0,False,False,1
end of the day,to look at all the possibilities and then to make a final decision,At the end of the day,2,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 452, 'AssignmentId': '3TGOYF991D2CLE1M6T0GZBFGJYJUU0', 'HITId': '30UZJB2PPWS8EL0UZ6R6F61ATHE53I', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 419, 'AssignmentId': '3COPXFW7XRSLQDOEVTXKJIJJ9QTKPX', 'HITId': '30UZJB2PPWS8EL0UZ6R6F61ATHE53I', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 236, 'AssignmentId': '3YMU66OBI3OOBAU7MP40CHPZGI2HGM', 'HITId': '30UZJB2PPWS8EL0UZ6R6F61ATHE53I', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",2,2,3,2,False,False,1
fly off the handle,To lose one's temper and get angry for seemingly no reason (does not usually refer to situations that would warrant an emotional response).,I flew off the handle when I pulled it too hard,1,"{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 473, 'AssignmentId': '3B4YI393VPCGROHESJAG59F4D4DSS2', 'HITId': '36818Z1KWIT5KRCBU2INNHHWLVFA3T', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 478, 'AssignmentId': '3OVR4I9US5ZLCN0QAEPTC6KXH0OQ43', 'HITId': '36818Z1KWIT5KRCBU2INNHHWLVFA3T', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'APGX2WZ59OWDN', 'WorkTimeInSeconds': 120, 'AssignmentId': '3CFVK00FW11O0DOR1XACSI5H3L9L6W', 'HITId': '36818Z1KWIT5KRCBU2INNHHWLVFA3T', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,3,1,1,False,False,1
for crying out loud,"to show irritation, exasperation or anger",I said it for crying out loud in frustration because no one was listening,0,"{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 48.673, 'AssignmentId': '3KKG4CDWKYEFKOJ4TCE7QBU871E94W', 'HITId': '32K26U12E24NU7H6YMFVWDHLXIBDV1', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 95.171, 'AssignmentId': '320DUZ38GN2K2GPXAP7LOU5ETBZGJL', 'HITId': '32K26U12E24NU7H6YMFVWDHLXIBDV1', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 223.851, 'AssignmentId': '3QUO65DNQA4H89HPA7O705NR1DOOUC', 'HITId': '32K26U12E24NU7H6YMFVWDHLXIBDV1', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",1,3,2,1,True,True,1
get down to brass tacks,talk about the important things,Let's get down to brass tacks and secure the tent to the ground,1,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 135, 'AssignmentId': '3TPWUS5F8PHTRO9RF2UHNTE7XA0WCW', 'HITId': '3ZZAYRN1JL7ZLC46J0TW6P5Z4BJOTA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 271, 'AssignmentId': '3GA6AFUKO44NHYIJRAXGTN0QC9B3H6', 'HITId': '3ZZAYRN1JL7ZLC46J0TW6P5Z4BJOTA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 417, 'AssignmentId': '3OB0CAO74X5OX1F7GVQ6JHW3LA5YH6', 'HITId': '3ZZAYRN1JL7ZLC46J0TW6P5Z4BJOTA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",1,1,3,1,False,False,1
give them a bird,to hold up your middle finger as a very rude sign,I gave them a bird to show them I cared,1,"{'WorkerId': 'A1AXQM54WTRGA5', 'WorkTimeInSeconds': 142, 'AssignmentId': '3X4JMASXC2PH9TG08V515EZLEO8B0X', 'HITId': '3XBXDSS89NZYW8ATBIE13BMBM2EXLX', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 522, 'AssignmentId': '32AT8R96G1PW619IHO5GKAXSY1XSUH', 'HITId': '3XBXDSS89NZYW8ATBIE13BMBM2EXLX', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 195, 'AssignmentId': '3O6CYIULETHPDIQR1TFHHZ0D4ETWU0', 'HITId': '3XBXDSS89NZYW8ATBIE13BMBM2EXLX', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",3,1,2,1,True,False,1
go out with,have a romantic relationship with someone,He went out with her to some fancy restaurants,0,"{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 327, 'AssignmentId': '3TGOYF991D2CLE1M6T0GZBFGJYIUUZ', 'HITId': '3OND0WXMIBVN4C0MPS9BNU8XPFVHE2', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2H1QUGX0SOUMH', 'WorkTimeInSeconds': 117, 'AssignmentId': '32XVDSJFPFDKOUNBE7ZO2I3UNLX2MY', 'HITId': '3OND0WXMIBVN4C0MPS9BNU8XPFVHE2', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 503, 'AssignmentId': '3M81GAB8AGZ5XMLZPTZGKKQ3RS6QBA', 'HITId': '3OND0WXMIBVN4C0MPS9BNU8XPFVHE2', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,3,1,1,False,True,1
arrive in a body,arrive with unity as a group.,They arrived in a body with each person having their own distinct physical form,1,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 298, 'AssignmentId': '3180JW2OTKSMMJ0DTTOUKXEP3X55J2', 'HITId': '3L84EBDQ4MIHS2T4RZNBYH1U1TIKKG', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 72, 'AssignmentId': '3LKC68YZ3QJU0D6U5738IT8OMOJOWL', 'HITId': '3L84EBDQ4MIHS2T4RZNBYH1U1TIKKG', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 62, 'AssignmentId': '3SB5N7Y3OJKD0AOBOHXF6PQIUXDG0O', 'HITId': '3L84EBDQ4MIHS2T4RZNBYH1U1TIKKG', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",0,3,1,0,True,True,1
green thumb,good gardening results,He has a green thumb because he wears gloves when gardening,1,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 35.556, 'AssignmentId': '3WJ1OXY92QWU88GBXLIK3ILXF5T8AI', 'HITId': '3P6ENY9P8OCZKH28LBZ2896PH88IHI', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 28.462, 'AssignmentId': '3U8YCDAGX5W4DZIPRD2R03UK0P30QU', 'HITId': '3P6ENY9P8OCZKH28LBZ2896PH88IHI', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 43.077, 'AssignmentId': '3B4YI393VPCGROHESJAG59F4D55SSW', 'HITId': '3P6ENY9P8OCZKH28LBZ2896PH88IHI', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}",2,0,3,0,True,True,1
have a ball,to have a great time,They had a ball last night when they played rounders,1,"{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 54.536, 'AssignmentId': '3EFVCAY5LJP591JFRRVXWHOG60BJ8E', 'HITId': '3G9UA71JWAAYM3G2QKYQTXWVGLYJ7S', 'HITTypeId': '3VU3J1KUFRFVJRVRP9M4MWPPXMFGTQ', 'gold': 1, 'bad': False}","{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 46.303, 'AssignmentId': '39GXDJN2O9UE0WJ98G9GZ5ZA0FT8VI', 'HITId': '3FI30CQHWZZ90K4LJIGHPVDMD486BW', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'AKQAI78JTXXC9', 'WorkTimeInSeconds': 73.379, 'AssignmentId': '3ZAK8W07IKUW5SP68MMWA4R93A80UY', 'HITId': '3FI30CQHWZZ90K4LJIGHPVDMD486BW', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}",1,0,3,0,True,True,1
heart and soul,with all the effort you can put into it,"She committed with her heart and soul, literally using each muscle and organ of her body",1,"{'WorkerId': 'A1P3Z24Y6GRNVA', 'WorkTimeInSeconds': 42.724, 'AssignmentId': '3H8DHMCCWPRC1GLOQK6PJO2UWFHKDR', 'HITId': '36AZSFEY0JGUFAJMKQOP1NTLUYWBVR', 'HITTypeId': '3VU3J1KUFRFVJRVRP9M4MWPPXMFGTQ', 'gold': 0, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 41.128, 'AssignmentId': '3DY4FPOOAH4KI1Y57PFGQMUFQ7GVRG', 'HITId': '3NFWQRSHWTU1AU570XBZKCHWMG3GFQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}","{'WorkerId': 'AKQAI78JTXXC9', 'WorkTimeInSeconds': 88.38, 'AssignmentId': '37FMASSAYS7SGOXGCLU7BIZH0JJBIO', 'HITId': '3NFWQRSHWTU1AU570XBZKCHWMG3GFQ', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",0,3,0,0,False,True,1
bite the dust,to fall to the ground,The team bit the dust when they marched over it,1,"{'WorkerId': 'A1AXQM54WTRGA5', 'WorkTimeInSeconds': 248, 'AssignmentId': '38SKSKU7RHD4TXJS3YJ1PLVMCC3ILM', 'HITId': '3PKJ68EHE2CVFSME3TK2KALPUNRHJN', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 427, 'AssignmentId': '3R3YRB5GRVJS65NO0OJPZA3MCVRAU4', 'HITId': '3PKJ68EHE2CVFSME3TK2KALPUNRHJN', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 530, 'AssignmentId': '392CY0QWGH78VPC7X6KK34TBQQ94IG', 'HITId': '3PKJ68EHE2CVFSME3TK2KALPUNRHJN', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,3,1,1,False,False,1
those three little words,"the three words ""I love you""",He said those three little words when he admitted his guilt in court,1,"{'WorkerId': 'A277V4SHQB8JRS', 'WorkTimeInSeconds': 52.341, 'AssignmentId': '3TPZPLC3MGSFUFG7AN5L2W2HZD63PN', 'HITId': '3SNR5F7RAH9N07B6VARWN69CPTDEIX', 'HITTypeId': '3VU3J1KUFRFVJRVRP9M4MWPPXMFGTQ', 'gold': 1, 'bad': False}","{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 43.365, 'AssignmentId': '3P4RDNWNDLMYY7VS0D7O96IU8OSIJG', 'HITId': '3E24UO25RE6TJETUNNL3VFDLK3R6O0', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}","{'WorkerId': 'A3CGQOJC28OVGN', 'WorkTimeInSeconds': 45.091, 'AssignmentId': '3WQ3B2KGEOWHGI1I4E91JJIVJH71BL', 'HITId': '3E24UO25RE6TJETUNNL3VFDLK3R6O0', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}",1,3,3,3,False,True,2
third wheel or fifth wheel,a person who is in a situation where they are not needed,He was the third wheel of the bike when the two of them decided to ride together,1,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 160, 'AssignmentId': '3MB8LZR5BV9VZS9G314D21AZ4C5KL4', 'HITId': '35NNO802BACRUDOJO9UFDT3L3KYNID', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 506, 'AssignmentId': '3DY46V3X35YEFKLS4RK0JNVKLWB55H', 'HITId': '35NNO802BACRUDOJO9UFDT3L3KYNID', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 46, 'AssignmentId': '3B837J3LD4C4Q9H1DUABFZA8RY7SRJ', 'HITId': '35NNO802BACRUDOJO9UFDT3L3KYNID', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",0,3,3,3,False,True,2
belly up,to die,The bar bellied up as its customers lay on the floor under its tables,1,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 20, 'AssignmentId': '3MB8LZR5BV9VZS9G314D21AZ4GSKLZ', 'HITId': '391FPZIE5R24T8X8FSOGRCU0B3PHUJ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 66, 'AssignmentId': '3PH3VY7DJ1D6ZHK17GEPYRFS6WAZWU', 'HITId': '391FPZIE5R24T8X8FSOGRCU0B3PHUJ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 301, 'AssignmentId': '3V0Z7YWSIEG3EHHKSZ0FPEM7EE8V27', 'HITId': '391FPZIE5R24T8X8FSOGRCU0B3PHUJ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",3,0,3,3,False,True,2
under your nose,"when something happens right in front of you, especially if it is surprising or audacious",,0,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 552, 'AssignmentId': '3JPSL1DZ58FFBF3F3N73LFBS4ZXANB', 'HITId': '3EKZL9T8ZN287EG8T13GX68U43ICH4', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 485, 'AssignmentId': '3QRYMNZ7FEXKQB2O9NYKGK1KSOINT9', 'HITId': '3EKZL9T8ZN287EG8T13GX68U43ICH4', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'A2H1QUGX0SOUMH', 'WorkTimeInSeconds': 251, 'AssignmentId': '3PW9OPU9P60NS51MLLGQIQFRPA012N', 'HITId': '3EKZL9T8ZN287EG8T13GX68U43ICH4', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",1,3,3,3,False,True,2
hold water,"it means that the point of view or argument put forward is sound, strong or logical","This story doesn't hold water, so it keeps spilling out when you try to contain it",1,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 35.556, 'AssignmentId': '3WJ1OXY92QWU88GBXLIK3ILXF5T8AI', 'HITId': '3P6ENY9P8OCZKH28LBZ2896PH88IHI', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}","{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 28.462, 'AssignmentId': '3U8YCDAGX5W4DZIPRD2R03UK0P30QU', 'HITId': '3P6ENY9P8OCZKH28LBZ2896PH88IHI', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 43.077, 'AssignmentId': '3B4YI393VPCGROHESJAG59F4D55SSW', 'HITId': '3P6ENY9P8OCZKH28LBZ2896PH88IHI', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}",3,0,3,3,False,True,2
by dint of,as a result of something,"He graduated by dint of"" ",2,"{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 459, 'AssignmentId': '3R8YZBNQ9XYIVAI9CCN0FI4782G7Q6', 'HITId': '3087LXLJ71W4ZQUMMVMWZKUGFZ80F1', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 193, 'AssignmentId': '3FE2ERCCZDO4G49TTLPDQZ0STV2OPK', 'HITId': '3087LXLJ71W4ZQUMMVMWZKUGFZ80F1', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 232, 'AssignmentId': '3C6FJU71T69T2NLRGUX52WLTFMTUYX', 'HITId': '3087LXLJ71W4ZQUMMVMWZKUGFZ80F1', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",1,3,3,3,False,True,2
quantum leap,to make a significant improvement or dramatic advancement,They took a quantum leap from the ledge of the building,1,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 160, 'AssignmentId': '3MB8LZR5BV9VZS9G314D21AZ4C5KL4', 'HITId': '35NNO802BACRUDOJO9UFDT3L3KYNID', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 506, 'AssignmentId': '3DY46V3X35YEFKLS4RK0JNVKLWB55H', 'HITId': '35NNO802BACRUDOJO9UFDT3L3KYNID', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 46, 'AssignmentId': '3B837J3LD4C4Q9H1DUABFZA8RY7SRJ', 'HITId': '35NNO802BACRUDOJO9UFDT3L3KYNID', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",3,2,3,3,False,True,2
pound of flesh,an unreasonable demand but something that is one's legal right.,He demanded his pound of flesh which had to be cut off me,1,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 28.839, 'AssignmentId': '37U1UTWH9B2M7P2SZW46Y8A7F9G8RP', 'HITId': '3AA88CN994JCC7ILVEO27PG5Z8AKYU', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 57.887, 'AssignmentId': '3EJPLAJKE2W8525VGY1L0XGFIV96ZU', 'HITId': '3AA88CN994JCC7ILVEO27PG5Z8AKYU', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}","{'WorkerId': 'A3RR85PK3AV9TU', 'WorkTimeInSeconds': 52.018, 'AssignmentId': '36ZN444YT7ECZIMPGQZTH2ZG7I1OI4', 'HITId': '3AA88CN994JCC7ILVEO27PG5Z8AKYU', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}",3,3,1,3,False,True,2
closed book,something that one knows or understands nothing about.,"This is a closed book, because it has no contents left inside",1,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 30, 'AssignmentId': '3OVR4I9US5ZLCN0QAEPTC6KXH0P4QI', 'HITId': '3I6NF2WGJVC98XCIULYQY0QJXMJ5GQ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 374, 'AssignmentId': '345LHZDEDD8SMKO3R94FC2PG6LZU3S', 'HITId': '3I6NF2WGJVC98XCIULYQY0QJXMJ5GQ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'A98E8M4QLI9RS', 'WorkTimeInSeconds': 72, 'AssignmentId': '3PPTZCWAL601FKOFV7FJ62X6IVSQZG', 'HITId': '3I6NF2WGJVC98XCIULYQY0QJXMJ5GQ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",0,3,3,3,False,True,2
