idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_f_de_nllb,p_f_he_nllb,p_f_hi_nllb,p_f_hu_nllb,p_f_ko_nllb,p_f_es_nllb,p_f_yo_nllb,p_f_zh_nllb,p_l_de_nllb,p_l_he_nllb,p_l_hi_nllb,p_l_hu_nllb,p_l_ko_nllb,p_l_es_nllb,p_l_yo_nllb,p_l_zh_nllb,p_a_de_nllb,p_a_he_nllb,p_a_hi_nllb,p_a_hu_nllb,p_a_ko_nllb,p_a_es_nllb,p_a_yo_nllb,p_a_zh_nllb
up a river without a paddle,"when you are in an unfortunate situation, unprepared and with none of the resources to remedy the matter","When the car broke down in the middle of nowhere, we [[found ourselves up a river without a paddle]]","While canoeing, we accidentally dropped our paddles and [[found ourselves up a river without a paddle]]","When the car broke down in the middle of nowhere, we found ourselves up a river without a paddle","While canoeing, we accidentally dropped our paddles and found ourselves up a river without a paddle",found ourselves up a river without a paddle,"Als das Auto mitten im Nirgendwo kaputt ging, fanden wir uns ohne Paddel in einem Fluss wieder.","כשהמכונית התקלקלה באמצע שום מקום, מצאנו את עצמנו במעלה נהר בלי דליפה","जब कार कहीं के बीच में टूट गई, तो हम खुद को बिना नाव के नदी में पा गए","Amikor a kocsi megromlott a semmi közepén, egy folyón találtuk magunkat, úszó nélkül.","자동차가 고장 났을 때, 우리는  없이 강을 타고 올라갔습니다.","Cuando el coche se averió en medio de la nada, nos encontramos en un río sin una paleta","Nígbà tí ọkọ̀ wa bà jẹ́ ní àárín gbùngbùn, a bá ara wa nínú odò kan láìní ohun tá a fi ń lúwẹ̀ẹ́","车在无人之地坏了, 我们发现自己没有,","Während wir Kanu fuhren, ließen wir versehentlich unsere Paddel fallen und fanden uns ohne Paddel in einem Fluss wieder","בזמן שחיית הקאנו, בטעות הפילנו את המפרשים שלנו ומצאנו את עצמנו במעלה נהר בלי מפרש","कैनो की सवारी करते समय, हमने गलती से अपने पैडल गिरा दिए और बिना पैडल के नदी में उतर गए","Kánózás közben véletlenül leesett a kenu, és egy folyó mentén találtuk magunkat kenu nélkül","카누 를 타고 있을 때, 우리 는 실수 로  을 떨어뜨리고  없이 강 을 타고 갔습니다","Mientras navegábamos en canoa, nos cayeron las paletas por accidente y nos encontramos en un río sin una paleta","Nígbà tá à ń wọ ọkọ̀ ojú omi, a ju àwọn ohun èlò ìgbafẹ́ wa sílẹ̀ láìmọ̀, a sì bá ara wa ní ọ̀nà odò kan láìní ohun èlò ìgbafẹ́","我们在划独木舟时,不小心丢掉了,发现自己没有,在河上游",Wir sind ohne Paddel auf dem Fluss.,מצאנו את עצמנו במעלה הנהר בלי דליפה.,हम खुद को एक नाव के बिना एक नदी में पाया,"Egy folyón találtuk magunkat, egy evező nélkül.",우리는  없이 강을 따라 올라갔어요,Nos encontramos en un río sin una paleta,a rí ara wa nínú odò láìlo ọkọ̀,发现自己没有的河
up in the air,"unresolved, undecided",Our vacation [[plans are up in the air]] due to the unpredictable weather,"The balloons carrying our [[plans are up in the air]], floating away from us",Our vacation plans are up in the air due to the unpredictable weather,"The balloons carrying our plans are up in the air, floating away from us",plans are up in the air,Unsere Urlaubspläne sind wegen des unberechenbaren Wetters auf dem Spiel.,תוכניות החופשה שלנו לא מתוכננות בגלל מזג האוויר הבלתי צפוי.,मौसम के कारण हमारी छुट्टियों की योजनाएं हवा में हैं,A nyaralás terveink a levegőben vannak a kiszámíthatatlan időjárás miatt.,예상치 못한 날씨 때문에 우리의 휴가 계획은 무산됐습니다,Nuestros planes de vacaciones están en el aire debido al clima impredecible,Àtòjọ ìsinmi wa ti wà nílẹ̀ nítorí ojú ọjọ́ tí kò ṣeé sọ̀rọ̀ nípa rẹ̀,我们的假期计划由于天气不稳定而在空中,"Die Ballons mit unseren Plänen sind in der Luft, sie schweben von uns weg.","הבלונים הנושאים את התוכניות שלנו נמצאים באוויר, מרחפים מאיתנו.","हमारे योजनाओं को लेकर गुब्बारे हवा में हैं, हमसे दूर तैर रहे हैं","A terveket hordozó ballonok a levegőben vannak, és elrepülnek tőlünk.","우리의 계획을 담은 풍선은 공중에 떠 있고, 우리로부터 멀리 떠 있습니다.","Los globos que llevan nuestros planes están en el aire, flotando lejos de nosotros.","Àwọn bọ́ọ̀lù tó ń gbé àwọn ìwéwèé wa sókè nínú òfuurufú, wọ́n ń fò lọ jìnnà sí wa","带着我们的计划的气球在空中,漂浮远离我们",Die Pläne sind in der Luft.,התוכניות באוויר.,योजनाएं हवा में हैं,A tervek a levegőben vannak.,계획들이 공중에 떠 있습니다.,Los planes están en el aire,àwọn ètò wà ní afẹ́fẹ́,计划在空中
up to the mark,to be good enough,"His performance was [[not quite up to the mark]], so he didn't get the promotion",The water level was [[not quite up to the mark]] on the measuring stick,"His performance was not quite up to the mark, so he didn't get the promotion",The water level was not quite up to the mark on the measuring stick,not quite up to the mark,"Seine Leistung war nicht ganz auf dem Niveau, also wurde er nicht befördert.","הביצועים שלו לא היו בדיוק עד הסוף, אז הוא לא קיבל את הקידום.","उनका प्रदर्शन ठीक से नहीं था, इसलिए उन्हें पदोन्नति नहीं मिली।","A teljesítménye nem volt elég jó, ezért nem kapott előléptetést.",그의 성적이 제대로 되지 않아서 승진을 못 받았어요,"Su desempeño no estuvo a la altura, así que no recibió el ascenso.","Ìṣe rẹ̀ kò bá ohun tí ó yẹ mu, nítorí náà kò gba ìgbéga","他的表现不太好,所以他没有得到晋升.",Der Wasserstand war nicht ganz auf der Markierung auf dem Messstab,רמת המים לא הייתה בדיוק עד הסימן על מקל המדידה,जल स्तर मापने की छड़ी पर अंकित निशान तक नहीं था,A vízszint nem volt egészen a mérőpálcányon lévő jelzésen.,물 수준은 측정 스틱에 표시 된 수준에 미치지 못했습니다.,El nivel del agua no estaba a la altura de la marca en el medidor,Ìdàró omi ò tóbi tó àmì tó wà lórí òṣùwọ̀n,没有水位达到测量棒上的标志,nicht ganz auf dem Niveau,לא לגמרי עד הסימן,पूरी तरह से निशान तक नहीं,Nem egészen a célba.,딱히 못된 것 같네요,No está a la altura.,kò tó nǹkan,没有达到标志
ups and downs,good times and bad times,"Throughout their marriage, they [[experienced ups and downs]] but remained committed","On the roller coaster, we [[experienced ups and downs]] as it twisted and turned","Throughout their marriage, they experienced ups and downs but remained committed","On the roller coaster, we experienced ups and downs as it twisted and turned",experienced ups and downs,"Während ihrer Ehe gab es Höhen und Tiefen, aber sie blieben ihr Verhältnis zu Gott erhalten","במהלך חיי הנישואין שלהם היו עליות וירידות, אך הם נשארו מחויבים","उनकी शादी में उतार-चढ़ाव तो आए, लेकिन उन्होंने अपनी प्रतिबद्धता बरकरार रखी","A házasságuk során sokszor volt fel-le, de az elkötelezettségük nem változott","결혼 생활 을 통해 우여곡절 을 겪었지만, 부부 의 헌신 을 유지 했습니다","A lo largo de su matrimonio, experimentaron altibajos pero se mantuvieron comprometidos","Àwọn méjèèjì ní ìṣòro, àmọ́ wọn ò jáwọ́ nínú ara wọn","他们的婚姻经历了起伏,但仍然保持了承诺","Auf der Achterbahn hatten wir Höhen und Tiefen, während sie sich drehte und drehte","במרכבת הרים, חווינו עליות וירידות כשהיא הסתובבה והסתובבה",हम रोलर कोस्टर पर चढ़ते-पढ़ते और घुमा-घुमाकर चलते-फिरते,"A hullámvasútban fel-le voltunk, ahogy megfordult és elfordult","로어코스터 에서, 우리 는 회전 을 거듭하면서 오르락 내리락 을 경험 하였다","En la montaña rusa, experimentamos altibajos mientras giraba y giraba",A máa ń rí àwọn ìyípadà tó ń ṣẹlẹ̀ nínú ọkọ̀ ojú irin náà,"在过山车上,我们经历了起伏,因为它扭转和转动",Erfahrene Höhen und Tiefen,חוויתי עליות וירידות.,अनुभव किए गए उतार-चढ़ाव,A fel-le tapasztaltak.,경험 한 우여곡절,experimentado altibajos,àwọn ìgbà tó dára àti ìgbà tí kò dára,经历了起伏
use your loaf,To tell someone to use their brain more in analysing what they are doing.,[[They used their loaf]] to solve the complex puzzle,[[They used their loaf]] of bread to make sandwiches for lunch,They used their loaf to solve the complex puzzle,They used their loaf of bread to make sandwiches for lunch,They used their loaf,"Sie benutzten ihr Brot, um das komplexe Rätsel zu lösen.",הם השתמשו בחבילה שלהם כדי לפתור את הפאזל המורכב.,उन्होंने जटिल पहेली को हल करने के लिए अपनी रोटी का इस्तेमाल किया,A kenyerükkel oldották meg a bonyolult rejtvényt.,그들은 복잡한 퍼즐을 풀기 위해 빵을 사용했습니다.,Usaron su pan para resolver el complejo rompecabezas,Wọ́n lo búrẹ́dì wọn láti yanjú àdììtú tó díjú náà,他们用面包解决了复杂的难题,Sie haben mit ihrem Brot Sandwiches zum Mittagessen gemacht.,הם השתמשו בחבילה שלהם כדי להכין כריכים לארוחת צהריים.,उन्होंने दोपहर के भोजन के लिए सैंडविच बनाने के लिए अपनी रोटी का उपयोग किया,A kenyérből szendvicseket készítettek ebédre.,그들은 빵을 사용하여 점심에 샌드위치를 만들었습니다.,Usaron su pan para hacer sándwiches para el almuerzo.,Wọ́n fi búrẹ́dì wọn ṣe búrẹ́dì àjẹyó fún oúnjẹ ọ̀sán,他们用面包做了午餐的三明治,Sie benutzten ihr Brot,הם השתמשו בחם שלהם,उन्होंने अपनी रोटी का इस्तेमाल किया,A kenyerüket használták.,그들은 빵을 사용했습니다.,Usaron su pan,Wọ́n lo búrẹ́dì wọn,他们用他们的面包
velvet glove,"a person who appears gentle, but is determined and inflexible underneath",The manager [[was wearing a velvet glove]] when he gently guided the team through the crisis,"At the costume party, she [[was wearing a velvet glove]] as part of her elegant outfit",The manager was wearing a velvet glove when he gently guided the team through the crisis,"At the costume party, she was wearing a velvet glove as part of her elegant outfit",was wearing a velvet glove,"Der Manager trug einen Samthandschuh, als er das Team sanft durch die Krise führte.",המנהל לבש כפפת קטיפה כשהוא הוביל בעדינות את הקבוצה דרך המשבר,प्रबंधक ने मखमल के दस्ताने पहने थे जब उन्होंने संकट के दौरान टीम का धीरे से मार्गदर्शन किया,"A menedzser bársony kesztyűt viselt, amikor óvatosan vezette a csapatot a válságon keresztül.","감독 은 위기 를 겪는 팀 을 부드럽게 인도 할 때, 벨벳 장갑 을 착용 하고 있었다",El gerente llevaba un guante de terciopelo cuando guía gentilmente al equipo a través de la crisis,Ọ̀gá náà wọ àpò aláwọ̀ mèremère nígbà tó rọra ń darí àwọn òṣìṣẹ́ náà ní àkókò ìṣòro náà,"经理在危机中轻轻地引导团队时,",Auf der Kostümparty trug sie einen Samthandschuh als Teil ihres eleganten Outfits.,"במסיבת התחפושות, היא לבשה כפפת קטיפה כחלק מהלבושת האלגנטית שלה.","वेशभूषा पार्टी में, उसने अपने सुरुचिपूर्ण पोशाक के हिस्से के रूप में मखमल के दस्ताने पहने थे",A jelmezbuliján egy bársony kesztyűt viselt az elegáns ruhája részeként.,복장 파티에서 그녀는 그녀의 우아한 의복의 일부로 은 장갑을 입고 있었다,"En la fiesta de disfraces, ella llevaba un guante de terciopelo como parte de su elegante atuendo","Níbi ayẹyẹ aṣọ náà, ó wọ̀ ọ̀pá ọwọ́ aláwọ̀ dídán bí ara aṣọ rẹ̀ tó fani mọ́ra","在化派对上,她穿着一只天手套作为她优雅的服装的一部分.",Trug einen Samthandschuh.,לבש כפפת קטיפה.,मखमल का दस्ताने पहने हुए था,Személyes volt.,벨벳 장갑을 입고 있었다,llevaba un guante de terciopelo,ó wọ àwọ̀n aláwọ̀ àlùkò,戴着一只天手套
voice in the wilderness,"someone who expresses an opinion that no one believes or listens to, especially if proved right later",His environmental concerns were [[a voice in the wilderness]] among the industrialists,"While hiking alone, she suddenly heard [[a voice in the wilderness]] and got scared",His environmental concerns were a voice in the wilderness among the industrialists,"While hiking alone, she suddenly heard a voice in the wilderness and got scared",a voice in the wilderness,Seine Umweltbedenken waren eine Stimme in der Wildnis unter den Industriellen,דאגותיו הסביבתיות היו קול במדבר בקרב התעשיינים,पर्यावरण के प्रति उनकी चिंता उद्योगपतियों के बीच एक आवाज थी।,A környezetvédelmi aggodalma a vadonban hangzott az iparosok között.,그의 환경적 관심은 산업가들 사이에서 야생의 목소리였습니다,Sus preocupaciones ambientales eran una voz en el desierto entre los industriales,Àwọn òṣìṣẹ́ ilé iṣẹ́ tó wà lágbègbè náà ló ń sọ̀rọ̀ nípa àyíká tó ń ṣe,他对环境的关注是工业界的野外声音,"Während sie alleine wanderte, hörte sie plötzlich eine Stimme in der Wildnis und bekam Angst.","היא הייתה לבד בהליכה, פתאום היא שמעה קול במדבר, והיא נבהלה.","अकेले लंबी पैदल यात्रा करते हुए, उसने अचानक जंगल में एक आवाज सुनी और डर गई","Egyedül sétált, amikor hirtelen hallott egy hangot a vadonban, és megijedt.","혼자 산책을 하고 있을 때, 그녀는 갑자기 야생에서 어떤 목소리를 듣고 겁이 났어요.","Mientras caminaba sola, de repente oyó una voz en el desierto y se asustó.","Nígbà tó ń dá rìnrìn àjò, ó ṣàdédé gbọ́ ohùn kan nínú aginjù, ẹ̀rù sì bà á","她独自徒步旅行时,突然听到一个声音在荒野里,她害怕了",Eine Stimme in der Wildnis,קול במדבר,जंगल में एक आवाज,"""Hallgatás a pusztában"".","""야생에서 들리는 소리""",Una voz en el desierto,ohùn kan nínú aginjù,在荒野里发出声音
vultures are circling,when something is in danger and its enemies are getting ready for the kill,"As the company's stock plummeted, [[the vultures are circling]] to buy it cheap","While observing the desert landscape, we noticed [[the vultures are circling]] above a carcass","As the company's stock plummeted, the vultures are circling to buy it cheap","While observing the desert landscape, we noticed the vultures are circling above a carcass",the vultures are circling,"Da die Aktien des Unternehmens plummeten, kreisen die Geier um, um sie billig zu kaufen.","כשהמניות של החברה צנחו, הינשופים מסתובבים כדי לקנות את זה בזול.","जैसे-जैसे कंपनी के शेयर गिरते हैं, गिद्ध इसे सस्ते में खरीदने के लिए घूम रहे हैं","Ahogy a cég részvényei lecsökkenek, a keselyűk körbe-körbe járnak, hogy olcsón vegyék.","회사의 주가가 급격히 떨어지면서, 독수리들은 싸게 사려고 돌고 있습니다.","A medida que las acciones de la compañía se desploman, los buitres están dando vueltas para comprarlo barato","Bí owó tó wà nínú ilé iṣẹ́ náà ṣe ń jábọ́, àwọn ẹyẹ àkọ̀ ń wá bó ṣe máa ra ilé iṣẹ́ náà lọ́jà olówó pọ́ọ́kú","随着公司股价暴跌, 们纷纷来买便宜的股票","Während wir die Wüstenlandschaft beobachteten, bemerkten wir, daß die Geier über einem Kadaver kreisten","בזמן שצפינו בנוף המדבר, שמנו לב לציפורים שורפות מעל גופה",रेगिस्तान के परिदृश्य को देखते हुए हमने देखा कि गिद्ध एक शव के ऊपर से घूम रहे हैं,"A sivatagi tájat nézve észrevettük, hogy a keselyűk egy tetem fölött köröznek","사막 지형 을 관찰 하는 동안, 우리 는 독수리 들 이 시체 위 에 순회 를 달리고 있는 것 을 보았다","Mientras observábamos el paisaje del desierto, notamos que los buitres estaban dando vueltas sobre un cadáver","Bá a ṣe ń wo àyíká aṣálẹ̀ náà, a ṣàkíyèsí àwọn ẹyẹ àkọ̀ tó ń rìn yí ká òkú kan","我们在沙漠观赏时, 发现在一具尸体上方旋转",Die Geier kreisen umher,הנשרים מקיפים.,गिद्ध घूम रहे हैं,A keselyűk körbe-körbe járnak.,새들이 순회적으로,Los buitres están dando vueltas,àwọn ẹyẹ àparò ń yíká,们正在旋转
wag the dog,to divert attention from something that is bad,The politician [[was wagging the dog]] by creating a diversion from the scandal,The playful puppy [[was wagging the dog]] by grabbing its tail,The politician was wagging the dog by creating a diversion from the scandal,The playful puppy was wagging the dog by grabbing its tail,was wagging the dog,"Der Politiker hat den Hund gewinkelt, um die Aufmerksamkeit vom Skandal abzulenken.",הפוליטיקאי היה מנופף עם הכלב על ידי יצירת הסחת דעת מהשערורייה,राजनेता घोटाले से ध्यान हटाने के लिए कुत्ता घुमा रहा था,A politikus a botrányból kergette a figyelmet.,정치인은 스캔들에서 벗어나도록 개들을 흔들고 있었습니다.,El político estaba moviendo el perro creando una distracción del escándalo,Òṣèlú náà ń fi ajá náà ṣeré nípa dídá àríyànjiyàn náà kúrò,政客们通过创造一个从丑闻中转移注意力来挥舞狗.,"Der spielerische Welpe winkte mit dem Hund, indem er seinen Schwanz packte.",הגור השחקני ניער את הזנב של הכלב.,चंचल पिल्ला कुत्ते को उसकी पूंछ पकड़कर हिला रहा था,"A játékos kiskutya megragadta a farkát, hogy megmozdítsa a kutyát.",장난스러운 강아지는 꼬리를 잡고 개를 흔들고 있었다,El juguetón cachorro estaba moviendo al perro agarrando su cola,Ọmọ ajá tó ń ṣeré náà ń fi ìrù mú ajá náà,这只玩的小狗在抓着狗的尾巴摇动,Ich habe den Hund geschüttelt.,היה מנופף עם הכלב,कुत्ता घुमा रहा था,A kutyát lengette.,개랑 흔들고 있었어요,estaba moviendo el perro,ó ń fi ajá náà lọ́rùn,摇摇着狗
want his head on a platter,when someone makes you so angry that you want them to be punished,She was so furious with him that she [[wanted his head on a platter]],The eccentric artist [[wanted his head on a platter]] for a macabre sculpture,She was so furious with him that she wanted his head on a platter,The eccentric artist wanted his head on a platter for a macabre sculpture,wanted his head on a platter,"Sie war so wütend auf ihn, dass sie seinen Kopf auf einem Teller haben wollte.",היא הייתה כל כך כועסת עליו שהיא רצתה את ראשו על מגש,वह उसके साथ इतना गुस्सा था कि वह एक थाली पर अपने सिर चाहता था,"Annyira dühös volt rá, hogy a fejét egy tálon akarta.",그 여자한테 너무 화가 났어 그 여자한테 그 남자 머리를 접시에 얹고 싶었어,Estaba tan furiosa con él que quería su cabeza en una bandeja.,Inú bí i gan - an débi pé ó ní kí wọ́n gbé orí rẹ̀ sórí àwo,"她对他如此愤怒,她想要他的头在盘子上",Der exzentrische Künstler wollte seinen Kopf auf einem Teller für eine makabre Skulptur,האמן האקצנטרי רצה את ראשו על מגש לפסל מקברי,एक विचित्र कलाकार एक भयावह मूर्ति के लिए एक थाली पर अपने सिर चाहता था,Az excentrikus művész a fejét akarták tálra tenni egy makabr szoborhoz.,이 기괴한 예술가들은 그의 머리를 은 조각상으로 대고 싶어했습니다.,El excéntrico artista quería su cabeza en una bandeja para una escultura macabra,Onímọ̀ ìjìnlẹ̀ náà fẹ́ fi orí rẹ̀ sórí àwo kan láti fi ṣe ère kan tó ń bani nínú jẹ́,"这位古怪的艺术家想把他的头放在盘子上,",Ich wollte seinen Kopf auf einem Teller haben.,רצה את ראשו על מגש.,एक थाली पर उसके सिर चाहता था,A fejét akarták tálcán.,그의 머리를 접시에 얹고 싶어,Quería su cabeza en una bandeja.,ó fẹ́ kí wọ́n fi orí rẹ̀ sórí àwo,想要他的头在盘子上
wash dirty linen in public,discuss publicly matters that one should keep private,[[They washed their dirty linen in public]] by arguing about their personal issues on social media,[[They washed their dirty linen in public]] at the outdoor laundromat,They washed their dirty linen in public by arguing about their personal issues on social media,They washed their dirty linen in public at the outdoor laundromat,They washed their dirty linen in public,"Sie wuschen ihre schmutzige Wäsche in der Öffentlichkeit, indem sie über ihre persönlichen Probleme in den sozialen Medien stritten.",הם שטפו את הכביסה המלוכלכת שלהם בפומבי על ידי ויכוח על בעיות אישיות ברשתות החברתיות.,उन्होंने सोशल मीडिया पर अपने निजी मुद्दों पर बहस करके सार्वजनिक रूप से अपने गंदे लिनेन धोए,A közösségi médiában vitatkozva mossák a piszkos ruháikat.,그들은 소셜 미디어에서 개인적인 문제에 대해 논쟁하면서 공공장소에서 더러운 가죽을 씻었습니다.,Lavaron su ropa sucia en público discutiendo sobre sus problemas personales en las redes sociales,Wọn fọ aṣọ ibùsùn wọn ní gbangba nípa fífi ọ̀rọ̀ ara wọn ṣ'àríyànjiyàn lórí ẹ̀rọ ayélujára,"他们在社交媒体上争论私人问题,",Sie wuschen ihre schmutzige Wäsche öffentlich in der Außenwäsche,הם שוטפו את הכביסה המלוכלכת שלהם בפומבי במכבסה החופשית בחוץ,वे अपने गंदे कपड़े सार्वजनिक रूप से बाहर के वाशरूम में धोते थे,A szabadtéri mosodában mosogatták a piszkos ruháikat nyilvánosan,그들은 야외 의탁소 에서 공공장소 에서 더러운 빨래 를 씻었다,Lavaron su ropa sucia en público en la lavandería al aire libre,Wọ́n máa ń fọ aṣọ ìdọ̀họ wọn ní gbangba níbi ìfọṣọ tó wà níta,"他们在户外的自动洗衣店里,",Sie wuschen ihre schmutzige Wäsche öffentlich.,הם שוטפו את הבגדים המלוכלכים שלהם בפומבי.,वे सार्वजनिक रूप से अपने गंदे लिनेन धोते थे,Nyilvánosan mossák a piszkos ruháikat.,그들은 공공장소에서 더러운 가죽을 씻었습니다,Lavaron su ropa sucia en público,Wọ́n máa ń fọ aṣọ ìnura wọn ní gbangba,他们在公共场合洗脏的麻布
wash hands of,abandon taking responsibility for someone or something,"After trying to help for months, they finally [[washed their hands of the situation]] and moved on",They [[washed their hands of the situation]] by using soap and water after touching something dirty,"After trying to help for months, they finally washed their hands of the situation and moved on",They washed their hands of the situation by using soap and water after touching something dirty,washed their hands of the situation,"Nachdem sie monatelang versucht hatten, zu helfen, wuschen sie sich schließlich die Hände und gingen weiter.","אחרי שניסו לעזור במשך חודשים, הם סוף סוף רחצו את ידיהם מהמצב ועברו הלאה","महीनों तक मदद करने की कोशिश करने के बाद, उन्होंने आखिरकार स्थिति से अपने हाथ धो लिए और आगे बढ़ गए","Miután hónapokig próbáltak segíteni, végül megmossák a kezüket a helyzetről és továbblépnek.","몇 달 동안 도움을 주려고 노력한 후, 그들은 마침내 상황을 아내고, 그 상황을 넘어가게 되었습니다.","Después de intentar ayudar durante meses, finalmente se lavó las manos de la situación y se fue","Lẹ́yìn tí wọ́n ti gbìyànjú láti ṣèrànwọ́ fún ọ̀pọ̀ oṣù, wọ́n wá gbà pé ọ̀rọ̀ náà kò kan àwọn mọ́, wọ́n sì gbé e kúrò lọ́kàn","经过几个月的努力, 他们终于把自己洗了净, 继续前进.","Sie wuschen sich die Hände mit Wasser und Seife, nachdem sie etwas Schmutziges berührt hatten",הם שטפו את ידיהם במים וסבון אחרי שנגעו במשהו מלוכלך,किसी गंदी चीज़ को छूने के बाद साबुन और पानी से हाथ धोते हैं,"Szappannal és vízzel mossák meg a kezüket, miután megérintettek valamit, ami piszkos",더러운 것 을 만진 후 에 수분 과 물 을 사용하여 손 을 씻는 것,Se lavaron las manos con agua y jabón después de tocar algo sucio,Wọ́n á fi ọṣẹ àti omi fọ ọwọ́ wọn lẹ́yìn tí wọ́n bá fọwọ́ kan ohun tó bá dọ̀tí,他们在碰到脏物后用肥和水洗手,Waschen Sie sich die Hände von der Situation,רחצו את ידיהם מהמצב.,स्थिति से हाथ धोया,Megmossák a kezüket a helyzetről.,이 상황을 씻어내야 합니다.,se lavó las manos de la situación,wẹ ọwọ wọn mọ́ ipò náà,没有把自己从这个问题中洗手.
watchdog,"one who protects against loss, corruption, waste, or objectionable practices.",The company [[hired a watchdog]] to monitor their financial transactions,They [[hired a watchdog]] to guard their property at night,The company hired a watchdog to monitor their financial transactions,They hired a watchdog to guard their property at night,hired a watchdog,"Das Unternehmen stellte einen Wachhund ein, um ihre Finanztransaktionen zu überwachen.",החברה שכרה כלב שמירה כדי לפקח על העסקאות הפיננסיות שלהם.,कंपनी ने अपने वित्तीय लेनदेन की निगरानी के लिए एक प्रहरी को काम पर रखा,"A cég felbérelt egy őrkutyáját, hogy ellenőrizze a pénzügyi tranzakcióit.",회사는 그들의 금융 거래를 감시하기 위해 감시 개를 고용했습니다.,La compañía contrató a un perro guardián para vigilar sus transacciones financieras.,Àwọn iléeṣẹ́ náà bẹ̀rẹ̀ sí í lo olùṣọ́ láti máa ṣọ́ àwọn ìnáwó wọn,公司雇佣了一名监督员监控他们的金融交易,"Sie haben einen Wachhund angeheuert, um ihr Eigentum nachts zu bewachen.",הם שכרו כלב שמירה כדי לשמור על הרכוש שלהם בלילה.,उन्होंने रात में अपनी संपत्ति की सुरक्षा के लिए एक प्रहरी को काम पर रखा,"Felbéreltek egy őrkutyákat, hogy éjszaka őrizzék a birtokukat.",그들은 밤에 그들의 소유물을 지키기 위해 경비견을 고용했습니다.,Contrataron a un perro guardián para que vigilara su propiedad por la noche.,Wọ́n wá gba ajá kan tó máa ń ṣọ́ ilé wọn lóru,他们雇了一只守卫犬来夜间守护他们的财产,einen Wachhund eingestellt,שכרתי כלב שמירה.,एक प्रहरी को काम पर रखा,felvettem egy őrkutyákat.,감시 개를 고용했지,Contrató un perro guardián.,ó gba ajá tó ń ṣọ́ ọ,雇了一个看守狗
went through the mill,"you experience a very difficult period, or are exposed to rough treatment",They [[went through the mill together]] during the tough times in their relationship,The wheat [[went through the mill together]] to be ground into flour,They went through the mill together during the tough times in their relationship,The wheat went through the mill together to be ground into flour,went through the mill together,"Sie haben die Mühle gemeinsam durchgemacht, während der schwierigen Zeiten ihrer Beziehung.",הם עברו את המפעל יחד במהלך הזמנים הקשים במערכת היחסים שלהם,वे अपने रिश्ते में कठिन समय के दौरान मिल के माध्यम से एक साथ चला गया,Együtt mentek keresztül a gyárban a kapcsolatuk nehéz időszakaiban.,그들은 힘든 시기에 함께 일을 했습니다.,Pasaron por el molino juntos durante los tiempos difíciles de su relación,Àwọn méjèèjì jọ lo àkókò tó le gan-an nínú àjọṣe wọn,他们在艰难的关系中一起经历了磨坊,"Der Weizen ging zusammen durch die Mühle, um zu Mehl zu werden",החיטה עברה יחד במגרה כדי להימחל לחמטה,गेहूं को आटा बनाने के लिए मिल में एक साथ पीस लिया जाता था,"A búza együtt ment a malommal, hogy liszt legyen belőle",밀 은 밀집 을 통해 함께 밀가루 로 갈아질 때,El trigo pasaba por el molino para ser molido en harina,Wọ́n á wá lọ fi àlìkámà náà lọ nǹkan pa pọ̀ kí wọ́n lè fi ṣe ìyẹ̀fun,"麦子一起经过磨坊,被磨成面粉",Wir waren zusammen in der Mühle.,עברנו את הטחנה יחד.,मिल के माध्यम से एक साथ चला गया,Együtt mentünk a malomon.,함께 밀을 통과,Pasaron por el molino juntos.,a jọ lọ sí ilé ìpakà,在一起经历了磨坊
wet behind the ears,immature or poor skill,The new intern is [[still wet behind the ears]] and needs guidance,"After swimming, she was [[still wet behind the ears]] despite toweling off",The new intern is still wet behind the ears and needs guidance,"After swimming, she was still wet behind the ears despite toweling off",still wet behind the ears,Der neue Praktikant ist noch nass hinter den Ohren und braucht Anleitung,המתמחה החדש עדיין רטוב מאחורי האוזניים זקוק להדרכה,नए इंटर्न अभी भी कानों के पीछे गीला है और मार्गदर्शन की जरूरत है,Az új gyakornok még mindig nedves a füle mögött és útmutatásra van szüksége.,새 인턴은 아직 땀을 흘리고 있어,El nuevo interno aún está mojado detrás de las orejas y necesita orientación,"Àgbà tuntun náà kò tíì mọ nǹkan kan, ó sì nílò ìtọ́sọ́nà.","新实习生还在水,需要指导",Nach dem Schwimmen war sie trotz der Handtuchabnahme immer noch nass hinter den Ohren.,"אחרי שחייה, היא עדיין הייתה רטובה מאחורי האוזניים למרות שהיא ניפסה במגבת.","तैराकी के बाद, वह अभी भी कानों के पीछे गीला था, तौलिया उतारने के बावजूद","Úszás után még nedves volt a füle mögött, annak ellenére, hogy lemosott.","수영을 마친 후에도, 그녀는 여전히 빗자루를 벗고 있음에도 불구하고 귀 뒤에 젖어 있었다","Después de nadar, ella todavía estaba mojada detrás de las orejas a pesar de la toalla fuera","Lẹ́yìn tó ti lúwẹ̀ẹ́ tán, ó ṣì rọ̀ lẹ́yìn etí bó tilẹ̀ jẹ́ pé ó ti fọ aṣọ náà","虽然她已经脱了毛巾,",noch feucht hinter den Ohren,עדיין רטוב מאחורי האוזניים.,कानों के पीछे अभी भी गीला,Még mindig nedves a fülek mögött.,귀 뒤쪽은 여전히 젖어있어요,Todavía húmedo detrás de las orejas,ó ṣì rọ̀ lẹ́yìn etí,耳后还湿
