Input.idiom_0,Input.meaning_0,Input.instance_0,Input.label_0,Input.idiom_1,Input.meaning_1,Input.instance_1,Input.label_1,Input.idiom_2,Input.meaning_2,Input.instance_2,Input.label_2,Input.idiom_3,Input.meaning_3,Input.instance_3,Input.label_3,Input.idiom_4,Input.meaning_4,Input.instance_4,Input.label_4,Answer.0_gold,Answer.1_gold,Answer.2_gold,Answer.3_gold,Answer.4_gold
never looked back,"after an event which changed your life for the better, you continue to be happy with the situation",I never looked back since I made the decision to go after my dreams,0,no room to swing a cat,a very small place,The house had no room to swing a cat as the ceilings were too low,1,end of story,there is  nothing more to add to the matter under discussion,That's the end of the story,2,hands are tied,to not be able to do anything about a situation,My hands are tied,2,take a cue from,to do what is recommended by someone else,We should take a cue from him and act accordingly,0,0,1,2,2,2
never looked back,"after an event which changed your life for the better, you continue to be happy with the situation",I never looked back since I made the decision to go after my dreams,0,no room to swing a cat,a very small place,The house had no room to swing a cat as the ceilings were too low,1,end of story,there is  nothing more to add to the matter under discussion,That's the end of the story,2,hands are tied,to not be able to do anything about a situation,My hands are tied,2,take a cue from,to do what is recommended by someone else,We should take a cue from him and act accordingly,0,0,0,2,2,0
no dice,not agree for something,It was no dice when I asked him for help,0,all Greek to me,used to convey that you cannot understand what is being said or written,It's all Greek to me when they start speaking the language,1,at daggers drawn,almost ready to fight,"They were at daggers drawn, ready to argue with one another at any given moment",0,snow under,to bury or cover something or somebody in the snow (Literal meaning),She was snowed under,2,pour cold water on,deter or discourage somebody,"He poured cold water on the situation, cooling everyone's overheated bodies",1,0,1,0,0,1
no dice,not agree for something,It was no dice when I asked him for help,0,all Greek to me,used to convey that you cannot understand what is being said or written,It's all Greek to me when they start speaking the language,1,at daggers drawn,almost ready to fight,"They were at daggers drawn, ready to argue with one another at any given moment",0,snow under,to bury or cover something or somebody in the snow (Literal meaning),She was snowed under,2,pour cold water on,deter or discourage somebody,"He poured cold water on the situation, cooling everyone's overheated bodies",1,0,1,0,2,1
no dice,not agree for something,It was no dice when I asked him for help,0,all Greek to me,used to convey that you cannot understand what is being said or written,It's all Greek to me when they start speaking the language,1,at daggers drawn,almost ready to fight,"They were at daggers drawn, ready to argue with one another at any given moment",0,snow under,to bury or cover something or somebody in the snow (Literal meaning),She was snowed under,2,pour cold water on,deter or discourage somebody,"He poured cold water on the situation, cooling everyone's overheated bodies",1,0,1,0,2,1
the sun rises and sets on them,to believe that someone is the most wonderful and important person in the world; to love and adore someone more than anyone else,She thinks the sun rises and sets on them,2,queer pitch,spoil somebody's chance of doing something.,He threw a queer pitch,2,mind your own business,to look into your own matter,We should mind our own business and not look through the neighbor's window,1,a bird in the hand,a possession that is worthy,There's a bird in his hand because he's considering the potential he might have if he holds on,0,chip on shoulder,holding a grudge or grievance,He has a chip on his shoulder,2,0,2,1,0,2
the sun rises and sets on them,to believe that someone is the most wonderful and important person in the world; to love and adore someone more than anyone else,She thinks the sun rises and sets on them,2,queer pitch,spoil somebody's chance of doing something.,He threw a queer pitch,2,mind your own business,to look into your own matter,We should mind our own business and not look through the neighbor's window,1,a bird in the hand,a possession that is worthy,There's a bird in his hand because he's considering the potential he might have if he holds on,0,chip on shoulder,holding a grudge or grievance,He has a chip on his shoulder,2,2,2,0,0,2
the sun rises and sets on them,to believe that someone is the most wonderful and important person in the world; to love and adore someone more than anyone else,She thinks the sun rises and sets on them,2,queer pitch,spoil somebody's chance of doing something.,He threw a queer pitch,2,mind your own business,to look into your own matter,We should mind our own business and not look through the neighbor's window,1,a bird in the hand,a possession that is worthy,There's a bird in his hand because he's considering the potential he might have if he holds on,0,chip on shoulder,holding a grudge or grievance,He has a chip on his shoulder,2,0,0,1,0,2
give them a bird,to hold up your middle finger as a very rude sign,I gave them a bird to show them I cared,1,nail biter,"a situation like a close contest, which induces anxiety or tension.",It was a nail biter since I was biting my nails,1,cut the crap,a very crude way of telling someone to stop doing something that you do not like,Let's just cut the crap and get to the important points,0,my hands are full,someone is too busy or has too much going on to be able to do or become involved with anything else,My hands are full,2,Easter egg,a decorated or dyed egg usually given to children at Easter,She found the Easter egg which was the key to her success,0,3,0,0,2,0
give them a bird,to hold up your middle finger as a very rude sign,I gave them a bird to show them I cared,1,nail biter,"a situation like a close contest, which induces anxiety or tension.",It was a nail biter since I was biting my nails,1,cut the crap,a very crude way of telling someone to stop doing something that you do not like,Let's just cut the crap and get to the important points,0,my hands are full,someone is too busy or has too much going on to be able to do or become involved with anything else,My hands are full,2,Easter egg,a decorated or dyed egg usually given to children at Easter,She found the Easter egg which was the key to her success,0,1,1,0,2,0
give them a bird,to hold up your middle finger as a very rude sign,I gave them a bird to show them I cared,1,nail biter,"a situation like a close contest, which induces anxiety or tension.",It was a nail biter since I was biting my nails,1,cut the crap,a very crude way of telling someone to stop doing something that you do not like,Let's just cut the crap and get to the important points,0,my hands are full,someone is too busy or has too much going on to be able to do or become involved with anything else,My hands are full,2,Easter egg,a decorated or dyed egg usually given to children at Easter,She found the Easter egg which was the key to her success,0,2,1,0,2,2
red zone,"any geographical area that is thought to be dangerous or threatening, usually as a consequence of political or military activity.",We've entered the red zone,2,velvet glove,"a person who appears gentle, but is determined and inflexible underneath","He handled them with a velvet glove, showing them compassion despite their misdeeds",0,put your foot in it,"say something (by mistake) that upsets, humiliates, or embarrasses someone",He put his foot in it,2,hold all the aces,be in a winning position.,He holds all the aces as he knows the details of the situation,0,cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future","There's a cloud on the horizon, meaning that something bad is about to happen",0,0,0,2,0,0
red zone,"any geographical area that is thought to be dangerous or threatening, usually as a consequence of political or military activity.",We've entered the red zone,2,velvet glove,"a person who appears gentle, but is determined and inflexible underneath","He handled them with a velvet glove, showing them compassion despite their misdeeds",0,put your foot in it,"say something (by mistake) that upsets, humiliates, or embarrasses someone",He put his foot in it,2,hold all the aces,be in a winning position.,He holds all the aces as he knows the details of the situation,0,cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future","There's a cloud on the horizon, meaning that something bad is about to happen",0,2,0,2,0,0
red zone,"any geographical area that is thought to be dangerous or threatening, usually as a consequence of political or military activity.",We've entered the red zone,2,velvet glove,"a person who appears gentle, but is determined and inflexible underneath","He handled them with a velvet glove, showing them compassion despite their misdeeds",0,put your foot in it,"say something (by mistake) that upsets, humiliates, or embarrasses someone",He put his foot in it,2,hold all the aces,be in a winning position.,He holds all the aces as he knows the details of the situation,0,cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future","There's a cloud on the horizon, meaning that something bad is about to happen",0,2,0,2,0,0
call names,to insult someone,She called names to get his attention,1,ready to drop,to be extremely tired and nearly too exhausted to stay standing,I'm ready to drop from exhaustion after working all day on this project,0,my way or the highway,to order someone to do something in a specific way without providing an alternative.,It's my way or the highway,2,ahead of the pack,more successful than other people who are trying to achieve the same things,He's ahead of the pack,2,cup of tea,to like something,It's not my cup of tea,2,1,0,2,2,2
call names,to insult someone,She called names to get his attention,1,ready to drop,to be extremely tired and nearly too exhausted to stay standing,I'm ready to drop from exhaustion after working all day on this project,0,my way or the highway,to order someone to do something in a specific way without providing an alternative.,It's my way or the highway,2,ahead of the pack,more successful than other people who are trying to achieve the same things,He's ahead of the pack,2,cup of tea,to like something,It's not my cup of tea,2,1,1,2,2,2
call names,to insult someone,She called names to get his attention,1,ready to drop,to be extremely tired and nearly too exhausted to stay standing,I'm ready to drop from exhaustion after working all day on this project,0,my way or the highway,to order someone to do something in a specific way without providing an alternative.,It's my way or the highway,2,ahead of the pack,more successful than other people who are trying to achieve the same things,He's ahead of the pack,2,cup of tea,to like something,It's not my cup of tea,2,1,0,2,2,2
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,They're on a collision course since they're planning to fly their planes at the same time,1,put the clock back,change to a lower level or earlier time.,I tried to put the clock back so I can have more time to finish my project,0,under the weather,to be ill or feel ill,He's been under the weather with a bad cold,1,high on the hog,someone who is used to luxury,He's been living high on the hog,2,makes my ears burn,"to be embarrassed by what you hear, especially if the conversation is about you",It makes my ears burn,2,1,1,0,0,2
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,They're on a collision course since they're planning to fly their planes at the same time,1,put the clock back,change to a lower level or earlier time.,I tried to put the clock back so I can have more time to finish my project,0,under the weather,to be ill or feel ill,He's been under the weather with a bad cold,1,high on the hog,someone who is used to luxury,He's been living high on the hog,2,makes my ears burn,"to be embarrassed by what you hear, especially if the conversation is about you",It makes my ears burn,2,1,0,0,0,2
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,They're on a collision course since they're planning to fly their planes at the same time,1,put the clock back,change to a lower level or earlier time.,I tried to put the clock back so I can have more time to finish my project,0,under the weather,to be ill or feel ill,He's been under the weather with a bad cold,1,high on the hog,someone who is used to luxury,He's been living high on the hog,2,makes my ears burn,"to be embarrassed by what you hear, especially if the conversation is about you",It makes my ears burn,2,1,0,0,0,2
when the chips are down,when a situation is urgent or desperate.,He's there when the chips are down,2,"Mr Right, Ms Right",the best future life partner for someone,She is looking for Mr Right and Ms Right which she can find in her family history book,1,dragging its feet,"delaying in decision, not showing enthusiasm",The project is dragging its feet because it weighs too much,1,at bottom,to the core of the object,It's all at bottom inside the box,1,pay as you go,a payment system that allows you to pay right before a service you use rather than later.,We are paying as we go by using coins instead of bills,1,0,2,0,1,1
when the chips are down,when a situation is urgent or desperate.,He's there when the chips are down,2,"Mr Right, Ms Right",the best future life partner for someone,She is looking for Mr Right and Ms Right which she can find in her family history book,1,dragging its feet,"delaying in decision, not showing enthusiasm",The project is dragging its feet because it weighs too much,1,at bottom,to the core of the object,It's all at bottom inside the box,1,pay as you go,a payment system that allows you to pay right before a service you use rather than later.,We are paying as we go by using coins instead of bills,1,0,1,1,1,0
when the chips are down,when a situation is urgent or desperate.,He's there when the chips are down,2,"Mr Right, Ms Right",the best future life partner for someone,She is looking for Mr Right and Ms Right which she can find in her family history book,1,dragging its feet,"delaying in decision, not showing enthusiasm",The project is dragging its feet because it weighs too much,1,at bottom,to the core of the object,It's all at bottom inside the box,1,pay as you go,a payment system that allows you to pay right before a service you use rather than later.,We are paying as we go by using coins instead of bills,1,2,1,1,1,2
snake in the grass,a hidden army,"There was a snake in the grass yesterday, so we had to stay careful",1,go through a rough patch,to experience a lot of problems in a period of life,She's going through a rough patch,2,pound of flesh,an unreasonable demand but something that is one's legal right.,He demanded his pound of flesh,2,on the line,to be at serious risk.,Everything was on the line,2,cut down,to reduce the amount of something (usually bad),We had to cut down the tree,2,2,0,0,0,1
snake in the grass,a hidden army,"There was a snake in the grass yesterday, so we had to stay careful",1,go through a rough patch,to experience a lot of problems in a period of life,She's going through a rough patch,2,pound of flesh,an unreasonable demand but something that is one's legal right.,He demanded his pound of flesh,2,on the line,to be at serious risk.,Everything was on the line,2,cut down,to reduce the amount of something (usually bad),We had to cut down the tree,2,1,2,2,2,2
snake in the grass,a hidden army,"There was a snake in the grass yesterday, so we had to stay careful",1,go through a rough patch,to experience a lot of problems in a period of life,She's going through a rough patch,2,pound of flesh,an unreasonable demand but something that is one's legal right.,He demanded his pound of flesh,2,on the line,to be at serious risk.,Everything was on the line,2,cut down,to reduce the amount of something (usually bad),We had to cut down the tree,2,2,2,2,2,2
make ends meet,make sufficient money to survive on,He's been struggling to make ends meet by joining the pieces of string together,1,break a leg,good luck,I wish you break a leg,2,last resort,the last thing you would do if you were desperate and all other courses of action had failed,I had to turn to a last resort,2,bury the hatchet,to stop fighting or arguing or to end old resentments,We buried the hatchet,2,as well as,additionally,I visited the store as well as the museum,2,1,2,2,2,1
make ends meet,make sufficient money to survive on,He's been struggling to make ends meet by joining the pieces of string together,1,break a leg,good luck,I wish you break a leg,2,last resort,the last thing you would do if you were desperate and all other courses of action had failed,I had to turn to a last resort,2,bury the hatchet,to stop fighting or arguing or to end old resentments,We buried the hatchet,2,as well as,additionally,I visited the store as well as the museum,2,1,2,1,2,1
make ends meet,make sufficient money to survive on,He's been struggling to make ends meet by joining the pieces of string together,1,break a leg,good luck,I wish you break a leg,2,last resort,the last thing you would do if you were desperate and all other courses of action had failed,I had to turn to a last resort,2,bury the hatchet,to stop fighting or arguing or to end old resentments,We buried the hatchet,2,as well as,additionally,I visited the store as well as the museum,2,1,2,0,2,0
heart goes out to,to feel sympathy for someone when they are distressed,My heart goes out to them as they stand out amongst the crowd,1,ball and chain,a burden or problem that ties you down and prevents you from doing what you want,My job is like a ball and chain,2,draw a blank,to get no response from someone,I drew a blank on the paper when I was sketching the landscape,1,ups and downs,good times and bad times,This job comes with its ups and downs indicating its rewards as well as its difficulties,0,take a leaf out of someone's book,implement actionable advice,We took a leaf out of their book and started using their ideas to increase our profit margins,0,0,0,2,0,0
heart goes out to,to feel sympathy for someone when they are distressed,My heart goes out to them as they stand out amongst the crowd,1,ball and chain,a burden or problem that ties you down and prevents you from doing what you want,My job is like a ball and chain,2,draw a blank,to get no response from someone,I drew a blank on the paper when I was sketching the landscape,1,ups and downs,good times and bad times,This job comes with its ups and downs indicating its rewards as well as its difficulties,0,take a leaf out of someone's book,implement actionable advice,We took a leaf out of their book and started using their ideas to increase our profit margins,0,0,2,1,0,0
heart goes out to,to feel sympathy for someone when they are distressed,My heart goes out to them as they stand out amongst the crowd,1,ball and chain,a burden or problem that ties you down and prevents you from doing what you want,My job is like a ball and chain,2,draw a blank,to get no response from someone,I drew a blank on the paper when I was sketching the landscape,1,ups and downs,good times and bad times,This job comes with its ups and downs indicating its rewards as well as its difficulties,0,take a leaf out of someone's book,implement actionable advice,We took a leaf out of their book and started using their ideas to increase our profit margins,0,0,0,1,0,0
wash hands of,abandon taking responsibility for someone or something,I washed my hands of this,2,get over it,accept something and move on,She needs to get over it and move forward with her life,0,on top of the world,in a good mood as everything is going well for you,She's on top of the world,2,broken heart,"when a person is emotionally sad or grief-stricken, then it's broken hearted",He has a broken heart,2,alpha and omega,both the beginning and the end,He's the alpha and omega,2,2,0,0,0,0
wash hands of,abandon taking responsibility for someone or something,I washed my hands of this,2,get over it,accept something and move on,She needs to get over it and move forward with her life,0,on top of the world,in a good mood as everything is going well for you,She's on top of the world,2,broken heart,"when a person is emotionally sad or grief-stricken, then it's broken hearted",He has a broken heart,2,alpha and omega,both the beginning and the end,He's the alpha and omega,2,0,1,0,0,0
wash hands of,abandon taking responsibility for someone or something,I washed my hands of this,2,get over it,accept something and move on,She needs to get over it and move forward with her life,0,on top of the world,in a good mood as everything is going well for you,She's on top of the world,2,broken heart,"when a person is emotionally sad or grief-stricken, then it's broken hearted",He has a broken heart,2,alpha and omega,both the beginning and the end,He's the alpha and omega,2,2,0,2,2,2
bite head off,overreact in an angry or harsh way,He bit the head off the snake as it threatened to attack him,1,dish fit for the gods,This refers to food that is of an exemplary quality,"He cooked a dish fit for the gods, showing off his incredible culinary skills",0,piss and vinegar,to self-reference someone who is in a bad mood and ready to fight.,"He was full of piss and vinegar, energized to get the work done quickly",0,blow cover,to reveal the true identity,He blew his cover,2,page-turner,a thrilling book,It was a page-turner that had me captivated,0,1,0,0,0,0
bite head off,overreact in an angry or harsh way,He bit the head off the snake as it threatened to attack him,1,dish fit for the gods,This refers to food that is of an exemplary quality,"He cooked a dish fit for the gods, showing off his incredible culinary skills",0,piss and vinegar,to self-reference someone who is in a bad mood and ready to fight.,"He was full of piss and vinegar, energized to get the work done quickly",0,blow cover,to reveal the true identity,He blew his cover,2,page-turner,a thrilling book,It was a page-turner that had me captivated,0,1,1,0,2,2
bite head off,overreact in an angry or harsh way,He bit the head off the snake as it threatened to attack him,1,dish fit for the gods,This refers to food that is of an exemplary quality,"He cooked a dish fit for the gods, showing off his incredible culinary skills",0,piss and vinegar,to self-reference someone who is in a bad mood and ready to fight.,"He was full of piss and vinegar, energized to get the work done quickly",0,blow cover,to reveal the true identity,He blew his cover,2,page-turner,a thrilling book,It was a page-turner that had me captivated,0,1,0,0,0,0
miles to go before I sleep,you have a lot to do before you can rest,I have miles to go before I sleep,2,pour oil on troubled waters,"try to calm, soothe or placate a problematic situation",We tried to pour oil on troubled waters to make them calm down,1,plays with fire,people who take unnecessary risks or behave in a dangerous way,He's playing with fire,2,king of the hill,be the undisputed champion,He's been the king of the hill because he claimed the highest point,1,just deserts,get what one deserves,I got my just deserts when I benevolently helped someone in need,0,0,0,2,0,0
miles to go before I sleep,you have a lot to do before you can rest,I have miles to go before I sleep,2,pour oil on troubled waters,"try to calm, soothe or placate a problematic situation",We tried to pour oil on troubled waters to make them calm down,1,plays with fire,people who take unnecessary risks or behave in a dangerous way,He's playing with fire,2,king of the hill,be the undisputed champion,He's been the king of the hill because he claimed the highest point,1,just deserts,get what one deserves,I got my just deserts when I benevolently helped someone in need,0,2,2,2,1,2
miles to go before I sleep,you have a lot to do before you can rest,I have miles to go before I sleep,2,pour oil on troubled waters,"try to calm, soothe or placate a problematic situation",We tried to pour oil on troubled waters to make them calm down,1,plays with fire,people who take unnecessary risks or behave in a dangerous way,He's playing with fire,2,king of the hill,be the undisputed champion,He's been the king of the hill because he claimed the highest point,1,just deserts,get what one deserves,I got my just deserts when I benevolently helped someone in need,0,2,0,2,0,0
brownie points,"Praise or appreciation, usually for a service someone has done.",He earned some brownie points from his boss for finishing the project ahead of schedule,0,got it made,"to be certain to be successful and have a good life, often without much effort:",He's got it made since he is an expert craftsman,1,beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",He ventured beyond the veil,2,bundle up,to dress warmly to protect oneself from the elements,We have to bundle up because it's cold outside,1,makes his hackles rise,to make you angry,He makes his hackles rise when he's around someone he doesn't like,0,0,0,0,0,2
brownie points,"Praise or appreciation, usually for a service someone has done.",He earned some brownie points from his boss for finishing the project ahead of schedule,0,got it made,"to be certain to be successful and have a good life, often without much effort:",He's got it made since he is an expert craftsman,1,beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",He ventured beyond the veil,2,bundle up,to dress warmly to protect oneself from the elements,We have to bundle up because it's cold outside,1,makes his hackles rise,to make you angry,He makes his hackles rise when he's around someone he doesn't like,0,0,0,2,0,0
brownie points,"Praise or appreciation, usually for a service someone has done.",He earned some brownie points from his boss for finishing the project ahead of schedule,0,got it made,"to be certain to be successful and have a good life, often without much effort:",He's got it made since he is an expert craftsman,1,beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",He ventured beyond the veil,2,bundle up,to dress warmly to protect oneself from the elements,We have to bundle up because it's cold outside,1,makes his hackles rise,to make you angry,He makes his hackles rise when he's around someone he doesn't like,0,0,0,2,1,0
under fire,being shot at,He was under fire,2,wash dirty linen in public,discuss publicly matters that one should keep private,She washed her dirty linen in public by arguing with her sister on the street corner,0,went through the mill,"you experience a very difficult period, or are exposed to rough treatment",He went through the mill when his parents got divorced,0,lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,I had a lump in my throat when my best friend announced she was moving away,0,cross paths,encounter or meet someone by chance.,We crossed paths earlier today when I saw you at the store,0,2,0,0,0,0
under fire,being shot at,He was under fire,2,wash dirty linen in public,discuss publicly matters that one should keep private,She washed her dirty linen in public by arguing with her sister on the street corner,0,went through the mill,"you experience a very difficult period, or are exposed to rough treatment",He went through the mill when his parents got divorced,0,lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,I had a lump in my throat when my best friend announced she was moving away,0,cross paths,encounter or meet someone by chance.,We crossed paths earlier today when I saw you at the store,0,2,0,0,0,0
under fire,being shot at,He was under fire,2,wash dirty linen in public,discuss publicly matters that one should keep private,She washed her dirty linen in public by arguing with her sister on the street corner,0,went through the mill,"you experience a very difficult period, or are exposed to rough treatment",He went through the mill when his parents got divorced,0,lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,I had a lump in my throat when my best friend announced she was moving away,0,cross paths,encounter or meet someone by chance.,We crossed paths earlier today when I saw you at the store,0,1,0,0,0,0
way around,"to find an alternative for something, someone or to perform a task",They found a way around it by doing the opposite,0,fall between the cracks,be ignored or unobserved,The report fell between the cracks when the team missed an important deadline,0,have a soft spot,to like someone very much,They have a soft spot,2,pieces of the same cake,things that have the same characteristics or qualities,We are pieces of the same cake and pulled together in this project,0,cash in,to earn out of something in big amounts,You should cash in on your hard work and success by taking that opportunity,0,0,0,2,0,0
way around,"to find an alternative for something, someone or to perform a task",They found a way around it by doing the opposite,0,fall between the cracks,be ignored or unobserved,The report fell between the cracks when the team missed an important deadline,0,have a soft spot,to like someone very much,They have a soft spot,2,pieces of the same cake,things that have the same characteristics or qualities,We are pieces of the same cake and pulled together in this project,0,cash in,to earn out of something in big amounts,You should cash in on your hard work and success by taking that opportunity,0,0,0,2,0,0
way around,"to find an alternative for something, someone or to perform a task",They found a way around it by doing the opposite,0,fall between the cracks,be ignored or unobserved,The report fell between the cracks when the team missed an important deadline,0,have a soft spot,to like someone very much,They have a soft spot,2,pieces of the same cake,things that have the same characteristics or qualities,We are pieces of the same cake and pulled together in this project,0,cash in,to earn out of something in big amounts,You should cash in on your hard work and success by taking that opportunity,0,0,0,2,0,0
the other side of the coin,"the opposite aspect, contrasting arguments.",Let's consider the other side of the coin in order to have a full view of the design,1,all bark and no bite,"threatening, aggressive, but not willing to engage in a fight",He is all bark and no bite and is too afraid to take any action,0,tearing a strip off,to reprimand someone severely for doing something wrong,My mother was tearing a strip off me when the fabric of my shirt got caught in a zipper,1,fight a losing battle,trying to do something even when there is little chance of succeeding,"He was fighting a losing battle, as the other opponent had better equipment",1,bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",He bit off more than he can chew when he promised to finish the project by the end of the week,0,1,0,1,1,0
the other side of the coin,"the opposite aspect, contrasting arguments.",Let's consider the other side of the coin in order to have a full view of the design,1,all bark and no bite,"threatening, aggressive, but not willing to engage in a fight",He is all bark and no bite and is too afraid to take any action,0,tearing a strip off,to reprimand someone severely for doing something wrong,My mother was tearing a strip off me when the fabric of my shirt got caught in a zipper,1,fight a losing battle,trying to do something even when there is little chance of succeeding,"He was fighting a losing battle, as the other opponent had better equipment",1,bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",He bit off more than he can chew when he promised to finish the project by the end of the week,0,2,0,1,2,0
the other side of the coin,"the opposite aspect, contrasting arguments.",Let's consider the other side of the coin in order to have a full view of the design,1,all bark and no bite,"threatening, aggressive, but not willing to engage in a fight",He is all bark and no bite and is too afraid to take any action,0,tearing a strip off,to reprimand someone severely for doing something wrong,My mother was tearing a strip off me when the fabric of my shirt got caught in a zipper,1,fight a losing battle,trying to do something even when there is little chance of succeeding,"He was fighting a losing battle, as the other opponent had better equipment",1,bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",He bit off more than he can chew when he promised to finish the project by the end of the week,0,0,0,1,1,0
make it big,become very successful or famous,He's making it big by working hard and taking risks,0,my way or the highway,to order someone to do something in a specific way without providing an alternative.,"It's my way or the highway, so no one can differ with my opinion""",0,cool heels,to wait or take rest,They had to cool their heels and wait patiently for the instructions to arrive,0,set the bar,fix the standards acceptable for the task,You set the bar,2,call a spade a spade,this phrase means to say something the way it is,She calls a spade a spade,2,2,0,0,2,2
make it big,become very successful or famous,He's making it big by working hard and taking risks,0,my way or the highway,to order someone to do something in a specific way without providing an alternative.,"It's my way or the highway, so no one can differ with my opinion""",0,cool heels,to wait or take rest,They had to cool their heels and wait patiently for the instructions to arrive,0,set the bar,fix the standards acceptable for the task,You set the bar,2,call a spade a spade,this phrase means to say something the way it is,She calls a spade a spade,2,0,0,0,2,2
make it big,become very successful or famous,He's making it big by working hard and taking risks,0,my way or the highway,to order someone to do something in a specific way without providing an alternative.,"It's my way or the highway, so no one can differ with my opinion""",0,cool heels,to wait or take rest,They had to cool their heels and wait patiently for the instructions to arrive,0,set the bar,fix the standards acceptable for the task,You set the bar,2,call a spade a spade,this phrase means to say something the way it is,She calls a spade a spade,2,0,0,0,2,2
hold tongue,to keep quiet when one would rather speak,She held her tongue to prevent herself from speaking too harshly,0,bang head against wall,to be frustrated in your efforts to change something or make something happen,He's been banging his head against the wall when trying to figure out how to solve this problem,0,big deal,important thing,It's a big deal because they bought a large one,1,a whale of,very big (piece) of something,She had a whale of a time at the amusement park,0,snake in the grass,a hidden army,There was a snake in the grass within the group of colleagues - someone who was planning something behind everyone's back,0,0,0,2,2,0
hold tongue,to keep quiet when one would rather speak,She held her tongue to prevent herself from speaking too harshly,0,bang head against wall,to be frustrated in your efforts to change something or make something happen,He's been banging his head against the wall when trying to figure out how to solve this problem,0,big deal,important thing,It's a big deal because they bought a large one,1,a whale of,very big (piece) of something,She had a whale of a time at the amusement park,0,snake in the grass,a hidden army,There was a snake in the grass within the group of colleagues - someone who was planning something behind everyone's back,0,1,2,1,0,0
hold tongue,to keep quiet when one would rather speak,She held her tongue to prevent herself from speaking too harshly,0,bang head against wall,to be frustrated in your efforts to change something or make something happen,He's been banging his head against the wall when trying to figure out how to solve this problem,0,big deal,important thing,It's a big deal because they bought a large one,1,a whale of,very big (piece) of something,She had a whale of a time at the amusement park,0,snake in the grass,a hidden army,There was a snake in the grass within the group of colleagues - someone who was planning something behind everyone's back,0,0,0,2,0,0
written all over face,when someone's feelings or thoughts are very clear,You had it written all over your face,2,ahead of the pack,more successful than other people who are trying to achieve the same things,He's ahead of the pack by a few meters due to his fast running speed,1,twist arm,to make someone do what you want by making it difficult for them to refuse,"I had to twist his arm"" ",2,on the line,to be at serious risk.,"Everything was on the line when I took the test, so I was very anxious",0,pull the plug,to kill or discontinue,He pulled the plug on the project as he was not interested in it anymore,0,0,1,2,0,2
written all over face,when someone's feelings or thoughts are very clear,You had it written all over your face,2,ahead of the pack,more successful than other people who are trying to achieve the same things,He's ahead of the pack by a few meters due to his fast running speed,1,twist arm,to make someone do what you want by making it difficult for them to refuse,"I had to twist his arm"" ",2,on the line,to be at serious risk.,"Everything was on the line when I took the test, so I was very anxious",0,pull the plug,to kill or discontinue,He pulled the plug on the project as he was not interested in it anymore,0,2,1,2,0,0
written all over face,when someone's feelings or thoughts are very clear,You had it written all over your face,2,ahead of the pack,more successful than other people who are trying to achieve the same things,He's ahead of the pack by a few meters due to his fast running speed,1,twist arm,to make someone do what you want by making it difficult for them to refuse,"I had to twist his arm"" ",2,on the line,to be at serious risk.,"Everything was on the line when I took the test, so I was very anxious",0,pull the plug,to kill or discontinue,He pulled the plug on the project as he was not interested in it anymore,0,2,1,1,0,0
in the buff,naked,He was in the buff cheering on his team during the game,0,spill the beans,disclose a secret or reveal something prematurely,She spilled the beans all over the kitchen floor after the jar slipped from her hands,1,taste of own medicine,when someone gets the same bad treatment that he has been giving others,She got a taste of own medicine when another person treated her the same way she treated them,0,go through the roof,to become very angry,My enthusiasm went through the roof,2,class clown,a wiseacre,He was the class clown and always made everyone laugh with his jokes,0,2,1,0,0,0
in the buff,naked,He was in the buff cheering on his team during the game,0,spill the beans,disclose a secret or reveal something prematurely,She spilled the beans all over the kitchen floor after the jar slipped from her hands,1,taste of own medicine,when someone gets the same bad treatment that he has been giving others,She got a taste of own medicine when another person treated her the same way she treated them,0,go through the roof,to become very angry,My enthusiasm went through the roof,2,class clown,a wiseacre,He was the class clown and always made everyone laugh with his jokes,0,2,1,0,0,0
in the buff,naked,He was in the buff cheering on his team during the game,0,spill the beans,disclose a secret or reveal something prematurely,She spilled the beans all over the kitchen floor after the jar slipped from her hands,1,taste of own medicine,when someone gets the same bad treatment that he has been giving others,She got a taste of own medicine when another person treated her the same way she treated them,0,go through the roof,to become very angry,My enthusiasm went through the roof,2,class clown,a wiseacre,He was the class clown and always made everyone laugh with his jokes,0,3,1,0,0,0
