idiom,meaning,intended_ambiguous,intended_figurative,intended_literal,is_literal,justification,converted,iter,bad_idiom,error,intended_ambiguous_old,intended_figurative_old,intended_literal_old,maxvote - for sort,maxvote_ambiguous,maxvote_figurative,maxvote_literal,well_formed,annotations_ambiguous,annotations_figurative,annotations_literal
hammer and tongs,"to argue fiercely, with a lot of energy and noise",went at it hammer and tongs,they went at it hammer and tongs during the heated debate,the blacksmith went at it hammer and tongs while forging the sword,True,"In this context, the blacksmith is literally using a hammer and tongs to forge the sword, which is a literal interpretation of the idiom.",False,0,False,False,We worked on it hammer and tongs,"We worked on it hammer and tongs, trying to get the project done within the timeline","We worked on it hammer and tongs, applying hammering and tonging techniques",ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'figurative', 'literal']","['figurative', 'figurative', 'literal']","['literal', 'ambiguous', 'literal']"
hand in hand,close ties or connections,walked hand in hand,success and hard work walked hand in hand in her life,the couple walked hand in hand along the beach,True,"In this context, 'hand in hand' is used literally, as it describes the physical action of the couple holding hands while walking on the beach.",False,0,False,False,They walked hand in hand,"They walked hand in hand, showing their commitment to each other",They walked hand in hand to not get lost in the dark,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
hands are tied,to not be able to do anything about a situation,my hands are tied,"I'd love to help you, but my hands are tied due to company policy","During the magic trick, the magician made sure my hands are tied securely with a rope",True,"In this context, the idiom 'hands are tied' is used to describe a physical situation where someone's hands are actually tied with a rope, which is a literal interpretation of the phrase.",False,1,False,False,My hands are tied,My hands are tied since I have no authority or influence in the situation,My hands are tied since I used rope to restrain them,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
happy camper,to be content or satisfied with what is happening in your lifes and have no complaints,<not a happy camper>,"when the meeting was canceled, she was <not a happy camper>","when the tent collapsed, she was <not a happy camper> at the campsite",False,"The idiom 'happy camper' is used figuratively to describe someone who is content or satisfied. In the hypothesis, 'not a happy camper' is used to express dissatisfaction or frustration, not literally referring to a person camping.",False,0,False,False,I'm a happy camper,I'm a happy camper with the job offers I've been receiving,I'm a happy camper spending the night outside with my tent and a tent stove,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']"
hard cheese,"bad luck, tough luck",she experienced hard cheese,she experienced hard cheese when she lost her job and had to start over,"while tasting different types of dairy products, she experienced hard cheese among them",True,"In this context, 'hard cheese' is used to describe a type of cheese that is physically hard, which is a literal interpretation of the idiom. The figurative meaning of 'hard cheese' is to express sympathy for someone's misfortune, which is not used in this sentence.",False,0,False,False,It was a hard cheese for him,It was a hard cheese for him when he realized it was all his fault,It was a hard cheese for him to cut with a knife,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']"
have a big mouth,one who gossips more or says things that are meant to be kept secret,has a big mouth,he has a big mouth and can't keep a secret,the hippopotamus has a big mouth that can open up to 150 degrees,True,"The hypothesis is a literal interpretation of the idiom 'have a big mouth' because it refers to the physical size of a hippopotamus's mouth, rather than the figurative meaning of someone who talks too much or shares secrets.",False,0,False,False,I have a big mouth,I have a big mouth and always let secrets slip,I have a big mouth with a wide smile,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'literal']"
have a soft spot,to like someone very much,has a soft spot for kittens,"despite her tough exterior, she has a soft spot for kittens and always takes care of them",the veterinarian has a soft spot for kittens in her clinic where they can rest comfortably,True,"In this sentence, 'soft spot' is used to describe a physical location that is comfortable for kittens to rest, which is a literal interpretation of the phrase.",False,0,False,False,They have a soft spot,They have a soft spot for animals and donate frequently to wildlife conservation organizations,They have a soft spot in the floor which they cover with a rug when visitors come over,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
have clean hands,to be innocent; to be free of any wrongdoing,she maintained clean hands throughout the process,"despite the corruption around her, she maintained clean hands throughout the process by refusing to participate in any dishonest activities","as a surgeon, she maintained clean hands throughout the process by following strict hygiene protocols",True,"In this context, 'have clean hands' is used literally to describe the surgeon's physical cleanliness during the surgery, rather than the figurative meaning of being innocent or not involved in any wrongdoing.",False,1,False,False,He had clean hands,He had clean hands because he had no part in the scandal,He had clean hands because he washed them before dinner,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
have kittens,"to be very worried, upset, or angry about something",had kittens over the situation,she had kittens over the situation when she found out her son had crashed the car,the cat had kittens over the situation when she found a safe spot to give birth,True,"In this case, the hypothesis is a literal interpretation of the idiom 'have kittens', as it refers to a cat giving birth to kittens, rather than the figurative meaning of being extremely anxious or upset.",False,0,False,False,She had kittens,She had kittens when she heard about the terrible news,She had kittens when she gave birth to her litter of cats,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']"
have no truck with,avoid dealing or being associated with,have no truck with them,I decided to have no truck with them after they betrayed my trust,the delivery company said they have no truck with them to transport our goods,True,"In this context, 'have no truck with' is used to literally mean that the delivery company does not have a truck available for transporting goods, rather than the idiomatic meaning of not wanting to associate or deal with someone or something.",False,0,False,False,I have no truck with them,I have no truck with them because they keep lying to me,I have no truck with them because I don't need their help,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,False,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'figurative']"
head above water,to succeed to survive in bad financial situations,keeping her head above water,"despite the workload, she was keeping her head above water by staying organized","during the swimming lesson, she was keeping her head above water to breathe",True,"In this context, the idiom 'head above water' is used literally, as it describes the physical action of keeping one's head above the water surface while swimming.",False,0,False,False,She has kept her head above water,She has kept her head above water by never giving up in difficult moments,She has kept her head above water by swimming with a life jacket on,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
hide light under a bushel,to show modesty towards something or someone,hiding light under a bushel,"she was so talented, but she was always hiding light under a bushel by not showcasing her skills","during the game of hide and seek, he was hiding light under a bushel to avoid being found",True,"The hypothesis describes a situation where someone is physically hiding a light source under a bushel, which is a literal interpretation of the idiom. The figurative meaning of the idiom is to conceal one's talents or abilities.",False,0,False,False,Don't hide your light under a bushel,Don't hide your light under a bushel and reveal your talents to the world,Don't hide your light under a bushel; we need it to see in the dark!,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']"
high up,to have an important standing in society,so high up,he was so high up in the company that he had direct access to the CEO,the mountain peak was so high up that it was covered in snow,True,"In this context, 'high up' is used to describe the physical elevation of the mountain peak, which is a literal interpretation of the phrase.",False,0,False,False,He is high up,"He is high up in the company, leading the team","He is high up on the ladder, reaching the top",ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'ambiguous']"
hit the books,to study very hard,time to hit the books,"with exams approaching, it's time to hit the books and study hard","in a fit of rage, he decided it was time to hit the books and threw them against the wall",True,"The hypothesis describes a situation where someone physically hits the books, which is a literal interpretation of the idiom. The usual figurative meaning of 'hit the books' is to study hard.",False,0,False,False,He hit the books,He hit the books hard this week before his test,He hit the books with his fist because he was frustrated,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
hit the bull's-eye,to be exactly right about something or achieve the best result possible,hit the bull's-eye,her speech hit the bull's-eye and resonated with the audience,"with a steady hand, she aimed and hit the bull's-eye on the target",True,"In this context, 'hit the bull's-eye' is used literally as the person is actually aiming and hitting the bull's-eye on a target.",False,0,False,False,He hit the bull's-eye,He hit the bull's-eye when he wrote the perfect article and got published,He hit the bull's-eye when he shot an arrow at the target,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
hit the hay,to go to sleep or head to bed.,time to hit the hay,"after a long day at work, it was time to hit the hay","during the farm chores, it was time to hit the hay with a pitchfork",True,"In this context, 'hit the hay' is used to describe the physical action of hitting hay with a pitchfork, which is a literal interpretation of the phrase. The figurative meaning of 'hit the hay', which is to go to bed or sleep, is not used here.",False,0,False,False,I hit the hay early,I hit the hay early to be fresh for my morning classes,I hit the hay early because I needed a soft sleeping surface,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
hit the nail on the head,be accurately right about something,hit the nail on the head,"when she suggested a new marketing strategy, she really hit the nail on the head","with a single swing of the hammer, he hit the nail on the head and drove it into the wood",True,"The hypothesis describes a literal action of hitting a nail with a hammer, which is a direct interpretation of the idiom's words, rather than its figurative meaning of being exactly right or accurate.",False,0,False,False,He hit the nail on the head,He hit the nail on the head when he guessed my exact birthday!,He hit the nail on the head when he completed the task perfectly,ambiguous : figurative : figurative,ambiguous,figurative,figurative,False,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']"
hit the road,depart,hit the road together,we decided to hit the road together for a cross-country adventure,"during the earthquake, the car forcefully hit the road together with a loud thud",True,"In this context, 'hit the road' is used to describe a car physically making contact with the road during an earthquake, which is a literal interpretation of the idiom.",False,1,False,False,Let's hit the road,Let's hit the road and start our journey across the country,Let's hit the road so we can get to our destination,ambiguous : figurative : figurative,ambiguous,figurative,figurative,False,"['figurative', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']"
hit the roof,experience sudden anger,hit the roof unexpectedly,"when he found out about the surprise party, he hit the roof unexpectedly",the ball hit the roof unexpectedly when he threw it too high,True,"In this sentence, 'hit the roof' is used to describe a ball physically hitting the roof, which is a literal interpretation of the idiom. The figurative meaning of 'hit the roof' is to become extremely angry, which is not the case in this sentence.",False,0,False,False,He hit the roof,He hit the roof when he heard the news,He hit the roof when he joined the high-jump competition,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']"
hit the sack,to go to bed,she decided to hit the sack,"after a long day at work, she decided to hit the sack and get some sleep","during the pillow fight, she decided to hit the sack and send feathers flying",True,"In this context, 'hit the sack' is used literally, as it refers to physically hitting a sack (pillow) during a pillow fight. This is different from the idiomatic meaning of 'hit the sack', which means to go to bed or sleep.",False,0,False,False,He hit the sack,He hit the sack early since he was exhausted from work,He hit the sack just to push it aside,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
hold all the aces,be in a winning position.,he held all the aces,"during the negotiation, he held all the aces and had the upper hand","during the poker game, he held all the aces in his hand",True,"The hypothesis is a literal interpretation of the idiom, as it describes a situation where someone physically holds all the aces in a card game, rather than the figurative meaning of having an advantage or being in a strong position.",False,0,False,False,He holds all the aces,He holds all the aces as he knows the details of the situation,He holds all the aces as he was dealt a winning hand of cards,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
hold tongue,to keep quiet when one would rather speak,held their tongue,they held their tongue during the meeting to avoid causing conflict,"during the dental examination, they held their tongue to the side so the dentist could see better",True,"In this context, 'hold tongue' is used literally, as the person is physically holding their tongue to the side during a dental examination. It is not used in its idiomatic sense, which means to remain silent or not speak one's mind.",False,0,False,False,She held her tongue,She held her tongue to prevent herself from speaking too harshly,She held her tongue with her fingers,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['literal', 'ambiguous', 'literal']"
hold your horses,to wait,hold your horses for a moment,"before you jump to conclusions, hold your horses for a moment and listen to my explanation","as a carriage driver, it's important to hold your horses for a moment when stopping at an intersection",True,"In this context, 'hold your horses' is used literally, as it refers to physically holding the reins of horses to stop a carriage at an intersection.",False,0,False,False,Let's hold our horses,Let's hold our horses and take a step back to evaluate the whole situation,Let's hold our horses so that they don't run away,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
hornets' nest,a violent situation or one with a lot of dispute,stirred up a hornets' nest,"by questioning the company's policies, he stirred up a hornets' nest among the employees","while clearing the backyard, she accidentally stirred up a hornets' nest and got stung",True,"In this sentence, the hornets' nest is used in its literal sense, referring to an actual nest of hornets that the person disturbed, resulting in getting stung.",False,0,False,False,He stirred the hornets' nest,He stirred the hornets' nest when he asked questions he should have left alone,He stirred the hornets' nest when he disturbed the hive of buzzing insects,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
hot potato,any subject which several folks are talking about and which is frequently argued,handled the hot potato,the politician handled the hot potato by addressing the controversial issue,"during the picnic, she handled the hot potato carefully to avoid burning her fingers",True,"In this sentence, the hot potato is used in its literal sense, referring to an actual hot potato that could burn her fingers if not handled carefully.",False,0,False,False,They were passing around the hot potato,They were passing around the hot potato once they realized the project was too difficult,They were passing around the hot potato as an entertaining game before the meeting began,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,False,"['ambiguous', 'figurative', 'literal']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'ambiguous']"
household name,to be very popular,<become a household name>,her innovative invention helped her <become a household name> across the country,"after the census, everyone in the family had to <become a household name> on the official registration",False,"The idiom 'household name' is used figuratively to mean that something is well-known or popular. In this context, it does not refer to a literal name of a household.",False,0,False,False,He became a household name,He became a household name last year when his business took off,He became a household name since his name was written on all of the grocery lists and orders,figurative : figurative : figurative,figurative,figurative,figurative,False,"['literal', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']"
hung out to dry,"to abandon someone who is in difficulty, without giving any assistance or support",hung out to dry,"when the team failed to support her, she felt hung out to dry",the laundry was hung out to dry on the clothesline,True,"In this context, the phrase 'hung out to dry' is used literally to describe the action of hanging laundry on a clothesline to dry, rather than its figurative meaning of leaving someone in a difficult situation without help.",False,0,False,False,They hung her out to dry,They hung her out to dry when they refused to give her any help,They hung her out to dry in the sun to get rid of all the moisture on her clothes,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
icing on the cake,when something good is added to another good thing that you already have,the icing on the cake,getting a promotion was the icing on the cake after a successful year,she carefully spread the icing on the cake for her friend's birthday,True,"The hypothesis describes a literal action of spreading icing on a cake, which is a direct interpretation of the idiom's words, rather than its figurative meaning of an additional benefit or enhancement.",False,0,False,False,This was the icing on the cake,This was the icing on the cake as it made me understand the full picture,This was the icing on the cake after I finished decorating it,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
in a fog,in a great confusion,lost in a fog,"after the long meeting, he was lost in a fog and couldn't concentrate","while hiking, they were lost in a fog and couldn't find their way back",True,"In this context, 'in a fog' is used to describe the actual physical state of being surrounded by fog, which is a literal interpretation of the phrase.",False,0,False,False,I'm in a fog,I'm in a fog trying to figure out what to do next,I'm in a fog because the weather outside is foggy,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
in a nutshell,to be brief and straight to the point.,she explained it in a nutshell,she explained it in a nutshell so that everyone could understand the concept quickly,"as a creative challenge, she explained it in a nutshell by writing a tiny summary inside a walnut shell",True,"The hypothesis is a literal interpretation of the idiom 'in a nutshell' because it involves actually writing a summary inside a walnut shell, which is a literal nutshell.",False,0,False,False,It's in a nutshell,"It's in a nutshell, all of the information you need in order to make a decision","It's in a nutshell, so you can carry it wherever you need to go",literal : figurative : literal,literal,figurative,literal,False,"['literal', 'ambiguous', 'literal']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
in a pickle,to be in a difficult situation,found themselves in a pickle,they found themselves in a pickle when they realized they had double-booked their appointments,the tiny figurines found themselves in a pickle when they were accidentally placed inside a jar of pickles,True,"In this case, the hypothesis is a literal interpretation of the idiom 'in a pickle' because the figurines are physically inside a jar of pickles.",False,0,False,False,I'm in a pickle,I'm in a pickle trying to make the best choice,I'm in a pickle because I can't find the jar opener,figurative : figurative : figurative,figurative,figurative,figurative,False,"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']"
in at the deep end,to start a new job or activity without being prepared for it,thrown in at the deep end,"on her first day at work, she was thrown in at the deep end with a challenging project","during swimming lessons, he was thrown in at the deep end of the pool to test his skills",True,"The hypothesis is a literal interpretation of the idiom, as it refers to a person being thrown into the deep end of a swimming pool, which is the actual meaning of the words in the idiom.",False,0,False,False,She jumped in at the deep end,She jumped in at the deep end when she decided to take on the new project,She jumped in at the deep end of the pool since she wanted a cooler swim,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
in bed with,"to work with a person or organisation, or being involved with them, in a way that causes other people to distrust you.",in bed with the competition,the company was accused of being in bed with the competition to manipulate prices,"the two athletes, who were also roommates, found themselves sharing a room and sleeping in bed with the competition",True,"The hypothesis is a literal interpretation of the idiom 'in bed with' as it describes two athletes physically sharing a bed with their competition, rather than the figurative meaning of collaborating or having a close relationship with someone.",False,1,False,False,He was in bed with them,He was in bed with them when it came to making decisions,He was in bed with them when they all took a nap,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
in black and white,printed form of a document,put it in black and white,"to avoid any confusion, we decided to put it in black and white in the contract",the artist chose to put it in black and white for a more dramatic effect,True,"In this context, the idiom 'in black and white' is used to describe the literal colors of the artwork, not the figurative meaning of having clear and definite proof or evidence.",False,0,False,False,I wanted it in black and white,I wanted it in black and white so that there would be no more confusion between us,I wanted it in black and white so that we could see the words clearly,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'literal']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'ambiguous']"
in cold blood,in a cruel way and without pity or other emotion,<killed him in cold blood>,"the assassin <killed him in cold blood>, showing no remorse","during the winter, the snake <killed him in cold blood>, as its body temperature was low",False,"The idiom 'in cold blood' is used figuratively to describe an action done ruthlessly or without emotion. The hypothesis uses the idiom in a figurative sense, not in a literal sense related to the temperature of blood.",False,0,False,False,He killed him in cold blood,He killed him in cold blood without any thought or emotions,He killed him in cold blood because the temperature outside was low,figurative : literal : ambiguous,figurative,literal,ambiguous,False,"['figurative', 'literal', 'figurative']","['literal', 'figurative', 'literal']","['ambiguous', 'literal', 'ambiguous']"
in deep water,a very serious situation,found himself in deep water,"after making a costly mistake, he found himself in deep water with his boss","while swimming in the ocean, he found himself in deep water and struggled to stay afloat",True,"The hypothesis describes a literal situation where someone is swimming in the ocean and encounters deep water, causing them to struggle. This is a direct, literal interpretation of the idiom 'in deep water'.",False,0,False,False,He's in deep water,He's in deep water because he ran out of solutions for his problem,He's in deep water because he fell off a boat,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
in full swing,at a stage when the level of activity is at its highest,in full swing,"when we arrived, the party was in full swing and everyone was dancing",the pendulum of the grandfather clock was in full swing as it kept time,True,"In this context, 'in full swing' is used to describe the pendulum's movement, which is a literal interpretation of the phrase.",False,1,False,False,The party is in full swing,The party is in full swing as everyone is having a great time,The party is in full swing as the DJ is playing all the latest songs,figurative : figurative : figurative,figurative,figurative,figurative,False,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']"
in high dudgeon,feeling or exhibiting great resentment,left the room in high dudgeon,"after hearing the offensive remark, she left the room in high dudgeon","she left the room in high dudgeon, a castle known for its dramatic history",True,"In this case, the hypothesis is a literal interpretation of the idiom 'in high dudgeon' as it refers to an actual castle with a dramatic history, rather than the figurative meaning of being angry or offended.",False,0,False,False,She was in high dudgeon,She was in high dudgeon when I told her about my mistake,She was in high dudgeon when she got to the top of the hill,ambiguous : figurative : figurative,ambiguous,figurative,figurative,False,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']"
in hot water,in trouble or state of shame,found himself in hot water,he found himself in hot water after forgetting to submit the report on time,he accidentally found himself in hot water when he stepped into the scalding bathtub,True,"The hypothesis is a literal interpretation of the idiom 'in hot water' because it describes a person physically stepping into a hot bathtub, rather than being in trouble or facing difficulties.",False,0,False,False,He's in hot water,He's in hot water following the scandal that he has been caught in,He's in hot water because he was taking a hot shower,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']"
in one's blood,a natural or inherited characteristic.,it's in her blood,"she's a natural athlete, it's in her blood","the medication she took is now circulating, it's in her blood",True,"The hypothesis is a literal interpretation of the idiom 'in one's blood', as it refers to the actual circulation of medication within a person's bloodstream.",False,0,False,False,It runs in his blood,It runs in his blood to always stand up for what he believes in,It runs in his blood since he is related to the royal family,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']"
in stitches,to laugh so hard that you are not able to control yourself,<had everyone in stitches>,the comedian's performance <had everyone in stitches> with laughter,the tailor <had everyone in stitches> as he mended their clothes,False,"The idiom 'in stitches' is used to describe someone laughing uncontrollably, not literally being sewn together. The hypothesis is not a literal interpretation of the idiom.",False,0,False,False,We were in stitches,We were in stitches yesterday when we heard the funny story,We were in stitches when my grandma mended her old jeans,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,False,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'literal']"
in tandem,one after another,worked in tandem,the two departments worked in tandem to complete the project on time,"they worked in tandem on the bicycle, pedaling together",True,"In this case, the idiom 'in tandem' is used in its literal sense, as it refers to two people working together on a tandem bicycle, which is a bicycle built for two riders.",False,0,False,False,She worked in tandem,She worked in tandem to achieve the goal together with her partner,She worked in tandem on the tandem bike yesterday,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,False,"['figurative', 'ambiguous', 'literal']","['figurative', 'figurative', 'ambiguous']","['figurative', 'ambiguous', 'literal']"
in the bag,have something as good as secured or certain,had it in the bag,"after weeks of preparation, we had it in the bag for the competition",she had it in the bag when she went shopping for groceries,True,"In this context, 'in the bag' is used literally to describe an item being physically placed in a bag during grocery shopping. It does not use the figurative meaning of having a guaranteed success or victory.",False,0,False,False,This deal is in the bag,"This deal is in the bag, so the company is guaranteed to succeed",This deal is in the bag as they signed the contract yesterday,ambiguous : figurative : figurative,ambiguous,figurative,figurative,False,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']"
in the black,to not be in debt,finally in the black,"after months of struggling, our business is finally in the black",she wore a dark outfit and was finally in the black for the themed party,True,"In this context, 'in the black' is used to describe the color of the outfit, which is a literal interpretation of the phrase. The figurative meaning of 'in the black' refers to being financially profitable, which is not applicable here.",False,0,False,False,We are in the black,We are in the black as our company is making a profit this quarter,"We are in the black, as the accountant wrote this number in the black ink",ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']"
in the blink of an eye,in an instant,<vanished in the blink of an eye>,the opportunity to invest <vanished in the blink of an eye> as the market changed,the magician made the coin <vanished in the blink of an eye> during his performance,False,"The idiom 'in the blink of an eye' is used figuratively to describe something happening very quickly. The hypothesis does not interpret the idiom literally, as it does not involve the physical act of blinking an eye.",False,0,False,False,It was gone in the blink of an eye,"It was gone in the blink of an eye, leaving me in shock at how quickly the moment passed by","It was gone in the blink of an eye, as if it had never been there before",figurative : figurative : ambiguous,figurative,figurative,ambiguous,False,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'figurative']"
in the cross hairs,in a position where one might receive severe criticism,caught in the cross hairs,"as the whistleblower, he found himself caught in the cross hairs of the company's retaliation","during the paintball match, she was caught in the cross hairs of her opponent's gun",True,"In this context, 'in the cross hairs' is used literally to describe being targeted by an opponent's gun during a paintball match. The idiom is used in its literal sense, referring to the actual cross hairs of a gun.",False,0,False,False,The company is in the cross hairs,The company is in the cross hairs because its performance is not meeting expectations,The company is in the cross hairs because the snipers have them in their sights,figurative : figurative : literal,figurative,figurative,literal,False,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']"
in the dark,"uninformed, a state of ignorance.",kept in the dark,the employees were kept in the dark about the company's financial situation,"during the power outage, we were kept in the dark until the electricity came back",True,"In this context, 'in the dark' is used to describe the physical state of being without light during a power outage, which is a literal interpretation of the phrase.",False,0,False,False,They were in the dark,They were in the dark about the potential consequences of their decision,They were in the dark when the power went out,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
in the doghouse,someone who is in disgrace and very unpopular at the moment,in the doghouse with her,"after forgetting their anniversary, he was in the doghouse with her for a week",he crawled in the doghouse with her to retrieve the lost toy,True,"In this sentence, the idiom 'in the doghouse' is used literally, as it describes someone physically entering a doghouse to get a toy.",False,0,False,False,He's in the doghouse,He's in the doghouse because he forgot to pick up the kids,He's in the doghouse because that's where the dogs sleep,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['ambiguous', 'literal', 'literal']"
