annotations_ambiguous,annotations_figurative,annotations_literal,error,idiom,intended_ambiguous,intended_ambiguous_retrial,intended_figurative,intended_figurative_retrial,intended_literal,intended_literal_retrial,iter,maxvote - for sort,maxvote_ambiguous,maxvote_figurative,maxvote_literal,meaning,not_found,well_formed
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,head above water,She has kept her head above water,,She has kept her head above water by never giving up in difficult moments,,She has kept her head above water by swimming with a life jacket on,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to succeed to survive in bad financial situations,False,True
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",False,hide light under a bushel,Don't hide your light under a bushel,,Don't hide your light under a bushel and reveal your talents to the world,,Don't hide your light under a bushel; we need it to see in the dark!,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to show modesty towards something or someone,False,True
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'ambiguous']",False,high up,He is high up,,"He is high up in the company, leading the team",,"He is high up on the ladder, reaching the top",,,ambiguous : figurative : literal,ambiguous,figurative,literal,to have an important standing in society,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,hit the books,He hit the books,,He hit the books hard this week before his test,,He hit the books with his fist because he was frustrated,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to study very hard,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,hit the bull's-eye,He hit the bull's-eye,,He hit the bull's-eye when he wrote the perfect article and got published,,He hit the bull's-eye when he shot an arrow at the target,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to be exactly right about something or achieve the best result possible,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,hit the hay,I hit the hay early,,I hit the hay early to be fresh for my morning classes,,I hit the hay early because I needed a soft sleeping surface,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to go to sleep or head to bed.,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,hit the nail on the head,He hit the nail on the head,<hit the nail on the head>,He hit the nail on the head when he guessed my exact birthday!,"when she suggested a new marketing strategy, she really <hit the nail on the head>",He hit the nail on the head when he completed the task perfectly,"with a single swing of the hammer, he <hit the nail on the head> and drove it into the wood",0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,be accurately right about something,False,False
"['figurative', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,hit the road,Let's hit the road,<hit the road together>,Let's hit the road and start our journey across the country,we decided to <hit the road together> for a cross-country adventure,Let's hit the road so we can get to our destination,"during the earthquake, the car forcefully <hit the road together> with a loud thud",1.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,depart,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",False,hit the roof,He hit the roof,,He hit the roof when he heard the news,,He hit the roof when he joined the high-jump competition,,,ambiguous : figurative : literal,ambiguous,figurative,literal,experience sudden anger,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,hit the sack,He hit the sack,,He hit the sack early since he was exhausted from work,,He hit the sack just to push it aside,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to go to bed,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,hold all the aces,He holds all the aces,,He holds all the aces as he knows the details of the situation,,He holds all the aces as he was dealt a winning hand of cards,,,ambiguous : figurative : literal,ambiguous,figurative,literal,be in a winning position.,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['literal', 'ambiguous', 'literal']",False,hold tongue,She held her tongue,,She held her tongue to prevent herself from speaking too harshly,,She held her tongue with her fingers,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to keep quiet when one would rather speak,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,hold your horses,Let's hold our horses,,Let's hold our horses and take a step back to evaluate the whole situation,,Let's hold our horses so that they don't run away,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to wait,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,hornets' nest,He stirred the hornets' nest,,He stirred the hornets' nest when he asked questions he should have left alone,,He stirred the hornets' nest when he disturbed the hive of buzzing insects,,,ambiguous : figurative : literal,ambiguous,figurative,literal,a violent situation or one with a lot of dispute,False,True
"['ambiguous', 'figurative', 'literal']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'ambiguous']",False,hot potato,They were passing around the hot potato,<handled the hot potato>,They were passing around the hot potato once they realized the project was too difficult,the politician <handled the hot potato> by addressing the controversial issue,They were passing around the hot potato as an entertaining game before the meeting began,"during the picnic, she <handled the hot potato> carefully to avoid burning her fingers",0.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,any subject which several folks are talking about and which is frequently argued,False,False
"['literal', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']",False,household name,He became a household name,<became a household name>,He became a household name last year when his business took off,"after her successful book series, she <became a household name> in the literary world",He became a household name since his name was written on all of the grocery lists and orders,"when the family decided to name their new puppy after her, she <became a household name>",0.0,figurative : figurative : figurative,figurative,figurative,figurative,to be very popular,False,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,hung out to dry,They hung her out to dry,,They hung her out to dry when they refused to give her any help,,They hung her out to dry in the sun to get rid of all the moisture on her clothes,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"to abandon someone who is in difficulty, without giving any assistance or support",False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,icing on the cake,This was the icing on the cake,,This was the icing on the cake as it made me understand the full picture,,This was the icing on the cake after I finished decorating it,,,ambiguous : figurative : literal,ambiguous,figurative,literal,when something good is added to another good thing that you already have,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,in a fog,I'm in a fog,,I'm in a fog trying to figure out what to do next,,I'm in a fog because the weather outside is foggy,,,ambiguous : figurative : literal,ambiguous,figurative,literal,in a great confusion,False,True
"['literal', 'ambiguous', 'literal']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,in a nutshell,It's in a nutshell,<explained it in a nutshell>,"It's in a nutshell, all of the information you need in order to make a decision",he <explained it in a nutshell> so that everyone could understand the concept quickly,"It's in a nutshell, so you can carry it wherever you need to go","as a creative challenge, she <explained it in a nutshell> by writing a tiny summary inside a walnut shell",0.0,literal : figurative : literal,literal,figurative,literal,to be brief and straight to the point.,False,False
"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,in a pickle,I'm in a pickle,<found themselves in a pickle>,I'm in a pickle trying to make the best choice,they <found themselves in a pickle> when they realized they had double-booked their appointments,I'm in a pickle because I can't find the jar opener,the tiny figurines <found themselves in a pickle> when they were accidentally placed inside a jar of pickles,0.0,figurative : figurative : figurative,figurative,figurative,figurative,to be in a difficult situation,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,in at the deep end,She jumped in at the deep end,,She jumped in at the deep end when she decided to take on the new project,,She jumped in at the deep end of the pool since she wanted a cooler swim,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to start a new job or activity without being prepared for it,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,in bed with,He was in bed with them,,He was in bed with them when it came to making decisions,,He was in bed with them when they all took a nap,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"to work with a person or organisation, or being involved with them, in a way that causes other people to distrust you.",False,True
"['ambiguous', 'ambiguous', 'literal']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'ambiguous']",False,in black and white,I wanted it in black and white,,I wanted it in black and white so that there would be no more confusion between us,,I wanted it in black and white so that we could see the words clearly,,,ambiguous : figurative : literal,ambiguous,figurative,literal,printed form of a document,False,True
"['figurative', 'literal', 'figurative']","['literal', 'figurative', 'literal']","['ambiguous', 'literal', 'ambiguous']",False,in cold blood,He killed him in cold blood,<committed the crime in cold blood>,He killed him in cold blood without any thought or emotions,"the villain <committed the crime in cold blood>, showing no remorse",He killed him in cold blood because the temperature outside was low,the scientist <committed the crime in cold blood> while studying the effects of low temperatures on human behavior,0.0,figurative : literal : ambiguous,figurative,literal,ambiguous,in a cruel way and without pity or other emotion,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,in deep water,He's in deep water,,He's in deep water because he ran out of solutions for his problem,,He's in deep water because he fell off a boat,,,ambiguous : figurative : literal,ambiguous,figurative,literal,a very serious situation,False,True
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,in full swing,The party is in full swing,<the party was in full swing>,The party is in full swing as everyone is having a great time,"when we arrived, <the party was in full swing> with everyone dancing and laughing",The party is in full swing as the DJ is playing all the latest songs,the pendulum experiment demonstrated that <the party was in full swing> when the ball reached its highest point,0.0,figurative : figurative : figurative,figurative,figurative,figurative,at a stage when the level of activity is at its highest,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']",False,in high dudgeon,She was in high dudgeon,<left the room in high dudgeon>,She was in high dudgeon when I told her about my mistake,"after hearing the offensive remark, she <left the room in high dudgeon>",She was in high dudgeon when she got to the top of the hill,"she <left the room in high dudgeon>, a castle known for its dramatic history",0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,feeling or exhibiting great resentment,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",False,in hot water,He's in hot water,,He's in hot water following the scandal that he has been caught in,,He's in hot water because he was taking a hot shower,,,ambiguous : figurative : literal,ambiguous,figurative,literal,in trouble or state of shame,False,True
"['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']","['ambiguous', 'figurative', 'literal']",False,in light of,I changed my plans in light of the events,<in light of the recent events>,I changed my plans in light of the events that have taken place,the company decided to postpone the launch <in light of the recent events>,I changed my plans in light of the sun setting,the sun shone brightly <in light of the recent events> that took place outdoors,0.0,figurative : figurative : ambiguous,figurative,figurative,ambiguous,because of,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']",False,in one's blood,It runs in his blood,,It runs in his blood to always stand up for what he believes in,,It runs in his blood since he is related to the royal family,,,ambiguous : figurative : literal,ambiguous,figurative,literal,a natural or inherited characteristic.,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'literal']",False,in stitches,We were in stitches,<had everyone in stitches>,We were in stitches yesterday when we heard the funny story,his hilarious jokes <had everyone in stitches> at the party,We were in stitches when my grandma mended her old jeans,the tailor <had everyone in stitches> as he mended their clothes,0.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,to laugh so hard that you are not able to control yourself,False,False
"['figurative', 'ambiguous', 'literal']","['figurative', 'figurative', 'ambiguous']","['figurative', 'ambiguous', 'literal']",False,in tandem,She worked in tandem,<worked in tandem>,She worked in tandem to achieve the goal together with her partner,the two departments <worked in tandem> to complete the project on time,She worked in tandem on the tandem bike yesterday,"they <worked in tandem> on the bicycle, pedaling together",0.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,one after another,False,False
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,in the bag,This deal is in the bag,<had it in the bag>,"This deal is in the bag, so the company is guaranteed to succeed","after weeks of preparation, she <had it in the bag> and aced the interview",This deal is in the bag as they signed the contract yesterday,she <had it in the bag> when she found the missing wallet,0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,have something as good as secured or certain,False,False
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",False,in the black,We are in the black,,We are in the black as our company is making a profit this quarter,,"We are in the black, as the accountant wrote this number in the black ink",,,ambiguous : figurative : literal,ambiguous,figurative,literal,to not be in debt,False,True
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'figurative']",False,in the blink of an eye,It was gone in the blink of an eye,<vanished in the blink of an eye>,"It was gone in the blink of an eye, leaving me in shock at how quickly the moment passed by",the opportunity <vanished in the blink of an eye> when someone else took the job,"It was gone in the blink of an eye, as if it had never been there before",the magician made the coin <vanished in the blink of an eye> with his sleight of hand,0.0,figurative : figurative : ambiguous,figurative,figurative,ambiguous,in an instant,False,False
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",False,in the cross hairs,The company is in the cross hairs,<caught in the cross hairs>,The company is in the cross hairs because its performance is not meeting expectations,"as the whistleblower, he found himself <caught in the cross hairs> of the company's retaliation",The company is in the cross hairs because the snipers have them in their sights,"during the paintball match, she was <caught in the cross hairs> of her opponent's gun",0.0,figurative : figurative : literal,figurative,figurative,literal,in a position where one might receive severe criticism,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,in the dark,They were in the dark,,They were in the dark about the potential consequences of their decision,,They were in the dark when the power went out,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"uninformed, a state of ignorance.",False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['ambiguous', 'literal', 'literal']",False,in the doghouse,He's in the doghouse,,He's in the doghouse because he forgot to pick up the kids,,He's in the doghouse because that's where the dogs sleep,,,ambiguous : figurative : literal,ambiguous,figurative,literal,someone who is in disgrace and very unpopular at the moment,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",False,in the good books,He is in the good books,,"He is in the good books of his boss, making her more likely to grant him the promotion he seeks",,"He is in the good books at the library, allowing him to check out more books than the usual limit",,,ambiguous : figurative : literal,ambiguous,figurative,literal,be in somebody's favour or good opinion,False,True
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'ambiguous']",False,in the heat of the moment,He did it in the heat of the moment,<in the heat of the moment>,He did it in the heat of the moment without thinking about the consequences,he made a rash decision <in the heat of the moment> during the argument,He did it in the heat of the moment because the temperature was high,"while standing near the bonfire, they shared a passionate kiss <in the heat of the moment>",0.0,figurative : figurative : ambiguous,figurative,figurative,ambiguous,saying or doing something without thinking due go anger or excitement,False,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,in the loop,He is in the loop,,He is in the loop of the company's decision-making process,," ""He is in the loop of the race track",,,ambiguous : figurative : literal,ambiguous,figurative,literal,to be aware of the information,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']",False,in the pipeline,It's in the pipeline,<projects in the pipeline>,It's in the pipeline and should be available shortly,our company has several exciting <projects in the pipeline> for the upcoming year,It's in the pipeline and should be delivered in the next few days,the engineers were working on a system to detect leaks and monitor <projects in the pipeline>,0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,to be underway,False,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",False,in the red,Her bank account was in the red,<the company is in the red>,Her bank account was in the red due to her recent luxurious purchases,"due to poor financial decisions, <the company is in the red>",Her bank account was in the red because her bank used red ink to indicate a negative balance,"during the paintball match, <the company is in the red> team",0.0,figurative : figurative : literal,figurative,figurative,literal,more money going out than coming in,False,False
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'literal', 'figurative']",False,in touch,We need to stay in touch,<stay in touch>,We need to stay in touch and make sure that we keep up with each other's lives,"even after moving to another city, we promised to <stay in touch>",We need to stay in touch in order to interact with each other,"during the team-building exercise, we had to <stay in touch> by holding hands",0.0,figurative : figurative : literal,figurative,figurative,literal,"to remain in contact with someone, especially when separated by time or distance",False,False
"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,in your face,This was in your face,,"This was in your face, intended to be a warning for you",,"This was in your face, so you could feel it on your skin",,,ambiguous : figurative : literal,ambiguous,figurative,literal,"a bold, defiant or aggressive manner",False,True
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,it's a small world,It's a small world,,It's a small world when I unexpectedly ran into my old high school teacher,,It's a small world when we can travel around it in less than two hours,,,ambiguous : figurative : literal,ambiguous,figurative,literal,meeting someone not expected to be at a certain place,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['figurative', 'figurative', 'literal']",False,it's not brain surgery,It's not brain surgery,<it's not brain surgery>,"It's not brain surgery, so you shouldn't have to spend too much time on it","don't worry about assembling the furniture, <it's not brain surgery>","It's not brain surgery, so you don't have to be a neurosurgeon to do it""","fixing a broken computer is complicated, but <it's not brain surgery>",0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,to indicate that a specific task is simple and easy to undertake ,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",False,jam on your face,John had jam on his face,<had jam on his face>,John had jam on his face when we saw him in the party,"after making a mistake in the presentation, he <had jam on his face> in front of the whole team",John had jam on his face when we saw him eating toast,"while eating breakfast, he accidentally <had jam on his face> from the toast",0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,"people who appear to be caught, embarrassed or found guilty",False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'literal', 'ambiguous']",False,jobs for the boys,They got jobs for the boys,,"They got jobs for the boys, which means they're looking to only hire people they know",,"They got jobs for the boys, so they'll be able to make some money",,,ambiguous : figurative : literal,ambiguous,figurative,literal,work that someone in an important position gives to their friends or relations,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']",False,joined the club,He joined the club,<joined the club together>,He joined the club when he was hired by the prestigious company,"after experiencing the same misfortune, they <joined the club together>",He joined the club when he paid his membership fee,they filled out the membership forms and <joined the club together>,0.0,ambiguous : literal : literal,ambiguous,literal,literal,"said in answer to something that someone has said, meaning that you are in the same bad situation as they are",False,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'ambiguous', 'ambiguous']",False,"judge, jury and executioner","He was the judge, jury and executioner","<acting as judge, jury, and executioner>","He was the judge, jury and executioner of his own decisions","he was <acting as judge, jury, and executioner> when he made the decision without consulting anyone","He was the judge, jury and executioner at the court hearing","in the dystopian play, the main character was <acting as judge, jury, and executioner> in a twisted legal system",0.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,"people that are in charge of every decision made, and they have the power to be rid of whomever they choose",False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,jump on the bandwagon,Everyone was jumping on the bandwagon,,Everyone was jumping on the bandwagon by supporting the popular opinion,,Everyone was jumping on the bandwagon as part of the parade performance,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to start doing something because it is fashionable or profitable,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,jungle out there,It's a jungle out there,,It's a jungle out there and it's hard to stay ahead of the rat race,,It's a jungle out there and it's full of dangerous wild animals,,,ambiguous : figurative : literal,ambiguous,figurative,literal,the situation is dangerous and is characterized by ruthless behavior and competition,False,True
"['ambiguous', 'literal', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,jury's out,The jury's out,,The jury's out on what to do next,,The jury's out after deliberating in the courtroom,,,ambiguous : figurative : literal,ambiguous,figurative,literal,when there is no general agreement or consensus on something,False,True
"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['ambiguous', 'literal', 'literal']",False,just deserts,I got my just deserts,,I got my just deserts when I benevolently helped someone in need,,I got my just deserts when I ordered a dessert in the restaurant,,,ambiguous : figurative : literal,ambiguous,figurative,literal,get what one deserves,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,just off the boat,He's just off the boat,,"He's just off the boat, but he's already been living the high life",,"He's just off the boat, where he sailed from across the ocean",,,ambiguous : figurative : literal,ambiguous,figurative,literal,a person who is naive and inexperienced,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'ambiguous', 'literal']",False,just what the doctor ordered,It was just what the doctor ordered,,It was just what the doctor ordered to make things better between us,,It was just what the doctor ordered for her medical condition,,,ambiguous : figurative : literal,ambiguous,figurative,literal,exactly what was wanted or needed,False,True
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']",False,keep an eye on,He keeps an eye on her,<keep an eye on the situation>,He keeps an eye on her to make sure she doesn't make any mistakes,"as a supervisor, it's my responsibility to <keep an eye on the situation> and ensure everything runs smoothly",He keeps an eye on her to make sure he can see her from across the room,the security guard had to <keep an eye on the situation> by monitoring the surveillance cameras,0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,keep a watch on something or someone closely,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'literal']",False,keep at arm's length,I've been keeping him at arm's length,<kept him at arm's length>,I've been keeping him at arm's length because I don't think he's sincere,"despite his attempts to get closer, she <kept him at arm's length> due to her cautious nature",I've been keeping him at arm's length because he's standing across the room,"during the self-defense training, she <kept him at arm's length> to maintain a safe distance",1.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,keep distance from something or somebody,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['ambiguous', 'ambiguous', 'literal']",False,keep card close to chest,They are keeping their cards close to their chest,<kept their cards close to their chest>,"They are keeping their cards close to their chest, not giving hints as to what their next move will be","during the negotiations, they <kept their cards close to their chest> and didn't reveal their true intentions",They are keeping their cards close to their chest when playing poker,"while playing poker, they <kept their cards close to their chest> so no one could see their hand",0.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,"be secretive or cautious, give nothing away",False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,keep the wolf from the door,They did what they could to keep the wolf from the door,,They did what they could to keep the wolf from the door and stay afloat even in difficult times,,They did what they could to keep the wolf from the door and prevent him from entering their home,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to have sufficient money to prevent starvation or hunger,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,keep your hair on,"Keep your hair on, now",,"Keep your hair on now, there's no need to get angry",,"Keep your hair on now, you don't want to get it cut",,,ambiguous : figurative : literal,ambiguous,figurative,literal,to request someone to stay calm and not get annoyed,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,keep your nose clean,She keeps her nose clean,,She keeps her nose clean by staying out of trouble,,She keeps her nose clean by washing it everyday,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to stay out of trouble by not doing anything wrong,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,kick the bucket,He kicked the bucket,,He kicked the bucket when he passed away,,He kicked the bucket out of frustration,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to die,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,kick yourself,She kicked herself,,She kicked herself for not taking the opportunity when she had the chance,,She kicked herself with her foot,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to be angry with yourself for something you have or have not done,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,kill two birds with one stone,She killed two birds with one stone,,She killed two birds with one stone when she solved two problems with one decision,,She killed two birds with one stone when she threw a rock at them,,,ambiguous : figurative : literal,ambiguous,figurative,literal,accomplish two different things at the same time,False,True
"['ambiguous', 'figurative', 'ambiguous']","['ambiguous', 'figurative', 'literal']","['ambiguous', 'literal', 'ambiguous']",False,kiss and make up,They kissed and made up,<kiss and make up with her>,They kissed and made up after arguing with each other,"after the argument, he decided to <kiss and make up with her> to resolve their differences",They kissed and made up when they spent time together,"during the play, the actors had to <kiss and make up with her> as part of the scene",0.0,ambiguous : ambiguous : ambiguous,ambiguous,ambiguous,ambiguous,to become friendly again after an argument,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",False,knee jerk reaction,His knee jerk reaction,,His knee jerk reaction to the bad news was to move away from the city,,His knee jerk reaction to the loud noise was to jerk his knee,,,ambiguous : figurative : literal,ambiguous,figurative,literal,an automatic response to something,False,True
"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",False,knight in shining armour,He was her knight in shining armour,<a knight in shining armour>,He was her knight in shining armour when he always knew what to say to make her feel better,he came to her rescue like <a knight in shining armour> when she needed help,He was her knight in shining armour when he wore a suit of armour to their prom,"at the medieval festival, there was <a knight in shining armour> on horseback",0.0,figurative : figurative : literal,figurative,figurative,literal,used to describe someone who saves you from a difficult situation,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'literal', 'figurative']","['literal', 'literal', 'literal']",False,knock on wood,We knocked on wood,<knocked on wood>,We knocked on wood for good luck,"hoping for good luck, he <knocked on wood> before the big presentation",We knocked on wood so people at the door could hear us,"to test the sturdiness of the table, she <knocked on wood>",0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,tap knuckle on wood in order to avoid bad luck,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']",False,know the ropes,He knows the ropes,<knew the ropes well>,He knows the ropes when it comes to the stock market,"having worked there for years, she <knew the ropes well> and could handle any task","He knows the ropes to the ship, having worked there for years","as an experienced sailor, he <knew the ropes well> and could tie any knot",0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,to know all the ways and means to get something done,False,False
