idiom,meaning,example
recharge one's batteries,take a break or holiday to relax and regain one's vim and vigour,"After all of this hard work, set some time aside to recharge your batteries."
in cold blood,in a cruel way and without pity or other emotion,One young lady was shot dead in cold blood inside the premises of the shopping complex.
all hell will let loose,"a situation suddenly becomes noisy and violent, usually with a lot of people arguing or fighting",All hell will let loose when the caged animals break out of their cages.
bury the hatchet,to stop fighting or arguing or to end old resentments,"After many quarrelling years, the two political parties finally decided to bury the hatchet."
go out on a limb,do or say something that is different from most other people,"During an analysis of the news, he went out on a limb and expressed an opinion opposite to that held by the general public."
cat among the pigeons,do or say something that causes trouble and make a lot of people angry or worried,The foreigner put the cat among the pigeons when he made some sensitive comments about the people's religion.
close call,a narrow escape from disaster,"It was quite a close call, but my father managed to avoid hitting the animal that ran across the highway."
bright spark,an intelligent and lively person (humorously),Emma is the bright spark of the school – she scored the highest marks in the class.
king of the hill,be the undisputed champion,"He made £3 million before he was 30, so he is the king of the hill in this industry."
bare bones,most basic and important elements or facts,Wendy told us a bare-bones version of the long story.
waiting time,a period of time from when action is requested to when it happens,The waiting time for non-urgent surgery seems to be on the increase over the last five years.
"get the sack (boot, axe)",be dismissed from the job,"If you can't do your job properly, you're going to get the sack."
leg up,give or receive assistance to achieve a goal,Completing the summer study program gives pupils a leg up in the following academic year.
in hot water,in trouble or state of shame,The opposition leader landed himself in a whole load of hot water after making several vulgar comments.
cold shoulder,to treat somebody with coldness and contempt,"I fought with my wife, and she is now giving me the cold shoulder."
fly off the handle,To lose one's temper and get angry for seemingly no reason (does not usually refer to situations that would warrant an emotional response).,I was so happy to find a parking spot and get out of the store when Jim came flying off the handle and yelled at me in front of everyone in line.
take a cue from,to do what is recommended by someone else,"I'm not good at belly dance, so I'll take my cue from you."
black book,a book containing a list of secret contacts,Ann will not invite Bob to the party because he has been in her black books for so long.
in the bad books,out of favour,Maria remains in his bad books after the argument between both.
brain drain,the migration of highly skilled or trained people from a particular country,The slowdown in the advanced countries triggered a reverse brain drain to developing countries.
alma mater,"the school, college, or university that one attended or in which one has studied",He was delighted when he was offered the position of professor of English at his alma mater.
out of hand,out of control,"When the police arrived, they realised the party was getting out of hand."
feel blue,to feel sad or depressed,"Yesterday I felt blue, and nothing seemed to cheer me up."
so far so good,progress has been satisfactory up to now,"Thanks for asking; so far, so good."
no picnic,used to express that an activity or action is not fun,I love having little kids around but cleaning up after them is no picnic.
in at the deep end,to start a new job or activity without being prepared for it,Soldiers are thrown in the deep end when they have just joined the army.
jump to conclusions,to predict a situation without having sufficient information,Wait till we get the report; don't jump to conclusions.
too close for comfort,to be very close to something dangerous or unwelcoming,"She was standing on the edge of a cliff in the photo, too close for comfort."
zonk out,to fall asleep very promptly,"After a very hard-working day, she zonked out."
jump on the bandwagon,to start doing something because it is fashionable or profitable,The whole town was quick to jump on the bandwagon when people began to realize the home team would win the championship.
storm in a teacup,an excessive enthusiasm or rage about a minor matter,I find the whole issue about these gender roles a storm in a teacup.
tempest in a teapot,when a minor issue causes an exaggerated reaction of anger or trouble,"At first, I thought we were having a general discussion, but it ended setting off a tempest in the teapot."
put your foot in it,"say something (by mistake) that upsets, humiliates, or embarrasses someone",Carla put her foot right in it when she congratulated her neighbour on being pregnant. It turns out she's not expecting but had just put on weight.
backroom boy(s),people who work in anonymity,They left the technical problems for the back-rooms boys. They will make short work of it all.
end up,reach a particular place or condition,They ate so much that they ended up feeling ill for the rest of the day.
buffer zone,neutral zone between two or more areas,The council proposed to plant some parkland as a buffer zone between the industrial estate and the new housing project.
ward off,to prevent something from harming you,Our government has doubled the number of soldiers at the border to ward off illegal immigrants.
on a roll,making a lot of progress,Our team has won eleven out of our twelve matches this season. We are on a roll.
fast food,food that is tasty but has less or no nutritional value is referred to as fast food,Nina loves French fries and other fast food.
toot one's own horn,speak boastfully about oneself,My father told me never to toot my own horn.
act of God,an occurrence of out of control natural forces in action,No matter how strong you are but you can't stop the acts of God.
out of the frying pan into the fire,to go from a bad to worse situation,"In a bid to gain independence, she agreed to get married early, not knowing she was jumping out of the frying pan into the fire."
Easter egg,a decorated or dyed egg usually given to children at Easter,"While scrolling down the menu of Grand Theft Auto V, I happened upon an Easter egg."
pie in the sky,used to portray or refer to something that is lovely to consider however is probably not going to happen,Her dream of wanting to move to London to become a famous singer is a pie in the sky if you ask me.
mark my words,used to let someone know to pay attention to what you are saying because it is very important especially when you are certain something would happen in future,"Mark my words, she won't regret taking me up on my offer."
drop by,an informal visit,I hope to finish the dress before Saturday. If you want to see what it looks like you should drop by over the weekend.
easy does it,"used to tell someone to go ahead with something with slowly, and carefully","Sandra: I asked him for a simple drawing! To be honest, I am so angry right now. Andrew: Easy does it, Sandra. We will make sure he refunds the money."
catch up,"to get to the same level, standard, or status as something or someone",Singapore is trying so hard to catch up with Japan when it comes to technological advancements.
set off,to start a journey,We would like to set off for Paris by 10 o'clock tomorrow morning.
bundle up,to dress warmly to protect oneself from the elements,It is important to bundle up before you go out to keep from getting cold.
chill pill,something that has a relaxing outcome,Can someone please tell Matthew to take a chill pill? We will be on time for the party.
lean towards,to be interested in something,I am not sure which couch would look best in our house. I am leaning towards the blue one. What do you think?
walking on air,to be very happy (elated),I have been walking on air since I found out that I have been awarded a scholarship to study music.
mind your own beeswax,do not interfere into someone else's matter,"I am not asking for your opinion, mind your own beeswax."
take for granted,to underestimate the value of something or someone,I took the weather for granted when I lived in America. Now I am struggling to get used to the cold.
by chance,something which was not planned to happen,He told himself that it was by chance so as to bring peace to his mind.
put the brakes on,to stop or slow down an activity,The economic situation is not looking good because of Brexit and this making the Prime Minister put the brakes on international investments.
broken heart,"when a person is emotionally sad or grief-stricken, then it's broken hearted","I know he broke your heart, but there are other boys out there who are better than him."
blind as a bat,unconscious to something,"Maria is so in love, she is as blind as a bat when it comes to Mark's rude behavior."
in a fog,in a great confusion,Jane always seems to be in a fog.
forty winks,"sleep for a while, mostly during the day",The bank manager caught the security guard while taking forty winks on duty.
all that glitters is not gold,the shining outer look of something is not a consistent sign of its real character,My grandmother advised me to be careful about making new friends because all that glitters is not gold.
when hell freezes over,"impolite way of saying ""it will never happen""","I guess, she will forgive you when hell freezes over."
the devil is beating his wife,raining whereas the sun is shining.,The sunshower is said to occur when the devil is beating his wife in various German-speaking countries.
on your mark,absolutely accurate,"Runners, please get ready. On your mark, get set, go!"
sleep tight,an affectionate way of wishing someone a good night's sleep,"I am going to bed now. Good night, sleep tight."
in vain,without success,It seems as if the merger will go through and all our hard work has been in vain.
zip it,to ask someone to shut up,The teacher had asked the class to zip it but today everybody seemed to want to talk a lot. So she punished the entire class.
up to no good,to have an evil plan,The children can be up to no good cooped up in that attic together for two hours. You must go up and check.
stands to reason,to reach a logical conclusion,The company stands to reason that the project will take at least another six months to conclude given that none of the managers have a better grip on the work.
so to speak,as it where,"I will tell you what is going on but only because you are already family, so to speak."
keep the wolf from the door,to have sufficient money to prevent starvation or hunger,Both the man and his wife must work long hours just to keep the wolf from the door.
free spirit,a person who freely lives a life of his own way,"His wife is a free spirit, she does not believe in the work that we do."
head above water,to succeed to survive in bad financial situations,I have to work 60 hours a week just to keep my head above water. I don't know how people do it.
make ends meet,make sufficient money to survive on,We will need to start saving money in order to make ends meet.
kick the habit,to overcome an addiction especially of an addiction like drugs,"Even after trying so hard, I could not kick the habit of drinking."
"once bitten, twice shy",a bad experience cause to believe caution,"I will never work with Peter again. He expects everyone to do the work on his behalf, once bitten twice shy."
first light,the time when the light begins to appear in the morning,The search for the missing children will continue at first light.
under fire,being shot at,The politician came under fire after it was discovered that he had spend campaign money on lavish parties.
fair-weather friend,used to refer a friend who is not reliable in difficult times,"Simran is looking for a loyal friend, not a fair-weather friend."
dollars to donuts,an outcome that is almost assured is called as dollars to doughnuts,And I'll bet dollars to donuts that he will have no strategic plan on how to effectively deny Clinton's speech.
apples to apples,having a fair comparison between the two things,To find out who is stronger is the apples to apples measure their capability to win the first prize in the field of Olympics.
music to ears,something that is soothing to your ears,Our teacher told us that we will get a long summer break and this was just music to my ears.
against the grain,a difficult path to be followed,It is against the grain for me to tackle dishonest people.
out of business,out of operational conditions,"If we keep on selling our goods at the same price, we will soon go out of business."
bite head off,overreact in an angry or harsh way,His mother nearly bit his head off when he got his new shoes dirty.
old school,old fashioned ideas or approach compared to current trends,"Dress smart when you come round for dinner, my father is a bit old school."
in light of,because of,"In light of what happened last week, please take care on the escalators."
keep promise,be faithful to your word,How on earth can I marry him when he can't keep his promises?
goose egg,zero,"We had a good game, but the score was goose egg."
topsy-turvy,with the top at the bottom,Everything has been topsy-turvy since we moved in. I can't find anything until I unpack properly.
when life gives you lemons,make the best out of a difficult situation,"She tried to live by the motto 'when life gives you lemons, make lemonade.'"
knotty problem,difficult or complex problem,The accountant always found the end of the tax year to be a knotty problem.
call of duty,something you must do or feel compelled to do,Both of my grandfathers felt it was their call of duty to enlist immediately for active service when the war broke out.
Herculean task,a task requiring huge amounts of physical strength,"It will be a Herculean task to get through to the quarter-finals, but this untested team is up for the challenge."
fight tooth and nail,to fight very fiercely,I want this job so I'm going to fight tooth and nail for it.
turn against,to change from supporting something to opposing it,A section of his supporters turned against him when they heard his latest speech on immigration.
a hard nut to crack,a problem that is difficult to solve,She's such a tough nut to crack. Nobody seems to be able to get through to her.
fan the flames,make a bad situation even worse,The president's racist comments are really going to fan the flames of hatred among the crowd.
two peas in a pod,practically identical in appearance,"Those boys could be twins, they are like two peas in a pod."
pay lip service,to agree by word of mouth only,"He paid lip service to the cause, but he hasn't lent a hand yet."
get rid of,to remove something or someone,"He finally got rid of the door to door salesman, by saying he had to go out."
bang for the buck,more value for money,"We tried that new Indian restaurant last night. The food was excellent, and the prices weren't too bad either, so we got a lot of bang for our bucks."
rabbit hole,mentally go somewhere surreal or strange,Peter is having another one of his parties on Friday. Time to go down the rabbit hole again.
turn aside,refuse entry to somewhere,His job application was turned aside when they saw his criminal record.
call on,"use courage, reserve, nerve or strength to achieve something",He had to call on all his strength to get to the finals.
prevention is better than cure,easier to stop problems than correct them later,It is good to keep vaccinations up to date as prevention is better than cure.
burst the bubble,the sudden end of a very happy or successful period,She looked so happy about getting married that her sister just couldn't burst the bubble.
in the loop,to be aware of the information,Katy was always happy that her friends kept her in the loop with the latest gossip.
fair and square,done according to the rules,The supporters for the other team were angry but we won the game fair and square.
"six of one, half a dozen of the other",comparison between the two things which are identical,"If I go north or south, I will turn up at the same location. It is six of one, half dozen of the other."
black day,it is a day on which something terrible has happened,My grandmother told me that it is a black day tomorrow.
spend a fortune,a great amount of money,Do not spend a fortune on the gifts to make others happy.
as a result,the outcome of something that you have done.,"As a result of this mishap, he was not on work for a week."
rule out,to exclude out something,Rule out each and every word from the application which you don't want the principal to read.
dead in the water,unable to produce movement,Their company is trying to revive an income that is dead in the water.
dead as a doornail,becoming obsolete,The flowers are all dead as a doornail.
make a mountain out of a molehill,magnifying the content,"You are just making a mountain out of a molehill, you just gave a wrong answer, it doesn't mean you're not going to qualify to the second round."
miles away,unaware of the current situation,"Just by reading her facial expressions, I can easily tell you that she is miles away."
the lion's den,a place which is uncomfortable,Two of the new students were thrown into the lion's den as their ragging was taking place.
good grief,occurrence of something shocking,"Good grief, is she going to kick her brother in front of the entire school? This is really shocking for me."
mind your own business,to look into your own matter,I would like you to mind your own business and stop telling me what to do.
get on nerves,tick someone off,Put your mobile phone in a silent mode - its loud ringtone is getting on my nerves.
get the wrong end of the stick,to understand something in the wrong way,"When Jack and Taylor arrived at the award function together, everyone got the wrong end of the stick."
Black Friday,a day of a financial disaster,My friends wait desperately for online sales on Black Friday.
long run,far away in the future,"To make this project successful in the long run, they will need more partners."
live wire,an energetic and volatile person,John is such a live wire; he is a good source of entertainment.
troubled waters,a difficult phase of life,"The situation was getting worse, but like all the other members of the company, he was fascinated by troubled waters."
home is where the heart is,a place you feel connected to emotionally,"No matter where I go, it's always so lovely to come back here. Home is where the heart is after all."
does exactly what it says on the tin,someone or something is exactly as they seem,"This medicine does exactly what it says on the tin, because I feel so much better."
ahead of the curve,better than others,"His ideas are so innovative, he is way ahead of the curve. He might end up running the company at this rate."
pipe dream,an impossibility,"His plans of becoming an astronaut are a pipe dream, he should be more realistic."
snow under,to bury or cover something or somebody in the snow (Literal meaning),I feel snowed under with all the work my boss keeps throwing my way.
lone it,to do an activity alone,"They asked him to go to the movies, but he decided to lone it."
green thumb,good gardening results,My mother has green fingers. She can grow just about anything in the garden.
been around,(existed) been present and active.,This is not a new viral video; it's been around for a couple of years.
keep one's own counsel,say little or nothing about one's opinions or intentions.,"I doubted what he said, but I kept my own counsel."
have designs on,to have a plan or secret desire to get something.,to have a plan or secret desire to get something.
easier said than done,to explain that a task is easier to talk about than perform.,It's easier said than done when it comes to convincing people that something is true.
a quick buck,to make money quickly.,He decided to make a quick buck by selling his CD collection.
on the line,to be at serious risk.,Put your toes on the line and form up!
in the pink,in good health and spirits.,"As a famous president, he has the perfect reason to be in the pink."
not all it's cracked up to be,Not as good as people say it is.,The highly ranked institutions in Boston aren't all they're cracked up to be.
in one's blood,a natural or inherited characteristic.,Singing is in Nina's blood.
sacred cow,something that people believe or accept as true without questioning it.,The journalist esteemed too many sacred cows.
not have a clue,to not know something.,"You think you're smart, but you do not have a clue about how things work."
break one's back,get through the hardest part of something.,I'm tired and need an ice-cold drink. I broke my back at work today on that project.
foot in the door,succeed with a first step.,Mary was so excited to get her foot in the door with her new internship.
in bed with,"to work with a person or organisation, or being involved with them, in a way that causes other people to distrust you.",The two young men were in bed with the neighborhood gangs.
dig one's own grave,"to do something that has negative consequences for you, even though these consequences can be easily seen.",She dug her own grave when she started talking behind her boss's back.
make a beeline for,to go straight for something.,The linebacker made a beeline for the quarterback when he saw an opening.
belle of the ball,the most beautiful woman in a gathering.,She felt like the belle of the ball as she danced the night away with her beau.
as thick as thieves,a very secretive and close relationship between people.,They remained as thick as thieves for several weeks. This made us curious to know what they were doing. 
take with a grain of salt,to understand that something is not completely true or right,"I have read the article, but I take it with a grain of salt."
every man Jack,everyone without exceptions.,I'd bet every man Jack of them are spies.
blank check,Complete authority or unrestricted freedom of action or a free hand.,Roger was given a blank check by Mr. Musk. He could spend as much as he wanted to implement the latest driving technology.
come to grief,to have an accident or suffer disaster.,Their relationship came to grief following their disastrous vacation.
make a clean breast,to tell the truth about something.,Sharon made a clean breast of it and threw Ashley under the bus.
bone to pick,having a complaint that needs to be discussed.,Jake walked up to Robert and told him that he had a bone to pick with him.
on the blink,to be malfunctioning or not operating correctly.,The computer is on the blink again; I really need to check whether there's a virus causing problems.
hit the sack,to go to bed,I am really tired after all that exercise. I am going to hit the sack.
hit the hay,to go to sleep or head to bed.,"I have to get up early, so I better hit the hay soon. "
easy money,"Rewards, progress or other good results with little or no effort.","The problem is that the working class perpetually has to struggle to get by, whereas the rich continually have access to easy money."
lights are on but nobody is home,used to describe a stupid person.,"No matter how hard I try to understand what Jim is talking about, it is apparent that his lights are on but nobody is home."
between the devil and the deep blue sea,between two equally difficult or unacceptable choices.,I am in a pickle. Anything I do is going to cause this situation to turn out bad. I'm really stuck between the devil and the deep blue sea.
cross swords,to fight with another person physically or verbally.,The vice-presidents crossed swords at all policy meetings.
the other side of the coin,"the opposite aspect, contrasting arguments.",You should consider the other side of the coin when a wife leaves her husband and not just blame her for walking out on him.
cakewalk,something that can be easily accomplished.,"I thought the course was going to be difficult, but it ended up being a cakewalk."
class act,"high-quality performance or display; additionally, the performer",LeBron James has truly been a class act in basketball long before he entered the NBA.
child's play,an informal expression meaning something that is easy to do,"If you practise enough, driving will eventually become child's play."
cover one's tracks,"to keep one's location, activities, and intentions hidden.","The burglars were very meticulous in covering their tracks, making it difficult for law enforcement to catch them."
off grid,disconnected from municipal utility systems.,"Tony built an off-grid bunker, complete with non-perishable food, a water purification system, and solar panels."
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.","I made it all the way up the steep incline, but I didn't have the energy to go on. "
clarion call,A clarion is a high-pitch bugle.,All of the citizens heard the clarion call and prepared themselves to defend their city. 
fall on deaf ears,to disregard or ignore.,His protestations that the project would put the firm over budget fell on deaf ears.
riddle me,"a catchphrase used to introduce a joke, observation, question, or riddle.","Despite acting so confidently, riddle me this: how will we get all that money within a day?"
cross paths,encounter or meet someone by chance.,I believe we will cross paths soon.
bat an eye,"to avoid expressing surprise, fear, or shock.",The man didn't bat an eye when the explosions went off around him and bullets zipped past his head.
faint of heart,to not be strong enough to handle a situation.,This movie is not for those who are faint of heart. You better go to bed right now.
from cradle to grave,The phrase is used to refer to something that spans a human lifetime.,"He was a difficult man; from the cradle to the grave, he was constantly angry or upset."
turn the tables,change your position with respect to someone else.,"After flying back to town, I went to Jenna's place uninformed to surprise her & to my amaze she had already planned a party to welcome me. I should have known she is smart enough to turn the tables."
straighten up and fly right,to get serious and stop acting absurd anymore.,You haven't been staying on top of your homework. You better straighten up and fly right or you will get a bad grade.
turn down a glass,to decline something that someone has offered.,to decline something that someone has offered.
watchdog,"one who protects against loss, corruption, waste, or objectionable practices.",Professor Smith was doing a lot of watchdogging during the mid-term exams at Polk High.
right as rain,to imply that everything is satisfactory.,He was right as rain after a few days in bed after getting injured.
"day in, day out","every day, without respite.","They had to endure the city's dirt and noise day in, day out. "
down for the count,"doomed, finished, or defeated.",I doubt she'll leave the hospital. Her illness has her down for the count.
like a duck to water,to do something very quickly and enjoy doing it.,She's taken to her grandmother's house like a duck to water.
a whole new ball game,a significant change in circumstances.,"For most young adults, moving out is a whole new ball game."
short fuse,to get angry quickly.,He has a short fuse. He loses his temper for things that don't provoke others to high levels of angry emotion.
give it a whirl,to try something new.,"The ski instructor told Sally to ""give it a whirl"" on the beginner's ski slope by following his exact moves."
lose your marbles,strange behaviors.,"When he made the decision to make his selecting passion a full-time endeavor, everyone said, ""James, you've lost your marbles."""
plain as day,easy and clear to understand.,"If you are unsure about using the equipment, please read the instructions. Its manual is as plain as day."
step up your game,"to improve the performance, quality, skill, or talents.","Matthew said to Sarah, ""Step up your game,"" to which she replied, ""I already have by memorizing every act in Shakespeare's The Tempest this week."""
up a creek without a paddle,being in trouble.,"With no savings, being fired will leave me up the creek without a paddle."
you rock,explaining how awesome and cool a person is.,You rocked the cast interview today.
lead astray,make someone act or think in a wrong or foolish manner.,The interrogators in the case were led astray by false information from one of the witnesses.
cast aspersions,to criticize somebody or somebody's character.,His opponents never missed an opportunity to cast aspersions on his professionalism.
alter ego,"a second self, a deputy.",Jack was the alter ego of Rose in the Titanic movie.
sleep on,postpone making a choice until the following day.,Please don't sleep on that talent. It will take you places!
a bit much,to be excessive,The concept and story was a bit much for me to understand everything clearly. That is why I did not invest with this company.
hold all the aces,be in a winning position.,"Agriculture-wise, the Green Revolution holds all the aces."
good account of,"performed well, even if one was not completely successful.",The team played excellently and gave a good account of itself.
24/7 (twenty-four-seven),constantly,Kincaid said the center will be open 24/7 and will employ 30 people.
piss and vinegar,to self-reference someone who is in a bad mood and ready to fight.,"During the invasion, the soldiers were full of piss and vinegar, and therefore they went straight into the front lines."
keep your pants on,to tell someone to be calm.,I told him to keep his pants on after being punked.
busy as a beaver,work very hard and actively.,"I often find my husband in the garage, busy as a beaver, working on some new project."
wrap one's head around,to understand and appreciate.,It can be hard to wrap your head around what exactly happened.
cool your jets,to calm down and stop being so anxious or elated.,"Even though she wronged you, just cool your jets, and you will be fine."
bigger fish to fry,"to have other, more important things to do.",You are not worth my time or energy; I have bigger fish to fry.
Great Scott,"""Great Scott!"" is an interjection of surprise, wonder, or consternation.","She took one look at the screen before crying out ""Great Scott!"" in celebration."
pound of flesh,an unreasonable demand but something that is one's legal right.,"If you do not pay the amount of money, I have lent you by the agreed time, I will get a pound of flesh from you in return."
top dog,"The term ""top dog"" means a person, group, or thing in a position of power, particularly after struggling or winning a grueling competition.","Given the latest shakeups, she is hoping that her experience will make her the top dog in the accounting department."
in short order,immediately and without difficulty.,The children got ready in short order to go to the park and play.
tickle someone's fancy,to attract or interest someone.,Does the menu have anything that tickles your fancy? 
like a cat on a hot tin roof,in a state of agitation.,The coach acted like a cat on a hot tin roof throughout the game.
nail biter,"a situation like a close contest, which induces anxiety or tension.",Friday's nail-biter of a win over the Houston Texans was an excruciating contest.
the rose that grew from concrete,a person who achieved greatness even though they came from a place not so great.,"Ken performed well despite his poor background, much like the rose that grew from concrete."
bird's eye view,an overview.,You can get a bird's-eye view of the city by going to the topmost floor.
on the money,being right about something.,What he predicted was right on the money.
beyond the pale,unacceptable.,Nobody will want to be friends with you if you are considered beyond the pale in your social circle.
nip in the bud,check something thoroughly.,The army arrested all the leaders and successfully nipped the rebellion in the bud.
comb through,to look into something carefully.,The police combed through their house after the income tax authorities left the building.
roll with the punches,to be positive and not let failures or criticism get you down.,His negotiating ability and willingness to roll with punches impressed all sides.
beat the air,fighting without any purpose.,You are just beating the air if you want to turn him into a good boy.
food for thought,an idea or subject to think about.,The manager's meeting today has given me a lot of food for thought about whether I want to continue working for this company.
"in for a penny, in for a pound","to complete a task, no matter what it may need.","In for a penny, in for a pound, we need to stay up all night and get the report done since we cannot turn it in half-finished."
willy-nilly,something that happens when the people involved do not want it to occur.,Each side was drawn willy-nilly into the battle.
my way or the highway,to order someone to do something in a specific way without providing an alternative.,"In my house, it is my way or the highway. He was told by his father after coming back home drunk."
make like a tree and leave,to tell someone to leave at once.,"""Why don't you make like a tree and leave?"" ""You are starting to get on my nerves,"" he said to him after the argument in the office."
bent out of shape,to become angry.,"John's flight was canceled, and he got bent out of shape."
hit the roof,experience sudden anger,Jake's parents are going to hit the roof when they see the damage he's done to their car.
red zone,"any geographical area that is thought to be dangerous or threatening, usually as a consequence of political or military activity.","The alley behind the schoolyard is effectively a ""red zone,"" since that is where all of the bullies hang out."
upside down,"literally refers to an object that has been reoriented so that the portion which would otherwise be considered the top is now at the bottom, i.e., it is in an inverted position.","Out of embarrassment, I turned the book upside down so that he would not see the title of what I was reading."
on top of the world,in a good mood as everything is going well for you,He was on top of the world after he won the World Marathon Championships.
rain or shine,Doing something regularly regardless of the circumstances.,"My brother is an early riser, but he runs at sunrise, come rain or shine."
no spring chicken,Someone who's no longer young.,"My grandfather is no spring chicken, that's for sure."
ride (on) a wave,to enjoy the advantages of something,The person that won the lottery was riding the wave of millions of dollars.
blind impulse,sudden and unaccountable desire to do something,"Acting on what appeared to be a blind impulse, she submitted her resignation."
nightmare dressed like a daydream,Describes something that seems very pleasant or attractive at first but eventually reveals itself as horrible.,Don't let her beauty fool you. She's just a nightmare dressed like a daydream.
wane,a period of decline or reduction,"With his health on the wane, the coal worker had to take better care of himself."
feather one's (own) nest,"If you say that you are feathering your own nest, you mean that you are working so hard to gather resources (money) to live a comfortable life in the future.",John is so much concerned about helping others instead of feathering his own nest.
fake it till you make it,portray yourself like the person you always wanted to become,I had no idea that her family is so illiterate as she always pretended to be classy. Fake it till you make it.
brownie points,"Praise or appreciation, usually for a service someone has done.",He picked up some brownie points with his manager by doing part of her report for her.
big gun,a very powerful individual,He is a big gun at the law firm; he has never lost a single court case.
word of mouth,oral communication,"To truly create the right buzz about this movie, we need to get the required word of mouth going in this city."
lightning fast,extremely quick,"At recess, the boys and girls run lightning fast."
scrape the bottom of the barrel,"It is a phrase used to describe something you know is not in good condition, but you have to select it since you don't have an option of choosing the better one.","Our school used to admit more than one thousand candidates, but we feel like we have been scraping the bottom of the barrel with the admitted applicants in late admission."
backhanded compliment,give ironical praise to someone,"The judges loved your performance, but this was a backhanded compliment since they also highlighted it was blunt."
close shave,a narrow escape,I had a close shave last month. A motorist almost knocked me off my bike.
silver spoon,having a rich or privileged background,Many fans believed that Vince was a silver spoon kid.
a tall order,a challenging task or difficult requirement,Telling a player to score six goals in one game is a tall order.
how come,why or how,How come you are not going to the party?
blind spot,"if you have a blind spot about something, you cannot accept or understand it","Please don't point out my ""blind spots"" to me; I would rather find them on my own."
shoot the breeze,"spend time chatting, useless talking or chit-chat",They have spent the whole afternoon just shooting the breeze in the office.
on the cards,"Something very likely to happen, occur or take place.",A promotion is in the cards for him.
at cross purposes,With aims or goals that conflict or interfere with one another.,It will be difficult for us to be successful if we continue working at cross-purposes.
stand a chance,"to have a possibility of succeeding, even if a remote one",Do you believe that you stand a chance of getting that job?
call the shots,to be in charge of what is happening and what should happen,The policeman is the one who will call the shots during the political gatherings.
by hook or by crook,by any possible means,"The farmer will not sell us the land. By hook or by crook, he is hanging on to it."
big mouth,someone who talks too much,"Your big mouth always gets you in trouble at school, Steven!"
play cat and mouse,to play with or tease someone,The cops do not like playing cat and mouse games with the culprits before catching them.
sweep under the rug,try to hide a problem or keep a problem secret instead of dealing with it,My father has helped me deal with things instead of sweeping them under the rug.
leaps and bounds,progress very quickly,Regan's reading skills are coming on in leaps and bounds with the new teacher.
fight like cat and dog,argue jealously and violently all the time,The married couple fought like cat and dog the entire time they were together.
back to the wall,to be in a difficult situation,They have him with his back to the wall and now he has no more options but to pay back the debtors or go to jail for fraud.
keep card close to chest,"be secretive or cautious, give nothing away",The children did not know where they were to go for their family holiday trip. Their dad kept his cards close to his chest.
put cards on the table,be open and honest,"When John met up with Jane on their first date, John laid his cards on the table for Jane to know what he wanted."
bull's eye,the center of a target,It can't hurt to go right for the bull's eye - there's nothing wrong with getting things right the first time.
dog's life,a miserable and unpleasant life,Mark's been leading a dog's life since he was fired from the job.
on board,"be physically on a plane, ship, vehicle, train, or rocket","Let's get Phoebe on board for the Madison project. After all, it is her area of expertise."
second wind,another burst of energy when you had been too tired to finish,"Come on, let's have that shovel again. I'm getting a second wind now."
rip off,the act of stealing,I can't believe I paid that much money for that outfit. It was a rip off.
happy go lucky,cheerful,"Even though it was storming outside, he kept his sunny disposition since he was happy-go-lucky."
where the rubber meets the road,when you have to face your challenges,"John had an excellent idea for a project, but his colleagues weren't sure what would happen where the rubber meets the road."
in mint condition,something used that looks new,"She was cautious about buying the vintage t-shirt sight unseen, but the seller assured her it was in mint condition."
run across,meet someone by accident,"While cleaning my house, I ran across a book I'd lost."
take the cake,being the best in a competition,I can't believe you said that your hypocrisy takes the cake.
buckle down,make sure something stays in place,"She knew if she didn't buckle down, the tasks wouldn't get done."
happy wife happy life,"to have a good life, you need to have a good wife","The first time I heard the phrase ""happy wife, happy life,"" I was a small person in college and found it very pleasant."
pros and cons,good points and bad points,There are pros and cons to having children.
at the helm,"in charge of an organization, group of people, etc.",Lara resigned after a couple of years at the helm of the company.
the brains behind,"used to refer to the person who originally invented a particular scheme, plan or idea",Gladys was the brains behind the successful birthday party that left all the children smiling on their way back home.
living on borrowed time,not expected to live much longer.,"He was told he only had three months left to live, so he is living on borrowed time now that it is four months later."
bring someone to book,make somebody accountable for their conduct.,"If Jessica continues with this behavior, I will have no choice but to bring her to book."
take a leaf out of someone's book,implement actionable advice,"I couldn't decide what to do after high school, but my dad makes great money welding, so I took a leaf out of his book and went to trade school instead of college."
body and soul,with all one's effort and ability,A great painter must put their body and soul onto the canvas.
blind date,to go on a date with someone you have never met before.,I'm going on a blind date with a guy that Jack knows from college.
bad blood,to have ill feelings towards someone,The villagers say the arson attack may have been the result of bad blood between the two families.
"blood, sweat, and tears",putting a lot of effort to get a task done.,"He has put in nothing but blood, sweat, and tears into this company."
blue eyed boy,a person who is treated with special favor.,Managers at Apple have been trained against having blue-eyed boys.
spare someone's blushes,to stop someone from feeling awkward or embarrassed.,My teacher spoke up to spare the blushes of the new student.
rock the boat,to make trouble.,"If you don't want any trouble with your boss, then stop rocking the boat."
birds of a feather,"people with similar tastes, interests, and backgrounds","Ethan saw Jason had the same type of car and shrugged, ""Birds of a feather."""
blast from the past,a way to refer to something or someone reminding you of an earlier time.,What a blast from the past! I haven't heard that song in years.
do one's bit,to do a share of a task.,"When people can ""do their bit"", they are helping support a larger cause."
