idiom,meaning,example,source,dupl,idiom_set,idiom_dict,meaning_dict,example_dict,idiom_pfbt,meaning_pfbt
against the grain,a difficult path to be followed,It is against the grain for me to tackle dishonest people.,dict,0,"frozenset({'against', 'grain'})",against the grain,a difficult path to be followed,It is against the grain for me to tackle dishonest people.,,
out of business,out of operational conditions,"If we keep on selling our goods at the same price, we will soon go out of business.",dict,0,"frozenset({'out', 'busi'})",out of business,out of operational conditions,"If we keep on selling our goods at the same price, we will soon go out of business.",,
bite head off,overreact in an angry or harsh way,His mother nearly bit his head off when he got his new shoes dirty.,dict,1,"frozenset({'bite', 'off', 'head'})",bite head off,overreact in an angry or harsh way,His mother nearly bit his head off when he got his new shoes dirty.,bite head off,to speak to someone angrily when there is no reason to
old school,old fashioned ideas or approach compared to current trends,"Dress smart when you come round for dinner, my father is a bit old school.",dict,0,"frozenset({'old', 'school'})",old school,old fashioned ideas or approach compared to current trends,"Dress smart when you come round for dinner, my father is a bit old school.",,
in light of,because of,"In light of what happened last week, please take care on the escalators.",dict,0,frozenset({'light'}),in light of,because of,"In light of what happened last week, please take care on the escalators.",,
keep promise,be faithful to your word,How on earth can I marry him when he can't keep his promises?,dict,0,"frozenset({'promis', 'keep'})",keep promise,be faithful to your word,How on earth can I marry him when he can't keep his promises?,,
goose egg,zero,"We had a good game, but the score was goose egg.",dict,0,"frozenset({'egg', 'goos'})",goose egg,zero,"We had a good game, but the score was goose egg.",,
topsy-turvy,with the top at the bottom,Everything has been topsy-turvy since we moved in. I can't find anything until I unpack properly.,dict,0,"frozenset({'turvi', 'topsi'})",topsy-turvy,with the top at the bottom,Everything has been topsy-turvy since we moved in. I can't find anything until I unpack properly.,,
when life gives you lemons,make the best out of a difficult situation,"She tried to live by the motto 'when life gives you lemons, make lemonade.'",dict,0,"frozenset({'give', 'lemon', 'life'})",when life gives you lemons,make the best out of a difficult situation,"She tried to live by the motto 'when life gives you lemons, make lemonade.'",,
knotty problem,difficult or complex problem,The accountant always found the end of the tax year to be a knotty problem.,dict,0,"frozenset({'problem', 'knotti'})",knotty problem,difficult or complex problem,The accountant always found the end of the tax year to be a knotty problem.,,
call of duty,something you must do or feel compelled to do,Both of my grandfathers felt it was their call of duty to enlist immediately for active service when the war broke out.,dict,0,"frozenset({'call', 'duti'})",call of duty,something you must do or feel compelled to do,Both of my grandfathers felt it was their call of duty to enlist immediately for active service when the war broke out.,,
Herculean task,a task requiring huge amounts of physical strength,"It will be a Herculean task to get through to the quarter-finals, but this untested team is up for the challenge.",dict,0,"frozenset({'task', 'herculean'})",Herculean task,a task requiring huge amounts of physical strength,"It will be a Herculean task to get through to the quarter-finals, but this untested team is up for the challenge.",,
fight tooth and nail,to fight very fiercely,I want this job so I'm going to fight tooth and nail for it.,dict,0,"frozenset({'fight', 'tooth', 'nail'})",fight tooth and nail,to fight very fiercely,I want this job so I'm going to fight tooth and nail for it.,,
turn against,to change from supporting something to opposing it,A section of his supporters turned against him when they heard his latest speech on immigration.,dict,0,"frozenset({'against', 'turn'})",turn against,to change from supporting something to opposing it,A section of his supporters turned against him when they heard his latest speech on immigration.,,
a hard nut to crack,a problem that is difficult to solve,She's such a tough nut to crack. Nobody seems to be able to get through to her.,dict,0,"frozenset({'crack', 'hard', 'nut'})",a hard nut to crack,a problem that is difficult to solve,She's such a tough nut to crack. Nobody seems to be able to get through to her.,,
fan the flames,make a bad situation even worse,The president's racist comments are really going to fan the flames of hatred among the crowd.,dict,0,"frozenset({'fan', 'flame'})",fan the flames,make a bad situation even worse,The president's racist comments are really going to fan the flames of hatred among the crowd.,,
two peas in a pod,practically identical in appearance,"Those boys could be twins, they are like two peas in a pod.",dict,0,"frozenset({'pea', 'pod', 'two'})",two peas in a pod,practically identical in appearance,"Those boys could be twins, they are like two peas in a pod.",,
pay lip service,to agree by word of mouth only,"He paid lip service to the cause, but he hasn't lent a hand yet.",dict,0,"frozenset({'lip', 'pay', 'servic'})",pay lip service,to agree by word of mouth only,"He paid lip service to the cause, but he hasn't lent a hand yet.",,
get rid of,to remove something or someone,"He finally got rid of the door to door salesman, by saying he had to go out.",dict,0,"frozenset({'get', 'rid'})",get rid of,to remove something or someone,"He finally got rid of the door to door salesman, by saying he had to go out.",,
bang for the buck,more value for money,"We tried that new Indian restaurant last night. The food was excellent, and the prices weren't too bad either, so we got a lot of bang for our bucks.",dict,0,"frozenset({'bang', 'buck'})",bang for the buck,more value for money,"We tried that new Indian restaurant last night. The food was excellent, and the prices weren't too bad either, so we got a lot of bang for our bucks.",,
rabbit hole,mentally go somewhere surreal or strange,Peter is having another one of his parties on Friday. Time to go down the rabbit hole again.,dict,0,"frozenset({'rabbit', 'hole'})",rabbit hole,mentally go somewhere surreal or strange,Peter is having another one of his parties on Friday. Time to go down the rabbit hole again.,,
turn aside,refuse entry to somewhere,His job application was turned aside when they saw his criminal record.,dict,0,"frozenset({'asid', 'turn'})",turn aside,refuse entry to somewhere,His job application was turned aside when they saw his criminal record.,,
call on,"use courage, reserve, nerve or strength to achieve something",He had to call on all his strength to get to the finals.,dict,1,frozenset({'call'}),call on,"use courage, reserve, nerve or strength to achieve something",He had to call on all his strength to get to the finals.,your call,it is up to you to make a decision on the matter
prevention is better than cure,easier to stop problems than correct them later,It is good to keep vaccinations up to date as prevention is better than cure.,dict,0,"frozenset({'cure', 'better', 'prevent'})",prevention is better than cure,easier to stop problems than correct them later,It is good to keep vaccinations up to date as prevention is better than cure.,,
burst the bubble,the sudden end of a very happy or successful period,She looked so happy about getting married that her sister just couldn't burst the bubble.,dict,0,"frozenset({'bubbl', 'burst'})",burst the bubble,the sudden end of a very happy or successful period,She looked so happy about getting married that her sister just couldn't burst the bubble.,,
in the loop,to be aware of the information,Katy was always happy that her friends kept her in the loop with the latest gossip.,dict,0,frozenset({'loop'}),in the loop,to be aware of the information,Katy was always happy that her friends kept her in the loop with the latest gossip.,,
fair and square,done according to the rules,The supporters for the other team were angry but we won the game fair and square.,dict,0,"frozenset({'fair', 'squar'})",fair and square,done according to the rules,The supporters for the other team were angry but we won the game fair and square.,,
"six of one, half a dozen of the other",comparison between the two things which are identical,"If I go north or south, I will turn up at the same location. It is six of one, half dozen of the other.",dict,0,"frozenset({'six', 'one', 'half', 'dozen'})","six of one, half a dozen of the other",comparison between the two things which are identical,"If I go north or south, I will turn up at the same location. It is six of one, half dozen of the other.",,
black day,it is a day on which something terrible has happened,My grandmother told me that it is a black day tomorrow.,dict,0,"frozenset({'black', 'day'})",black day,it is a day on which something terrible has happened,My grandmother told me that it is a black day tomorrow.,,
spend a fortune,a great amount of money,Do not spend a fortune on the gifts to make others happy.,dict,0,"frozenset({'fortun', 'spend'})",spend a fortune,a great amount of money,Do not spend a fortune on the gifts to make others happy.,,
as a result,the outcome of something that you have done.,"As a result of this mishap, he was not on work for a week.",dict,0,frozenset({'result'}),as a result,the outcome of something that you have done.,"As a result of this mishap, he was not on work for a week.",,
rule out,to exclude out something,Rule out each and every word from the application which you don't want the principal to read.,dict,0,"frozenset({'out', 'rule'})",rule out,to exclude out something,Rule out each and every word from the application which you don't want the principal to read.,,
dead in the water,unable to produce movement,Their company is trying to revive an income that is dead in the water.,dict,1,"frozenset({'dead', 'water'})",dead in the water,unable to produce movement,Their company is trying to revive an income that is dead in the water.,dead in the water,a plan at a standstill or has ceased to function and is unlikely to be reactivated in the future
dead as a doornail,becoming obsolete,The flowers are all dead as a doornail.,dict,0,"frozenset({'dead', 'doornail'})",dead as a doornail,becoming obsolete,The flowers are all dead as a doornail.,,
make a mountain out of a molehill,magnifying the content,"You are just making a mountain out of a molehill, you just gave a wrong answer, it doesn't mean you're not going to qualify to the second round.",dict,0,"frozenset({'out', 'mountain', 'make', 'molehil'})",make a mountain out of a molehill,magnifying the content,"You are just making a mountain out of a molehill, you just gave a wrong answer, it doesn't mean you're not going to qualify to the second round.",,
miles away,unaware of the current situation,"Just by reading her facial expressions, I can easily tell you that she is miles away.",dict,0,"frozenset({'away', 'mile'})",miles away,unaware of the current situation,"Just by reading her facial expressions, I can easily tell you that she is miles away.",,
the lion's den,a place which is uncomfortable,Two of the new students were thrown into the lion's den as their ragging was taking place.,dict,0,"frozenset({'den', 'lion'})",the lion's den,a place which is uncomfortable,Two of the new students were thrown into the lion's den as their ragging was taking place.,,
good grief,occurrence of something shocking,"Good grief, is she going to kick her brother in front of the entire school? This is really shocking for me.",dict,0,"frozenset({'good', 'grief'})",good grief,occurrence of something shocking,"Good grief, is she going to kick her brother in front of the entire school? This is really shocking for me.",,
mind your own business,to look into your own matter,I would like you to mind your own business and stop telling me what to do.,dict,0,"frozenset({'mind', 'busi'})",mind your own business,to look into your own matter,I would like you to mind your own business and stop telling me what to do.,,
get on nerves,tick someone off,Put your mobile phone in a silent mode - its loud ringtone is getting on my nerves.,dict,0,"frozenset({'get', 'nerv'})",get on nerves,tick someone off,Put your mobile phone in a silent mode - its loud ringtone is getting on my nerves.,,
get the wrong end of the stick,to understand something in the wrong way,"When Jack and Taylor arrived at the award function together, everyone got the wrong end of the stick.",dict,0,"frozenset({'get', 'end', 'wrong', 'stick'})",get the wrong end of the stick,to understand something in the wrong way,"When Jack and Taylor arrived at the award function together, everyone got the wrong end of the stick.",,
Black Friday,a day of a financial disaster,My friends wait desperately for online sales on Black Friday.,dict,0,"frozenset({'black', 'friday'})",Black Friday,a day of a financial disaster,My friends wait desperately for online sales on Black Friday.,,
long run,far away in the future,"To make this project successful in the long run, they will need more partners.",dict,0,"frozenset({'long', 'run'})",long run,far away in the future,"To make this project successful in the long run, they will need more partners.",,
live wire,an energetic and volatile person,John is such a live wire; he is a good source of entertainment.,dict,0,"frozenset({'wire', 'live'})",live wire,an energetic and volatile person,John is such a live wire; he is a good source of entertainment.,,
troubled waters,a difficult phase of life,"The situation was getting worse, but like all the other members of the company, he was fascinated by troubled waters.",dict,0,"frozenset({'water', 'troubl'})",troubled waters,a difficult phase of life,"The situation was getting worse, but like all the other members of the company, he was fascinated by troubled waters.",,
home is where the heart is,a place you feel connected to emotionally,"No matter where I go, it's always so lovely to come back here. Home is where the heart is after all.",dict,0,"frozenset({'heart', 'home'})",home is where the heart is,a place you feel connected to emotionally,"No matter where I go, it's always so lovely to come back here. Home is where the heart is after all.",,
does exactly what it says on the tin,someone or something is exactly as they seem,"This medicine does exactly what it says on the tin, because I feel so much better.",dict,0,"frozenset({'exact', 'doe', 'tin', 'say'})",does exactly what it says on the tin,someone or something is exactly as they seem,"This medicine does exactly what it says on the tin, because I feel so much better.",,
ahead of the curve,better than others,"His ideas are so innovative, he is way ahead of the curve. He might end up running the company at this rate.",dict,0,"frozenset({'ahead', 'curv'})",ahead of the curve,better than others,"His ideas are so innovative, he is way ahead of the curve. He might end up running the company at this rate.",,
pipe dream,an impossibility,"His plans of becoming an astronaut are a pipe dream, he should be more realistic.",dict,0,"frozenset({'pipe', 'dream'})",pipe dream,an impossibility,"His plans of becoming an astronaut are a pipe dream, he should be more realistic.",,
snow under,to bury or cover something or somebody in the snow (Literal meaning),I feel snowed under with all the work my boss keeps throwing my way.,dict,0,"frozenset({'under', 'snow'})",snow under,to bury or cover something or somebody in the snow (Literal meaning),I feel snowed under with all the work my boss keeps throwing my way.,,
lone it,to do an activity alone,"They asked him to go to the movies, but he decided to lone it.",dict,0,frozenset({'lone'}),lone it,to do an activity alone,"They asked him to go to the movies, but he decided to lone it.",,
green thumb,good gardening results,My mother has green fingers. She can grow just about anything in the garden.,dict,0,"frozenset({'thumb', 'green'})",green thumb,good gardening results,My mother has green fingers. She can grow just about anything in the garden.,,
been around,(existed) been present and active.,This is not a new viral video; it's been around for a couple of years.,dict,0,frozenset({'around'}),been around,(existed) been present and active.,This is not a new viral video; it's been around for a couple of years.,,
keep one's own counsel,say little or nothing about one's opinions or intentions.,"I doubted what he said, but I kept my own counsel.",dict,0,"frozenset({'counsel', 'keep'})",keep one's own counsel,say little or nothing about one's opinions or intentions.,"I doubted what he said, but I kept my own counsel.",,
have designs on,to have a plan or secret desire to get something.,to have a plan or secret desire to get something.,dict,0,"frozenset({'have', 'design'})",have designs on,to have a plan or secret desire to get something.,to have a plan or secret desire to get something.,,
easier said than done,to explain that a task is easier to talk about than perform.,It's easier said than done when it comes to convincing people that something is true.,dict,0,"frozenset({'easier', 'done', 'said'})",easier said than done,to explain that a task is easier to talk about than perform.,It's easier said than done when it comes to convincing people that something is true.,,
a quick buck,to make money quickly.,He decided to make a quick buck by selling his CD collection.,dict,0,"frozenset({'quick', 'buck'})",a quick buck,to make money quickly.,He decided to make a quick buck by selling his CD collection.,,
on the line,to be at serious risk.,Put your toes on the line and form up!,dict,0,frozenset({'line'}),on the line,to be at serious risk.,Put your toes on the line and form up!,,
in the pink,in good health and spirits.,"As a famous president, he has the perfect reason to be in the pink.",dict,0,frozenset({'pink'}),in the pink,in good health and spirits.,"As a famous president, he has the perfect reason to be in the pink.",,
not all it's cracked up to be,Not as good as people say it is.,The highly ranked institutions in Boston aren't all they're cracked up to be.,dict,0,"frozenset({'all', 'crack', 'up'})",not all it's cracked up to be,Not as good as people say it is.,The highly ranked institutions in Boston aren't all they're cracked up to be.,,
in one's blood,a natural or inherited characteristic.,Singing is in Nina's blood.,dict,0,frozenset({'blood'}),in one's blood,a natural or inherited characteristic.,Singing is in Nina's blood.,,
sacred cow,something that people believe or accept as true without questioning it.,The journalist esteemed too many sacred cows.,dict,0,"frozenset({'cow', 'sacr'})",sacred cow,something that people believe or accept as true without questioning it.,The journalist esteemed too many sacred cows.,,
not have a clue,to not know something.,"You think you're smart, but you do not have a clue about how things work.",dict,0,"frozenset({'have', 'clue'})",not have a clue,to not know something.,"You think you're smart, but you do not have a clue about how things work.",,
break one's back,get through the hardest part of something.,I'm tired and need an ice-cold drink. I broke my back at work today on that project.,dict,1,"frozenset({'back', 'break'})",break one's back,get through the hardest part of something.,I'm tired and need an ice-cold drink. I broke my back at work today on that project.,break the back of,to get most or the worst part of a particular task done
foot in the door,succeed with a first step.,Mary was so excited to get her foot in the door with her new internship.,dict,0,"frozenset({'foot', 'door'})",foot in the door,succeed with a first step.,Mary was so excited to get her foot in the door with her new internship.,,
in bed with,"to work with a person or organisation, or being involved with them, in a way that causes other people to distrust you.",The two young men were in bed with the neighborhood gangs.,dict,0,frozenset({'bed'}),in bed with,"to work with a person or organisation, or being involved with them, in a way that causes other people to distrust you.",The two young men were in bed with the neighborhood gangs.,,
dig one's own grave,"to do something that has negative consequences for you, even though these consequences can be easily seen.",She dug her own grave when she started talking behind her boss's back.,dict,0,"frozenset({'grave', 'dig'})",dig one's own grave,"to do something that has negative consequences for you, even though these consequences can be easily seen.",She dug her own grave when she started talking behind her boss's back.,,
make a beeline for,to go straight for something.,The linebacker made a beeline for the quarterback when he saw an opening.,dict,0,"frozenset({'make', 'beelin'})",make a beeline for,to go straight for something.,The linebacker made a beeline for the quarterback when he saw an opening.,,
belle of the ball,the most beautiful woman in a gathering.,She felt like the belle of the ball as she danced the night away with her beau.,dict,0,"frozenset({'bell', 'ball'})",belle of the ball,the most beautiful woman in a gathering.,She felt like the belle of the ball as she danced the night away with her beau.,,
as thick as thieves,a very secretive and close relationship between people.,They remained as thick as thieves for several weeks. This made us curious to know what they were doing. ,dict,0,"frozenset({'thiev', 'thick'})",as thick as thieves,a very secretive and close relationship between people.,They remained as thick as thieves for several weeks. This made us curious to know what they were doing. ,,
take with a grain of salt,to understand that something is not completely true or right,"I have read the article, but I take it with a grain of salt.",dict,0,"frozenset({'take', 'grain', 'salt'})",take with a grain of salt,to understand that something is not completely true or right,"I have read the article, but I take it with a grain of salt.",,
every man Jack,everyone without exceptions.,I'd bet every man Jack of them are spies.,dict,0,"frozenset({'everi', 'man', 'jack'})",every man Jack,everyone without exceptions.,I'd bet every man Jack of them are spies.,,
blank check,Complete authority or unrestricted freedom of action or a free hand.,Roger was given a blank check by Mr. Musk. He could spend as much as he wanted to implement the latest driving technology.,dict,0,"frozenset({'check', 'blank'})",blank check,Complete authority or unrestricted freedom of action or a free hand.,Roger was given a blank check by Mr. Musk. He could spend as much as he wanted to implement the latest driving technology.,,
come to grief,to have an accident or suffer disaster.,Their relationship came to grief following their disastrous vacation.,dict,0,"frozenset({'come', 'grief'})",come to grief,to have an accident or suffer disaster.,Their relationship came to grief following their disastrous vacation.,,
make a clean breast,to tell the truth about something.,Sharon made a clean breast of it and threw Ashley under the bus.,dict,0,"frozenset({'make', 'clean', 'breast'})",make a clean breast,to tell the truth about something.,Sharon made a clean breast of it and threw Ashley under the bus.,,
bone to pick,having a complaint that needs to be discussed.,Jake walked up to Robert and told him that he had a bone to pick with him.,dict,1,"frozenset({'bone', 'pick'})",bone to pick,having a complaint that needs to be discussed.,Jake walked up to Robert and told him that he had a bone to pick with him.,bone to pick,to want to talk to someone about something annoying they have done
on the blink,to be malfunctioning or not operating correctly.,The computer is on the blink again; I really need to check whether there's a virus causing problems.,dict,0,frozenset({'blink'}),on the blink,to be malfunctioning or not operating correctly.,The computer is on the blink again; I really need to check whether there's a virus causing problems.,,
hit the sack,to go to bed,I am really tired after all that exercise. I am going to hit the sack.,dict,0,"frozenset({'sack', 'hit'})",hit the sack,to go to bed,I am really tired after all that exercise. I am going to hit the sack.,,
hit the hay,to go to sleep or head to bed.,"I have to get up early, so I better hit the hay soon. ",dict,0,"frozenset({'hay', 'hit'})",hit the hay,to go to sleep or head to bed.,"I have to get up early, so I better hit the hay soon. ",,
easy money,"Rewards, progress or other good results with little or no effort.","The problem is that the working class perpetually has to struggle to get by, whereas the rich continually have access to easy money.",dict,0,"frozenset({'easi', 'money'})",easy money,"Rewards, progress or other good results with little or no effort.","The problem is that the working class perpetually has to struggle to get by, whereas the rich continually have access to easy money.",,
lights are on but nobody is home,used to describe a stupid person.,"No matter how hard I try to understand what Jim is talking about, it is apparent that his lights are on but nobody is home.",dict,0,"frozenset({'but', 'nobodi', 'home', 'light'})",lights are on but nobody is home,used to describe a stupid person.,"No matter how hard I try to understand what Jim is talking about, it is apparent that his lights are on but nobody is home.",,
between the devil and the deep blue sea,between two equally difficult or unacceptable choices.,I am in a pickle. Anything I do is going to cause this situation to turn out bad. I'm really stuck between the devil and the deep blue sea.,dict,0,"frozenset({'between', 'sea', 'devil', 'blue', 'deep'})",between the devil and the deep blue sea,between two equally difficult or unacceptable choices.,I am in a pickle. Anything I do is going to cause this situation to turn out bad. I'm really stuck between the devil and the deep blue sea.,,
cross swords,to fight with another person physically or verbally.,The vice-presidents crossed swords at all policy meetings.,dict,0,"frozenset({'sword', 'cross'})",cross swords,to fight with another person physically or verbally.,The vice-presidents crossed swords at all policy meetings.,,
the other side of the coin,"the opposite aspect, contrasting arguments.",You should consider the other side of the coin when a wife leaves her husband and not just blame her for walking out on him.,dict,0,"frozenset({'side', 'coin'})",the other side of the coin,"the opposite aspect, contrasting arguments.",You should consider the other side of the coin when a wife leaves her husband and not just blame her for walking out on him.,,
cakewalk,something that can be easily accomplished.,"I thought the course was going to be difficult, but it ended up being a cakewalk.",dict,0,frozenset({'cakewalk'}),cakewalk,something that can be easily accomplished.,"I thought the course was going to be difficult, but it ended up being a cakewalk.",,
class act,"high-quality performance or display; additionally, the performer",LeBron James has truly been a class act in basketball long before he entered the NBA.,dict,0,"frozenset({'act', 'class'})",class act,"high-quality performance or display; additionally, the performer",LeBron James has truly been a class act in basketball long before he entered the NBA.,,
child's play,an informal expression meaning something that is easy to do,"If you practise enough, driving will eventually become child's play.",dict,0,"frozenset({'child', 'play'})",child's play,an informal expression meaning something that is easy to do,"If you practise enough, driving will eventually become child's play.",,
cover one's tracks,"to keep one's location, activities, and intentions hidden.","The burglars were very meticulous in covering their tracks, making it difficult for law enforcement to catch them.",dict,0,"frozenset({'track', 'cover'})",cover one's tracks,"to keep one's location, activities, and intentions hidden.","The burglars were very meticulous in covering their tracks, making it difficult for law enforcement to catch them.",,
off grid,disconnected from municipal utility systems.,"Tony built an off-grid bunker, complete with non-perishable food, a water purification system, and solar panels.",dict,0,"frozenset({'off', 'grid'})",off grid,disconnected from municipal utility systems.,"Tony built an off-grid bunker, complete with non-perishable food, a water purification system, and solar panels.",,
all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.","I made it all the way up the steep incline, but I didn't have the energy to go on. ",dict,0,"frozenset({'all', 'up', 'way'})",all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.","I made it all the way up the steep incline, but I didn't have the energy to go on. ",,
clarion call,A clarion is a high-pitch bugle.,All of the citizens heard the clarion call and prepared themselves to defend their city. ,dict,0,"frozenset({'call', 'clarion'})",clarion call,A clarion is a high-pitch bugle.,All of the citizens heard the clarion call and prepared themselves to defend their city. ,,
fall on deaf ears,to disregard or ignore.,His protestations that the project would put the firm over budget fell on deaf ears.,dict,0,"frozenset({'deaf', 'fall', 'ear'})",fall on deaf ears,to disregard or ignore.,His protestations that the project would put the firm over budget fell on deaf ears.,,
riddle me,"a catchphrase used to introduce a joke, observation, question, or riddle.","Despite acting so confidently, riddle me this: how will we get all that money within a day?",dict,0,frozenset({'riddl'}),riddle me,"a catchphrase used to introduce a joke, observation, question, or riddle.","Despite acting so confidently, riddle me this: how will we get all that money within a day?",,
cross paths,encounter or meet someone by chance.,I believe we will cross paths soon.,dict,0,"frozenset({'cross', 'path'})",cross paths,encounter or meet someone by chance.,I believe we will cross paths soon.,,
bat an eye,"to avoid expressing surprise, fear, or shock.",The man didn't bat an eye when the explosions went off around him and bullets zipped past his head.,dict,0,"frozenset({'bat', 'eye'})",bat an eye,"to avoid expressing surprise, fear, or shock.",The man didn't bat an eye when the explosions went off around him and bullets zipped past his head.,,
faint of heart,to not be strong enough to handle a situation.,This movie is not for those who are faint of heart. You better go to bed right now.,dict,0,"frozenset({'heart', 'faint'})",faint of heart,to not be strong enough to handle a situation.,This movie is not for those who are faint of heart. You better go to bed right now.,,
from cradle to grave,The phrase is used to refer to something that spans a human lifetime.,"He was a difficult man; from the cradle to the grave, he was constantly angry or upset.",dict,0,"frozenset({'grave', 'cradl'})",from cradle to grave,The phrase is used to refer to something that spans a human lifetime.,"He was a difficult man; from the cradle to the grave, he was constantly angry or upset.",,
turn the tables,change your position with respect to someone else.,"After flying back to town, I went to Jenna's place uninformed to surprise her & to my amaze she had already planned a party to welcome me. I should have known she is smart enough to turn the tables.",dict,1,"frozenset({'turn', 'tabl'})",turn the tables,change your position with respect to someone else.,"After flying back to town, I went to Jenna's place uninformed to surprise her & to my amaze she had already planned a party to welcome me. I should have known she is smart enough to turn the tables.",tables are turned,when the situation has changed giving the advantage to the party who had previously been at a disadvantage
straighten up and fly right,to get serious and stop acting absurd anymore.,You haven't been staying on top of your homework. You better straighten up and fly right or you will get a bad grade.,dict,0,"frozenset({'fli', 'up', 'straighten', 'right'})",straighten up and fly right,to get serious and stop acting absurd anymore.,You haven't been staying on top of your homework. You better straighten up and fly right or you will get a bad grade.,,
turn down a glass,to decline something that someone has offered.,to decline something that someone has offered.,dict,0,"frozenset({'turn', 'down', 'glass'})",turn down a glass,to decline something that someone has offered.,to decline something that someone has offered.,,
watchdog,"one who protects against loss, corruption, waste, or objectionable practices.",Professor Smith was doing a lot of watchdogging during the mid-term exams at Polk High.,dict,0,frozenset({'watchdog'}),watchdog,"one who protects against loss, corruption, waste, or objectionable practices.",Professor Smith was doing a lot of watchdogging during the mid-term exams at Polk High.,,
right as rain,to imply that everything is satisfactory.,He was right as rain after a few days in bed after getting injured.,dict,0,"frozenset({'right', 'rain'})",right as rain,to imply that everything is satisfactory.,He was right as rain after a few days in bed after getting injured.,,
"day in, day out","every day, without respite.","They had to endure the city's dirt and noise day in, day out. ",dict,0,"frozenset({'out', 'day'})","day in, day out","every day, without respite.","They had to endure the city's dirt and noise day in, day out. ",,
down for the count,"doomed, finished, or defeated.",I doubt she'll leave the hospital. Her illness has her down for the count.,dict,0,"frozenset({'count', 'down'})",down for the count,"doomed, finished, or defeated.",I doubt she'll leave the hospital. Her illness has her down for the count.,,
like a duck to water,to do something very quickly and enjoy doing it.,She's taken to her grandmother's house like a duck to water.,dict,0,"frozenset({'water', 'duck', 'like'})",like a duck to water,to do something very quickly and enjoy doing it.,She's taken to her grandmother's house like a duck to water.,,
a whole new ball game,a significant change in circumstances.,"For most young adults, moving out is a whole new ball game.",dict,0,"frozenset({'new', 'game', 'whole', 'ball'})",a whole new ball game,a significant change in circumstances.,"For most young adults, moving out is a whole new ball game.",,
short fuse,to get angry quickly.,He has a short fuse. He loses his temper for things that don't provoke others to high levels of angry emotion.,dict,1,"frozenset({'fuse', 'short'})",short fuse,to get angry quickly.,He has a short fuse. He loses his temper for things that don't provoke others to high levels of angry emotion.,short fuse,to become angry easily or quickly
give it a whirl,to try something new.,"The ski instructor told Sally to ""give it a whirl"" on the beginner's ski slope by following his exact moves.",dict,0,"frozenset({'give', 'whirl'})",give it a whirl,to try something new.,"The ski instructor told Sally to ""give it a whirl"" on the beginner's ski slope by following his exact moves.",,
lose your marbles,strange behaviors.,"When he made the decision to make his selecting passion a full-time endeavor, everyone said, ""James, you've lost your marbles.""",dict,0,"frozenset({'marbl', 'lose'})",lose your marbles,strange behaviors.,"When he made the decision to make his selecting passion a full-time endeavor, everyone said, ""James, you've lost your marbles.""",,
plain as day,easy and clear to understand.,"If you are unsure about using the equipment, please read the instructions. Its manual is as plain as day.",dict,0,"frozenset({'plain', 'day'})",plain as day,easy and clear to understand.,"If you are unsure about using the equipment, please read the instructions. Its manual is as plain as day.",,
step up your game,"to improve the performance, quality, skill, or talents.","Matthew said to Sarah, ""Step up your game,"" to which she replied, ""I already have by memorizing every act in Shakespeare's The Tempest this week.""",dict,0,"frozenset({'up', 'step', 'game'})",step up your game,"to improve the performance, quality, skill, or talents.","Matthew said to Sarah, ""Step up your game,"" to which she replied, ""I already have by memorizing every act in Shakespeare's The Tempest this week.""",,
up a creek without a paddle,being in trouble.,"With no savings, being fired will leave me up the creek without a paddle.",dict,0,"frozenset({'without', 'up', 'creek', 'paddl'})",up a creek without a paddle,being in trouble.,"With no savings, being fired will leave me up the creek without a paddle.",,
you rock,explaining how awesome and cool a person is.,You rocked the cast interview today.,dict,0,frozenset({'rock'}),you rock,explaining how awesome and cool a person is.,You rocked the cast interview today.,,
lead astray,make someone act or think in a wrong or foolish manner.,The interrogators in the case were led astray by false information from one of the witnesses.,dict,0,"frozenset({'lead', 'astray'})",lead astray,make someone act or think in a wrong or foolish manner.,The interrogators in the case were led astray by false information from one of the witnesses.,,
cast aspersions,to criticize somebody or somebody's character.,His opponents never missed an opportunity to cast aspersions on his professionalism.,dict,0,"frozenset({'cast', 'aspers'})",cast aspersions,to criticize somebody or somebody's character.,His opponents never missed an opportunity to cast aspersions on his professionalism.,,
alter ego,"a second self, a deputy.",Jack was the alter ego of Rose in the Titanic movie.,dict,0,"frozenset({'alter', 'ego'})",alter ego,"a second self, a deputy.",Jack was the alter ego of Rose in the Titanic movie.,,
sleep on,postpone making a choice until the following day.,Please don't sleep on that talent. It will take you places!,dict,1,frozenset({'sleep'}),sleep on,postpone making a choice until the following day.,Please don't sleep on that talent. It will take you places!,sleep on it,to take time to think something over before making a decision
a bit much,to be excessive,The concept and story was a bit much for me to understand everything clearly. That is why I did not invest with this company.,dict,0,"frozenset({'bit', 'much'})",a bit much,to be excessive,The concept and story was a bit much for me to understand everything clearly. That is why I did not invest with this company.,,
hold all the aces,be in a winning position.,"Agriculture-wise, the Green Revolution holds all the aces.",dict,0,"frozenset({'all', 'hold', 'ace'})",hold all the aces,be in a winning position.,"Agriculture-wise, the Green Revolution holds all the aces.",,
