idiom,meaning,intended_ambiguous,intended_figurative,intended_literal,num_reprompt,pron_converted,intended_ambiguous_old,intended_figurative_old,intended_literal_old,annotations_ambiguous_old,annotations_figurative_old,annotations_literal_old,well_formed_old,maxvote_id_old,maxvote_ambiguous_old,maxvote_figurative_old,maxvote_literal_old
live at rack and manger,in between plenty and abundance,lived at rack and manger,"after winning the lottery, they lived at rack and manger with no financial worries","the horses in the stable lived at rack and manger, with food and shelter provided",0,False,I've been living at rack and manger,"I've been living at rack and manger, meaning I care very little and take whatever comes as it is",I've been living at rack and manger since it's the only option I have,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['ambiguous', 'figurative', 'figurative']",False,ambiguous : figurative : figurative,ambiguous,figurative,figurative
loaves and fishes,done for material benefits,shared loaves and fishes,the charity event shared loaves and fishes by providing for the needy,"at the picnic, they shared loaves and fishes among the attendees",0,False,She collected the loaves and fishes,"She collected the loaves and fishes from everyone and with her faith, multiplied them many times",She collected the loaves and fishes and brought them to feed the townspeople,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",False,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal
long in the tooth,To get too old for something.,getting long in the tooth,he's getting long in the tooth and might retire soon,"the horse was getting long in the tooth as it aged, making it easier to determine its age",0,False,He is getting long in the tooth,He is getting long in the tooth as he grows older,He is getting long in the tooth lately due to the gum recession,"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
long run,far away in the future,in the long run,investing in education will pay off in the long run,the marathon was in the long run category of races,0,False,It will help in the long run,"It will help in the long run, even though it may cause difficulties in the short term","It will help in the long run, even if it takes years to become productive","['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,figurative : figurative : figurative,figurative,figurative,figurative
look before you leap,to make sure that everything is alright before doing something important which you cannot revert,to look before you leap,"when making a big decision, always remember to look before you leap","while standing on the edge of the diving board, he was reminded to look before you leap",0,True,"He looked before he leapt"" ",He looked before he leapt and decided to wait before taking a risky decision,He looked before he leapt and checked the pool was deep enough before jumping in,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
look on the bright side,always try to see the good things even in bad situations,to look on the bright side of things,"despite the setback, she encouraged us to look on the bright side of things and learn from the experience","as the sun rose, we decided to look on the bright side of things and enjoy the beautiful view",0,True,You should look on the bright side,You should look on the bright side of things and try to focus on the positives,You should look on the bright side of the room and you'll see a window,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
looked through colored glasses,to look the things not as they are; having a heavily biased worldview,looked through colored glasses,she always looked through colored glasses when it came to her children's achievements,"during the art class, we looked through colored glasses to observe the effects on the painting",0,False,I looked through colored glasses,I looked through colored glasses and misunderstood the whole situation,I looked through colored glasses and enjoyed the vibrant scenery,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
loose cannon,somebody whose activities are uncommon and out of control,became a loose cannon,"after losing his job, he became a loose cannon and started causing problems","during the battle reenactment, the replica became a loose cannon when it broke free from its mount",0,False,He is a total loose cannon,"He is a total loose cannon, always taking risky decisions without considering the consequences","He is a total loose cannon, literally in danger of running away from his group","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,figurative : figurative : figurative,figurative,figurative,figurative
lose it,go insane or crazy,she lost it during the meeting,she lost it during the meeting when she could n't handle the pressure anymore,she lost it during the meeting when her pen slipped out of her hand,0,False,She lost it,She lost it when she found out the disappointing news,"She lost it, not knowing where she placed it","['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
lose your marbles,strange behaviors.,lost his marbles,"after working non-stop for days, he finally lost his marbles and started talking nonsense","during the game, he accidentally lost his marbles when the bag ripped open",0,False,He has lost his marbles,He has lost his marbles and can no longer think straight,He has lost his marbles because he accidentally dropped them on the ground,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
lower the bar,to lower standards or expectations,lowered the bar for everyone,the company lowered the bar for everyone by reducing the performance expectations,the gym instructor lowered the bar for everyone during the limbo competition,0,False,The company lowered the bar,The company lowered the bar by making its expectations easier to achieve,The company lowered the bar so they could use it to do pull-ups,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,I had a lump in my throat,"when I heard the sad news, I had a lump in my throat and couldn't speak","after swallowing a large piece of food, I had a lump in my throat and needed water",0,True,I had a lump in my throat,I had a lump in my throat when my best friend announced she was moving away,I had a lump in my throat which made it difficult for me to swallow,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
made it,used to indicated the completion of a task,finally made it,"after years of hard work, she finally made it in the music industry","despite the heavy traffic, they finally made it to the party",0,False,She made it,She made it clear that she didn't want to go on the same venture again,She made it to the finish line despite a painful injury,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'literal']","['figurative', 'literal', 'ambiguous']",False,ambiguous : literal : ambiguous,ambiguous,literal,ambiguous
make a clean breast,to tell the truth about something.,made a clean breast of the situation,he finally made a clean breast of the situation and admitted his mistakes,the surgeon made a clean breast of the situation by removing the tumor,0,False,He made a clean breast,He made a clean breast of all the secrets he had been hiding,He made a clean breast of himself by washing himself quickly in the river,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
make a song and dance,if someone complains in an annoying way or becomes unnecessarily excited about something unimportant,made a song and dance about it,she made a song and dance about it when she found out she won the lottery,the performers made a song and dance about it during the musical's finale,0,False,He's made a song and dance,He's made a song and dance about how important this issue is,He's made a song and dance by singing and dancing,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",False,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal
make ends meet,make sufficient money to survive on,was struggling to make ends meet,"after losing her job, she was struggling to make ends meet and pay her bills",the tailor was struggling to make ends meet when sewing the two pieces of fabric together,0,True,He's been struggling to make ends meet,He's been struggling to make ends meet as his paycheck barely covers his expenses,He's been struggling to make ends meet by joining the pieces of string together,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,figurative : figurative : literal,figurative,figurative,literal
make it big,become very successful or famous,made it big in the industry,"after years of hard work, she finally made it big in the industry",the baker made it big in the industry by creating giant-sized cakes,0,False,He's making it big,He's making it big by working hard and taking risks,He's making it big with his new house that he just bought,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['figurative', 'ambiguous', 'figurative']",False,ambiguous : figurative : figurative,ambiguous,figurative,figurative
make ones bed and lie on it,to be responsible for what you have done and accept the results,they made their bed and lied on it,they made their bed and lied on it when they decided to invest in that risky business,"after tidying up the room, they made their bed and lied on it to take a nap",0,True,He made his bed and lay on it,He made his bed and lay on it as he had to accept the consequences of his choices,He made his bed and lay on it because it was time to go to sleep,"['ambiguous', 'literal', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
makes his hackles rise,to make you angry,makes his hackles rise,the sound of nails on a chalkboard makes his hackles rise,"when the dog senses danger, it makes his hackles rise on his back",0,False,He makes his hackles rise,He makes his hackles rise when he's around someone he doesn't like,He makes his hackles rise when he gets scared,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['figurative', 'literal', 'figurative']",False,ambiguous : figurative : figurative,ambiguous,figurative,figurative
makes my ears burn,"to be embarrassed by what you hear, especially if the conversation is about you",makes my ears burn,hearing people gossip about me makes my ears burn,standing too close to the bonfire makes my ears burn,0,False,It makes my ears burn,It makes my ears burn when I think about how much I embarrassed myself in front of everybody,It makes my ears burn when the sound is too loud,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
man's best friend,"It refers to animals that are of use to human beings, mostly used to address dogs.",a man's best friend,the loyal dog is often considered a man's best friend,"he wrote a book about his childhood, where he described his brother as a man's best friend",0,False,He is a man's best friend,He is a man's best friend because he always helps him out when he is in need,He is a man's best friend because he is always there when his owner calls him,"['ambiguous', 'figurative', 'ambiguous']","['ambiguous', 'literal', 'literal']","['literal', 'figurative', 'figurative']",True,ambiguous : literal : figurative,ambiguous,literal,figurative
match made in heaven,a combination of two people that is perfect in every way,a match made in heaven,"their partnership was a match made in heaven, as they complemented each other's skills",the angelic dating service claimed to provide a match made in heaven for its clients,0,False,It's a match made in heaven,It's a match made in heaven since you two are perfectly in sync,It's a match made in heaven since you two found each other on a dating app,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,figurative : figurative : figurative,figurative,figurative,figurative
mean business,to be focused about achieving a goal,they really mean business,"when it comes to meeting deadlines, they really mean business",the entrepreneurs' conference was filled with people who they really mean business,0,False,He means business,He means business and is not going to back down until he achieves his goals,He means business and is investing large amounts of money in the project,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['literal', 'ambiguous', 'figurative']",False,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous
meet halfway,to reach a compromise,to meet halfway in the park,"to resolve the conflict, they decided to meet halfway in the park and discuss their differences","since they lived on opposite sides of town, they agreed to meet halfway in the park for a picnic",0,True,We met halfway,We met halfway to come to a compromise,We met halfway in the town park,"['literal', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'ambiguous']","['ambiguous', 'ambiguous', 'literal']",False,ambiguous : ambiguous : ambiguous,ambiguous,ambiguous,ambiguous
mend fences,to try and improve a bad relationship with another party,mending fences with her,"after the argument, he started mending fences with her by apologizing",the farmer spent the afternoon mending fences with her to keep the animals inside,0,False,They've been mending fences,They've been mending fences between their different branches of the family,They've been mending fences on their farm's perimeter,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
miles away,unaware of the current situation,seemed miles away,"during the meeting, her thoughts seemed miles away from the topic",the mountain peak seemed miles away from our current location,0,False,I feel miles away,I feel miles away from reality after that dream,I feel miles away from home after I moved here,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'ambiguous']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
miles to go before I sleep,you have a lot to do before you can rest,miles to go before I sleep,"with a long list of tasks to complete, I have miles to go before I sleep","during the long hike, I thought to myself, 'miles to go before I sleep' as I checked the map",1,False,I have miles to go before I sleep,I have miles to go before I sleep--I still have a lot of work to do before rest,I have miles to go before I sleep--I still have a long way to travel before I can rest,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
mind your own beeswax,do not interfere into someone else's matter,on minding your own beeswax,"instead of gossiping about others, focus on minding your own beeswax","while working at the apiary, concentrate on minding your own beeswax production",0,True,He told me to mind my own beeswax,He told me to mind my own beeswax and stay out of his business,He told me to mind my own beeswax and not touch the honeycomb,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
mind your own business,to look into your own matter,were minding their own business,the neighbors were minding their own business and didn't notice the commotion next door,the entrepreneurs were minding their own business by managing their respective companies,0,True,We should mind our own business,We should mind our own business and speak kindly about others instead of gossiping,We should mind our own business and not look through the neighbor's window,"['ambiguous', 'figurative', 'literal']","['figurative', 'literal', 'figurative']","['literal', 'figurative', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
miss the boat,miss a chance,she missed the boat on that opportunity,she missed the boat on that opportunity by not applying for the job in time,she missed the boat on that opportunity to take the scenic river cruise,0,False,We missed the boat,We missed the boat as we were too late to take advantage of the opportunity,We missed the boat when it sailed away from the docks,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
more heat than light,to cause anger or intense reaction but doesn't clarify anything,generated more heat than light,the heated debate generated more heat than light and left everyone confused,the malfunctioning light bulb generated more heat than light and needed to be replaced,0,False,The argument had more heat than light,"The argument had more heat than light, evidenced by the aggressive nature of their words","The argument had more heat than light, indicated by the burning candles that surrounded them","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,figurative : figurative : literal,figurative,figurative,literal
"Mr Right, Ms Right",the best future life partner for someone,found their Mr Right and Ms Right,"after years of searching, they finally found their Mr Right and Ms Right and settled down","at the costume party, they found their Mr Right and Ms Right outfits in the store",0,False,She is looking for Mr Right and Ms Right,She is looking for Mr Right and Ms Right to start a perfect family,She is looking for Mr Right and Ms Right which she can find in her family history book,"['figurative', 'literal', 'ambiguous']","['literal', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
my hands are full,someone is too busy or has too much going on to be able to do or become involved with anything else,my hands are full at the moment,"With three projects to manage and a presentation to prepare, my hands are full at the moment","Carrying a stack of books and a cup of coffee, my hands are full at the moment",1,False,My hands are full,"My hands are full with work, so I can't go out tonight","My hands are full of groceries, so I can't open the door","['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
my way or the highway,to order someone to do something in a specific way without providing an alternative.,it's my way or the highway,"when it comes to decision-making, he always says it's my way or the highway",the sign at the fork in the road read 'it's my way or the highway',0,False,It's my way or the highway,"It's my way or the highway, so no one can differ with my opinion""","It's my way or the highway, so there's no other route for you to take","['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'ambiguous', 'literal']",False,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous
nail biter,"a situation like a close contest, which induces anxiety or tension.",a real nail biter,the final moments of the game were a real nail biter as both teams were neck and neck,"watching her chew on her fingers during the movie, it was clear she was a real nail biter",0,False,It was a nail biter,It was a nail biter until the very last second of the game,It was a nail biter since I was biting my nails,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['figurative', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
nail in the coffin,"an action/event that will help bring about the death, end, or failure of something or someone",put the final nail in the coffin,his resignation letter put the final nail in the coffin for the company's future,the undertaker put the final nail in the coffin before lowering it into the ground,0,False,That was the nail in the coffin,That was the nail in the coffin when it came to our relationship,That was the nail in the coffin when I hammered it into the side of the casket,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
never looked back,"after an event which changed your life for the better, you continue to be happy with the situation",never looked back after that,"she quit her job and started her own business, and she never looked back after that",he walked away from the haunted house and never looked back after that,0,False,I never looked back,I never looked back since I made the decision to go after my dreams,I never looked back after running away,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
night owl,Someone who is vigilant late at night.,being a night owl,she was more productive being a night owl and working late hours,"for the costume party, he dressed up as being a night owl with large wings and a beak",0,False,He's a night owl,He's a night owl due to his preference for staying up late and staying up all night,He's a night owl because he has large eyes that can take in lots of light during the night,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,figurative : figurative : literal,figurative,figurative,literal
nip in the bud,check something thoroughly.,to nip the problem in the bud,"to prevent further complications, we decided to nip the problem in the bud by addressing it immediately",the gardener decided to nip the problem in the bud by pruning the young plant,0,True,We nipped it in the bud,We nipped it in the bud before it could become a major problem,We nipped it in the bud while it was still a bud,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,figurative : figurative : literal,figurative,figurative,literal
no picnic,used to express that an activity or action is not fun,it was no picnic,"working on that project for hours, it was no picnic for the team","despite the food and blankets, the rain made sure it was no picnic for us",0,False,The project was no picnic,The project was no picnic since it was challenging and time-consuming,"The project was no picnic as we did not bring anything to eat."" ","['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,figurative : figurative : literal,figurative,figurative,literal
no room to swing a cat,a very small place,there's no room to swing a cat,"in this tiny apartment, there's no room to swing a cat","with all these fragile items around, there's no room to swing a cat without breaking something",0,False,The house had no room to swing a cat,The house had no room to swing a cat as it was too crowded with furniture and other belongings,The house had no room to swing a cat as the ceilings were too low,"['ambiguous', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']","['literal', 'literal', 'figurative']",False,figurative : literal : literal,figurative,literal,literal
no spring chicken,Someone who's no longer young.,not a spring chicken anymore,he realized he was not a spring chicken anymore when he couldn't keep up with the younger athletes,the farmer confirmed that the hen was not a spring chicken anymore as it had grown quite large,0,False,She's no spring chicken,She's no spring chicken and has lots of experience with this,She's no spring chicken and won't be laying any eggs,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
not getting anywhere,to make no progress at all; not improving or advancing a particular situation,not getting anywhere with this,we were not getting anywhere with this project due to constant setbacks,"the car was stuck in the mud, and we were not getting anywhere with this vehicle",0,False,I'm not getting anywhere,I'm not getting anywhere with this project no matter how hard I try,I'm not getting anywhere because I'm not driving anywhere,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
not have a clue,to not know something.,didn't have a clue,"when asked about the solution, he didn't have a clue and just shrugged",she searched her bag for the crossword puzzle but didn't have a clue inside,0,False,I don't have a clue,I don't have a clue what to do,I don't have a clue what this contraption is,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'literal']","['figurative', 'figurative', 'figurative']",False,ambiguous : ambiguous : figurative,ambiguous,ambiguous,figurative
not hurt a fly or flea,"To not be able to cause harm to anyone, including even a tiny and insignificant insect.",wouldn't hurt a fly,"despite his intimidating appearance, he wouldn't hurt a fly and was very gentle",she was so careful with her bug collection that she wouldn't hurt a fly while handling them,0,False,I wouldn't hurt a fly or flea,"I wouldn't hurt a fly or flea, not even if I was provoked","I wouldn't hurt a fly or flea, no matter what","['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'ambiguous', 'ambiguous']",False,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous
not playing with a full deck,not mentally sound,not playing with a full deck,his strange ideas made it seem like he was not playing with a full deck,"during the poker game, we discovered we were not playing with a full deck when the ace of spades appeared twice",1,False,He's not playing with a full deck,He's not playing with a full deck because he's making some really illogical decisions,He's not playing with a full deck because he's only got fifty-two cards instead of fifty-five,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
off grid,disconnected from municipal utility systems.,started living off grid,he decided to disconnect from social media and started living off grid,they built a cabin in the woods and started living off grid without electricity or running water,0,True,She went off grid,She went off grid when she disconnected herself from social media,She went off grid to avoid her electricity bill,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
off the cuff,in an unguarded way,he gave an off the cuff speech,"he gave an off the cuff speech at the party, surprising everyone with his wit","while wearing a shirt with no cuffs, he gave an off the cuff speech about fashion",0,True,He gave an off the cuff speech,He gave an off the cuff speech without any preparation or rehearsing,He gave an off the cuff speech by writing the points on the cuff of his shirt,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,figurative : figurative : literal,figurative,figurative,literal
off the hook,free of a difficult situation,to let him off the hook,"since it was his first mistake, we decided to let him off the hook this time","after untangling the fishing line, we managed to let him off the hook",0,True,He is off the hook,He is off the hook from any further involvement in the project,He is off the hook since he is freed from the handcuffs,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
old hat,Someone who is old fashioned. The phrase can directly refer to old fashion too.,an old hat at,"she's an old hat at programming, having done it for years","he found an old hat at the back of his closet, covered in dust",0,False,This old hat is fooling nobody,This old hat is fooling nobody because the plan has been tried before,This old hat is fooling nobody because it's too tattered to be real,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
old school,old fashioned ideas or approach compared to current trends,an old school approach,"he prefers an old school approach to communication, like writing letters",the museum showcased an old school approach to education with antique desks and chalkboards,0,False,I'm an old school type,I'm an old school type with some traditional values,I'm an old school type and I still use a typewriter,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,figurative : figurative : figurative,figurative,figurative,figurative
on a silver platter,to get something without having to work for it,served it on a silver platter,he served it on a silver platter by doing all the work for her,the waiter served it on a silver platter to impress the guests,0,False,I received it on a silver platter,"I received it on a silver platter, as though this gift was especially made for me","I received it on a silver platter, situated between a collection of other platters","['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
on its knees,something that is in a very weak situation or on the verge of failure,the city was on its knees,"after the economic crisis, the city was on its knees and struggling to recover","in the art installation, the city was on its knees as the artist had created a miniature version of it, resting on two large sculptures of human knees",0,False,"The company is on its knees"" ",The company is on its knees as it struggles to survive due to its financial difficulties,The company is on its knees as it does its morning prayers,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,figurative : figurative : literal,figurative,figurative,literal
on pins and needles,being anxious or nervous,waiting on pins and needles,"while anticipating the exam results, we were waiting on pins and needles","during the acupressure therapy session, she was waiting on pins and needles placed on her back",0,False,I've been on pins and needles,I've been on pins and needles waiting to hear back from my job application,I've been on pins and needles because I have been sitting cross-legged for too long,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'ambiguous', 'figurative']",False,ambiguous : figurative : figurative,ambiguous,figurative,figurative
on the back burner,to put something (that is to be done) for later,put it on the back burner,"due to the urgent tasks, we had to put it on the back burner for now","to simmer the sauce slowly, she put it on the back burner of the stove",0,False,He put it on the back burner,"He put it on the back burner, meaning he won't be revisiting it until he's done with his other tasks","He put it on the back burner, positioning it furthest from the heat","['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
on the ball,"alert to new trends, ideas, and methods",stayed on the ball,she stayed on the ball and managed to finish the project before the deadline,"during the circus performance, the acrobat stayed on the ball while juggling",0,False,He was on the ball,He was on the ball this morning when he was ready to face whatever the day had to offer,He was on the ball and showed off his juggling skills,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']",False,ambiguous : figurative : figurative,ambiguous,figurative,figurative
on the brink of,to be on the verge of doing something,on the brink of something,the company was on the brink of something big when they launched their new product,"the hiker stood on the brink of something dangerous, a steep cliff",0,False,The town was on the brink of disaster,The town was on the brink of disaster as the roaring floodwaters threatened to wash away their homes,The town was on the brink of disaster as the river water was only a few inches away from overflowing its banks,"['ambiguous', 'ambiguous', 'figurative']","['literal', 'ambiguous', 'literal']","['literal', 'literal', 'figurative']",False,ambiguous : literal : literal,ambiguous,literal,literal
on the crest of a wave,to reach the highest point of success,riding on the crest of a wave,"after the successful product launch, the company was riding on the crest of a wave",the surfer skillfully balanced himself while riding on the crest of a wave,0,False,He is on the crest of a wave,He is on the crest of a wave as his new business venture is making huge profits,He is on the crest of a wave as he was surfing near the shore,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
on the dot,exactly on time,she arrived at 3 PM on the dot,"she arrived at 3 PM on the dot, showing her punctuality","she arrived at 3 PM on the dot, stepping on a painted circle on the ground",0,False,He arrived at 8 on the dot,"He arrived at 8 on the dot, showing how punctual he is","He arrived at 8 on the dot, exactly when he said he was going to arrive","['literal', 'figurative', 'literal']","['figurative', 'literal', 'figurative']","['figurative', 'figurative', 'figurative']",False,literal : figurative : figurative,literal,figurative,figurative
on the edge of their seat,to be very interested in something and fits with both extremely exciting and nerve-wracking,on the edge of their seat,the suspenseful movie had everyone on the edge of their seat,the chair was so small that they were uncomfortably perched on the edge of their seat,1,False,People were on the edge of their seats,People were on the edge of their seats with anticipation to hear what the movie star had to say,People were on the edge of their seats because there was no more room on the seats,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",False,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal
on the hook,someone who is responsible for something,was left on the hook,he was left on the hook for the entire project after his partner quit,the fish was left on the hook after it was caught,0,True,I'm on the hook,I'm on the hook because my boss didn't give me an answer about the promotion,I'm on the hook because I hooked up my boat to the pier,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
on the line,to be at serious risk.,she put it on the line,she put it on the line when she confronted her boss about the unfair treatment,she put it on the line to dry after washing her clothes,0,False,Everything was on the line,"Everything was on the line when I took the test, so I was very anxious","Everything was on the line when I was washing my clothes, so I didn't make any mistakes","['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
on the money,being right about something.,right on the money,his prediction about the game's outcome was right on the money,the coin landed right on the money that was placed on the table,0,False,He was on the money,He was on the money when he predicted the stock market crash,He was on the money when I saw him counting dollar bills,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
