idiom,meaning,example
one stop shop,a store that fulfills various requirements which is preferable by customers,That corner store is a one stop shop for anyone looking for video games.
eat humble pie,To become very humble in behaviour when someone points out a wrong doing by the person.,I know for certain that the appliance should not be handled this way but if I turn out to be wrong then I'll eat humble pie.
keep schtum,To be quiet when one knows that if the wrong thing is said then there will be more trouble.,I can't tell you because you will not be able to keep schtum about it.
on the rocks,likely to fail because of serious problems,Their marriage was on the rocks as they couldn't get along with each other anymore and were having huge arguments very frequently.
can't stand the sight of,to hate someone very much,"After years of being in an unhappy marriage and later going through an ugly divorce, they now can't stand the sight of each other."
blazing row,a very angry argument,"After having a blazing row with his wife, he stormed out of the room and banged the door behind him."
go through a rough patch,to experience a lot of problems in a period of life,"They have usually been very supportive of each other, but right now, their marriage is going through a bit of a rough patch."
tie the knot,to get married,They have been dating each other for quite some time now and are planning to tie the knot a few months from now.
get hitched,to get married,Have you heard? Marge and Sam are getting hitched this weekend.
cupboard love,affection given in order to gain a reward,I had suspected all along that Jane's affair with that man was just cupboard love. What she really liked about him was his big mansion and luxurious car.
whet one's appetite,"A stimulation that causes you to want additional of something, mostly food.",You have whetted my appetite to go for another theatre performance after making me watch this one.
veg out,to stop working hard,"After a tiring week, I like to veg out in front of the television during the weekend."
fancy free,something or someone who has no commitments or ties,Until the time his father was around to take care of him he was footloose and fancy free. Now things are very different.
love of life,the person who is loved most by someone in all their life,"After having spent most of his life being single, he finally found the love of his life at the ripe old age of fifty."
puppy love,"a mild infatuation, or a crush","Most teenagers are quick to fall in love and expect it to last a lifetime, but of course it is puppy love and they soon fall out of it."
chew the fat,to have friendly banter for hours on end.,"I've been meaning to get a hold of my friends from the US for quite a while. If I can manage to do that after the party, then I'll go and chew the fat with them at our regular hangout."
love nest,a home or place where two people who love each other live,"It was rumoured that the boss was having an illicit love affair with one of his subordinates. Apparently, he had set up a love nest a few blocks away from the office where they met everyday after work."
bob's your uncle,it is said after a set of instructions are provided and one wants to convey that the work will be simple for the other person to do,"You add two cups of water to the mix, heat it for five minutes and Bob's your uncle, the soup is ready."
born with a silver spoon in mouth,to be born to parents who are rich and have a good social rank,He has never worked hard for anything because he was born with a silver spoon in his mouth. His parents brought everything to him instead.
i'll eat my hat,This is an expression of not believing something very strongly.,If you are really able to climb that 8 feet wall by yourself then I'll eat my hat.
as nice as ninepence,A place that is very well organized.,I was taken aback when I saw that this place is as nice as ninepence.
"if wishes were horses, beggars would ride",To wish for things does not yield to anything.,"She told me she wanted to become Miss Universe and I said, ""If wishes were horses, beggars would ride"". How else was I to react to such an absurd thing?"
smitten with,suddenly start to like or love someone very much,He is completely smitten with love for her.
have eyes only for,be attracted to someone exclusively,"Jane was a very popular girl in her college and was surrounded by admirers, but she had eyes only for Steve."
"wear off, out",Something that deteriorates or changes by wearing,That garment is completely worn out. Why don't you just throw it away?
head over heels,"fall deeply and completely in love, especially suddenly",Tom and Mary are head over heels in love with each other and are going to get married next month.
lovey-dovey,showing lot of love or affection,"We had gone for lunch with our boss and his wife, but it was pretty awkward with a couple getting lovey-dovey a couple of tables away from us."
red letter day,a day of significance,The day that I started my journey towards my real career was a red-letter day for me.
pin money,A small amount.,The maid service in this area are no longer available at pin money. You have to shell out big bucks in order to get household help.
fall for,to be attracted romantically to a person,I think Charlie has fallen for Jenny. He is always trying to find reasons to be with her.
go steady,have a romantic relationship with someone,Kate and Jack have been going steady with each other for the past few years now.
have the hots for,be very sexually attracted to someone,My friend has the hots for the new girl who has recently joined his team.
hissy fit,To throw a tantrum.,A hissy fit is not justified just to get someone to listen to you. You have to be more mature than that.
save face,To be able to hide public disgrace by taking some action.,"I managed to save face by being able to speak about the topic, the presentation that was made was really not good."
quality time,well spent time,It had been so long since we went on a vacation but this last month we decided to spend quality time with the family regardless.
lie low,"To go out of sight, usually after having done something bad.",Someone else in his position would lie low after having done what he did!
go out with,have a romantic relationship with someone,Sue and Rob had been going out with each other for five years before they finally decided to get married.
paddle own canoe,To be able to act without having to depend on anyone.,He feels he can paddle his own canoe now so wants to move out of his parent's house.
keen as mustard,Very excited and enthusiastic.,Little kids are always as keen as mustard to learn new things around them.
crush,feel love-sick for someone.,"I think Steve has a crush on our new English teacher; he always looks forward to her classes and even goes to ask questions after classes, though he doesn't need to."
catch eye,be noticed by someone,"While we were driving down the road, a small shop selling beautiful potteries caught my eye."
fall in love,to be very attracted to someone,My brother and his fiancee fell in love when they went for a camping trip together with a group of friends.
harp on,To speak in a boring tone.,He kept harping on about something. I had stopped paying attention a long while back.
in a trice,"In the moment, instantly.","I will be there in a trice, stop calling me so often."
jot or tittle,A very small amount.,"I don't want a jot or tittle of it, I want the whole thing."
year dot,A long time back.,I have been living in this house since the year dot and know everyone in the vicinity by their first names.
old hat,Someone who is old fashioned. The phrase can directly refer to old fashion too.,Ask that old hat to keep out of my business. She has a lot to correct in her own life first.
a little bird told me,it is used when a person is trying to hide the source of his information,I'd like to believe that a little birdie told you about my secret but I know exactly who it was that let you in on it.
night owl,Someone who is vigilant late at night.,In order to earn their bread so many people now have to turn into night owls. The customer service industry thrives on 24*7 availability of people.
shilly-shally,To be undecided.,He is not shilly-shally about his plans to move to the United States of America.
filthy rich,Someone who is rich beyond measure.,His father is filthy rich so obviously he is not worried about choosing the right university. He can get admission in any of them that he chooses.
love at first sight,strong and immediate attraction to someone you have just met,"For Sarah and Samuel, it was love at first sight, and they have now decided to get married."
tall story,a story that cannot be believed easily,You cannot believe everything he says since most of them are just tall stories.
class clown,a wiseacre,He is the class clown with the constant talking and making fun of others.
dead ringer,A duplicate of the exact nature.,She is a dead ringer of one of my friends. I in fact walked up to her at an event mistaking her for my friend.
slap on the wrist,to show disapproval.,I have to keep slapping his wrist away from the cake or there will be nothing left for the party.
happy as a clam,To be very happy.,"Although the job does not pay very well, she is as happy as a clam there."
as bald as a coot,Totally bald.,She is in remission now but the Chemo Therapy has left her as bald as a coot.
well read,Well-educated and learned.,She is well read does not mean that she can go out on the streets and fend for herself. To be street smart is a requirement in what she wants to do.
laughing stock,Something ridiculous which can be laughed upon.,"After the event and how he behaved there, he was the laughing stock in school for days to come."
mumbo jumbo,Something that does not make sense.,"I do not believe in this mumbo jumbo, human life should be valued far more than some ritual that one is not willing to forego."
long in the tooth,To get too old for something.,He is too long in the tooth to be working with 18 year old paired opposite him in movies.
"all singing, all dancing","Something that is full of verve, vivacity and liveliness.",She went home from the play all singing all dancing. It was one of the liveliest performances that she had ever witnessed.
as easy as pie,an easy thing,The results are sure to be good this time since the exam was as easy as a pie.
flesh and blood,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood.","Of course I care about her well-being, my sister is my flesh and blood after all."
high on the hog,someone who is used to luxury,We aren't as wealthy as the Jones' to eat so high on the hog.
know the ropes,to know all the ways and means to get something done,She has been working here for 30 years and knows the ropes to getting anything done.
dry run,a rehearsal before the actual performance,Today is only a dry run so we will not be using the actual costumes.
Van Gogh's ear for music,Van Gogh was a painter who cut his ear off and this phrase is a pun intended one referring to being tone deaf.,Her singing is so bad she has Van Gogh's ear for music.
doozy,it is something that is unique,"It's a doozy of a painting, she is so creative."
a whale of,very big (piece) of something,"That birthday party was super fun, all the children had a whale of a time there."
clam up,refusal to talk further or reply,"She clams up every time I walk in, it is worrisome."
fish for a compliment,It refers to an attempt to make someone say something nice to you or about you.,"When the student said that he was still not confident of the subject after a score of 80 on 100 in the test, the teacher knew that he was only fishing for a compliment."
turn turtle,It refers to something turning upside down.,The automobile turned turtle on the highway when the storm got too strong.
as calm as a toad in the sun,To be very calm in a situation that can be unnerving.,"No matter what the situation is, you are always as calm as a toad in the sun. What is your secret in maintaining so much composure?"
basket case,a person or a thing that is not able to function properly,You should accept this job offer since this is your first job and that organization is a real basket case.
bug someone,to bother or irritate someone,The squadron leader bugged the military man in order to find out if he was a spy for the enemy.
green around the gills,Someone who looks sick or nauseated.,You need not know all the rules to understand that this kind of turbulent weather makes anyone on board go green around the gills. The cruise should have been stopped for a while.
use your loaf,To tell someone to use their brain more in analysing what they are doing.,I do not like it that you talk about people's disabilities so often. You ought to use your loaf and understand that you may be hurting someone's sentiments.
sick as a dog,To be very sick.,You should not go to study with him today. He seemed to be as sick as a dog according to his friends.
hive of activity,a very busy place,The restaurant on this weekend will be a hive of activities.
bug-eyed,The bulging of the eyes out is known as being bug eyed.,I was bug eyed looking at her wedding dress and jewelry. Her parents have gone over and above to see her happy.
stir up a hornet's nest,to create trouble,"When the auditor asked for more shreds evidence, the treasury department stirred up a Hornet's nest because they did not have more. This is how the fraud was actually revealed."
not hurt a fly or flea,"To not be able to cause harm to anyone, including even a tiny and insignificant insect.","He is such an innocent little child, he could not hurt a fly."
drink like a fish,"this phrase means to drink heavily, which becomes worrisome","At any party that he goes, he drinks like a fish. His wife ought to control this if she can."
a penny saved is a penny earned,This phrase advises people to be cautious of their money and have savings.,Now that he has financial difficulties he will realize that a penny saved is as good as a penny earned.
a rolling stone gathers no moss,it is difficult for a wanderer to be able to flourish,It was time for you to settle down at least five years back. You should find a place that you like and build a home there because a rolling stone gathers no moss.
a little knowledge is a dangerous thing,gaining some knowledge can make a person believe that they have now become experts in that field,"He read about the procedure online and thought he doesn't need the doctor to get it done. Now he will have to stay in the hospital far more than he might have in the first place, a little knowledge is indeed a dangerous thing."
a miss is as good as a mile,"This phrase points to the fact that regardless of how badly (or not) someone missed the target, it is a miss after all.","Although they scored the last goal, that one miss was as good as a mile."
a place for everything and everything in its place,This phrase is advisory in nature which talks about things being stacked neatly and should be put back in its place when one is not using that particular item.,She is a strict mother and teaches her children to make a place for everything and have everything in place.
a nod is as good as a wink,This phrase refers to passing signals to convey a message. This signal can be subtle for those who want to understand it.,She wanted to go for the late night party so her friend made up a story about them getting together to study. Funny thing is that she had not said anything to her friend but a nod is as good as a wink between friends.
a cat may look at a king,Someone who is inferior in any form is not totally restricted in how they behave in front of a superior.,Her boss had just entered but she still went on break. This cat looks at the king on a daily basis.
a drowning man will clutch at a straw,It refers to the desperate measures that someone in need may make in order to come out of the situation.,Although there was no possibility of success he tried his hand at this interview to get a job because a downing man will even clutch at a straw.
a little of what you fancy does you good,It is a coveted way of addressing the benefits that one derives out of having sex.,He was very happy to work overtime today because he could go home half day on his anniversary. A little of what he wanted has done him good.
a golden key can open any door,The prospect of receiving money will end up in getting any task accomplished.,You should tip the reception staff to get a table sooner because a golden key can open any doors.
a good man is hard to find,This proverb refers to women who are looking for suitable alliances but aren't able to find them.,He has stood by her in all her troubled times. Usually a good man is hard to find but she has done quite well for herself.
a friend in need is a friend indeed,used for a person who helps at the time of a requirement is a true friend,"He stayed with me throughout the time I was in the hospital, a friend in need is a friend indeed!"
X Factor,an outstanding extraordinary ability,This is the right time to invest in Gold and Real Estate. It may turn out to be an X-Factor.
fate worse than death,It means to have to suffer through ordeal that makes a person prefer death over going through it again.,Even after she got the surgery done she was in pain for weeks. It was a fate worse than death.
have never had it so good,"It literally means what it says, that is, a person has not had better of whatever it is that is being discussed before.",You should not have broken up with her. You have never had it so good with anyone else.
man's best friend,"It refers to animals that are of use to human beings, mostly used to address dogs.",When his dog died he cried for many days in the memory of his only best friend.
dish fit for the gods,This refers to food that is of an exemplary quality,She is such a wonderful cook. The cakes that she bakes are dish fit for the gods!
call of the wild,It talks about nature appealing to a person.,"How could he hurt her like that? He has always been so nice, talk about the call of the wild!"
fish rots from the head down,It refers to failing organizations and how the blame of it should be on its 'head' that is its leadership.,The company was bound to be closed sooner or later considering the kind of mangers that they had hired. A fish rots from the head down after all.
fool's paradise,This phrase refers to someone who becomes happy at hopes provided based on false facts.,The money was never going to be deposited by him. He kept promising her and let her stay in that fool's paradise for way too long.
face the music,receive punishment,"If you have done something wrong, you have to face the music. There's no escaping out of it."
ring a bell,something that sounds familiar,That name rings a bell but I cannot recall where I have heard it before.
pitch in,join in and help with something,On Jane's birthday her friends decided to pitch in and have a surprise party for her.
diamond is forever,It is the slogan of the popular diamond seller De Beers.,"'No matter how much you love your man, it is the diamond that lasts forever', joked the girls at the brunch table."
call a spade a spade,this phrase means to say something the way it is,"That dress made her look fat, let's call a spade a spade before she goes out wearing it and embarrasses herself."
feather in your cap,It means to have an achievement in your name.,"Ruth scored the last goal for her team, adding a feather in her cap."
Kangaroo court,It refers to a court that passes judgement but is not a valid court.,"The Kangaroo court announced two years back that the family should be banished and the people in the village followed the judgement. To this day, nobody even talks to anyone in that family."
before one can say Jack Robinson,very suddenly,I wanted to have a meaningful conversation with him when he was back from work but he was gone before I could say Jack Robinson.
baby blues,The depression that is caused to new mothers after childbirth.,"Do not speak to her in a rude tone, she is just going through some baby blues right now and needs compassion from you."
cold turkey,in a unexpected and sudden way,"He had been trying to quit smoking since a year but couldn't, so he decided to go cold turkey."
sit tight,wait patiently,"Just relax and sit tight, we'll get the problem sorted for you."
a bunch of fives,This phrase refers to the human fist where the bunch of fives literally point out to the five digits.,The two enemy groups in the college this time came together for a fight with nothing but their bunch of fives.
a chain is only as strong as its weakest link,"this proverb means what it states, literally","No matter how confident the cheer-leading group is in carrying out the human pyramid gig, the team is only as strong as its weakest link."
ginger up,to cheer up a group or any activity,As soon as they heard about the picnic - the children in the class gingered up.
as mad as a hatter,it refers to someone being completely crazy,"The way he dressed for the event, he must be as mad as a hatter."
name is mud,It means that the person is extremely unpopular.,If you keep hanging out with the local goons then soon your name will be mud too.
lose touch,fail to keep in contact,Michelle was my best friend at the university. But over the years we've lost touch.
scratch back,do someone a favour hoping that a favour will be returned,"I don't mind helping him out this time, he's scratched my back many times."
at sea,It means to be confused or not understand something at all.,I was at sea when he started discussing quantum physics during dinner.
at stake,"It means to be on wager or bet, when there is some sort of uncertainty.","You needn't have all your money at stake in the share market, it is better to diversify."
a leopard can't change his spots,one cannot change who they are,"He is bound to fail the exam again, a Leopard cannot change his spots after all."
a house divided against itself cannot stand,things will work out when there is unity amongst those people that are involved in the task,The workers will need to form a union because a house divided against itself cannot stand.
a fool and his money are easily parted,This meaning is as it literally states. Someone who is foolish can easily lose their money as it would be easy to dupe them out of it.,Woody was cheated several times in his lifetime since a fool and his money are easily parted.
hold your horses,to wait,"Hold your horses! We have not won yet, so don't start celebrating."
drive up the wall,to make someone angry or irritated,This stagnant traffic and constant honking is driving me up the wall.
twist arm,to make someone do what you want by making it difficult for them to refuse,"I did not want to attend the concert, but he twisted my arm into it."
against the clock,in a great hurry to finish something before a particular time,The team was working against the clock to finish the project on time.
break a leg,good luck,"""Break a leg!"" shouted the stage director to his actors before the beginning of the play."
flog a dead horse,waste energy on something that has no chance of succeeding,"He keeps trying to get his manuscripts published, but I think he is flogging a dead horse."
you are what you eat,"if you eat good food you will be healthy, if you eat bad food you will be unhealthy","To stay healthy, it's best to keep off junk food. You are what you eat."
tongue in cheek,"something said in humour, but with an act of being serious",The latest movie I watched was a tongue in cheek look at the way the media tends to over-hype certain pieces of news.
water under the bridge,past events that are not important anymore,"We used to have big disagreements some years back, but that's all water under the bridge now. We get along fine."
pull leg,tease someone,Don't worry about what he said. He's just pulling your leg.
rule of thumb,a principle that is kept to,"As a rule of thumb, I do not start a new project on Fridays."
smell a rat,sense that something is not right,"When he made that offer, I smelt a rat. It sounded too good to be true."
spitting image,look exactly like someone else,My sister is the spitting image of my mother.
until the cows come home,for a very long time,"We can keep on arguing about this till the cows come home, but it won't solve anything."
over the top,"excessive, exaggerated",The politician was over the top with his speech. Everything he said was exaggerated.
kick the bucket,to die,Have you heard? The old man down the street has kicked the bucket.
keep an eye on,keep a watch on something or someone closely,The cops always kept an eye on the top trouble makers of the city to ensure that the festival period are not affected.
"if it's not one thing, it's the other",everything is going wrong,"It's such a bad day today. If it's not one thing, it's the other!"
set in ways,leading a fixed lifestyle,People tend to get set in their ways as they grow older.
when pigs fly,something that will never happen,"Her crazy mother said that being so lazy, Megan is going to be rich one day for sure and without any hard working job. Come on, when pigs fly!"
find feet,become familiar with a new situation,He's still new in his job; give him some time to find his feet.
cut to the chase,come to the point,We haven't got all day for this discussion. Let's cut to the chase.
between a rock and a hard place,having two very bad choices,I hate my job but cannot quit owing to my economic condition. I'm stuck between a rock and a hard place
it's a small world,meeting someone not expected to be at a certain place,"I had no contact with him since school, and I bumped into him at a friend's party! It's a small world."
chip on shoulder,holding a grudge or grievance,He's always picking up fights with everyone. He seems to have a chip on his shoulder.
jump the gun,"start something too soon or early, especially without thinking",The media jumped the gun and gave out their verdict of the scandal even before the investigation was complete.
over the moon,extremely pleased or happy,Judy was over the moon when Tim proposed to her.
hit the books,to study very hard,"I have an exam tomorrow, I need to hit the books tonight."
stone's throw,a short distance,His workplace is a stone's throw away from his home.
let the chips fall where they may,"let something happen, no matter what happens after that","Honesty demands that you tell the truth about what happened, and let the chips fall where they may."
tickled pink,excited and happy,His wife was tickled pink when he sent her flowers and gifts at work for no reason.
blow away,impress someone very much,This new has has such an interesting story and an amazing ending that it just blew me away.
couldn't care less,total lack of interest in something,"I have heard that my ex is going through another break-up, but I couldn't care less."
sell someone out,to betray someone,"The company had put a lot of trust on him, but he sold them out by leaking confidential information to the competitors."
running on fumes,to continue doing something even when you have no energy left,"After two nights of continuous work, I'm running on fumes today."
go the extra mile,to make an extra effort,"When it comes to weaker students, the teacher goes the extra mile to help them understand."
hang in there,"wait, be patient till things work out","Our company is going through tough times, but we're hanging in there; things will surely work out."
come out swinging,be confrontational,The government came out swinging against the oppositions charges of corruption during the debate.
shoot from the hip,"speak directly or bluntly, without caring for consequences","Even if you don't agree with your boss' ideas, don't shoot from the hip. It won't augur well for your growth."
tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding,"Though the impression is that all government officials are corrupt, some of them are quite honest; its not fair to tar them with the same brush."
go down in flames,to fail spectacularly,The company went down in flames after reports came out that it had been financing illegal activities.
cut somebody some slack,give additional freedom to someone,I know he is not up to the mark right now but let's cut him some slack. He's new to this environment and needs time to adjust.
leave no stone unturned,do everything that is possible in order to achieve something,The chief of security said that his team would leave no stone unturned in nabbing the miscreants.
your guess is as good as mine,I don't know,"If you want to know which one is the best of these movies, well, your guess is as good as mine."
pull yourself together,to calm down and behave normally after an upsetting event,"I know its difficult to get over your loss, but try to pull yourself together and get on with life."
pull a rabbit out of the hat,do something unexpected or surprising,"The team was losing till almost the end, but suddenly, it pulled a rabbit out of its hat and won the contest in the dying minutes."
by the skin of your teeth,barely manage to do something,We managed to complete the project on time by the skin of our teeth.
wouldn't be caught dead,dislike something very much,I wouldn't be caught dead wearing shoes like that. They are so old fashioned.
whole nine yards,"everything, all of something","She is the love of my life. For her, I'll go the whole nine yards."
straight from the horse's mouth,from a dependable or reliable source,What you heard is true. I know since I heard it straight from the horse's mouth.
taste of own medicine,when someone gets the same bad treatment that he has been giving others,I'm tired of him always finding faults with me. I'm going to give him a taste of his own medicine.
steal thunder,take credit for someone else's work,"They all worked together on the project, but while submitting it, one of them stole the thunder."
speak of the devil,when someone comes in unexpectedly while being talked about,"We were huddled together in our lunch table, talking about our boss, when he walked in. Well, speak of the devil!"
a whole raft of,a large collection of something,A whole raft of techniques was used during the presentation in the annual meeting.
part brass rags,quarrel and break off friendship with someone,Both of them parted off rags with each other after a misunderstanding between them due to the other person.
read the riot act,warning someone by scolding them to improve their behavior,She'd been bearing bad behavior from her employee and thought it was time to read him the riot act.
ray of sunshine,someone or something that brings hope into the lives of others,Amid the sorrow her son had been a real ray of sunshine.
not playing with a full deck,not mentally sound,"With the number of silly remarks he comes up with, I wonder if he's not playing with a full deck."
a picture is worth a thousand words,a picture conveys information more effectively than words,"A good presentation should contain more of graphics and less of text, since a picture is worth a thousand words."
pull the wool over eyes,to deceive someone,I'm not as dumb as you think; don't try to pull the wool over my eyes.
see eye to eye,to agree fully with someone,"Though they work as a team, they often don't see eye to eye on most issues."
sit on the fence,delay or avoid making a decision or choice,Has he decided which offer he is going to accept or is he still sitting on the fence?
make a long story short,abbreviate a long explanation into a short one,"To make a long story short, he still stays in the apartment but now it is owned by someone else."
miss the boat,miss a chance,The discounted price sale ended today and I just missed the boat on making a great deal.
method to madness,a purpose in doing something that is seemingly crazy,"You may be thinking that I have gone crazy, but there's a method to my madness."
all ears,saying that you are all ears means the other person has got your full attention in terms of listening to him,Kids in my class were all ears when I was telling them the story.
Queensberry rules,standard rules of polite or acceptable behavior,It was ensured by the police that both the parties adhered to the Queensberry rules during their hearing session in the high court.
qui vive,on the alert or lookout.,Their duty requires most of the soldiers to be on the qui vive at the Siachen of Kashmir India battlefield.
rack your brains,put great effort to think of or remember something,I have been racking my brain all day trying to think of place where I kept my car keys.
live at rack and manger,in between plenty and abundance,He is been living at rack and manger since the time he joined his new job as a manager.
let sleeping dogs lie,its best to leave a situation as it is if disturbing it might cause trouble,"As Eliza was in good spirits that morning, Andy decided not to bring up the argument they had last night. It was best to let sleeping dogs lie."
kill two birds with one stone,accomplish two different things at the same time,"I have to go to the bank, and on the way back, I'll pick up the groceries as well, killing two birds with one stone."
balancing act,an action that needs a fine balance between different conditions or wishes,A working woman in our country has to constantly perform a balancing act between excelling in her career and taking care of the family.
takes two to tango,certain actions or activities cannot be performed alone - they  need two people to participate,Don't blame me for the argument. It takes two to tango! You are equally responsible.
hit the nail on the head,be accurately right about something,Stephen hit the nail on the head when he said that what the company was lacking in was clear vision and focus.
in the heat of the moment,saying or doing something without thinking due go anger or excitement,He really didn't mean what he said about you. He said it in the heat of the moment.
wash hands of,abandon taking responsibility for someone or something,That job did no good to me. I washed my hands of it few months back and joined another one.
warn off,inform someone forcefully to stay at a distance,The board was placed near the manhole to warn off the kids from playing there.
make a virtue of necessity,extract something beneficial from an unwelcome obligation,It's was a long journey from Delhi to Australia so I thought I would make a virtue of necessity and write some articles that had to be submitted to the magazines.
viper in bosom,a person who deceives you after receiving help from you,I got my friend a good position in my company and all he did is convinced my manager to get him the designation I had in the project. He was no more than a viper in my bosom.
far cry from,something that is very different from something else,The apartment they live in now is a far cry from the huge mansion they once used to have.
hear on the grapevine,to hear rumours about something,"I heard on the grapevine that he was being promoted, but I don't know anything further."
under the weather,to be ill or feel ill,"I did not go to work today, as I was feeling a bit under the weather."
don't put all your eggs in one basket,don't make everything dependent on one thing,It would be better if you applied to several companies instead of just one; don't put all your eggs in one basket.
drastic times call for drastic measures,extreme circumstances can only be resolved by equally extreme actions,"After the company had posted losses for the third consecutive year, the board decided to replace all of its top management. After all, drastic times call for drastic measures."
don't give up the day job,a usually humorous way of telling someone not to pursue something full time as he or she is not good at it,I watched your performance at the theater today. My advice is don't give up your day job.
cut the mustard,to succeed,"My neighbor had applied for the post of architect in a big project, but did not cut the mustard."
devil's advocate,one who presents a counter argument,"I agree with what you say, but I'll play devil's advocate so that we can cover all the possibilities that may arise."
don't count your chickens before they hatch,do not count on something that has not yet happened,"Before committing to make the payment, wait till you receive the money from the bank. Don't count your chickens before they hatch."
tall poppy,a privileged or distinguished person.,Recently a party was hosted in the city where all the tall poppies were invited to raise charity for clean shelters in suburbs.
in tandem,one after another,"He often works in tandem with an engineer, one coding for the website and the other taking care of website design."
to a T,done precisely,The announcement of chief guest's arrival at the school annual function was timed to a T.
monkey business,silly act,I want to sleep. Stop disturbing me by your monkey business.
accidentally on purpose,performing an action intentionally and pretending to either oneself or to the world that as an accident,"I hate this flower vase so much, some day I might drop it accidentally on purpose."
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse",The presidential candidate's provocative speech in these violent times is only going to add fuel to the flames.
backseat driver,co-passenger who unnecessarily criticizes the driver while himself doing nothing,I cannot stand my relatives being backseat driver to me.
can't judge a book by its cover,outward appearance cannot be an indicator of someone or something's value or worth,"The candidate did not look very intelligent, but you can't judge a book by its cover."
caught between two stools,"come between two alternatives, and so fail to fulfill either of them",This book cannot be an academic one nor can it be a popular commercial one; it falls between two stools.
take name in vain,Use someone's name in a way that shows a lack of respect,Atheists find one way or the other to take God's name in vain.
yesterday's man,someone especially a politician whose career is finished,"The officer is retiring from his job next month, soon he will be a yesterday's man."
be up on,be well informed about a matter or subject,"If you want to start teaching English to grown-up kids, you need to be up on it else you're going to be unable to clarify their doubts."
on one's uppers,extremely short of money,All the artists in their initial phase of career were on their uppers. They have struggled enough to reach this level of success.
cry over spilt milk,to be upset about things that have already been done,"While its sad that the results have not been as good as you expected, you should now focus on moving ahead and achieving better results next time; there is no use crying over spilt milk."
upper crust,"the aristocracy and upper classes, informal",Reservation system was developed to help the needy. Now it has become privilege for the society therefore even the upper crust are demanding reservation these days.
uncle Tom Cobley and all,used to denote a long list of people (in British English),"Businessman, entrepreneurs, Uncle Tom Cobley and all had been invited to the Real Estate Awards function in the city last month.3"
late unpleasantness,the war that took place recently,"No sooner had Japanese recovered from the late unpleasantness, a massive volcanic eruption took place destroying huge no. of lives & property."
ugly duckling,a young person who turns out to be beautiful or talented against all expectations.,Some people think they've turned into an ugly duckling whereas the truth is they are & look the same as they used to in their childhood.
beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.","In an inexplicable or concealed place or condition, especially the mysterious state of existence after death."
variety is the spice of life,new and exciting practices make life more attractive,I started learning tennis after having tried swimming because variety is the spice of life.
vale of years,the decreasing time of a individual's life.,I shall not leave my parents during their vale of years.
spin a yarn,to tell a tale,Kids like to have their grandparents spin a yarn for them.
belly up,to die,Many companies went belly up during the great inflation.
save your breath,to not waste effort on something that has no outcome,You must save your breath by not asking this generation to keep their cell phones at rest.
have no truck with,avoid dealing or being associated with,You should have no truck with those few in your class. They are just trying to misuse your trait of helping others.
best thing since sliced bread,something that is too fine,The invention of internet has changed the way we live; it is the best thing since sliced bread.
the best of both worlds,a win-win situation,"""If you decide to live here you get the greenery of the countryside and the amenities of urban life. Its the best of both worlds, really."""
actions speak louder than words,what you do carries more weight than what you say,"""You always speak of the importance of charity, but never do anything. Actions speak louder than words!"""
add insult to injury,to make a bad situation worse,"The company rejected his application for a job, and to add insult to injury, refused to pay his expenses."
penny for your thoughts,a way of asking what someone else is thinking,"""You have been quiet for a while, a penny for your thoughts."""
hot potato,any subject which several folks are talking about and which is frequently argued,The issue of gun control is a political hot potato in the United States.
banker's hours,short working hours,"With our boss on leave, most of us worked banker's hours for the whole week."
fit as a fiddle,A very healthy person,"My grandfather is 90 years old, but he is as fit as a fiddle."
throw in the towel,to quit,His trainer told Rocky that he would throw in the towel if he did not start throwing punches.
every cloud has a silver lining,there is something good in everything that's bad,"Reena was depressed to be confined to bed after her surgery, but over time, when she could spend a lot of time with her family and catch up with old friends, who came to visit her, she realized that every cloud has a silver lining."
third wheel or fifth wheel,a person who is in a situation where they are not needed,I was the only person at the dinner party without a date. I felt like a third wheel.
bell the cat,ing: do a dangerous job. Example: Someone has to bell the cat and tell the commissioner that his own started the violeExample: ing: do a dangerous job. ,Someone has to bell the cat and tell the commissioner that his own started the violeExample: ing: do a dangerous job. Example: Someone has to bell the cat and tell the commissioner that his own started the viole
liquor up,get someone drunk,"When their friends came for a visit, they took them to the bar and liquored them up."
take the edge off,blunt the effect of,Have a painkiller - it'll take the edge off the pain your in hand.
early days,it is too soon to make a judgment about something,"The new measures seem to have worked, but it's early days yet and the Reserve Bank of India Governor would rather not make any comment about the country's economy."
play by ear,learn music by ear,My sister learned to play the piano by ear when she was a child.
play it by ear,improvise; act without preparation.,"Rather than adopting a new academic strategy, the principal decided to play it by ear."
do the trick,successfully achieve a result,"If nothing seems to be working, just pray to the God, sometimes that does the trick."
deals with,be concerned with something,We will have to plan our strategy to deal with the rising incident of theft.
just deserts,get what one deserves,"After the supervisor was suspended, many workers felt that he got his just deserts."
in high dudgeon,feeling or exhibiting great resentment,"After the scuffle, the man who was affronted left in high dudgeon."
dribs and drabs,in small irregular quantities,The checks for the charity are coming in dribs and drabs.
drop a bombshell,"make an unexpected, startling or disturbing announcement",My sister dropped a bombshell by announcing she was discontinuing her study for a job.
