idiom,instance,label,meaning,gold,revision,TimeMe,AssignmentId,WorkerId,gold_0,revision_0,gold_1,revision_1,gold_2,revision_2,gold_3,revision_3,maxVote
butterflies in stomach,"in a surreal dream, she had butterflies in her stomach as they fluttered around",literal,to feel very nervous and restless,"[1, 2, 1, 3]","['{}', '{}', '{}', '{}']","[136.427, 51.322, 158.004, 79.213]","['37XITHEISCPOJSS5G8KB0U6QD0JCRP', '3YW4XOSQK61WCHAO45QWO9AJG2W1US', '36H9ULYP6IAEOGT2Z51369520WHFJB', '31UV0MXWN6SQR8G7BB3U8WZPYNDI5I']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",literal,{},ambiguous,{},literal,{},discard,{},literal
give a shot,the nurse gave it a shot of vaccine to the patient,literal,to have a try at something,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[133.606, 40.675, 155.56, 46.13]","['3C5W7UE9CV6LPAQ82WKHS8XQ8V7MXC', '3NJM2BJS4CM37FCQ3GGMVZ6BCIUPC9', '3HVVDCPGTU8E2A62GP7VX0ZR49YTYR', '3DQQ64TANW1CLDIVK7GN7TDE4YCPWI']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",literal,{},literal,{},literal,{},literal,{},literal
baying for blood,the pack of hungry wolves was baying for blood as they hunted their prey,literal,want somebody to be hurt or punished.,"[1, 1, 0, 1]","['{}', '{}', '{}', '{}']","[120.577, 84.11, 34.788, 154.466]","['3HWRJOOETLIFH5CWROQBGSBPKEESEL', '30X31N5D6J6CRSVKBJOPK9LYZZGSAQ', '386PBUZZXVD0O83YLG411MAMXS4LJN', '3RUIQRXJBR46JYRYO1GEH1NE1H9LLP']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},literal,{},figurative,{},literal,{},literal
in your face,an in-your-face attitude,ambiguous,"a bold, defiant or aggressive manner","[0, 2, 0, 0]","['{}', '{}', '{}', '{}']","[127.003, 60.399, 28.469, 204.186]","['3M0BCWMB8BCAHJHL12YMC98PNQWBWA', '3L70J4KAZW26P3C2ETT0PAZYYSNDAQ', '3X4MXAO0BW4XXQYAXZKCCODT5CYRW2', '3U8YCDAGX5W4DZIPRD2R03UK8LJ0QA']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",figurative,{},ambiguous,{},figurative,{},figurative,{},figurative
ages,"during our time-travel adventure, I haven't seen you in ages as we got separated in different eras",literal,a long time; a very long time,"[1, 1, 1, 0]","['{}', '{}', '{}', '{}']","[52.129, 50.168, 166.05, 113.879]","['3EJJQNKU97LF003L20YCBL36QSOHR3', '3B2X28YI3CVCN42FAKLIEF9CZS56BE', '3OVHNO1VEMH7QBKAQL9Z63Q77HDZD4', '30LSNF239ABYSBXKTS1WAPWDEDMI2H']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",literal,{},literal,{},literal,{},figurative,{},literal
shot in the dark,he took a shot in the dark,ambiguous,an attempt to guess something when you have no information or knowledge about the subject and therefore cannot possibly know what the answer is,"[2, 2, 2, 2]","['{}', '{}', '{}', '{}']","[119.277, 410.503, 92.866, 42.359]","['3I3WADAZ96K0NURA96GZSTVBASB5OR', '3NVC2EB656F93T881A14FNVTA6IY34', '3YZ8UPK3V92GZKKMK2FG55TAKVKCUI', '3WQ3B2KGEOWHGI1I4E91JJIVRDNB1B']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'A38DXFI1TZA295']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,{},ambiguous
coin money,coining money together,ambiguous,make a great deal of money easily or very quickly.,"[2, 0, 2, 0]","['{}', '{}', 'they were coining money together', '{}']","[119.277, 410.503, 92.866, 42.359]","['3I3WADAZ96K0NURA96GZSTVBASB5OR', '3NVC2EB656F93T881A14FNVTA6IY34', '3YZ8UPK3V92GZKKMK2FG55TAKVKCUI', '3WQ3B2KGEOWHGI1I4E91JJIVRDNB1B']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'A38DXFI1TZA295']",ambiguous,{},figurative,{},ambiguous,they were coining money together,figurative,{},discard
cut corners,cut corners on the project,ambiguous,"economise on time, money, materials or effort, perhaps unwisely","[2, 0, 0, 2]","['they cut corners on the project', '{}', '{}', '{}']","[119.277, 410.503, 92.866, 42.359]","['3I3WADAZ96K0NURA96GZSTVBASB5OR', '3NVC2EB656F93T881A14FNVTA6IY34', '3YZ8UPK3V92GZKKMK2FG55TAKVKCUI', '3WQ3B2KGEOWHGI1I4E91JJIVRDNB1B']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'A38DXFI1TZA295']",ambiguous,they cut corners on the project,figurative,{},figurative,{},ambiguous,{},discard
over the moon,over the moon about the news,ambiguous,extremely pleased or happy,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[119.277, 410.503, 92.866, 42.359]","['3I3WADAZ96K0NURA96GZSTVBASB5OR', '3NVC2EB656F93T881A14FNVTA6IY34', '3YZ8UPK3V92GZKKMK2FG55TAKVKCUI', '3WQ3B2KGEOWHGI1I4E91JJIVRDNB1B']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'A38DXFI1TZA295']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
turn down a glass,"at the party, he politely turned down a glass when offered a drink",figurative,to decline something that someone has offered.,"[1, 1, 0, 1]","['{}', '{}', '{}', '{}']","[52.129, 50.168, 166.05, 113.879]","['3EJJQNKU97LF003L20YCBL36QSOHR3', '3B2X28YI3CVCN42FAKLIEF9CZS56BE', '3OVHNO1VEMH7QBKAQL9Z63Q77HDZD4', '30LSNF239ABYSBXKTS1WAPWDEDMI2H']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",literal,{},literal,{},figurative,{},literal,{},literal
butterflies in stomach,"before the big presentation, she had butterflies in her stomach",figurative,to feel very nervous and restless,"[0, 0, 0, 0]","['{}', '{}', '{}', 'When giving her address to the school he had butterflies in his stomache.']","[140.351, 148.116, 98.296, 170.681]","['3ON104KXQ0CQWKWCMNOZ4V2JDYEW4O', '3ATPCQ38JOQ9NE7TAPGE2V9ZGGCAYE', '3MX2NQ3YCPANH352AX3VB6M4MWH5XX', '3QY5DC2MX70N2W4WB45HDBEDH8CUFB']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S', 'A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']",figurative,{},figurative,{},figurative,{},figurative,When giving her address to the school he had butterflies in his stomache.,figurative
skeleton in the closet,"while exploring the haunted house, we discovered a skeleton in the closet of one of the rooms",literal,"a secret of an embarrassing, guilty or shameful nature that you don't want to disclose","[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[133.606, 40.675, 155.56, 46.13]","['3C5W7UE9CV6LPAQ82WKHS8XQ8V7MXC', '3NJM2BJS4CM37FCQ3GGMVZ6BCIUPC9', '3HVVDCPGTU8E2A62GP7VX0ZR49YTYR', '3DQQ64TANW1CLDIVK7GN7TDE4YCPWI']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",literal,{},literal,{},literal,{},literal,{},literal
"judge, jury and executioner","he was acting as judge, jury, and executioner when he made the decision without consulting anyone",figurative,"people that are in charge of every decision made, and they have the power to be rid of whomever they choose","[0, 0, 1, 0]","['{}', '{}', '{}', '{}']","[120.577, 84.11, 34.788, 154.466]","['3HWRJOOETLIFH5CWROQBGSBPKEESEL', '30X31N5D6J6CRSVKBJOPK9LYZZGSAQ', '386PBUZZXVD0O83YLG411MAMXS4LJN', '3RUIQRXJBR46JYRYO1GEH1NE1H9LLP']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",figurative,{},figurative,{},literal,{},figurative,{},figurative
goose egg,she scored a goose egg,ambiguous,zero,"[2, 0, 0, 1]","['{}', '{}', 'she scored a goose egg in the championship game', 'The goose egg was stolen by the coyote from the gooses pen.']","[140.351, 148.116, 98.296, 170.681]","['3ON104KXQ0CQWKWCMNOZ4V2JDYEW4O', '3ATPCQ38JOQ9NE7TAPGE2V9ZGGCAYE', '3MX2NQ3YCPANH352AX3VB6M4MWH5XX', '3QY5DC2MX70N2W4WB45HDBEDH8CUFB']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S', 'A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']",ambiguous,{},figurative,{},figurative,she scored a goose egg in the championship game,literal,The goose egg was stolen by the coyote from the gooses pen.,figurative
ate her alive,it ate her alive,ambiguous,to criticize someone severely because you are angry with them,"[2, 2, 2, 2]","['{}', '{}', '{}', '{}']","[26.843, 146.658, 29.018, 88.44]","['3XUHV3NRV0EQVD5N5TL98KYAY6Z5H5', '3DR23U6WELUGW5PBGOV1QX7BMTQETM', '3FQ5JJ51214LNSC1FEKSFTEOH80NKE', '3WS1NTTKEES7MASGDXRXO4Q61J8F0T']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'A2OVOVZBJYUO', 'AEK2SAEL9GG39']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,{},ambiguous
rub the wrong way,rubbed him the wrong way,ambiguous,to tick someone off,"[2, 2, 2, 2]","['{}', '{}', '{}', 'she rubbed him the wrong way']","[136.127, 36.41, 152.231, 137.97]","['3EA3QWIZ4YBSCARXC7LSBC53EMXTIA', '3BWI6RSP7WPTY7S43LS0L1FTXW07E4', '39GXDJN2O9UE0WJ98G9GZ5ZA8B8V8K', '3WQQ9FUS6QAZRIL33ZIGYT535JT8BS']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'A38DXFI1TZA295']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,she rubbed him the wrong way,ambiguous
black hole,a black hole in the system,ambiguous,a place in which things are lost never to be seen again,"[2, 2, 2, 0]","['{}', '{}', '{}', '{}']","[136.127, 36.41, 152.231, 137.97]","['3EA3QWIZ4YBSCARXC7LSBC53EMXTIA', '3BWI6RSP7WPTY7S43LS0L1FTXW07E4', '39GXDJN2O9UE0WJ98G9GZ5ZA8B8V8K', '3WQQ9FUS6QAZRIL33ZIGYT535JT8BS']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'A38DXFI1TZA295']",ambiguous,{},ambiguous,{},ambiguous,{},figurative,{},ambiguous
put your head on the block,he put his head on the block by taking responsibility for the team's failure,figurative,if you put yourself in a dangerous situation where you risk losing your job or your reputation if things go wrong,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[144.596, 45.055, 35.646, 168.028]","['32AT8R96G1PW619IHO5GKAXS628US4', '32EYX73OYGPK5M952Z5BU0SWK0PURG', '3VFJCI1K4FF1048AIUGUQLR5BSBRGE', '3EFE17QCRSLR1F3YHPYH1V82CU6SH1']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
in the black,finally in the black,ambiguous,to not be in debt,"[2, 2, 2, 1]","['{}', '{}', '{}', 'our store is finally in the black']","[136.127, 36.41, 152.231, 137.97]","['3EA3QWIZ4YBSCARXC7LSBC53EMXTIA', '3BWI6RSP7WPTY7S43LS0L1FTXW07E4', '39GXDJN2O9UE0WJ98G9GZ5ZA8B8V8K', '3WQQ9FUS6QAZRIL33ZIGYT535JT8BS']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'A38DXFI1TZA295']",ambiguous,{},ambiguous,{},ambiguous,{},literal,our store is finally in the black,ambiguous
weather the storm,weathered the storm together,ambiguous,handle a difficult period of time successfully,"[2, 2, 2, 0]","['{}', '{}', '{}', '{}']","[48.669, 165.551, 53.92, 261.584]","['3S0TNUHWK9YS6FJNHV9MTJT384N8DH', '39GXDJN2O9UE0WJ98G9GZ5ZA8BA8VZ', '3TE22NPXPRSENIDSCHIG93JST5H44C', '3Z7EFSHGNPU8GOEHP7Q3PCSEED3XCX']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'A38DXFI1TZA295', 'AX8NXTT8QMGHC']",ambiguous,{},ambiguous,{},ambiguous,{},figurative,{},ambiguous
break a leg,to break a leg on stage,ambiguous,good luck,"[2, 2, 2, 0]","['{}', '{}', '{}', '{}']","[23.774, 177.696, 77.608, 147.508]","['3JJVG1YBERDG402151BDM9VC3TAB5B', '3UWN2HHPUELJBBP9KNTU6F5YY2ESN1', '3C6FJU71T69T2NLRGUX52WLTNJ2UY8', '3WOKGM4L7HW1SN59C0ANBYZKTK2O0R']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ', 'AX8NXTT8QMGHC']",ambiguous,{},ambiguous,{},ambiguous,{},figurative,{},ambiguous
deliver the goods,the new employee delivered the goods on time by meeting all the project deadlines,figurative,do what is required,"[0, 0, 0, 2]","['{}', '{}', '{}', '{}']","[130.348, 73.722, 156.548, 101.169]","['3AWETUDC9I8OYM0WIZAAX06KZMLZI6', '34PGFRQON4RGZ2FXPUB3AXR2VZ6WJP', '3OWEPKL08PSXSD5HWKVJBO92BS4N7K', '3J88R45B2WERADNLUCC99CRLD0IPXB']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",figurative,{},figurative,{},figurative,{},ambiguous,{},figurative
up in the air,plans are up in the air,ambiguous,"unresolved, undecided","[2, 0, 0, 0]","['{}', '{}', '{}', 'Their plans are up in the air']","[23.774, 177.696, 77.608, 147.508]","['3JJVG1YBERDG402151BDM9VC3TAB5B', '3UWN2HHPUELJBBP9KNTU6F5YY2ESN1', '3C6FJU71T69T2NLRGUX52WLTNJ2UY8', '3WOKGM4L7HW1SN59C0ANBYZKTK2O0R']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ', 'AX8NXTT8QMGHC']",ambiguous,{},figurative,{},figurative,{},figurative,Their plans are up in the air,figurative
cool heels,"after walking on hot sand, they were cooling their heels in the ocean water",literal,to wait or take rest,"[1, 2, 1, 1]","['{}', '{}', '{}', '{}']","[120.176, 71.559, 88.855, 91.763]","['3U0SRXB7CTL7AWPW5YTPG502C4WNRH', '3LJ7UR74RXT09QNYUMXC8CPSKQD4NG', '3AMW0RGHOTIMYJ9HS6P0BA0NBMAPNT', '3J4Q2Z4UTEJXLPJAKKVC7Y3O9UZWQH']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']",literal,{},ambiguous,{},literal,{},literal,{},literal
raise the bar,the high jump coach raised the bar for everyone during practice,literal,to be better than what went before,"[1, 2, 0, 1]","['{}', '{}', '{}', '{}']","[135.839, 405.333, 177.902, 161.337]","['3W2LOLRXLRV62Q4T8L19ODJYI9RRKG', '3NJM2BJS4CM37FCQ3GGMVZ6BCIVCPX', '3LUY3GC63FGXVYHUCZ8BFDEXB74P7H', '3GM6G9ZBK3DE8THOXMJK35CKVZLMTV']","['A1HKYY6XI2OHO1', 'A1I7H6RDJS4EKN', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},ambiguous,{},figurative,{},literal,{},literal
the ball is in your court,the ball is in your court now,ambiguous,the initiative for taking action lies with somebody,"[2, 2, 2, 2]","['{}', '{}', '{}', '{}']","[121.057, 32.87, 170.478, 50.474]","['3PM8NZGV8EWCAPO0UPRY9HHVIS3XQ1', '3U0SRXB7CTL7AWPW5YTPG502C0CRNT', '3R0T90IZ18SXU2JR0XQZ1QSJBN6GCN', '3VP0C6EFSWC86V6C19BRSVK6BN7M69']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'AKQAI78JTXXC9', 'AURYD2FH3FUOQ']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,{},ambiguous
wheels fall off,"after a series of setbacks, the wheels fell off our project",figurative,when a situation gets out of control and everything starts to go wrong,"[2, 0, 2, 0]","['{}', '{}', '{}', '{}']","[121.057, 32.87, 170.478, 50.474]","['3PM8NZGV8EWCAPO0UPRY9HHVIS3XQ1', '3U0SRXB7CTL7AWPW5YTPG502C0CRNT', '3R0T90IZ18SXU2JR0XQZ1QSJBN6GCN', '3VP0C6EFSWC86V6C19BRSVK6BN7M69']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'AKQAI78JTXXC9', 'AURYD2FH3FUOQ']",ambiguous,{},figurative,{},ambiguous,{},figurative,{},discard
fall between the cracks,the small toy fell between the cracks of the wooden floor,literal,be ignored or unobserved,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[144.596, 45.055, 35.646, 168.028]","['32AT8R96G1PW619IHO5GKAXS628US4', '32EYX73OYGPK5M952Z5BU0SWK0PURG', '3VFJCI1K4FF1048AIUGUQLR5BSBRGE', '3EFE17QCRSLR1F3YHPYH1V82CU6SH1']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},literal,{},literal,{},literal,{},literal
batten down the hatches,"as the storm approached, the sailors rushed to batten down the hatches on the ship",literal,to get ready for trouble,"[1, 2, 1, 0]","['{}', '{}', '{}', '{}']","[120.176, 71.559, 88.855, 91.763]","['3U0SRXB7CTL7AWPW5YTPG502C4WNRH', '3LJ7UR74RXT09QNYUMXC8CPSKQD4NG', '3AMW0RGHOTIMYJ9HS6P0BA0NBMAPNT', '3J4Q2Z4UTEJXLPJAKKVC7Y3O9UZWQH']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']",literal,{},ambiguous,{},literal,{},figurative,{},literal
put the cart before the horse,putting the cart before the horse,ambiguous,to do things in the wrong order or sequence,"[2, 2, 2, 2]","['{}', '{}', '{}', '{}']","[121.057, 32.87, 170.478, 50.474]","['3PM8NZGV8EWCAPO0UPRY9HHVIS3XQ1', '3U0SRXB7CTL7AWPW5YTPG502C0CRNT', '3R0T90IZ18SXU2JR0XQZ1QSJBN6GCN', '3VP0C6EFSWC86V6C19BRSVK6BN7M69']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'AKQAI78JTXXC9', 'AURYD2FH3FUOQ']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,{},ambiguous
miss the boat,she missed the boat on that opportunity by not applying for the job in time,figurative,miss a chance,"[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[117.035, 105.707, 177.537, 77.092]","['3X4MXAO0BW4XXQYAXZKCCODT5G1WRI', '3Y54SXRO111XL1MX6OA6UFTE8LMTUS', '3Z3ZLGNNSYA0URHMA0KA21SRB13Q33', '3U4J9857OURVR4GKTUQAKT98U3P7BE']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
happy camper,"when the tent collapsed, he was not a happy camper at the campsite",literal,to be content or satisfied with what is happening in your lifes and have no complaints,"[1, 1, 1, 2]","['{}', '{}', '{}', '{}']","[130.348, 73.722, 156.548, 101.169]","['3AWETUDC9I8OYM0WIZAAX06KZMLZI6', '34PGFRQON4RGZ2FXPUB3AXR2VZ6WJP', '3OWEPKL08PSXSD5HWKVJBO92BS4N7K', '3J88R45B2WERADNLUCC99CRLD0IPXB']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",literal,{},literal,{},literal,{},ambiguous,{},literal
glass ceiling,hit the glass ceiling,ambiguous,"an unseen (glass) barrier for women and people who belong to minority groups in climbing up the corporate, political or the ladder of success regardless of whether they are qualified for the job","[2, 2, 0, 2]","['{}', '{}', '{}', '{}']","[137.486, 68.535, 282.807, 103.491]","['382M9COHEXVVWI40GTLBVTTD57YEUE', '3SB5N7Y3OJKD0AOBOHXF6PQI2YRG0C', '33CID5710K9P3U19IVCELFTX1REL3Z', '3TDXMTX3CRAMACGLGUDZ02DPUEN6ID']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND', 'APRZ7BR8C0ZMQ', 'AURYD2FH3FUOQ']",ambiguous,{},ambiguous,{},figurative,{},ambiguous,{},ambiguous
in cold blood,the scientist committed the crime in cold blood while studying the effects of low temperatures on human behavior,literal,in a cruel way and without pity or other emotion,"[1, 2, 0, 3]","['{}', '{}', '{}', '{}']","[120.176, 71.559, 88.855, 91.763]","['3U0SRXB7CTL7AWPW5YTPG502C4WNRH', '3LJ7UR74RXT09QNYUMXC8CPSKQD4NG', '3AMW0RGHOTIMYJ9HS6P0BA0NBMAPNT', '3J4Q2Z4UTEJXLPJAKKVC7Y3O9UZWQH']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']",literal,{},ambiguous,{},figurative,{},discard,{},discard
ahead of the curve,the race car driver was staying ahead of the curve by maintaining a lead on the track,literal,better than others,"[1, 0, 1, 1]","['{}', 'the race car driver was staying ahead of the curve', 'the race car driver stayed a head of the curve by leading consistantly', '{}']","[135.839, 405.333, 177.902, 161.337]","['3W2LOLRXLRV62Q4T8L19ODJYI9RRKG', '3NJM2BJS4CM37FCQ3GGMVZ6BCIVCPX', '3LUY3GC63FGXVYHUCZ8BFDEXB74P7H', '3GM6G9ZBK3DE8THOXMJK35CKVZLMTV']","['A1HKYY6XI2OHO1', 'A1I7H6RDJS4EKN', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},figurative,the race car driver was staying ahead of the curve,literal,the race car driver stayed a head of the curve by leading consistantly,literal,{},literal
mend fences,mending fences with her,ambiguous,to try and improve a bad relationship with another party,"[2, 2, 2, 2]","['{}', '{}', '{}', 'He is mending fences with her']","[33.031, 136.547, 170.831, 74.458]","['39RP059MEX9EC7N7X0SZ3B6YPOKBML', '3W92K5RLWAXVDE07AI2DNLPJ6L7V5I', '3FDJT1UU7KOHX36VBEO6LCE2QN0K5L', '3M1CVSFP6GL0ECG7JFZKP96XH7WQAS']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,He is mending fences with her,ambiguous
whole nine yards,she went the whole nine yards to make his birthday special,figurative,"everything, all of something","[0, 0, 0, 0]","['{}', '{}', '{}', '{}']","[130.348, 73.722, 156.548, 101.169]","['3AWETUDC9I8OYM0WIZAAX06KZMLZI6', '34PGFRQON4RGZ2FXPUB3AXR2VZ6WJP', '3OWEPKL08PSXSD5HWKVJBO92BS4N7K', '3J88R45B2WERADNLUCC99CRLD0IPXB']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",figurative,{},figurative,{},figurative,{},figurative,{},figurative
fan the flames,they fanned the flames together to keep the campfire going,literal,make a bad situation even worse,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[144.596, 45.055, 35.646, 168.028]","['32AT8R96G1PW619IHO5GKAXS628US4', '32EYX73OYGPK5M952Z5BU0SWK0PURG', '3VFJCI1K4FF1048AIUGUQLR5BSBRGE', '3EFE17QCRSLR1F3YHPYH1V82CU6SH1']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},literal,{},literal,{},literal,{},literal
cost an arm and a leg,cost an arm and a leg,ambiguous,very expensive,"[2, 0, 0, 0]","['{}', '{}', '{}', 'The bag cost an arm and a leg']","[33.031, 136.547, 170.831, 74.458]","['39RP059MEX9EC7N7X0SZ3B6YPOKBML', '3W92K5RLWAXVDE07AI2DNLPJ6L7V5I', '3FDJT1UU7KOHX36VBEO6LCE2QN0K5L', '3M1CVSFP6GL0ECG7JFZKP96XH7WQAS']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']",ambiguous,{},figurative,{},figurative,{},figurative,The bag cost an arm and a leg,figurative
break up,the construction workers decided to break up the concrete with a jackhammer,literal,end a romantic relationship with someone,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[135.839, 405.333, 177.902, 161.337]","['3W2LOLRXLRV62Q4T8L19ODJYI9RRKG', '3NJM2BJS4CM37FCQ3GGMVZ6BCIVCPX', '3LUY3GC63FGXVYHUCZ8BFDEXB74P7H', '3GM6G9ZBK3DE8THOXMJK35CKVZLMTV']","['A1HKYY6XI2OHO1', 'A1I7H6RDJS4EKN', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},literal,{},literal,{},literal,{},literal
in the doghouse,in the doghouse with her,ambiguous,someone who is in disgrace and very unpopular at the moment,"[2, 2, 2, 2]","['{}', '{}', '{}', '{}']","[144.942, 120.228, 154.975, 81.239]","['3V0Z7YWSIEG3EHHKSZ0FPEM7MBGV2H', '3I33IC7ZWVIJMTEMH49JTR8U11G2AO', '33FBRBDW64FI1ND9HZEB9DBLN4U8C0', '3A1PQ49WVXXR7V4446JX5ULTMQT1HI']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S', 'A38DXFI1TZA295']",ambiguous,{},ambiguous,{},ambiguous,{},ambiguous,{},ambiguous
the eleventh hour,she decided to go for a walk at the eleventh hour of the night,literal,at the very last minute before an event,"[1, 2, 1, 2]","['{}', '{}', '{}', '{}']","[130.348, 73.722, 156.548, 101.169]","['3AWETUDC9I8OYM0WIZAAX06KZMLZI6', '34PGFRQON4RGZ2FXPUB3AXR2VZ6WJP', '3OWEPKL08PSXSD5HWKVJBO92BS4N7K', '3J88R45B2WERADNLUCC99CRLD0IPXB']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2LMQ4497NMK3S', 'AURYD2FH3FUOQ']",literal,{},ambiguous,{},literal,{},ambiguous,{},discard
you can't teach an old dog new tricks,"the dog trainer spent hours teaching an old dog new tricks, but the dog's age made it difficult to learn",literal,you cannot make others change their habits,"[1, 1, 1, 1]","['{}', '{}', '{}', '{}']","[144.596, 45.055, 35.646, 168.028]","['32AT8R96G1PW619IHO5GKAXS628US4', '32EYX73OYGPK5M952Z5BU0SWK0PURG', '3VFJCI1K4FF1048AIUGUQLR5BSBRGE', '3EFE17QCRSLR1F3YHPYH1V82CU6SH1']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8', 'A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']",literal,{},literal,{},literal,{},literal,{},literal
