idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,t_f_brkt_ko,t_l_brkt_ko,t_f_ko,t_l_ko,t_f_a_ko,t_l_a_ko,t_f_brkt_zh,t_l_brkt_zh,t_f_zh,t_l_zh,t_f_a_zh,t_l_a_zh
big brother,A large organization or government agency that tries to control all aspects of human life and society.,"With the new surveillance system, we felt like we were being [[watched by big brother]]","As the younger sibling, she was always [[watched by big brother]] during their childhood","With the new surveillance system, we felt like we were being watched by big brother","As the younger sibling, she was always watched by big brother during their childhood",watched by big brother,새로운 감시 시스템 때문에 우리는 [[거대한 독재 권력에게 주시당하고 있는 것]] 같았습니다,그녀는 여동생으로서 어렸을 때 항상 [[큰오빠에게 감시당했습니다]],새로운 감시 시스템 때문에 우리는 거대한 독재 권력에게 주시당하고 있는 것 같았습니다,그녀는 여동생으로서 어렸을 때 항상 큰오빠에게 감시당했습니다,거대한 독재 권력에게 주시당하고 있는 것,큰오빠에게 감시당했습니다,随着全新监控系统的出现，我们感觉[[被老大哥监视了]]。,作为妹妹，她在童年时总是[[被哥哥看护着]]。,随着全新监控系统的出现，我们感觉被老大哥监视了。,作为妹妹，她在童年时总是被哥哥看护着。,被老大哥监视了,被哥哥看护着
big cheese,to be an important and successful individual,"In the company, he's [[the big cheese]] and everyone respects him","At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds","In the company, he's the big cheese and everyone respects him","At the cheese festival, they displayed the big cheese weighing over 100 pounds",the big cheese,회사에서 그는 [[매우 중요한 사람]]이고 모두가 그를 존경합니다,치즈 축제에서 그들은 100 파운드가 넘는 [[커다란 치즈]]를 전시했습니다,회사에서 그는 매우 중요한 사람이고 모두가 그를 존경합니다,치즈 축제에서 그들은 100 파운드가 넘는 커다란 치즈를 전시했습니다,매우 중요한 사람,커다란 치즈,他是公司的[[重要人物]]，所有人都很尊重他。,在奶酪节上，他们展示了超过100磅重的[[巨大奶酪]]。,他是公司的重要人物，所有人都很尊重他。,在奶酪节上，他们展示了超过100磅重的巨大奶酪。,重要人物,巨大奶酪
big gun,a very powerful individual,"To solve the complex problem, we had [[to bring in the big gun]] from the head office","To defend the fort, they had [[to bring in the big gun]] from the armory","To solve the complex problem, we had to bring in the big gun from the head office","To defend the fort, they had to bring in the big gun from the armory",to bring in the big gun,복잡한 문제를 해결하기 위해 우리는 본사에서 [[고급 거물들을 끌어들여야]] 했습니다,요새를 방어하기 위해서 그들은 무기고에서 [[커다란 총을 옮겨와야]] 했습니다,복잡한 문제를 해결하기 위해 우리는 본사에서 고급 거물들을 끌어들여야 했습니다,요새를 방어하기 위해서 그들은 무기고에서 커다란 총을 옮겨와야 했습니다,고급 거물들을 끌어들여야,커다란 총을 옮겨와야,为解决这个复杂问题，我们需要从总部办公室[[请来强力外援]]。,为了防守要塞，他们需要从军火库[[拿来重枪]]。,为解决这个复杂问题，我们需要从总部办公室请来强力外援。,为了防守要塞，他们需要从军火库拿来重枪。,请来强力外援,拿来重枪
big mouth,someone who talks too much,"He can't keep a secret, he [[has a big mouth]]",The hippopotamus [[has a big mouth]] to consume large amounts of food,"He can't keep a secret, he has a big mouth",The hippopotamus has a big mouth to consume large amounts of food,has a big mouth,"그는 비밀을 지키지 못합니다, 그는 [[말이 너무 많거든요]]",하마는 거대한 양의 음식을 섭취하기 위해 [[큰 입을 가지고 있습니다]],"그는 비밀을 지키지 못합니다, 그는 말이 너무 많거든요",하마는 거대한 양의 음식을 섭취하기 위해 큰 입을 가지고 있습니다,말이 너무 많거든요,큰 입을 가지고 있습니다,他无法保守秘密，因为他[[是个大嘴巴]]。,河马[[有很大的嘴巴]]可以吃大量食物。,他无法保守秘密，因为他是个大嘴巴。,河马有很大的嘴巴可以吃大量食物。,是个大嘴巴,有很大的嘴巴
bigger fish to fry,"to have other, more important things to do.","I can't focus on this minor issue, [[I have bigger fish to fry]] at work","I can't cook these small ones now, [[I have bigger fish to fry]] for the dinner party","I can't focus on this minor issue, I have bigger fish to fry at work","I can't cook these small ones now, I have bigger fish to fry for the dinner party",I have bigger fish to fry,"저는 이런 사소한 문제에 집중할 수 없습니다, [[제가]] 직장에서 [[따로 해야할 더 중대한 일이 있거든요]]","저는 지금 이런 조그만 것들만 요리해서는 안됩니다, 저녁 파티를 위해 [[제가 더 큰 생선을 튀겨야]]합니다","저는 이런 사소한 문제에 집중할 수 없습니다, 제가 직장에서 따로 해야할 더 중대한 일이 있거든요","저는 지금 이런 조그만 것들만 요리해서는 안됩니다, 저녁 파티를 위해 제가 더 큰 생선을 튀겨야합니다",제가 따로 해야할 더 중대한 일이 있거든요,제가 더 큰 생선을 튀겨야,我无法集中精力处理这件小事，因为[[我]]在工作中[[有更重要的事情需要处理]]。,我现在不能烹饪这些小菜，因为要准备这场晚宴，[[我有更大的鱼要煎]]。,我无法集中精力处理这件小事，因为我在工作中有更重要的事情需要处理。,我现在不能烹饪这些小菜，因为要准备这场晚宴，我有更大的鱼要煎。,我 有更重要的事情需要处理,我有更大的鱼要煎
break a leg,good luck,"Before her performance, we told her [[to break a leg on stage]]","During the play, the actor accidentally tripped and managed [[to break a leg on stage]]","Before her performance, we told her to break a leg on stage","During the play, the actor accidentally tripped and managed to break a leg on stage",to break a leg on stage,그녀의 공연 전 우리는 그녀에게 [[무대에서 행운을 빕니다]]라고 말해주었습니다,연극 도중 배우가 실수로 넘어져서 [[무대에서 다리가 부러졌습니다]],그녀의 공연 전 우리는 그녀에게 무대에서 행운을 빕니다라고 말해주었습니다,연극 도중 배우가 실수로 넘어져서 무대에서 다리가 부러졌습니다,무대에서 행운을 빕니다,무대에서 다리가 부러졌습니다,在她表演之前，我们告诉她在舞台上[[好运]],在剧中，演员不小心摔了一跤，居然在舞台上[[摔断了腿]]。,在她表演之前，我们告诉她在舞台上好运,在剧中，演员不小心摔了一跤，居然在舞台上摔断了腿。,好运,摔断了腿
break the ice,"to do or say something that makes people feel more comfortable, especially at the start of a meeting or party",We started [[breaking the ice together]] by playing a fun team-building game,"During the winter expedition, we were [[breaking the ice together]] to clear a path",We started breaking the ice together by playing a fun team-building game,"During the winter expedition, we were breaking the ice together to clear a path",breaking the ice together,우리는 재미있는 팀 빌딩 게임을 통해 [[어색한 서로의 사이를 좁히기]] 시작했습니다 ,겨울 원정 중에 우리는 길을 내기 위해 [[함께 얼음을 부쉈습니다]],우리는 재미있는 팀 빌딩 게임을 통해 어색한 서로의 사이를 좁히기 시작했습니다 ,겨울 원정 중에 우리는 길을 내기 위해 함께 얼음을 부쉈습니다,어색한 서로의 사이를 좁히기,함께 얼음을 부쉈습니다,我们开始玩有趣的团建游戏来[[破冰]],"在冬季探险中，我们一起[[破冰]]以清理一条通路。
",我们开始玩有趣的团建游戏来破冰,"在冬季探险中，我们一起破冰以清理一条通路。
",破冰,破冰
bright spark,an intelligent and lively person (humorously),"She was [[a bright spark]] in the team, always coming up with innovative ideas",The firework display created [[a bright spark]] in the night sky,"She was a bright spark in the team, always coming up with innovative ideas",The firework display created a bright spark in the night sky,a bright spark,그녀는 팀에서 [[밝은 불씨]]로서 항상 혁신적인 아이디어를 내놓았습니다,불꿏놀이가 밤하늘에 [[밝은 불꽃]]을 수놓았습니다,그녀는 팀에서 밝은 불씨로서 항상 혁신적인 아이디어를 내놓았습니다,불꿏놀이가 밤하늘에 밝은 불꽃을 수놓았습니다,밝은 불씨,밝은 불꽃,"她是队伍中[[智囊团]], 总是能想到创新的想法",烟花表演在夜空中绽放出[[明亮的火花]],"她是队伍中智囊团, 总是能想到创新的想法",烟花表演在夜空中绽放出明亮的火花,智囊团,明亮的火花
build bridges,to foster good relationships,"As a mediator, my goal is [[to build bridges between them]] and resolve their conflicts",The construction company was hired [[to build bridges between them]] to connect the two islands,"As a mediator, my goal is to build bridges between them and resolve their conflicts",The construction company was hired to build bridges between them to connect the two islands,to build bridges between them,중재자로서 나의 임무는 그들 사이의 [[이해와 화해를 도모하고]] 갈등을 해결하는 것입니다,건설 회사가 두 섬을 연결하는 [[다리를 짓기 위해]] 고용되었습니다,중재자로서 나의 임무는 그들 사이의 이해와 화해를 도모하고 갈등을 해결하는 것입니다,건설 회사가 두 섬을 연결하는 다리를 짓기 위해 고용되었습니다,이해와 화해를 도모하고,다리를 짓기 위해,作为调解人，我的目标是在他们之间[[搭建桥梁]]，解决他们的冲突,这家建筑公司被雇佣来在两岛之间[[建造桥梁]]以实现连接,作为调解人，我的目标是在他们之间搭建桥梁，解决他们的冲突,这家建筑公司被雇佣来在两岛之间建造桥梁以实现连接,搭建桥梁,建造桥梁
bun in the oven,to be pregnant,She excitedly announced that she [[has a bun in the oven]] and is expecting a baby,The baker [[has a bun in the oven]] and it will be ready in a few minutes,She excitedly announced that she has a bun in the oven and is expecting a baby,The baker has a bun in the oven and it will be ready in a few minutes,has a bun in the oven,그녀는 그녀가 [[임신 중이고]] 아기를 기대하고 있다고 신이 나서 알렸습니다,제빵사는 [[오븐에 넣어 둔 빵이 있고]] 이는 몇 분 안에 준비될것입니다,그녀는 그녀가 임신 중이고 아기를 기대하고 있다고 신이 나서 알렸습니다,제빵사는 오븐에 넣어 둔 빵이 있고 이는 몇 분 안에 준비될것입니다,임신 중이고,오븐에 넣어 둔 빵이 있고,她激动的宣布她[[怀孕了]]，并且马上将有个宝宝,烘培家把一个[[小面包放在到了炉子里]]。小面包几分钟后就可以出炉了,她激动的宣布她怀孕了，并且马上将有个宝宝,烘培家把一个小面包放在到了炉子里。小面包几分钟后就可以出炉了,怀孕了,小面包放在到了炉子里
burn bridges,"remove someone's all options of retreat, act decisively","After the argument, she [[burned bridges with them]] and never spoke to them again",The vandals [[burned bridges with them]] as they escaped the village,"After the argument, she burned bridges with them and never spoke to them again",The vandals burned bridges with them as they escaped the village,burned bridges with them,그녀는 논쟁 끝에 그들과의 [[인연을 정리하고]] 그들과 다시는 말하지 않았습니다,무법자들이 마을을 빠져나가며 [[그들간의 다리를 불태웠습니다]],그녀는 논쟁 끝에 그들과의 인연을 정리하고 그들과 다시는 말하지 않았습니다,무법자들이 마을을 빠져나가며 그들간의 다리를 불태웠습니다,인연을 정리하고,그들간의 다리를 불태웠습니다,在争吵之后，她与他们[[断绝关系]]，再也没有和他们说过话。,破坏者们[[烧了它们之间的桥]]在他们逃离村庄的时候,在争吵之后，她与他们断绝关系，再也没有和他们说过话。,破坏者们烧了它们之间的桥在他们逃离村庄的时候,断绝关系,烧了它们之间的桥
cross the bridge,to delay worrying about something that might not happen anyway,They [[crossed the bridge together]] when they decided to face their problems as a team,The two friends [[crossed the bridge together]] while enjoying the scenic view,They crossed the bridge together when they decided to face their problems as a team,The two friends crossed the bridge together while enjoying the scenic view,crossed the bridge together,그들은 그들 각각의 문제를 [[나중에]] 같은 팀으로서 [[해결하기로 하였다]],두 친구는 경치를 즐기며 [[함께 다리를 건넜다]],그들은 그들 각각의 문제를 나중에 같은 팀으로서 해결하기로 하였다,두 친구는 경치를 즐기며 함께 다리를 건넜다,나중에 해결하기로 하였다,함께 다리를 건넜다,当他们决定作为一个团队共同面对问题时，他们就是[[共进退]],两个朋友[[一起过桥]]欣赏美景。,当他们决定作为一个团队共同面对问题时，他们就是共进退,两个朋友一起过桥欣赏美景。,共进退,一起过桥
crush,feel love-sick for someone.,She couldn't help but [[have a crush]] on the charming new coworker,The machine was designed to [[have a crush]] on the aluminum cans for recycling,She couldn't help but have a crush on the charming new coworker,The machine was designed to have a crush on the aluminum cans for recycling,have a crush,그녀는 매력이 넘치는 새 동료에게 [[사랑에 빠지지]] 않을 수가 없었습니다,이 기계는 알루미늄 캔을 [[압축하여]] 재활용하기 위한 목적으로 설계되었습니다,그녀는 매력이 넘치는 새 동료에게 사랑에 빠지지 않을 수가 없었습니다,이 기계는 알루미늄 캔을 압축하여 재활용하기 위한 목적으로 설계되었습니다,사랑에 빠지지,압축하여,她不由自主地[[喜欢上了]]她的同事。,这台机器会把回收的铝皮瓶子[[压碎]]。,她不由自主地喜欢上了她的同事。,这台机器会把回收的铝皮瓶子压碎。,喜欢上了,压碎
cry over spilt milk,to be upset about things that have already been done,There's no point in [[crying over spilt milk]] now that the deadline has passed,The toddler was [[crying over spilt milk]] on the kitchen floor,There's no point in crying over spilt milk now that the deadline has passed,The toddler was crying over spilt milk on the kitchen floor,crying over spilt milk,이제 마감 기간이 끝났으니 [[이미 일어난 일을 한탄해]] 봤자 소용없습니다,아이는 부엌 바닥에 [[쏟아진 우유를 보고 울었습니다]],이제 마감 기간이 끝났으니 이미 일어난 일을 한탄해 봤자 소용없습니다,아이는 부엌 바닥에 쏟아진 우유를 보고 울었습니다,이미 일어난 일을 한탄해,쏟아진 우유를 보고 울었습니다,现在截止日期已经过去了，就没必要[[为过去的事生气了]]。,小孩[[把牛奶撒]]到地上就[[哭了]]。,现在截止日期已经过去了，就没必要为过去的事生气了。,小孩把牛奶撒到地上就哭了。,为过去的事生气了,把牛奶撒 哭了
cup of tea,to like something,"Skydiving is [[not my cup of tea]], I prefer calmer activities","This green tea is [[not my cup of tea]], I ordered black tea","Skydiving is not my cup of tea, I prefer calmer activities","This green tea is not my cup of tea, I ordered black tea",not my cup of tea,"스카이 다이빙은 [[제 취향에는 맞지 않습니다]], 저는 평온한 활동을 더 선호합니다","이 녹차는 제가 [[차]]가 아닙니다, 전 홍차를 주문했습니다","스카이 다이빙은 제 취향에는 맞지 않습니다, 저는 평온한 활동을 더 선호합니다","이 녹차는 제가 차가 아닙니다, 전 홍차를 주문했습니다",제 취향에는 맞지 않습니다,차,[[我不喜欢]]跳伞，我更喜欢更轻松的活动。,[[我不喜欢]]绿茶，我点了红茶。,我不喜欢跳伞，我更喜欢更轻松的活动。,我不喜欢绿茶，我点了红茶。,我不喜欢,我不喜欢
cut and dried,ready-made,"With her impressive qualifications, it was [[a cut and dried decision]] to hire her",The process of making fruit leather involves [[a cut and dried decision]] with the fruit,"With her impressive qualifications, it was a cut and dried decision to hire her",The process of making fruit leather involves a cut and dried decision with the fruit,a cut and dried decision,그녀의 뛰어난 자격 덕에 그녀를 고용하는 것은 [[변경 불가능한 결정]]이었습니다,과일 가죽을 만드는 과정에는 과일을 [[잘라서 말리는 결정]]이 포함되어 있습니다,그녀의 뛰어난 자격 덕에 그녀를 고용하는 것은 변경 불가능한 결정이었습니다,과일 가죽을 만드는 과정에는 과일을 잘라서 말리는 결정이 포함되어 있습니다,변경 불가능한 결정,잘라서 말리는 결정,她各方面都很不错，雇佣她是[[显而易见的决定]]。,做水果皮的过程中需要[[一个切和晾干的决定]]。,她各方面都很不错，雇佣她是显而易见的决定。,做水果皮的过程中需要一个切和晾干的决定。,显而易见的决定,一个切和晾干的决定
cut coat according to cloth,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",They [[cut their coat according to their cloth]] by living within their means,The tailor [[cut their coat according to their cloth]] to avoid wasting fabric,They cut their coat according to their cloth by living within their means,The tailor cut their coat according to their cloth to avoid wasting fabric,cut their coat according to their cloth,그들은 그들의 수입에 맞게 살아가며 [[자신의 상황에 맞게 행동했습니다]],재단사는 천을 낭비하지 않기 위해서 [[옷을 자신의 천 크기에 맞게 잘랐습니다]],그들은 그들의 수입에 맞게 살아가며 자신의 상황에 맞게 행동했습니다,재단사는 천을 낭비하지 않기 위해서 옷을 자신의 천 크기에 맞게 잘랐습니다,자신의 상황에 맞게 행동했습니다,옷을 자신의 천 크기에 맞게 잘랐습니다,他们[[量入为出]]。,裁缝[[按照布料来做大衣]]，以减少浪费。,他们量入为出。,裁缝按照布料来做大衣，以减少浪费。,量入为出,按照布料来做大衣
cut corners,"economise on time, money, materials or effort, perhaps unwisely","To save time and money, they [[cut corners on the project]] by using cheaper materials",The carpenter [[cut corners on the project]] to create a rounded shape,"To save time and money, they cut corners on the project by using cheaper materials",The carpenter cut corners on the project to create a rounded shape,cut corners on the project,시간과 돈을 절약하기 위해 그들은 더 싼 재료를 사용하여 [[프로젝트의 절차를 무시하고 지름길을 택했습니다]],목수는 둥근 모양을 만들기 위해서 작업 중인 [[프로젝트의 모서리를 깎았습니다]],시간과 돈을 절약하기 위해 그들은 더 싼 재료를 사용하여 프로젝트의 절차를 무시하고 지름길을 택했습니다,목수는 둥근 모양을 만들기 위해서 작업 중인 프로젝트의 모서리를 깎았습니다,프로젝트의 절차를 무시하고 지름길을 택했습니다,프로젝트의 모서리를 깎았습니다,为了省时省钱，他们用便宜的材料[[投机取巧]],木匠[[在项目上砍掉了边角]]，做了一个圆形。,为了省时省钱，他们用便宜的材料投机取巧,木匠在项目上砍掉了边角，做了一个圆形。,投机取巧,在项目上砍掉了边角
cut the cord,to end a connection with someone,He decided to [[cut the cord with her]] and end their toxic relationship,The nurse [[cut the cord with her]] after the baby was born,He decided to cut the cord with her and end their toxic relationship,The nurse cut the cord with her after the baby was born,cut the cord with her,그는 그녀와의 [[연을 끊고]] 불량한 관계에 끝을 가져왔습니다,아기가 태어난 후 간호사는 그녀와의 [[탯줄을 끊었습니다]],그는 그녀와의 연을 끊고 불량한 관계에 끝을 가져왔습니다,아기가 태어난 후 간호사는 그녀와의 탯줄을 끊었습니다,연을 끊고,탯줄을 끊었습니다,他决定[[结束他和她之间]]这种有害的[[关系]]。,护士在孩子出生后[[和她一起剪断了脐带]]。,他决定结束他和她之间这种有害的关系。,护士在孩子出生后和她一起剪断了脐带。,结束他和她之间 关系,和她一起剪断了脐带
cut the mustard,to succeed,"Despite his efforts, he [[couldn't cut the mustard]] in the competitive sales environment","With a dull knife, she [[couldn't cut the mustard]] for her sandwich","Despite his efforts, he couldn't cut the mustard in the competitive sales environment","With a dull knife, she couldn't cut the mustard for her sandwich",couldn't cut the mustard,그의 노력에도 불구하고 그는 경쟁적인 판매 환경에서 [[충분한 성과를 거두지 못했습니다]],무딘 칼로는 그녀는 그녀의 샌드위치 속 [[겨자를 자르지 못했습니다]],그의 노력에도 불구하고 그는 경쟁적인 판매 환경에서 충분한 성과를 거두지 못했습니다,무딘 칼로는 그녀는 그녀의 샌드위치 속 겨자를 자르지 못했습니다,충분한 성과를 거두지 못했습니다,겨자를 자르지 못했습니다,尽管他努力了，但还是[[无法]]在这么激烈的环境中[[成功]]。,她[[无法]]用这么钝的刀给她的三明治[[切芥末]]。,尽管他努力了，但还是无法在这么激烈的环境中成功。,她无法用这么钝的刀给她的三明治切芥末。,无法 成功,无法 切芥末
cut your own throat,to do something that will be the cause of your own failure or ruin your chances in the future,"By revealing company secrets, he [[cut his own throat]] and ruined his career","While shaving, he accidentally [[cut his own throat]] with the razor","By revealing company secrets, he cut his own throat and ruined his career","While shaving, he accidentally cut his own throat with the razor",cut his own throat,회사 비밀을 공개함으로써 그는 [[자멸을 초래했고]] 자신의 커리어를 망쳤습니다,면도를 하던 그는 실수로 면도날로 [[자신의 목을 베었습니다]],회사 비밀을 공개함으로써 그는 자멸을 초래했고 자신의 커리어를 망쳤습니다,면도를 하던 그는 실수로 면도날로 자신의 목을 베었습니다,자멸을 초래했고,자신의 목을 베었습니다,因为泄露公司机密，他[[搬起石头砸了自己的脚]]，毁了事业。,他刮胡子时，不小心用刮胡刀[[切到了自己的喉咙]]。,因为泄露公司机密，他搬起石头砸了自己的脚，毁了事业。,他刮胡子时，不小心用刮胡刀切到了自己的喉咙。,搬起石头砸了自己的脚,切到了自己的喉咙
dance to tune,to do what someone else forces you to do,He always [[danced to the tune]] of his boss's demands,"At the party, they [[danced to the tune]] of their favorite song",He always danced to the tune of his boss's demands,"At the party, they danced to the tune of their favorite song",danced to the tune,그는 항상 상사의 [[비위를 맞춰 행동했습니다]],파티에서 그들은 자신들이 좋아하는 [[노래에 맞춰 춤을 췄습니다]],그는 항상 상사의 비위를 맞춰 행동했습니다,파티에서 그들은 자신들이 좋아하는 노래에 맞춰 춤을 췄습니다,비위를 맞춰 행동했습니다,노래에 맞춰 춤을 췄습니다,他对老板的要求[[言听计从]]。,在舞会上，他们[[随着]]他们最喜欢的歌曲的[[曲调起舞]],他对老板的要求言听计从。,在舞会上，他们随着他们最喜欢的歌曲的曲调起舞,言听计从,随着 曲调起舞
deep down,felt strongly and often hidden from other people,He knew [[deep down in the ocean]] of his heart that he had made the right decision,The divers explored the shipwreck [[deep down in the ocean]],He knew deep down in the ocean of his heart that he had made the right decision,The divers explored the shipwreck deep down in the ocean,deep down in the ocean,그는 그의 [[마음 깊이]] 스스로가 올바른 결정을 내렸음을 알고 있었습니다,잠수부들은 [[바다 깊숙한 곳에 있는]] 난파선을 탐험했습니다,그는 그의 마음 깊이 스스로가 올바른 결정을 내렸음을 알고 있었습니다,잠수부들은 바다 깊숙한 곳에 있는 난파선을 탐험했습니다,마음 깊이,바다 깊숙한 곳에 있는,他[[在内心深处]]知道他做了正确的决定,潜水员[[在深海]]检查沉船,他在内心深处知道他做了正确的决定,潜水员在深海检查沉船,在内心深处,在深海
deliver the goods,do what is required,The new employee [[delivered the goods on time]] by meeting all the project deadlines,The courier [[delivered the goods on time]] to the customer's doorstep,The new employee delivered the goods on time by meeting all the project deadlines,The courier delivered the goods on time to the customer's doorstep,delivered the goods on time,새로운 직원은 모든 프로젝트 마감일을 준수하여 [[해야할 일을 했습니다]],택배 기사는 [[시간에 맞춰 상품을]] 고객의 문앞까지 배송했습니다,새로운 직원은 모든 프로젝트 마감일을 준수하여 해야할 일을 했습니다,택배 기사는 시간에 맞춰 상품을 고객의 문앞까지 배송했습니다,해야할 일을 했습니다,시간에 맞춰 상품을,新雇员[[准时]]在截止日期前[[完成了工作]]。,快递员[[把东西准时送到]]顾客门口。,新雇员准时在截止日期前完成了工作。,快递员把东西准时送到顾客门口。,准时 完成了工作,把东西准时送到
die in harness,to expire while working,"The dedicated employee [[died in harness]], working tirelessly until the end",The poor horse [[died in harness]] while pulling the heavy load,"The dedicated employee died in harness, working tirelessly until the end",The poor horse died in harness while pulling the heavy load,died in harness,열심히 일하던 직원은 임종까지 지치지 않고 일하다가 [[순직하였습니다]],불쌍한 말은 무거운 짐을 끌다가 [[마구에서 죽었습니다]],열심히 일하던 직원은 임종까지 지치지 않고 일하다가 순직하였습니다,불쌍한 말은 무거운 짐을 끌다가 마구에서 죽었습니다,순직하였습니다,마구에서 죽었습니다,这名勤劳的雇员[[在工作时去世]]，一直工作到死。,这匹马在拉重物时[[死了]]。,这名勤劳的雇员在工作时去世，一直工作到死。,这匹马在拉重物时死了。,在工作时去世,死了
do the trick,successfully achieve a result,"Adding a little more salt to the soup, [[that should do the trick]]","Performing a magic act, the magician said '[[that should do the trick]]' as he pulled a rabbit from his hat","Adding a little more salt to the soup, that should do the trick","Performing a magic act, the magician said 'that should do the trick' as he pulled a rabbit from his hat",that should do the trick,스프에 조금 더 소금을 넣으면 [[그게 딱 알맞습니다]],마술쇼에서 마술사는 자신의 모자에서 토끼를 꺼내며 [[트릭을 해냈다]]고 말했습니다,스프에 조금 더 소금을 넣으면 그게 딱 알맞습니다,마술쇼에서 마술사는 자신의 모자에서 토끼를 꺼내며 트릭을 해냈다고 말했습니다,그게 딱 알맞습니다,트릭을 해냈다,在汤里加点盐，[[就可以了]],表演魔术师，魔术师一边说[[这就来了]]，一边从帽子里拿出一只兔子。,在汤里加点盐，就可以了,表演魔术师，魔术师一边说这就来了，一边从帽子里拿出一只兔子。,就可以了,这就来了
dodge a bullet,to narrowly avoid a very serious problem or a disaster,"When the company went bankrupt, I realized I [[dodged a bullet there]] by not investing","During the paintball game, he [[dodged a bullet there]] by quickly ducking behind a barrier","When the company went bankrupt, I realized I dodged a bullet there by not investing","During the paintball game, he dodged a bullet there by quickly ducking behind a barrier",dodged a bullet there,회사가 파산하자 나는 투자하지 않아서 [[최악을 피했다]]는 것을 깨달았습니다,"페인트볼 게임 도중, 그는 빠르게 장애물 뒤로 숨어서 [[총알을 피했습니다]]",회사가 파산하자 나는 투자하지 않아서 최악을 피했다는 것을 깨달았습니다,"페인트볼 게임 도중, 그는 빠르게 장애물 뒤로 숨어서 총알을 피했습니다",최악을 피했다,총알을 피했습니다,公司破产时，我才发现我[[逃过一劫]]。,玩彩蛋游戏时，他为了[[躲子弹]]，快速跑到堡垒后。,公司破产时，我才发现我逃过一劫。,玩彩蛋游戏时，他为了躲子弹，快速跑到堡垒后。,逃过一劫,躲子弹
does exactly what it says on the tin,someone or something is exactly as they seem,The new software [[does exactly what it says on the tin]] and is very user-friendly,The paint [[does exactly what it says on the tin]] and dries in just 30 minutes,The new software does exactly what it says on the tin and is very user-friendly,The paint does exactly what it says on the tin and dries in just 30 minutes,does exactly what it says on the tin,새로운 소프트웨어는 [[설명에 있는 그대로 동작하며]] 매우 사용자 친화적입니다,페인트는 페인트 [[통에 적힌 대로]] 단 30분만에 마릅니다,새로운 소프트웨어는 설명에 있는 그대로 동작하며 매우 사용자 친화적입니다,페인트는 페인트 통에 적힌 대로 단 30분만에 마릅니다,설명에 있는 그대로 동작하며,통에 적힌 대로,这个软件[[确实名副其实]]，对用户很友好。,这个油漆[[确实如锡盒上说的]]，三十分钟就干了。,这个软件确实名副其实，对用户很友好。,这个油漆确实如锡盒上说的，三十分钟就干了。,确实名副其实,确实如锡盒上说的
down to earth,"decent, simple, realistic","Despite her fame, she remained [[a down-to-earth person]] who was easy to talk to","The astronaut, once back from space, became [[a down-to-earth person]] again","Despite her fame, she remained a down-to-earth person who was easy to talk to","The astronaut, once back from space, became a down-to-earth person again",a down-to-earth person,그녀의 명성에도 불구하고 그녀는 말 걸기가 쉬운 [[실제적이고 현실적인]] 사람으로 남았습니다,한때 우주에서 돌아온 우주 비행사는 [[지구로 다시 돌아온 사람]]입니다,그녀의 명성에도 불구하고 그녀는 말 걸기가 쉬운 실제적이고 현실적인 사람으로 남았습니다,한때 우주에서 돌아온 우주 비행사는 지구로 다시 돌아온 사람입니다,실제적이고 현실적인,지구로 다시 돌아온 사람,虽然她很有名，但她还是[[很接地气]]，很容易交流。,宇航员从太空回来后，又变成了[[接地气的人]]。,虽然她很有名，但她还是很接地气，很容易交流。,宇航员从太空回来后，又变成了接地气的人。,很接地气,接地气的人
draw a blank,to get no response from someone,"When asked about the details of the project, he [[was drawing a blank]]",The artist [[was drawing a blank]] canvas to prepare for her next masterpiece,"When asked about the details of the project, he was drawing a blank",The artist was drawing a blank canvas to prepare for her next masterpiece,was drawing a blank,프로젝트의 세부사항에 대해 물었을 때 그는 [[아무것도 기억해내지 못했습니다]],화가는 그녀의 다음 걸작을 준비하기 위해 [[빈]] 캔버스를 [[그렸습니다]],프로젝트의 세부사항에 대해 물었을 때 그는 아무것도 기억해내지 못했습니다,화가는 그녀의 다음 걸작을 준비하기 위해 빈 캔버스를 그렸습니다,아무것도 기억해내지 못했습니다,빈 그렸습니다,被问到这个项目的细节，他[[脑子一片空白]]。,这个艺术家[[拿出一张空白的画布]]，准备下一个精品。,被问到这个项目的细节，他脑子一片空白。,这个艺术家拿出一张空白的画布，准备下一个精品。,脑子一片空白,拿出一张空白的画布
