idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,t_f_brkt_ko,t_l_brkt_ko,t_f_ko,t_l_ko,t_f_a_ko,t_l_a_ko,t_f_brkt_zh,t_l_brkt_zh,t_f_zh,t_l_zh,t_f_a_zh,t_l_a_zh,p_f_ko_gpt4,p_l_ko_gpt4,p_a_ko_gpt4,p_f_ko_nllb,p_l_ko_nllb,p_a_ko_nllb
bet on the wrong horse,support a person or thing that ultimately fails,[[She bet on the wrong horse]] when she chose to invest in that failing company,"At the racetrack, [[she bet on the wrong horse]] and lost her money",She bet on the wrong horse when she chose to invest in that failing company,"At the racetrack, she bet on the wrong horse and lost her money",She bet on the wrong horse,그녀는 실패한 회사에 투자를 함으로써 [[잘못된 선택을 했습니다]],경마장에서 그녀는 [[잘못된 말에 돈을 걸었고]] 돈을 잃었습니다,그녀는 실패한 회사에 투자를 함으로써 잘못된 선택을 했습니다,경마장에서 그녀는 잘못된 말에 돈을 걸었고 돈을 잃었습니다,잘못된 선택을 했습니다,잘못된 말에 돈을 걸었고,当她选择投资那个即将倒闭的公司时，[[她押错了宝]]。,在赛马场，[[她押注了错误的马匹]]，输了她的赌注。,当她选择投资那个即将倒闭的公司时，她押错了宝。,在赛马场，她押注了错误的马匹，输了她的赌注。,她押错了宝,她押注了错误的马匹,"그녀가 그 실패한 회사에 투자하기로 결정했을 때, 그녀는 잘못된 말에 내기를 했습니다.",경마장에서 그녀는 잘못된 말에 내기를 했고 돈을 잃었습니다.,그녀는 잘못된 말에 내기를 했다.,그녀는 실패한 회사에 투자하기로 결정했을 때 잘못된 말을 내걸었다,"레이스 트랙에서, 그녀는 잘못된 말을 베팅하고 돈을 잃었습니다",그녀는 잘못된 말을 내걸었다
between a rock and a hard place,having two very bad choices,He was [[caught between a rock and a hard place]] when he had to choose between his job and his family,"While hiking, she found herself [[caught between a rock and a hard place]] in a narrow passage",He was caught between a rock and a hard place when he had to choose between his job and his family,"While hiking, she found herself caught between a rock and a hard place in a narrow passage",caught between a rock and a hard place,그는 자신의 일과 가족 중 하나를 골라야하는 [[곤란한 처지에 놓였습니다]],등산 도중 그녀는 좁은 통로에서 [[암석과 단단한 무언가에 갇혀 움직이지 못하게 되었습니다]],그는 자신의 일과 가족 중 하나를 골라야하는 곤란한 처지에 놓였습니다,등산 도중 그녀는 좁은 통로에서 암석과 단단한 무언가에 갇혀 움직이지 못하게 되었습니다,곤란한 처지에 놓였습니다,암석과 단단한 무언가에 갇혀 움직이지 못하게 되었습니다,他在工作和家庭之间[[难以取舍]]。,在徒步时，她在一个狭窄的通道里[[被一块岩石和一条困难的路径卡住了]]。,他在工作和家庭之间难以取舍。,在徒步时，她在一个狭窄的通道里被一块岩石和一条困难的路径卡住了。,难以取舍,被一块岩石和一条困难的路径卡住了,그는 직장과 가족 사이에서 선택해야 할 때 굉장히 곤란한 처지에 처했다.,등산 중에 그녀는 좁은 통로에서 극한의 상황에 처해 있었다.,딜레마에 빠진 상황,그는 직업과 가족 사이에서 선택해야 할 때 바위와 어려운 곳에서 갇혀있었습니다,산책 중 그녀는 좁은 통로에서 바위와 단단한 장소 사이에 갇혀 있었다,바위와 단단한 곳 사이에 갇혀있으니
beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",The psychic claimed [[she looked beyond the veil]] and communicated with spirits,"Standing in front of the window, [[she looked beyond the veil]] and saw the beautiful garden",The psychic claimed she looked beyond the veil and communicated with spirits,"Standing in front of the window, she looked beyond the veil and saw the beautiful garden",she looked beyond the veil,예언자는 [[그녀가 저승을 볼 수 있고]] 영혼과 대화할 수 있다고 주장했습니다,창문 앞에 서서 [[그녀는 베일 저편을 바라보다가]] 아름다운 정원을 발견했습니다,예언자는 그녀가 저승을 볼 수 있고 영혼과 대화할 수 있다고 주장했습니다,창문 앞에 서서 그녀는 베일 저편을 바라보다가 아름다운 정원을 발견했습니다,그녀가 저승을 볼 수 있고,그녀는 베일 저편을 바라보다가,那位通灵者称[[她揭开了神秘的面纱]]并与灵魂进行了交流。,[[她]]站在窗前[[透过纱窗]]看到了美丽的花园。,那位通灵者称她揭开了神秘的面纱并与灵魂进行了交流。,她站在窗前透过纱窗看到了美丽的花园。,她揭开了神秘的面纱,她 透过纱窗,예언자는 그녀가 장막 너머를 보고 영혼들과 소통했다고 주장했습니다.,"창문 앞에 서서, 그녀는 베일 너머로 아름다운 정원을 바라보았다.",그녀는 베일 너머를 바라보았다.,시술인은 그녀가 베일을 넘어 보고 영들과 소통했다고 주장했다,"창문 앞에 서있으며, 그녀는 베일을 넘어 보며 아름다운 정원을 보았다",그녀는 베일을 넘어 보며
big brother,A large organization or government agency that tries to control all aspects of human life and society.,"With the new surveillance system, we felt like we were being [[watched by big brother]]","As the younger sibling, she was always [[watched by big brother]] during their childhood","With the new surveillance system, we felt like we were being watched by big brother","As the younger sibling, she was always watched by big brother during their childhood",watched by big brother,새로운 감시 시스템 때문에 우리는 [[거대한 독재 권력에게 주시당하고 있는 것]] 같았습니다,그녀는 여동생으로서 어렸을 때 항상 [[큰오빠에게 감시당했습니다]],새로운 감시 시스템 때문에 우리는 거대한 독재 권력에게 주시당하고 있는 것 같았습니다,그녀는 여동생으로서 어렸을 때 항상 큰오빠에게 감시당했습니다,거대한 독재 권력에게 주시당하고 있는 것,큰오빠에게 감시당했습니다,随着全新监控系统的出现，我们感觉[[被老大哥监视了]]。,作为妹妹，她在童年时总是[[被哥哥看护着]]。,随着全新监控系统的出现，我们感觉被老大哥监视了。,作为妹妹，她在童年时总是被哥哥看护着。,被老大哥监视了,被哥哥看护着,새로운 감시 시스템 덕분에 우리는 빅 브라더에게 지켜지는 것 같았습니다.,여동생인 그녀는 어린 시절 동안 항상 형에게 지켜졌습니다.,큰 형님이 지켜보고 있다,새로운 감시 시스템으로 우리는 큰 형제가 지켜보고 있는 것처럼 느꼈습니다,"어린 동생으로서, 그녀는 항상 큰 형제가 보며",큰 형제가 지켜보고
big cheese,to be an important and successful individual,"In the company, he's [[the big cheese]] and everyone respects him","At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds","In the company, he's the big cheese and everyone respects him","At the cheese festival, they displayed the big cheese weighing over 100 pounds",the big cheese,회사에서 그는 [[매우 중요한 사람]]이고 모두가 그를 존경합니다,치즈 축제에서 그들은 100 파운드가 넘는 [[커다란 치즈]]를 전시했습니다,회사에서 그는 매우 중요한 사람이고 모두가 그를 존경합니다,치즈 축제에서 그들은 100 파운드가 넘는 커다란 치즈를 전시했습니다,매우 중요한 사람,커다란 치즈,他是公司的[[重要人物]]，所有人都很尊重他。,在奶酪节上，他们展示了超过100磅重的[[巨大奶酪]]。,他是公司的重要人物，所有人都很尊重他。,在奶酪节上，他们展示了超过100磅重的巨大奶酪。,重要人物,巨大奶酪,회사에서 그는 큰 빅 치즈이고 모두가 그를 존경합니다.,치즈 축제에서 그들은 100파운드 이상의 무게가 나가는 큰 치즈를 전시했습니다.,큰 치즈,회사에서 그는 큰 치즈이고 모든 사람들이 그를 존중합니다,"치즈 페스티벌에서, 그들은 100 파운드 이상의 무게의 큰 치즈를 전시했습니다",큰 치즈
big gun,a very powerful individual,"To solve the complex problem, we had [[to bring in the big gun]] from the head office","To defend the fort, they had [[to bring in the big gun]] from the armory","To solve the complex problem, we had to bring in the big gun from the head office","To defend the fort, they had to bring in the big gun from the armory",to bring in the big gun,복잡한 문제를 해결하기 위해 우리는 본사에서 [[고급 거물들을 끌어들여야]] 했습니다,요새를 방어하기 위해서 그들은 무기고에서 [[커다란 총을 옮겨와야]] 했습니다,복잡한 문제를 해결하기 위해 우리는 본사에서 고급 거물들을 끌어들여야 했습니다,요새를 방어하기 위해서 그들은 무기고에서 커다란 총을 옮겨와야 했습니다,고급 거물들을 끌어들여야,커다란 총을 옮겨와야,为解决这个复杂问题，我们需要从总部办公室[[请来强力外援]]。,为了防守要塞，他们需要从军火库[[拿来重枪]]。,为解决这个复杂问题，我们需要从总部办公室请来强力外援。,为了防守要塞，他们需要从军火库拿来重枪。,请来强力外援,拿来重枪,복잡한 문제를 해결하기 위해 본사의 거물을 불러야 했습니다.,요새를 방어하기 위해 그들은 무기고에서 대포를 가져와야 했다.,큰 거포를 가져오다,"복잡한 문제를 해결하기 위해, 우리는 본부에서 큰 총을 가져오야 했습니다.","포트를 지키기 위해, 그들은 장갑 보관소에서 큰 총을 가져오야 했습니다.",큰 총을 가져오기 위해서
big mouth,someone who talks too much,"He can't keep a secret, he [[has a big mouth]]",The hippopotamus [[has a big mouth]] to consume large amounts of food,"He can't keep a secret, he has a big mouth",The hippopotamus has a big mouth to consume large amounts of food,has a big mouth,"그는 비밀을 지키지 못합니다, 그는 [[말이 너무 많거든요]]",하마는 거대한 양의 음식을 섭취하기 위해 [[큰 입을 가지고 있습니다]],"그는 비밀을 지키지 못합니다, 그는 말이 너무 많거든요",하마는 거대한 양의 음식을 섭취하기 위해 큰 입을 가지고 있습니다,말이 너무 많거든요,큰 입을 가지고 있습니다,他无法保守秘密，因为他[[是个大嘴巴]]。,河马[[有很大的嘴巴]]可以吃大量食物。,他无法保守秘密，因为他是个大嘴巴。,河马有很大的嘴巴可以吃大量食物。,是个大嘴巴,有很大的嘴巴,"그는 비밀을 지키지 못해요, 그는 입이 크거든요.",하마는 많은 양의 음식을 섭취하기 위해 큰 입을 가지고 있습니다.,큰 입을 가졌어요.,비밀은 숨기지 못해요 입이 큰 거요,"은 큰 입 을 가지고 있으며, 많은 양의 음식을 섭취 한다",큰 입이 있네
bigger fish to fry,"to have other, more important things to do.","I can't focus on this minor issue, [[I have bigger fish to fry]] at work","I can't cook these small ones now, [[I have bigger fish to fry]] for the dinner party","I can't focus on this minor issue, I have bigger fish to fry at work","I can't cook these small ones now, I have bigger fish to fry for the dinner party",I have bigger fish to fry,"저는 이런 사소한 문제에 집중할 수 없습니다, [[제가]] 직장에서 [[따로 해야할 더 중대한 일이 있거든요]]","저는 지금 이런 조그만 것들만 요리해서는 안됩니다, 저녁 파티를 위해 [[제가 더 큰 생선을 튀겨야]]합니다","저는 이런 사소한 문제에 집중할 수 없습니다, 제가 직장에서 따로 해야할 더 중대한 일이 있거든요","저는 지금 이런 조그만 것들만 요리해서는 안됩니다, 저녁 파티를 위해 제가 더 큰 생선을 튀겨야합니다",제가 따로 해야할 더 중대한 일이 있거든요,제가 더 큰 생선을 튀겨야,我无法集中精力处理这件小事，因为[[我]]在工作中[[有更重要的事情需要处理]]。,我现在不能烹饪这些小菜，因为要准备这场晚宴，[[我有更大的鱼要煎]]。,我无法集中精力处理这件小事，因为我在工作中有更重要的事情需要处理。,我现在不能烹饪这些小菜，因为要准备这场晚宴，我有更大的鱼要煎。,我 有更重要的事情需要处理,我有更大的鱼要煎,"이 사소한 문제에 집중할 수 없어요, 일에서 더 중요한 일이 있어요.","지금 이 작은 것들을 요리할 수 없어요, 저녁 파티를 위해 더 큰 생선을 튀겨야 해요.",제가 더 중요한 일이 있어요,"이 작은 문제에 집중할 수 없어, 더 큰 물고기가 일하러 갈거야",지금은 작은 것을 요리할 수 없어 저녁 파티에 더 큰 물고기가 있어,더 큰 물고기가 필요해
break a leg,good luck,"Before her performance, we told her [[to break a leg on stage]]","During the play, the actor accidentally tripped and managed [[to break a leg on stage]]","Before her performance, we told her to break a leg on stage","During the play, the actor accidentally tripped and managed to break a leg on stage",to break a leg on stage,그녀의 공연 전 우리는 그녀에게 [[무대에서 행운을 빕니다]]라고 말해주었습니다,연극 도중 배우가 실수로 넘어져서 [[무대에서 다리가 부러졌습니다]],그녀의 공연 전 우리는 그녀에게 무대에서 행운을 빕니다라고 말해주었습니다,연극 도중 배우가 실수로 넘어져서 무대에서 다리가 부러졌습니다,무대에서 행운을 빕니다,무대에서 다리가 부러졌습니다,在她表演之前，我们告诉她在舞台上[[好运]],在剧中，演员不小心摔了一跤，居然在舞台上[[摔断了腿]]。,在她表演之前，我们告诉她在舞台上好运,在剧中，演员不小心摔了一跤，居然在舞台上摔断了腿。,好运,摔断了腿,"그녀의 공연 전에, 우리는 그녀에게 무대에서 다리를 부러뜨리라고 말했다.",연극 중에 배우가 실수로 넘어져 무대에서 다리를 부러뜨렸습니다.,무대에서 다리를 부러뜨리다,"공연 전에, 우리는 그녀에게 무대에 다리를 깨라고 했습니다.",연극 중 배우는 실수로 넘어져 무대에서 다리를 깨게 된,무대에서 다리를 깨는 것
break the ice,"to do or say something that makes people feel more comfortable, especially at the start of a meeting or party",We started [[breaking the ice together]] by playing a fun team-building game,"During the winter expedition, we were [[breaking the ice together]] to clear a path",We started breaking the ice together by playing a fun team-building game,"During the winter expedition, we were breaking the ice together to clear a path",breaking the ice together,우리는 재미있는 팀 빌딩 게임을 통해 [[어색한 서로의 사이를 좁히기]] 시작했습니다 ,겨울 원정 중에 우리는 길을 내기 위해 [[함께 얼음을 부쉈습니다]],우리는 재미있는 팀 빌딩 게임을 통해 어색한 서로의 사이를 좁히기 시작했습니다 ,겨울 원정 중에 우리는 길을 내기 위해 함께 얼음을 부쉈습니다,어색한 서로의 사이를 좁히기,함께 얼음을 부쉈습니다,我们开始玩有趣的团建游戏来[[破冰]],"在冬季探险中，我们一起[[破冰]]以清理一条通路。
",我们开始玩有趣的团建游戏来破冰,"在冬季探险中，我们一起破冰以清理一条通路。
",破冰,破冰,우리는 재미있는 팀 빌딩 게임을 함께 하면서 서로의 얼음을 깨기 시작했습니다.,겨울 원정 중에 우리는 함께 얼음을 깨뜨려 길을 만들었습니다.,함께 얼음을 깨뜨리다,우리는 재미 있는 팀 구축 게임을 통해 얼음을 깨기 시작했습니다.,겨울 탐험 동안 우리는 함께 얼음을 깰 때 길을 열어,얼음을 함께 깨는 것
bright spark,an intelligent and lively person (humorously),"She was [[a bright spark]] in the team, always coming up with innovative ideas",The firework display created [[a bright spark]] in the night sky,"She was a bright spark in the team, always coming up with innovative ideas",The firework display created a bright spark in the night sky,a bright spark,그녀는 팀에서 [[밝은 불씨]]로서 항상 혁신적인 아이디어를 내놓았습니다,불꿏놀이가 밤하늘에 [[밝은 불꽃]]을 수놓았습니다,그녀는 팀에서 밝은 불씨로서 항상 혁신적인 아이디어를 내놓았습니다,불꿏놀이가 밤하늘에 밝은 불꽃을 수놓았습니다,밝은 불씨,밝은 불꽃,"她是队伍中[[智囊团]], 总是能想到创新的想法",烟花表演在夜空中绽放出[[明亮的火花]],"她是队伍中智囊团, 总是能想到创新的想法",烟花表演在夜空中绽放出明亮的火花,智囊团,明亮的火花,"그녀는 팀에서 빛나는 발랄함을 지녔으며, 항상 혁신적인 아이디어를 제시했습니다.",불꽃놀이가 밤하늘에 밝은 불꽃을 만들어냈습니다.,밝은 불꽃,그녀는 팀에서 밝은 스파크였으며 항상 혁신적인 아이디어를 내며,불꽃놀이 전시가 밤하늘에서 밝은 스파크를 만들어 냈습니다.,밝은 불꽃
build bridges,to foster good relationships,"As a mediator, my goal is [[to build bridges between them]] and resolve their conflicts",The construction company was hired [[to build bridges between them]] to connect the two islands,"As a mediator, my goal is to build bridges between them and resolve their conflicts",The construction company was hired to build bridges between them to connect the two islands,to build bridges between them,중재자로서 나의 임무는 그들 사이의 [[이해와 화해를 도모하고]] 갈등을 해결하는 것입니다,건설 회사가 두 섬을 연결하는 [[다리를 짓기 위해]] 고용되었습니다,중재자로서 나의 임무는 그들 사이의 이해와 화해를 도모하고 갈등을 해결하는 것입니다,건설 회사가 두 섬을 연결하는 다리를 짓기 위해 고용되었습니다,이해와 화해를 도모하고,다리를 짓기 위해,作为调解人，我的目标是在他们之间[[搭建桥梁]]，解决他们的冲突,这家建筑公司被雇佣来在两岛之间[[建造桥梁]]以实现连接,作为调解人，我的目标是在他们之间搭建桥梁，解决他们的冲突,这家建筑公司被雇佣来在两岛之间建造桥梁以实现连接,搭建桥梁,建造桥梁,중재자로서 제 목표는 그들 사이에 다리를 놓고 그들의 갈등을 해결하는 것입니다.,건설 회사는 두 섬을 연결하기 위해 그들 사이에 다리를 건설하도록 고용되었습니다.,그들 사이에 다리를 놓다,중재자로서 제 목표는 그들 사이의 교두보를 건설하고 갈등을 해결하는 것입니다,건설 회사 는 두 섬 을 연결 하기 위해 다리 를 건설 하기 위해 고용 되었습니다,그들 사이에 다리를 건설하기 위해서
bun in the oven,to be pregnant,She excitedly announced that she [[has a bun in the oven]] and is expecting a baby,The baker [[has a bun in the oven]] and it will be ready in a few minutes,She excitedly announced that she has a bun in the oven and is expecting a baby,The baker has a bun in the oven and it will be ready in a few minutes,has a bun in the oven,그녀는 그녀가 [[임신 중이고]] 아기를 기대하고 있다고 신이 나서 알렸습니다,제빵사는 [[오븐에 넣어 둔 빵이 있고]] 이는 몇 분 안에 준비될것입니다,그녀는 그녀가 임신 중이고 아기를 기대하고 있다고 신이 나서 알렸습니다,제빵사는 오븐에 넣어 둔 빵이 있고 이는 몇 분 안에 준비될것입니다,임신 중이고,오븐에 넣어 둔 빵이 있고,她激动的宣布她[[怀孕了]]，并且马上将有个宝宝,烘培家把一个[[小面包放在到了炉子里]]。小面包几分钟后就可以出炉了,她激动的宣布她怀孕了，并且马上将有个宝宝,烘培家把一个小面包放在到了炉子里。小面包几分钟后就可以出炉了,怀孕了,小面包放在到了炉子里,그녀는 신이 난 듯이 자신이 임신 중이라고 발표하며 아기를 기대하고 있다고 말했습니다.,"제빵사는 오븐에 빵을 넣어두었고, 몇 분 안에 다 될 것입니다.",오븐에 빵이 하나 있어요.,그녀는 흥분해서 오븐에 빵이 있고 아기를 기대한다고 발표했습니다.,빵가루는 오븐에 떡을 넣고 몇 분 안에 준비될 거야,오븐에 떡이 든다
burn bridges,"remove someone's all options of retreat, act decisively","After the argument, she [[burned bridges with them]] and never spoke to them again",The vandals [[burned bridges with them]] as they escaped the village,"After the argument, she burned bridges with them and never spoke to them again",The vandals burned bridges with them as they escaped the village,burned bridges with them,그녀는 논쟁 끝에 그들과의 [[인연을 정리하고]] 그들과 다시는 말하지 않았습니다,무법자들이 마을을 빠져나가며 [[그들간의 다리를 불태웠습니다]],그녀는 논쟁 끝에 그들과의 인연을 정리하고 그들과 다시는 말하지 않았습니다,무법자들이 마을을 빠져나가며 그들간의 다리를 불태웠습니다,인연을 정리하고,그들간의 다리를 불태웠습니다,在争吵之后，她与他们[[断绝关系]]，再也没有和他们说过话。,破坏者们[[烧了它们之间的桥]]在他们逃离村庄的时候,在争吵之后，她与他们断绝关系，再也没有和他们说过话。,破坏者们烧了它们之间的桥在他们逃离村庄的时候,断绝关系,烧了它们之间的桥,"그 논쟁 이후, 그녀는 그들과의 관계를 완전히 끊고 다시는 그들과 말하지 않았다.",악당들이 마을을 탈출하면서 그들과의 관계를 끊었습니다.,그들과의 관계를 끊었다.,"논쟁 후, 그녀는 그들과 다리를 태워 다시는 그들과 이야기하지 않았습니다",반달들은 마을에서 탈출하면서 다리를 태워버렸습니다.,그들과 함께 다리를 태웠고
cross the bridge,to delay worrying about something that might not happen anyway,They [[crossed the bridge together]] when they decided to face their problems as a team,The two friends [[crossed the bridge together]] while enjoying the scenic view,They crossed the bridge together when they decided to face their problems as a team,The two friends crossed the bridge together while enjoying the scenic view,crossed the bridge together,그들은 그들 각각의 문제를 [[나중에]] 같은 팀으로서 [[해결하기로 하였다]],두 친구는 경치를 즐기며 [[함께 다리를 건넜다]],그들은 그들 각각의 문제를 나중에 같은 팀으로서 해결하기로 하였다,두 친구는 경치를 즐기며 함께 다리를 건넜다,나중에 해결하기로 하였다,함께 다리를 건넜다,当他们决定作为一个团队共同面对问题时，他们就是[[共进退]],两个朋友[[一起过桥]]欣赏美景。,当他们决定作为一个团队共同面对问题时，他们就是共进退,两个朋友一起过桥欣赏美景。,共进退,一起过桥,"그들이 팀으로 문제에 맞서기로 결정했을 때, 그들은 함께 다리를 건넜습니다.",두 친구는 경치를 즐기며 함께 다리를 건넜습니다.,함께 다리를 건넜습니다.,그들은 함께 다리를 건너가 팀으로 그들의 문제를 해결하기로 결정했습니다,두 친구 는 경치가 아름다운 곳 을 즐기면서 함께 다리를 건너갔다,다리를 함께 건너
crush,feel love-sick for someone.,She couldn't help but [[have a crush]] on the charming new coworker,The machine was designed to [[have a crush]] on the aluminum cans for recycling,She couldn't help but have a crush on the charming new coworker,The machine was designed to have a crush on the aluminum cans for recycling,have a crush,그녀는 매력이 넘치는 새 동료에게 [[사랑에 빠지지]] 않을 수가 없었습니다,이 기계는 알루미늄 캔을 [[압축하여]] 재활용하기 위한 목적으로 설계되었습니다,그녀는 매력이 넘치는 새 동료에게 사랑에 빠지지 않을 수가 없었습니다,이 기계는 알루미늄 캔을 압축하여 재활용하기 위한 목적으로 설계되었습니다,사랑에 빠지지,압축하여,她不由自主地[[喜欢上了]]她的同事。,这台机器会把回收的铝皮瓶子[[压碎]]。,她不由自主地喜欢上了她的同事。,这台机器会把回收的铝皮瓶子压碎。,喜欢上了,压碎,그녀는 매력적인 새 동료에게 마음을 빼앗길 수밖에 없었다.,이 기계는 재활용을 위해 알루미늄 캔을 압축하는 것으로 설계되었습니다.,짝사랑하다,그녀는 매력적인 새로운 동료에 대한 애정을 하지 않을 수 없었다,기계는 재활용용용 알루미늄 캔에 대한 애착을 가질 수 있도록 설계되었습니다,사랑받아
cry over spilt milk,to be upset about things that have already been done,There's no point in [[crying over spilt milk]] now that the deadline has passed,The toddler was [[crying over spilt milk]] on the kitchen floor,There's no point in crying over spilt milk now that the deadline has passed,The toddler was crying over spilt milk on the kitchen floor,crying over spilt milk,이제 마감 기간이 끝났으니 [[이미 일어난 일을 한탄해]] 봤자 소용없습니다,아이는 부엌 바닥에 [[쏟아진 우유를 보고 울었습니다]],이제 마감 기간이 끝났으니 이미 일어난 일을 한탄해 봤자 소용없습니다,아이는 부엌 바닥에 쏟아진 우유를 보고 울었습니다,이미 일어난 일을 한탄해,쏟아진 우유를 보고 울었습니다,现在截止日期已经过去了，就没必要[[为过去的事生气了]]。,小孩[[把牛奶撒]]到地上就[[哭了]]。,现在截止日期已经过去了，就没必要为过去的事生气了。,小孩把牛奶撒到地上就哭了。,为过去的事生气了,把牛奶撒 哭了,이제 마감 시간이 지났기 때문에 엎질러진 우유를 원망하는 것은 의미가 없습니다.,그 어린 아이는 부엌 바닥에 흘린 우유 때문에 울고 있었다.,울어봤자 소용없는 일에 눈물 흘리기,이제 임기가 지나서 유가 우유를 비워서 울는 것은 쓸모가 없습니다.,어린 아이는 부엌 바닥에 젖을 흘린 것에 대해 울고 있었습니다.,젖을 흘려 울고
cup of tea,to like something,"Skydiving is [[not my cup of tea]], I prefer calmer activities","This green tea is [[not my cup of tea]], I ordered black tea","Skydiving is not my cup of tea, I prefer calmer activities","This green tea is not my cup of tea, I ordered black tea",not my cup of tea,"스카이 다이빙은 [[제 취향에는 맞지 않습니다]], 저는 평온한 활동을 더 선호합니다","이 녹차는 제가 [[차]]가 아닙니다, 전 홍차를 주문했습니다","스카이 다이빙은 제 취향에는 맞지 않습니다, 저는 평온한 활동을 더 선호합니다","이 녹차는 제가 차가 아닙니다, 전 홍차를 주문했습니다",제 취향에는 맞지 않습니다,차,[[我不喜欢]]跳伞，我更喜欢更轻松的活动。,[[我不喜欢]]绿茶，我点了红茶。,我不喜欢跳伞，我更喜欢更轻松的活动。,我不喜欢绿茶，我点了红茶。,我不喜欢,我不喜欢,"스카이다이빙은 제 취향이 아니에요, 더 평온한 활동을 선호해요.",이 녹차는 제가 원하는 차가 아닙니다. 저는 홍차를 주문했어요.,나의 취향이 아니다,"스카이 다이빙은 내 차잔이 아니라, 좀 더 조용한 활동을 선호합니다.",이 녹차는 내 차잔이 아니라 검은 차를 주문했어요,내 차잔이 아니야
cut and dried,ready-made,"With her impressive qualifications, it was [[a cut and dried decision]] to hire her",The process of making fruit leather involves [[a cut and dried decision]] with the fruit,"With her impressive qualifications, it was a cut and dried decision to hire her",The process of making fruit leather involves a cut and dried decision with the fruit,a cut and dried decision,그녀의 뛰어난 자격 덕에 그녀를 고용하는 것은 [[변경 불가능한 결정]]이었습니다,과일 가죽을 만드는 과정에는 과일을 [[잘라서 말리는 결정]]이 포함되어 있습니다,그녀의 뛰어난 자격 덕에 그녀를 고용하는 것은 변경 불가능한 결정이었습니다,과일 가죽을 만드는 과정에는 과일을 잘라서 말리는 결정이 포함되어 있습니다,변경 불가능한 결정,잘라서 말리는 결정,她各方面都很不错，雇佣她是[[显而易见的决定]]。,做水果皮的过程中需要[[一个切和晾干的决定]]。,她各方面都很不错，雇佣她是显而易见的决定。,做水果皮的过程中需要一个切和晾干的决定。,显而易见的决定,一个切和晾干的决定,그녀의 인상적인 자격 때문에 그녀를 고용하는 것은 명백한 결정이었습니다.,과일 가죽을 만드는 과정은 과일을 자르고 말리는 결정을 포함합니다.,단순 명료한 결정,"그녀의 인상적인 자격으로, 그녀를 고용하는 것은 매우 어려운 결정이었습니다",과일 가죽을 만드는 과정 은 과일 을 깎고 건조 하는 것 을 포함 합니다,단절 및 건조된 결정
cut coat according to cloth,"adapt to one's circumstances, make sure one's plans are appropriate to one's resources.",They [[cut their coat according to their cloth]] by living within their means,The tailor [[cut their coat according to their cloth]] to avoid wasting fabric,They cut their coat according to their cloth by living within their means,The tailor cut their coat according to their cloth to avoid wasting fabric,cut their coat according to their cloth,그들은 그들의 수입에 맞게 살아가며 [[자신의 상황에 맞게 행동했습니다]],재단사는 천을 낭비하지 않기 위해서 [[옷을 자신의 천 크기에 맞게 잘랐습니다]],그들은 그들의 수입에 맞게 살아가며 자신의 상황에 맞게 행동했습니다,재단사는 천을 낭비하지 않기 위해서 옷을 자신의 천 크기에 맞게 잘랐습니다,자신의 상황에 맞게 행동했습니다,옷을 자신의 천 크기에 맞게 잘랐습니다,他们[[量入为出]]。,裁缝[[按照布料来做大衣]]，以减少浪费。,他们量入为出。,裁缝按照布料来做大衣，以减少浪费。,量入为出,按照布料来做大衣,"그들은 현실을 인식하고 결코 낭비하지 않으며, 그들의 수입에 맞게 생활하여 옷에 맞게 자르는 것처럼 그들의 코트를 자른다.",재단사는 천 낭비를 피하기 위해 그들의 옷을 그들의 천에 맞게 자르셨다.,자기 천으로 옷을 맞추다,그들은 그들의 옷에 따라 자리 그들의 자비를 살,꾼 은 옷 을 낭비 하지 않기 위해 옷 에 따라 털 을 자르고,그들의 털을 그들의 옷에 따라 잘라
cut corners,"economise on time, money, materials or effort, perhaps unwisely","To save time and money, they [[cut corners on the project]] by using cheaper materials",The carpenter [[cut corners on the project]] to create a rounded shape,"To save time and money, they cut corners on the project by using cheaper materials",The carpenter cut corners on the project to create a rounded shape,cut corners on the project,시간과 돈을 절약하기 위해 그들은 더 싼 재료를 사용하여 [[프로젝트의 절차를 무시하고 지름길을 택했습니다]],목수는 둥근 모양을 만들기 위해서 작업 중인 [[프로젝트의 모서리를 깎았습니다]],시간과 돈을 절약하기 위해 그들은 더 싼 재료를 사용하여 프로젝트의 절차를 무시하고 지름길을 택했습니다,목수는 둥근 모양을 만들기 위해서 작업 중인 프로젝트의 모서리를 깎았습니다,프로젝트의 절차를 무시하고 지름길을 택했습니다,프로젝트의 모서리를 깎았습니다,为了省时省钱，他们用便宜的材料[[投机取巧]],木匠[[在项目上砍掉了边角]]，做了一个圆形。,为了省时省钱，他们用便宜的材料投机取巧,木匠在项目上砍掉了边角，做了一个圆形。,投机取巧,在项目上砍掉了边角,"시간과 돈을 절약하기 위해, 그들은 프로젝트에서 더 저렴한 재료를 사용하여 지름길을 택했습니다.",목수는 둥근 형태를 만들기 위해 프로젝트에서 모서리를 잘라냈습니다.,프로젝트에서 지름길을 찾다,"시간 과 돈 을 절약 하기 위해, 더 저렴한 재료를 사용 하여 프로젝트 의 각도를 줄인다",목사는 둥근 모양을 만들기 위해 그 도형에 각을 자르고,프로젝트의 각도를 절단
