idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt,p_l_he_gpt
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,"He always supports the boss's decisions, showing that he [[knows which side his bread is buttered]]",He carefully observed the sandwich and [[knows which side his bread is buttered]] to avoid getting his hands greasy,"He always supports the boss's decisions, showing that he knows which side his bread is buttered",He carefully observed the sandwich and knows which side his bread is buttered to avoid getting his hands greasy,knows which side his bread is buttered,"Er weiß, auf welcher Seite sein Brot bestrichen ist.","Er unterstützt immer die Entscheidungen des Chefs und zeigt damit, dass er weiß, auf welcher Seite sein Brot bestrichen ist.","Er beobachtete das Sandwich sorgfältig und weiß, auf welcher Seite sein Brot bestrichen ist, um zu vermeiden, dass er sich die Hände schmutzig macht.",יודע איזה צד של הלחם שלו מומחה.,"הוא תמיד תומך בהחלטות המנהל, מראה שהוא יודע על איזו צד הלחמניות שלו מפוזרות.",הוא עקב בזהירות אחרי הכרובית ויודע על איזו צדדי הלחם הוא מזין חמאה כדי למנוע מלככב ידיים שמנות.
knowing which way the wind blows,this means that you should know how things are developing and be prepared for the future,He made a wise decision by [[knowing which way the wind blows]] in the company,"As an experienced sailor, he was skilled at [[knowing which way the wind blows]]",He made a wise decision by knowing which way the wind blows in the company,"As an experienced sailor, he was skilled at knowing which way the wind blows",knowing which way the wind blows,"zu wissen, wie der Wind weht","Er traf eine kluge Entscheidung, indem er wusste, wie der Wind im Unternehmen weht.","Als erfahrener Segler war er geschickt darin, zu wissen, aus welcher Richtung der Wind weht.",לדעת לאיזה כיוון הרוח נושבת,הוא קיבל החלטה חכמה על ידי ידיעת הכיוון שבו נושב הרוח בחברה.,"כמלווה ימי מנוסה, הוא היה מיומן ביכולת להבין לאיזו כיוון הרוח נושבת."
lead astray,make someone act or think in a wrong or foolish manner.,The false information [[led them astray]] in their investigation,The broken compass [[led them astray]] in the dense forest,The false information led them astray in their investigation,The broken compass led them astray in the dense forest,led them astray,Führte sie in die Irre.,Die falschen Informationen haben sie bei ihrer Untersuchung in die Irre geführt.,Der kaputte Kompass hat sie im dichten Wald in die Irre geführt.,הובילם לתפילת עגל.,המידע השקרי הוביל אותם לטעות בחקירתם.,המצפן השבור הוביל אותם לתפוס דרך לא נכונה ביער העמוס.
lean towards,to be interested in something,"After considering the pros and cons, she [[was leaning towards that option]]","While standing near the table, he [[was leaning towards that option]] to get a closer look","After considering the pros and cons, she was leaning towards that option","While standing near the table, he was leaning towards that option to get a closer look",was leaning towards that option,Ich tendierte zu dieser Option.,Nach Abwägung der Vor- und Nachteile tendierte sie zu dieser Option.,"Während er in der Nähe des Tisches stand, lehnte er sich zu dieser Option, um sie genauer anzusehen.",התכוונתי לאפשרות הזאת.,"לאחר ששקלה את היתרונות והחסרונות, היא התכוונה לאפשרות זו.","בזמן שעמד ליד השולחן, הוא התעמק לכיוון האפשרות הזאת כדי לקבל מבט קרוב יותר."
leaps and bounds,progress very quickly,"After attending the workshop, her skills [[made progress in leaps and bounds]]",The kangaroo [[made progress in leaps and bounds]] across the field,"After attending the workshop, her skills made progress in leaps and bounds",The kangaroo made progress in leaps and bounds across the field,made progress in leaps and bounds,machte Fortschritte in Riesenschritten,"Nachdem sie am Workshop teilgenommen hatte, machten ihre Fähigkeiten enorme Fortschritte.",Das Känguru machte Fortschritte in großen Sprüngen über das Feld.,עשה התקדמות בקפיצות ומגבלות,"לאחר השתתפותה בסדנה, היכולות שלה התקדמו בקפיצות ומגבירות.",הקנגורו התקדם בקפיצות וקפיצות דרך השדה.
learn to walk before you run,to take smaller steps initially,You should [[learn to walk before you run]] when it comes to mastering a new skill,"As a toddler, you must [[learn to walk before you run]] to avoid falling",You should learn to walk before you run when it comes to mastering a new skill,"As a toddler, you must learn to walk before you run to avoid falling",learn to walk before you run,"Lerne zuerst laufen, bevor du rennst.","Du solltest lernen zu gehen, bevor du rennst, wenn es darum geht, eine neue Fähigkeit zu meistern.","Als Kleinkind musst du lernen zu laufen, bevor du rennst, um zu vermeiden, dass du fällst.",למד ללכת לפני שתרוץ,עליך ללמוד ללכת לפני שתרוץ כשמדובר בלמידת מיומנות חדשה.,"כתינוק, עליך ללמוד ללכת לפני שתרוץ כדי למנוע נפילות."
leave at the altar,decide not to marry someone at the very last moment,[[He left her at the altar]] when he decided not to show up for their wedding,[[He left her at the altar]] to fetch the forgotten wedding rings from their car,He left her at the altar when he decided not to show up for their wedding,He left her at the altar to fetch the forgotten wedding rings from their car,He left her at the altar,Er hat sie am Altar stehen lassen.,"Er hat sie am Altar stehen lassen, als er beschloss, nicht zu ihrer Hochzeit zu erscheinen.","Er hat sie am Altar stehen lassen, um die vergessenen Eheringe aus ihrem Auto zu holen.",הוא עזב אותה בחופה,הוא עזב אותה בחופה כשהחליט שלא להופיע לחתונם.,הוא עזב אותה בחופה כדי להביא את טבעות הנישואין השכוחות מהרכב שלהם.
leg up,give or receive assistance to achieve a goal,The scholarship [[gave her a leg up]] in her pursuit of higher education,He [[gave her a leg up]] to help her climb over the fence,The scholarship gave her a leg up in her pursuit of higher education,He gave her a leg up to help her climb over the fence,gave her a leg up,gab ihr einen Schubs.,Das Stipendium gab ihr einen Vorteil bei ihrem Streben nach höherer Bildung.,"Er gab ihr eine Stütze, um ihr zu helfen, über den Zaun zu klettern.",נתן לה עזרה.,המלגה סייעה לה להתקדם במסלול הלימודים שלה לרמות גבוהות יותר.,הוא עזר לה לטפס על הגדר.
let the cat out of the bag,to let a secret out in the open,He accidentally [[let the cat out of the bag]] about the surprise party,She opened the bag and [[let the cat out of the bag]] after bringing it home from the shelter,He accidentally let the cat out of the bag about the surprise party,She opened the bag and let the cat out of the bag after bringing it home from the shelter,let the cat out of the bag,Die Katze aus dem Sack lassen.,Er hat versehentlich das Geheimnis der Überraschungsparty ausgeplaudert.,"Sie öffnete die Tasche und ließ die Katze aus der Tasche, nachdem sie sie aus dem Tierheim mit nach Hause gebracht hatte.",תגלה את הסוד,הוא בטעות גילה את הסוד על מסיבת ההפתעה.,פתחה את התיק ושחררה את החתול מהתיק לאחר שהביאה אותו הביתה מהמקלט.
lick his wounds,"to try to recover your confidence or spirit after a defeat, failure or disappointment",He [[licked his wounds after the fight]] by taking some time to recover from the emotional blow,The injured dog [[licked his wounds after the fight]] with another canine,He licked his wounds after the fight by taking some time to recover from the emotional blow,The injured dog licked his wounds after the fight with another canine,licked his wounds after the fight,Leckte nach dem Kampf seine Wunden.,"Er leckte nach dem Kampf seine Wunden, indem er sich Zeit nahm, um sich von dem emotionalen Schlag zu erholen.",Der verletzte Hund leckte seine Wunden nach dem Kampf mit einem anderen Hund.,ליקק את פצעיו לאחר הקרב.,ליקק את פצעיו לאחר הקרב על ידי לקיחת זמן להתאושש מהמכה הרגשית.,הכלב הפצוע תרגם את פצעיו לאחר הקרב עם כלב אחר.
lick your lips,to show that you're excited about something and are eager for it to happen,[[They licked their lips]] in anticipation of the delicious meal,"After eating the ice cream, [[they licked their lips]] to clean off the remaining traces",They licked their lips in anticipation of the delicious meal,"After eating the ice cream, they licked their lips to clean off the remaining traces",They licked their lips,Sie leckten sich die Lippen.,Sie leckten sich in Vorfreude auf das köstliche Essen die Lippen.,"Nachdem sie das Eis gegessen hatten, leckten sie sich die Lippen, um die verbleibenden Spuren zu entfernen.",הם לחצו את שפתותיהם,הם לחצו את שפתותיהם בציפייה לארוחה טעימה.,"לאחר שאכלו את הגלידה, הם לחצו את שפתותיהם כדי לנקות את העקבות הנותרות."
lie low,"To go out of sight, usually after having done something bad.","After the controversy, [[he decided to lie low]] and avoid the media","During the game of hide and seek, [[he decided to lie low]] in the tall grass","After the controversy, he decided to lie low and avoid the media","During the game of hide and seek, he decided to lie low in the tall grass",he decided to lie low,"Er beschloss, sich bedeckt zu halten.","Nach der Kontroverse beschloss er, sich zurückzuhalten und die Medien zu meiden.","Während des Versteckspiels beschloss er, sich im hohen Gras zu verstecken.",הוא החליט להשאר בצד.,"אחרי הפולמוס, הוא החליט להשאר בצד ולהימנע מהתקשורת.","במשחק הבוהן, הוא החליט להתחבא בדשא הגבוה."
lights are on but nobody is home,used to describe a stupid person.,"When I tried to explain the situation to him, it seemed like [[the lights are on but nobody is home]]",I walked past the house and noticed that [[the lights are on but nobody is home]],"When I tried to explain the situation to him, it seemed like the lights are on but nobody is home",I walked past the house and noticed that the lights are on but nobody is home,the lights are on but nobody is home,"Die Lichter sind an, aber niemand ist zu Hause.","Als ich versuchte, ihm die Situation zu erklären, schien es, als ob die Lichter an sind, aber niemand zu Hause ist.","Ich ging am Haus vorbei und bemerkte, dass die Lichter an sind, aber niemand zu Hause ist.",האורות דולקים אבל אין אף אחד בבית,"כשניסיתי להסביר לו את המצב, נראה כאילו האורות דולקות אבל אין אף אחד בבית.",התקדמתי מעבר לבית ושם לבתי שהאורות דלוקים אבל אין אף אחד בבית.
line in the sand,a boundary beyond which one cannot proceed without consequences,He decided [[to draw a line in the sand]] and confront his coworker about the issue,"While playing at the beach, the children decided [[to draw a line in the sand]] to divide their territories",He decided to draw a line in the sand and confront his coworker about the issue,"While playing at the beach, the children decided to draw a line in the sand to divide their territories",to draw a line in the sand,eine Linie im Sand ziehen,"Er entschied sich, eine Linie im Sand zu ziehen und seinen Kollegen mit dem Problem zu konfrontieren.","Während sie am Strand spielten, beschlossen die Kinder, eine Linie im Sand zu ziehen, um ihre Territorien zu teilen.",לצייר קו בחול,הוא החליט לצייר קו בחול ולהתמודד עם עמיתו לגבי הנושא.,"בזמן שהילדים שיחקו בחוף הים, הם החליטו לצייר קו בחול כדי לחלק את השטחים שלהם."
long in the tooth,To get too old for something.,He's [[getting long in the tooth]] and might retire soon,"The horse was [[getting long in the tooth]] as it aged, making it easier to determine its age",He's getting long in the tooth and might retire soon,"The horse was getting long in the tooth as it aged, making it easier to determine its age",getting long in the tooth,in die Jahre kommen,Er wird langsam alt und könnte bald in Rente gehen.,"Das Pferd wurde im Alter zahnloser, was es einfacher machte, sein Alter zu bestimmen.",מתחיל להזדקן,הוא מתקדם בגיל ועשוי לפרוש בקרוב.,"הסוס היה מתבגר וגם השיניים שלו היו מאריכות, מה שהקל על לקבוע את גילו."
long run,far away in the future,Investing in education will pay off [[in the long run]],The marathon was [[in the long run]] category of races,Investing in education will pay off in the long run,The marathon was in the long run category of races,in the long run,auf lange Sicht,In Bildung zu investieren wird sich langfristig auszahlen.,Der Marathon war in der Kategorie der Langstreckenrennen.,בטווח הארוך,השקעה בחינוך תשווה את עצמה בטווח הארוך,המרתון היה בקטגוריית המרוצים הארוכים.
look before you leap,to make sure that everything is alright before doing something important which you cannot revert,"When making a big decision, always remember [[to look before you leap]]","While standing on the edge of the diving board, he was reminded [[to look before you leap]]","When making a big decision, always remember to look before you leap","While standing on the edge of the diving board, he was reminded to look before you leap",to look before you leap,"Erst prüfen, dann springen.","Wenn Sie eine wichtige Entscheidung treffen, denken Sie immer daran, zuerst zu schauen, bevor Sie springen.","Während er am Rand des Sprungbretts stand, wurde er daran erinnert, dass man erst schauen sollte, bevor man springt.",להסתכל לפני שאתה קופץ,"כשאתה עומד לקבל החלטה חשובה, תזכור להסתכל לפני שאתה קופץ.","כשעמד על קצה לוח הקפיצה, זכרו להסתכל לפני שתקפצו."
looked through colored glasses,to look the things not as they are; having a heavily biased worldview,She always [[looked through colored glasses]] when it came to her children's achievements,"During the art class, we [[looked through colored glasses]] to observe the effects on the painting",She always looked through colored glasses when it came to her children's achievements,"During the art class, we looked through colored glasses to observe the effects on the painting",looked through colored glasses,Sah durch farbige Gläser.,"Sie sah immer durch eine rosarote Brille, wenn es um die Leistungen ihrer Kinder ging.","Während des Kunstunterrichts schauten wir durch farbige Gläser, um die Auswirkungen auf das Gemälde zu beobachten.",הסתכל דרך משקפיים צבעוניים,היא תמיד הסתכלה דרך כוסות מסוננות כשהגיע להישגיהם של הילדים שלה.,"במהלך שיעורי האמנות, חקרנו את הציור בעזרת משקפיים צבעוניות כדי לראות את ההשפעות על הציור."
loose cannon,somebody whose activities are uncommon and out of control,"After losing his job, he [[became a loose cannon]] and started causing problems","During the battle reenactment, the replica [[became a loose cannon]] when it broke free from its mount","After losing his job, he became a loose cannon and started causing problems","During the battle reenactment, the replica became a loose cannon when it broke free from its mount",became a loose cannon,Wurde eine lose Kanone.,"Nachdem er seinen Job verloren hatte, wurde er unberechenbar und begann Probleme zu verursachen.","Während der Schlachtnachstellung wurde die Replik zur losen Kanone, als sie sich von ihrer Halterung löste.",הפך לפצצת זמן,"לאחר שאיבד את עבודתו, הוא הפך לפורע והתחיל לגרום לבעיות.","במהלך המחזור הצבאי, המחזור הפך לפצצת זמן כשהוא נפרד מתוך התקן שלו."
lose your marbles,strange behaviors.,"After working non-stop for days, he finally [[lost his marbles]] and started talking nonsense","During the game, he accidentally [[lost his marbles]] when the bag ripped open","After working non-stop for days, he finally lost his marbles and started talking nonsense","During the game, he accidentally lost his marbles when the bag ripped open",lost his marbles,hat nicht mehr alle Tassen im Schrank.,"Nachdem er tagelang ununterbrochen gearbeitet hatte, verlor er schließlich den Verstand und fing an, Unsinn zu reden.","Während des Spiels hat er versehentlich seine Murmeln verloren, als der Beutel aufgerissen ist.",איבד את הכדוריות שלו,"לאחר שעבד בלי הפסקה למספר ימים, הוא סוף סוף איבד את הכדורים שלו והתחיל לדבר בטוראות.","במהלך המשחק, הוא איבד בטעות את הכדוריות שלו כשהשקית נקרעה."
lower the bar,to lower standards or expectations,The company [[lowered the bar for everyone]] by reducing the performance expectations,The gym instructor [[lowered the bar for everyone]] during the limbo competition,The company lowered the bar for everyone by reducing the performance expectations,The gym instructor lowered the bar for everyone during the limbo competition,lowered the bar for everyone,Senkte die Messlatte für alle.,"Das Unternehmen senkte die Messlatte für alle, indem es die Leistungserwartungen reduzierte.",Der Fitnesstrainer senkte die Stange für alle während des Limbo-Wettbewerbs.,הוריד את הסף עבור כולם,החברה הורידה את הסף עבור כולם על ידי הפחתת ציפיות הביצועים.,המדריך בחדר הכושר הוריד את המוט עבור כולם בתחרות הלימבו.
lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,"When I heard the sad news, [[I had a lump in my throat]] and couldn't speak","After swallowing a large piece of food, [[I had a lump in my throat]] and needed water","When I heard the sad news, I had a lump in my throat and couldn't speak","After swallowing a large piece of food, I had a lump in my throat and needed water",I had a lump in my throat,Ich hatte einen Kloß im Hals.,"Als ich die traurigen Nachrichten hörte, hatte ich einen Kloß im Hals und konnte nicht sprechen.","Nachdem ich ein großes Stück Essen geschluckt hatte, hatte ich einen Kloß im Hals und brauchte Wasser.",היה לי גודש בגרון,"כששמעתי את החדשות העצובות, הייתה לי גודש בגרון ולא יכולתי לדבר.","לאחר בליעת חתיכה גדולה של אוכל, הייתה לי גוש בגרון והייתי צריך מים."
make a song and dance,if someone complains in an annoying way or becomes unnecessarily excited about something unimportant,She [[made a song and dance about it]] when she found out she won the lottery,The performers [[made a song and dance about it]] during the musical's finale,She made a song and dance about it when she found out she won the lottery,The performers made a song and dance about it during the musical's finale,made a song and dance about it,machte ein großes Theater darum,"Sie machte ein großes Aufheben davon, als sie herausfand, dass sie im Lotto gewonnen hatte.",Die Darsteller machten während des Finales des Musicals ein Lied und Tanz darüber.,עשה שיר ומחול על כך,היא עשתה שיר וריקוד על כך כשהיא גילתה שזכתה בגרלת הלוטו.,הבמאים עשו שיר וריקוד על כך בסיום המחזמר.
make ends meet,make sufficient money to survive on,"After losing her job, she [[was struggling to make ends meet]] and pay her bills",The tailor [[was struggling to make ends meet]] when sewing the two pieces of fabric together,"After losing her job, she was struggling to make ends meet and pay her bills",The tailor was struggling to make ends meet when sewing the two pieces of fabric together,was struggling to make ends meet,"Ich hatte Schwierigkeiten, über die Runden zu kommen.","Nachdem sie ihren Job verloren hatte, kämpfte sie darum, über die Runden zu kommen und ihre Rechnungen zu bezahlen.","Der Schneider hatte Schwierigkeiten, über die Runden zu kommen, als er die beiden Stoffstücke zusammen nähte.",היה נאבק לסיים את החודש בכסף,"לאחר שאיבדה את עבודתה, היא נאבקה כדי לסיים את החודש ולשלם את החשבונות שלה.",התופר היה מתקשה לסיים את החוטים כשהוא תפר את שתי חתיכות הבד יחד.
make ones bed and lie on it,to be responsible for what you have done and accept the results,[[They made their bed and lied on it]] when they decided to invest in that risky business,"After tidying up the room, [[they made their bed and lied on it]] to take a nap",They made their bed and lied on it when they decided to invest in that risky business,"After tidying up the room, they made their bed and lied on it to take a nap",They made their bed and lied on it,Sie haben ihr Bett gemacht und darin geschlafen.,"Sie haben ihr Bett gemacht und darin gelegen, als sie beschlossen haben, in dieses riskante Geschäft zu investieren.","Nachdem sie das Zimmer aufgeräumt hatten, machten sie ihr Bett und legten sich darauf, um ein Nickerchen zu machen.",הם עשו את המיטה שלהם והתכרבלו עליה.,הם עשו את מיטתם ושכבו עליה כשהחליטו להשקיע בעסק סוכן.,"לאחר שסדרו את החדר, הם ערכו את המיטה והתפשטו עליה כדי לישון קצת."
makes his hackles rise,to make you angry,The sound of nails on a chalkboard [[makes his hackles rise]],"When the dog senses danger, it [[makes his hackles rise]] on his back",The sound of nails on a chalkboard makes his hackles rise,"When the dog senses danger, it makes his hackles rise on his back",makes his hackles rise,lässt seine Nackenhaare aufstellen,Das Geräusch von Nägeln auf einer Tafel lässt seine Nackenhaare hochstehen.,"Wenn der Hund Gefahr spürt, lässt er seine Nackenhaare aufstellen.",מעלה את השיערות שלו,קול ציפורניים על לוח מורים מעלה את השיער בגוף שלו.,"כשהכלב מרגיש סכנה, הוא מעלה את השיער בגבו."
makes my ears burn,"to be embarrassed by what you hear, especially if the conversation is about you",Hearing people gossip about me [[makes my ears burn]],Standing too close to the bonfire [[makes my ears burn]],Hearing people gossip about me makes my ears burn,Standing too close to the bonfire makes my ears burn,makes my ears burn,lässt meine Ohren brennen,"Wenn hörende Menschen über mich tratschen, brennen meine Ohren.",Zu nah am Lagerfeuer zu stehen lässt meine Ohren brennen.,מגרים לי את האוזניים,שמיעת דברי לשון הרע עליי מצמיחה לי להק באוזניים.,העמידה קרוב מדי למדורה מגרמת לאזני להישרף.
man's best friend,"It refers to animals that are of use to human beings, mostly used to address dogs.",The loyal dog is often considered [[a man's best friend]],"He wrote a book about his childhood, where he described his brother as [[a man's best friend]]",The loyal dog is often considered a man's best friend,"He wrote a book about his childhood, where he described his brother as a man's best friend",a man's best friend,Der beste Freund des Menschen.,Der treue Hund wird oft als der beste Freund des Menschen betrachtet.,"Er schrieb ein Buch über seine Kindheit, in dem er seinen Bruder als den besten Freund eines Mannes beschrieb.",החבר הכי טוב של האדם,הכלב הנאמן נחשב לעתים קרובות לחבר הכי טוב של האדם.,"הוא כתב ספר על ילדותו, שם הוא תאר את אחיו כחבר הכי טוב שלו."
mend fences,to try and improve a bad relationship with another party,"After the argument, he started [[mending fences with her]] by apologizing",The farmer spent the afternoon [[mending fences with her]] to keep the animals inside,"After the argument, he started mending fences with her by apologizing",The farmer spent the afternoon mending fences with her to keep the animals inside,mending fences with her,den Zaun mit ihr reparieren,"Nach dem Streit begann er, sich bei ihr zu entschuldigen und die Beziehung zu kitten.","Der Bauer verbrachte den Nachmittag damit, Zäune mit ihr zu reparieren, um die Tiere drinnen zu halten.",תיקון הגדר עם היא,"אחרי הווכחה, הוא התחיל לתקן את הגדרים עם היא על ידי התנצלות.",החקלאית בילתה את הצהריים בתיקוני הגדרות עם הכליות שלה כדי לשמור על הבעלי חיים בתוכם.
miles away,unaware of the current situation,"During the meeting, her thoughts [[seemed miles away]] from the topic",The mountain peak [[seemed miles away]] from our current location,"During the meeting, her thoughts seemed miles away from the topic",The mountain peak seemed miles away from our current location,seemed miles away,schien meilenweit entfernt,Während des Treffens schienen ihre Gedanken meilenweit vom Thema entfernt zu sein.,Der Berggipfel schien Meilen entfernt von unserem aktuellen Standort zu sein.,נראה רחוק מאוד,"במהלך הפגישה, המחשות שלה נראו רחוקות מהנושא.",הפסגה של ההר נראית כמיילים ממקום הנוכחי שלנו.
mind your own beeswax,do not interfere into someone else's matter,"Instead of gossiping about others, focus [[on minding your own beeswax]]","While working at the apiary, concentrate [[on minding your own beeswax]] production","Instead of gossiping about others, focus on minding your own beeswax","While working at the apiary, concentrate on minding your own beeswax production",on minding your own beeswax,Sich um seine eigenen Angelegenheiten kümmern.,"Statt über andere zu tratschen, konzentriere dich darauf, dich um deine eigenen Angelegenheiten zu kümmern.","Während der Arbeit in der Imkerei konzentriere dich darauf, dich um deine eigene Bienenwachsproduktion zu kümmern.",על להתעסק בעניינים שלך בלבד,"במקום לדבר על אחרים, תתמקד בדאגה לעניינים שלך.","בזמן העבודה בכוורת, מתמקדים בפיקוח על ייצור הדבש שלכם."
mind your own business,to look into your own matter,The neighbors [[were minding their own business]] and didn't notice the commotion next door,The entrepreneurs [[were minding their own business]] by managing their respective companies,The neighbors were minding their own business and didn't notice the commotion next door,The entrepreneurs were minding their own business by managing their respective companies,were minding their own business,Sie kümmerten sich um ihre eigenen Angelegenheiten.,Die Nachbarn kümmerten sich um ihre eigenen Angelegenheiten und bemerkten das Durcheinander nebenan nicht.,"Die Unternehmer kümmerten sich um ihr eigenes Geschäft, indem sie ihre jeweiligen Unternehmen leiteten.",הם דאגו לעסוק בעצמם,השכנים עסקו בעסם שלהם ולא שמו לב להמולה שקרת ליד הבית.,היזמים דאגו לעסוק בעסם שלהם על ידי ניהול החברות המתאימות שלהם.
miss the boat,miss a chance,[[She missed the boat on that opportunity]] by not applying for the job in time,[[She missed the boat on that opportunity]] to take the scenic river cruise,She missed the boat on that opportunity by not applying for the job in time,She missed the boat on that opportunity to take the scenic river cruise,She missed the boat on that opportunity,Sie hat diese Gelegenheit verpasst.,"Sie hat die Gelegenheit verpasst, indem sie sich nicht rechtzeitig für den Job beworben hat.","Sie hat die Gelegenheit verpasst, die malerische Flusskreuzfahrt zu machen.",היא החמיצה את הזדמנות הזאת.,היא החמיצה את הזדמנות הזאת על ידי שלא הגישה מועמדות לעבודה בזמן.,היא החמיצה את הסירה בהזדמנות לצאת לסיור בנהר הציורי.
more heat than light,to cause anger or intense reaction but doesn't clarify anything,The heated debate [[generated more heat than light]] and left everyone confused,The malfunctioning light bulb [[generated more heat than light]] and needed to be replaced,The heated debate generated more heat than light and left everyone confused,The malfunctioning light bulb generated more heat than light and needed to be replaced,generated more heat than light,erzeugte mehr Hitze als Licht,Die hitzige Debatte erzeugte mehr Hitze als Licht und ließ alle verwirrt zurück.,Die defekte Glühbirne erzeugte mehr Hitze als Licht und musste ausgetauscht werden.,ייצר יותר חום מאשר אור,הדיון התחמם יותר מדי והשאיר את כולם מבולבלים.,הנורה הפקידה יותר חום מאשר אור והייתה צריכה להיות מוחלפת.
my hands are full,someone is too busy or has too much going on to be able to do or become involved with anything else,"With three projects to manage and a presentation to prepare, [[my hands are full at the moment]]","Carrying a stack of books and a cup of coffee, [[my hands are full at the moment]]","With three projects to manage and a presentation to prepare, my hands are full at the moment","Carrying a stack of books and a cup of coffee, my hands are full at the moment",my hands are full at the moment,Meine Hände sind im Moment voll.,"Mit drei Projekten zu managen und einer Präsentation vorzubereiten, habe ich im Moment alle Hände voll zu tun.","Ich trage gerade einen Stapel Bücher und eine Tasse Kaffee, meine Hände sind im Moment voll.",הידיים שלי מלאות כרגע,"עם שלושה פרויקטים לנהל והכנת הצגה, הידיים שלי מלאות כרגע.","עם מספר ספרים על היד וכוס קפה, הידיים שלי מלאות כרגע."
nail biter,"a situation like a close contest, which induces anxiety or tension.",The final moments of the game were [[a real nail biter]] as both teams were neck and neck,"Watching her chew on her fingers during the movie, it was clear she was [[a real nail biter]]",The final moments of the game were a real nail biter as both teams were neck and neck,"Watching her chew on her fingers during the movie, it was clear she was a real nail biter",a real nail biter,ein echter Nagelbeißer,"Die letzten Momente des Spiels waren sehr spannend, da beide Teams gleichauf waren.","Als ich sah, wie sie während des Films auf ihren Fingern kaute, war es klar, dass sie eine richtige Nägelbeißerin war.",גרוטאת ציפורניים אמיתית,הרגעים האחרונים של המשחק היו ממש מפחידים כי שתי הקבוצות היו במעקב צמוד.,"צפייה בה נשכת על אצבעותיה במהלך הסרט, היה ברור שהיא מנקצת ציפורניים אמיתית."
nail in the coffin,"an action/event that will help bring about the death, end, or failure of something or someone",His resignation letter [[put the final nail in the coffin]] for the company's future,The undertaker [[put the final nail in the coffin]] before lowering it into the ground,His resignation letter put the final nail in the coffin for the company's future,The undertaker put the final nail in the coffin before lowering it into the ground,put the final nail in the coffin,Den letzten Nagel in den Sarg stecken.,Sein Rücktrittsschreiben war der letzte Nagel im Sarg für die Zukunft des Unternehmens.,"Der Bestatter setzte den letzten Nagel in den Sarg, bevor er ihn in die Erde senkte.",שים את המסמר האחרון בארון,מכתב ההתפטרות שלו הכניס את המסמר האחרון לקופסא לעתיד החברה.,הקברן הציב את המסמר הסופי בארון לפני שהוריד אותו לקרקע.
never looked back,"after an event which changed your life for the better, you continue to be happy with the situation","She quit her job and started her own business, and she [[never looked back after that]]",He walked away from the haunted house and [[never looked back after that]],"She quit her job and started her own business, and she never looked back after that",He walked away from the haunted house and never looked back after that,never looked back after that,Ich habe danach nie zurückgeschaut.,"Sie kündigte ihren Job und gründete ihr eigenes Unternehmen, und sie hat seitdem nie zurückgeschaut.",Er ging weg von dem Spukhaus und schaute nie wieder zurück.,לעולם לא הסתכלתי אחורה אחרי זה.,"היא עזבה את עבודתה והתחילה את העסק שלה, והיא לעולם לא הביט אחורה אחרי זה.",הוא הלך מהבית המטריד ולעולם לא הביט אחורה אחרי זה.
no spring chicken,Someone who's no longer young.,He realized he was [[not a spring chicken anymore]] when he couldn't keep up with the younger athletes,The farmer confirmed that the hen was [[not a spring chicken anymore]] as it had grown quite large,He realized he was not a spring chicken anymore when he couldn't keep up with the younger athletes,The farmer confirmed that the hen was not a spring chicken anymore as it had grown quite large,not a spring chicken anymore,kein Frühlingshuhn mehr,"Er erkannte, dass er kein junger Hüpfer mehr war, als er nicht mehr mit den jüngeren Athleten mithalten konnte.","Der Bauer bestätigte, dass die Henne kein Frühlingshuhn mehr war, da sie ziemlich groß geworden war.",לא עוף קיץ עוד,הוא הבין שהוא לא עוד ציפור קיץ כשלא הצליח להתחיל עם הספורטאים הצעירים יותר.,החקלאי אישר כי התרנגולת לא הייתה עוד ציפור צעירה מאחר שגדלה למדי.
not getting anywhere,to make no progress at all; not improving or advancing a particular situation,We were [[not getting anywhere with this]] project due to constant setbacks,"The car was stuck in the mud, and we were [[not getting anywhere with this]] vehicle",We were not getting anywhere with this project due to constant setbacks,"The car was stuck in the mud, and we were not getting anywhere with this vehicle",not getting anywhere with this,Ich komme mit diesem nicht weiter.,Wir kamen mit diesem Projekt aufgrund ständiger Rückschläge nicht voran.,Das Auto steckte im Schlamm fest und wir kamen mit diesem Fahrzeug nicht weiter.,לא מגיעים לשום מקום עם זה.,לא הצלחנו להתקדם עם הפרויקט הזה בגלל המכשולים התכופים.,הרכב נתקע בבוץ ולא הצלחנו להתקדם עם הרכב הזה.
