idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt
hold tongue,to keep quiet when one would rather speak,[[They held their tongue]] during the meeting to avoid causing conflict,"During the dental examination, [[they held their tongue]] to the side so the dentist could see better",They held their tongue during the meeting to avoid causing conflict,"During the dental examination, they held their tongue to the side so the dentist could see better",They held their tongue,Sie hielten ihre Zunge.,"Sie schwiegen während des Treffens, um Konflikte zu vermeiden."
hold your horses,to wait,"Before you jump to conclusions, [[hold your horses for a moment]] and listen to my explanation","As a carriage driver, it's important to [[hold your horses for a moment]] when stopping at an intersection","Before you jump to conclusions, hold your horses for a moment and listen to my explanation","As a carriage driver, it's important to hold your horses for a moment when stopping at an intersection",hold your horses for a moment,Warte einen Moment.,"Bevor du voreilige Schlüsse ziehst, halte einen Moment inne und höre meine Erklärung an."
hornets' nest,a violent situation or one with a lot of dispute,"By questioning the company's policies, he [[stirred up a hornets' nest]] among the employees","While clearing the backyard, she accidentally [[stirred up a hornets' nest]] and got stung","By questioning the company's policies, he stirred up a hornets' nest among the employees","While clearing the backyard, she accidentally stirred up a hornets' nest and got stung",stirred up a hornets' nest,einen Hornissenschwarm aufgescheucht,"Indem er die Unternehmenspolitik in Frage stellte, hat er unter den Mitarbeitern ein Wespennest aufgewirbelt."
hot potato,any subject which several folks are talking about and which is frequently argued,The politician [[handled the hot potato]] by addressing the controversial issue,"During the picnic, she [[handled the hot potato]] carefully to avoid burning her fingers",The politician handled the hot potato by addressing the controversial issue,"During the picnic, she handled the hot potato carefully to avoid burning her fingers",handled the hot potato,hat die heiße Kartoffel behandelt.,"Der Politiker hat die heikle Angelegenheit angepackt, indem er das kontroverse Thema angesprochen hat."
household name,to be very popular,"After her successful book series, [[she became a household name]] in the literary world","When the family decided to name their new puppy after her, [[she became a household name]]","After her successful book series, she became a household name in the literary world","When the family decided to name their new puppy after her, she became a household name",she became a household name,Sie wurde ein bekannter Name in jedem Haushalt.,Nach ihrer erfolgreichen Buchserie wurde sie ein bekannter Name in der literarischen Welt.
hung out to dry,"to abandon someone who is in difficulty, without giving any assistance or support","When the team failed to support her, she felt [[hung out to dry]]",The laundry was [[hung out to dry]] on the clothesline,"When the team failed to support her, she felt hung out to dry",The laundry was hung out to dry on the clothesline,hung out to dry,im Stich gelassen,"Als das Team sie nicht unterstützte, fühlte sie sich im Stich gelassen."
icing on the cake,when something good is added to another good thing that you already have,Getting a promotion was [[the icing on the cake]] after a successful year,She carefully spread [[the icing on the cake]] for her friend's birthday,Getting a promotion was the icing on the cake after a successful year,She carefully spread the icing on the cake for her friend's birthday,the icing on the cake,Das Tüpfelchen auf dem i.,Eine Beförderung war das Tüpfelchen auf dem i nach einem erfolgreichen Jahr.
in a fog,in a great confusion,"After the long meeting, he was [[lost in a fog]] and couldn't concentrate","While hiking, they were [[lost in a fog]] and couldn't find their way back","After the long meeting, he was lost in a fog and couldn't concentrate","While hiking, they were lost in a fog and couldn't find their way back",lost in a fog,verloren im Nebel,Nach dem langen Meeting war er in einem Nebel verloren und konnte sich nicht konzentrieren.
in a nutshell,to be brief and straight to the point.,[[She explained it in a nutshell]] so that everyone could understand the concept quickly,"As a creative challenge, [[she explained it in a nutshell]] by writing a tiny summary inside a walnut shell",She explained it in a nutshell so that everyone could understand the concept quickly,"As a creative challenge, she explained it in a nutshell by writing a tiny summary inside a walnut shell",She explained it in a nutshell,Sie erklärte es kurz und bündig.,"Sie erklärte es kurz und bündig, damit jeder das Konzept schnell verstehen konnte."
in a pickle,to be in a difficult situation,They [[found themselves in a pickle]] when they realized they had double-booked their appointments,The tiny figurines [[found themselves in a pickle]] when they were accidentally placed inside a jar of pickles,They found themselves in a pickle when they realized they had double-booked their appointments,The tiny figurines found themselves in a pickle when they were accidentally placed inside a jar of pickles,found themselves in a pickle,Sie befanden sich in einer Klemme.,"Sie befanden sich in der Klemme, als sie bemerkten, dass sie ihre Termine doppelt gebucht hatten."
in at the deep end,to start a new job or activity without being prepared for it,"On her first day at work, she [[was thrown in at the deep end]] with a challenging project","During swimming lessons, he [[was thrown in at the deep end]] of the pool to test his skills","On her first day at work, she was thrown in at the deep end with a challenging project","During swimming lessons, he was thrown in at the deep end of the pool to test his skills",was thrown in at the deep end,Ich wurde ins kalte Wasser geworfen.,An ihrem ersten Arbeitstag wurde sie mit einem anspruchsvollen Projekt ins kalte Wasser geworfen.
in bed with,"to work with a person or organisation, or being involved with them, in a way that causes other people to distrust you.",The company was accused of being [[in bed with the competition]] to manipulate prices,"The two athletes, who were also roommates, found themselves sharing a room and sleeping [[in bed with the competition]]",The company was accused of being in bed with the competition to manipulate prices,"The two athletes, who were also roommates, found themselves sharing a room and sleeping in bed with the competition",in bed with the competition,Im Bett mit der Konkurrenz.,"Das Unternehmen wurde beschuldigt, mit dem Wettbewerb gemeinsame Sache zu machen, um Preise zu manipulieren."
in black and white,printed form of a document,"To avoid any confusion, we decided [[to put it in black and white]] in the contract",The artist chose [[to put it in black and white]] for a more dramatic effect,"To avoid any confusion, we decided to put it in black and white in the contract",The artist chose to put it in black and white for a more dramatic effect,to put it in black and white,es schwarz auf weiß zu sagen,"Um jegliche Verwirrung zu vermeiden, haben wir beschlossen, es schwarz auf weiß im Vertrag festzuhalten."
in deep water,a very serious situation,"After making a costly mistake, [[he found himself in deep water]] with his boss","While swimming in the ocean, [[he found himself in deep water]] and struggled to stay afloat","After making a costly mistake, he found himself in deep water with his boss","While swimming in the ocean, he found himself in deep water and struggled to stay afloat",he found himself in deep water,Er befand sich in tiefem Wasser.,"Nachdem er einen teuren Fehler gemacht hatte, befand er sich in Schwierigkeiten mit seinem Chef."
in full swing,at a stage when the level of activity is at its highest,"When we arrived, [[the party was in full swing]] with everyone dancing and laughing",The pendulum experiment demonstrated that [[the party was in full swing]] when the ball reached its highest point,"When we arrived, the party was in full swing with everyone dancing and laughing",The pendulum experiment demonstrated that the party was in full swing when the ball reached its highest point,the party was in full swing,Die Party war in vollem Gange.,"Als wir ankamen, war die Party in vollem Gange, alle tanzten und lachten."
in hot water,in trouble or state of shame,He [[found himself in hot water]] after forgetting to submit the report on time,He accidentally [[found himself in hot water]] when he stepped into the scalding bathtub,He found himself in hot water after forgetting to submit the report on time,He accidentally found himself in hot water when he stepped into the scalding bathtub,found himself in hot water,Er geriet in Schwierigkeiten.,"Er geriet in Schwierigkeiten, nachdem er vergessen hatte, den Bericht rechtzeitig einzureichen."
in one's blood,a natural or inherited characteristic.,"She's a natural athlete, [[it's in her blood]]","The medication she took is now circulating, [[it's in her blood]]","She's a natural athlete, it's in her blood","The medication she took is now circulating, it's in her blood",it's in her blood,Es liegt in ihrem Blut.,"Sie ist eine natürliche Athletin, es liegt in ihrem Blut."
in the black,to not be in debt,"After months of struggling, our business is [[finally in the black]]",She wore a dark outfit and was [[finally in the black]] for the themed party,"After months of struggling, our business is finally in the black",She wore a dark outfit and was finally in the black for the themed party,finally in the black,Endlich im Schwarzen.,Nach Monaten des Kampfes ist unser Geschäft endlich in den schwarzen Zahlen.
in the cross hairs,in a position where one might receive severe criticism,"As the whistleblower, he found himself [[caught in the cross hairs]] of the company's retaliation","During the paintball match, she was [[caught in the cross hairs]] of her opponent's gun","As the whistleblower, he found himself caught in the cross hairs of the company's retaliation","During the paintball match, she was caught in the cross hairs of her opponent's gun",caught in the cross hairs,im Fadenkreuz erwischt,Als Whistleblower befand er sich im Fadenkreuz der Vergeltungsmaßnahmen des Unternehmens.
in the dark,"uninformed, a state of ignorance.",The employees [[were kept in the dark]] about the company's financial situation,"During the power outage, we [[were kept in the dark]] until the electricity came back",The employees were kept in the dark about the company's financial situation,"During the power outage, we were kept in the dark until the electricity came back",were kept in the dark,wurden im Dunkeln gehalten.,Die Mitarbeiter wurden im Dunkeln gelassen über die finanzielle Situation des Unternehmens.
in the doghouse,someone who is in disgrace and very unpopular at the moment,"After forgetting their anniversary, he was [[in the doghouse with her]] for a week",He crawled [[in the doghouse with her]] to retrieve the lost toy,"After forgetting their anniversary, he was in the doghouse with her for a week",He crawled in the doghouse with her to retrieve the lost toy,in the doghouse with her,Im Hundehaus bei ihr.,"Nachdem er ihren Jahrestag vergessen hatte, war er eine Woche lang bei ihr unten durch."
in the loop,to be aware of the information,"As a team member, I want to be [[kept in the loop]] about project updates",The rope was [[kept in the loop]] to secure the boat to the dock,"As a team member, I want to be kept in the loop about project updates",The rope was kept in the loop to secure the boat to the dock,kept in the loop,auf dem Laufenden gehalten,Als Teammitglied möchte ich über Projektaktualisierungen auf dem Laufenden gehalten werden.
in the red,more money going out than coming in,"Due to poor financial decisions, [[the company is in the red]]","During the paintball match, [[the company is in the red]] team","Due to poor financial decisions, the company is in the red","During the paintball match, the company is in the red team",the company is in the red,Die Firma ist in den roten Zahlen.,Aufgrund schlechter finanzieller Entscheidungen ist das Unternehmen in den roten Zahlen.
in touch,"to remain in contact with someone, especially when separated by time or distance","Even after moving to another city, we promised [[to stay in touch]]","During the team-building exercise, we had [[to stay in touch]] by holding hands","Even after moving to another city, we promised to stay in touch","During the team-building exercise, we had to stay in touch by holding hands",to stay in touch,in Kontakt bleiben,"Selbst nach dem Umzug in eine andere Stadt haben wir versprochen, in Kontakt zu bleiben."
it's a small world,meeting someone not expected to be at a certain place,"Running into my childhood friend in a foreign country, I thought [[it's a small world after all]]","Looking at the miniature globe in the store, I remarked, [[it's a small world after all]]","Running into my childhood friend in a foreign country, I thought it's a small world after all","Looking at the miniature globe in the store, I remarked, it's a small world after all",it's a small world after all,"Es ist eine kleine Welt, nach allem.","Als ich meinen Kindheitsfreund in einem fremden Land traf, dachte ich, dass die Welt doch klein ist."
jam on your face,"people who appear to be caught, embarrassed or found guilty","After making a mistake in the presentation, he [[had jam on his face]] in front of the whole team","While eating breakfast, he accidentally [[had jam on his face]] from the toast","After making a mistake in the presentation, he had jam on his face in front of the whole team","While eating breakfast, he accidentally had jam on his face from the toast",had jam on his face,hat Marmelade im Gesicht,"Nachdem er einen Fehler in der Präsentation gemacht hatte, hatte er vor dem ganzen Team Marmelade im Gesicht."
"judge, jury and executioner","people that are in charge of every decision made, and they have the power to be rid of whomever they choose","He [[was acting as judge, jury, and executioner]] when he made the decision without consulting anyone","In the dystopian play, the main character [[was acting as judge, jury, and executioner]] in a twisted legal system","He was acting as judge, jury, and executioner when he made the decision without consulting anyone","In the dystopian play, the main character was acting as judge, jury, and executioner in a twisted legal system","was acting as judge, jury, and executioner","Er handelte als Richter, Geschworener und Henker.","Er handelte als Richter, Geschworener und Henker, als er die Entscheidung ohne Rücksprache mit jemandem traf."
jump on the bandwagon,to start doing something because it is fashionable or profitable,"When the new trend became popular, everyone [[jumped on the bandwagon]]","During the parade, he [[jumped on the bandwagon]] to join the musicians","When the new trend became popular, everyone jumped on the bandwagon","During the parade, he jumped on the bandwagon to join the musicians",jumped on the bandwagon,sprang auf den Zug auf,"Als der neue Trend populär wurde, sprangen alle auf den Zug auf."
jungle out there,the situation is dangerous and is characterized by ruthless behavior and competition,"With so much competition in the job market, [[it's a jungle out there]]","As we entered the dense rainforest, our guide warned us, [[it's a jungle out there]]","With so much competition in the job market, it's a jungle out there","As we entered the dense rainforest, our guide warned us, it's a jungle out there",it's a jungle out there,Es ist ein Dschungel da draußen.,Mit so viel Konkurrenz auf dem Arbeitsmarkt ist es da draußen ein Dschungel.
jury's out,when there is no general agreement or consensus on something,"Regarding the new policy, [[the jury's out on that decision]], as people are still debating its effectiveness","During the court recess, [[the jury's out on that decision]], discussing the case in a separate room","Regarding the new policy, the jury's out on that decision, as people are still debating its effectiveness","During the court recess, the jury's out on that decision, discussing the case in a separate room",the jury's out on that decision,Die Jury hat bei dieser Entscheidung noch nicht entschieden.,"In Bezug auf die neue Politik ist das letzte Wort zu dieser Entscheidung noch nicht gesprochen, da die Menschen immer noch über ihre Wirksamkeit debattieren."
just off the boat,a person who is naive and inexperienced,"He was so naive and inexperienced, as if he was [[just off the boat]]","Soaking wet and carrying their luggage, they were [[just off the boat]] from their island trip","He was so naive and inexperienced, as if he was just off the boat","Soaking wet and carrying their luggage, they were just off the boat from their island trip",just off the boat,gerade von Bord gekommen,"Er war so naiv und unerfahren, als ob er gerade vom Boot gekommen wäre."
just what the doctor ordered,exactly what was wanted or needed,A relaxing vacation was [[just what the doctor ordered]] after a stressful year,The prescribed medication was [[just what the doctor ordered]] for her condition,A relaxing vacation was just what the doctor ordered after a stressful year,The prescribed medication was just what the doctor ordered for her condition,just what the doctor ordered,"genau das, was der Arzt verschrieben hat","Ein entspannender Urlaub war genau das, was der Arzt nach einem stressigen Jahr verschrieben hat."
keep at arm's length,keep distance from something or somebody,"Despite his attempts to get closer, [[she kept him at arm's length]] due to her cautious nature","During the self-defense training, [[she kept him at arm's length]] to maintain a safe distance","Despite his attempts to get closer, she kept him at arm's length due to her cautious nature","During the self-defense training, she kept him at arm's length to maintain a safe distance",she kept him at arm's length,Sie hielt ihn auf Abstand.,"Trotz seiner Versuche, näher zu kommen, hielt sie ihn aufgrund ihrer vorsichtigen Natur auf Abstand."
keep card close to chest,"be secretive or cautious, give nothing away","During the negotiations, [[they kept their cards close to their chest]] and didn't reveal their true intentions","While playing poker, [[they kept their cards close to their chest]] so no one could see their hand","During the negotiations, they kept their cards close to their chest and didn't reveal their true intentions","While playing poker, they kept their cards close to their chest so no one could see their hand",they kept their cards close to their chest,Sie hielten ihre Karten dicht an der Brust.,Während der Verhandlungen hielten sie ihre Karten dicht an der Brust und enthüllten ihre wahren Absichten nicht.
keep the wolf from the door,to have sufficient money to prevent starvation or hunger,"Working two jobs, she [[kept the wolf from the door]] and provided for her family","With a sturdy fence, the farmer [[kept the wolf from the door]] of his sheep pen","Working two jobs, she kept the wolf from the door and provided for her family","With a sturdy fence, the farmer kept the wolf from the door of his sheep pen",kept the wolf from the door,hielt den Wolf von der Tür fern,"Indem sie zwei Jobs hatte, hielt sie den Wolf von der Tür fern und sorgte für ihre Familie."
keep your nose clean,to stay out of trouble by not doing anything wrong,"To avoid getting into trouble, focus on [[keeping your nose clean]] at work","During allergy season, [[keeping your nose clean]] is essential for comfort","To avoid getting into trouble, focus on keeping your nose clean at work","During allergy season, keeping your nose clean is essential for comfort",keeping your nose clean,Die Nase sauber halten.,"Um Ärger zu vermeiden, konzentriere dich darauf, bei der Arbeit sauber zu bleiben."
kick the bucket,to die,"The old couple, inseparable in life, [[kicked the bucket together]] in their sleep","While cleaning the barn, they accidentally [[kicked the bucket together]] and spilled water everywhere","The old couple, inseparable in life, kicked the bucket together in their sleep","While cleaning the barn, they accidentally kicked the bucket together and spilled water everywhere",kicked the bucket together,sind zusammen von der Bildfläche verschwunden,"Das alte Paar, das im Leben unzertrennlich war, ist zusammen im Schlaf gestorben."
kick yourself,to be angry with yourself for something you have or have not done,They [[kicked themselves]] for not investing in the stock earlier,"During the yoga class, they accidentally [[kicked themselves]] while attempting a new pose",They kicked themselves for not investing in the stock earlier,"During the yoga class, they accidentally kicked themselves while attempting a new pose",kicked themselves,traten sich selbst,"Sie ärgerten sich, dass sie nicht früher in die Aktie investiert hatten."
kill two birds with one stone,accomplish two different things at the same time,"By combining our errands, we [[killed two birds with one stone]] and saved time","With a well-aimed throw, he [[killed two birds with one stone]] in the field","By combining our errands, we killed two birds with one stone and saved time","With a well-aimed throw, he killed two birds with one stone in the field",killed two birds with one stone,Zwei Fliegen mit einer Klappe schlagen.,"Indem wir unsere Besorgungen kombiniert haben, haben wir zwei Fliegen mit einer Klappe geschlagen und Zeit gespart."
kiss and make up,to become friendly again after an argument,"After the argument, he decided [[to kiss and make up with her]] to resolve their differences","During the play, the actors had [[to kiss and make up with her]] as part of the scene","After the argument, he decided to kiss and make up with her to resolve their differences","During the play, the actors had to kiss and make up with her as part of the scene",to kiss and make up with her,sich mit ihr versöhnen und küssen,"Nach dem Streit beschloss er, sie zu küssen und sich mit ihr zu versöhnen, um ihre Unterschiede zu lösen."
knee jerk reaction,an automatic response to something,His sudden outburst was [[a knee jerk reaction to the news]] of the company's bankruptcy,"The doctor tapped his patient's leg, causing [[a knee jerk reaction to the news]] of the reflex hammer",His sudden outburst was a knee jerk reaction to the news of the company's bankruptcy,"The doctor tapped his patient's leg, causing a knee jerk reaction to the news of the reflex hammer",a knee jerk reaction to the news,eine Reflexreaktion auf die Nachricht,Sein plötzlicher Ausbruch war eine Reflexreaktion auf die Nachricht vom Bankrott des Unternehmens.
knock on wood,tap knuckle on wood in order to avoid bad luck,"Hoping for good luck, [[she knocked on wood]] before the big presentation","To test the sturdiness of the table, [[she knocked on wood]]","Hoping for good luck, she knocked on wood before the big presentation","To test the sturdiness of the table, she knocked on wood",she knocked on wood,Sie klopfte auf Holz.,In der Hoffnung auf Glück klopfte sie vor der großen Präsentation auf Holz.
know the ropes,to know all the ways and means to get something done,"Having worked there for years, [[he knew the ropes well]] and could handle any task","As an experienced sailor, [[he knew the ropes well]] and could tie any knot","Having worked there for years, he knew the ropes well and could handle any task","As an experienced sailor, he knew the ropes well and could tie any knot",he knew the ropes well,Er kannte sich gut aus.,"Nachdem er dort jahrelang gearbeitet hatte, kannte er sich gut aus und konnte jede Aufgabe bewältigen."
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,"He always supports the boss's decisions, showing that he [[knows which side his bread is buttered]]",He carefully observed the sandwich and [[knows which side his bread is buttered]] to avoid getting his hands greasy,"He always supports the boss's decisions, showing that he knows which side his bread is buttered",He carefully observed the sandwich and knows which side his bread is buttered to avoid getting his hands greasy,knows which side his bread is buttered,"Er weiß, auf welcher Seite sein Brot bestrichen ist.","Er unterstützt immer die Entscheidungen des Chefs und zeigt damit, dass er weiß, auf welcher Seite sein Brot bestrichen ist."
knowing which way the wind blows,this means that you should know how things are developing and be prepared for the future,He made a wise decision by [[knowing which way the wind blows]] in the company,"As an experienced sailor, he was skilled at [[knowing which way the wind blows]]",He made a wise decision by knowing which way the wind blows in the company,"As an experienced sailor, he was skilled at knowing which way the wind blows",knowing which way the wind blows,"zu wissen, wie der Wind weht","Er traf eine kluge Entscheidung, indem er wusste, wie der Wind im Unternehmen weht."
lead astray,make someone act or think in a wrong or foolish manner.,The false information [[led them astray]] in their investigation,The broken compass [[led them astray]] in the dense forest,The false information led them astray in their investigation,The broken compass led them astray in the dense forest,led them astray,Führte sie in die Irre.,Die falschen Informationen haben sie bei ihrer Untersuchung in die Irre geführt.
lean towards,to be interested in something,"After considering the pros and cons, she [[was leaning towards that option]]","While standing near the table, he [[was leaning towards that option]] to get a closer look","After considering the pros and cons, she was leaning towards that option","While standing near the table, he was leaning towards that option to get a closer look",was leaning towards that option,Ich tendierte zu dieser Option.,Nach Abwägung der Vor- und Nachteile tendierte sie zu dieser Option.
leaps and bounds,progress very quickly,"After attending the workshop, her skills [[made progress in leaps and bounds]]",The kangaroo [[made progress in leaps and bounds]] across the field,"After attending the workshop, her skills made progress in leaps and bounds",The kangaroo made progress in leaps and bounds across the field,made progress in leaps and bounds,machte Fortschritte in Riesenschritten,"Nachdem sie am Workshop teilgenommen hatte, machten ihre Fähigkeiten enorme Fortschritte."
learn to walk before you run,to take smaller steps initially,You should [[learn to walk before you run]] when it comes to mastering a new skill,"As a toddler, you must [[learn to walk before you run]] to avoid falling",You should learn to walk before you run when it comes to mastering a new skill,"As a toddler, you must learn to walk before you run to avoid falling",learn to walk before you run,"Lerne zuerst laufen, bevor du rennst.","Du solltest lernen zu gehen, bevor du rennst, wenn es darum geht, eine neue Fähigkeit zu meistern."
leave at the altar,decide not to marry someone at the very last moment,[[He left her at the altar]] when he decided not to show up for their wedding,[[He left her at the altar]] to fetch the forgotten wedding rings from their car,He left her at the altar when he decided not to show up for their wedding,He left her at the altar to fetch the forgotten wedding rings from their car,He left her at the altar,Er hat sie am Altar stehen lassen.,"Er hat sie am Altar stehen lassen, als er beschloss, nicht zu ihrer Hochzeit zu erscheinen."
leg up,give or receive assistance to achieve a goal,The scholarship [[gave her a leg up]] in her pursuit of higher education,He [[gave her a leg up]] to help her climb over the fence,The scholarship gave her a leg up in her pursuit of higher education,He gave her a leg up to help her climb over the fence,gave her a leg up,gab ihr einen Schubs.,Das Stipendium gab ihr einen Vorteil bei ihrem Streben nach höherer Bildung.
let the cat out of the bag,to let a secret out in the open,He accidentally [[let the cat out of the bag]] about the surprise party,She opened the bag and [[let the cat out of the bag]] after bringing it home from the shelter,He accidentally let the cat out of the bag about the surprise party,She opened the bag and let the cat out of the bag after bringing it home from the shelter,let the cat out of the bag,Die Katze aus dem Sack lassen.,Er hat versehentlich das Geheimnis der Überraschungsparty ausgeplaudert.
lick his wounds,"to try to recover your confidence or spirit after a defeat, failure or disappointment",He [[licked his wounds after the fight]] by taking some time to recover from the emotional blow,The injured dog [[licked his wounds after the fight]] with another canine,He licked his wounds after the fight by taking some time to recover from the emotional blow,The injured dog licked his wounds after the fight with another canine,licked his wounds after the fight,Leckte nach dem Kampf seine Wunden.,"Er leckte nach dem Kampf seine Wunden, indem er sich Zeit nahm, um sich von dem emotionalen Schlag zu erholen."
lick your lips,to show that you're excited about something and are eager for it to happen,[[They licked their lips]] in anticipation of the delicious meal,"After eating the ice cream, [[they licked their lips]] to clean off the remaining traces",They licked their lips in anticipation of the delicious meal,"After eating the ice cream, they licked their lips to clean off the remaining traces",They licked their lips,Sie leckten sich die Lippen.,Sie leckten sich in Vorfreude auf das köstliche Essen die Lippen.
lie low,"To go out of sight, usually after having done something bad.","After the controversy, [[he decided to lie low]] and avoid the media","During the game of hide and seek, [[he decided to lie low]] in the tall grass","After the controversy, he decided to lie low and avoid the media","During the game of hide and seek, he decided to lie low in the tall grass",he decided to lie low,"Er beschloss, sich bedeckt zu halten.","Nach der Kontroverse beschloss er, sich zurückzuhalten und die Medien zu meiden."
lights are on but nobody is home,used to describe a stupid person.,"When I tried to explain the situation to him, it seemed like [[the lights are on but nobody is home]]",I walked past the house and noticed that [[the lights are on but nobody is home]],"When I tried to explain the situation to him, it seemed like the lights are on but nobody is home",I walked past the house and noticed that the lights are on but nobody is home,the lights are on but nobody is home,"Die Lichter sind an, aber niemand ist zu Hause.","Als ich versuchte, ihm die Situation zu erklären, schien es, als ob die Lichter an sind, aber niemand zu Hause ist."
line in the sand,a boundary beyond which one cannot proceed without consequences,He decided [[to draw a line in the sand]] and confront his coworker about the issue,"While playing at the beach, the children decided [[to draw a line in the sand]] to divide their territories",He decided to draw a line in the sand and confront his coworker about the issue,"While playing at the beach, the children decided to draw a line in the sand to divide their territories",to draw a line in the sand,eine Linie im Sand ziehen,"Er entschied sich, eine Linie im Sand zu ziehen und seinen Kollegen mit dem Problem zu konfrontieren."
long in the tooth,To get too old for something.,He's [[getting long in the tooth]] and might retire soon,"The horse was [[getting long in the tooth]] as it aged, making it easier to determine its age",He's getting long in the tooth and might retire soon,"The horse was getting long in the tooth as it aged, making it easier to determine its age",getting long in the tooth,in die Jahre kommen,Er wird langsam alt und könnte bald in Rente gehen.
long run,far away in the future,Investing in education will pay off [[in the long run]],The marathon was [[in the long run]] category of races,Investing in education will pay off in the long run,The marathon was in the long run category of races,in the long run,auf lange Sicht,In Bildung zu investieren wird sich langfristig auszahlen.
look before you leap,to make sure that everything is alright before doing something important which you cannot revert,"When making a big decision, always remember [[to look before you leap]]","While standing on the edge of the diving board, he was reminded [[to look before you leap]]","When making a big decision, always remember to look before you leap","While standing on the edge of the diving board, he was reminded to look before you leap",to look before you leap,"Erst prüfen, dann springen.","Wenn Sie eine wichtige Entscheidung treffen, denken Sie immer daran, zuerst zu schauen, bevor Sie springen."
looked through colored glasses,to look the things not as they are; having a heavily biased worldview,She always [[looked through colored glasses]] when it came to her children's achievements,"During the art class, we [[looked through colored glasses]] to observe the effects on the painting",She always looked through colored glasses when it came to her children's achievements,"During the art class, we looked through colored glasses to observe the effects on the painting",looked through colored glasses,Sah durch farbige Gläser.,"Sie sah immer durch eine rosarote Brille, wenn es um die Leistungen ihrer Kinder ging."
loose cannon,somebody whose activities are uncommon and out of control,"After losing his job, he [[became a loose cannon]] and started causing problems","During the battle reenactment, the replica [[became a loose cannon]] when it broke free from its mount","After losing his job, he became a loose cannon and started causing problems","During the battle reenactment, the replica became a loose cannon when it broke free from its mount",became a loose cannon,Wurde eine lose Kanone.,"Nachdem er seinen Job verloren hatte, wurde er unberechenbar und begann Probleme zu verursachen."
lose your marbles,strange behaviors.,"After working non-stop for days, he finally [[lost his marbles]] and started talking nonsense","During the game, he accidentally [[lost his marbles]] when the bag ripped open","After working non-stop for days, he finally lost his marbles and started talking nonsense","During the game, he accidentally lost his marbles when the bag ripped open",lost his marbles,hat nicht mehr alle Tassen im Schrank.,"Nachdem er tagelang ununterbrochen gearbeitet hatte, verlor er schließlich den Verstand und fing an, Unsinn zu reden."
lower the bar,to lower standards or expectations,The company [[lowered the bar for everyone]] by reducing the performance expectations,The gym instructor [[lowered the bar for everyone]] during the limbo competition,The company lowered the bar for everyone by reducing the performance expectations,The gym instructor lowered the bar for everyone during the limbo competition,lowered the bar for everyone,Senkte die Messlatte für alle.,"Das Unternehmen senkte die Messlatte für alle, indem es die Leistungserwartungen reduzierte."
lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,"When I heard the sad news, [[I had a lump in my throat]] and couldn't speak","After swallowing a large piece of food, [[I had a lump in my throat]] and needed water","When I heard the sad news, I had a lump in my throat and couldn't speak","After swallowing a large piece of food, I had a lump in my throat and needed water",I had a lump in my throat,Ich hatte einen Kloß im Hals.,"Als ich die traurigen Nachrichten hörte, hatte ich einen Kloß im Hals und konnte nicht sprechen."
make a song and dance,if someone complains in an annoying way or becomes unnecessarily excited about something unimportant,She [[made a song and dance about it]] when she found out she won the lottery,The performers [[made a song and dance about it]] during the musical's finale,She made a song and dance about it when she found out she won the lottery,The performers made a song and dance about it during the musical's finale,made a song and dance about it,machte ein großes Theater darum,"Sie machte ein großes Aufheben davon, als sie herausfand, dass sie im Lotto gewonnen hatte."
make ends meet,make sufficient money to survive on,"After losing her job, she [[was struggling to make ends meet]] and pay her bills",The tailor [[was struggling to make ends meet]] when sewing the two pieces of fabric together,"After losing her job, she was struggling to make ends meet and pay her bills",The tailor was struggling to make ends meet when sewing the two pieces of fabric together,was struggling to make ends meet,"Ich hatte Schwierigkeiten, über die Runden zu kommen.","Nachdem sie ihren Job verloren hatte, kämpfte sie darum, über die Runden zu kommen und ihre Rechnungen zu bezahlen."
make ones bed and lie on it,to be responsible for what you have done and accept the results,[[They made their bed and lied on it]] when they decided to invest in that risky business,"After tidying up the room, [[they made their bed and lied on it]] to take a nap",They made their bed and lied on it when they decided to invest in that risky business,"After tidying up the room, they made their bed and lied on it to take a nap",They made their bed and lied on it,Sie haben ihr Bett gemacht und darin geschlafen.,"Sie haben ihr Bett gemacht und darin gelegen, als sie beschlossen haben, in dieses riskante Geschäft zu investieren."
makes his hackles rise,to make you angry,The sound of nails on a chalkboard [[makes his hackles rise]],"When the dog senses danger, it [[makes his hackles rise]] on his back",The sound of nails on a chalkboard makes his hackles rise,"When the dog senses danger, it makes his hackles rise on his back",makes his hackles rise,lässt seine Nackenhaare aufstellen,Das Geräusch von Nägeln auf einer Tafel lässt seine Nackenhaare hochstehen.
makes my ears burn,"to be embarrassed by what you hear, especially if the conversation is about you",Hearing people gossip about me [[makes my ears burn]],Standing too close to the bonfire [[makes my ears burn]],Hearing people gossip about me makes my ears burn,Standing too close to the bonfire makes my ears burn,makes my ears burn,lässt meine Ohren brennen,"Wenn hörende Menschen über mich tratschen, brennen meine Ohren."
