idiom,meaning,intended_ambiguous,maxvote_ambiguous,intended_figurative,maxvote_figurative,intended_literal,maxvote_literal,annotations_ambiguous,annotations_figurative,annotations_literal,well_formed,maxvote - for sort
had your chips,when someone has completely failed in what they set out to achieve,She had her chips,ambiguous,She had her chips so she was done taking risks,figurative,She had her chips so she stopped playing the game,ambiguous,"['ambiguous', 'ambiguous', 'literal']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'figurative']",FALSE,ambiguous : figurative : ambiguous
halfway house,"mid-point in recovery, treatment, or progress",She moved into the halfway house,figurative,She moved into the halfway house when she was starting her transition to normal life,literal,She moved into the halfway house as she was passing through the city,ambiguous,"['figurative', 'literal', 'figurative']","['literal', 'literal', 'literal']","['ambiguous', 'literal', 'figurative']",FALSE,figurative : literal : ambiguous
hammer and tongs,"to argue fiercely, with a lot of energy and noise",We worked on it hammer and tongs,ambiguous,"We worked on it hammer and tongs, trying to get the project done within the timeline",figurative,"We worked on it hammer and tongs, applying hammering and tonging techniques",literal,"['ambiguous', 'figurative', 'literal']","['figurative', 'figurative', 'literal']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
hand in hand,close ties or connections,They walked hand in hand,ambiguous,"They walked hand in hand, showing their commitment to each other",figurative,They walked hand in hand to not get lost in the dark,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
hands are tied,to not be able to do anything about a situation,My hands are tied,ambiguous,My hands are tied since I have no authority or influence in the situation,figurative,My hands are tied since I used rope to restrain them,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
happy camper,to be content or satisfied with what is happening in your lifes and have no complaints,I'm a happy camper,ambiguous,I'm a happy camper with the job offers I've been receiving,figurative,I'm a happy camper spending the night outside with my tent and a tent stove,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
hard cheese,"bad luck, tough luck",It was a hard cheese for him,ambiguous,It was a hard cheese for him when he realized it was all his fault,figurative,It was a hard cheese for him to cut with a knife,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
have a big mouth,one who gossips more or says things that are meant to be kept secret,I have a big mouth,ambiguous,I have a big mouth and always let secrets slip,figurative,I have a big mouth with a wide smile,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
have a soft spot,to like someone very much,They have a soft spot,ambiguous,They have a soft spot for animals and donate frequently to wildlife conservation organizations,figurative,They have a soft spot in the floor which they cover with a rug when visitors come over,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
have clean hands,to be innocent; to be free of any wrongdoing,He had clean hands,ambiguous,He had clean hands because he had no part in the scandal,figurative,He had clean hands because he washed them before dinner,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
have kittens,"to be very worried, upset, or angry about something",She had kittens,ambiguous,She had kittens when she heard about the terrible news,figurative,She had kittens when she gave birth to her litter of cats,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
have no truck with,avoid dealing or being associated with,I have no truck with them,ambiguous,I have no truck with them because they keep lying to me,figurative,I have no truck with them because I don't need their help,ambiguous,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'figurative']",FALSE,ambiguous : figurative : ambiguous
head above water,to succeed to survive in bad financial situations,She has kept her head above water,ambiguous,She has kept her head above water by never giving up in difficult moments,figurative,She has kept her head above water by swimming with a life jacket on,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
hide light under a bushel,to show modesty towards something or someone,Don't hide your light under a bushel,ambiguous,Don't hide your light under a bushel and reveal your talents to the world,figurative,Don't hide your light under a bushel; we need it to see in the dark!,literal,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",TRUE,ambiguous : figurative : literal
high up,to have an important standing in society,He is high up,ambiguous,"He is high up in the company, leading the team",figurative,"He is high up on the ladder, reaching the top",literal,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'ambiguous']",TRUE,ambiguous : figurative : literal
hit the books,to study very hard,He hit the books,ambiguous,He hit the books hard this week before his test,figurative,He hit the books with his fist because he was frustrated,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
hit the bull's-eye,to be exactly right about something or achieve the best result possible,He hit the bull's-eye,ambiguous,He hit the bull's-eye when he wrote the perfect article and got published,figurative,He hit the bull's-eye when he shot an arrow at the target,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
hit the hay,to go to sleep or head to bed.,I hit the hay early,ambiguous,I hit the hay early to be fresh for my morning classes,figurative,I hit the hay early because I needed a soft sleeping surface,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
hit the nail on the head,be accurately right about something,He hit the nail on the head,ambiguous,He hit the nail on the head when he guessed my exact birthday!,figurative,He hit the nail on the head when he completed the task perfectly,figurative,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,ambiguous : figurative : figurative
hit the road,depart,Let's hit the road,ambiguous,Let's hit the road and start our journey across the country,figurative,Let's hit the road so we can get to our destination,figurative,"['figurative', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,ambiguous : figurative : figurative
hit the roof,experience sudden anger,He hit the roof,ambiguous,He hit the roof when he heard the news,figurative,He hit the roof when he joined the high-jump competition,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
hit the sack,to go to bed,He hit the sack,ambiguous,He hit the sack early since he was exhausted from work,figurative,He hit the sack just to push it aside,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
hold all the aces,be in a winning position.,He holds all the aces,ambiguous,He holds all the aces as he knows the details of the situation,figurative,He holds all the aces as he was dealt a winning hand of cards,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
hold tongue,to keep quiet when one would rather speak,She held her tongue,ambiguous,She held her tongue to prevent herself from speaking too harshly,figurative,She held her tongue with her fingers,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
hold your horses,to wait,Let's hold our horses,ambiguous,Let's hold our horses and take a step back to evaluate the whole situation,figurative,Let's hold our horses so that they don't run away,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
hornets' nest,a violent situation or one with a lot of dispute,He stirred the hornets' nest,ambiguous,He stirred the hornets' nest when he asked questions he should have left alone,figurative,He stirred the hornets' nest when he disturbed the hive of buzzing insects,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
hot potato,any subject which several folks are talking about and which is frequently argued,They were passing around the hot potato,ambiguous,They were passing around the hot potato once they realized the project was too difficult,figurative,They were passing around the hot potato as an entertaining game before the meeting began,ambiguous,"['ambiguous', 'figurative', 'literal']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'ambiguous']",FALSE,ambiguous : figurative : ambiguous
household name,to be very popular,He became a household name,figurative,He became a household name last year when his business took off,figurative,He became a household name since his name was written on all of the grocery lists and orders,figurative,"['literal', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']",FALSE,figurative : figurative : figurative
hung out to dry,"to abandon someone who is in difficulty, without giving any assistance or support",They hung her out to dry,ambiguous,They hung her out to dry when they refused to give her any help,figurative,They hung her out to dry in the sun to get rid of all the moisture on her clothes,literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
icing on the cake,when something good is added to another good thing that you already have,This was the icing on the cake,ambiguous,This was the icing on the cake as it made me understand the full picture,figurative,This was the icing on the cake after I finished decorating it,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
in a fog,in a great confusion,I'm in a fog,ambiguous,I'm in a fog trying to figure out what to do next,figurative,I'm in a fog because the weather outside is foggy,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
in a nutshell,to be brief and straight to the point.,It's in a nutshell,literal,"It's in a nutshell, all of the information you need in order to make a decision",figurative,"It's in a nutshell, so you can carry it wherever you need to go",literal,"['literal', 'ambiguous', 'literal']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",FALSE,literal : figurative : literal
in a pickle,to be in a difficult situation,I'm in a pickle,figurative,I'm in a pickle trying to make the best choice,figurative,I'm in a pickle because I can't find the jar opener,figurative,"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,figurative : figurative : figurative
in at the deep end,to start a new job or activity without being prepared for it,She jumped in at the deep end,ambiguous,She jumped in at the deep end when she decided to take on the new project,figurative,She jumped in at the deep end of the pool since she wanted a cooler swim,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
in bed with,"to work with a person or organisation, or being involved with them, in a way that causes other people to distrust you.",He was in bed with them,ambiguous,He was in bed with them when it came to making decisions,figurative,He was in bed with them when they all took a nap,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
in black and white,printed form of a document,I wanted it in black and white,ambiguous,I wanted it in black and white so that there would be no more confusion between us,figurative,I wanted it in black and white so that we could see the words clearly,literal,"['ambiguous', 'ambiguous', 'literal']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'ambiguous']",TRUE,ambiguous : figurative : literal
in cold blood,in a cruel way and without pity or other emotion,He killed him in cold blood,figurative,He killed him in cold blood without any thought or emotions,literal,He killed him in cold blood because the temperature outside was low,ambiguous,"['figurative', 'literal', 'figurative']","['literal', 'figurative', 'literal']","['ambiguous', 'literal', 'ambiguous']",FALSE,figurative : literal : ambiguous
in deep water,a very serious situation,He's in deep water,ambiguous,He's in deep water because he ran out of solutions for his problem,figurative,He's in deep water because he fell off a boat,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
in full swing,at a stage when the level of activity is at its highest,The party is in full swing,figurative,The party is in full swing as everyone is having a great time,figurative,The party is in full swing as the DJ is playing all the latest songs,figurative,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,figurative : figurative : figurative
in high dudgeon,feeling or exhibiting great resentment,She was in high dudgeon,ambiguous,She was in high dudgeon when I told her about my mistake,figurative,She was in high dudgeon when she got to the top of the hill,figurative,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']",FALSE,ambiguous : figurative : figurative
in hot water,in trouble or state of shame,He's in hot water,ambiguous,He's in hot water following the scandal that he has been caught in,figurative,He's in hot water because he was taking a hot shower,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",TRUE,ambiguous : figurative : literal
in light of,because of,I changed my plans in light of the events,figurative,I changed my plans in light of the events that have taken place,figurative,I changed my plans in light of the sun setting,ambiguous,"['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']","['ambiguous', 'figurative', 'literal']",FALSE,figurative : figurative : ambiguous
in one's blood,a natural or inherited characteristic.,It runs in his blood,ambiguous,It runs in his blood to always stand up for what he believes in,figurative,It runs in his blood since he is related to the royal family,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
in stitches,to laugh so hard that you are not able to control yourself,We were in stitches,ambiguous,We were in stitches yesterday when we heard the funny story,figurative,We were in stitches when my grandma mended her old jeans,ambiguous,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'literal']",FALSE,ambiguous : figurative : ambiguous
in tandem,one after another,She worked in tandem,ambiguous,She worked in tandem to achieve the goal together with her partner,figurative,She worked in tandem on the tandem bike yesterday,ambiguous,"['figurative', 'ambiguous', 'literal']","['figurative', 'figurative', 'ambiguous']","['figurative', 'ambiguous', 'literal']",FALSE,ambiguous : figurative : ambiguous
in the bag,have something as good as secured or certain,This deal is in the bag,ambiguous,"This deal is in the bag, so the company is guaranteed to succeed",figurative,This deal is in the bag as they signed the contract yesterday,figurative,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,ambiguous : figurative : figurative
in the black,to not be in debt,We are in the black,ambiguous,We are in the black as our company is making a profit this quarter,figurative,"We are in the black, as the accountant wrote this number in the black ink",literal,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",TRUE,ambiguous : figurative : literal
in the blink of an eye,in an instant,It was gone in the blink of an eye,figurative,"It was gone in the blink of an eye, leaving me in shock at how quickly the moment passed by",figurative,"It was gone in the blink of an eye, as if it had never been there before",ambiguous,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'figurative']",FALSE,figurative : figurative : ambiguous
in the cross hairs,in a position where one might receive severe criticism,The company is in the cross hairs,figurative,The company is in the cross hairs because its performance is not meeting expectations,figurative,The company is in the cross hairs because the snipers have them in their sights,literal,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",FALSE,figurative : figurative : literal
in the dark,"uninformed, a state of ignorance.",They were in the dark,ambiguous,They were in the dark about the potential consequences of their decision,figurative,They were in the dark when the power went out,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
in the doghouse,someone who is in disgrace and very unpopular at the moment,He's in the doghouse,ambiguous,He's in the doghouse because he forgot to pick up the kids,figurative,He's in the doghouse because that's where the dogs sleep,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['ambiguous', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
in the good books,be in somebody's favour or good opinion,He is in the good books,ambiguous,"He is in the good books of his boss, making her more likely to grant him the promotion he seeks",figurative,"He is in the good books at the library, allowing him to check out more books than the usual limit",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",TRUE,ambiguous : figurative : literal
in the heat of the moment,saying or doing something without thinking due go anger or excitement,He did it in the heat of the moment,figurative,He did it in the heat of the moment without thinking about the consequences,figurative,He did it in the heat of the moment because the temperature was high,ambiguous,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'literal', 'ambiguous']",FALSE,figurative : figurative : ambiguous
in the loop,to be aware of the information,He is in the loop,ambiguous,He is in the loop of the company's decision-making process,figurative," ""He is in the loop of the race track",literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
in the pipeline,to be underway,It's in the pipeline,ambiguous,It's in the pipeline and should be available shortly,figurative,It's in the pipeline and should be delivered in the next few days,figurative,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']",FALSE,ambiguous : figurative : figurative
in the red,more money going out than coming in,Her bank account was in the red,figurative,Her bank account was in the red due to her recent luxurious purchases,figurative,Her bank account was in the red because her bank used red ink to indicate a negative balance,literal,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",FALSE,figurative : figurative : literal
in touch,"to remain in contact with someone, especially when separated by time or distance",We need to stay in touch,figurative,We need to stay in touch and make sure that we keep up with each other's lives,figurative,We need to stay in touch in order to interact with each other,literal,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'literal', 'figurative']",FALSE,figurative : figurative : literal
in your face,"a bold, defiant or aggressive manner",This was in your face,ambiguous,"This was in your face, intended to be a warning for you",figurative,"This was in your face, so you could feel it on your skin",literal,"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
it's a small world,meeting someone not expected to be at a certain place,It's a small world,ambiguous,It's a small world when I unexpectedly ran into my old high school teacher,figurative,It's a small world when we can travel around it in less than two hours,literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
it's not brain surgery,to indicate that a specific task is simple and easy to undertake ,It's not brain surgery,ambiguous,"It's not brain surgery, so you shouldn't have to spend too much time on it",figurative,"It's not brain surgery, so you don't have to be a neurosurgeon to do it""",figurative,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['figurative', 'figurative', 'literal']",FALSE,ambiguous : figurative : figurative
jam on your face,"people who appear to be caught, embarrassed or found guilty",John had jam on his face,ambiguous,John had jam on his face when we saw him in the party,ambiguous,John had jam on his face when we saw him eating toast,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']",FALSE,ambiguous : ambiguous : literal
jobs for the boys,work that someone in an important position gives to their friends or relations,They got jobs for the boys,ambiguous,"They got jobs for the boys, which means they're looking to only hire people they know",figurative,"They got jobs for the boys, so they'll be able to make some money",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'literal', 'ambiguous']",TRUE,ambiguous : figurative : literal
joined the club,"said in answer to something that someone has said, meaning that you are in the same bad situation as they are",He joined the club,ambiguous,He joined the club when he was hired by the prestigious company,literal,He joined the club when he paid his membership fee,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'literal', 'literal']","['literal', 'literal', 'literal']",FALSE,ambiguous : literal : literal
"judge, jury and executioner","people that are in charge of every decision made, and they have the power to be rid of whomever they choose","He was the judge, jury and executioner",ambiguous,"He was the judge, jury and executioner of his own decisions",figurative,"He was the judge, jury and executioner at the court hearing",ambiguous,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'ambiguous', 'ambiguous']",FALSE,ambiguous : figurative : ambiguous
jump on the bandwagon,to start doing something because it is fashionable or profitable,Everyone was jumping on the bandwagon,ambiguous,Everyone was jumping on the bandwagon by supporting the popular opinion,figurative,Everyone was jumping on the bandwagon as part of the parade performance,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
jungle out there,the situation is dangerous and is characterized by ruthless behavior and competition,It's a jungle out there,ambiguous,It's a jungle out there and it's hard to stay ahead of the rat race,figurative,It's a jungle out there and it's full of dangerous wild animals,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
jury's out,when there is no general agreement or consensus on something,The jury's out,ambiguous,The jury's out on what to do next,figurative,The jury's out after deliberating in the courtroom,literal,"['ambiguous', 'literal', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
just deserts,get what one deserves,I got my just deserts,ambiguous,I got my just deserts when I benevolently helped someone in need,figurative,I got my just deserts when I ordered a dessert in the restaurant,literal,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['ambiguous', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
just off the boat,a person who is naive and inexperienced,He's just off the boat,ambiguous,"He's just off the boat, but he's already been living the high life",figurative,"He's just off the boat, where he sailed from across the ocean",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
just what the doctor ordered,exactly what was wanted or needed,It was just what the doctor ordered,ambiguous,It was just what the doctor ordered to make things better between us,figurative,It was just what the doctor ordered for her medical condition,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
keep an eye on,keep a watch on something or someone closely,He keeps an eye on her,ambiguous,He keeps an eye on her to make sure she doesn't make any mistakes,figurative,He keeps an eye on her to make sure he can see her from across the room,figurative,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']",FALSE,ambiguous : figurative : figurative
keep at arm's length,keep distance from something or somebody,I've been keeping him at arm's length,ambiguous,I've been keeping him at arm's length because I don't think he's sincere,figurative,I've been keeping him at arm's length because he's standing across the room,ambiguous,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'literal']",FALSE,ambiguous : figurative : ambiguous
keep card close to chest,"be secretive or cautious, give nothing away",They are keeping their cards close to their chest,ambiguous,"They are keeping their cards close to their chest, not giving hints as to what their next move will be",figurative,They are keeping their cards close to their chest when playing poker,ambiguous,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['ambiguous', 'ambiguous', 'literal']",FALSE,ambiguous : figurative : ambiguous
keep the wolf from the door,to have sufficient money to prevent starvation or hunger,They did what they could to keep the wolf from the door,ambiguous,They did what they could to keep the wolf from the door and stay afloat even in difficult times,figurative,They did what they could to keep the wolf from the door and prevent him from entering their home,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
keep your hair on,to request someone to stay calm and not get annoyed,"Keep your hair on, now",ambiguous,"Keep your hair on now, there's no need to get angry",figurative,"Keep your hair on now, you don't want to get it cut",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
keep your nose clean,to stay out of trouble by not doing anything wrong,She keeps her nose clean,ambiguous,She keeps her nose clean by staying out of trouble,figurative,She keeps her nose clean by washing it everyday,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
kick the bucket,to die,He kicked the bucket,ambiguous,He kicked the bucket when he passed away,figurative,He kicked the bucket out of frustration,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
kick yourself,to be angry with yourself for something you have or have not done,She kicked herself,ambiguous,She kicked herself for not taking the opportunity when she had the chance,figurative,She kicked herself with her foot,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
kill two birds with one stone,accomplish two different things at the same time,She killed two birds with one stone,ambiguous,She killed two birds with one stone when she solved two problems with one decision,figurative,She killed two birds with one stone when she threw a rock at them,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
kiss and make up,to become friendly again after an argument,They kissed and made up,ambiguous,They kissed and made up after arguing with each other,ambiguous,They kissed and made up when they spent time together,ambiguous,"['ambiguous', 'figurative', 'ambiguous']","['ambiguous', 'figurative', 'literal']","['ambiguous', 'literal', 'ambiguous']",FALSE,ambiguous : ambiguous : ambiguous
knee jerk reaction,an automatic response to something,His knee jerk reaction,ambiguous,His knee jerk reaction to the bad news was to move away from the city,figurative,His knee jerk reaction to the loud noise was to jerk his knee,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'figurative']",TRUE,ambiguous : figurative : literal
knight in shining armour,used to describe someone who saves you from a difficult situation,He was her knight in shining armour,figurative,He was her knight in shining armour when he always knew what to say to make her feel better,figurative,He was her knight in shining armour when he wore a suit of armour to their prom,literal,"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'ambiguous']",FALSE,figurative : figurative : literal
knock on wood,tap knuckle on wood in order to avoid bad luck,We knocked on wood,ambiguous,We knocked on wood for good luck,ambiguous,We knocked on wood so people at the door could hear us,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'literal', 'figurative']","['literal', 'literal', 'literal']",FALSE,ambiguous : ambiguous : literal
know the ropes,to know all the ways and means to get something done,He knows the ropes,ambiguous,He knows the ropes when it comes to the stock market,figurative,"He knows the ropes to the ship, having worked there for years",figurative,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'figurative']",FALSE,ambiguous : figurative : figurative
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,He knows which side his bread is buttered,ambiguous,"He knows which side his bread is buttered, so he keeps his sponsors happy",figurative,"He knows which side his bread is buttered, so he can make sure it's cooked properly",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
knowing which way the wind blows,this means that you should know how things are developing and be prepared for the future,I know which way the wind blows,ambiguous,I know which way the wind blows and will make sure to make the right decisions,figurative,I know which way the wind blows because I looked at the weather report,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
