idiom,meaning,label,source
in full swing,at a stage when the level of activity is at its highest,literal,The pendulum experiment demonstrated that [[the party was in full swing]] when the ball reached its highest point
in full swing,at a stage when the level of activity is at its highest,figurative,"When we arrived, [[the party was in full swing]] with everyone dancing and laughing"
in hot water,in trouble or state of shame,figurative,He [[found himself in hot water]] after forgetting to submit the report on time
in hot water,in trouble or state of shame,literal,He accidentally [[found himself in hot water]] when he stepped into the scalding bathtub
in one's blood,a natural or inherited characteristic.,figurative,"She's a natural athlete, [[it's in her blood]]"
in one's blood,a natural or inherited characteristic.,literal,"The medication she took is now circulating, [[it's in her blood]]"
in the black,to not be in debt,literal,She wore a dark outfit and was [[finally in the black]] for the themed party
in the black,to not be in debt,figurative,"After months of struggling, our business is [[finally in the black]]"
in the cross hairs,in a position where one might receive severe criticism,figurative,"As the whistleblower, he found himself [[caught in the cross hairs]] of the company's retaliation"
in the cross hairs,in a position where one might receive severe criticism,literal,"During the paintball match, she was [[caught in the cross hairs]] of her opponent's gun"
in the dark,"uninformed, a state of ignorance.",literal,"During the power outage, we [[were kept in the dark]] until the electricity came back"
in the dark,"uninformed, a state of ignorance.",figurative,The employees [[were kept in the dark]] about the company's financial situation
in the doghouse,someone who is in disgrace and very unpopular at the moment,literal,He crawled [[in the doghouse with her]] to retrieve the lost toy
in the doghouse,someone who is in disgrace and very unpopular at the moment,figurative,"After forgetting their anniversary, he was [[in the doghouse with her]] for a week"
in the loop,to be aware of the information,figurative,"As a team member, I want to be [[kept in the loop]] about project updates"
in the loop,to be aware of the information,literal,The rope was [[kept in the loop]] to secure the boat to the dock
in the red,more money going out than coming in,figurative,"Due to poor financial decisions, [[the company is in the red]]"
in the red,more money going out than coming in,literal,"During the paintball match, [[the company is in the red]] team"
in touch,"to remain in contact with someone, especially when separated by time or distance",figurative,"Even after moving to another city, we promised [[to stay in touch]]"
in touch,"to remain in contact with someone, especially when separated by time or distance",literal,"During the team-building exercise, we had [[to stay in touch]] by holding hands"
it's a small world,meeting someone not expected to be at a certain place,figurative,"Running into my childhood friend in a foreign country, I thought [[it's a small world after all]]"
it's a small world,meeting someone not expected to be at a certain place,literal,"Looking at the miniature globe in the store, I remarked, [[it's a small world after all]]"
jam on your face,"people who appear to be caught, embarrassed or found guilty",literal,"While eating breakfast, he accidentally [[had jam on his face]] from the toast"
jam on your face,"people who appear to be caught, embarrassed or found guilty",figurative,"After making a mistake in the presentation, he [[had jam on his face]] in front of the whole team"
"judge, jury and executioner","people that are in charge of every decision made, and they have the power to be rid of whomever they choose",literal,"In the dystopian play, the main character [[was acting as judge, jury, and executioner]] in a twisted legal system"
"judge, jury and executioner","people that are in charge of every decision made, and they have the power to be rid of whomever they choose",figurative,"He [[was acting as judge, jury, and executioner]] when he made the decision without consulting anyone"
jump on the bandwagon,to start doing something because it is fashionable or profitable,literal,"During the parade, he [[jumped on the bandwagon]] to join the musicians"
jump on the bandwagon,to start doing something because it is fashionable or profitable,figurative,"When the new trend became popular, everyone [[jumped on the bandwagon]]"
jungle out there,the situation is dangerous and is characterized by ruthless behavior and competition,literal,"As we entered the dense rainforest, our guide warned us, [[it's a jungle out there]]"
jungle out there,the situation is dangerous and is characterized by ruthless behavior and competition,figurative,"With so much competition in the job market, [[it's a jungle out there]]"
jury's out,when there is no general agreement or consensus on something,figurative,"Regarding the new policy, [[the jury's out on that decision]], as people are still debating its effectiveness"
jury's out,when there is no general agreement or consensus on something,literal,"During the court recess, [[the jury's out on that decision]], discussing the case in a separate room"
just off the boat,a person who is naive and inexperienced,literal,"Soaking wet and carrying their luggage, they were [[just off the boat]] from their island trip"
just off the boat,a person who is naive and inexperienced,figurative,"He was so naive and inexperienced, as if he was [[just off the boat]]"
just what the doctor ordered,exactly what was wanted or needed,figurative,A relaxing vacation was [[just what the doctor ordered]] after a stressful year
just what the doctor ordered,exactly what was wanted or needed,literal,The prescribed medication was [[just what the doctor ordered]] for her condition
keep at arm's length,keep distance from something or somebody,figurative,"Despite his attempts to get closer, [[she kept him at arm's length]] due to her cautious nature"
keep at arm's length,keep distance from something or somebody,literal,"During the self-defense training, [[she kept him at arm's length]] to maintain a safe distance"
keep card close to chest,"be secretive or cautious, give nothing away",literal,"While playing poker, [[they kept their cards close to their chest]] so no one could see their hand"
keep card close to chest,"be secretive or cautious, give nothing away",figurative,"During the negotiations, [[they kept their cards close to their chest]] and didn't reveal their true intentions"
keep the wolf from the door,to have sufficient money to prevent starvation or hunger,literal,"With a sturdy fence, the farmer [[kept the wolf from the door]] of his sheep pen"
keep the wolf from the door,to have sufficient money to prevent starvation or hunger,figurative,"Working two jobs, she [[kept the wolf from the door]] and provided for her family"
keep your nose clean,to stay out of trouble by not doing anything wrong,literal,"During allergy season, [[keeping your nose clean]] is essential for comfort"
keep your nose clean,to stay out of trouble by not doing anything wrong,figurative,"To avoid getting into trouble, focus on [[keeping your nose clean]] at work"
kick the bucket,to die,figurative,"The old couple, inseparable in life, [[kicked the bucket together]] in their sleep"
kick the bucket,to die,literal,"While cleaning the barn, they accidentally [[kicked the bucket together]] and spilled water everywhere"
kick yourself,to be angry with yourself for something you have or have not done,literal,"During the yoga class, they accidentally [[kicked themselves]] while attempting a new pose"
kick yourself,to be angry with yourself for something you have or have not done,figurative,They [[kicked themselves]] for not investing in the stock earlier
kill two birds with one stone,accomplish two different things at the same time,figurative,"By combining our errands, we [[killed two birds with one stone]] and saved time"
kill two birds with one stone,accomplish two different things at the same time,literal,"With a well-aimed throw, he [[killed two birds with one stone]] in the field"
kiss and make up,to become friendly again after an argument,figurative,"After the argument, he decided [[to kiss and make up with her]] to resolve their differences"
kiss and make up,to become friendly again after an argument,literal,"During the play, the actors had [[to kiss and make up with her]] as part of the scene"
knee jerk reaction,an automatic response to something,figurative,His sudden outburst was [[a knee jerk reaction to the news]] of the company's bankruptcy
knee jerk reaction,an automatic response to something,literal,"The doctor tapped his patient's leg, causing [[a knee jerk reaction to the news]] of the reflex hammer"
knight in shining armour,used to describe someone who saves you from a difficult situation,figurative,He came to her rescue like [[a knight in shining armour]] when she needed help
knight in shining armour,used to describe someone who saves you from a difficult situation,literal,"At the medieval festival, there was [[a knight in shining armour]] on horseback"
knock on wood,tap knuckle on wood in order to avoid bad luck,literal,"To test the sturdiness of the table, [[she knocked on wood]]"
knock on wood,tap knuckle on wood in order to avoid bad luck,figurative,"Hoping for good luck, [[she knocked on wood]] before the big presentation"
know the ropes,to know all the ways and means to get something done,figurative,"Having worked there for years, [[he knew the ropes well]] and could handle any task"
know the ropes,to know all the ways and means to get something done,literal,"As an experienced sailor, [[he knew the ropes well]] and could tie any knot"
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,figurative,"He always supports the boss's decisions, showing that he [[knows which side his bread is buttered]]"
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,literal,He carefully observed the sandwich and [[knows which side his bread is buttered]] to avoid getting his hands greasy
knowing which way the wind blows,this means that you should know how things are developing and be prepared for the future,figurative,He made a wise decision by [[knowing which way the wind blows]] in the company
knowing which way the wind blows,this means that you should know how things are developing and be prepared for the future,literal,"As an experienced sailor, he was skilled at [[knowing which way the wind blows]]"
lead astray,make someone act or think in a wrong or foolish manner.,literal,The broken compass [[led them astray]] in the dense forest
lead astray,make someone act or think in a wrong or foolish manner.,figurative,The false information [[led them astray]] in their investigation
lean towards,to be interested in something,figurative,"After considering the pros and cons, she [[was leaning towards that option]]"
lean towards,to be interested in something,literal,"While standing near the table, he [[was leaning towards that option]] to get a closer look"
leaps and bounds,progress very quickly,literal,The kangaroo [[made progress in leaps and bounds]] across the field
leaps and bounds,progress very quickly,figurative,"After attending the workshop, her skills [[made progress in leaps and bounds]]"
learn to walk before you run,to take smaller steps initially,figurative,You should [[learn to walk before you run]] when it comes to mastering a new skill
learn to walk before you run,to take smaller steps initially,literal,"As a toddler, you must [[learn to walk before you run]] to avoid falling"
leave at the altar,decide not to marry someone at the very last moment,literal,[[He left her at the altar]] to fetch the forgotten wedding rings from their car
leave at the altar,decide not to marry someone at the very last moment,figurative,[[He left her at the altar]] when he decided not to show up for their wedding
leg up,give or receive assistance to achieve a goal,literal,He [[gave her a leg up]] to help her climb over the fence
leg up,give or receive assistance to achieve a goal,figurative,The scholarship [[gave her a leg up]] in her pursuit of higher education
let the cat out of the bag,to let a secret out in the open,literal,She opened the bag and [[let the cat out of the bag]] after bringing it home from the shelter
let the cat out of the bag,to let a secret out in the open,figurative,He accidentally [[let the cat out of the bag]] about the surprise party
lick his wounds,"to try to recover your confidence or spirit after a defeat, failure or disappointment",literal,The injured dog [[licked his wounds after the fight]] with another canine
lick his wounds,"to try to recover your confidence or spirit after a defeat, failure or disappointment",figurative,He [[licked his wounds after the fight]] by taking some time to recover from the emotional blow
lick your lips,to show that you're excited about something and are eager for it to happen,literal,"After eating the ice cream, [[they licked their lips]] to clean off the remaining traces"
lick your lips,to show that you're excited about something and are eager for it to happen,figurative,[[They licked their lips]] in anticipation of the delicious meal
lie low,"To go out of sight, usually after having done something bad.",literal,"During the game of hide and seek, [[he decided to lie low]] in the tall grass"
lie low,"To go out of sight, usually after having done something bad.",figurative,"After the controversy, [[he decided to lie low]] and avoid the media"
lights are on but nobody is home,used to describe a stupid person.,literal,I walked past the house and noticed that [[the lights are on but nobody is home]]
lights are on but nobody is home,used to describe a stupid person.,figurative,"When I tried to explain the situation to him, it seemed like [[the lights are on but nobody is home]]"
line in the sand,a boundary beyond which one cannot proceed without consequences,figurative,He decided [[to draw a line in the sand]] and confront his coworker about the issue
line in the sand,a boundary beyond which one cannot proceed without consequences,literal,"While playing at the beach, the children decided [[to draw a line in the sand]] to divide their territories"
long in the tooth,To get too old for something.,figurative,He's [[getting long in the tooth]] and might retire soon
long in the tooth,To get too old for something.,literal,"The horse was [[getting long in the tooth]] as it aged, making it easier to determine its age"
long run,far away in the future,figurative,Investing in education will pay off [[in the long run]]
long run,far away in the future,literal,The marathon was [[in the long run]] category of races
look before you leap,to make sure that everything is alright before doing something important which you cannot revert,literal,"While standing on the edge of the diving board, he was reminded [[to look before you leap]]"
look before you leap,to make sure that everything is alright before doing something important which you cannot revert,figurative,"When making a big decision, always remember [[to look before you leap]]"
looked through colored glasses,to look the things not as they are; having a heavily biased worldview,figurative,She always [[looked through colored glasses]] when it came to her children's achievements
looked through colored glasses,to look the things not as they are; having a heavily biased worldview,literal,"During the art class, we [[looked through colored glasses]] to observe the effects on the painting"
loose cannon,somebody whose activities are uncommon and out of control,figurative,"After losing his job, he [[became a loose cannon]] and started causing problems"
loose cannon,somebody whose activities are uncommon and out of control,literal,"During the battle reenactment, the replica [[became a loose cannon]] when it broke free from its mount"
lose your marbles,strange behaviors.,literal,"During the game, he accidentally [[lost his marbles]] when the bag ripped open"
lose your marbles,strange behaviors.,figurative,"After working non-stop for days, he finally [[lost his marbles]] and started talking nonsense"
lower the bar,to lower standards or expectations,figurative,The company [[lowered the bar for everyone]] by reducing the performance expectations
lower the bar,to lower standards or expectations,literal,The gym instructor [[lowered the bar for everyone]] during the limbo competition
lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,figurative,"When I heard the sad news, [[I had a lump in my throat]] and couldn't speak"
lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,literal,"After swallowing a large piece of food, [[I had a lump in my throat]] and needed water"
make a song and dance,if someone complains in an annoying way or becomes unnecessarily excited about something unimportant,figurative,She [[made a song and dance about it]] when she found out she won the lottery
make a song and dance,if someone complains in an annoying way or becomes unnecessarily excited about something unimportant,literal,The performers [[made a song and dance about it]] during the musical's finale
make ends meet,make sufficient money to survive on,literal,The tailor [[was struggling to make ends meet]] when sewing the two pieces of fabric together
make ends meet,make sufficient money to survive on,figurative,"After losing her job, she [[was struggling to make ends meet]] and pay her bills"
make ones bed and lie on it,to be responsible for what you have done and accept the results,literal,"After tidying up the room, [[they made their bed and lied on it]] to take a nap"
make ones bed and lie on it,to be responsible for what you have done and accept the results,figurative,[[They made their bed and lied on it]] when they decided to invest in that risky business
makes his hackles rise,to make you angry,literal,"When the dog senses danger, it [[makes his hackles rise]] on his back"
makes his hackles rise,to make you angry,figurative,The sound of nails on a chalkboard [[makes his hackles rise]]
makes my ears burn,"to be embarrassed by what you hear, especially if the conversation is about you",literal,Standing too close to the bonfire [[makes my ears burn]]
makes my ears burn,"to be embarrassed by what you hear, especially if the conversation is about you",figurative,Hearing people gossip about me [[makes my ears burn]]
man's best friend,"It refers to animals that are of use to human beings, mostly used to address dogs.",figurative,The loyal dog is often considered [[a man's best friend]]
man's best friend,"It refers to animals that are of use to human beings, mostly used to address dogs.",literal,"He wrote a book about his childhood, where he described his brother as [[a man's best friend]]"
mend fences,to try and improve a bad relationship with another party,literal,The farmer spent the afternoon [[mending fences with her]] to keep the animals inside
mend fences,to try and improve a bad relationship with another party,figurative,"After the argument, he started [[mending fences with her]] by apologizing"
miles away,unaware of the current situation,figurative,"During the meeting, her thoughts [[seemed miles away]] from the topic"
miles away,unaware of the current situation,literal,The mountain peak [[seemed miles away]] from our current location
mind your own beeswax,do not interfere into someone else's matter,figurative,"Instead of gossiping about others, focus [[on minding your own beeswax]]"
mind your own beeswax,do not interfere into someone else's matter,literal,"While working at the apiary, concentrate [[on minding your own beeswax]] production"
mind your own business,to look into your own matter,figurative,The neighbors [[were minding their own business]] and didn't notice the commotion next door
mind your own business,to look into your own matter,literal,The entrepreneurs [[were minding their own business]] by managing their respective companies
miss the boat,miss a chance,literal,[[She missed the boat on that opportunity]] to take the scenic river cruise
miss the boat,miss a chance,figurative,[[She missed the boat on that opportunity]] by not applying for the job in time
more heat than light,to cause anger or intense reaction but doesn't clarify anything,literal,The malfunctioning light bulb [[generated more heat than light]] and needed to be replaced
more heat than light,to cause anger or intense reaction but doesn't clarify anything,figurative,The heated debate [[generated more heat than light]] and left everyone confused
my hands are full,someone is too busy or has too much going on to be able to do or become involved with anything else,literal,"Carrying a stack of books and a cup of coffee, [[my hands are full at the moment]]"
my hands are full,someone is too busy or has too much going on to be able to do or become involved with anything else,figurative,"With three projects to manage and a presentation to prepare, [[my hands are full at the moment]]"
nail biter,"a situation like a close contest, which induces anxiety or tension.",figurative,The final moments of the game were [[a real nail biter]] as both teams were neck and neck
nail biter,"a situation like a close contest, which induces anxiety or tension.",literal,"Watching her chew on her fingers during the movie, it was clear she was [[a real nail biter]]"
nail in the coffin,"an action/event that will help bring about the death, end, or failure of something or someone",literal,The undertaker [[put the final nail in the coffin]] before lowering it into the ground
nail in the coffin,"an action/event that will help bring about the death, end, or failure of something or someone",figurative,His resignation letter [[put the final nail in the coffin]] for the company's future
never looked back,"after an event which changed your life for the better, you continue to be happy with the situation",figurative,"She quit her job and started her own business, and she [[never looked back after that]]"
never looked back,"after an event which changed your life for the better, you continue to be happy with the situation",literal,He walked away from the haunted house and [[never looked back after that]]
no spring chicken,Someone who's no longer young.,figurative,He realized he was [[not a spring chicken anymore]] when he couldn't keep up with the younger athletes
no spring chicken,Someone who's no longer young.,literal,The farmer confirmed that the hen was [[not a spring chicken anymore]] as it had grown quite large
not getting anywhere,to make no progress at all; not improving or advancing a particular situation,figurative,We were [[not getting anywhere with this]] project due to constant setbacks
not getting anywhere,to make no progress at all; not improving or advancing a particular situation,literal,"The car was stuck in the mud, and we were [[not getting anywhere with this]] vehicle"
not hurt a fly or flea,"To not be able to cause harm to anyone, including even a tiny and insignificant insect.",figurative,"Despite his intimidating appearance, he [[wouldn't hurt a fly]] and was very gentle"
not hurt a fly or flea,"To not be able to cause harm to anyone, including even a tiny and insignificant insect.",literal,She was so careful with her bug collection that she [[wouldn't hurt a fly]] while handling them
not playing with a full deck,not mentally sound,literal,"During the poker game, we discovered we were [[not playing with a full deck]] when the ace of spades appeared twice"
not playing with a full deck,not mentally sound,figurative,His strange ideas made it seem like he was [[not playing with a full deck]]
off grid,disconnected from municipal utility systems.,figurative,He decided to disconnect from social media and [[started living off grid]]
off grid,disconnected from municipal utility systems.,literal,They built a cabin in the woods and [[started living off grid]] without electricity or running water
old hat,Someone who is old fashioned. The phrase can directly refer to old fashion too.,figurative,"She's [[an old hat at]] programming, having done it for years"
old hat,Someone who is old fashioned. The phrase can directly refer to old fashion too.,literal,"He found [[an old hat at]] the back of his closet, covered in dust"
old school,old fashioned ideas or approach compared to current trends,figurative,"He prefers [[an old school approach]] to communication, like writing letters"
old school,old fashioned ideas or approach compared to current trends,literal,The museum showcased [[an old school approach]] to education with antique desks and chalkboards
on a silver platter,to get something without having to work for it,literal,The waiter [[served it on a silver platter]] to impress the guests
on a silver platter,to get something without having to work for it,figurative,He [[served it on a silver platter]] by doing all the work for her
on its knees,something that is in a very weak situation or on the verge of failure,figurative,"After the economic crisis, [[the city was on its knees]] and struggling to recover"
on its knees,something that is in a very weak situation or on the verge of failure,literal,"In the art installation, [[the city was on its knees]] as the artist had created a miniature version of it, resting on two large sculptures of human knees"
on pins and needles,being anxious or nervous,literal,"During the acupressure therapy session, she was [[waiting on pins and needles]] placed on her back"
on pins and needles,being anxious or nervous,figurative,"While anticipating the exam results, we were [[waiting on pins and needles]]"
on the back burner,to put something (that is to be done) for later,figurative,"Due to the urgent tasks, we had to [[put it on the back burner]] for now"
on the back burner,to put something (that is to be done) for later,literal,"To simmer the sauce slowly, she [[put it on the back burner]] of the stove"
on the brink of,to be on the verge of doing something,literal,"The hiker stood [[on the brink of something]] dangerous, a steep cliff"
on the brink of,to be on the verge of doing something,figurative,The company was [[on the brink of something]] big when they launched their new product
on the crest of a wave,to reach the highest point of success,figurative,"After the successful product launch, the company was [[riding on the crest of a wave]]"
on the crest of a wave,to reach the highest point of success,literal,The surfer skillfully balanced himself while [[riding on the crest of a wave]]
on the edge of their seat,to be very interested in something and fits with both extremely exciting and nerve-wracking,literal,The chair was so small that they were uncomfortably perched [[on the edge of their seat]]
on the edge of their seat,to be very interested in something and fits with both extremely exciting and nerve-wracking,figurative,The suspenseful movie had everyone [[on the edge of their seat]]
on the hook,someone who is responsible for something,figurative,He [[was left on the hook]] for the entire project after his partner quit
on the hook,someone who is responsible for something,literal,The fish [[was left on the hook]] after it was caught
on the line,to be at serious risk.,literal,[[She put it on the line]] to dry after washing her clothes
on the line,to be at serious risk.,figurative,[[She put it on the line]] when she confronted her boss about the unfair treatment
on the money,being right about something.,literal,The coin landed [[right on the money]] that was placed on the table
on the money,being right about something.,figurative,His prediction about the game's outcome was [[right on the money]]
on the pig's back,a successful situation and everything is going well for that person,figurative,"After winning the lottery, he [[was riding on the pig's back]] and enjoying his newfound wealth"
on the pig's back,a successful situation and everything is going well for that person,literal,"At the farm, the child [[was riding on the pig's back]] for fun"
on the same page,everyone in agreement,literal,"While reading the book together, they happened to [[be on the same page]]"
on the same page,everyone in agreement,figurative,"Before starting the project, we need to [[be on the same page]] regarding our goals"
open old wounds,"to revive memories of an unpleasant event, situation or dispute that took place in the past",literal,The surgeon [[opened old wounds]] to remove the remaining infection
open old wounds,"to revive memories of an unpleasant event, situation or dispute that took place in the past",figurative,Bringing up their past mistakes [[opened old wounds]] in the conversation
out of hand,out of control,figurative,The party [[got out of hand]] when people started throwing food
out of hand,out of control,literal,The ball [[got out of hand]] when he accidentally dropped it
out of the closet,go public about something private or hidden,figurative,"After years of hiding his true self, he finally [[came out of the closet]] to his family"
out of the closet,go public about something private or hidden,literal,She [[came out of the closet]] after finding the perfect outfit to wear
out of the frying pan into the fire,to go from a bad to worse situation,literal,The fish [[jumped out of the frying pan into the fire]] when the cook wasn't paying attention
out of the frying pan into the fire,to go from a bad to worse situation,figurative,"By quitting her job without a backup plan, she [[jumped out of the frying pan into the fire]]"
out on the town,go out and enjoy yourself at one or more places in the town,figurative,They were excited about [[going out on the town]] to celebrate their anniversary
out on the town,go out and enjoy yourself at one or more places in the town,literal,The mayor was [[going out on the town]] to inspect the new infrastructure
outside the lines,not sticking to the rules,figurative,His innovative approach to the project was like [[coloring outside the lines]]
outside the lines,not sticking to the rules,literal,The child was [[coloring outside the lines]] in his coloring book
over my dead body,"in no way, under no circumstances",figurative,"He smirked and said, '[[over my dead body]] will you ever beat me in a race'"
over my dead body,"in no way, under no circumstances",literal,The cat walked [[over my dead body]] in the crime scene simulation
over the moon,extremely pleased or happy,literal,The astronaut floated [[over the moon about the news]] of a successful mission
over the moon,extremely pleased or happy,figurative,She was [[over the moon about the news]] of her promotion
paddle own canoe,To be able to act without having to depend on anyone.,literal,They had [[to paddle their own canoe]] to reach the other side of the lake
paddle own canoe,To be able to act without having to depend on anyone.,figurative,They decided [[to paddle their own canoe]] and start their own business
paint the town red,to celebrate and have a wild time,figurative,"After winning the championship, they decided [[to paint the town red together]] and celebrate"
paint the town red,to celebrate and have a wild time,literal,"As part of a community art project, they decided [[to paint the town red together]] by covering the walls with vibrant murals"
pass away,die,figurative,Our beloved grandmother [[passed away peacefully]] in her sleep
pass away,die,literal,"The storm [[passed away peacefully]], leaving a calm and clear sky"
pass on the baton,give responsibility for something important to another person.,figurative,The retiring CEO [[passed on the baton to her]] as the new leader of the company
pass on the baton,give responsibility for something important to another person.,literal,"During the relay race, he [[passed on the baton to her]] for the next lap"
pass the buck,passing blame to another person,literal,He handed her a dollar bill and [[passed the buck to her]]
pass the buck,passing blame to another person,figurative,"He didn't want to take responsibility, so he [[passed the buck to her]]"
pass the torch,to pass on the responsibility,figurative,The retiring CEO [[passed the torch to her]] as the new leader of the company
pass the torch,to pass on the responsibility,literal,"During the relay race, he [[passed the torch to her]] for the next lap"
pie in the sky,used to portray or refer to something that is lovely to consider however is probably not going to happen,figurative,His plan to become a millionaire overnight was just [[a pie in the sky]]
pie in the sky,used to portray or refer to something that is lovely to consider however is probably not going to happen,literal,The artist painted [[a pie in the sky]] to represent the whimsical nature of dreams
piece of work,"a complex, tricky, or odd person",figurative,"He was [[a real piece of work]], always causing trouble and stirring up drama"
piece of work,"a complex, tricky, or odd person",literal,"The sculpture she created was [[a real piece of work]], showcasing her artistic talent"
pipe down,to take to one or more notches down to its current standard,figurative,The teacher [[told them to pipe down]] when they were being too loud
pipe down,to take to one or more notches down to its current standard,literal,The plumber [[told them to pipe down]] the water pressure to avoid leaks
play cat and mouse,to play with or tease someone,literal,The children [[played cat and mouse]] by pretending to be animals in their game
play cat and mouse,to play with or tease someone,figurative,The detective [[played cat and mouse]] with the suspect to get a confession
playing second fiddle,to play a secondary or minor role with regards to someone else,literal,"In the orchestra, he was [[playing second fiddle to her]] during the performance"
playing second fiddle,to play a secondary or minor role with regards to someone else,figurative,He didn't like [[playing second fiddle to her]] in the company hierarchy
plays with fire,people who take unnecessary risks or behave in a dangerous way,literal,"As a professional fire performer, [[she plays with fire]] during her shows"
plays with fire,people who take unnecessary risks or behave in a dangerous way,figurative,[[She plays with fire]] by constantly challenging her boss 's authority
prick up ears,to start paying attention,figurative,"When the speaker mentioned a new opportunity, the audience [[pricked up their ears]]"
prick up ears,to start paying attention,literal,The dog [[pricked up their ears]] when they heard a strange noise outside
pull a rabbit out of the hat,do something unexpected or surprising,figurative,Our team [[pulled a rabbit out of the hat]] by winning the game in the last minute
pull a rabbit out of the hat,do something unexpected or surprising,literal,The magician [[pulled a rabbit out of the hat]] during his performance
pull leg,tease someone,literal,"During the therapy session, the therapist [[was pulling my leg]] to stretch my muscles"
pull leg,tease someone,figurative,"When he told me I won the lottery, I thought he [[was pulling my leg]]"
pull the plug,to kill or discontinue,literal,"To save electricity, she decided to [[pull the plug on the project]]or's power cord"
pull the plug,to kill or discontinue,figurative,"Due to budget constraints, the management decided to [[pull the plug on the project]]"
pull the wool over eyes,to deceive someone,figurative,[[They pulled the wool over her eyes]] by pretending to be a wealthy businessman
pull the wool over eyes,to deceive someone,literal,"During the surprise party preparations, [[they pulled the wool over her eyes]] with a blindfold"
pull your socks up,to be determined to work very hard,figurative,"If you want to pass the exam, you need [[to pull your socks up]] and study harder"
pull your socks up,to be determined to work very hard,literal,"Before putting on your shoes, don't forget [[to pull your socks up]]"
push the boat out,celebrate; enjoy oneself.,figurative,"For her birthday, [[we pushed the boat out]] and threw a huge party"
push the boat out,celebrate; enjoy oneself.,literal,[[We pushed the boat out]] into the water to start our fishing trip
put a sock in it,to ask someone to stop talking,literal,"The hole in the wall was letting in cold air, so I decided [[to put a sock in it]]"
put a sock in it,to ask someone to stop talking,figurative,"He was talking too much, so I told him [[to put a sock in it]]"
put cards on the table,be open and honest,literal,"In the middle of the poker game, [[they put their cards on the table]] to reveal their hands"
put cards on the table,be open and honest,figurative,"During the meeting, [[they put their cards on the table]] and discussed their true intentions"
put his heart into,to be very enthusiastic and invest a lot of energy and hard work in something,literal,"As a bizarre art installation, [[he put his heart into the project]] by placing a replica of a human heart in the center"
put his heart into,to be very enthusiastic and invest a lot of energy and hard work in something,figurative,[[He put his heart into the project]] and worked tirelessly to make it a success
put the cart before the horse,to do things in the wrong order or sequence,literal,"In a moment of confusion, the farmer accidentally started [[putting the cart before the horse]]"
put the cart before the horse,to do things in the wrong order or sequence,figurative,"By focusing on the design before understanding the requirements, they were [[putting the cart before the horse]]"
put the clock back,change to a lower level or earlier time.,figurative,He wished he could [[put the clock back an hour]] to avoid the embarrassing situation
put the clock back,change to a lower level or earlier time.,literal,"Due to daylight saving time, we had to [[put the clock back an hour]]"
put your foot in it,"say something (by mistake) that upsets, humiliates, or embarrasses someone",literal,Be careful not to [[put your foot in it]] when stepping over the muddy puddle
put your foot in it,"say something (by mistake) that upsets, humiliates, or embarrasses someone",figurative,"When you mentioned her ex, you really [[put your foot in it]]"
put your head on the block,if you put yourself in a dangerous situation where you risk losing your job or your reputation if things go wrong,literal,"During the historical reenactment, [[he put his head on the block]] for the execution scene"
put your head on the block,if you put yourself in a dangerous situation where you risk losing your job or your reputation if things go wrong,figurative,[[He put his head on the block]] by taking responsibility for the team's failure
queer pitch,spoil somebody's chance of doing something.,figurative,The salesman [[made a queer pitch]] by offering a bizarre combination of products
queer pitch,spoil somebody's chance of doing something.,literal,The baseball player [[made a queer pitch]] by throwing the ball in an unusual manner
rain or shine,Doing something regularly regardless of the circumstances.,figurative,"No matter the obstacles, [[rain or shine, we'll be there]] to support you"
rain or shine,Doing something regularly regardless of the circumstances.,literal,"Regardless of the weather conditions, [[rain or shine, we'll be there]] for the outdoor event"
raise eyebrows,to show surprise or disapproval by the expression on their face,figurative,His controversial statement [[raised eyebrows at the meeting]]
raise eyebrows,to show surprise or disapproval by the expression on their face,literal,The instructor asked everyone to [[raised eyebrows at the meeting]] as a facial exercise
raise the bar,to be better than what went before,literal,The high jump coach [[raised the bar for everyone]] during practice
raise the bar,to be better than what went before,figurative,Her outstanding performance [[raised the bar for everyone]] in the competition
rats in the attic,someone who is bit mad or that their behaviour is eccentric,figurative,"They always seemed a bit off, as if [[they found rats in the attic]]"
rats in the attic,someone who is bit mad or that their behaviour is eccentric,literal,"When they went up to clean, [[they found rats in the attic]]"
ray of sunshine,someone or something that brings hope into the lives of others,literal,The window allowed [[a ray of sunshine in the room]] to brighten the space
ray of sunshine,someone or something that brings hope into the lives of others,figurative,Her positive attitude was [[a ray of sunshine in the room]] during the meeting
ready to drop,to be extremely tired and nearly too exhausted to stay standing,literal,The overripe fruit on the tree [[looked ready to drop]] any moment
ready to drop,to be extremely tired and nearly too exhausted to stay standing,figurative,"After working for 12 hours straight, he [[looked ready to drop]]"
recharge one's batteries,take a break or holiday to relax and regain one's vim and vigour,figurative,They went on a vacation [[to recharge their batteries]] and regain their energy
recharge one's batteries,take a break or holiday to relax and regain one's vim and vigour,literal,They plugged in their devices [[to recharge their batteries]] before leaving the house
red herring,something irrelevant that distracts you from something important,literal,"While exploring the fish market, we [[found a red herring]] among the seafood"
red herring,something irrelevant that distracts you from something important,figurative,The detective [[found a red herring]] in the suspect's alibi
