idiom,instance,label,meaning,maxVote,gold_0,gold_1,AssignmentId,WorkerId,TimeMe,batch_num
just deserts,"after cheating on the test, they received their just deserts when they were caught",figurative,get what one deserves,figurative,figurative,figurative,"['34T446B1CGU0JY86MV1WGY535W6C0M', '3JV9LGBJW9UY3RGUQ2ZQWQM01REOGY']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[108.273, 45.577]",2
just deserts,"at the end of the meal, they received their just deserts as the waiter brought out a platter of sweets",literal,get what one deserves,tie,literal,ambiguous,"['3S06PH7KS7KAVFZ2IA07E96VVY71DH', '3WT783CTPRX13LBGKBYL0F1MWAMBCA']","['A1HKYY6XI2OHO1', 'AKQAI78JTXXC9']","[110.675, 81.809]",4
just off the boat,"he was so naive and inexperienced, as if he was just off the boat",figurative,a person who is naive and inexperienced,figurative,figurative,figurative,"['3KRVW3HTZ31DTT498MEUT0GYU2TSM7', '3X73LLYYQHUUL2BT9THV21YWQHMHNB']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[101.172, 52.15]",2
just off the boat,"soaking wet and carrying their luggage, they were just off the boat from their island trip",literal,a person who is naive and inexperienced,literal,literal,literal,"['3S96KQ6I92KB4ZBBKTKHKFPQNHYDT2', '3SITXWYCNBPP6JMBB7U8ESMWXS9XBX']","['AKQAI78JTXXC9', 'AURYD2FH3FUOQ']","[68.396, 52.884]",4
just what the doctor ordered,a relaxing vacation was just what the doctor ordered after a stressful year,figurative,exactly what was wanted or needed,figurative,figurative,figurative,"['3TK8OJTYMH1Z6OIQUXBRLRU0YBYPV5', '30IQTZXKA0MOMWJ1DRXJUBQD6EUX09']","['A290OV59Q76QC8', 'A2YO837C0O1E91']","[53.466, 45.91]",2
just what the doctor ordered,the prescribed medication was just what the doctor ordered for her condition,literal,exactly what was wanted or needed,literal,literal,literal,"['3X87C8JFVMR4E8210FLBA9034DTSQH', '3EKVH9QMEEKHK0HY1E0LJSG0N45D2U']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[117.609, 42.362]",3
keep an eye on,"as a supervisor, it's my responsibility to keep an eye on the situation and ensure everything runs smoothly",figurative,keep a watch on something or someone closely,figurative,figurative,figurative,"['3OVR4I9US5ZLCN0QAEPTC6KXQXQQ48', '345LHZDEDD8SMKO3R94FC2PGFI13U6']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[58.378, 104.75]",3
keep an eye on,the security guard had to keep an eye on the situation by monitoring the surveillance cameras,literal,keep a watch on something or someone closely,tie,literal,figurative,"['38YMOXR4MAF4B70Q5BHE1TMXAPT6WT', '379J5II414WSDSH67FTA46XUTGCLEZ']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[113.402, 50.501]",4
keep at arm's length,"despite his attempts to get closer, she kept him at arm's length due to her cautious nature",figurative,keep distance from something or somebody,figurative,figurative,figurative,"['3TEM0PF1QLDAOQEKMRW704NLQ6LD0A', '3Q5C1WP232HFR2K934IOGXI3IHU15U']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[98.12, 35.374]",3
keep at arm's length,"during the self-defense training, she kept him at arm's length to maintain a safe distance",literal,keep distance from something or somebody,literal,literal,literal,"['3TMSXRD2XMG94LZTZ55X6XVG2ECW1K', '32KTQ2V7RTVVOE8AZGE3C5B82ONM9T']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[34.797, 40.846]",4
keep card close to chest,"during the negotiations, they kept their cards close to their chest and didn't reveal their true intentions",figurative,"be secretive or cautious, give nothing away",figurative,figurative,figurative,"['3JWH6J9I98TKUP87917ZGQVYVEKBNC', '3NG53N1RLBZ1VCMDM40HTDASNN08P6']","['A290OV59Q76QC8', 'A2TBXASXZIRNNW']","[49.059, 37.718]",3
keep card close to chest,"while playing poker, they kept their cards close to their chest so no one could see their hand",literal,"be secretive or cautious, give nothing away",literal,literal,literal,"['3IUZPWIU14NBAMLF7FBFBCRFBKCKWB', '3EICBYG64KC7L49S83B2Y3KZ4FVCJW']","['A290OV59Q76QC8', 'APRZ7BR8C0ZMQ']","[39.749, 75.573]",4
keep the wolf from the door,"working two jobs, she kept the wolf from the door and provided for her family",figurative,to have sufficient money to prevent starvation or hunger,figurative,figurative,figurative,"['3GS6S824S6DCIS6I4S3V348J5F2WND', '3DEL4X4ELM1LJRFMLZ8SM3KXI1CYXY']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[122.602, 30.971]",3
keep the wolf from the door,"with a sturdy fence, the farmer kept the wolf from the door of his sheep pen",literal,to have sufficient money to prevent starvation or hunger,literal,literal,literal,"['3NVC2EB656F93T881A14FNVTB6QY3D', '36TFCYNS4KQZXWPXBZ4403PUS5EXHD']","['APRZ7BR8C0ZMQ', 'AURYD2FH3FUOQ']","[76.416, 57.204]",4
keep your hair on,"when he started to panic, I told him to keep his hair on and stay calm",figurative,to request someone to stay calm and not get annoyed,figurative,figurative,figurative,"['3HL8HNGX4LHPI4GTDTAQHFRZ5NW9FU', '39PAAFCOD2GXYGBXBEKBQ1VXNOMVT3']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[62.328, 68.86]",3
keep your hair on,"as the wind blew fiercely, I told him to keep his hair on by wearing a hat",literal,to request someone to stay calm and not get annoyed,tie,figurative,literal,"['3GNA64GUZUK3864QOJ83HYQBQTLQ5D', '3YJ6NA41JRWQFTIWD8X8I3J63YUJP1']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[47.881, 48.822]",3
keep your nose clean,"to avoid getting into trouble, focus on keeping your nose clean at work",figurative,to stay out of trouble by not doing anything wrong,figurative,figurative,figurative,"['3GLB5JMZFDB7ZUP50TLALWA1XNADGD', '3WOKGM4L7HW1SN59C0ANBYZKUKSO0I']","['A2LMQ4497NMK3S', 'A2TBXASXZIRNNW']","[147.315, 42.689]",3
keep your nose clean,"during allergy season, keeping your nose clean is essential for comfort",literal,to stay out of trouble by not doing anything wrong,literal,literal,literal,"['3D4CH1LGEQ9VW4COODG8Z0RB62VG9Z', '333U7HK6IPVHQWF68Z6DI92HPFRJDN']","['A290OV59Q76QC8', 'APGX2WZ59OWDN']","[92.342, 55.866]",3
kick the bucket,"the old couple, inseparable in life, kicked the bucket together in their sleep",figurative,to die,figurative,figurative,figurative,"['308XBLVESYK59N0Z28OGPA08WB9BR0', '3DUZQ9U6S24WJGYIMEFLGWZBL58SVB']","['A1LI3JQS2VBOXC', 'A290OV59Q76QC8']","[45.27, 55.47]",3
kick the bucket,"while cleaning the barn, they accidentally kicked the bucket together and spilled water everywhere",literal,to die,literal,literal,literal,"['37Z929RLGPOH6OUTHJF6FEBQOKSSTV', '3SB5N7Y3OJKD0AOBOHXF6PQI3Y1G0N']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[110.352, 45.737]",3
kick yourself,they kicked themselves for not investing in the stock earlier,figurative,to be angry with yourself for something you have or have not done,figurative,figurative,figurative,"['36AHBNMV17S7LLA5UZ7GSWH52J0DYB', '33NF62TLXZIP42LG0GS0MMX79OOJK0']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[48.95, 48.352]",3
kick yourself,"during the yoga class, they accidentally kicked themselves while attempting a new pose",literal,to be angry with yourself for something you have or have not done,literal,literal,literal,"['3WMOAN2SRRDZ336DEIYZH2P5Y6FNV9', '35BLDD71IMDTKSKWH69TCPWE8KNVZY']","['A2LMQ4497NMK3S', 'APRZ7BR8C0ZMQ']","[140.519, 48.56]",4
kill two birds with one stone,"by combining our errands, we killed two birds with one stone and saved time",figurative,accomplish two different things at the same time,figurative,figurative,figurative,"['336KAV9KY68KIBCPXANZWDQ15SQY22', '37C0GNLMHVJ5210ZOGCO95XC39O6DL']","['A110KENBXU7SUJ', 'A38DXFI1TZA295']","[42.775, 33.368]",4
kill two birds with one stone,"with a well-aimed throw, he killed two birds with one stone in the field",literal,accomplish two different things at the same time,literal,literal,literal,"['33UKMF931P0ILO786JKWPJ7CQ36TTL', '3FIUS151DBIABEZW2JMIRHDYAFQGGQ']","['A2LMQ4497NMK3S', 'A2TBXASXZIRNNW']","[148.821, 24.456]",3
kiss and make up,"after the argument, he decided to kiss and make up with her to resolve their differences",figurative,to become friendly again after an argument,figurative,figurative,figurative,"['3DIP6YHAPS8XYLXNDQK6Z1BO9GY8EL', '36NEMU28XVT60ALISROVQPJJ0PSWMD']","['A290OV59Q76QC8', 'AX8NXTT8QMGHC']","[89.512, 33.428]",3
kiss and make up,"during the play, the actors had to kiss and make up with her as part of the scene",literal,to become friendly again after an argument,literal,literal,literal,"['3L70J4KAZW26P3C2ETT0PAZYZSCDAG', '3C5W7UE9CV6LPAQ82WKHS8XQ9RDXMM']","['AURYD2FH3FUOQ', 'AX8NXTT8QMGHC']","[72.112, 48.882]",4
knee jerk reaction,his sudden outburst was a knee jerk reaction to the news of the company's bankruptcy,figurative,an automatic response to something,figurative,figurative,figurative,"['3GS6S824S6DCIS6I4S3V348J5FHNWJ', '3LWJHTCVCS2VA3XFUVLC3AHOFNEFQ0']","['A110KENBXU7SUJ', 'A38DXFI1TZA295']","[90.898, 24.979]",4
knee jerk reaction,"the doctor tapped his patient's leg, causing a knee jerk reaction to the news of the reflex hammer",literal,an automatic response to something,literal,literal,literal,"['3QAVNHZ3E2KPNF0URARO8N7381ZLAP', '3C6FJU71T69T2NLRGUX52WLTOJVYU6']","['A1HKYY6XI2OHO1', 'AX8NXTT8QMGHC']","[96.746, 106.758]",3
knight in shining armour,he came to her rescue like a knight in shining armour when she needed help,figurative,used to describe someone who saves you from a difficult situation,tie,literal,figurative,"['3SNLUL3WOK392OESXF8F8OJXF4RULA', '3FDJT1UU7KOHX36VBEO6LCE2RNTK5F']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[74.656, 47.882]",3
knight in shining armour,"at the medieval festival, there was a knight in shining armour on horseback",literal,used to describe someone who saves you from a difficult situation,literal,literal,literal,"['3QAVNHZ3E2KPNF0URARO8N7381ZLAP', '3C6FJU71T69T2NLRGUX52WLTOJVYU6']","['A1HKYY6XI2OHO1', 'AX8NXTT8QMGHC']","[96.746, 106.758]",3
knock on wood,"hoping for good luck, she knocked on wood before the big presentation",figurative,tap knuckle on wood in order to avoid bad luck,tie,figurative,literal,"['3JWH6J9I98TKUP87917ZGQVYVEKBNC', '3NG53N1RLBZ1VCMDM40HTDASNN08P6']","['A290OV59Q76QC8', 'A2TBXASXZIRNNW']","[49.059, 37.718]",3
knock on wood,"to test the sturdiness of the table, she knocked on wood",literal,tap knuckle on wood in order to avoid bad luck,literal,literal,literal,"['3YHH42UU5RVTM22CZ8UVJHVQZF2L0D', '3RRCEFRB72SY8HY1RWS3HHPY4X54BQ']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[148.688, 27.65]",4
know the ropes,"having worked there for years, he knew the ropes well and could handle any task",figurative,to know all the ways and means to get something done,figurative,figurative,figurative,"['3KMS4QQVKI69Z0ZKHQ1F7O5FGHMFK8', '3LOTDFNYANF0U0T164KIVZZA3OVFW4']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[123.239, 24.427]",4
know the ropes,"as an experienced sailor, he knew the ropes well and could tie any knot",literal,to know all the ways and means to get something done,literal,literal,literal,"['3HRMW88U1M6DSKKXZKVAJUAFZKT0MV', '3E7TUJ2EGS2SKK2XMNF0TFOETAUD91']","['A110KENBXU7SUJ', 'AX8NXTT8QMGHC']","[20.655, 47.281]",4
know which side one's bread is buttered,"he always supports the boss's decisions, showing that he knows which side his bread is buttered",figurative,to be cognizant of where one's interests lie in a given situation.,figurative,figurative,figurative,"['3KB8R4ZV1UNEKXRLMXU4Q6M1U2YGB9', '3R2PKQ87NCOOZF1D3AKGPYABLEUIMS']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[31.604, 75.791]",3
know which side one's bread is buttered,he carefully observed the sandwich and knows which side his bread is buttered to avoid getting his hands greasy,literal,to be cognizant of where one's interests lie in a given situation.,literal,literal,literal,"['3TK8OJTYMH1Z6OIQUXBRLRU0YBYPV5', '30IQTZXKA0MOMWJ1DRXJUBQD6EUX09']","['A290OV59Q76QC8', 'A2YO837C0O1E91']","[53.466, 45.91]",2
knowing which way the wind blows,he made a wise decision by knowing which way the wind blows in the company,figurative,this means that you should know how things are developing and be prepared for the future,figurative,figurative,figurative,"['3TK8OJTYMH1Z6OIQUXBRLRU0YBYPV5', '30IQTZXKA0MOMWJ1DRXJUBQD6EUX09']","['A290OV59Q76QC8', 'A2YO837C0O1E91']","[53.466, 45.91]",2
knowing which way the wind blows,"as an experienced sailor, he was skilled at knowing which way the wind blows",literal,this means that you should know how things are developing and be prepared for the future,literal,literal,literal,"['3VHHR074HJX74D2WK7F4YW5D7T8L7D', '39ASUFLU6DNNDMYVLYWYF0SH0PMXEX']","['A110KENBXU7SUJ', 'A290OV59Q76QC8']","[80.386, 62.228]",4
last resort,he decided to ask his parents for help as a last resort when all other options failed,figurative,the last thing you would do if you were desperate and all other courses of action had failed,figurative,figurative,figurative,"['3FIJLY1B6AKAARW0UI6N35REARSFP9', '3KRVW3HTZ31DTT498MEUT0GYUCBSM9']","['AKQAI78JTXXC9', 'AX8NXTT8QMGHC']","[35.085, 35.864]",4
last resort,"the hotel named 'The Last Resort' was the only available option, so we booked it as a last resort",literal,the last thing you would do if you were desperate and all other courses of action had failed,tie,discard,figurative,"['3X65QVEQIG3DGUXSBONFEIXR84ZLC6', '38BQUHLA9CGYV1CG15XL9V6XXN8OM8']","['A110KENBXU7SUJ', 'AX8NXTT8QMGHC']","[33.41, 102.137]",4
lead astray,the false information led them astray in their investigation,figurative,make someone act or think in a wrong or foolish manner.,tie,figurative,literal,"['31IBVUNM98FNFBTWGUFM9XGWWFTVFA', '3W92K5RLWAXVDE07AI2DNLPJ7LFV5R']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[51.365, 26.483]",4
lead astray,the broken compass led them astray in the dense forest,literal,make someone act or think in a wrong or foolish manner.,literal,literal,literal,"['3A1COHJ8NZB9IVOP3RSCK4811WQ8H1', '358UUM7WRFJI7BX9PRC0K8ECDLIR7U']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[55.154, 144.789]",3
lean towards,"after considering the pros and cons, she was leaning towards that option",figurative,to be interested in something,figurative,figurative,figurative,"['37FMASSAYS7SGOXGCLU7BIZH9FQBIW', '35BLDD71IMDTKSKWH69TCPWE8K8VZJ']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[47.212, 156.678]",3
lean towards,"while standing near the table, he was leaning towards that option to get a closer look",literal,to be interested in something,literal,literal,literal,"['354P56DE90JU8QXM4GC5AIJ8ZNGS7Y', '3H0W84IWB0I3GQCJCZQ6QI6TZ81REV']","['AURYD2FH3FUOQ', 'AX8NXTT8QMGHC']","[57.272, 41.765]",4
leaps and bounds,"after attending the workshop, her skills made progress in leaps and bounds",figurative,progress very quickly,figurative,figurative,figurative,"['3J4Q2Z4UTEJXLPJAKKVC7Y3OAQPQWU', '33CKWXB73Z0G3KJQ2HGCD75M61P11C']","['A2TBXASXZIRNNW', 'APRZ7BR8C0ZMQ']","[29.084, 39.803]",3
leaps and bounds,the kangaroo made progress in leaps and bounds across the field,literal,progress very quickly,literal,literal,literal,"['34S9DKFK7J5G7X1IJTLJO1TZGNHNYI', '3N8OEVH1F76MV4XSELCY1ZV2SNNOON']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[53.079, 28.202]",4
learn to walk before you run,you should learn to walk before you run when it comes to mastering a new skill,figurative,to take smaller steps initially,figurative,figurative,figurative,"['3R6BYFZZPNSFJ0YRG9G4XIDHCQMFXI', '3S3AMIZX3ALUII90Y7PRV5PMZVIDC3']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[113.826, 54.856]",3
learn to walk before you run,"as a toddler, you must learn to walk before you run to avoid falling",literal,to take smaller steps initially,literal,literal,literal,"['31HQ4X3T38QTNBMO8ADFTN19U7LSL7', '3HUTX6F6VA38OX8NRNE1UMSZRIS2OW']","['A38DXFI1TZA295', 'AX8NXTT8QMGHC']","[56.748, 41.86]",4
leave at the altar,he left her at the altar when he decided not to show up for their wedding,figurative,decide not to marry someone at the very last moment,tie,literal,figurative,"['3WYP994K1N780CVQKCZ2MQ7DLXE6YD', '33C7UALJV1EYEK3B12PRSHSUK7V18W']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[81.097, 55.715]",3
leave at the altar,he left her at the altar to fetch the forgotten wedding rings from their car,literal,decide not to marry someone at the very last moment,literal,literal,literal,"['3IUZPWIU14NBAMLF7FBFBCRFBKCKWB', '3EICBYG64KC7L49S83B2Y3KZ4FVCJW']","['A290OV59Q76QC8', 'APRZ7BR8C0ZMQ']","[39.749, 75.573]",4
leave no stone unturned,"to find the perfect gift for her, they left no stone unturned in their search",figurative,do everything that is possible in order to achieve something,figurative,figurative,figurative,"['3LO69W1SUJTQX6DXDAJY49I66WRLGG', '3ND9UOO810IMUS3XSFNGQC4U0KHLWF']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[33.192, 151.904]",4
leave no stone unturned,"during the archaeological dig, they left no stone unturned to uncover hidden artifacts",literal,do everything that is possible in order to achieve something,tie,literal,ambiguous,"['3PW9OPU9P60NS51MLLGQIQFRY7312T', '3E7TUJ2EGS2SKK2XMNF0TFOETAFD9M']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[81.149, 157.287]",3
leg up,the scholarship gave her a leg up in her pursuit of higher education,figurative,give or receive assistance to achieve a goal,figurative,figurative,figurative,"['33M4IA01QWHCMQ3074GYE7R0FEXRXP', '39OWYR0EP074J5O1L526GWKQEWGYF7']","['A2A6FH0F7LD9ND', 'APRZ7BR8C0ZMQ']","[50.764, 44.89]",3
leg up,he gave her a leg up to help her climb over the fence,literal,give or receive assistance to achieve a goal,literal,literal,literal,"['3P529IW9KE1KJ6H22QDGMOIU5HCLF2', '374TNBHA8RB1AUEAZLD0SVO4LYPYQ1']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[38.987, 145.493]",3
let sleeping dogs lie,it's better to let sleeping dogs lie and not bring up past conflicts,figurative,its best to leave a situation as it is if disturbing it might cause trouble,figurative,figurative,figurative,"['3E7TUJ2EGS2SKK2XMNF0TFOET0C9DV', '3IGI0VL64N04DJXGD6CLMAVX231ON7']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[141.766, 36.871]",2
let sleeping dogs lie,"while walking through the park, we decided to let sleeping dogs lie and not disturb them",literal,its best to leave a situation as it is if disturbing it might cause trouble,tie,literal,ambiguous,"['3IUZPWIU14NBAMLF7FBFBCRFBKCKWB', '3EICBYG64KC7L49S83B2Y3KZ4FVCJW']","['A290OV59Q76QC8', 'APRZ7BR8C0ZMQ']","[39.749, 75.573]",4
let the cat out of the bag,he accidentally let the cat out of the bag about the surprise party,figurative,to let a secret out in the open,figurative,figurative,figurative,"['3D4CH1LGEQ9VW4COODG8Z0RB6SS9G5', '39RP059MEX9EC7N7X0SZ3B6YQE8BMQ']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.477, 87.946]",2
let the cat out of the bag,she opened the bag and let the cat out of the bag after bringing it home from the shelter,literal,to let a secret out in the open,literal,literal,literal,"['3H8DHMCCWPRC1GLOQK6PJO2U446DKV', '3HVVDCPGTU8E2A62GP7VX0ZR553TYP']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[126.35, 48.504]",4
lick his wounds,he licked his wounds after the fight by taking some time to recover from the emotional blow,figurative,"to try to recover your confidence or spirit after a defeat, failure or disappointment",figurative,figurative,figurative,"['3QEMNNSB2DFO61E47QHGFJX8YKRD7A', '3IAEQB9FMU03WGF5FYPS7ZWPRB0DWC']","['A290OV59Q76QC8', 'APGX2WZ59OWDN']","[45.757, 99.104]",3
lick his wounds,the injured dog licked his wounds after the fight with another canine,literal,"to try to recover your confidence or spirit after a defeat, failure or disappointment",literal,literal,literal,"['3634BBTX04AIT59WHNG3U8Q2ODXFIX', '36U2A8VAGHFFZRGFMGT3W9CVMSCKYA']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[100.679, 45.876]",4
lick your lips,they licked their lips in anticipation of the delicious meal,figurative,to show that you're excited about something and are eager for it to happen,tie,figurative,literal,"['3F0BG9B9M53R4C9V3M4US479G8CY7I', '358UUM7WRFJI7BX9PRC0K8ECDLXR79']","['APRZ7BR8C0ZMQ', 'AURYD2FH3FUOQ']","[69.958, 65.715]",4
lick your lips,"after eating the ice cream, they licked their lips to clean off the remaining traces",literal,to show that you're excited about something and are eager for it to happen,literal,literal,literal,"['3YDGXNSEOFAF6J0UOK8TQFZXWR548C', '3LWJHTCVCS2VA3XFUVLC3AHOFNZQFW']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[70.601, 146.717]",3
lie low,"after the controversy, he decided to lie low and avoid the media",figurative,"To go out of sight, usually after having done something bad.",figurative,figurative,figurative,"['3QHK8ZVMI2YU6P5MXORK3YR9QJZLBZ', '3X3OR7WPZFGB4R7FUC7ACW18IDF8LO']","['A290OV59Q76QC8', 'AKQAI78JTXXC9']","[45.864, 79.556]",4
lie low,"during the game of hide and seek, he decided to lie low in the tall grass",literal,"To go out of sight, usually after having done something bad.",literal,literal,literal,"['3YGXWBAF7GXHIMQ75WOYS1VGM8M4CU', '3MHW492WWGTTLLLD2HJZ4N05T6PVMH']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[152.895, 31.362]",2
lights are on but nobody is home,"when I tried to explain the situation to him, it seemed like the lights are on but nobody is home",figurative,used to describe a stupid person.,figurative,figurative,figurative,"['3X3OR7WPZFGB4R7FUC7ACW18IDEL80', '3UXUOQ9OKUDQ8UBSNGQEPIP2DHAA7L']","['A1HKYY6XI2OHO1', 'A38DXFI1TZA295']","[103.122, 37.088]",4
lights are on but nobody is home,I walked past the house and noticed that the lights are on but nobody is home,literal,used to describe a stupid person.,literal,literal,literal,"['339ANSOTRLIT9R1AIY70ALI7W9ZIKN', '3IGI0VL64N04DJXGD6CLMAVX2D3ONT']","['APRZ7BR8C0ZMQ', 'AX8NXTT8QMGHC']","[26.273, 37.648]",3
line in the sand,he decided to draw a line in the sand and confront his coworker about the issue,figurative,a boundary beyond which one cannot proceed without consequences,figurative,figurative,figurative,"['3PM8NZGV8EWCAPO0UPRY9HHVJSVQXN', '35USIKEBN7WEODRCDAQR5A96HDA6NN']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[29.643, 45.743]",3
line in the sand,"while playing at the beach, the children decided to draw a line in the sand to divide their territories",literal,a boundary beyond which one cannot proceed without consequences,literal,literal,literal,"['33FBRBDW64FI1ND9HZEB9DBLO41C8C', '32VNZTT0ANKLOOFQNTETHWU2MJ7R4P']","['APRZ7BR8C0ZMQ', 'AX8NXTT8QMGHC']","[30.495, 66.298]",4
live at rack and manger,"after winning the lottery, they lived at rack and manger with no financial worries",figurative,in between plenty and abundance,figurative,figurative,figurative,"['30JNVC0ORP0FOZOLPL9C6VT1VS9HQY', '37C0GNLMHVJ5210ZOGCO95XC3Z7D6R']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[127.313, 77.38]",2
live at rack and manger,"the horses in the stable lived at rack and manger, with food and shelter provided",literal,in between plenty and abundance,tie,literal,figurative,"['33LK57MYL9LDS03SNB4O12C79GTZSX', '3ATTHHXXWQ4ZTR0HHHMP0FQ9SITXI6']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[117.721, 40.575]",4
loaves and fishes,the charity event shared loaves and fishes by providing for the needy,figurative,done for material benefits,tie,literal,ambiguous,"['3TOK3KHVJ9YFAY5TXZVWQD972OV7OE', '3M68NM076XNZ3BJ46H78EUEGI0VR68']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[123.647, 59.048]",2
loaves and fishes,"at the picnic, they shared loaves and fishes among the attendees",literal,done for material benefits,literal,literal,literal,"['3X3OR7WPZFGB4R7FUC7ACW18IDZ8L8', '3137ONMDKWLCR035WOWURESMXZBGE9']","['A290OV59Q76QC8', 'AX8NXTT8QMGHC']","[64.597, 34.92]",3
long in the tooth,he's getting long in the tooth and might retire soon,figurative,To get too old for something.,figurative,figurative,figurative,"['3CFJTT4SX965ECUQZ4IR6GDLQPEI7W', '3R9WASFE2FW4OVY6HR4PU3TSKQZZFE']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[107.171, 99.553]",4
long in the tooth,"the horse was getting long in the tooth as it aged, making it easier to determine its age",literal,To get too old for something.,literal,literal,literal,"['3LO69W1SUJTQX6DXDAJY49I66WCLG1', '3OVHNO1VEMH7QBKAQL9Z63Q78D4DZ2']","['A2LMQ4497NMK3S', 'APRZ7BR8C0ZMQ']","[117.981, 58.027]",3
long run,investing in education will pay off in the long run,figurative,far away in the future,figurative,figurative,figurative,"['3GDTJDAPVARVA9P0UO8PC9GXII5M84', '34J10VATJVEFKUZ5V3RX67UGVF6IQU']","['A1HKYY6XI2OHO1', 'APRZ7BR8C0ZMQ']","[113.986, 73.147]",4
long run,the marathon was in the long run category of races,literal,far away in the future,literal,literal,literal,"['3TOK3KHVJ9YFAY5TXZVWQD972OV7OE', '3M68NM076XNZ3BJ46H78EUEGI0VR68']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[123.647, 59.048]",2
look before you leap,"when making a big decision, always remember to look before you leap",figurative,to make sure that everything is alright before doing something important which you cannot revert,tie,figurative,ambiguous,"['308Q0PEVBOT9SVIJE1GBKC4RL5K9IX', '3SNLUL3WOK392OESXF8F8OJXFUPLUF']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[41.075, 83.204]",2
look before you leap,"while standing on the edge of the diving board, he was reminded to look before you leap",literal,to make sure that everything is alright before doing something important which you cannot revert,literal,literal,literal,"['3VP0C6EFSWC86V6C19BRSVK6CNFM6I', '3ON104KXQ0CQWKWCMNOZ4V2JEYMW4X']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[99.163, 27.507]",4
look on the bright side,"despite the setback, she encouraged us to look on the bright side of things and learn from the experience",figurative,always try to see the good things even in bad situations,figurative,figurative,figurative,"['3PH3VY7DJ1D6ZHK17GEPYRFSFTPZWC', '3D4CH1LGEQ9VW4COODG8Z0RB62AG9E']","['A110KENBXU7SUJ', 'A38DXFI1TZA295']","[25.492, 41.235]",4
look on the bright side,"as the sun rose, we decided to look on the bright side of things and enjoy the beautiful view",literal,always try to see the good things even in bad situations,tie,figurative,ambiguous,"['3R6BYFZZPNSFJ0YRG9G4XIDHCQ1XFF', '34PGFRQON4RGZ2FXPUB3AXR2WVCWJO']","['A110KENBXU7SUJ', 'AKQAI78JTXXC9']","[37.455, 66.721]",4
looked through colored glasses,she always looked through colored glasses when it came to her children's achievements,figurative,to look the things not as they are; having a heavily biased worldview,figurative,figurative,figurative,"['339ANSOTRLIT9R1AIY70ALI7W9ZIKN', '3IGI0VL64N04DJXGD6CLMAVX2D3ONT']","['APRZ7BR8C0ZMQ', 'AX8NXTT8QMGHC']","[26.273, 37.648]",3
looked through colored glasses,"during the art class, we looked through colored glasses to observe the effects on the painting",literal,to look the things not as they are; having a heavily biased worldview,literal,literal,literal,"['3Y5140Z9DDWUKIYQVQC86246QJ5PIV', '3K2755HG58J1LUTAP9FS3BAPW8ADFE']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[56.018, 35.237]",3
