idiom,instance,label,meaning,maxVote,gold_0,gold_1,AssignmentId,WorkerId,TimeMe,batch_num,gold,WorkerIdPosition
eat him alive,the carnivorous insects would eat him alive in the competition if he didn't wear protective gear,literal,to criticize someone severely because you are angry with them,literal,literal,literal,"['3NQL1CS157OTF2ARLK7AYINC2Q4YVV', '3IOEN3P9SNZBA6KN8NST83W3EC516A']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[101.669, 26.319]",3,"['literal', 'literal']",0
every nook and cranny,"during the deep cleaning, they searched every nook and cranny of the house for dust and dirt",literal,to look for something everywhere,literal,literal,literal,"['308Q0PEVBOT9SVIJE1GBKC4RL5K9IX', '3SNLUL3WOK392OESXF8F8OJXFUPLUF']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[41.075, 83.204]",2,"['literal', 'literal']",1
fall on his sword,he decided to fall on his sword and take responsibility for the team's failure,figurative,to accept the consequences of an unsuccessful or wrong action,figurative,figurative,figurative,"['3FQ5JJ51214LNSC1FEKSFTEOI8TNK8', '3L4PIM1GQ9W1MVTAC020XLY9HKRRYV']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[61.926, 75.256]",3,"['figurative', 'figurative']",1
fall on his sword,"during the reenactment, he accidentally tripped and started to fall on his sword",literal,to accept the consequences of an unsuccessful or wrong action,literal,literal,literal,"['35GMH2SV3UX0JDK3K792WN1OOL2EOU', '3IUZPWIU14NBAMLF7FBFBCRFBKXWK8']","['A2A6FH0F7LD9ND', 'APRZ7BR8C0ZMQ']","[97.737, 44.829]",3,"['literal', 'literal']",0
fall on our feet,"despite the challenges, we managed to fall on our feet and succeed",figurative,to succeed in doing something where there was a risk of failure,figurative,figurative,figurative,"['3NQL1CS157OTF2ARLK7AYINC2Q4YVV', '3IOEN3P9SNZBA6KN8NST83W3EC516A']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[101.669, 26.319]",3,"['figurative', 'figurative']",0
fall on our feet,"during the dance routine, we tripped and managed to fall on our feet",literal,to succeed in doing something where there was a risk of failure,literal,literal,literal,"['3KYQYYSHYBNVR763OCYIQ5J3OZYODO', '3MMN5BL1WFK99CJUI7DTLS8M2MVM3A']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[41.239, 71.186]",2,"['literal', 'literal']",1
far cry from,the movie adaptation was a far cry from the original book,figurative,something that is very different from something else,figurative,figurative,figurative,"['30JNVC0ORP0FOZOLPL9C6VT1VSDHQ2', '3TS1AR6UQ6UL4LS0YWC63J0TAN47FS']","['A2LMQ4497NMK3S', 'AKQAI78JTXXC9']","[159.239, 113.325]",2,"['figurative', 'figurative']",1
far cry from,the echo of her voice was a far cry from the original sound,literal,something that is very different from something else,tie,literal,figurative,"['3SNLUL3WOK392OESXF8F8OJXF4RULA', '3FDJT1UU7KOHX36VBEO6LCE2RNTK5F']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[74.656, 47.882]",3,"['literal', 'figurative']",0
feather in your cap,the hat you're wearing has a feather in your cap as a decoration,literal,It means to have an achievement in your name.,literal,literal,literal,"['33SA9F9TRDA8OMT5BT0CDHEARDYEWJ', '3PW9OPU9P60NS51MLLGQIQFRYX0217']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.421, 74.937]",2,"['literal', 'literal']",1
feel the pinch,"when the crab grabbed his finger, he started to feel the pinch",literal,experience financial hardship,literal,literal,literal,"['3P1L2B7ADH5EPJUV1TW69IR8X80LO1', '37FMASSAYS7SGOXGCLU7BIZH95OBIA']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[100.216, 34.816]",2,"['literal', 'literal']",1
feet of clay,"despite his confident demeanor, he had feet of clay when it came to public speaking",figurative,have a flaw or weakness most people are unaware of.,figurative,figurative,figurative,"['3VFJCI1K4FF1048AIUGUQLR5COGRGC', '3V5Q80FXID7J28F18PU96JUOWRX232']","['A110KENBXU7SUJ', 'A1HKYY6XI2OHO1']","[21.296, 122.951]",4,"['figurative', 'figurative']",0
fight a losing battle,the outnumbered soldiers knew they were fighting a losing battle against the invading forces,literal,trying to do something even when there is little chance of succeeding,literal,literal,literal,"['3OVR4I9US5ZLCN0QAEPTC6KXQXQQ48', '345LHZDEDD8SMKO3R94FC2PGFI13U6']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[58.378, 104.75]",3,"['literal', 'literal']",1
fill the bill,the waiter filled the bill perfectly with all the items we ordered,literal,be exactly suitable for a particular situation,literal,literal,literal,"['37TRT2X2467OBZHMU3F7NJEHMKDJBU', '3KXIR214IKW4K4Y583ZSGOMUAHC42O']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[56.205, 91.41]",2,"['literal', 'literal']",0
fingers and thumbs,the hand puppet was all fingers and thumbs with no other features,literal,to be clumsy and not very skilled with your hands,literal,literal,literal,"['30BXRYBRPKDK8WK71U8IYKBNJTPWHG', '31Q0U3WYD5VUE6YSRXXLEHWZ9DM71S']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[57.123, 70.349]",2,"['literal', 'literal']",1
fingers crossed,I'm keeping my fingers crossed for good news about the job offer,figurative,a gesture of crossed fingers used to express good luck,tie,ambiguous,figurative,"['34HJIJKLPLCDHVW7WDJ3ITJ57PKV4M', '3NLZY2D5355HAV7BG6OAYNM8CJ0LQB']","['A110KENBXU7SUJ', 'A38DXFI1TZA295']","[35.169, 26.816]",4,"['ambiguous', 'figurative']",0
fish out of water,he felt like a fish out of water at the formal event,figurative,to feel uncomfortable in unfamiliar surroundings,figurative,figurative,figurative,"['3S06PH7KS7KAVFZ2IA07E96VVY71DH', '3WT783CTPRX13LBGKBYL0F1MWAMBCA']","['A1HKYY6XI2OHO1', 'AKQAI78JTXXC9']","[110.675, 81.809]",4,"['figurative', 'figurative']",1
fish out of water,the poor creature flopped around like a fish out of water when it was accidentally dropped on the floor,literal,to feel uncomfortable in unfamiliar surroundings,tie,literal,ambiguous,"['36W0OB37HCUO2RPCCHSPXO5505XZHX', '34J10VATJVEFKUZ5V3RX67UGVFRIQF']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[52.524, 47.956]",3,"['literal', 'ambiguous']",0
flesh and blood,the horror movie showed a scene where my own flesh and blood was exposed after a terrible accident,literal,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood.",literal,literal,literal,"['3FK0YFF9PFWCB8FMG9KQRJJIK9HVVY', '3SEPORI8W3F9S4HY6BIXG2I1NANAZD']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[32.455, 146.45]",4,"['literal', 'literal']",0
foot in mouth,"during a yoga class, I put my foot in my mouth while attempting a difficult pose",literal,to say something by accident that embarrasses or upsets someone,tie,ambiguous,literal,"['3LOZAJ85YTTVI6MFSE1XDZJS3MX2X1', '3X4JMASXC2PH9TG08V515EZLNLP0B6']","['AKQAI78JTXXC9', 'APRZ7BR8C0ZMQ']","[79.347, 48.131]",4,"['ambiguous', 'literal']",0
from A to Z,the alphabet book helped the child learned it from A to Z,literal,comprehensive,literal,literal,literal,"['35GMH2SV3UX0JDK3K792WN1OOL2EOU', '3IUZPWIU14NBAMLF7FBFBCRFBKXWK8']","['A2A6FH0F7LD9ND', 'APRZ7BR8C0ZMQ']","[97.737, 44.829]",3,"['literal', 'literal']",0
full of beans,the bag seemed full of beans as it bulged and weighed heavily in her hand,literal,to be optimistic or enthusiastic,literal,literal,literal,"['3RYC5T2D7J97DH19LD6HKU5XDFOPRZ', '36DSNE9QZLE8UT6VY8KTT3EGTTYJOK']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[77.538, 158.473]",3,"['literal', 'literal']",0
get one's feet wet,they got their feet wet by starting with a small project before tackling the big one,figurative,to begin taking part in a new activity,tie,figurative,ambiguous,"['3F6KKYWMNRHD9M6RNXY5BGJYYPTND8', '37QW5D2ZRW2Y8425EL4BOIF3AX58S0']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[124.668, 63.569]",2,"['figurative', 'ambiguous']",1
get one's feet wet,they got their feet wet when they accidentally stepped into a puddle,literal,to begin taking part in a new activity,literal,literal,literal,"['3TEM0PF1QLDAOQEKMRW704NLQ6LD0A', '3Q5C1WP232HFR2K934IOGXI3IHU15U']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[98.12, 35.374]",3,"['literal', 'literal']",1
get out of bed on the wrong side,"he was so grumpy today, it seemed like he got out of bed on the wrong side",figurative,be very irritable and grouchy,figurative,figurative,figurative,"['3XUHV3NRV0EQVD5N5TL98KYAZWNH5M', '3RKNTXVS32ETP7T9LIS7M65SM514AS']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[65.204, 151.035]",2,"['figurative', 'figurative']",0
get over it,he finally got over it by climbing the fence,literal,accept something and move on,tie,ambiguous,literal,"['3CN4LGXD5D4ULPRC1O6NPSNZP6MY4Y', '3P1L2B7ADH5EPJUV1TW69IR8XIILO3']","['A110KENBXU7SUJ', 'A1HKYY6XI2OHO1']","[27.433, 126.192]",4,"['ambiguous', 'literal']",0
get the wrong end of the stick,he misunderstood the situation and got the wrong end of the stick,figurative,to understand something in the wrong way,figurative,figurative,figurative,"['337RC3OW0LI9F33S25IK4ALGTBFLV5', '34X6J5FLP9EBF5JBDLCXI89G8UVQJE']","['A1HKYY6XI2OHO1', 'AKQAI78JTXXC9']","[108.09, 31.38]",4,"['figurative', 'figurative']",1
get to the bottom,the detective was determined to get to the bottom of the issue and solve the case,figurative,to find out the truth relating to a situation,tie,figurative,literal,"['3KYQYYSHYBNVR763OCYIQ5J3OZYODO', '3MMN5BL1WFK99CJUI7DTLS8M2MVM3A']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[41.239, 71.186]",2,"['figurative', 'literal']",1
give a shot,"even though he was nervous, he gave it a shot and presented his idea to the team",figurative,to have a try at something,figurative,figurative,figurative,"['3EKVH9QMEEKHK0HY1E0LJSG0N4KD29', '3ZAZR5XV0HYXLJEWQPEOMX8PND7ZC3']","['AKQAI78JTXXC9', 'APRZ7BR8C0ZMQ']","[112.571, 172.899]",4,"['figurative', 'figurative']",0
glass ceiling,"while installing the chandelier, he accidentally hit the glass ceiling and shattered it",literal,"an unseen (glass) barrier for women and people who belong to minority groups in climbing up the corporate, political or the ladder of success regardless of whether they are qualified for the job",literal,literal,literal,"['3OONKJ5DKSZ2CA8JAG7CVFV3LO4OBJ', '3ZGVPD4G69XE70G7CB9EB78TBZ7ZTM']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[28.331, 143.753]",4,"['literal', 'literal']",0
go steady,"during the balance exercise, they decided to go steady and avoid sudden movements",literal,have a romantic relationship with someone,literal,literal,literal,"['3HRMW88U1M6DSKKXZKVAJUAFZKT0MV', '3E7TUJ2EGS2SKK2XMNF0TFOETAUD91']","['A110KENBXU7SUJ', 'AX8NXTT8QMGHC']","[20.655, 47.281]",4,"['literal', 'literal']",0
go the extra mile,"to make sure the project was perfect, he went the extra mile and double - checked everything",figurative,to make an extra effort,figurative,figurative,figurative,"['3HL8HNGX4LHPI4GTDTAQHFRZ5NW9FU', '39PAAFCOD2GXYGBXBEKBQ1VXNOMVT3']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[62.328, 68.86]",3,"['figurative', 'figurative']",0
go through the roof,his anger went through the roof when he found out about the betrayal,figurative,to become very angry,figurative,figurative,figurative,"['3634BBTX04AIT59WHNG3U8Q2ODXIF0', '37QW5D2ZRW2Y8425EL4BOIF3A7MS8L']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[57.07, 148.37]",4,"['figurative', 'figurative']",0
goose egg,"despite her efforts in the competition, she scored a goose egg and felt disappointed",figurative,zero,figurative,figurative,figurative,"['3634BBTX04AIT59WHNG3U8Q2ODXIF0', '37QW5D2ZRW2Y8425EL4BOIF3A7MS8L']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[57.07, 148.37]",4,"['figurative', 'figurative']",0
green around the gills,"after the roller coaster ride, he was looking green around the gills from nausea",figurative,Someone who looks sick or nauseated.,figurative,figurative,figurative,"['3E1QT0TDF5P9EQZ999AXKG9G19L8IA', '37UQDCYH6DBA0IEQYBHAL53FYRAV76']","['AKQAI78JTXXC9', 'APRZ7BR8C0ZMQ']","[106.53, 42.027]",4,"['figurative', 'figurative']",0
halfway house,the compromise solution was like staying at the halfway house for both parties,figurative,"mid-point in recovery, treatment, or progress",tie,figurative,discard,"['3QAVNHZ3E2KPNF0URARO8N7381ELA4', '3JWH6J9I98TKUP87917ZGQVYVE0BNS']","['A110KENBXU7SUJ', 'APRZ7BR8C0ZMQ']","[37.111, 86.87]",4,"['figurative', 'discard']",0
hammer and tongs,they went at it hammer and tongs during the heated debate,figurative,"to argue fiercely, with a lot of energy and noise",figurative,figurative,figurative,"['3FIJLY1B6AKAARW0UI6N35REARSFP9', '3KRVW3HTZ31DTT498MEUT0GYUCBSM9']","['AKQAI78JTXXC9', 'AX8NXTT8QMGHC']","[35.085, 35.864]",4,"['figurative', 'figurative']",0
hand in hand,success and hard work walked hand in hand in her life,figurative,close ties or connections,figurative,figurative,figurative,"['3D4CH1LGEQ9VW4COODG8Z0RB6SS9G5', '39RP059MEX9EC7N7X0SZ3B6YQE8BMQ']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.477, 87.946]",2,"['figurative', 'figurative']",1
happy camper,"after the long meeting, she was not a happy camper",figurative,to be content or satisfied with what is happening in your lifes and have no complaints,tie,figurative,ambiguous,"['38YMOXR4MAF4B70Q5BHE1TMXAFA6WQ', '30MVJZJNH2T5N62PWJ1BWDJRYKAJ9K']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[99.355, 38.979]",2,"['figurative', 'ambiguous']",1
happy camper,"when the tent collapsed, he was not a happy camper at the campsite",literal,to be content or satisfied with what is happening in your lifes and have no complaints,tie,figurative,literal,"['3EQHHY4HQ88CVHACLN3RNKM9K6S5GD', '3B837J3LD4C4Q9H1DUABFZA80ZASRX']","['A110KENBXU7SUJ', 'APRZ7BR8C0ZMQ']","[19.442, 59.301]",4,"['figurative', 'literal']",0
have a big mouth,the hippopotamus has a big mouth that can open up to 150 degrees,literal,one who gossips more or says things that are meant to be kept secret,literal,literal,literal,"['35GMH2SV3UX0JDK3K792WN1OOBZOEH', '3VP0C6EFSWC86V6C19BRSVK6CDX6M0']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[62.593, 57.684]",2,"['literal', 'literal']",1
have no truck with,the delivery company said they have no truck with them to transport our goods,literal,avoid dealing or being associated with,literal,literal,literal,"['3LO69W1SUJTQX6DXDAJY49I66WRLGG', '3ND9UOO810IMUS3XSFNGQC4U0KHLWF']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[33.192, 151.904]",4,"['literal', 'literal']",0
hit the bull's-eye,her speech hit the bull's-eye and resonated with the audience,figurative,to be exactly right about something or achieve the best result possible,figurative,figurative,figurative,"['3SLE99ER03TEBEMQCPITBD275SSZBH', '37UEWGM5H9O4WPI70BVRJYNZAZIR1X']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[85.842, 46.261]",3,"['figurative', 'figurative']",0
hit the hay,"during the farm chores, it was time to hit the hay with a pitchfork",literal,to go to sleep or head to bed.,literal,literal,literal,"['34Q075JO1DTGWVY86YCCZ2MC19J109', '37TRT2X2467OBZHMU3F7NJEHMUFJBG']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[88.712, 44.096]",3,"['literal', 'literal']",0
hit the nail on the head,"when she suggested a new marketing strategy, she really hit the nail on the head",figurative,be accurately right about something,figurative,figurative,figurative,"['31HQ4X3T38QTNBMO8ADFTN19UX3SL5', '3180JW2OTKSMMJ0DTTOUKXEPCOQJ5S']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[48.675, 79.492]",2,"['figurative', 'figurative']",1
hit the road,"during the earthquake, the car forcefully hit the road together with a loud thud",literal,depart,literal,literal,literal,"['3E7TUJ2EGS2SKK2XMNF0TFOET0C9DV', '3IGI0VL64N04DJXGD6CLMAVX231ON7']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[141.766, 36.871]",2,"['literal', 'literal']",1
hit the sack,"during the pillow fight, she decided to hit the sack and send feathers flying",literal,to go to bed,literal,literal,literal,"['35GCEFQ6IL498JIDXW3NTU4VH0UZ35', '3300DTYQTIX34PXJZK16LSWO3M0QEU']","['AKQAI78JTXXC9', 'AX8NXTT8QMGHC']","[78.272, 41.497]",4,"['literal', 'literal']",0
hold all the aces,"during the negotiation, he held all the aces and had the upper hand",figurative,be in a winning position.,tie,figurative,ambiguous,"['38YMOXR4MAF4B70Q5BHE1TMXAFA6WQ', '30MVJZJNH2T5N62PWJ1BWDJRYKAJ9K']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[99.355, 38.979]",2,"['figurative', 'ambiguous']",1
hold tongue,"during the dental examination, they held their tongue to the side so the dentist could see better",literal,to keep quiet when one would rather speak,literal,literal,literal,"['3LO69W1SUJTQX6DXDAJY49I66WRLGG', '3ND9UOO810IMUS3XSFNGQC4U0KHLWF']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[33.192, 151.904]",4,"['literal', 'literal']",0
hold your horses,"before you jump to conclusions, hold your horses for a moment and listen to my explanation",figurative,to wait,figurative,figurative,figurative,"['3S06PH7KS7KAVFZ2IA07E96VVY71DH', '3WT783CTPRX13LBGKBYL0F1MWAMBCA']","['A1HKYY6XI2OHO1', 'AKQAI78JTXXC9']","[110.675, 81.809]",4,"['figurative', 'figurative']",1
hold your horses,"as a carriage driver, it's important to hold your horses for a moment when stopping at an intersection",literal,to wait,literal,literal,literal,"['337RC3OW0LI9F33S25IK4ALGTBFLV5', '34X6J5FLP9EBF5JBDLCXI89G8UVQJE']","['A1HKYY6XI2OHO1', 'AKQAI78JTXXC9']","[108.09, 31.38]",4,"['literal', 'literal']",1
hot potato,the politician handled the hot potato by addressing the controversial issue,figurative,any subject which several folks are talking about and which is frequently argued,figurative,figurative,figurative,"['3LOZAJ85YTTVI6MFSE1XDZJS3MX2X1', '3X4JMASXC2PH9TG08V515EZLNLP0B6']","['AKQAI78JTXXC9', 'APRZ7BR8C0ZMQ']","[79.347, 48.131]",4,"['figurative', 'figurative']",0
icing on the cake,getting a promotion was the icing on the cake after a successful year,figurative,when something good is added to another good thing that you already have,figurative,figurative,figurative,"['3G0WWMR1UB07YVAWSJ4PBFQXHE0QNI', '3DIP6YHAPS8XYLXNDQK6Z1BO9GE8E1']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[32.879, 142.675]",4,"['figurative', 'figurative']",0
in a pickle,they found themselves in a pickle when they realized they had double-booked their appointments,figurative,to be in a difficult situation,figurative,figurative,figurative,"['3E1QT0TDF5P9EQZ999AXKG9G19L8IA', '37UQDCYH6DBA0IEQYBHAL53FYRAV76']","['AKQAI78JTXXC9', 'APRZ7BR8C0ZMQ']","[106.53, 42.027]",4,"['figurative', 'figurative']",0
in black and white,the artist chose to put it in black and white for a more dramatic effect,literal,printed form of a document,literal,literal,literal,"['3ZQIG0FLQUWPQXFR6JPMDL2WRIJVW8', '35GMH2SV3UX0JDK3K792WN1OOLHOEJ']","['A110KENBXU7SUJ', 'A38DXFI1TZA295']","[27.681, 37.967]",4,"['literal', 'literal']",0
in deep water,"while swimming in the ocean, he found himself in deep water and struggled to stay afloat",literal,a very serious situation,literal,literal,literal,"['3B837J3LD4C4Q9H1DUABFZA80ZVRSH', '3018Q3ZVOY60QDV7WUOKUZG2ETORAL']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[71.476, 19.786]",3,"['literal', 'literal']",0
in one's blood,"she's a natural athlete, it's in her blood",figurative,a natural or inherited characteristic.,tie,figurative,literal,"['3SPJ03342HJKO7AX4VTRVUCI7TVJY9', '38JBBYETQ4QWFKAL1NUTIPVJ7K0E4Y']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[49.674, 47.302]",2,"['figurative', 'literal']",1
in tandem,"they worked in tandem on the bicycle, pedaling together",literal,one after another,tie,literal,figurative,"['3SLE99ER03TEBEMQCPITBD275SSZBH', '37UEWGM5H9O4WPI70BVRJYNZAZIR1X']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[85.842, 46.261]",3,"['literal', 'figurative']",0
in the black,she wore a dark outfit and was finally in the black for the themed party,literal,to not be in debt,literal,literal,literal,"['3SLE99ER03TEBEMQCPITBD275SSZBH', '37UEWGM5H9O4WPI70BVRJYNZAZIR1X']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[85.842, 46.261]",3,"['literal', 'literal']",0
in the blink of an eye,the opportunity vanished in the blink of an eye when someone else took the job,figurative,in an instant,tie,literal,figurative,"['3PW9OPU9P60NS51MLLGQIQFRY7312T', '3E7TUJ2EGS2SKK2XMNF0TFOETAFD9M']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[81.149, 157.287]",3,"['literal', 'figurative']",0
in the loop,the rope was kept in the loop to secure the boat to the dock,literal,to be aware of the information,literal,literal,literal,"['3X1FV8S5JD7TTBPRREL4RIG8XUTVG9', '3JAOYWH7VYKBIWQPZ4DOCSWJ2JWL9P']","['A2LMQ4497NMK3S', 'AKQAI78JTXXC9']","[144.175, 137.581]",4,"['literal', 'literal']",1
in touch,"during the team-building exercise, we had to stay in touch by holding hands",literal,"to remain in contact with someone, especially when separated by time or distance",literal,literal,literal,"['3FK0YFF9PFWCB8FMG9KQRJJIK9HVVY', '3SEPORI8W3F9S4HY6BIXG2I1NANAZD']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[32.455, 146.45]",4,"['literal', 'literal']",0
joined the club,"after experiencing the same misfortune, they joined the club together",figurative,"said in answer to something that someone has said, meaning that you are in the same bad situation as they are",tie,ambiguous,literal,"['3FPRZHYEPENSZZD3WZEK8ORZTPA3VV', '3VAR3R6G15HJACAC74N24D52DI48OP']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[98.008, 40.558]",3,"['ambiguous', 'literal']",0
jump on the bandwagon,"when the new trend became popular, everyone jumped on the bandwagon",figurative,to start doing something because it is fashionable or profitable,figurative,figurative,figurative,"['3AZHRG4CUK0C6YCNT2QVNV19ZTC03F', '3WQ3B2KGEOWHGI1I4E91JJIVSDV1BA']","['A110KENBXU7SUJ', 'AX8NXTT8QMGHC']","[19.786, 33.885]",4,"['figurative', 'figurative']",0
jungle out there,"as we entered the dense rainforest, our guide warned us, it's a jungle out there",literal,the situation is dangerous and is characterized by ruthless behavior and competition,literal,literal,literal,"['31HQ4X3T38QTNBMO8ADFTN19UX3SL5', '3180JW2OTKSMMJ0DTTOUKXEPCOQJ5S']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[48.675, 79.492]",2,"['literal', 'literal']",1
just deserts,"at the end of the meal, they received their just deserts as the waiter brought out a platter of sweets",literal,get what one deserves,tie,literal,ambiguous,"['3S06PH7KS7KAVFZ2IA07E96VVY71DH', '3WT783CTPRX13LBGKBYL0F1MWAMBCA']","['A1HKYY6XI2OHO1', 'AKQAI78JTXXC9']","[110.675, 81.809]",4,"['literal', 'ambiguous']",1
just off the boat,"soaking wet and carrying their luggage, they were just off the boat from their island trip",literal,a person who is naive and inexperienced,literal,literal,literal,"['3S96KQ6I92KB4ZBBKTKHKFPQNHYDT2', '3SITXWYCNBPP6JMBB7U8ESMWXS9XBX']","['AKQAI78JTXXC9', 'AURYD2FH3FUOQ']","[68.396, 52.884]",4,"['literal', 'literal']",0
keep an eye on,"as a supervisor, it's my responsibility to keep an eye on the situation and ensure everything runs smoothly",figurative,keep a watch on something or someone closely,figurative,figurative,figurative,"['3OVR4I9US5ZLCN0QAEPTC6KXQXQQ48', '345LHZDEDD8SMKO3R94FC2PGFI13U6']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[58.378, 104.75]",3,"['figurative', 'figurative']",1
keep at arm's length,"despite his attempts to get closer, she kept him at arm's length due to her cautious nature",figurative,keep distance from something or somebody,figurative,figurative,figurative,"['3TEM0PF1QLDAOQEKMRW704NLQ6LD0A', '3Q5C1WP232HFR2K934IOGXI3IHU15U']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[98.12, 35.374]",3,"['figurative', 'figurative']",1
keep the wolf from the door,"working two jobs, she kept the wolf from the door and provided for her family",figurative,to have sufficient money to prevent starvation or hunger,figurative,figurative,figurative,"['3GS6S824S6DCIS6I4S3V348J5F2WND', '3DEL4X4ELM1LJRFMLZ8SM3KXI1CYXY']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[122.602, 30.971]",3,"['figurative', 'figurative']",0
keep your hair on,"when he started to panic, I told him to keep his hair on and stay calm",figurative,to request someone to stay calm and not get annoyed,figurative,figurative,figurative,"['3HL8HNGX4LHPI4GTDTAQHFRZ5NW9FU', '39PAAFCOD2GXYGBXBEKBQ1VXNOMVT3']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[62.328, 68.86]",3,"['figurative', 'figurative']",0
kill two birds with one stone,"by combining our errands, we killed two birds with one stone and saved time",figurative,accomplish two different things at the same time,figurative,figurative,figurative,"['336KAV9KY68KIBCPXANZWDQ15SQY22', '37C0GNLMHVJ5210ZOGCO95XC39O6DL']","['A110KENBXU7SUJ', 'A38DXFI1TZA295']","[42.775, 33.368]",4,"['figurative', 'figurative']",0
knee jerk reaction,his sudden outburst was a knee jerk reaction to the news of the company's bankruptcy,figurative,an automatic response to something,figurative,figurative,figurative,"['3GS6S824S6DCIS6I4S3V348J5FHNWJ', '3LWJHTCVCS2VA3XFUVLC3AHOFNEFQ0']","['A110KENBXU7SUJ', 'A38DXFI1TZA295']","[90.898, 24.979]",4,"['figurative', 'figurative']",0
knight in shining armour,he came to her rescue like a knight in shining armour when she needed help,figurative,used to describe someone who saves you from a difficult situation,tie,literal,figurative,"['3SNLUL3WOK392OESXF8F8OJXF4RULA', '3FDJT1UU7KOHX36VBEO6LCE2RNTK5F']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[74.656, 47.882]",3,"['literal', 'figurative']",0
know the ropes,"as an experienced sailor, he knew the ropes well and could tie any knot",literal,to know all the ways and means to get something done,literal,literal,literal,"['3HRMW88U1M6DSKKXZKVAJUAFZKT0MV', '3E7TUJ2EGS2SKK2XMNF0TFOETAUD91']","['A110KENBXU7SUJ', 'AX8NXTT8QMGHC']","[20.655, 47.281]",4,"['literal', 'literal']",0
knowing which way the wind blows,"as an experienced sailor, he was skilled at knowing which way the wind blows",literal,this means that you should know how things are developing and be prepared for the future,literal,literal,literal,"['3VHHR074HJX74D2WK7F4YW5D7T8L7D', '39ASUFLU6DNNDMYVLYWYF0SH0PMXEX']","['A110KENBXU7SUJ', 'A290OV59Q76QC8']","[80.386, 62.228]",4,"['literal', 'literal']",0
last resort,he decided to ask his parents for help as a last resort when all other options failed,figurative,the last thing you would do if you were desperate and all other courses of action had failed,figurative,figurative,figurative,"['3FIJLY1B6AKAARW0UI6N35REARSFP9', '3KRVW3HTZ31DTT498MEUT0GYUCBSM9']","['AKQAI78JTXXC9', 'AX8NXTT8QMGHC']","[35.085, 35.864]",4,"['figurative', 'figurative']",0
last resort,"the hotel named 'The Last Resort' was the only available option, so we booked it as a last resort",literal,the last thing you would do if you were desperate and all other courses of action had failed,tie,discard,figurative,"['3X65QVEQIG3DGUXSBONFEIXR84ZLC6', '38BQUHLA9CGYV1CG15XL9V6XXN8OM8']","['A110KENBXU7SUJ', 'AX8NXTT8QMGHC']","[33.41, 102.137]",4,"['discard', 'figurative']",0
