idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt
lower the bar,to lower standards or expectations,The company [[lowered the bar for everyone]] by reducing the performance expectations,The gym instructor [[lowered the bar for everyone]] during the limbo competition,The company lowered the bar for everyone by reducing the performance expectations,The gym instructor lowered the bar for everyone during the limbo competition,lowered the bar for everyone,senkte die Messlatte für alle,"Das Unternehmen senkte die Messlatte für alle, indem es die Leistungserwartungen reduzierte.",Der Fitnesstrainer senkte die Stange für alle während des Limbo-Wettbewerbs.,הוריד את הסף עבור כולם.,החברה הורידה את הסף עבור כולם על ידי הפחתת ציפיות הביצועים.
lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,"When I heard the sad news, [[I had a lump in my throat]] and couldn't speak","After swallowing a large piece of food, [[I had a lump in my throat]] and needed water","When I heard the sad news, I had a lump in my throat and couldn't speak","After swallowing a large piece of food, I had a lump in my throat and needed water",I had a lump in my throat,Ich hatte einen Kloß im Hals.,"Als ich die traurigen Nachrichten hörte, hatte ich einen Kloß im Hals und konnte nicht sprechen.","Nachdem ich ein großes Stück Essen geschluckt hatte, hatte ich einen Kloß im Hals und brauchte Wasser.",היה לי גוש בגרון.,"כששמעתי את החדשות העצובות, הייתה לי גודש בגרון ולא יכולתי לדבר."
make a song and dance,if someone complains in an annoying way or becomes unnecessarily excited about something unimportant,She [[made a song and dance about it]] when she found out she won the lottery,The performers [[made a song and dance about it]] during the musical's finale,She made a song and dance about it when she found out she won the lottery,The performers made a song and dance about it during the musical's finale,made a song and dance about it,machte ein großes Theaterstück darüber,"Sie machte ein großes Theater, als sie herausfand, dass sie im Lotto gewonnen hatte.",Die Darsteller machten während des Finales des Musicals ein großes Aufheben davon.,עשה שיר ומחול על זה.,היא עשתה שיר ומחול על כך כשהיא גילתה שזכתה בגרלת הלוטו.
make ends meet,make sufficient money to survive on,"After losing her job, she [[was struggling to make ends meet]] and pay her bills",The tailor [[was struggling to make ends meet]] when sewing the two pieces of fabric together,"After losing her job, she was struggling to make ends meet and pay her bills",The tailor was struggling to make ends meet when sewing the two pieces of fabric together,was struggling to make ends meet,"kämpfte darum, über die Runden zu kommen","Nachdem sie ihren Job verloren hatte, kämpfte sie darum, über die Runden zu kommen und ihre Rechnungen zu bezahlen.","Der Schneider hatte Schwierigkeiten, über die Runden zu kommen, als er die beiden Stoffstücke zusammen nähte.",הייתי נאבק לסיים את החודש בכסף.,"לאחר שאיבדה את עבודתה, היא נאבקה כדי לסיים את החודש ולשלם את החשבונות שלה."
make ones bed and lie on it,to be responsible for what you have done and accept the results,[[They made their bed and lied on it]] when they decided to invest in that risky business,"After tidying up the room, [[they made their bed and lied on it]] to take a nap",They made their bed and lied on it when they decided to invest in that risky business,"After tidying up the room, they made their bed and lied on it to take a nap",They made their bed and lied on it,Sie haben ihr Bett gemacht und darin gelogen.,"Sie haben ihr Bett gemacht und darin gelegen, als sie beschlossen haben, in dieses riskante Geschäft zu investieren.","Nachdem sie das Zimmer aufgeräumt hatten, machten sie ihr Bett und legten sich darauf, um ein Nickerchen zu machen.",הם עשו את מיטתם ושכבו עליה.,הם עשו את מיטתם ושכבו עליה כשהחליטו להשקיע בעסק סוכן.
makes his hackles rise,to make you angry,The sound of nails on a chalkboard [[makes his hackles rise]],"When the dog senses danger, it [[makes his hackles rise]] on his back",The sound of nails on a chalkboard makes his hackles rise,"When the dog senses danger, it makes his hackles rise on his back",makes his hackles rise,lässt seine Nackenhaare aufstellen,Das Geräusch von Nägeln auf einer Tafel lässt seine Nackenhaare hochstehen.,"Wenn der Hund Gefahr spürt, lässt er seine Nackenhaare auf seinem Rücken aufstellen.",מעלה את השיערות שלו,קול ציפורניים על לוח מורים מעלה את השיערות שלו.
makes my ears burn,"to be embarrassed by what you hear, especially if the conversation is about you",Hearing people gossip about me [[makes my ears burn]],Standing too close to the bonfire [[makes my ears burn]],Hearing people gossip about me makes my ears burn,Standing too close to the bonfire makes my ears burn,makes my ears burn,lässt meine Ohren brennen,"Wenn ich höre, wie Leute über mich tratschen, brennen meine Ohren.",Zu nah am Lagerfeuer zu stehen lässt meine Ohren brennen.,מגרים לי את האוזניים,לשמוע אנשים מדברים עליי בשפל גורם לאזור את אזניי.
man's best friend,"It refers to animals that are of use to human beings, mostly used to address dogs.",The loyal dog is often considered [[a man's best friend]],"He wrote a book about his childhood, where he described his brother as [[a man's best friend]]",The loyal dog is often considered a man's best friend,"He wrote a book about his childhood, where he described his brother as a man's best friend",a man's best friend,Der beste Freund eines Mannes.,Der treue Hund wird oft als der beste Freund des Menschen angesehen.,"Er schrieb ein Buch über seine Kindheit, in dem er seinen Bruder als den besten Freund eines Mannes beschrieb.",החבר הכי טוב של האדם,הכלב הנאמן נחשב לעתים קרובות לחבר הכי טוב של האדם.
mend fences,to try and improve a bad relationship with another party,"After the argument, he started [[mending fences with her]] by apologizing",The farmer spent the afternoon [[mending fences with her]] to keep the animals inside,"After the argument, he started mending fences with her by apologizing",The farmer spent the afternoon mending fences with her to keep the animals inside,mending fences with her,Zäune mit ihr reparieren,"Nach dem Streit begann er, sich mit ihr zu versöhnen, indem er sich entschuldigte.","Der Bauer verbrachte den Nachmittag damit, mit ihr Zäune zu reparieren, um die Tiere drinnen zu halten.",תיקון הגדרות עם היא.,"אחרי הווכוח, הוא התחיל לתקן את הגדרים עם היא על ידי התנצלות."
miles away,unaware of the current situation,"During the meeting, her thoughts [[seemed miles away]] from the topic",The mountain peak [[seemed miles away]] from our current location,"During the meeting, her thoughts seemed miles away from the topic",The mountain peak seemed miles away from our current location,seemed miles away,scheint meilenweit entfernt zu sein,Während des Meetings schienen ihre Gedanken meilenweit vom Thema entfernt zu sein.,Der Berggipfel schien Meilen entfernt von unserem aktuellen Standort zu sein.,נראה רחוק מאוד,"במהלך הפגישה, המחשבות שלה נראו רחוקות מאוד מהנושא."
mind your own beeswax,do not interfere into someone else's matter,"Instead of gossiping about others, focus [[on minding your own beeswax]]","While working at the apiary, concentrate [[on minding your own beeswax]] production","Instead of gossiping about others, focus on minding your own beeswax","While working at the apiary, concentrate on minding your own beeswax production",on minding your own beeswax,"""Deine eigenen Angelegenheiten im Auge behalten.""","Statt über andere zu tratschen, konzentriere dich darauf, dich um deine eigenen Angelegenheiten zu kümmern.","Während der Arbeit im Bienenstock konzentriere dich darauf, dich um deine eigene Bienenwachsproduktion zu kümmern.",על להיות דואג לדבש שלך בלבד,"‎במקום לדבר על אחרים, תתמקדו בטיפול בעניינים שלכם.‎"
mind your own business,to look into your own matter,The neighbors [[were minding their own business]] and didn't notice the commotion next door,The entrepreneurs [[were minding their own business]] by managing their respective companies,The neighbors were minding their own business and didn't notice the commotion next door,The entrepreneurs were minding their own business by managing their respective companies,were minding their own business,Sie kümmerten sich um ihre eigenen Angelegenheiten.,Die Nachbarn kümmerten sich um ihre eigenen Angelegenheiten und bemerkten das Durcheinander nebenan nicht.,"Die Unternehmer kümmerten sich um ihr eigenes Geschäft, indem sie ihre jeweiligen Unternehmen leiteten.",הם דאגו לעסקים שלהם.,השכנים היו מתעסקים בעסקים שלהם ולא שם לב להמולה שקרתה ליד הבית.
miss the boat,miss a chance,[[She missed the boat on that opportunity]] by not applying for the job in time,[[She missed the boat on that opportunity]] to take the scenic river cruise,She missed the boat on that opportunity by not applying for the job in time,She missed the boat on that opportunity to take the scenic river cruise,She missed the boat on that opportunity,Sie hat diese Gelegenheit verpasst.,"Sie hat die Gelegenheit verpasst, indem sie sich nicht rechtzeitig für den Job beworben hat.","Sie hat die Gelegenheit verpasst, die malerische Flusskreuzfahrt zu machen.",היא החמיצה את הזדמנות הזאת עם הסירה.,היא החמיצה את הזדמנות הזאת על ידי שלא הגישה מועמדות לעבודה בזמן.
more heat than light,to cause anger or intense reaction but doesn't clarify anything,The heated debate [[generated more heat than light]] and left everyone confused,The malfunctioning light bulb [[generated more heat than light]] and needed to be replaced,The heated debate generated more heat than light and left everyone confused,The malfunctioning light bulb generated more heat than light and needed to be replaced,generated more heat than light,Erzeugte mehr Hitze als Licht.,Die hitzige Debatte erzeugte mehr Hitze als Licht und hinterließ alle verwirrt.,Die defekte Glühbirne erzeugte mehr Hitze als Licht und musste ausgetauscht werden.,ייצר יותר חום מאשר אור,הדיון המתוח גרם ליותר חום מאשר אור והשאיר את כולם מבולבלים.
my hands are full,someone is too busy or has too much going on to be able to do or become involved with anything else,"With three projects to manage and a presentation to prepare, [[my hands are full at the moment]]","Carrying a stack of books and a cup of coffee, [[my hands are full at the moment]]","With three projects to manage and a presentation to prepare, my hands are full at the moment","Carrying a stack of books and a cup of coffee, my hands are full at the moment",my hands are full at the moment,Meine Hände sind im Moment voll.,"Mit drei Projekten zu managen und einer Präsentation vorzubereiten, habe ich im Moment alle Hände voll zu tun.","Ich trage gerade einen Stapel Bücher und eine Tasse Kaffee, meine Hände sind im Moment voll.",הידיים שלי מלאות כרגע.,"עם שלושה פרויקטים לנהל והכנת הצגה, הידיים שלי מלאות כרגע."
nail biter,"a situation like a close contest, which induces anxiety or tension.",The final moments of the game were [[a real nail biter]] as both teams were neck and neck,"Watching her chew on her fingers during the movie, it was clear she was [[a real nail biter]]",The final moments of the game were a real nail biter as both teams were neck and neck,"Watching her chew on her fingers during the movie, it was clear she was a real nail biter",a real nail biter,Ein echter Nagelbeißer.,"Die letzten Momente des Spiels waren wirklich nervenaufreibend, da beide Teams Kopf an Kopf lagen.","Als ich sah, wie sie während des Films auf ihren Fingern kaute, war es offensichtlich, dass sie eine echte Nägelkauerin war.",גרוטאת ציפורניים אמיתית,הרגעים הסופיים של המשחק היו ממש מפרקי ציפייה כי שתי הקבוצות היו במעקב צמוד.
nail in the coffin,"an action/event that will help bring about the death, end, or failure of something or someone",His resignation letter [[put the final nail in the coffin]] for the company's future,The undertaker [[put the final nail in the coffin]] before lowering it into the ground,His resignation letter put the final nail in the coffin for the company's future,The undertaker put the final nail in the coffin before lowering it into the ground,put the final nail in the coffin,Den letzten Nagel in den Sarg schlagen.,Sein Rücktrittsschreiben war der letzte Nagel im Sarg für die Zukunft des Unternehmens.,"Der Bestatter setzte den letzten Nagel in den Sarg, bevor er ihn in die Erde senkte.",שים את המסמר הסופי בארון המוות.,מכתב ההתפטרות שלו הכניס את המסמר האחרון לארון לעתיד החברה.
never looked back,"after an event which changed your life for the better, you continue to be happy with the situation","She quit her job and started her own business, and she [[never looked back after that]]",He walked away from the haunted house and [[never looked back after that]],"She quit her job and started her own business, and she never looked back after that",He walked away from the haunted house and never looked back after that,never looked back after that,Danach hat er/sie nie zurückgeschaut.,Sie kündigte ihren Job und gründete ihr eigenes Unternehmen und hat seitdem nie zurückgeschaut.,Er ging weg von dem Spukhaus und schaute nie wieder zurück.,לא הסתכלתי אחורה מאז.,"היא עזבה את עבודתה והתחילה את העסק שלה, והיא לעולם לא הביט אחורה אחרי זה."
no spring chicken,Someone who's no longer young.,He realized he was [[not a spring chicken anymore]] when he couldn't keep up with the younger athletes,The farmer confirmed that the hen was [[not a spring chicken anymore]] as it had grown quite large,He realized he was not a spring chicken anymore when he couldn't keep up with the younger athletes,The farmer confirmed that the hen was not a spring chicken anymore as it had grown quite large,not a spring chicken anymore,kein Frühlingshuhn mehr,"Er erkannte, dass er kein junger Hüpfer mehr war, als er nicht mehr mit den jüngeren Athleten mithalten konnte.","Der Bauer bestätigte, dass die Henne kein Frühlingshuhn mehr war, da sie ziemlich groß geworden war.",לא עוף קיץ יותר,הוא הבין שהוא לא עוד ציפור קיץ כשלא הצליח להתחיל עם הספורטאים הצעירים יותר.
not getting anywhere,to make no progress at all; not improving or advancing a particular situation,We were [[not getting anywhere with this]] project due to constant setbacks,"The car was stuck in the mud, and we were [[not getting anywhere with this]] vehicle",We were not getting anywhere with this project due to constant setbacks,"The car was stuck in the mud, and we were not getting anywhere with this vehicle",not getting anywhere with this,Ich komme mit diesem nicht weiter.,Wir kamen mit diesem Projekt aufgrund ständiger Rückschläge nicht voran.,Das Auto steckte im Schlamm fest und wir kamen mit diesem Fahrzeug nicht weiter.,לא מצליח להתקדם עם זה.,לא הצלחנו להתקדם עם הפרויקט הזה בגלל המכשולים התמידיים.
not hurt a fly or flea,"To not be able to cause harm to anyone, including even a tiny and insignificant insect.","Despite his intimidating appearance, he [[wouldn't hurt a fly]] and was very gentle",She was so careful with her bug collection that she [[wouldn't hurt a fly]] while handling them,"Despite his intimidating appearance, he wouldn't hurt a fly and was very gentle",She was so careful with her bug collection that she wouldn't hurt a fly while handling them,wouldn't hurt a fly,Würde keiner Fliege etwas zuleide tun.,Trotz seines einschüchternden Aussehens würde er keiner Fliege etwas zuleide tun und war sehr sanft.,"Sie war so vorsichtig mit ihrer Insektensammlung, dass sie beim Umgang mit ihnen nicht einmal einer Fliege wehtun würde.",לא היה מפגע בזבוב.,"למרות המראה המפחיד שלו, הוא לא היה מפריע לזבוב והיה עדין מאוד."
not playing with a full deck,not mentally sound,His strange ideas made it seem like he was [[not playing with a full deck]],"During the poker game, we discovered we were [[not playing with a full deck]] when the ace of spades appeared twice",His strange ideas made it seem like he was not playing with a full deck,"During the poker game, we discovered we were not playing with a full deck when the ace of spades appeared twice",not playing with a full deck,nicht alle Tassen im Schrank haben,"Seine seltsamen Ideen ließen es so aussehen, als ob er nicht alle Tassen im Schrank hätte.","Während des Pokerspiels haben wir festgestellt, dass wir nicht mit einem vollständigen Deck spielen, als der Pik-Ass zweimal aufgetaucht ist.",לא משחק עם חפיסה מלאה,הרעיונות המוזרים שלו גרמו לזה שנראה כאילו הוא לא משחק עם חפיסה מלאה.
off grid,disconnected from municipal utility systems.,He decided to disconnect from social media and [[started living off grid]],They built a cabin in the woods and [[started living off grid]] without electricity or running water,He decided to disconnect from social media and started living off grid,They built a cabin in the woods and started living off grid without electricity or running water,started living off grid,"begannen, abseits des Stromnetzes zu leben","Er entschied sich, sich von sozialen Medien abzumelden und begann, abseits des Netzes zu leben.","Sie bauten eine Hütte im Wald und begannen, abseits des Stromnetzes ohne Strom oder fließendes Wasser zu leben.",התחיל לחיות מחוץ לרשת,הוא החליט לנתק את עצמו מרשתות החברתיות והתחיל לחיות מחוץ לרשת.
old hat,Someone who is old fashioned. The phrase can directly refer to old fashion too.,"She's [[an old hat at]] programming, having done it for years","He found [[an old hat at]] the back of his closet, covered in dust","She's an old hat at programming, having done it for years","He found an old hat at the back of his closet, covered in dust",an old hat at,einer alten Mütze,"Sie ist eine alte Hasin im Programmieren, da sie es seit Jahren tut.","Er fand einen alten Hut am Ende seines Schrankes, bedeckt mit Staub.",כובע ישן ב,"היא מומחית בתכנות, עושה זאת כבר שנים."
old school,old fashioned ideas or approach compared to current trends,"He prefers [[an old school approach]] to communication, like writing letters",The museum showcased [[an old school approach]] to education with antique desks and chalkboards,"He prefers an old school approach to communication, like writing letters",The museum showcased an old school approach to education with antique desks and chalkboards,an old school approach,ein altmodischer Ansatz,"Er bevorzugt einen altmodischen Ansatz in der Kommunikation, wie das Schreiben von Briefen.",Das Museum präsentierte einen alten Schulkonzept mit antiken Schreibtischen und Tafeln.,גישה ישנה לבית הספר,"הוא מעדיף גישה ישנה לתקשורת, כמו כתיבת מכתבים."
on a silver platter,to get something without having to work for it,He [[served it on a silver platter]] by doing all the work for her,The waiter [[served it on a silver platter]] to impress the guests,He served it on a silver platter by doing all the work for her,The waiter served it on a silver platter to impress the guests,served it on a silver platter,servierte es auf einem Silbertablett,"Er servierte es auf einem Silbertablett, indem er die ganze Arbeit für sie erledigte.","Der Kellner servierte es auf einem Silbertablett, um die Gäste zu beeindrucken.",שירתו על מגש כסף,הוא שירת את זה על מגש כסף על ידי עשיית כל העבודה עבורה.
on its knees,something that is in a very weak situation or on the verge of failure,"After the economic crisis, [[the city was on its knees]] and struggling to recover","In the art installation, [[the city was on its knees]] as the artist had created a miniature version of it, resting on two large sculptures of human knees","After the economic crisis, the city was on its knees and struggling to recover","In the art installation, the city was on its knees as the artist had created a miniature version of it, resting on two large sculptures of human knees",the city was on its knees,Die Stadt war am Boden.,Nach der Wirtschaftskrise lag die Stadt am Boden und kämpfte um ihre Erholung.,"In der Kunstinstallation lag die Stadt auf den Knien, da der Künstler eine Miniaturversion davon geschaffen hatte, die auf zwei großen Skulpturen von menschlichen Knien ruhte.",העיר הייתה כבויה על ברכיה.,"אחרי המשבר הכלכלי, העיר הייתה על ברכיה ומאבקת להתאושש."
on pins and needles,being anxious or nervous,"While anticipating the exam results, we were [[waiting on pins and needles]]","During the acupressure therapy session, she was [[waiting on pins and needles]] placed on her back","While anticipating the exam results, we were waiting on pins and needles","During the acupressure therapy session, she was waiting on pins and needles placed on her back",waiting on pins and needles,auf heißen Kohlen sitzen,"Während wir auf die Prüfungsergebnisse warteten, saßen wir auf heißen Kohlen.","Während der Akupressur-Therapiesitzung wartete sie auf Nadeln, die auf ihrem Rücken platziert waren.",ממתין בסיכונים ובציפייה.,"בזמן שציפינו לתוצאות המבחן, היינו ממתינים בציפייה ובחרדה."
on the back burner,to put something (that is to be done) for later,"Due to the urgent tasks, we had to [[put it on the back burner]] for now","To simmer the sauce slowly, she [[put it on the back burner]] of the stove","Due to the urgent tasks, we had to put it on the back burner for now","To simmer the sauce slowly, she put it on the back burner of the stove",put it on the back burner,Stellen Sie es auf die lange Bank.,Aufgrund der dringenden Aufgaben mussten wir es vorerst auf Eis legen.,"Um die Sauce langsam köcheln zu lassen, stellte sie sie auf den hinteren Brenner des Herdes.",שים את זה על הכיריים האחוריות.,"בגלל המשימות הדחופות, היינו חייבים להניח את זה בצד לעת עתה."
on the brink of,to be on the verge of doing something,The company was [[on the brink of something]] big when they launched their new product,"The hiker stood [[on the brink of something]] dangerous, a steep cliff",The company was on the brink of something big when they launched their new product,"The hiker stood on the brink of something dangerous, a steep cliff",on the brink of something,am Rande von etwas,"Die Firma stand kurz vor etwas Großem, als sie ihr neues Produkt auf den Markt brachte.","Der Wanderer stand am Rande von etwas Gefährlichem, einem steilen Abgrund.",על סף משהו,החברה הייתה על סף משהו גדול כשהם השיקו את המוצר החדש שלהם.
on the crest of a wave,to reach the highest point of success,"After the successful product launch, the company was [[riding on the crest of a wave]]",The surfer skillfully balanced himself while [[riding on the crest of a wave]],"After the successful product launch, the company was riding on the crest of a wave",The surfer skillfully balanced himself while riding on the crest of a wave,riding on the crest of a wave,auf der Welle reiten,Nach dem erfolgreichen Produktlaunch ritt das Unternehmen auf der Welle des Erfolgs.,Der Surfer balancierte geschickt auf der Welle reitend auf dem Kamm.,רכיבה על צלע של גל,"לאחר השקת המוצר המצליחה, החברה רכבה על גב הגל."
on the edge of their seat,to be very interested in something and fits with both extremely exciting and nerve-wracking,The suspenseful movie had everyone [[on the edge of their seat]],The chair was so small that they were uncomfortably perched [[on the edge of their seat]],The suspenseful movie had everyone on the edge of their seat,The chair was so small that they were uncomfortably perched on the edge of their seat,on the edge of their seat,auf der Kante ihres Sitzes,Der spannende Film hatte alle auf der Kante ihres Sitzes.,"Der Stuhl war so klein, dass sie unbequem am Rand ihres Sitzes saßen.",על קצה הכסא שלהם,הסרט המלא במתח הפעיל את כולם והשאיר אותם על קצה הכסא.
on the hook,someone who is responsible for something,He [[was left on the hook]] for the entire project after his partner quit,The fish [[was left on the hook]] after it was caught,He was left on the hook for the entire project after his partner quit,The fish was left on the hook after it was caught,was left on the hook,"""Was auf dem Haken gelassen wurde.""","Er wurde für das gesamte Projekt allein verantwortlich gelassen, nachdem sein Partner aufgehört hatte.",Der Fisch wurde nach dem Fang auf dem Haken gelassen.,נותר על הפגוש,הוא נשאר על הקרקע לכל הפרויקט לאחר שהשותף שלו פרש.
on the line,to be at serious risk.,[[She put it on the line]] when she confronted her boss about the unfair treatment,[[She put it on the line]] to dry after washing her clothes,She put it on the line when she confronted her boss about the unfair treatment,She put it on the line to dry after washing her clothes,She put it on the line,Sie hat es auf die Linie gelegt.,"Sie hat es aufs Spiel gesetzt, als sie ihren Chef wegen der ungerechten Behandlung konfrontiert hat.","Sie legte es zum Trocknen auf die Leine, nachdem sie ihre Kleidung gewaschen hatte.",היא הניחה את זה על הקו.,היא הציבה את זה על הקו כשהתמודדה עם המנהל שלה על הטיפול לא הוגן.
on the money,being right about something.,His prediction about the game's outcome was [[right on the money]],The coin landed [[right on the money]] that was placed on the table,His prediction about the game's outcome was right on the money,The coin landed right on the money that was placed on the table,right on the money,genau richtig,Seine Vorhersage über das Ergebnis des Spiels traf ins Schwarze.,"Die Münze landete direkt auf dem Geld, das auf dem Tisch platziert wurde.",צד במטרה,הנבואה שלו לגבי תוצאת המשחק הייתה מדוייקת לחלוטין.
on the pig's back,a successful situation and everything is going well for that person,"After winning the lottery, he [[was riding on the pig's back]] and enjoying his newfound wealth","At the farm, the child [[was riding on the pig's back]] for fun","After winning the lottery, he was riding on the pig's back and enjoying his newfound wealth","At the farm, the child was riding on the pig's back for fun",was riding on the pig's back,Ich ritt auf dem Rücken des Schweins.,"Nachdem er die Lotterie gewonnen hatte, ritt er auf dem Rücken des Schweins und genoss seinen neu gefundenen Reichtum.",Auf dem Bauernhof ritt das Kind aus Spaß auf dem Rücken des Schweins.,טסה על גב החזיר.,"לאחר שזכה בפלאפל, הוא רכב על גב החזיר ונהנה מעושרו החדש."
on the same page,everyone in agreement,"Before starting the project, we need to [[be on the same page]] regarding our goals","While reading the book together, they happened to [[be on the same page]]","Before starting the project, we need to be on the same page regarding our goals","While reading the book together, they happened to be on the same page",be on the same page,auf derselben Seite sein,"Bevor wir das Projekt beginnen, müssen wir uns bezüglich unserer Ziele auf derselben Seite befinden.","Während sie das Buch zusammen lasen, waren sie zufällig auf derselben Seite.",להיות על אותה עמוד,"לפני התחלת הפרויקט, אנחנו צריכים להיות על אותה עמדה לגבי המטרות שלנו."
open old wounds,"to revive memories of an unpleasant event, situation or dispute that took place in the past",Bringing up their past mistakes [[opened old wounds]] in the conversation,The surgeon [[opened old wounds]] to remove the remaining infection,Bringing up their past mistakes opened old wounds in the conversation,The surgeon opened old wounds to remove the remaining infection,opened old wounds,Öffnete alte Wunden.,Das Aufbringen ihrer vergangenen Fehler hat alte Wunden in der Unterhaltung geöffnet.,"Der Chirurg öffnete alte Wunden, um die verbleibende Infektion zu entfernen.",פתח פצעים ישנים,העלאת הטעויות הקודמות שלהם פתחה פצעים ישנים בשיחה.
out of hand,out of control,The party [[got out of hand]] when people started throwing food,The ball [[got out of hand]] when he accidentally dropped it,The party got out of hand when people started throwing food,The ball got out of hand when he accidentally dropped it,got out of hand,"""Es ist außer Kontrolle geraten.""","Die Party geriet außer Kontrolle, als Leute anfingen, Essen zu werfen.","Der Ball geriet außer Kontrolle, als er ihn versehentlich fallen ließ.",צא מתחת לשליטה,המסיבה יצאה מתחת לשליטה כשאנשים התחילו לזרוק אוכל.
out of the closet,go public about something private or hidden,"After years of hiding his true self, he finally [[came out of the closet]] to his family",She [[came out of the closet]] after finding the perfect outfit to wear,"After years of hiding his true self, he finally came out of the closet to his family",She came out of the closet after finding the perfect outfit to wear,came out of the closet,kam aus dem Schrank heraus,"Nach Jahren des Verbergens seiner wahren Identität, outete er sich schließlich vor seiner Familie.","Sie ist aus dem Schrank gekommen, nachdem sie das perfekte Outfit zum Tragen gefunden hatte.",צא מהארון,לאחר שנים של הסתירות של עצמו הוא סוף סוף יצא מהארון למשפחתו.
out of the frying pan into the fire,to go from a bad to worse situation,"By quitting her job without a backup plan, she [[jumped out of the frying pan into the fire]]",The fish [[jumped out of the frying pan into the fire]] when the cook wasn't paying attention,"By quitting her job without a backup plan, she jumped out of the frying pan into the fire",The fish jumped out of the frying pan into the fire when the cook wasn't paying attention,jumped out of the frying pan into the fire,Vom Regen in die Traufe gekommen.,"Indem sie ihren Job ohne Backup-Plan aufgab, sprang sie aus der Pfanne ins Feuer.","Der Fisch sprang aus der Pfanne ins Feuer, als der Koch nicht aufpasste.",קפץ מהמחבת לתוך האש,"על ידי הפסקת העבודה שלה ללא תוכנית גיבוי, היא קפצה מתוך המחבת לתוך האש."
out on the town,go out and enjoy yourself at one or more places in the town,They were excited about [[going out on the town]] to celebrate their anniversary,The mayor was [[going out on the town]] to inspect the new infrastructure,They were excited about going out on the town to celebrate their anniversary,The mayor was going out on the town to inspect the new infrastructure,going out on the town,Ausgehen in der Stadt.,"Sie waren aufgeregt, in die Stadt zu gehen, um ihren Jahrestag zu feiern.","Der Bürgermeister ging in die Stadt, um die neue Infrastruktur zu inspizieren.",יוצאים לטייל בעיר,הם התרגשו לצאת לעיר כדי לחגוג את יום הזוגיות שלהם.
over my dead body,"in no way, under no circumstances","He smirked and said, '[[over my dead body]] will you ever beat me in a race'",The cat walked [[over my dead body]] in the crime scene simulation,"He smirked and said, 'over my dead body will you ever beat me in a race'",The cat walked over my dead body in the crime scene simulation,over my dead body,Über meine Leiche.,"Er grinste und sagte: ""Über meine Leiche wirst du mich jemals in einem Rennen schlagen"".",Die Katze lief in der Tatort-Simulation über meinen leblosen Körper.,על גופי המת,"הוא חייך ואמר, 'על גופי המת תנצח אותי במרוץ'"
over the moon,extremely pleased or happy,She was [[over the moon about the news]] of her promotion,The astronaut floated [[over the moon about the news]] of a successful mission,She was over the moon about the news of her promotion,The astronaut floated over the moon about the news of a successful mission,over the moon about the news,überglücklich über die Nachrichten,Sie war überglücklich über die Nachricht von ihrer Beförderung.,"Der Astronaut schwebte über dem Mond, während er die Nachricht von einer erfolgreichen Mission hörte.",על הירח על החדשות,היא הייתה מאושרת עד הגג על החדשות של הקידום שלה.
paddle own canoe,To be able to act without having to depend on anyone.,They decided [[to paddle their own canoe]] and start their own business,They had [[to paddle their own canoe]] to reach the other side of the lake,They decided to paddle their own canoe and start their own business,They had to paddle their own canoe to reach the other side of the lake,to paddle their own canoe,Ihr eigenes Boot paddeln.,"Sie beschlossen, ihr eigenes Boot zu paddeln und ihr eigenes Geschäft zu gründen.","Sie mussten ihr eigenes Kanu paddeln, um auf die andere Seite des Sees zu gelangen.",לשטוף את הסירה שלהם בעצמם,הם החליטו לשטוף את הקנווא עצמם ולהתחיל את העסק שלהם.
paint the town red,to celebrate and have a wild time,"After winning the championship, they decided [[to paint the town red together]] and celebrate","As part of a community art project, they decided [[to paint the town red together]] by covering the walls with vibrant murals","After winning the championship, they decided to paint the town red together and celebrate","As part of a community art project, they decided to paint the town red together by covering the walls with vibrant murals",to paint the town red together,Gemeinsam die Stadt unsicher machen.,"Nachdem sie die Meisterschaft gewonnen hatten, beschlossen sie, gemeinsam die Stadt rot anzumalen und zu feiern.","Als Teil eines Gemeinschaftskunstprojekts beschlossen sie, die Stadt gemeinsam rot anzumalen, indem sie die Wände mit lebendigen Wandgemälden bedeckten.",לצבוע את העיר באדום ביחד,"לאחר שזכו באליפות, הם החליטו לצבוע את העיר באדום יחד ולחגוג."
pass away,die,Our beloved grandmother [[passed away peacefully]] in her sleep,"The storm [[passed away peacefully]], leaving a calm and clear sky",Our beloved grandmother passed away peacefully in her sleep,"The storm passed away peacefully, leaving a calm and clear sky",passed away peacefully,friedlich verstorben,Unsere geliebte Großmutter ist friedlich im Schlaf verstorben.,Der Sturm zog friedlich vorbei und hinterließ einen ruhigen und klaren Himmel.,נפטר בשקט,הסבתנו האהובה נפטרה בשקט בשינתה.
