idiom_0,meaning_0,instance_0,label_0,idiom_1,meaning_1,instance_1,label_1,idiom_2,meaning_2,instance_2,label_2,idiom_3,meaning_3,instance_3,label_3,idiom_4,meaning_4,instance_4,label_4
in the cahoots,to do something in hiding or secret because it is morally or socially not acceptable,They were in the cahoots,2,twist arm,to make someone do what you want by making it difficult for them to refuse,I had to twist his arm to get him out of the car,1,get down to brass tacks,talk about the important things,Let's get down to brass tacks and figure out the budget for the project,0,all the rage,when something is the height of popularity,It's all the rage,2,come across,to meet someone,I came across it,2
beat around the bush,avoid talking about the main topic,He was beating around the bush to clear away the leaves and twigs,1,Dutch uncle,"criticize, scold or lecture someone",He talked to me like a Dutch uncle,2,down to earth,"decent, simple, realistic",He is down to earth because of his humbleness and grounded nature,0,over and above,in addition to,He did over and above,2,clear the air,get rid of all doubts and negative feelings,We need to clear the air by opening up all the windows,1
dial it back,"to reduce the intensity of something, or tone it down",He dialed it back,2,blind spot,"if you have a blind spot about something, you cannot accept or understand it",He has a blind spot,2,armed to the teeth,"heavily and formidably armed, usually with deadly weapons",She was armed to the teeth with knowledge and important facts for the meeting,0,an item,be involved in a romantic relationship,It's an item on the list that needs to be purchased at the store,1,black hole,a place in which things are lost never to be seen again,He fell into a black hole when he got fired without notice,0
blue blood,a member of an upper-class family,His blue blood indicates his rich and noble background,0,on cue,to happen at the precise moment,She arrived on cue as if she knew what was going to happen next,0,give it a whirl,to try something new.,"Yesterday, I gave it a whirl",2,hit the sack,to go to bed,He hit the sack,2,put your head on the block,if you put yourself in a dangerous situation where you risk losing your job or your reputation if things go wrong,He put his head on the block as he was being beheaded,1
get hitched,to get married,They got hitched yesterday and declared their commitment to each other,0,wash dirty linen in public,discuss publicly matters that one should keep private,She washed her dirty linen in public at a laundromat yesterday,1,it's a small world,meeting someone not expected to be at a certain place,It's a small world when I unexpectedly ran into my old high school teacher,0,ugly duckling,a young person who turns out to be beautiful or talented against all expectations.,She was an ugly duckling,2,no picnic,used to express that an activity or action is not fun,The project was no picnic since it was challenging and time-consuming,0
rain or shine,Doing something regularly regardless of the circumstances.,We will go rain or shine,2,paddle own canoe,To be able to act without having to depend on anyone.,She was paddling her own canoe,2,the lion's den,a place which is uncomfortable,They walked into the lion's den and were confronted by the animal,1,sail through,to succeed in doing it without difficulty,She sailed through the project due to her diligence and hard work,0,wooden spoon,the person who finishes last in a race or competition receives an imaginary prize,She was given the wooden spoon as she was the last person to finish the race,0
sweep under the rug,try to hide a problem or keep a problem secret instead of dealing with it,They swept it under the rug and pretended the problem never existed,0,beat around the bush,avoid talking about the main topic,He was beating around the bush,2,bitter pill,something unpleasant to be endured,I had to swallow the bitter pill of making a mistake,0,outside the lines,not sticking to the rules,She was outside the lines when she tried to come up with a unique concept for her latest project,0,lose head,not have control over your emotions,The situation made him lose his head and he began making decisions without thinking,0
crowning glory,The greatest or most beautiful thing,Her crowning glory shone brightly as she achieved success in her career,0,your guess is as good as mine,I don't know,Your guess is as good as mine as to why she was behaving so bizarrely,0,red carpet,to give people a special welcome to show that you think they are important,They rolled out the red carpet,2,in the doghouse,someone who is in disgrace and very unpopular at the moment,He's in the doghouse because he forgot to pick up the kids,0,got it made,"to be certain to be successful and have a good life, often without much effort:",He's got it made since he is successful in both his personal and professional life,0
keep the wolf from the door,to have sufficient money to prevent starvation or hunger,They did what they could to keep the wolf from the door and prevent him from entering their home,1,know the ropes,to know all the ways and means to get something done,"He knows the ropes to the ship, having worked there for years",1,a wet blanket,a person who spoils other people's fun.,"He's a wet blanket, literally drenching the atmosphere with water",1,in the buff,naked,He was in the buff painting his house yesterday,1,will never fly,there's no chance that something will work; to be unsuccessful,His plan will never fly as it's too ambitious,0
keep an eye on,keep a watch on something or someone closely,He keeps an eye on her to make sure he can see her from across the room,1,come clean,to make a disclosure,"He finally came clean"" ",2,not getting anywhere,to make no progress at all; not improving or advancing a particular situation,I'm not getting anywhere,2,a nine days wonder,a cause of great excitement or interest for a short time but then quickly forgotten,This debate was a nine days wonder,2,scratch the surface,to deal with only a small part of a problem,He only scratched the surface of the wall to clean off the paint,1
high roller,"a wealthy person or company who spends their money in a risky way, often by making risky investments that can offer large rewards","She's a high roller"" ",2,put his heart into,to be very enthusiastic and invest a lot of energy and hard work in something,He put his heart into it,2,on top of the world,in a good mood as everything is going well for you,She's on top of the world since she climbed to the peak of the mountain,1,have a big mouth,one who gossips more or says things that are meant to be kept secret,I have a big mouth,2,add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse",He added fuel to the flames by placing some fuel on the burning log,1
up to the neck,"when people are very involved in something, especially when it's something wrong",They were up to the neck in work recently and were too busy to take a break,0,end of the day,to look at all the possibilities and then to make a final decision,At the end of the day,2,bone to pick,having a complaint that needs to be discussed.,I have a bone to pick,2,the brains behind,"used to refer to the person who originally invented a particular scheme, plan or idea","He is the brains behind the operation, manipulating the system",1,fall flat,"fails to amuse people, or fails to have the effect that was intended",His joke fell flat and no one laughed,0
got in his hair,to annoy someone so much that they cannot get on with what they are doing,My project got in his hair as he was getting overwhelmed by it,0,in the bag,have something as good as secured or certain,This deal is in the bag as they signed the contract yesterday,1,burst at the seams,to be filled up to the brim,The room was bursting at the seams with people eager to learn the new skill,0,cold turkey,in a unexpected and sudden way,She went cold turkey,2,Young Turk,a young person who has many new ideas and wants a reform,He's a Young Turk as his family is from Turkey,1
field day,have a great time doing something enjoyable,She had a field day checking her bank account balance,0,jam on your face,"people who appear to be caught, embarrassed or found guilty",John had jam on his face when we saw him in the party,0,snake in the shoes,to be in a state of fear,"There was a snake in the shoes metaphorically speaking, implying that disaster was about to happen",0,bag and baggage,(with) all one's belongings.,She packed her bag and baggage,2,the devil is beating his wife,raining whereas the sun is shining.,The devil is beating his wife.,2
bite the dust,to fall to the ground,The team bit the dust when they marched over it,1,hornets' nest,a violent situation or one with a lot of dispute,He stirred the hornets' nest when he disturbed the hive of buzzing insects,1,line in the sand,a boundary beyond which one cannot proceed without consequences,He drew a line in the sand when it came to the issue of whether to stay with his current job,0,cat among the pigeons,do or say something that causes trouble and make a lot of people angry or worried,He caused a cat among the pigeons,2,a damp squib,an event which people think will be exciting but which is disappointing when it happens.,The event was a damp squib as it failed to live up to expectations,0
icing on the cake,when something good is added to another good thing that you already have,This was the icing on the cake,2,clamp down,suppress or prevent something in an oppressive or harsh manner,They clamped down on free speech by using metal clamps to attach protesters' mouths shut,1,drive a wedge between,to damage the good relationship that two people or groups of people have,They drove a wedge between us,2,when pigs fly,something that will never happen,"It will happen when pigs fly, which is actually possible if they are trained to do so""",1,at bottom,to the core of the object,It's all at bottom when it comes to the root of the issue,0
end of the day,to look at all the possibilities and then to make a final decision,"At the end of the day, I finally went to bed",1,go by the book,"do things strictly according to the written rules, etc.",He went by the book,2,bear fruit,to produces positive or successful results,The efforts bore fruit when the trees started to produce apples,1,bug-eyed,The bulging of the eyes out is known as being bug eyed.,He looked bug-eyed because he didn't get enough sleep,1,in stitches,to laugh so hard that you are not able to control yourself,We were in stitches,2
foot in the door,succeed with a first step.,He got his foot in the door,2,run out,to not have enough of something,I ran out of ideas on how to solve this problem,0,beg to differ,to politely refuse something,I beg to differ; I cannot accept the offer you made,1,"all singing, all dancing","Something that is full of verve, vivacity and liveliness.","The car is all singing, all dancing",2,sacred cow,something that people believe or accept as true without questioning it.,It's a sacred cow because it is treated with respect in Indian culture,1
show true colors,to reveal what one is really like,He showed his true colors when he finally painted the walls in his room the color of his choice,1,get down to brass tacks,talk about the important things,Let's get down to brass tacks,2,curiosity killed the cat,too much curiosity can lead to dangerous situations,"Her curiosity killed the cat, as she fed it some poisonous food",1,eager beaver,someone who is very eager to perform tasks and is always offering to do more,She's an eager beaver,2,flip the bird,show someone the middle finger as an act of contempt or anger,He flipped the bird when he was angry,0
snake in the shoes,to be in a state of fear,There was a snake in the shoes when I opened the box,1,all the way up,"Literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point.",She goes all the way up the stairs,1,pull leg,tease someone,He pulled my leg,2,paddle own canoe,To be able to act without having to depend on anyone.,"She was paddling her own canoe in the middle of the lake."" Here ""paddle one's own canoe"" means to steer and move a canoe forward, typically with the help of a paddle",1,fall at first hurdle,to fail to overcome the first difficulty encountered,He fell at the first hurdle,2
safe bet,fair assumption; reasonable guess; opinion or view that is likely to prove correct.,It's a safe bet that I'll be able to talk to the CEO,0,stop the rot,"when you prevent a situation from deteriorating, especially in business or politics",We need to stop the rot,2,apples to apples,having a fair comparison between the two things,Let's compare apples to apples to see which one tastes sweeter,1,turn aside,refuse entry to somewhere,She turned aside her anger towards him and forgave him,0,kiss and make up,to become friendly again after an argument,They kissed and made up,2
use your loaf,To tell someone to use their brain more in analysing what they are doing.,He used his loaf,2,got off your back,to be annoyed and ask someone to stop finding faults or criticize you,He got off my back,2,piece of work,"a complex, tricky, or odd person",She's a piece of work to deal with; she's always making ridiculous demands,0,upper crust,"the aristocracy and upper classes, informal",She's part of the upper crust of the quiche she baked,1,love to death,love someone very much,She loves him to death,2
night owl,Someone who is vigilant late at night.,He's a night owl,2,rocket science,something very difficult to understand,This isn't rocket science,2,cut the mustard,to succeed,He cut the mustard to top his sandwich with,1,tight spot,to be in a very difficult situation,He was in a tight spot,2,dollars to donuts,an outcome that is almost assured is called as dollars to doughnuts,It'll cost dollars to donuts if you want to buy a batter and donuts,1
up a blind alley,to be doing something that will definitely have a negative outcome,We went up a blind alley when we followed that advice,0,lean towards,to be interested in something,They leaned towards the solution by including more options,0,behind bars,to be in jail or prison,He was behind bars trying to figure out the best way to move forward with his life,0,stir up a hornet's nest,to create trouble,He stirred up a hornet's nest with his controversial statement,0,"you can't have cake and the topping, too","you can't have everything the way you want it, especially if your desires are contradictory","He said you can't have cake and the topping, too - meaning you can't have it all",0
turn turtle,It refers to something turning upside down.,The boat turned turtle,2,betwixt and between,to be undecided about something,She was betwixt and between when it came to making the tough decision,0,out of hand,out of control,The party got out of hand,2,pieces of the same cake,things that have the same characteristics or qualities,We are pieces of the same cake that we are about to share,1,ate her alive,to criticize someone severely because you are angry with them,They ate her alive,2
no spring chicken,Someone who's no longer young.,She's no spring chicken and has lots of experience with this,0,dollars to donuts,an outcome that is almost assured is called as dollars to doughnuts,It'll cost dollars to donuts,2,take turns,to alternate doing something,"They took turns as a way to share their love, caring for one another in an equitable way",0,bats in the belfry,to be silly and slightly crazy and behave in a confused way,There are bats in the belfry,2,jump on the bandwagon,to start doing something because it is fashionable or profitable,Everyone was jumping on the bandwagon by supporting the popular opinion,0
will never fly,there's no chance that something will work; to be unsuccessful,His plan will never fly,2,old hat,Someone who is old fashioned. The phrase can directly refer to old fashion too.,This old hat is fooling nobody because the plan has been tried before,0,household name,to be very popular,He became a household name,2,eager beaver,someone who is very eager to perform tasks and is always offering to do more,"She's an eager beaver, constantly looking for something to do",1,joined the club,"said in answer to something that someone has said, meaning that you are in the same bad situation as they are",He joined the club when he paid his membership fee,1
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,She carried the torch for him,2,dog's life,a miserable and unpleasant life,He led a dog's life for he truly contented himself with a simple living,1,bent your ears,to talk to someone for a very long time about something boring,He bent my ears with his stories about his travels,0,building blocks,something that is a basic element (of the subject),The building blocks are there to build a fort,1,far cry from,something that is very different from something else,"It's a far cry from what I expected, as the situation was much worse than I'd imagined",0
cross swords,to fight with another person physically or verbally.,"We crossed swords, as we staged a fencing match",1,elephant in the room,"a difficult, controversial, or obvious problem that no one wants to talk about or mention because the subject is problematic, uncomfortable, or awkward",There's an elephant in the room and everyone is ignoring it,0,sitting duck,to be an easy target,"He's a sitting duck, always vulnerable in these types of situations",0,nail in the coffin,"an action/event that will help bring about the death, end, or failure of something or someone",That was the nail in the coffin when it came to our relationship,0,take up the cudgels,argue strongly in support or against somebody or something,She took up the cudgels,2
rack your brains,put great effort to think of or remember something,I'm racking my brains,2,crack the whip,make someone work harder by asserting power or authority,He cracked the whip,2,in the pipeline,to be underway,It's in the pipeline and should be delivered in the next few days,1,come clean,to make a disclosure,He finally came clean and confessed all of his lies,0,hold water,"it means that the point of view or argument put forward is sound, strong or logical",This story doesn't hold water,2
off the record,an informal or unofficial statement,I told him off the record,2,weak in the knees,"to be overcome by a strong feeling, usually desire",She made him weak in the knees,2,find feet,become familiar with a new situation,John is finding his feet while navigating the maze,1,tide over,temporary help (often financial),They rely on donations to tide over until high tide comes,1,fall on his sword,to accept the consequences of an unsuccessful or wrong action,He fell on his sword when he tripped over it,1
in the buff,naked,He was in the buff,2,rags to riches,go from being very poor to being very wealthy,He went from rags to riches when he developed a successful business,0,stand out,extend beyond or above a surface,John stands out in a crowd because of his tall height,1,taking your medicine,to accept the consequences of something you have done wrong,He's taking his medicine,2,ahead of the curve,better than others,She's ahead of the curve,2
dancing on their grave,outlive or outlast someone and celebrate their demise,They were dancing on their grave at the cemetery,1,smooth sailing,easy progress without impediment or difficulty,It's been smooth sailing for me since I moved to a new city,0,in a nutshell,to be brief and straight to the point.,It's in a nutshell,2,fall between the cracks,be ignored or unobserved,The report fell between the cracks of the bookshelf,1,bells and whistles,special features that are added to a product or system to attract more buyers,I wanted all the bells and whistles that come with the job,0
fall at first hurdle,to fail to overcome the first difficulty encountered,He fell at the first hurdle when the project he had been working on was rejected,0,keep at arm's length,keep distance from something or somebody,I've been keeping him at arm's length because I don't think he's sincere,0,catch up,"to get to the same level, standard, or status as something or someone",I'm trying to catch up with the latest trends in fashion,0,cross the bridge,to delay worrying about something that might not happen anyway,We have to cross the bridge over the river because the other side is where we need to go,1,sail through,to succeed in doing it without difficulty,She sailed through,2
never looked back,"after an event which changed your life for the better, you continue to be happy with the situation",I never looked back since I made the decision to go after my dreams,0,no room to swing a cat,a very small place,The house had no room to swing a cat as the ceilings were too low,1,end of story,there is  nothing more to add to the matter under discussion,That's the end of the story,2,hands are tied,to not be able to do anything about a situation,My hands are tied,2,take a cue from,to do what is recommended by someone else,We should take a cue from him and act accordingly,0
no dice,not agree for something,It was no dice when I asked him for help,0,all Greek to me,used to convey that you cannot understand what is being said or written,It's all Greek to me when they start speaking the language,1,at daggers drawn,almost ready to fight,"They were at daggers drawn, ready to argue with one another at any given moment",0,snow under,to bury or cover something or somebody in the snow (Literal meaning),She was snowed under,2,pour cold water on,deter or discourage somebody,"He poured cold water on the situation, cooling everyone's overheated bodies",1
the sun rises and sets on them,to believe that someone is the most wonderful and important person in the world; to love and adore someone more than anyone else,She thinks the sun rises and sets on them,2,queer pitch,spoil somebody's chance of doing something.,He threw a queer pitch,2,mind your own business,to look into your own matter,We should mind our own business and not look through the neighbor's window,1,a bird in the hand,a possession that is worthy,There's a bird in his hand because he's considering the potential he might have if he holds on,0,chip on shoulder,holding a grudge or grievance,He has a chip on his shoulder,2
give them a bird,to hold up your middle finger as a very rude sign,I gave them a bird to show them I cared,1,nail biter,"a situation like a close contest, which induces anxiety or tension.",It was a nail biter since I was biting my nails,1,cut the crap,a very crude way of telling someone to stop doing something that you do not like,Let's just cut the crap and get to the important points,0,my hands are full,someone is too busy or has too much going on to be able to do or become involved with anything else,My hands are full,2,Easter egg,a decorated or dyed egg usually given to children at Easter,She found the Easter egg which was the key to her success,0
red zone,"any geographical area that is thought to be dangerous or threatening, usually as a consequence of political or military activity.",We've entered the red zone,2,velvet glove,"a person who appears gentle, but is determined and inflexible underneath","He handled them with a velvet glove, showing them compassion despite their misdeeds",0,put your foot in it,"say something (by mistake) that upsets, humiliates, or embarrasses someone",He put his foot in it,2,hold all the aces,be in a winning position.,He holds all the aces as he knows the details of the situation,0,cloud on the horizon,"a problem or difficulty that is predictable, or seems likely to arise in the future","There's a cloud on the horizon, meaning that something bad is about to happen",0
call names,to insult someone,She called names to get his attention,1,ready to drop,to be extremely tired and nearly too exhausted to stay standing,I'm ready to drop from exhaustion after working all day on this project,0,my way or the highway,to order someone to do something in a specific way without providing an alternative.,It's my way or the highway,2,ahead of the pack,more successful than other people who are trying to achieve the same things,He's ahead of the pack,2,cup of tea,to like something,It's not my cup of tea,2
be on a collision course,doing or saying things which are certain to cause a serious disagreement or a fight between them.,They're on a collision course since they're planning to fly their planes at the same time,1,put the clock back,change to a lower level or earlier time.,I tried to put the clock back so I can have more time to finish my project,0,under the weather,to be ill or feel ill,He's been under the weather with a bad cold,1,high on the hog,someone who is used to luxury,He's been living high on the hog,2,makes my ears burn,"to be embarrassed by what you hear, especially if the conversation is about you",It makes my ears burn,2
when the chips are down,when a situation is urgent or desperate.,He's there when the chips are down,2,"Mr Right, Ms Right",the best future life partner for someone,She is looking for Mr Right and Ms Right which she can find in her family history book,1,dragging its feet,"delaying in decision, not showing enthusiasm",The project is dragging its feet because it weighs too much,1,at bottom,to the core of the object,It's all at bottom inside the box,1,pay as you go,a payment system that allows you to pay right before a service you use rather than later.,We are paying as we go by using coins instead of bills,1
snake in the grass,a hidden army,"There was a snake in the grass yesterday, so we had to stay careful",1,go through a rough patch,to experience a lot of problems in a period of life,She's going through a rough patch,2,pound of flesh,an unreasonable demand but something that is one's legal right.,He demanded his pound of flesh,2,on the line,to be at serious risk.,Everything was on the line,2,cut down,to reduce the amount of something (usually bad),We had to cut down the tree,2
make ends meet,make sufficient money to survive on,He's been struggling to make ends meet by joining the pieces of string together,1,break a leg,good luck,I wish you break a leg,2,last resort,the last thing you would do if you were desperate and all other courses of action had failed,I had to turn to a last resort,2,bury the hatchet,to stop fighting or arguing or to end old resentments,We buried the hatchet,2,as well as,additionally,I visited the store as well as the museum,2
heart goes out to,to feel sympathy for someone when they are distressed,My heart goes out to them as they stand out amongst the crowd,1,ball and chain,a burden or problem that ties you down and prevents you from doing what you want,My job is like a ball and chain,2,draw a blank,to get no response from someone,I drew a blank on the paper when I was sketching the landscape,1,ups and downs,good times and bad times,This job comes with its ups and downs indicating its rewards as well as its difficulties,0,take a leaf out of someone's book,implement actionable advice,We took a leaf out of their book and started using their ideas to increase our profit margins,0
wash hands of,abandon taking responsibility for someone or something,I washed my hands of this,2,get over it,accept something and move on,She needs to get over it and move forward with her life,0,on top of the world,in a good mood as everything is going well for you,She's on top of the world,2,broken heart,"when a person is emotionally sad or grief-stricken, then it's broken hearted",He has a broken heart,2,alpha and omega,both the beginning and the end,He's the alpha and omega,2
bite head off,overreact in an angry or harsh way,He bit the head off the snake as it threatened to attack him,1,dish fit for the gods,This refers to food that is of an exemplary quality,"He cooked a dish fit for the gods, showing off his incredible culinary skills",0,piss and vinegar,to self-reference someone who is in a bad mood and ready to fight.,"He was full of piss and vinegar, energized to get the work done quickly",0,blow cover,to reveal the true identity,He blew his cover,2,page-turner,a thrilling book,It was a page-turner that had me captivated,0
miles to go before I sleep,you have a lot to do before you can rest,I have miles to go before I sleep,2,pour oil on troubled waters,"try to calm, soothe or placate a problematic situation",We tried to pour oil on troubled waters to make them calm down,1,plays with fire,people who take unnecessary risks or behave in a dangerous way,He's playing with fire,2,king of the hill,be the undisputed champion,He's been the king of the hill because he claimed the highest point,1,just deserts,get what one deserves,I got my just deserts when I benevolently helped someone in need,0
brownie points,"Praise or appreciation, usually for a service someone has done.",He earned some brownie points from his boss for finishing the project ahead of schedule,0,got it made,"to be certain to be successful and have a good life, often without much effort:",He's got it made since he is an expert craftsman,1,beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",He ventured beyond the veil,2,bundle up,to dress warmly to protect oneself from the elements,We have to bundle up because it's cold outside,1,makes his hackles rise,to make you angry,He makes his hackles rise when he's around someone he doesn't like,0
under fire,being shot at,He was under fire,2,wash dirty linen in public,discuss publicly matters that one should keep private,She washed her dirty linen in public by arguing with her sister on the street corner,0,went through the mill,"you experience a very difficult period, or are exposed to rough treatment",He went through the mill when his parents got divorced,0,lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,I had a lump in my throat when my best friend announced she was moving away,0,cross paths,encounter or meet someone by chance.,We crossed paths earlier today when I saw you at the store,0
way around,"to find an alternative for something, someone or to perform a task",They found a way around it by doing the opposite,0,fall between the cracks,be ignored or unobserved,The report fell between the cracks when the team missed an important deadline,0,have a soft spot,to like someone very much,They have a soft spot,2,pieces of the same cake,things that have the same characteristics or qualities,We are pieces of the same cake and pulled together in this project,0,cash in,to earn out of something in big amounts,You should cash in on your hard work and success by taking that opportunity,0
the other side of the coin,"the opposite aspect, contrasting arguments.",Let's consider the other side of the coin in order to have a full view of the design,1,all bark and no bite,"threatening, aggressive, but not willing to engage in a fight",He is all bark and no bite and is too afraid to take any action,0,tearing a strip off,to reprimand someone severely for doing something wrong,My mother was tearing a strip off me when the fabric of my shirt got caught in a zipper,1,fight a losing battle,trying to do something even when there is little chance of succeeding,"He was fighting a losing battle, as the other opponent had better equipment",1,bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",He bit off more than he can chew when he promised to finish the project by the end of the week,0
make it big,become very successful or famous,He's making it big by working hard and taking risks,0,my way or the highway,to order someone to do something in a specific way without providing an alternative.,"It's my way or the highway, so no one can differ with my opinion""",0,cool heels,to wait or take rest,They had to cool their heels and wait patiently for the instructions to arrive,0,set the bar,fix the standards acceptable for the task,You set the bar,2,call a spade a spade,this phrase means to say something the way it is,She calls a spade a spade,2
hold tongue,to keep quiet when one would rather speak,She held her tongue to prevent herself from speaking too harshly,0,bang head against wall,to be frustrated in your efforts to change something or make something happen,He's been banging his head against the wall when trying to figure out how to solve this problem,0,big deal,important thing,It's a big deal because they bought a large one,1,a whale of,very big (piece) of something,She had a whale of a time at the amusement park,0,snake in the grass,a hidden army,There was a snake in the grass within the group of colleagues - someone who was planning something behind everyone's back,0
written all over face,when someone's feelings or thoughts are very clear,You had it written all over your face,2,ahead of the pack,more successful than other people who are trying to achieve the same things,He's ahead of the pack by a few meters due to his fast running speed,1,twist arm,to make someone do what you want by making it difficult for them to refuse,"I had to twist his arm"" ",2,on the line,to be at serious risk.,"Everything was on the line when I took the test, so I was very anxious",0,pull the plug,to kill or discontinue,He pulled the plug on the project as he was not interested in it anymore,0
in the buff,naked,He was in the buff cheering on his team during the game,0,spill the beans,disclose a secret or reveal something prematurely,She spilled the beans all over the kitchen floor after the jar slipped from her hands,1,taste of own medicine,when someone gets the same bad treatment that he has been giving others,She got a taste of own medicine when another person treated her the same way she treated them,0,go through the roof,to become very angry,My enthusiasm went through the roof,2,class clown,a wiseacre,He was the class clown and always made everyone laugh with his jokes,0
hold all the aces,be in a winning position.,He holds all the aces,2,saved by the bell,to be saved from losing because there is a signal of the event coming to an end,He was saved by the bell when it signaled the end of the day,1,back to the salt mines,"resume work, usually with some reluctance",Time to go back to the salt mines as the job requires it,1,rock the boat,to make trouble.,He decided to rock the boat,2,stack the deck,to be against someone or something,He stacked the deck,2
in high dudgeon,feeling or exhibiting great resentment,She was in high dudgeon when I told her about my mistake,0,taste of own medicine,when someone gets the same bad treatment that he has been giving others,She got a taste of own medicine when she accidentally drank her own prescription medication,1,die in harness,to expire while working,He died in harness as he was wearing it while working,1,paint the town red,to celebrate and have a wild time,We painted the town red by decorating the streets with colorful paints,1,hold tongue,to keep quiet when one would rather speak,She held her tongue with her fingers,1
take the bull by the horns,decisively deal with a difficult or dangerous situation,I took the bull by the horns and moved it to the other side of the pen,1,weak in the knees,"to be overcome by a strong feeling, usually desire",She made him weak in the knees after he took the wrong medication,1,burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.,She's been burning the candle at both ends and now it has melted,1,outside the lines,not sticking to the rules,She was outside the lines when she colored her latest drawing,1,your guess is as good as mine,I don't know,Your guess is as good as mine as to what time we should meet tomorrow,1
better half,spouse,He is my better half,2,bee in bonnet,be possessed with one thought or scheme,She has a bee in her bonnet,2,rocket science,something very difficult to understand,This isn't rocket science-- it's just a science experiment we can perform in the classroom,1,upper hand,to have the authority to make decisions over someone or something,She has the upper hand because her arm is higher than her opponent's,1,long run,far away in the future,"It will help in the long run, even if it takes years to become productive",1
get out of bed on the wrong side,be very irritable and grouchy,He got out of bed on the wrong side this morning and had to crawl over his brother to get out,1,open old wounds,"to revive memories of an unpleasant event, situation or dispute that took place in the past",He opened old wounds when he brought up past disagreements and hostilities,0,it's a small world,meeting someone not expected to be at a certain place,It's a small world when we can travel around it in less than two hours,1,on the cards,"Something very likely to happen, occur or take place.",It's on the cards drawn for the game of poker,1,dial it back,"to reduce the intensity of something, or tone it down",He dialed it back as he wanted to try a more subdued approach,0
come across,to meet someone,I came across it when I walked in front of the store,1,ride (on) a wave,to enjoy the advantages of something,He is riding a wave of success these days,0,beat around the bush,avoid talking about the main topic,He was beating around the bush and not answering my question directly,0,stops dead in their tracks,to stop suddenly because you are totally surprised or frightened,He stopped dead in his tracks when he was in front of a red light,1,icing on the cake,when something good is added to another good thing that you already have,This was the icing on the cake as it made me understand the full picture,0
baying for blood,want somebody to be hurt or punished.,The crowd was baying for blood as the smell of it aroused their sense of thirst,1,lose head,not have control over your emotions,The situation made him lose his head and he had to look for it everywhere,1,make or break,circumstances or events that will make or break someone or something will cause either total success or total ruin,This will make or break us,2,smell a rat,sense that something is not right,She smelt a rat when the story changed and knew something was off,0,"Mr Right, Ms Right",the best future life partner for someone,She is looking for Mr Right and Ms Right,2
dead in the water,unable to produce movement,The project is dead in the water,2,apples and oranges,two things that are fundamentally different and therefore not suited to comparison,That's like comparing apples and oranges,2,makes my ears burn,"to be embarrassed by what you hear, especially if the conversation is about you",It makes my ears burn when the sound is too loud,1,back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,He's backed the wrong horse because he placed his bet on the unsuccessful one,1,saved his neck,to manage to escape from serious danger or trouble,He saved his neck,2
caught in the crossfire,be badly affected by a situation where two people or group are arguing with each other.,He got caught in the crossfire when the shots rang out,1,deep down,felt strongly and often hidden from other people,She knew deep down that she deserved a better job,0,tore your hair out,to be extremely agitated or distressed about something,She was tearing her hair out,2,back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,He's backed the wrong horse,2,cup of tea,to like something,It's not my cup of tea as I don't find it enjoyable,0
two peas in a pod,practically identical in appearance,They were two peas in a pod,2,all Greek to me,used to convey that you cannot understand what is being said or written,It's all Greek to me,2,let the cat out of the bag,to let a secret out in the open,She let the cat out of the bag and exposed the secret plan to the public,0,baying for blood,want somebody to be hurt or punished.,The crowd was baying for blood after hearing the allegations against the accused,0,carry coals to new castle,to take something to a place or a person that has a lot of that thing already,She carried coals to Newcastle as part of her job,1
sealed with a kiss,written and sent with love and care,The letter was sealed with a kiss since I didn't have any glue to close the envelope,1,24/7 (twenty-four-seven),constantly,We're open 24/7,2,bug-eyed,The bulging of the eyes out is known as being bug eyed.,He looked bug-eyed,2,all Greek to me,used to convey that you cannot understand what is being said or written,It's all Greek to me when they talk about the stock market,0,add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse",He added fuel to the flames by arguing and making things worse,0
break the mould,to do something different from what is expected,She's breaking the mould,2,at stake,"It means to be on wager or bet, when there is some sort of uncertainty.","Everything is at stake, including the money, the items, and the relationships",1,class clown,a wiseacre,"He was the class clown"" ",2,sitting duck,to be an easy target,He's a sitting duck in the pond,1,under the radar,"going unnoticed, avoiding unnecessary attention",He managed to stay under the radar and avoid gossip or criticism,0
take the bull by the horns,decisively deal with a difficult or dangerous situation,I took the bull by the horns,2,in the red,more money going out than coming in,Her bank account was in the red because her bank used red ink to indicate a negative balance,1,bear fruit,to produces positive or successful results,The efforts bore fruit when the new program was successfully instituted,0,run for cover,to seek shelter,He ran for cover because it started raining,1,hold your horses,to wait,Let's hold our horses,2
