idiom,phrase,sentence,sentence_label_gpt3,sentence_reason_gpt3,phrase_label,sentence_label,kor_Hang_idiom,kor_Hang_phrase,kor_Hang_sentence,kor_Hang_phrase_label,kor_Hang_sentence_label,kor_Hang_notes,fra_Latn_idiom,fra_Latn_phrase,fra_Latn_sentence,fra_Latn_phrase_label,fra_Latn_sentence_label,heb_Hebr_idiom,heb_Hebr_phrase,heb_Hebr_sentence,heb_Hebr_phrase_label,heb_Hebr_sentence_label,zho_Hans_idiom,zho_Hans_phrase,zho_Hans_sentence,zho_Hans_phrase_label,zho_Hans_sentence_label,yor_Latn_idiom,yor_Latn_phrase,yor_Latn_sentence,yor_Latn_phrase_label,yor_Latn_sentence_label
shot in the dark,I took a shot in the dark,I took a shot in the dark and guessed the answer to the question.,0,"Here, ""shot in the dark"" means to take a guess without any knowledge or evidence.",2,0,어둠 속에서 촬영,어둠 속에서 쏘았어요,저는 어둠 속에서 촬영을 했고 그 질문에 대한 답을 추측했습니다.,1,1,,tiré dans l'obscurité,J'ai tiré dans le noir.,J'ai tiré dans le noir et j'ai deviné la réponse à la question.,,,נורה בחושך.,אני ירה בחושך.,צילמתי בחושך ונחשתי את התשובה לשאלה.,,,在黑暗中被枪杀,我在黑暗中拍了一枪.,我在黑暗中试图猜出答案.,,,a ti fi ìbọn pa á ní òkùnkùn,Mo ṣe ìkọlù kan ní òkùnkùn,Mo gbìyànjú láti rí ìdáhùn sí ìbéèrè náà ní òkùnkùn.,,
shot in the dark,I took a shot in the dark,I took a shot in the dark and fired my gun.,1,"Here, ""shot in the dark"" means to shoot a gun without being able to see the target.",2,1,어둠 속에서 촬영,어둠 속에서 쏘았어요,어둠 속에서 총을 쏘고 총을 쏘았어요,1,1,,tiré dans l'obscurité,J'ai tiré dans le noir.,J'ai tiré dans le noir et j'ai tiré.,,,נורה בחושך.,אני ירה בחושך.,יריתי בחושך וירה באקדח שלי.,,,在黑暗中被枪杀,我在黑暗中拍了一枪.,我在黑暗中射击了枪.,,,a ti fi ìbọn pa á ní òkùnkùn,Mo ṣe ìkọlù kan ní òkùnkùn,"Mo dá ìbọn ní òkùnkùn, mo sì fi ìbọn mi ṣe é.",,
get it out of his system,He got it out of his system,He got it out of his system by going on a shopping spree.,0,"Here, to ""get it out of his system"" means to do something to relieve a strong emotion or urge.",2,0,이놈의 몸에서 꺼내,그는 그것을 자신의 시스템에서 꺼내,쇼핑을 하면서 몸 밖으로 내밀어냈어요,1,1,,- Il est en train de se faire foutre.,Il l' a sorti de son système.,Il l'a sorti de son système en faisant une course de shopping.,,,תוציאו אותו מהמערכת שלו.,הוא יצא מזה.,הוא יצא מזה על ידי רכישת קניות.,,,让他掉这个东西.,他把它从他的系统中得到了,他通过购物活动把它从他的系统中得到了.,,,kó o kúrò nínú ara rẹ̀,Ó mú un kúrò nínú ara rẹ̀,Ó mú un kúrò nínú ara rẹ̀ nípa lílọ lọ ṣe ìsọfúnni.,,
get it out of his system,He got it out of his system,He got it out of his system by coughing it up.,1,"Here, to ""get it out of his system"" means to expel something from the body.",2,1,이놈의 몸에서 꺼내,그는 그것을 자신의 시스템에서 꺼내,그는 그것을 기침으로 내버려 두었습니다.,1,3,,- Il est en train de se faire foutre.,Il l' a sorti de son système.,Il l'a sorti de son système en le toussant.,,,תוציאו אותו מהמערכת שלו.,הוא יצא מזה.,הוא זרק את זה מהמערכת שלו על ידי שיעול אותו.,,,让他掉这个东西.,他把它从他的系统中得到了,他通过咳把它从他的系统中得到.,,,kó o kúrò nínú ara rẹ̀,Ó mú un kúrò nínú ara rẹ̀,Ó mú un kúrò nínú ara rẹ̀ nípa fífi í ṣe àpò.,,
throwing in the towel,I threw in the towel,I threw in the towel and decided to give up on the project.,0,"Here, ""throwing in the towel"" means to give up or abandon something.",2,0,수건을 던지는 것,난 그 대접을 던졌어,"저는 그 대용품을 내놓았고, 프로젝트를 포기하기로 결정했습니다.",3,3,"""towel"" was translated as ""treat"" (phrase) and ""alternative"" (sentence). Incorrect.",jeter la serviette,J' ai jeté la serviette.,J'ai jeté la serviette et j'ai décidé d'abandonner le projet.,,,לזרוק את המגבת,זרקתי את המגבת.,זרקתי את המגבת והחלטתי לוותר על הפרויקט.,,,扔掉手巾,我把毛巾扔进来.,"我把手巾扔进了,决定放弃这个项目.",,,kí n fi aṣọ àfọ̀ sí inú rẹ̀,Mo fi àtẹ̀yìnwá náà sínú rèé,"Mo fi àtẹ̀yìnwá-wá-yé náà sínú ilé, mo sì pinnu pé màá jáwọ́ nínú iṣẹ́ náà.",,
throwing in the towel,I threw in the towel,I threw in the towel to mop up the spilled water.,1,"Here, ""throwing in the towel"" means to use a towel for a practical purpose.",2,1,수건을 던지는 것,난 그 대접을 던졌어,나는 그 물을 씻기 위해 수건을 던졌다.,3,1,,jeter la serviette,J' ai jeté la serviette.,J'ai jeté la serviette pour essuyer l'eau versée.,,,לזרוק את המגבת,זרקתי את המגבת.,זרקתי את המגבת כדי לסוף את המים שזרקו.,,,扔掉手巾,我把毛巾扔进来.,"我把毛巾扔进来,擦拭了流出的水.",,,kí n fi aṣọ àfọ̀ sí inú rẹ̀,Mo fi àtẹ̀yìnwá náà sínú rèé,Mo fi àtẹ̀yìnwá náà sínú rẹ̀ kí n lè fọ omi tó dà nù.,,
on the hook,I'm on the hook,I'm on the hook for the consequences of my actions.,0,"Here, ""on the hook"" means to be responsible for something.",2,0,에,난 에 걸려있어요,내 행위의 결과에 대해 내가 고무돼 있다.,3,1,The translations of phrases are impaired. ,sur le crochet,Je suis sur le coup.,Je suis sous le coup des conséquences de mes actions.,,,על הקוק,אני על הקוק.,אני על הקוק על ההשלכות של מעשי.,,,在子上,我在上,"我在上,因为我的行为的后果.",,,lórí àpáta,Mo ti wà lórí àwọ̀n,Mo ti wà lórí àbájáde àwọn ohun tí mo ṣe.,,
on the hook,I'm on the hook,I'm on the hook because I'm fishing.,1,"Here, ""on the hook"" means to be literally attached to a hook.",2,1,에,난 에 걸려있어요,낚시하기 때문에 에 걸렸어요,3,1,The translations of phrases are impaired. ,sur le crochet,Je suis sur le coup.,Je suis accro parce que je pêche.,,,על הקוק,אני על הקוק.,אני על הקוק כי אני דייג.,,,在子上,我在上,"我在上,因为我在鱼.",,,lórí àpáta,Mo ti wà lórí àwọ̀n,Mo wà lórí àpáta nítorí pé mo ń pẹja.,,
eat them alive,The crowd ate them alive,The crowd ate them alive with their criticism and harsh words.,0,"Here, to ""eat them alive"" means to overwhelm someone with criticism.",2,0,살아서 먹어라,군중들은 그들을 살아 먹었습니다.,군중들은 그들의 비판과 혹독한 말들로 그들을 살아 먹었습니다.,2,0,,mangez-les vivants,La foule les a mangés vivants.,La foule les a mangés vivants avec leurs critiques et leurs paroles dures.,,,תאכל אותם בחיים.,הקהל אכל אותם בחיים.,הקהל אכל אותם חיים עם ביקורתם וביטויים קשים.,,,吃活着,群众吃了他们活着.,群众用他们的批评和严厉的话活着吃了他们.,,,jẹ wọn láàyè,Àwọn èèyàn náà jẹ wọ́n láàyè,Àwọn èèyàn náà fi ọ̀rọ̀ ìkà àti ọ̀rọ̀ òdì tí wọ́n sọ jí wọ́n.,,
eat them alive,The crowd ate them alive,The crowd ate them alive because they were served food.,1,"Here, to ""eat them alive"" means to consume something completely.",2,1,살아서 먹어라,군중들은 그들을 살아 먹었습니다.,군중들은 그들을 먹었기 때문에 살아 먹었습니다.,2,1,,mangez-les vivants,La foule les a mangés vivants.,La foule les mange vivants parce qu'on leur a servi de la nourriture.,,,תאכל אותם בחיים.,הקהל אכל אותם בחיים.,הקהל אכל אותם בחיים כי הם הוגשו להם אוכל.,,,吃活着,群众吃了他们活着.,"群众吃了活着,因为他们被给了食物.",,,jẹ wọn láàyè,Àwọn èèyàn náà jẹ wọ́n láàyè,Àwọn èèyàn náà jẹ wọ́n láàyè nítorí pé wọ́n ń fún wọn ní oúnjẹ.,,
carry the can,I had to carry the can,I had to carry the can for the team and take the blame for the mistake.,0,"Here, to ""carry the can"" means to take responsibility for something.",2,0,수송통,난 캔을 들고 가야 했어,팀의 배신에 대한 책임을 져야 했습니다.,1,0,,la boîte à charges,J' ai dû porter la canette,J'ai dû porter la canette pour l'équipe et prendre la faute pour l'erreur.,,,הקופסה,הייתי צריך לשאת את הקופסה.,הייתי צריך לשאת את הקופסה עבור הקבוצה ולהטיל את האשמה על הטעות.,,,子可以携带,我不得不带着子.,"我不得不为团队负责,并为错误负责.",,,àpò tó ń gbé,Mo ní láti gbé àpò náà,Mo ní láti gbé àpò náà fún àwùjọ náà kí n sì máa dá ara mi lẹ́bi fún àṣìṣe náà.,,
carry the can,I had to carry the can,I had to carry the can to the recycling center.,1,"Here, to ""carry the can"" means to physically transport a can.",2,1,수송통,난 캔을 들고 가야 했어,저는 복원센터로 캔을 가져갈 필요가 있었습니다.,1,1,,la boîte à charges,J' ai dû porter la canette,J'ai dû emporter la canette au centre de recyclage.,,,הקופסה,הייתי צריך לשאת את הקופסה.,הייתי צריך לקחת את הקופסה למרכז ההסיירת.,,,子可以携带,我不得不带着子.,我不得不把带到回收中心.,,,àpò tó ń gbé,Mo ní láti gbé àpò náà,Mo ní láti kó àpò náà lọ sí ilé ìwẹ̀sì tí wọ́n ti ń ṣe àtúnṣe.,,
eaten me alive,I was eaten alive,I was eaten alive by my worries and anxieties.,0,"Here, to be ""eaten alive"" means to be overwhelmed by something.",2,0,날 살아 먹었어,난 살아서 먹혔어,걱정과 불안으로 살아서 먹혔어요,2,0,,Ils m'ont mangé vivant.,J' ai été mangé vivant.,J'ai été dévoré vivant par mes inquiétudes et mes inquiétudes.,,,אכלו אותי בחיים.,אכלו אותי בחיים.,אני אכלתי בחיים על ידי דאגותיי וחרדותיי.,,,吃了我活着,我被活着吃掉了,我被我的忧虑和焦虑吞了.,,,ó jẹ mi láàyè,Wọ́n jẹ mi láàyè,Àwọn àníyàn àti ìdààmú ọkàn mi ti jẹ mi jẹ.,,
eaten me alive,I was eaten alive,I was eaten alive by the mosquitoes in the park.,1,"Here, to be ""eaten alive"" means to be literally bitten by a lot of insects.",2,1,날 살아 먹었어,난 살아서 먹혔어,공원에서 살면서 모기들이 먹었습니다.,2,1,,Ils m'ont mangé vivant.,J' ai été mangé vivant.,J'ai été mangé vivant par les moustiques du parc.,,,אכלו אותי בחיים.,אכלו אותי בחיים.,נפטרתי בחיים על ידי יתושים בפארק.,,,吃了我活着,我被活着吃掉了,我被公园里的蚊子活着吃了.,,,ó jẹ mi láàyè,Wọ́n jẹ mi láàyè,Àwọn ọ̀fọ tó wà nínú ọgbà náà jẹ mi láàyè.,,
made her hackles rise,She made her hackles rise,She made her hackles rise when she heard the news.,0,"Here, ""made her hackles rise"" means to make someone angry or defensive.",2,0,그녀의 이 올라갔어,그녀는 그녀의 을 어,그녀는 뉴스를 들었을 때 그녀의 턱을 솟아 냈습니다.,3,3,,Elle a fait monter ses haches,Elle a fait monter ses haches,Elle a fait monter ses haches quand elle a entendu la nouvelle.,,,גרם לה להרים את החצופים שלה,היא הרמה את הגזים שלה,היא הרחיקה את הקפצים שלה כששמעה את החדשות.,,,让她的子起,她让她的子起.,"她听到这个消息,就让她的子起来了.",,,ó mú kí àpáta rẹ̀ gòkè,Ó mú kí àpáta rẹ̀ gòkè,Ó mú kí àyà rẹ̀ wú nígbà tó gbọ́ ìròyìn náà.,,
made her hackles rise,She made her hackles rise,She made her hackles rise when she felt a chill in the air.,1,"Here, ""made her hackles rise"" means to make the hairs on the back of her neck stand up.",2,1,그녀의 이 올라갔어,그녀는 그녀의 을 어,그녀는 공중의 추위를 느낄 때 그녀의 턱을 솟아있었습니다.,3,3,,Elle a fait monter ses haches,Elle a fait monter ses haches,Elle faisait lever ses haches quand elle ressentait un froid dans l'air.,,,גרם לה להרים את החצופים שלה,היא הרמה את הגזים שלה,היא הרמה את העורקים שלה כשהרגשה קירור באוויר.,,,让她的子起,她让她的子起.,"她在空气中感觉到寒冷时,让她的子升起.",,,ó mú kí àpáta rẹ̀ gòkè,Ó mú kí àpáta rẹ̀ gòkè,Ó mú kí àpáta rẹ̀ máa gbé sókè nígbà tó bá rí i pé ọ̀run ti tutù.,,
lump in her throat,She had a lump in her throat,She had a lump in her throat when she heard the news of her grandmother's passing.,0,"Here, ""lump in her throat"" means to have a feeling of sadness or grief.",2,0,목에 덩어리,목에 덩어리가 있었다,할머니가 돌아가신 소식을 듣고 목에 덩어리가 생겼습니다.,1,1,,Une grosse boucle dans sa gorge,Elle avait une bosse dans la gorge.,Elle avait un bouquet dans la gorge quand elle a entendu la nouvelle du décès de sa grand-mère.,,,חבורת בגרון שלה,היה לה חבורת בגרונה.,היה לה חצבת בגרונה כששמעה את החדשות על מות סבתא שלה.,,,子在她的喉里,她喉里有一个块,"她听到祖母去世的消息时,喉了块.",,,ìyókù kan ní ọ̀rùn,O ni ọgbẹ kan ninu ọrùn rẹ,Ọ̀pọ̀ nǹkan ló bà á nínú ọrùn nígbà tó gbọ́ pé ìyá ńlá òun ti kú.,,
lump in her throat,She had a lump in her throat,She had a lump in her throat because she had swallowed a pill incorrectly.,1,"Here, ""lump in her throat"" means to have a physical lump in the throat.",2,1,목에 덩어리,목에 덩어리가 있었다,그녀는 잘못 약을 삼켜서 목에 덩어리가 있었다.,1,1,,Une grosse boucle dans sa gorge,Elle avait une bosse dans la gorge.,Elle avait une bosse dans la gorge parce qu'elle avait avalé une pilule de façon incorrecte.,,,חבורת בגרון שלה,היה לה חבורת בגרונה.,היה לה חצופה בגרונה בגלל שהיא בלעה גלולה לא נכון.,,,子在她的喉里,她喉里有一个块,"她喉块,因为她错误吞下了一块药丸.",,,ìyókù kan ní ọ̀rùn,O ni ọgbẹ kan ninu ọrùn rẹ,"Ọ̀pọ̀ nǹkan ló ń ṣe sí i, torí pé kò tọ́ sí i láti mu oògùn kan.",,
save her neck,She saved her neck,She saved her neck by getting out of the situation before it got any worse.,0,"Here, to ""save her neck"" means to escape from a difficult situation.",2,0,목을 구해,목을 구해줬어,상황이 악화되기 전에 빠져나와 목을 구해줬어요,1,1,,Elle a besoin de toi.,Elle s'est sauvée le cou.,Elle s'est sauvée en sortant de la situation avant qu'elle ne s'aggrave.,,,הציל את צווארה.,היא הצילה את הצוואר שלה.,היא הצילה את הצוואר שלה על ידי לצאת מהמצב לפני שזה נעשה גרוע יותר.,,,拯救她的子,她救了自己的子.,"她在情况变得更糟之前,脱离了这个局面,拯救了自己的子.",,,ẹ fi ọrùn rẹ̀ lélè,Ó dá ẹ̀rùn òun sílẹ̀,Ó dáàbò bo ara rẹ̀ nípa rírí i kúrò nínú ipò náà kí nǹkan tó burú sí i.,,
save her neck,She saved her neck,She saved her neck by wearing a scarf to protect it from the cold.,1,"Here, to ""save her neck"" means to protect it from harm.",2,1,목을 구해,목을 구해줬어,그녀는 목을 감기로부터 보호하기 위해 셰얼을 착용함으로써 구했습니다.,1,1,,Elle a besoin de toi.,Elle s'est sauvée le cou.,Elle a sauvé son cou en portant une écharpe pour la protéger du froid.,,,הציל את צווארה.,היא הצילה את הצוואר שלה.,היא הצילה את הצוואר שלה על ידי לובש סרף כדי להגן עליו מהקר.,,,拯救她的子,她救了自己的子.,她穿上围巾来保护她的子免受寒冷.,,,ẹ fi ọrùn rẹ̀ lélè,Ó dá ẹ̀rùn òun sílẹ̀,Ó dá ẹ̀rùn rẹ̀ nídè nípa fífi aṣọ ìbọ̀n ṣe aṣọ tó máa dáàbò bò ó lọ́wọ́ òtútù.,,
lick your lips,He licked his lips,He licked his lips in anticipation of the delicious meal he was about to eat.,0,"Here, ""lick your lips"" means to show eagerness or anticipation.",2,0,입술을,입술을,그는 맛있는 식사를 기대하고 입술을 었다.,3,3,,léche tes lèvres,Il a léché ses lèvres.,Il lécha ses lèvres en attendant le délicieux repas qu'il allait manger.,,,ללקק את השפתיים שלך,הוא ללקק את השפתיים שלו.,הוא ללקק את השפתיים שלו בהמתנה לארוחה טעימה שהוא עומד לאכול.,,,嘴唇,他了嘴唇.,"他了嘴唇,预计他即将吃的美味饭.",,,kí ẹ lè lé e lé,Ó ń lé e ní ètè,"Ó ń lé e ní ètè, ó sì ń retí oúnjẹ tó ń jẹ.",,
lick your lips,He licked his lips,He licked his lips to moisten them.,1,"Here, ""lick your lips"" means to literally moisten the lips with saliva.",2,1,입술을,입술을,그는 입술을 젖게 하기 위해 씹었다.,3,3,,léche tes lèvres,Il a léché ses lèvres.,Il a léché ses lèvres pour les humidifier.,,,ללקק את השפתיים שלך,הוא ללקק את השפתיים שלו.,הוא ללקק את השפתיים שלו כדי לרחות אותן.,,,嘴唇,他了嘴唇.,"他了嘴唇,让它们湿.",,,kí ẹ lè lé e lé,Ó ń lé e ní ètè,Ó ń lé e láti fi omi mú wọn.,,
fall on your sword,I fell on my sword,I fell on my sword and took the blame for the mistake.,0,"Here, to ""fall on your sword"" means to accept responsibility for something.",2,0,칼에 쓰러져,난 칼에 쓰러졌어,난 칼에 쓰러져 실수에 대해 책임을 지게 됐어,1,1,,Tu tombes sur ton épée,Je suis tombé sur mon épée,Je suis tombé sur mon épée et j'ai pris la faute.,,,נופל על חרבך.,נפלתי על חרב שלי.,נפלתי על חרבי ונטשתי את האשמה על הטעות.,,,落在你的剑上,我倒在刀下,"我倒在刀下,为错误负责.",,,ṣubu lórí idà rẹ,Mo ṣubu lori idà mi,"Mo ṣubú sórí idà mi, mo sì dá ara mi lẹ́bi.",,
fall on your sword,I fell on my sword,I fell on my sword and it cut me.,1,"Here, to ""fall on your sword"" means to literally fall on a sword.",2,1,칼에 쓰러져,난 칼에 쓰러졌어,내 검에 떨어졌고 날 잘렸다,1,1,,Tu tombes sur ton épée,Je suis tombé sur mon épée,Je suis tombé sur mon épée et elle m'a coupé.,,,נופל על חרבך.,נפלתי על חרב שלי.,נפלתי על חרב שלי והוא חתך אותי.,,,落在你的剑上,我倒在刀下,"我摔倒在刀上,刀砍了我.",,,ṣubu lórí idà rẹ,Mo ṣubu lori idà mi,"Mo ṣubú sórí idà mi, ó sì gé mi.",,
breaks the back of,This task breaks the back of me,This task breaks the back of me because it's so difficult.,0,"Here, ""breaks the back of"" means to be a great strain or burden.",2,0,이,이 임무는 내 허리를 깨뜨리는 거야,이 임무는 너무 어렵기 때문에 제 허리를 깨고 있습니다.,1,1,,casse le dos de,Cette tâche me décourage.,Cette tâche me décourage parce qu'elle est si difficile.,,,שבור את הגב של,המשימה הזאת שוברת את הגב שלי.,המשימה הזאת שוברת לי את הגב כי זה כל כך קשה.,,,打破了后部,这项任务打破了我的背部,"这项任务让我丧,因为它太难了.",,,ó máa ń fọ́ ẹ̀yìn,Iṣẹ́ yìí ń ba mi nínú jẹ́,Iṣẹ́ yìí máa ń ba mi nínú jẹ́ nítorí pé ó ṣòro gan-an.,,
breaks the back of,This task breaks the back of me,This task breaks the back of me because I'm lifting something too heavy.,1,"Here, ""breaks the back of"" means to cause physical injury to the back.",2,1,이,이 임무는 내 허리를 깨뜨리는 거야,이 임무는 너무 무거운 걸 들어 올리고 있기 때문에 제 허리를 깨고 있습니다.,1,1,,casse le dos de,Cette tâche me décourage.,Cette tâche me décourage parce que je souleve quelque chose de trop lourd.,,,שבור את הגב של,המשימה הזאת שוברת את הגב שלי.,המשימה הזאת שוברת את הגב שלי כי אני מרימה משהו כבד מדי.,,,打破了后部,这项任务打破了我的背部,"这项任务打破了我的背部,因为我抬起了太重的东西.",,,ó máa ń fọ́ ẹ̀yìn,Iṣẹ́ yìí ń ba mi nínú jẹ́,Iṣẹ́ yìí máa ń ba mi jẹ́ nítorí pé mo ń gbé nǹkan tó wúwo jù.,,
getting in my hair,He's getting in my hair,He's getting in my hair with all his nagging.,0,"Here, ""getting in my hair"" means to annoy or bother someone.",2,0,내 머리 속으로 들어가,내 머리 속으로 들어가고 있어,내 머리 속의 거꾸로 다 고 있어요,1,1,,Je me suis fait piquer les cheveux.,Il me touche les cheveux.,Il me touche les cheveux avec tout son gémissement.,,,נכנסת לשיער שלי,הוא נכנס לשיער שלי.,הוא נכנס לשיער שלי עם כל ההצרות שלו.,,,入我的头发,他正在入我的头发.,他着我的头发.,,,kí n lè wọ irun mi,Ó ń wọ irun mi,Ó ń fi gbogbo ìrọ̀rùn rẹ̀ wọ irun mi.,,
getting in my hair,He's getting in my hair,He's getting in my hair by running his fingers through it.,1,"Here, ""getting in my hair"" means to physically touch someone's hair.",2,1,내 머리 속으로 들어가,내 머리 속으로 들어가고 있어,내 머리 속을 손가락으로 뚫고 들어갑니다.,1,1,,Je me suis fait piquer les cheveux.,Il me touche les cheveux.,Il me touche les cheveux en me traînant les doigts.,,,נכנסת לשיער שלי,הוא נכנס לשיער שלי.,הוא נכנס לשיער שלי על ידי לזרוק את האצבעות שלו דרך זה.,,,入我的头发,他正在入我的头发.,他通过透我的头发来入我的头发.,,,kí n lè wọ irun mi,Ó ń wọ irun mi,Ó ń fi ẹ̀pá rẹ̀ wọ irun mi.,,
joined at the hip,We've been joined at the hip,"We've been joined at the hip since we met, always doing things together.",0,"Here, ""joined at the hip"" means to be very close and inseparable.",2,0,허리에 붙여,우리는 허벅지에 합류했습니다,우린 처음 만난 이후로 함께 일하고 있어요,1,0,"""joined at the hip"" was correctly interpreted as ""having an inseparably important relationship"".",jointe à la hanche,On s'est joints à la hanche,"On s'est unis depuis notre rencontre, on fait toujours des choses ensemble.",,,מחוברת במפרק הירך,אנחנו הצטרפו למאגן,"אנחנו כבר הצטרפו על הירך מאז שנפגשנו, תמיד עושים דברים ביחד.",,,部的部,我们已经被关节结合了,"我们认识以来一直都在着,一直在一起做事情.",,,tí a fi ara wọn sípò,A ti di ara wa ni ẹ̀yìn,"A ti wà ní ìhà ẹ̀yìn láti ìgbà tá a ti pàdé, a máa ń ṣe nǹkan pa pọ̀.",,
joined at the hip,We've been joined at the hip,"We've been joined at the hip since the surgery, literally connected by a piece of skin.",1,"Here, ""joined at the hip"" means to be physically connected.",2,1,허리에 붙여,우리는 허벅지에 합류했습니다,수술 후 우리 엉덩이 다 접혀있어요. 말 그대로 피부 조각으로 연결됐어요.,1,1,,jointe à la hanche,On s'est joints à la hanche,"Nous sommes reliés à la hanche depuis la chirurgie, littéralement reliés par un morceau de peau.",,,מחוברת במפרק הירך,אנחנו הצטרפו למאגן,"אנחנו מחוברים יחד מאז הניתוח, ממש מחוברים על ידי חתיכת עור.",,,部的部,我们已经被关节结合了,"经过手术后,我们一直紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧紧",,,tí a fi ara wọn sípò,A ti di ara wa ni ẹ̀yìn,"Látìgbà iṣẹ́ abẹ yìí ni a ti ń bára wa ṣọ̀kan, a sì ń fi awọ ara kan so ara wa pọ̀.",,
ready to drop,I'm ready to drop,I'm ready to drop from exhaustion after working all day.,0,"Here, ""ready to drop"" means to be extremely tired.",2,0,떨어질 준비가 되어 있습니다,내버려두는 준비가 돼 있어,하루 종일 일한 후 피곤한 상태에서 벗어나기 위해 준비됐어요.,2,0,,prêt à tomber,Je suis prêt à tomber.,Je suis prêt à tomber de l'épuisement après avoir travaillé toute la journée.,,,מוכנים להפיל,אני מוכן לרדת.,אני מוכן לרדת מהכשל אחרי שעבדתי כל היום.,,,准备下降,我准备下降,"我准备好在整天工作后,摆脱疲劳.",,,múra láti já,Mo ti ṣetan lati fi silẹ,Mo ti múra tán láti jáwọ́ nínú ìdààmú tó ń bá mi lẹ́yìn tí mo ti ṣiṣẹ́ látìgbàdégbà.,,
ready to drop,I'm ready to drop,I'm ready to drop this heavy box on the ground.,1,"Here, ""ready to drop"" means to be prepared to let go of something.",2,1,떨어질 준비가 되어 있습니다,내버려두는 준비가 돼 있어,이 무거운 상자를 땅에 던져버릴 준비가 돼 있어요,2,1,,prêt à tomber,Je suis prêt à tomber.,Je suis prêt à jeter cette boîte lourde au sol.,,,מוכנים להפיל,אני מוכן לרדת.,אני מוכן להוריד את הקופסה הכבדה הזאת על הקרקע.,,,准备下降,我准备下降,我准备好把这盒子扔在地上.,,,múra láti já,Mo ti ṣetan lati fi silẹ,Mo múra tán láti fi àpótí tó wúwo yìí sílẹ̀.,,
lump in my throat,I had a lump in my throat,I had a lump in my throat when I heard the news of my grandmother's passing.,0,"Here, ""lump in my throat"" means to have a feeling of sadness or grief.",2,0,목에 덩어리,목에 덩어리가 있었다,할머니가 돌아가신 소식을 듣고 목에 덩어리가 어요,1,1,,Une grosse boucle dans ma gorge,J'avais une bosse dans la gorge.,J'avais une bosse dans la gorge quand j'ai entendu la nouvelle du décès de ma grand-mère.,,,חבט בגרון שלי,היה לי חצבת בגרון.,היה לי חצבת גרון כששמעתי את החדשות על מות סבתא שלי.,,,子在我的喉里,我喉里有个块,"我听到祖母去世的消息时,我喉了一块.",,,àpò kan wà nínú ọ̀fun mi,Mo ní ìyókù kan nínú ọ̀rùn mi,Ọ̀pọ̀ nǹkan ló ń bà mí nínú ọrùn nígbà tí mo gbọ́ pé ìyá mi ti kú.,,
lump in my throat,I had a lump in my throat,I had a lump in my throat because I had swallowed a piece of food wrong.,1,"Here, ""lump in my throat"" means to have a physical lump in the throat caused by a foreign object.",2,1,목에 덩어리,목에 덩어리가 있었다,난 엉덩이가 어있었어 내가 잘못 먹은 음식이 있어서,1,1,,Une grosse boucle dans ma gorge,J'avais une bosse dans la gorge.,J'avais une bosse dans la gorge parce que j'avais mal avalé un morceau de nourriture.,,,חבט בגרון שלי,היה לי חצבת בגרון.,היה לי חצבת בגרון כי אכלתי חתיכת אוכל לא נכון.,,,子在我的喉里,我喉里有个块,"我喉了,因为我了错误的食物.",,,àpò kan wà nínú ọ̀fun mi,Mo ní ìyókù kan nínú ọ̀rùn mi,"Oúnjẹ kan tí mo jẹ kò tọ́ sí mi, ó sì fa ìdọ̀tí kan tó ń mú kí ara mi wú.",,
written all over face,It was written all over his face,It was written all over his face that he was disappointed with the results.,0,"Here, ""written all over face"" means to be clearly visible.",2,0,얼굴에 쓰여진 글,얼굴에 쓰여있었어,그의 얼굴에 모든 것이 그 결과에 실망했다는 것이 적혀 있었다.,2,0,"""written all over face"" is an existing idiom in the Korean language.",écrit sur tout le visage,Il avait écrit tout sur son visage.,Il avait écrit sur son visage qu'il était déçu par les résultats.,,,כתוב על כל הפנים,זה היה כתוב על כל הפנים שלו.,היה כתוב על פניו שהוא מאוכזב מהתוצאות.,,,面上写着,他脸上写着,"他脸上写着,他对结果感到失望.",,,a kọ ọ́ sórí gbogbo ojú,Ó wà ní gbogbo ojú rẹ̀,Ó kọ ọ́ lẹ́nu pé inú rẹ̀ kò dùn sí ohun tó ṣẹlẹ̀.,,
