,idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt,p_l_he_gpt,p_a_hi_gpt,p_f_hi_gpt,p_l_hi_gpt,p_a_hu_gpt,p_f_hu_gpt,p_l_hu_gpt,p_a_ko_gpt,p_f_ko_gpt,p_l_ko_gpt,p_a_es_gpt,p_f_es_gpt,p_l_es_gpt,p_a_yo_gpt,p_f_yo_gpt,p_l_yo_gpt,p_a_zh_gpt,p_f_zh_gpt,p_l_zh_gpt
436,take a back seat,take a less important position.,"[[He took a back seat to her]] in the project, letting her lead the team","[[He took a back seat to her]] in the car, giving her the front passenger seat","He took a back seat to her in the project, letting her lead the team","He took a back seat to her in the car, giving her the front passenger seat",He took a back seat to her,Er trat ihr gegenüber in den Hintergrund.,Er nahm im Projekt eine untergeordnete Rolle ein und ließ sie das Team führen.,Er nahm auf dem Rücksitz des Autos Platz und gab ihr den Beifahrersitz.,הוא נכנע לה.,הוא נכנע לה ונתן לה להוביל את הצוות בפרויקט.,"הוא ישב במושב האחורי ברכב, נותן לה את מושב הנוסע הקדמי.",उसने उसके सामने पीछे की सीट ली।,"उसने परियोजना में उसकी पीछे बैठ ली, उसे टीम का नेतृत्व करने देते हुए।",उसने कार में उसकी पीछे की सीट पर बैठ लिया और उसे फ्रंट पैसेंजर सीट दी।,Ő háttérbe szorult mellette.,"Ő háttérbe vonult a projektben, és hagyta, hogy ő vezesse a csapatot.","Ő hátrébb ült az autóban, és az első utasülést adta neki.",그는 그녀에게 뒷자리를 양보했다.,"그는 프로젝트에서 그녀에게 뒷자리를 양보하며, 그녀가 팀을 이끄도록 허락했다.",그는 차에서 그녀에게 후미 좌석을 양보하여 운전석을 주었다.,Él se quedó en segundo plano en comparación con ella.,"Él se quedó en segundo plano en el proyecto, dejándola liderar al equipo.","Él se sentó en el asiento trasero del coche, dándole el asiento delantero del pasajero.",O ti gbe ojú ọrun lọ si ẹ.,"O ti gbe ojú ọjọ kan si ẹ̀ nípa iṣẹ́, o fi ara ẹ̀ sọ̀rọ̀ lórí àwọn ènìyàn.","O wò ẹ̀wù ẹ̀ lọ́wọ́ rẹ̀ ní ìgbò, ó sì gbé ìlú ìwé àgbà láti òkè ìwé àgbà.",他在她面前退居二线。,他在项目中退居二线，让她领导团队。,他在车里坐在后排，把前排的副驾驶座位让给了她。
437,take a beating,to be defeated in doing something and be reprimanded for the same,The company's stock prices [[took a beating]] after the negative news,The old punching bag [[took a beating]] during the intense workout session,The company's stock prices took a beating after the negative news,The old punching bag took a beating during the intense workout session,took a beating,wurde verprügelt,Die Aktienkurse des Unternehmens erlitten nach den negativen Nachrichten einen Rückschlag.,Die alte Boxsack hat während der intensiven Trainingseinheit einiges einstecken müssen.,נכה,מחירי המניות של החברה נפלו כתוצאה מהחדשות השליליות.,השק תרסיס הישן ספג מכות במהלך האימון האינטנסיבי.,पीट खाया,कंपनी के स्टॉक मूल्यों को नकारात्मक समाचार के बाद मारा गया।,पुराना पंचिंग बैग एक तीव्र वर्कआउट सत्र के दौरान मार खाया।,megverték,A cég részvényárai megsínylették a negatív hírek után.,Az öreg bokszzsák nagyon megviselted a kemény edzés során.,때려쳤다.,그 회사의 주가는 부정적인 뉴스 이후에 큰 타격을 입었습니다.,강도 높은 운동 세션 동안 오래된 펀치백은 많이 타격을 입었다.,recibió una paliza,Los precios de las acciones de la empresa sufrieron una caída después de las noticias negativas.,El viejo saco de boxeo recibió una paliza durante la intensa sesión de entrenamiento.,O ti pa mi.,Iṣẹ́ ojúewé ẹ̀rọ ayélujára ti jẹ́ àgbàlagbàlógá nítorí àkọ́kọ́ àìtọ́kè tí wọ́n rí.,Ilu alawọ bọọlu ti ṣe igbeyawo lori ẹjọ iṣẹ ti o dara ju.,挨了一顿打,公司的股票价格在负面消息后遭受重创。,这个旧沙袋在激烈的训练中受到了猛烈的打击。
438,take a cue from,to do what is recommended by someone else,You should [[take a cue from her]] and start organizing your time better,"During the pool game, he decided to [[take a cue from her]] and use her favorite one",You should take a cue from her and start organizing your time better,"During the pool game, he decided to take a cue from her and use her favorite one",take a cue from her,Nimm dir ein Beispiel an ihr.,"Du solltest ein Beispiel von ihr nehmen und anfangen, deine Zeit besser zu organisieren.","Während des Poolspiels entschied er sich, einen Hinweis von ihr zu nehmen und ihren Lieblingshinweis zu benutzen.",קח רמז ממנה,אתה צריך לקחת רמז ממנה ולהתחיל לארגן את הזמן שלך בצורה טובה יותר.,"במהלך המשחק בבריכה, הוא החליט לקחת חץ ממנה ולהשתמש באחד המועדפים עליה.",उससे प्रेरणा लो।,आपको उससे प्रेरणा लेनी चाहिए और अपने समय को बेहतर ढंग से आयोजित करना शुरू करना चाहिए।,"पूल गेम के दौरान, उसने उससे प्रेरणा लेकर उसका पसंदीदा क्यू उपयोग करने का फैसला किया।",Vegyél tőle egy példát.,Nézd el tőle és kezd el jobban szervezni az idődet.,"A medence játék során úgy döntött, követi a példáját és használja a kedvencét.",그녀를 보고 배우세요.,당신은 그녀를 보고 시간을 더 잘 조직하는 것이 좋습니다.,수영장 게임 중에 그는 그녀의 축구채를 빌려 사용하기로 결정했다.,Toma una pista de ella.,Deberías tomar una pista de ella y empezar a organizar mejor tu tiempo.,"Durante el juego de billar, decidió tomar una señal de ella y usar su favorita.",wa ni ipa re.,O nilo lati gba iyepe siwaju rẹ ati bẹrẹ irinṣẹ rẹ niwaju.,"Lati odo awọn odo, o wa ni irinṣẹ fun ṣe oju-iwọn rẹ ati lo fun irinṣẹ ti o nife.",向她学习。,你应该向她学习，开始更好地组织你的时间。,在游泳池游戏期间，他决定向她学习并使用她最喜欢的球杆。
439,take a hike,go away,"When he insulted her, she told him [[to take a hike]]","On a sunny day, they decided [[to take a hike]] in the nearby forest","When he insulted her, she told him to take a hike","On a sunny day, they decided to take a hike in the nearby forest",to take a hike,einen Spaziergang machen,"Als er sie beleidigte, sagte sie ihm, er solle verschwinden.","An einem sonnigen Tag beschlossen sie, eine Wanderung im nahegelegenen Wald zu machen.",ללכת לטיול ברגל,"כשהוא העליב אותה, היא אמרה לו ללכת לטייל.",ביום שמשי הם החליטו לצאת לטיול ביער הקרוב.,एक पैदल चलना लेना,"जब उसने उसे अपमानित किया, तब उसने उसे दूर जाने को कहा।","एक धूपवाले दिन पर, वे निकटवर्ती जंगल में हाइकिंग करने का फैसला लिया।",elmenni túrázni,"Amikor megsértette őt, azt mondta neki, hogy menjen a fenébe.","Egy napos napon úgy döntöttek, hogy kirándulni mennek a közeli erdőbe.",산책하러 가다.,"그가 그녀를 모욕했을 때, 그녀는 그에게 산책을 가라고 말했다.",화창한 날에 그들은 근처 숲에서 하이킹을 가기로 결정했다.,irse de excursión,"Cuando la insultó, ella le dijo que se largara.","En un día soleado, decidieron hacer una caminata en el bosque cercano.",ni ipa o!,"Nigbati o fi ipele re sile, o so fun o pe o lọ sọrọ.","Ni ọjọ ti o dun, wọn qu si lọ si igbo kẹta ti o wa ni ilẹ-iṣẹ rẹ.",去远足,当他侮辱她时，她告诉他滚开。,在一个阳光明媚的日子里，他们决定去附近的森林远足。
440,take a leaf out of someone's book,implement actionable advice,"To improve my work ethic, I decided to [[take a leaf out of her book]] and wake up early","To press and preserve the leaf, I had to carefully [[take a leaf out of her book]] of botanical specimens","To improve my work ethic, I decided to take a leaf out of her book and wake up early","To press and preserve the leaf, I had to carefully take a leaf out of her book of botanical specimens",take a leaf out of her book,Nimm dir ein Beispiel an ihr.,"Um meine Arbeitsmoral zu verbessern, beschloss ich, eine Seite aus ihrem Buch zu nehmen und früh aufzustehen.","Um das Blatt zu pressen und zu konservieren, musste ich sorgfältig ein Blatt aus ihrem Buch mit botanischen Proben entnehmen.",קח עמך עלה מהספר שלה,"כדי לשפר את האתיקה של עבודתי, החלטתי לקחת דף מהספר שלה ולהתעורר מוקדם.","כדי ללחוץ ולשמור את העלה, הייתי צריך לקחת בזהירות עלה מספר הדגמים הבוטניים שלה.",उसकी किताब से पत्ता निकालो।,"मेरी काम की नैतिकता को बेहतर बनाने के लिए, मैंने उसकी तरह से प्रेरित होकर सुबह जल्दी उठने का फैसला किया।","पत्ती को दबाने और संरक्षित करने के लिए, मुझे उसकी वनस्पति नमूनों की किताब से एक पत्ती को सावधानीपूर्वक निकालना पड़ा।",Vegyél példát belőle.,"Azért, hogy javítsam a munkamorálomat, úgy döntöttem, hogy átveszek tőle egy trükköt, és korán kelek.","Azért, hogy megnyomjam és megőrizzem a levelet, óvatosan ki kellett vennem egy levelet a növénytani mintagyűjteményének könyvéből.",그녀의 책에서 한 장을 떼어내다.,"나의 직업 윤리를 개선하기 위해, 그녀의 방법을 따라 일찍 일어나기로 결정했다.","잎을 눌러 보존하기 위해, 나는 식물 샘플 북에서 조심스럽게 잎을 꺼내야 했다.",Toma ejemplo de ella.,"Para mejorar mi ética de trabajo, decidí tomar un ejemplo de ella y despertar temprano.","Para presionar y preservar la hoja, tuve que sacar cuidadosamente una hoja de su libro de especímenes botánicos.",Jẹ ki o kọ ọkan sọna lati ọwọ rẹ.,"Fun awọn ọrọ miiran lati ṣe iṣẹ mi, mo wa ni ipa ti o ati jẹ ki mo jẹ aláìníjọpọ̀n ati jẹ aláìníjọpọ̀n.",Fun ni mo mu ilẹ̣ kan lọ lati gbe ati mu ilẹ̣.,学习她的做法,为了改善我的职业道德，我决定效仿她，早起。,为了压制和保存这片叶子，我不得不小心地从她的植物标本书中取出一片叶子。
441,take it on the chin,this is a boxing metaphor meaning don't shy away from difficulty,"Despite the harsh criticism, [[he took it on the chin]] and kept working","During the boxing match, [[he took it on the chin]] and fell to the ground","Despite the harsh criticism, he took it on the chin and kept working","During the boxing match, he took it on the chin and fell to the ground",he took it on the chin,Er hat es hingenommen.,Trotz der harten Kritik hat er es hingenommen und weitergearbeitet.,Während des Boxkampfes hat er es hingenommen und ist auf den Boden gefallen.,הוא ספג את זה על הסנטר,"למרות הביקורת הקשה, הוא קיבל את זה על הסנטים והמשיך לעבוד.","במהלך המשחק בכדורגל, הוא ספג מכה חזקה ונפל לקרקע.",उसने इसे सहना पड़ा,"बड़ी आलोचना के बावजूद, उसने इसे सहने का फैसला किया और काम जारी रखा।","बॉक्सिंग मैच के दौरान, उसने इसे बर्दाश्त किया और जमीन पर गिर गया।",Elvette a fejére.,"Annak ellenére, hogy keményen kritizálták, elfogadta és folytatta a munkát.",A bokszmeccs alatt bevállalta és leesett a földre.,그는 그것을 참았다.,그에게 가혹한 비판이 있었지만 그는 그것을 이겨내고 계속 일했다.,복싱 경기 중 그는 턱을 맞고 땅에 쓰러졌다.,Lo tomó con resignación.,"A pesar de las duras críticas, lo tomó con calma y siguió trabajando.","Durante la pelea de boxeo, lo recibió en la barbilla y cayó al suelo.",O ti gbe e lori awọn ẹnu.,"Nitoripe awon ohun elo ni o ti gba o, o wa ni ibi ti o ti gbe ni o si nse.","Ni iranlọwọ ọbọọdọ, o gba ọrọ kan ni ẹ̀rín àti pada si ilẹ.",他默默承受了。,尽管受到严厉的批评，他仍然坚持下去。,在拳击比赛中，他承受了打击，摔倒在地。
442,take up the cudgels,argue strongly in support or against somebody or something,[[He took up the cudgels for her]] when she was unfairly criticized,"During the historical reenactment, [[he took up the cudgels for her]] when she dropped hers",He took up the cudgels for her when she was unfairly criticized,"During the historical reenactment, he took up the cudgels for her when she dropped hers",He took up the cudgels for her,Er hat sich für sie eingesetzt.,"Er hat sich für sie eingesetzt, als sie unfair kritisiert wurde.","Während der historischen Nachstellung nahm er für sie die Keule auf, als sie ihre fallen ließ.",הוא תמך בה.,הוא תמך בה כשהיא נבזתה בצורה לא הוגנת.,"במהלך החזרת היסטורית, הוא תמך בה כשהיא הפילה את שלה.",उसने उसके लिए लड़ाई शुरू की।,"जब उस पर अनुचित आलोचना की गई थी, तब उसने उसके लिए लड़ाई शुरू की।","ऐतिहासिक पुनरावृत्ति के दौरान, जब वह अपनी लाठी गिरा दी तो उसके लिए उसने लाठी उठाई।",Ő pártfogásába vette őt.,"A pártjára állt, amikor igazságtalanul kritizálták.","A történelmi újrajátszás során, amikor ő elejtette a saját fegyverét, ő átvette a helyét.",그는 그녀를 위해 맹렬히 분발했다.,그는 그녀가 불공정하게 비판당할 때 그녀를 지지했다.,역사 재현 중에 그는 그녀가 그녀의 막대기를 떨어뜨렸을 때 그녀를 대신하여 막대기를 들었다.,Él tomó su defensa.,Él tomó la defensa de ella cuando fue criticada injustamente.,"Durante la recreación histórica, él tomó las armas por ella cuando ella dejó las suyas.",O ti gbe ileke fun ọ.,O ti gba ija fun o ni o ti ri ipelepele ni o ba aye soro yii.,"Ni ibeere itanilẹ, o wa ni ibeere kan fun ọna rẹ nigbati o ba jẹ ọna rẹ.",他为她辩护。,当她受到不公正的批评时，他为她辩护。,在历史再现活动中，当她掉了棍子时，他替她拿起了棍子。
443,take with a grain of salt,to understand that something is not completely true or right,"When listening to his stories, it's best [[to take it with a grain of salt]]","To balance the flavor, she decided [[to take it with a grain of salt]] and sprinkled it on her dish","When listening to his stories, it's best to take it with a grain of salt","To balance the flavor, she decided to take it with a grain of salt and sprinkled it on her dish",to take it with a grain of salt,Es mit einer Prise Salz nehmen.,"Wenn man seinen Geschichten zuhört, ist es am besten, es mit einer Prise Salz zu nehmen.","Um den Geschmack auszugleichen, entschied sie sich, es mit einer Prise Salz zu nehmen und auf ihr Gericht zu streuen.",לקחת את זה עם גריגרת מלח,"כשאתה מקשיב לסיפוריו, הכי טוב לקחת אותם עם גריגר של מלח.","כדי לאזן את הטעם, היא החליטה לקחת את זה עם גריגרות מלח וזרקה על המנה שלה.",नमक के साथ लेना।,"उसकी कहानियों को सुनते समय, इसे नामकीन के साथ लेना सबसे अच्छा है।","फ्लेवर को संतुलित करने के लिए, उसने इसे नमक के साथ लेने का फैसला किया और अपनी डिश पर छिड़क दी।",egy csipetnyi sóval kell venni,"Amikor az ő történeteit hallgatjuk, a legjobb, ha sóval együtt vesszük.","Az íz kiegyensúlyozása érdekében úgy döntött, hogy sóval ízesíti és megszórja az ételét.",약간의 불신으로 받아들이다.,그의 이야기를 들을 때는 소금 한 알 정도로 받아들이는 것이 좋다.,맛을 균형있게 맞추기 위해 그녀는 그것을 조금 의심스러워하며 요리에 뿌렸다.,Tomarlo con un grano de sal.,"Cuando escuches sus historias, es mejor tomarlas con un grano de sal.","Para equilibrar el sabor, decidió tomarlo con una pizca de sal y lo espolvoreó sobre su plato.",ni igba kan ni o wa ni.,"Nitorinaa ti o ba n gbo awon ise re, o ni oju kan soso.",Fun ni lati gba itọju ti o ṣe ni ọkan pẹlu iyọnu kan ati ṣiṣẹ rẹ pada lori ẹran rẹ.,带着一颗盐粒去理解,听他的故事时最好保持怀疑态度。,为了平衡口味，她决定加点盐撒在她的菜上。
444,takes two to tango,certain actions or activities cannot be performed alone - they  need two people to participate,"When it comes to resolving conflicts, remember that [[it takes two to tango]]","In a dance competition, the judges reminded the participants that [[it takes two to tango]]","When it comes to resolving conflicts, remember that it takes two to tango","In a dance competition, the judges reminded the participants that it takes two to tango",it takes two to tango,"Es braucht zwei, um Tango zu tanzen.","Wenn es darum geht, Konflikte zu lösen, denken Sie daran, dass dazu zwei gehören.","In einem Tanzwettbewerb erinnerten die Richter die Teilnehmer daran, dass es zwei braucht, um Tango zu tanzen.",צריך שניים כדי לרקוד טנגו,"כשמדובר בפתרון סכסוכים, זכור שצריך שניים כדי לרקוד טנגו.","בתחרות ריקודים, השופטים תזכירו למשתתפים שצריך שניים כדי לרקוד טנגו.",टैंगो नृत्य करने के लिए दो लोग चाहिए होते हैं।,"जब विवादों को हल करने की बात आती है, तो याद रखें कि इसमें दोनों की भागीदारी होती है।","एक नृत्य प्रतियोगिता में, न्यायाधीशों ने प्रतिभागियों को याद दिलाया कि टैंगो करने के लिए दो लोगों की आवश्यकता होती है।","Kell kettő ahhoz, hogy tangózzanak.","Amikor konfliktusokat kell megoldani, emlékezz arra, hogy két emberre van szükség ahhoz, hogy táncoljanak.","Egy táncversenyen a bírák emlékeztették a résztvevőket arra, hogy a tangóhoz két ember kell.",둘이 춤을 추어야 한다.,갈등을 해결할 때는 두 사람이 필요하다는 것을 기억하세요.,춤 경연대회에서 심사위원들은 참가자들에게 탱고는 두 사람이 함께해야 한다는 것을 상기시켰다.,Se necesitan dos para bailar tango.,"Cuando se trata de resolver conflictos, recuerda que se necesitan dos para bailar tango.","En una competencia de baile, los jueces recordaron a los participantes que se necesitan dos para bailar tango.",Oju kan ko gbodo tọ.,"Nitoripe oju ija ni, jeki gbojomi pe oju meji ni won ni.","Ni orile-ede awọn oniruuru, awọn oniruuru ti fi sọ pe o nilo awọn ọmọde ti o ni ojojumo lati ṣe adunni.",需要两个人才能跳探戈。,解决冲突时，请记住需要两个人共同努力。,在舞蹈比赛中，评委提醒参赛者，跳探戈需要两个人。
445,tall poppy,a privileged or distinguished person.,"She was [[a tall poppy among them]], always standing out with her exceptional achievements","In the field of wildflowers, there was [[a tall poppy among them]], reaching higher than the rest","She was a tall poppy among them, always standing out with her exceptional achievements","In the field of wildflowers, there was a tall poppy among them, reaching higher than the rest",a tall poppy among them,eine hohe Mohnblume unter ihnen,"Sie war unter ihnen eine hohe Mohnblume, die immer mit ihren außergewöhnlichen Leistungen herausragte.","Im Feld der Wildblumen gab es eine hohe Mohnblume unter ihnen, die höher als der Rest ragte.",פרח גבוה בקרבם,"היא הייתה פרח גבוה בקרבם, תמיד דוגלת בהישגיה המצוינים.","בשדה של פרחי בר, היה פרג גבוה בקרבם, מגיע גבוה יותר מכולם.",उनमें से एक लंबी पौधी है।,"वह उनमें एक लंबी पौधी थी, हमेशा अपनी असाधारण उपलब्धियों के साथ उभरती रहती थी।","जंगली फूलों के मैदान में उनमें से एक लंबी पोपी थी, जो बाकी से ज्यादा ऊंची थी।",magas mákszem közöttük,"Ő magas mákszem volt közöttük, mindig kiemelkedett kivételes teljesítményeivel.","A vadon virágmezőjén közöttük volt egy magas mák, amely magasabbra nyúlt, mint a többi.",그들 중에서 큰 꽃중 하나.,"그녀는 그들 중에서 키가 큰 꽃이었으며, 항상 탁월한 성취로 눈에 띄었습니다.","야생화 밭에서, 그들 중 하나의 큰 양귀비가 나머지보다 더 높이 자라고 있었다.",una amapola alta entre ellos,"Ella era una flor alta entre ellos, siempre destacándose con sus logros excepcionales.","En el campo de flores silvestres, había una amapola alta entre ellas, alcanzando más alto que el resto.",ọmọ buruku kan ni wọn ni o.,"O ti wa ni ọmọ pupa ti o dara julọ ni wọn, tẹlẹ lọ si wọn ni o ni iranlọwọ ti o dara.","Ni ilẹ̀ alágbèdẹ̀, ọ̀rẹ́ ẹranko tó tóbi wà nínú wọn, tí ó tún jẹ́ kò sí níbi tó wà níbẹ.",他们中的一朵高高的花。,她在他们中间是一朵高高的向日葵，总是因为她的杰出成就而脱颖而出。,在野花领域中，有一朵比其他花更高的高大罂粟花。
446,tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding,It's unfair to judge all politicians [[by tarring them with the same brush]],The painter made a mistake [[by tarring them with the same brush]] instead of using separate brushes for each color,It's unfair to judge all politicians by tarring them with the same brush,The painter made a mistake by tarring them with the same brush instead of using separate brushes for each color,by tarring them with the same brush,indem man sie über einen Kamm schert,"Es ist unfair, alle Politiker über einen Kamm zu scheren.","Der Maler hat einen Fehler gemacht, indem er sie mit demselben Pinsel teerte, anstatt separate Pinsel für jede Farbe zu verwenden.",באמצעות ציורם במברשת אחת,זה לא הוגן לשפוט את כל הפוליטיקאים על פי אותם מדבקות.,הצייר טעה כשהשתמש במברשת אחת לצביעת כל הצבעים במקום להשתמש במברשות נפרדות לכל צבע.,उन्हें एक ही ब्रश से तार देकर,सभी राजनेताओं को एक ही तरह से तार लगाकर निर्णय लेना अनुचित है।,चित्रकार ने उन्हें एक ही ब्रश का उपयोग करके अलग-अलग रंगों के लिए अलग-अलग ब्रश का उपयोग करने की बजाय एक ही ब्रश से गलती कर दी।,azonosítva őket ugyanazzal a festékkel,Nem igazságos az összes politikust ugyanazzal a kefével festeni.,"A festő hibát követett el, amikor ugyanazzal a kefével festette őket, ahelyett hogy külön ecsetet használt volna minden színhez.",같은 브러시로 모두를 더럽히는 것으로,모든 정치인을 같은 브러시로 칠하는 것은 불공평합니다.,화가는 각 색상에 대해 별도의 붓을 사용하는 대신 동일한 붓으로 모두를 칠하면서 실수를 했다.,tachándolos a todos con la misma brocha,Es injusto juzgar a todos los políticos por igual.,El pintor cometió un error al usar el mismo pincel en lugar de usar pinceles separados para cada color.,pe awọn eniyan ni won fi ṣe afẹfẹ fun wọn ni okele.,Ko si ohun tó tóbi ju ti wa ni lati fi ọlọpọ́n gbogbo ni idẹ ti a fi sọ wọn.,Olu-ọba naa ti ṣe ẹrọ lọwọ wọn nitori o fi ọwọ kan ṣiṣẹ fun gbogbo awọn pupọ.,用同样的方式污名化他们,把所有政治家都一棍子打死是不公平的。,画家犯了一个错误，他用同一把刷子涂抹而不是为每种颜色使用单独的刷子。
447,taste of own medicine,when someone gets the same bad treatment that he has been giving others,"When he tried to prank her, [[she gave him a taste of his own medicine]] by pranking him back",[[She gave him a taste of his own medicine]] by making him try the bitter concoction he had prepared for her,"When he tried to prank her, she gave him a taste of his own medicine by pranking him back",She gave him a taste of his own medicine by making him try the bitter concoction he had prepared for her,she gave him a taste of his own medicine,Sie gab ihm eine Dosis seiner eigenen Medizin.,"Als er versuchte, sie hereinzulegen, gab sie ihm eine Kostprobe seiner eigenen Medizin, indem sie ihn zurück hereinlegte.","Sie gab ihm eine Kostprobe seiner eigenen Medizin, indem sie ihn die bittere Mischung probieren ließ, die er für sie zubereitet hatte.",היא נתנה לו טעם מהרפואה שלו.,"כשניסה לעשות לה רמאות, היא נתנה לו טעם מהרפואה שלו על ידי עשיית רמאות חזרה לו.",היא נתנה לו טעם מהרפואה שלו על ידי כך שהורידה אותו לנסות את התערובת המרה שהוא הכין עבורה.,उसने उसे उसकी खुद की दवा दी।,"जब उसने उसे प्रैंक करने की कोशिश की, तब वह उसे वापस प्रैंक करके उसका चटपटा चश्मा दिखाया।",उसने उसे उसकी खुद की दवा का स्वाद चखाकर उसे उसके लिए तैयार की गई कड़वी मिश्रण को आजमाने के द्वारा उसे उसकी दवा का स्वाद चखाया।,Ő adott neki egy ízelítőt a saját gyógyszeréből.,"Amikor megpróbálta becsapni őt, ő visszabecsapta ugyanazzal a trükkel.","Ő adott neki egy adagot a saját gyógyszeréből azzal, hogy megkérte, hogy kóstolja meg a keserű keveréket, amit ő készített neki.",그녀는 그에게 그의 행동대로 대우해 보여 주었다.,"그가 그녀를 장난치려고 시도했을 때, 그녀는 그에게 다시 장난치는 것으로 그에게 그의 맛을 보였다.",그녀는 그가 그녀를 위해 준비한 쓴 혼합물을 시키며 그에게 그의 자신의 약을 맛보게 했다.,Ella le dio una probada de su propia medicina.,"Cuando intentó hacerle una broma, ella le dio una dosis de su propia medicina al hacerle una broma de vuelta.",Ella le dio una probada de su propia medicina haciéndolo probar la amarga mezcla que él había preparado para ella.,O ti fẹ́ si jẹ́ ọlọ́run ọ̀rọ̀.,"Nitoripe o ba f'esele fun o, o si tun f'esele fun ni ojojumo kan.",O ti fẹ́ràn ṣe àrùn tí ó ti ṣe fun ọ lọ́jọ́ kan nípa ìtọ́jú ìbíkúnlẹ̀ tí ó ti ṣe fun rẹ.,她让他尝尝自己的药。,当他试图恶作剧她时，她以其人之道还治其人之身，恶作剧回他。,她让他尝尝他为她准备的苦味混合物，以报复他。
448,tearing a strip off,to reprimand someone severely for doing something wrong,The boss [[was tearing a strip off the fabric]] of our team's morale with his harsh criticism,She [[was tearing a strip off the fabric]] to make a patch for her jeans,The boss was tearing a strip off the fabric of our team's morale with his harsh criticism,She was tearing a strip off the fabric to make a patch for her jeans,was tearing a strip off the fabric,Ich riss einen Streifen vom Stoff ab.,Der Chef zerriss mit seiner harten Kritik ein Stück des Stoffes unserer Team-Moral.,"Sie riss ein Stück Stoff ab, um einen Flicken für ihre Jeans zu machen.",קורע רצועה מהבד,המנהל היה קורע רצועה מהבד של מורל הצוות שלנו עם הביקורת הקשה שלו.,היא קורעת רצועה מהבד כדי לעשות תיקון לג'ינסיה.,कपड़े का एक टुकड़ा फाड़ रहा था।,बॉस ने कड़ी आलोचना के जरिए हमारी टीम की मोराल के टुकड़े चीर दिए थे।,वह अपनी जींस के लिए पैच बनाने के लिए कपड़े का टुकड़ा फाड़ रही थी।,szaggatta a szövetet egy csíkra,Az igazgató kemény kritikájával széttépte a csapatunk morálját.,"Ő szaggatta le a szövetdarabot, hogy javítólapot készítsen a farmerjához.",그 옷감에서 한 줄기를 찢어내고 있었다.,상사는 가혹한 비판으로 우리 팀의 사기를 깎아내리고 있었다.,그녀는 청바지에 패치를 만들기 위해 천을 한 줄기 찢고 있었다.,estaba rasgando una tira de la tela,El jefe estaba destrozando un pedazo de la moral de nuestro equipo con sus críticas duras.,Ella estaba rasgando una tira de tela para hacer un parche para sus jeans.,O ti gbe ẹ̀rù lọ sọra.,Oga ti nṣe ẹrọ lori aṣayan morale wa pẹlu iṣẹlẹ rirọ rẹ.,O ti gbe oju ewe lati fi oju kan sile fun awọn jins rẹ.,撕下了布料的一条边。,老板用他的严厉批评撕裂了我们团队士气的一部分。,她正在撕一条布条来修补她的牛仔裤。
449,that's going too far,to do something that is considered extreme or unacceptable,Insulting her family was [[that's going too far]] and crossed the line,"Driving 200 miles for a cup of coffee, [[that's going too far]] for a simple pleasure",Insulting her family was that's going too far and crossed the line,"Driving 200 miles for a cup of coffee, that's going too far for a simple pleasure",that's going too far,Das geht zu weit.,Ihre Familie zu beleidigen ging zu weit und hat die Grenze überschritten.,"200 Meilen für eine Tasse Kaffee zu fahren, das geht zu weit für ein einfaches Vergnügen.",זה הולך יותר מדי,הצעקה על משפחתה היא עבר את הגבול והלך יותר מדי.,"נהיגה של 200 מייל עבור כוס קפה, זה הולך יותר מדי עבור הנאה פשוטה.",वह बहुत आगे जा रहा है।,उसके परिवार का अपमान करना बहुत आगे जाना था और सीमा पार कर दी गई थी।,"एक कप कॉफी के लिए 200 मील चलना, एक साधारण आनंद के लिए बहुत दूर जाना है।",az túlmegy a határon,A családjának sértése az túlmegy a határon és átlépi azt.,"200 mérföld autózni egy csésze kávéért, az túlmegy egy egyszerű öröm határain.",그건 너무 과하다.,그녀의 가족을 모욕하는 것은 지나치고 선을 넘은 것이었다.,커피 한잔을 위해 200마일을 운전하는 것은 단순한 즐거움을 위해서는 너무 멀리 가는 것이다.,Eso va demasiado lejos.,Insultar a su familia fue demasiado lejos y cruzó la línea.,"Conducir 200 millas por una taza de café, eso es ir demasiado lejos por un placer simple.",O ti ṣe iru iṣẹ yii.,"Fi ẹyin ẹ̀kẹ́rẹ́ rẹ̀ lọ́wọ́ ẹ̀gbọ́n rẹ̀ ni kò ṣeé gbọ́, àti kò wúrà.","Iwe 200 ni mo n ṣe fun koko, ọrọ kan lẹ sọ fun ọkan rere.",那太过分了。,侮辱她的家人已经太过分了，越过了底线。,开车200英里去喝一杯咖啡，这对于一个简单的享受来说太过分了。
