idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_palm,p_f_de_palm,p_l_de_palm,p_a_he_palm,p_f_he_palm,p_l_he_palm,p_a_hi_palm,p_f_hi_palm,p_l_hi_palm,p_a_hu_palm,p_f_hu_palm,p_l_hu_palm,p_a_es_palm,p_f_es_palm,p_l_es_palm,p_a_yo_palm,p_f_yo_palm,p_l_yo_palm,p_a_zh_palm,p_f_zh_palm,p_l_zh_palm,p_a_ko_palm,p_f_ko_palm,p_l_ko_palm
stop by,to meet someone or go somewhere in a brief and informal manner,I'll [[stop by the store]] to pick up some groceries on my way home,"During our walk, we decided to [[stop by the store]] to take shelter from the sudden downpour",I'll stop by the store to pick up some groceries on my way home,"During our walk, we decided to stop by the store to take shelter from the sudden downpour",stop by the store,schau im Laden vorbei,Ich werde auf dem Weg nach Hause im Laden einkaufen,Während unseres Spaziergangs beschlossen wir im Laden vorbeizuschauen um uns vor dem plötzlichen Regenguss zu schützen,עצרו בחנות,אסע לסופר לקנות כמה מצרכים בדרך הביתה,תוך כדי ההליכה החלטנו לעצור בחנות כדי להסתתר מהגשם החזק שהתחיל פתאום,स्टोर पर रुकें,मैं घर जाते समय कुछ किराने का सामान लेने के लिए दुकान पर रुकूंगा,हमारी सैर के दौरान हमने अचानक हुई बारिश से बचने के लिए दुकान पर रुकने का फैसला किया,látogass el a boltba,Hazafelé beugrom a boltba hogy bevásároljak,Sétánk során úgy döntöttünk hogy betérünk a boltba hogy elbújunk a hirtelen lezúduló eső elől,Pase por la tienda,iré a la tienda a comprar algunas cosas de comestibles de camino a casa,Durante nuestro paseo decidimos parar en la tienda para refugiarnos de la repentina lluvia,dúró ní ọ̀jà,Mo ń ṣe ìdúró nílé ìtajà láti gba àwọn ọjà ìgbàgbọ́n ní ìgbà tí mo ń lọ sílé,Nígbà tí a ń rìn a pinnu láti dúró ní ọjà láti gbà ìbòjú nínú ìjì tí ó ṣe ní ìkùn-ún,到商店看看,我回家的路上会顺便去商店买些杂货,在散步的过程中，我们决定在商店停下来避避突然的倾盆大雨,쇼핑하러 가다,가는 길에 슈퍼에 들러서 식료품을 좀 사올게,걷는 도중 갑자기 쏟아지는 비를 피하기 위해 가게에 들렀다
stop the rot,"when you prevent a situation from deteriorating, especially in business or politics",The new manager [[stopped the rot]] by implementing better policies,The gardener [[stopped the rot]] by removing the infected plants,The new manager stopped the rot by implementing better policies,The gardener stopped the rot by removing the infected plants,stopped the rot,bremste den Verfall,Der neue Manager stoppte den Verfall indem er bessere Richtlinien umsetzte,Der Gärtner stoppte den Verfall indem er die infizierten Pflanzen entfernte,עצרו את התהליך הרקוב,המנהל החדש עצר את הרקבון על ידי יישום מדיניות טובה יותר,גנן עצר את הרקב על ידי הסרת הצמחים הנגועים,क्षय को रोका,नए प्रबंधक ने बेहतर नीतियों को लागू करके सड़न को रोक दिया,माली ने संक्रमित पौधों को हटाकर सड़न को रोक दिया,gátolta a rothadást,A új menedzser jobb politikák bevezetésével állította meg a hanyatlást,A kertész a rothadást a fertőzött növények eltávolításával állította meg,paró la podredumbre,El nuevo gerente detuvo la decadencia implementando mejores políticas,El jardinero detuvo la podredumbre al quitar las plantas infectadas,dúró ìgbàgbé,Ọ̀gá tuntun náà dá ìbàjẹ́ náà dúró nípa ìgbésẹ̀ tó dára jù,Ọlọ́gbẹ́gbẹ́ gbẹ́ ìgbẹ́ nípa ìyọ̀ǹda àwọn ọ̀gbẹ́ tí ó ṣọ́pọ̀,,新经理通过实施更好的政策阻止了腐败,园丁通过移除感染的植物来阻止腐烂,썩는 것을 막았다,새로운 관리자는 더 나은 정책을 시행하여 부패를 막았다,정원사는 감염된 식물을 제거하여 썩음을 막았습니다
straight from the horse's mouth,from a dependable or reliable source,I [[heard it straight from the horse's mouth]] that the company is planning a merger,The veterinarian [[heard it straight from the horse's mouth]] when the animal neighed loudly,I heard it straight from the horse's mouth that the company is planning a merger,The veterinarian heard it straight from the horse's mouth when the animal neighed loudly,heard it straight from the horse's mouth,hörte es direkt aus dem Munde des Pferdes,Ich habe es direkt aus der Quelle dass das Unternehmen eine Fusion plant,Der Tierarzt hörte es direkt aus dem Pferdemaul als das Tier laut wieherte,שמעתי את זה ישירות מהסוס,שמעתי את זה ישירות מהחברה שהיא מתכננת מיזוג,הווטרינר שמע זאת ישירות מהפה של הסוס כאשר החיה רעדה בקול רם,मुख से ही सुना,मैंने सीधे कंपनी के मालिक से सुना कि कंपनी विलय की योजना बना रही है,पशु चिकित्सक ने घोड़े के मुंह से सीधे सुना जब जानवर ने जोर से नकली किया,egyenesen a ló szájából hallottam,Őszintén szólva a cég vezetőjétől hallottam hogy összeolvadást terveznek,Őszintén szólva a ló szájából hallotta amikor az hangosan nyerített,oyelo de la boca del caballo,Lo escuché directamente de la boca del caballo que la compañía está planeando una fusión,El veterinario lo escuchó directamente de la boca del caballo cuando el animal relinchó fuerte,gbọ́ òrò tẹ̀tẹ̀ lára ẹ̀ṣin,Mo gbọ́ nínú ẹnu ọlọ́pàá pé ilé-iṣẹ́ náà ń ṣe ìgbéyàwó,Ọ̀jọ́gbọ́n ìwòsàn ẹran ẹ̀yẹ gbọ́ ìròyìn náà lórí ẹnu ẹran ẹ̀yẹ náà nígbà tí ó ń ṣègùn gbọ́n gbọ́n,亲耳听到的,我直接从公司高层那里听说，公司正在计划合并,兽医从马的嘴里听到了，当时马儿大声嘶鸣,곧바로 말의 입에서 들은 것,회사가 합병을 계획하고 있다는 것을 직접 들었어요,동물이 크게 울부짖을 때 수의사는 말의 입에서 직접 듣게 되었다
straight shooter,someone who speaks the truth,"In the world of politics, her reputation as [[a straight shooter]] sets her apart from the rest","The archer was [[a straight shooter]], hitting the bullseye every time","In the world of politics, her reputation as a straight shooter sets her apart from the rest","The archer was a straight shooter, hitting the bullseye every time",a straight shooter,1 ein ehrlicher Mensch,In der Welt der Politik hebt sich ihr Ruf als ehrliche Politikerin von den anderen ab,Der Bogenschütze war ein treffsicherer Schütze der jedes Mal ins Schwarze traf,אדם ישר,בעולם הפוליטיקה המוניטין שלה כמי שמדברת בגלוי מבדיל אותה מהאחרים,הקלע היה צלף מדויק שפגע במטרה בכל פעם,सच्चा व्यक्ति,राजनीति की दुनिया में एक सीधे-सादे शूटर के रूप में उनकी प्रतिष्ठा उन्हें बाकी लोगों से अलग करती है,तीरंदाज एक सीधा शूटर था हर बार निशाना लगाता था,,A politikában nyíltszívűsége különbözteti meg a többiektől,Ő volt a legjobb íjász aki mindig a célba talált,un tipo honesto,En el mundo de la política su reputación como una persona directa la distingue del resto,El arquero era un tirador recto golpeando el blanco cada vez,ọmọ ọdọ tí ó ń ṣe ìṣẹ́ tó tọ,Nínú ìjọba ìròyìn rẹ̀ bíi ọmọ ọdọ́ tó ń sọ òrò tẹ́lẹ̀ tẹ́lẹ̀ ṣe ṣe ó tó tẹ̀lé àwọn tó ń ṣe ìjọba tó ń sọ òrò tẹ́lẹ̀ tẹ́lẹ̀,Ọlọ́fẹ́ ìjà ò ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí ó ń ṣe ìjà tí,直言不讳的人,在政治圈里，她直言不讳的声誉使她与众不同,弓箭手射箭准确，每次都能射中靶心,,정치계에서 그녀는 솔직한 성격으로 다른 사람들과 차별화된다,궁수는 매번 과녁을 맞추는 정통 궁수였다
straighten up and fly right,to get serious and stop acting absurd anymore.,"After a stern warning from his boss, he decided [[to straighten up and fly right]] at work",The pilot had [[to straighten up and fly right]] to avoid turbulence,"After a stern warning from his boss, he decided to straighten up and fly right at work",The pilot had to straighten up and fly right to avoid turbulence,to straighten up and fly right,geordnet und diszipliniert zu sein,Nach einer ernsten Warnung seines Chefs beschloss er sich zu bessern und in der Arbeit richtig zu arbeiten,Der Pilot musste sich aufrichten und nach rechts fliegen um Turbulenzen zu vermeiden,ליישר קו ולעוף ישר,לאחר אזהרה נוקבת מצד הבוס שלו הוא החליט להתיישר ולעבוד כמו שצריך,טייס היה צריך להתיישר ולעוף ימינה כדי להימנע מטורבולנס,सीधा खड़े होकर सही उड़ना,अपने बॉस की सख्त चेतावनी के बाद उसने काम पर सीधा होने और सही तरीके से उड़ने का फैसला किया,टर्बुलेंस से बचने के लिए पायलट को सीधा होकर उड़ना पड़ा,egyenesen repülni,Őrmestere szigorú figyelmeztetése után úgy döntött hogy rendbe szedi magát és rendesen dolgozik,A pilótának ki kellett egyenesednie és jobbra kellett fordulnia hogy elkerülje a turbulenciát,volverse a poner en forma,Después de una severa advertencia de su jefe decidió enderezar y volar bien en el trabajo,El piloto tuvo que enderezar y volar a la derecha para evitar turbulencias,lati ṣe ìtúnṣe àti ṣe ìrìn-àjò tó tọ,Lẹ́yìn ìkọ̀wọ́ tí ọ̀gá rẹ̀ fún un ó pinnu láti ṣe ìtúnṣe ara rẹ̀ kí ó sì ṣe ọ̀rọ̀ tó tọ́ nínú iṣẹ́,Ọkọ̀ ọkọ̀ òfurufú gbọ́dọ̀ ṣe ìwọsàn ara rẹ̀ kí o sì ṣe ìkọ̀ ọkọ̀ òfurufú tó tọ́ láti yẹ̀ ìdẹ́gbẹ́gbẹ́,重新振作起来,在老板严厉的警告之后，他决定在工作中端正态度，做个好员工,飞行员不得不调整飞行姿态，向右飞行，以避开颠簸,똑바로 서서 곧게 날기,그의 상사로부터 엄중한 경고를 받은 후 그는 곧바로 직장에서 똑바로 서서 날아갈 것을 결심했다,조종사는 난기류를 피하기 위해 자세를 바로잡고 오른쪽으로 날아야 했다
strike while the iron is hot,to take advantage of a situation,"To seize the opportunity, he decided [[to strike while the iron is hot]] and invest in the stock market","As a blacksmith, he knew he had [[to strike while the iron is hot]] to shape the metal properly","To seize the opportunity, he decided to strike while the iron is hot and invest in the stock market","As a blacksmith, he knew he had to strike while the iron is hot to shape the metal properly",to strike while the iron is hot,zugreifen solange das Eisen heiß ist,Um die Gelegenheit zu nutzen beschloss er den Eisen schmieden zu lassen während es heiß ist und in den Aktienmarkt zu investieren,Als Schmied wusste er dass er das Eisen schmieden musste solange es heiß war um das Metall richtig zu formen,לטבוח בזמן שהברזל חם,כדי לנצל את ההזדמנות הוא החליט להכות בברזל בעודו חם ולהשקיע בבורסה,כנפח הוא ידע שהוא צריך להכות בזמן שהברזל חם כדי לעצב את המתכת כראוי,लकड़ी को गर्म रहते ही काटना,अवसर को लपकने के लिए उन्होंने लोहे को गर्म होने पर मारने का फैसला किया और शेयर बाजार में निवेश किया,लोहार होने के नाते उसे पता था कि उसे धातु को ठीक से आकार देने के लिए लोहे को गर्म करते समय ही मारना होगा,kovácsolni kell amíg a vas forró,Ő pedig hogy kihasználja az alkalmat úgy döntött hogy a vasat kovácsolja és befektet a tőzsdére,kovácsként tudta hogy a vasat akkor kell kovácsolni amikor forró hogy megfelelően formázható legyen,batir el hierro mientras está caliente,Para aprovechar la oportunidad decidió aprovechar el momento y invertir en la bolsa,Como herrero sabía que tenía que golpear mientras el hierro está caliente para dar forma al metal correctamente,ṣe ìṣẹ́ nígbà tí irin ń gbóná,Láti gba ìpinnu láti ṣe ìfẹsẹwọnsẹ nínú ọjà ìṣèlú ó ṣe ìpinnu láti ṣe ìfẹsẹwọnsẹ nínú ọjà ìṣèlú nígbà tí ọjà ń ṣe gbígbóná,Gẹ́gẹ́ bí agbẹ̀wọ̀n ó mọ́ pé ó ní ṣe ìṣẹ́ nígbà tí irin ń gbóná láti ṣe ọ̀pọ̀n irin náà dáadáa,趁热打铁,为了抓住机会，他决定趁热打铁，投资股票市场,作为一名铁匠，他知道他必须趁热打铁，才能把金属塑造成正确的形状,쇠가 뜨거울 때 망치질하다,기회를 잡기 위해 그는 철이 뜨거울 때 쳐서 주식 시장에 투자하기로 결정했다,대장장이로서 그는 철이 뜨거울 때 쇠를 두드려야 금속을 제대로 성형할 수 있다는 것을 알고 있었다
suited and booted,formally dressed; well dressed,"He [[was suited and booted for the event]], ready to impress everyone with his confidence","He [[was suited and booted for the event]], wearing a tailored suit and polished shoes","He was suited and booted for the event, ready to impress everyone with his confidence","He was suited and booted for the event, wearing a tailored suit and polished shoes",was suited and booted for the event,schick gekleidet,Er war für das Ereignis in Schale geworfen und bereit alle mit seinem Selbstbewusstsein zu beeindrucken,Er war für den Anlass in Anzug und Schuhen trug einen maßgeschneiderten Anzug und polierte Schuhe,הגיע לבוש יפה לאירוע,הוא היה לבוש יפה לאירוע מוכן להרשים את כולם בביטחון שלו,הוא היה לבוש יפה לאירוע לבוש בחליפה מחוייטת ונעליים מלוטשות,इस कार्यक्रम के लिए तैयार,वह इस कार्यक्रम के लिए तैयार था अपने आत्मविश्वास से सभी को प्रभावित करने के लिए तैयार,उन्होंने इस कार्यक्रम के लिए सूट और बूट्स पहने थे एक सिलाया हुआ सूट और पॉलिश किए हुए जूते पहने थे,ünneplőbe öltözött,Ő volt a megfelelő ember az eseményre készen arra hogy mindenkit lenyűgözzön magabiztosságával,Ő volt a megfelelő ember az eseményre egy szabott öltönyt és fényes cipőt viselt,lucía un traje y zapatos de vestir,Estaba vestido para la ocasión listo para impresionar a todos con su confianza,Llevaba un traje a medida y zapatos lustrados,ṣe ẹ̀ṣọ̀ ìṣẹ́ ọ̀dọ́ ọ̀dọ́ fún ìṣẹ́ náà,Ó wọ ẹ̀wù ìṣẹ́ ìpéjọ náà ó sì ṣe ìwọsàn ẹ̀yìn rẹ̀ ó ṣe tẹ̀síwájú láti ṣe ìfẹ́ gbogbo ènìyàn nípa ìgbàgbọ́ rẹ̀,Ó wọ ìṣọ̀ṣọ̀ ìṣẹ́ ìgbàgbọ́ tí ó ṣe ṣe nípa ọwọ́ ọ̀kan lára àwọn ọmọ ọ̀dọ̀ rẹ̀ ó sì wọ ṣíṣọ̀ṣọ̀ ìṣẹ́ ìgbàgbọ́ tí ó ṣe ṣe nípa ọwọ́ ọ̀kan lára àwọn ọmọ ọ̀dọ̀ rẹ̀ ó sì wọ ṣíṣọ̀ṣọ̀ ìṣẹ́ ìgbàgbọ́ tí ó ṣe ṣe nípa ọwọ́ ọ̀kan lára àwọn ọmọ ọ̀dọ̀ rẹ̀ ó sì wọ ṣíṣọ̀ṣọ̀ ìṣẹ́ ìgbàgbọ́ tí ó ṣe ṣe nípa ọwọ́ ọ̀kan lára àwọn ọmọ ọ̀dọ̀ rẹ̀ ó sì wọ ṣíṣọ̀ṣọ̀ ìṣẹ́ ìgbàgbọ́ tí ó ṣe ṣe nípa ọwọ́ ọ̀kan lára àwọn ọmọ ọ̀dọ̀ rẹ̀ ó sì wọ ṣíṣọ̀ṣọ̀ ìṣẹ́ ìgbàgbọ́ tí ó ṣe ṣe nípa ọwọ́ ọ̀kan lára àwọn ọmọ ọ̀dọ̀ rẹ̀ ó sì wọ ṣíṣọ̀ṣọ̀ ìṣẹ́ ìgbàgbọ́ tí ó ṣe ṣe nípa ọwọ́ ọ̀kan lára àwọn ọmọ ọ̀dọ̀ rẹ̀ ó sì wọ ṣíṣọ̀ṣọ̀ ìṣẹ́ ìgbàgbọ́ tí ó ṣe ṣe nípa ọwọ́ ọ̀kan lára àwọn ọmọ ọ̀dọ̀ rẹ̀ ó sì wọ ṣíṣọ̀ṣọ̀ ìṣẹ́ ìgbàgbọ́ tí ó ṣe ṣe nípa ọwọ́ ọ̀kan lára àwọn ọmọ ọ̀dọ̀ rẹ̀ ó sì wọ ṣíṣọ̀ṣọ̀ ìṣẹ́ ìgbàgbọ́ tí ó ṣe ṣe nípa ọwọ́ ọ̀kan lára àwọn ọmọ ọ̀dọ̀ rẹ̀ ó sì wọ ṣíṣọ̀ṣọ̀ ìṣẹ́ ìgbàgbọ́ tí ó ṣe ṣe nípa ọwọ́ ọ̀kan lára àwọn ọmọ ọ̀dọ̀ rẹ̀ ó sì wọ ṣíṣọ̀ṣọ̀ ìṣẹ́ ìgbàgbọ́ tí ó ṣe ṣe nípa ọwọ́ ọ̀kan lára àwọn ọmọ ọ̀dọ̀ rẹ̀ ó sì wọ ṣíṣọ̀ṣọ̀ ìṣẹ́ ìgbàgbọ́ tí ó ṣe ṣe nípa ọwọ́ ọ̀kan lára àwọn ọmọ ọ̀dọ̀ rẹ̀ ó sì wọ ṣíṣọ̀ṣọ̀ ìṣẹ́ ìgbàgbọ́ tí ó ṣe ṣe nípa ọwọ́ ọ̀kan lára àwọn ọmọ ọ̀dọ̀ rẹ̀ ó sì wọ ṣíṣọ̀ṣọ̀ ìṣẹ́ ìgbàgbọ́ tí ó ṣe ṣe nípa ọwọ́ ọ̀kan lára àwọn ọmọ ọ̀dọ̀ rẹ̀ ó sì wọ ṣ,为活动穿上西装和皮鞋,他穿着西装革履，准备用自己的自信给大家留下深刻印象,他穿着量身定制的西装和擦得锃亮的皮鞋，为活动做好了准备,의식에 맞는 옷을 입고,그의 자신감으로 모두를 놀라게 할 준비가 된 그는 행사에 맞는 옷을 입고 있었다,그는 이 행사에 맞춰 맞춤 정장과 닦은 구두를 신고 갔다
sweep under the rug,try to hide a problem or keep a problem secret instead of dealing with it,"Instead of addressing the problem, [[they swept the issue under the rug]] and pretended it didn't exist","After breaking the vase, [[they swept the issue under the rug]] to hide the evidence","Instead of addressing the problem, they swept the issue under the rug and pretended it didn't exist","After breaking the vase, they swept the issue under the rug to hide the evidence",they swept the issue under the rug,sie haben die Angelegenheit unter den Teppich gekehrt,Statt das Problem anzugehen haben sie es unter den Teppich gekehrt und so getan als gäbe es es nicht,Nachdem sie die Vase zerbrochen hatten schoben sie die Sache unter den Teppich um die Beweise zu verbergen,הם פשוט התחילו להתעלם מהנושא,במקום לטפל בבעיה הם דחקו את הנושא מתחת לשטיח והתחזו כאילו הוא לא קיים,לאחר ששברו את הווזה הם שטפו את הרצפה כדי להסתיר את הראיות,उन्होंने इस मुद्दे को दबा दिया,समस्या का समाधान करने के बजाय उन्होंने इस मुद्दे को दबा दिया और दिखावा किया कि यह मौजूद नहीं है,फूलदान तोड़ने के बाद उन्होंने सबूतों को छिपाने के लिए इस मुद्दे को दबा दिया,szőnyeg alá söpörték,Ahelyett hogy a problémát kezelték volna a szőnyeg alá söpörték és úgy tettek mintha nem is létezne,Ők a vázát összetörték és a bizonyítékokat eltüntették,metieron el asunto debajo de la alfombra,En lugar de abordar el problema lo pasaron por alto y fingieron que no existía,Después de romper el jarrón ocultaron el asunto para esconder las pruebas,wọ́n ṣe ìgbàgbọ́ nínú ìṣẹ́ ìjọba,Nítorí pé wọ́n kò ṣe àtúnṣe ìṣòro náà wọ́n sì ṣe bíi pé ò ṣe wà,Lẹ́yìn tí wọ́n bá fọ́ ọkọ̀ ọ̀gbọ́n náà wọ́n sì fi ìwé ìfọ̀rọ̀wọns̩ìn sọ́rùn láti fi ìrísí ìwà ìfọ̀rọ̀wọns̩ìn náà pa,他们把问题掩盖了,他们没有解决问题，而是把问题掩盖起来，假装问题不存在,打碎花瓶后，他们把问题掩盖起来，以隐瞒证据,그들은 이 문제를 덮어버렸다,문제에 대처하기는커녕 그 문제를 덮어두고 존재하지 않는 것처럼 행동했다,꽃병을 깨고 나서 그들은 증거를 숨기기 위해 그 문제를 덮어버렸다
take a back seat,take a less important position.,"[[He took a back seat to her]] in the project, letting her lead the team","[[He took a back seat to her]] in the car, giving her the front passenger seat","He took a back seat to her in the project, letting her lead the team","He took a back seat to her in the car, giving her the front passenger seat",He took a back seat to her,,Er trat im Projekt hinter sie zurück und ließ sie das Team leiten,Er nahm im Auto hinter ihr Platz um ihr den Beifahrersitz zu überlassen,הוא נעשה בן זוג משני,הוא נעשה שותף משני בפרויקט והשאיר אותה להוביל את הצוות,הוא לקח את המושב האחורי במכונית והעניק לה את המושב של הנוסע הקדמי,उसने उसके पीछे बैठना पसंद किया,उन्होंने प्रोजेक्ट में पीछे हटकर उसे टीम का नेतृत्व करने दिया,उसने कार में पीछे की सीट ली उसे आगे की यात्री सीट दी,Ő háttérbe szorult,Ő háttérbe szorult a projektben és hagyta hogy a nő vezesse a csapatot,Ő ült hátul a kocsiban hogy a nő a jobb első ülésen ülhessen,cedió el paso a ella,cedió el liderazgo del proyecto a ella,Le cedió el asiento delantero del coche,Ó ṣe ìyàwó ẹ̀yìn fún un,Ó gba ẹ̀yìn ọ̀kan nínú iṣẹ́ náà ó sì jẹ́ kí ó ṣe olórí ẹgbẹ́,Ó gba ọkọ̀ ẹ̀yìn nínú ọkọ̀ ó sì fún un ní ọkọ̀ ẹ̀yìn ọkọ̀ ọ̀nà,他让她做主,在项目中，他让她做主，让她带领团队,他让她坐在前排，自己坐在后排,그의 그녀에게 뒷좌석을 차지했다,팀을 이끌게 하면서 그는 프로젝트에서 그녀에게 뒤로 물러섰다,그는 그녀에게 앞좌석을 양보하고 뒷좌석에 앉았다
take a beating,to be defeated in doing something and be reprimanded for the same,The company's stock prices [[took a beating]] after the negative news,The old punching bag [[took a beating]] during the intense workout session,The company's stock prices took a beating after the negative news,The old punching bag took a beating during the intense workout session,took a beating,geschlagen,Die Aktienkurse des Unternehmens wurden nach den negativen Nachrichten geschlagen,Der alte Boxsack bekam während der intensiven Trainingseinheit eine Tracht Prügel,עבר התעללות,מניותיהן של החברות נפגעו בעקבות החדשות השליליות,שק האגרוף הישן ספג מכות במהלך אימון אינטנסיבי,हार का सामना करना पड़ा,नकारात्मक खबरों के बाद कंपनी के शेयरों की कीमतों में गिरावट आई,तीव्र वर्कआउट सत्र के दौरान पुराने पंचिंग बैग को पीटा गया,ütötték,A cég részvényei a negatív hírek után mélyre zuhantak,Őrült edzés közben a régi zsák sokat kapott,cogió una paliza,Las acciones de la compañía sufrieron un golpe después de las noticias negativas,El viejo saco de boxeo recibió una paliza durante la intensa sesión de entrenamiento,gbọ́n ìbọn,Ìwọn owó ìṣèlú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọba tó ń ṣiṣẹ́ nínú ìjọ,Ìkọ̀kọ̀ ìṣẹ́ ìdánilẹ́kọ̀ọ́ tí ó ṣe ìgbàgbẹ́ nínú ìṣẹ́ ìdánilẹ́kọ̀ọ́ tí ó ṣe ìgbàgbẹ́,,负面消息传出后，该公司的股价遭受重创,在激烈的训练中，旧的沙袋受到了重创,흠집을 입다,회사의 주가는 부정적인 뉴스 이후 타격을 입었다,낡은 샌드백은 격렬한 운동 세션 동안 두들겨 맞았다
