idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_opus,p_f_de_opus,p_l_de_opus,p_a_he_opus,p_f_he_opus,p_l_he_opus,p_a_hi_opus,p_f_hi_opus,p_l_hi_opus,p_a_hu_opus,p_f_hu_opus,p_l_hu_opus,p_a_ko_opus,p_f_ko_opus,p_l_ko_opus,p_a_es_opus,p_f_es_opus,p_l_es_opus,p_a_yo_opus,p_f_yo_opus,p_l_yo_opus,p_a_zh_opus,p_f_zh_opus,p_l_zh_opus
stick in his throat,difficulty of accepting and makes you angry or resentful,The insincere compliment [[stuck in his throat]] as he tried to praise his rival,The fish bone [[stuck in his throat]] while he was eating dinner,The insincere compliment stuck in his throat as he tried to praise his rival,The fish bone stuck in his throat while he was eating dinner,stuck in his throat,in seinem Hals stecken,"Das unaufrichtige kompliment steckte in seiner kehle, als er versuchte, seinen rivalen zu loben.","Der Fischknochen steckte in seiner Kehle, während er zu Abend aß",תקוע בגרונו.,המחמאה חסרת הכנות נתקעה בגרונו כשהוא ניסה להלל את יריבו,עצם הדג נתקעה בגרונו בזמן שהוא אכל ארוחת ערב.,उसके गले में लगी हुई,"अपने प्रतिस्पर्धी की प्रशंसा करने की कोशिश करते हुए, उसके गले में लिपट गयी",मछली की हड्डी उसके गले में लगी हुई थी जब वह भोजन कर रहा था,Beszorult a torkába,"A kétszínű bók elakadt a torkában, miközben megpróbálta dicsérni a riválisát.","A halcsont beszorult a torkába, miközben vacsorázott.",,,,atascado en su garganta,El insincero cumplido se le metió en la garganta mientras trataba de alabar a su rival.,El hueso de pescado se le clavó en la garganta mientras cenaba.,Wọn ò yéé sòrò mó,Òrò àpósítélì Póòlù yìí tẹnu mó ọn bó ṣe ń yìn ín bó ṣe ń yìn ín,Ewéko náà wà lórùn rè nígbà tó ń jẹun lówó,塞在他的喉咙里,他的喉咙里塞着无心的赞美 他试图赞美他的对手,"他吃晚饭时,鱼骨塞在喉咙里"
stiff upper lip,to be brave in the face of adversity,"Despite the bad news, [[he maintained a stiff upper lip]] and carried on","Due to the cold weather, [[he maintained a stiff upper lip]] until he could warm up","Despite the bad news, he maintained a stiff upper lip and carried on","Due to the cold weather, he maintained a stiff upper lip until he could warm up",he maintained a stiff upper lip,Er behielt eine steife Oberlippe bei.,Trotz der schlechten Nachrichten behielt er eine steife Oberlippe bei und fuhr fort:,"Aufgrund des kalten Wetters hielt er eine steife Oberlippe aufrecht, bis er sich aufwärmen konnte.",הוא שמר על שפה עליונה נוקשה.,"למרות החדשות הרעות, הוא שמר על שפה נוקשה והמשיך הלאה.","בשל מזג האוויר הקר, הוא שמר על השפה העליונה עד שיוכל להתחמם.",उसने ऊपरी होंठ बनाए रखा,"बुरी ख़बरों के बावजूद, उसने एक सख़्त ऊपरी लेप बनाए रखा और आगे बढ़ा","ठंड के मौसम के कारण, वह एक सख्त ऊपरी लेप को बनाए रखा जब तक कि वह गर्म कर सकता था",Megtartotta a merev felső ajkát,"A rossz hír ellenére megtartotta a merev felső ajkát, és folytatta","A hideg idő miatt a felső ajkát mereven tartotta, amíg fel nem melegedett.",,,,él mantuvo un labio superior rígido,"A pesar de las malas noticias, mantuvo un labio superior rígido y continuó","Debido al clima frío, mantuvo un labio superior rígido hasta que pudo calentarse.",Ó ń tójú àmùrè tó wà lókè,"Bó tilè jé pé ìròyìn burúkú ni wón gbó nípa rè, ó dúró sán - ún, ó sì ń bá iṣé náà lọ","Bí ojú ọjó ṣe máa ń tutù gan - an, béè ni kò jé kí èrù bà á títí tí ara rè á fi yá gágá",他有一个坚硬的上唇,"尽管有坏消息,他仍保持一个僵硬的上嘴唇,继续",由于寒冷的天气 他保持了僵硬的上唇 直到他能暖和起来
stir up a hornet's nest,to create trouble,"By questioning the company's policies, he [[stirred up a hornet's nest]] among the employees","While clearing the garden, she accidentally [[stirred up a hornet's nest]] and got stung","By questioning the company's policies, he stirred up a hornet's nest among the employees","While clearing the garden, she accidentally stirred up a hornet's nest and got stung",stirred up a hornet's nest,Ein Hornissennest aufgewühlt,"Indem er die Richtlinien des Unternehmens in Frage stellte, rührte er ein Hornissennest unter den Mitarbeitern auf.","Während sie den Garten klärte, rührte sie versehentlich das Nest einer Hornisse auf und wurde gestochen",עורר קן צרעות.,"ע""י הטלת ספק במדיניות החברה, הוא עורר קן צרעות בקרב העובדים.","בעת ניקוי הגן, היא עוררה בטעות קן צרעות ונעקצה",एक सींग के घोंसले को प्रेरित किया,कंपनी की नीतियों पर सवाल उठाते हुए उसने मजदूरों के बीच शंकराचार्य की तपस्या की।,"उद्यान को साफ करते हुए, वह मुश्किल से एक सींग के घोंसले को हिला दिया और स्टंग मिल गया",Felkavarta a darázsfészket,"Azzal, hogy megkérdőjelezte a cég politikáját, felkavart egy darázsfészket az alkalmazottak között.","A kert megtisztítása közben véletlenül felkavarta a darázsfészket, és megcsípték.",,,,agitado hasta el nido de un avispón,"Al cuestionar las políticas de la compañía, agitó un nido de avispas entre los empleados.","Mientras limpiaba el jardín, accidentalmente agitó el nido de un avispón y le picaron.",Gbé ìté ìwo kan sókè,"Nígbà tí ó bi ilé iṣẹ náà ní ìbéèrè, ó gbé àwo ìwo kan sókè láàárín àwọn òṣìṣẹ","Nígbà tí ó ń yọ ọgbà náà, ó ṣèèṣì gbé ìté ìwo kan sókè, ó sì gba ikó fée",掀起蜂蜜蜂的巢,他质疑公司的政策 激起了员工们的蜂蜜蜂窝,"在清扫花园时,她不小心把黄蜂的巢弄起来,然后被叮"
stop by,to meet someone or go somewhere in a brief and informal manner,I'll [[stop by the store]] to pick up some groceries on my way home,"During our walk, we decided to [[stop by the store]] to take shelter from the sudden downpour",I'll stop by the store to pick up some groceries on my way home,"During our walk, we decided to stop by the store to take shelter from the sudden downpour",stop by the store,Stoppen Sie durch den Laden,"Ich werde durch den Laden zu stoppen, um einige Lebensmittel auf dem Weg nach Hause abholen","Während unseres Spaziergangs beschlossen wir, im Laden anzuhalten, um Schutz vor dem plötzlichen Regen zu suchen.",תעצור בחנות.,אני אקפוץ לחנות לקנות מצרכים בדרכי הביתה.,"במהלך ההליכה שלנו, החלטנו לעצור בחנות כדי לתפוס מחסה מהגשם הפתאומי",स्टोर के द्वारा रोकें,मैं अपने रास्ते घर पर कुछ सामान लेने के लिए दुकान द्वारा बंद कर देंगे,"हमारे चलने के दौरान, हमने अचानक तूफान से बचने के लिए दुकान पर रुक जाने का फैसला किया",Álljon meg a boltnál,"Beugrom a boltba, hogy elvigyek néhány élelmiszert hazafelé menet.","Sétánk során úgy döntöttünk, hogy megállunk a boltban, hogy menedéket vegyünk a hirtelen felhőszakadástól.",,,,pasar por la tienda,Voy a pasar por la tienda a recoger algunos comestibles en mi camino a casa,"Durante nuestra caminata, decidimos pasar por la tienda para refugiarnos del repentino aguacero.",Wọn dúró pẹlú ilé ìtajà náà,Màá dúró lẹgbẹ ilé-ẹkọ láti ṣa àwọn ọpọlọpọ ọjà ní ilé-ẹkọ mi,"Nígbà tá à ń rìn lọ, a pinnu láti dúró ní ṣóòbù náà láti sá kúrò lówó òjò òjijì",店边停在店边,我回家的路上去商店买点杂货,"在散步时,我们决定去商店避风避风避雨"
stop the rot,"when you prevent a situation from deteriorating, especially in business or politics",The new manager [[stopped the rot]] by implementing better policies,The gardener [[stopped the rot]] by removing the infected plants,The new manager stopped the rot by implementing better policies,The gardener stopped the rot by removing the infected plants,stopped the rot,Stoppt die Fäulnis,"Der neue Manager stoppte die Fäulnis, indem er bessere Richtlinien einführte.","Der Gärtner stoppte die Fäulnis, indem er die infizierten Pflanzen entfernte",עצר את הריקבון,המנהל החדש עצר את הריקבון על ידי יישום מדיניות טובה יותר,הגנן עצר את הריקבון על ידי הסרת הצמחים הנגועים,रोटे को रोकें,नए प्रबंधक ने बेहतर नीतियों को लागू करते हुए रोट को रोक दिया,बागवानी ने संक्रमित पौधों को निकाल कर रोट को रोक दिया,Megállt a rothadás,Az új menedzser megállította a rothadást a jobb politikák végrehajtásával,A kertész megállította a rothadást a fertőzött növények eltávolításával,,,,Detener la podredumbre,El nuevo gerente detuvo la podredumbre implementando mejores políticas,El jardinero detuvo la podredumbre eliminando las plantas infectadas,Dá èèpo èyìn náà dúró,Alábòójútó tuntun náà dáwó eré ìdárayá náà dúró nípa ṣíṣe àwọn ohun èlò tó dára ju ti télè lọ,Bí àgbè náà ṣe ṣí àwọn irúgbìn tó ti kó àrùn náà dà nù nìyẹn.,停止腐烂,"新经理实施更好的政策,阻止了腐败",园丁把被感染的植物除掉 以阻止腐烂
straight from the horse's mouth,from a dependable or reliable source,I [[heard it straight from the horse's mouth]] that the company is planning a merger,The veterinarian [[heard it straight from the horse's mouth]] when the animal neighed loudly,I heard it straight from the horse's mouth that the company is planning a merger,The veterinarian heard it straight from the horse's mouth when the animal neighed loudly,heard it straight from the horse's mouth,Er hörte es direkt aus dem Maul des Pferdes.,"Ich habe direkt aus dem Mund des Pferdes gehört, dass das Unternehmen eine Fusion plant.","Der Tierarzt hörte es direkt aus dem Mund des Pferdes, als das Tier laut wiegte",שמעתי את זה ישר מפיו של הסוס.,שמעתי את זה ישר מפיו של הסוס שהחברה מתכננת מיזוג,הוטרינר שמע את זה ישר מהפה של הסוס כשהחיה צהללה בקול רם.,घोड़े के मुंह से यह सीधी सुनाई दी।,मैंने घोड़े के मुंह से यह सीधा सुना कि कम्पनी एक मिल्वौकी की योजना बना रही है,"विक्रमादित्य ने इसे घोड़े के मुँह से सीधा सुना, जब पशु ने घोष किया",Egyenesen a ló szájából hallottam.,"Egyenesen a ló szájából hallottam, hogy a cég egyesülést tervez.","Az állatorvos egyenesen a ló szájából hallotta, amikor az állat hangosan felvonszolta.",,,,Oído directamente de la boca del caballo,Escuché directamente de la boca del caballo que la compañía está planeando una fusión.,El veterinario lo escuchó directamente de la boca del caballo cuando el animal relinchó en voz alta.,gbó ọ tààrà láti ẹnu ẹṣin,Wọn maa ń gbóó láti ẹnu ẹṣin pé ilé-iṣẹ náà ń wéwèé ẹgbọn,Eṣinṣin náà gbó ọ tààrà láti ẹnu ẹṣin nígbà tí ẹranko náà gbó ìró ohùn rè sókè ketekete,从马的嘴里直接听到的,我从马的嘴里直接听说 公司正计划合并,兽医从马的嘴里直接听到的 动物大声地叫叫着
straight shooter,someone who speaks the truth,"In the world of politics, her reputation as [[a straight shooter]] sets her apart from the rest","The archer was [[a straight shooter]], hitting the bullseye every time","In the world of politics, her reputation as a straight shooter sets her apart from the rest","The archer was a straight shooter, hitting the bullseye every time",a straight shooter,Ein Straight Shooter,In der welt der politik hebt sich ihr ruf als heterosexueller schütze von den anderen ab.,"Der Bogenschütze war ein gerader Schütze, der jedes Mal das Bullseye traf",יורה ישר.,"בעולם הפוליטיקה, המוניטין שלה בתור יורה סטרייט מבדיל אותה משאר","הקשת היה יורה ישר, פגע במטרה בכל פעם",एक सीधा शूटर,"राजनीति की दुनिया में, एक सीधे शूटर के रूप में उसकी प्रतिष्ठा उसे बाकी से अलग कर देती है","तीरंदाज एक सीधा तीर था, बैलगाड़ी पर हर बार वार करता था",egy egyenes shooter,A politika világában az egyenes lövész híre megkülönbözteti a többitől.,"Az íjász egyenes lövő volt, minden alkalommal eltalálta a bullseye-t.",,,,un tirador directo,"En el mundo de la política, su reputación como tiradora directa la distingue del resto.","El arquero era un tirador directo, golpeando la diana cada vez.",ògànjó òru,"Nínú òràn ìṣèlú, orúkọ tí wón mò ón sí olùta ìbọn tó tó yàtò pátápátá sí tàwọn tó kù","Òpá òtún ni tafàtafà náà, gbogbo ìgbà ló sì máa ń lu akọ màlúù náà",直射手,"在政治世界中,她作为直射手的名声 使她与众不同",弓箭手是个直射手 每次都打牛眼
straighten up and fly right,to get serious and stop acting absurd anymore.,"After a stern warning from his boss, he decided [[to straighten up and fly right]] at work",The pilot had [[to straighten up and fly right]] to avoid turbulence,"After a stern warning from his boss, he decided to straighten up and fly right at work",The pilot had to straighten up and fly right to avoid turbulence,to straighten up and fly right,um sich aufzurichten und nach rechts zu fliegen,"Nach einer strengen Warnung seines Chefs beschloss er, sich aufzurichten und direkt bei der Arbeit zu fliegen.","Der Pilot musste sich aufrichten und nach rechts fliegen, um Turbulenzen zu vermeiden.",להתיישר ולעוף ימינה.,"לאחר אזהרה חמורה מהבוס שלו, הוא החליט להתיישר ולטוס ישר לעבודה",הטייס היה צריך להתיישר ולטוס ימינה כדי להימנע ממערבולת.,ऊपर जाने के लिए और दाएँ उड़ने के लिए,"अपने बॉस से कड़ी चेतावनी देने के बाद, उसने नौकरी से बाहर निकलने और ठीक उड़ जाने का फैसला किया",पायलट को हवाई अड्डे से बचने के लिए उड़ान भरने और सही उड़ान भरने की जरूरत थी,Felegyenesedni és jobbra repülni,"A főnöke szigorú figyelmeztetése után úgy döntött, hogy felegyenesedik és egyenesen a munkahelyére repül.","A pilótának fel kellett egyenesednie és repülnie, hogy elkerülje a turbulenciát.",,,,para enderezar y volar a la derecha,"Después de una severa advertencia de su jefe, decidió enderezarse y volar directamente al trabajo.",El piloto tuvo que enderezarse y volar a la derecha para evitar turbulencias.,"tó ọ sónà, kó o sì fò bó ṣe yẹ","Léyìn ìkìlò líle koko látòdò ògá rè, ó pinnu láti tó ọ sónà kó sì fò lọ síbi iṣé",Awakò náà gbódò na ọwó òtún rè sókè kó má bàa gbòn pèpè,直飞向右,"老板警告他之后,他决定整理一下 工作时飞过去",飞行员必须直飞直飞 以避免动荡
strike while the iron is hot,to take advantage of a situation,"To seize the opportunity, he decided [[to strike while the iron is hot]] and invest in the stock market","As a blacksmith, he knew he had [[to strike while the iron is hot]] to shape the metal properly","To seize the opportunity, he decided to strike while the iron is hot and invest in the stock market","As a blacksmith, he knew he had to strike while the iron is hot to shape the metal properly",to strike while the iron is hot,"zu schlagen, während das Eisen heiß ist","Um die Gelegenheit zu nutzen, beschloss er, zu schlagen, während das Eisen heiß ist, und in die Börse zu investieren.","Als Schmied wusste er, dass er zuschlagen musste, während das Eisen heiß ist, um das Metall richtig zu formen.",להכות בזמן שהברזל חם.,"כדי לנצל את ההזדמנות, הוא החליט להכות בעוד הברזל חם ולהשקיע בשוק המניות","כנפח, הוא ידע שהוא צריך להכות בזמן שהברזל חם כדי לעצב את המתכת כמו שצריך.","कि जब तक लोहे को तप्त न कर दिया जाएगा,","अवसर पर कब्जा करने के लिए, उसने हड़ताल करने का फैसला किया जबकि आयरन गर्म है और स्टॉक बाजार में निवेश करता है","एक ब्लैकस्मिथ के रूप में, वह जानता था कि उसे हड़ताल करनी होगी जबकि धातु को ठीक से आकार देने के लिए लोहा गर्म है","Üssünk, amíg a vas forró!","Hogy megragadja a lehetőséget, úgy döntött, hogy sztrájk, míg a vas meleg, és befektetni a tőzsdén","Mint kovács, tudta, hogy meg kell ütnie, amíg a vas forró, hogy megfelelően formálja a fémet.",,,,para golpear mientras el hierro está caliente,"Para aprovechar la oportunidad, decidió golpear mientras el hierro está caliente e invertir en el mercado de valores.","Como herrero, sabía que tenía que golpear mientras el hierro estaba caliente para dar forma al metal correctamente.",láti lu nígbà tí irin bá ń sunni,"Kí ó lè lo àǹfààní náà, ó pinnu láti lu ìlù nígbà tí irin gbígbóná ń gbóná, tí ó sì ń ná owó ní ọjà tí wón ti ń ta ọjà.","Gégé bí alágbèdẹ dúdú, ó mò pé òun gbódò lù ú nígbà tí irin náà bá gbóná gan - an","在铁烫烫的时候,打铁","为了抓住机会,他决定在铁热时罢工,投资股票市场","作为铁铁匠,他知道自己必须打铁 铁铁要热到能把铁制成金属"
suited and booted,formally dressed; well dressed,"He [[was suited and booted for the event]], ready to impress everyone with his confidence","He [[was suited and booted for the event]], wearing a tailored suit and polished shoes","He was suited and booted for the event, ready to impress everyone with his confidence","He was suited and booted for the event, wearing a tailored suit and polished shoes",was suited and booted for the event,war geeignet und gebootet für die Veranstaltung,"Er war für die Veranstaltung geeignet und bereit, alle mit seinem Selbstvertrauen zu beeindrucken.","Er war für die Veranstaltung geeignet und gestiefelt, trug einen maßgeschneiderten Anzug und polierte Schuhe",היה מתאים ואתחול לאירוע,"הוא היה מתאים ולאותר לאירוע, מוכן להרשים את כולם עם הביטחון העצמי שלו","הוא היה מתאים ולאותר לאירוע, לובש חליפה מותאמת ונעליים מלוטשות",घटना के लिए अनुकूल और बूट किया गया,"वह उस घटना के लिए अनुकूल था और उसे बूट किया गया था, और अपने विश्‍वास से सभी को प्रभावित करने के लिए तैयार था","वह घटना के लिए अनुकूल और बूट किया गया था, एक सुसज्जित सूट और चमकदार जूते पहने",alkalmas volt és elindult az eseményre,"Ő volt alkalmas és bootolt az eseményre, készen arra, hogy mindenkit lenyűgözzön az önbizalmával","Ő volt alkalmas és bootolt az esemény, rajta egy személyre szabott öltöny és polírozott cipő",,,,fue adecuado y arrancado para el evento,"Estaba preparado y preparado para el evento, listo para impresionar a todos con su confianza.","Era adecuado y arrancado para el evento, vistiendo un traje a medida y zapatos pulidos.","Wón ṣe é lóṣòó, wón sì sọ ó di òranyàn fún wọn láti ṣe é","Inú rè dùn gan - an, ó sì bèrè sí í bòwò fún ìṣèlè náà, ó múra tán láti fi ìgbókànlé rè wọ gbogbo èèyàn lókàn","Wón ṣe é lóṣòó, wón sì sọ ó di òbẹ, wón wọ bàtà tí wón ṣe lóṣòó, wón sì fún un ní bàtà tí wón fún un",适合并启动该活动,准备以自信给大家留下深刻的印象,身穿特制西装和擦鞋
sweep under the rug,try to hide a problem or keep a problem secret instead of dealing with it,"Instead of addressing the problem, [[they swept the issue under the rug]] and pretended it didn't exist","After breaking the vase, [[they swept the issue under the rug]] to hide the evidence","Instead of addressing the problem, they swept the issue under the rug and pretended it didn't exist","After breaking the vase, they swept the issue under the rug to hide the evidence",they swept the issue under the rug,sie fegten das Problem unter den Teppich,"Anstatt das Problem anzugehen, fegten sie das Problem unter den Teppich und taten so, als gäbe es es es nicht.","Nachdem sie die Vase zerbrochen hatten, fegten sie das Problem unter den Teppich, um die Beweise zu verbergen.",הם טאטאו את הנושא מתחת לשטיח.,"במקום לטפל בבעיה, הם טאטאו את הנושא מתחת לשטיח והעמידו פנים שהוא לא קיים.","לאחר שבירת האגרטל, הם טאטאו את הנושא מתחת לשטיח כדי להסתיר את הראיות",उन्होंने इस मसले को जड़ से उखाड़ दिया,"समस्या को संबोधित करने के बजाय, उन्होंने rug के तहत मुद्दे को हिला दिया और यह दावा किया कि यह मौजूद नहीं था","व्यास को तोड़ने के बाद, उन्होंने सबूतों को छिपाने के लिए रुग के नीचे के मुद्दे को हिला दिया",A szőnyeg alá söpörték a témát.,"Ahelyett, hogy megoldották volna a problémát, a szőnyeg alá söpörték a kérdést, és úgy tettek, mintha nem is létezne.","Miután összetörték a vázát, a szőnyeg alá söpörték a kérdést, hogy elrejtsék a bizonyítékokat.",,,,barrieron el tema debajo de la alfombra,"En lugar de abordar el problema, barrieron el problema debajo de la alfombra y fingieron que no existía.","Después de romper el jarrón, barrieron el problema debajo de la alfombra para ocultar la evidencia.",Wón gbé òràn náà sábé òpá kétékété náà,"Dípò tí wọn ì bá fi yanjú ìṣòro náà, ṣe ni wón gbé òràn náà sábé òpá ìdiwòn náà tí wón sì díbón pé kò sí.","Léyìn tí wón bá ti fó àwo òdòdó náà tán, wón á wá gbé òràn náà sábé èrọ náà láti fi èrí tó wà níbè pa mó",他们把问题扫到地毯下,"他们没有解决问题,而是把问题放在地毯下,假装它不存在","打破花瓶后,他们把问题扫到地毯下面 以掩盖证据"
take a back seat,take a less important position.,"[[He took a back seat to her]] in the project, letting her lead the team","[[He took a back seat to her]] in the car, giving her the front passenger seat","He took a back seat to her in the project, letting her lead the team","He took a back seat to her in the car, giving her the front passenger seat",He took a back seat to her,Er nahm einen Rücksitz zu ihr.,"Er nahm einen Rücksitz zu ihr in das Projekt, ließ sie das Team führen",Er nahm einen Rücksitz zu ihr im Auto und gab ihr den Beifahrersitz.,הוא ישב במושב האחורי שלה.,"הוא לקח מושב אחורי אליה בפרויקט, לתת לה להוביל את הקבוצה","הוא לקח מושב אחורי לה במכונית, נותן לה מושב הנוסע הקדמי",वह उसके लिए एक वापस सीट ले लिया,"उन्होंने परियोजना में उसके लिए एक वापस सीट ली, टीम का नेतृत्व करने के लिए उसे अनुमति दी","उसने गाड़ी में उसे वापस बैठने के लिए एक सीट ली, जिससे वह सामने का यात्री सीट दे रहा था",Hátsó ülést kapott tőle.,"Elfoglalta a hátsó ülést a projektben, és hagyta, hogy vezesse a csapatot.","Hátul ült vele az autóban, és az első utasülést adta neki.",,,,Él tomó un asiento trasero para ella.,"Tomó un asiento trasero para ella en el proyecto, dejándola liderar el equipo.","Tomó un asiento trasero para ella en el coche, dándole el asiento del pasajero delantero.",Ó gbé ìjókòó èyìn lọ sódò rè,"Ó wá jókòó séyìn rè níbi tí wón ti ń ṣe iṣé náà, ó sì jé kó máa darí àwùjọ náà","Ó gbé ìjókòó èyìn lọ sínú ọkò, ó sì fún un ní ìjókòó tó wà níwájú rè",他坐在她后面坐着,"在项目中,他让她坐后座 让她领导团队","他坐在车里,坐在她后面,把前座乘客座位给了她"
take a beating,to be defeated in doing something and be reprimanded for the same,The company's stock prices [[took a beating]] after the negative news,The old punching bag [[took a beating]] during the intense workout session,The company's stock prices took a beating after the negative news,The old punching bag took a beating during the intense workout session,took a beating,nahm eine Prügel,Die Aktienkurse des Unternehmens schlugen nach den negativen Nachrichten,Der alte Boxsack schlug während der intensiven Trainingseinheit,חטפתי מכות.,מחירי המניות של החברה ספגו מכות לאחר החדשות השליליות.,שק האגרוף הזקן חטף מכות במהלך האימון האינטנסיבי.,एक मार लिया,कंपनी की स्टॉक कीमतों ने नकारात्मक समाचारों के बाद हड़ताल की।,उस पुरानी पंचिंग बैग ने तीव्र रक्‍ताधान सत्र के दौरान एक वार लिया,Verést kapott,A cég részvényeinek árfolyama a negatív hírek után zuhant.,A régi lyukasztó táska verést kapott az intenzív edzés során,,,,Recibió una paliza,Los precios de las acciones de la compañía recibieron una paliza después de las noticias negativas,El viejo saco de boxeo recibió una paliza durante la sesión de entrenamiento intenso,Wón bèrè sí lù wón,Ọpọ ilé-iṣẹ náà gba owó-orí lẹyìn tí ìròyìn búburú náà ti jáde,"Nígbà tí wón ń ṣe iṣé àṣekára náà, àpò tí wón ti ń tójú télè bèrè sí lù wón",挨打,公司股票价格在负面消息后遭到暴打,旧的打拳袋在密集的锻炼过程中被打
take a cue from,to do what is recommended by someone else,You should [[take a cue from her]] and start organizing your time better,"During the pool game, he decided to [[take a cue from her]] and use her favorite one",You should take a cue from her and start organizing your time better,"During the pool game, he decided to take a cue from her and use her favorite one",take a cue from her,Nimm ein Cue von ihr,"Sie sollten ein Stichwort von ihr nehmen und anfangen, Ihre Zeit besser zu organisieren","Während des Billardspiels entschied er sich, ein Stichwort von ihr zu nehmen und ihr Lieblingsspiel zu benutzen.",קח סימן ממנה.,אתה צריך לקחת אות ממנה ולהתחיל לארגן את הזמן שלך טוב יותר,"במהלך משחק הבריכה, הוא החליט לקחת אות ממנה ולהשתמש אחד האהוב עליה",उससे एक क्यू ले लो,आप उससे एक क्यू लेना चाहिए और अपने समय को बेहतर आयोजित करना शुरू करें,"पूल खेल के दौरान, उसने उससे एक क्यू लेने का फैसला किया और उसे पसंद किया",Vegyünk egy cue-t tőle,"Fogadj el tőle egy jelet, és kezdd el jobban szervezni az idődet.","A medence játék, úgy döntött, hogy egy cue tőle, és használja a kedvenc egy",,,,tomar una señal de ella,Usted debe tomar una señal de ella y empezar a organizar mejor su tiempo,"Durante el juego de billar, decidió seguir el ejemplo de ella y usar su favorito.",Jé kí ọmọ rẹ mọ ohun tó yẹ kó ṣe,"O gbódò máa bá a kégbé, kó o sì máa ṣètò àkókò rẹ lónà tó dára ju ti télè lọ","Nígbà tí wón ń ṣe eré tí wón féràn jù lọ nínú adágún náà, ó pinnu láti mú kétékété kan látinú rè, ó sì lo òkan lára àwọn ohun tó féràn jù lọ",给她一个提示,你应该从她那里得到提示 并开始组织好你的时间,"在游泳池比赛中,他决定从她那里得到一个提示,并使用她最喜欢的一个"
take a hike,go away,"When he insulted her, she told him [[to take a hike]]","On a sunny day, they decided [[to take a hike]] in the nearby forest","When he insulted her, she told him to take a hike","On a sunny day, they decided to take a hike in the nearby forest",to take a hike,um eine Wanderung zu machen,"Als er sie beleidigte, sagte sie ihm, er solle eine wanderung machen.","An einem sonnigen Tag beschlossen sie, eine Wanderung im nahe gelegenen Wald zu unternehmen.",לצאת לטיול.,"כשהוא העליב אותה, היא אמרה לו להסתלק.","ביום שמשי, הם החליטו לטייל ביער הסמוך.",एक लेन-देन लेने के लिए,"जब उसने उसका अपमान किया, तो उसने उससे कहा कि वह एक लड़की को ले जाए","एक धूप के दिन, उन्होंने पास के जंगल में एक जहाज़ लेने का फैसला किया",Tegyünk egy sétát,"Amikor megsértette, azt mondta neki, hogy menjen ki.","Egy napsütéses napon úgy döntöttek, hogy kirándulnak a közeli erdőben.",,,,para tomar una caminata,"Cuando él la insultó, ella le dijo que hiciera una caminata.","En un día soleado, decidieron hacer una caminata en el bosque cercano.",láti mú òpá ìdiwòn,"Nígbà tó fìbínú sòrò sí i, ó sọ fún un pé kó gbé ẹrù kan","Lójó kan tí oòrùn mú gan - an, wón pinnu láti lọ gbé ẹrù kan nínú igbó tó wà nítòsí",徒步旅行,"当他侮辱她时,她叫他远走高飞","在阳光明媚的一天,他们决定在附近的森林里徒步旅行"
take a leaf out of someone's book,implement actionable advice,"To improve my work ethic, I decided to [[take a leaf out of her book]] and wake up early","To press and preserve the leaf, I had to carefully [[take a leaf out of her book]] of botanical specimens","To improve my work ethic, I decided to take a leaf out of her book and wake up early","To press and preserve the leaf, I had to carefully take a leaf out of her book of botanical specimens",take a leaf out of her book,Nimm ein Blatt aus ihrem Buch,"Um meine Arbeitsmoral zu verbessern, beschloss ich, ein Blatt aus ihrem Buch zu nehmen und früh aufzuwachen.","Um das Blatt zu drücken und zu konservieren, musste ich vorsichtig ein Blatt aus ihrem Buch mit botanischen Exemplaren nehmen.",תוציא עלה מהספר שלה.,"כדי לשפר את מוסר העבודה שלי, החלטתי להוציא עלה מספרה ולקום מוקדם","כדי ללחוץ ולשמור על העלה, הייתי צריך לקחת בזהירות עלה מתוך הספר שלה של דגימות בוטניות",उसकी किताब में से एक पत्ता ले लो,अपने काम में सुधार लाने के लिए मैंने फैसला किया कि मैं उसकी किताब में से एक पत्ती निकाल दूँगा और जल्द - से - जल्द जागूँगा,"उस पत्ती को दबाने और उसे सुरक्षित रखने के लिए, मुझे उसकी पुस्तक में से एक पत्ते को सावधानी से निकालना पड़ा ।",Vegyen ki egy levelet a könyvéből,"Hogy javítsam a munkamorálomat, úgy döntöttem, hogy kiveszek egy levelet a könyvéből, és korán felébredek.","Ahhoz, hogy megnyomjam és megőrizzem a levelet, gondosan ki kellett vennem egy levelet a botanikai példányairól szóló könyvéből.",,,,sacar una hoja de su libro,"Para mejorar mi ética de trabajo, decidí sacar una hoja de su libro y despertar temprano.","Para presionar y preservar la hoja, tuve que tomar cuidadosamente una hoja de su libro de especímenes botánicos.",yọ ewé kan nínú ìwé rè,"Kí n lè túbò fọwó pàtàkì mú iṣé oúnjẹ òòjó mi, mo pinnu láti mú ewé kan jáde látinú ìwé rè, kí n sì jí i dìde","Kí n lè tẹ ewé náà jáde, kí n sì tó lè tójú rè, mo ní láti fara balè mú ewé kan jáde látinú ìwé rè tó ní àwọn èròjà atasánsán nínú",从她的书中取出一片叶子,"为了改进我的工作道德,我决定从她的书里拿出一片叶子,早早醒来",为了按和保存叶子 我不得不小心地从她的植物标本书中取出一片叶子
