idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_f_de_google,p_l_de_google,p_a_de_google,p_f_he_google,p_l_he_google,p_a_he_google,p_f_hi_google,p_l_hi_google,p_a_hi_google,p_f_hu_google,p_l_hu_google,p_a_hu_google,p_f_ko_google,p_l_ko_google,p_a_ko_google,p_f_es_google,p_l_es_google,p_a_es_google,p_f_yo_google,p_l_yo_google,p_a_yo_google,p_f_zh_google,p_l_zh_google,p_a_zh_google
velvet glove,"a person who appears gentle, but is determined and inflexible underneath",The manager [[was wearing a velvet glove]] when he gently guided the team through the crisis,"At the costume party, she [[was wearing a velvet glove]] as part of her elegant outfit",The manager was wearing a velvet glove when he gently guided the team through the crisis,"At the costume party, she was wearing a velvet glove as part of her elegant outfit",was wearing a velvet glove,"Der Manager trug einen Samthandschuh, als er das Team behutsam durch die Krise führte",Auf der Kostümparty trug sie als Teil ihres eleganten Outfits einen Samthandschuh,trug einen Samthandschuh,המנהל לבש כפפת קטיפה כשהדריך את הצוות בעדינות לאורך המשבר,במסיבת התחפושות היא לבשה כפפת קטיפה כחלק מהתלבושת האלגנטית שלה,לבש כפפת קטיפה,प्रबंधक ने मखमली दस्ताने पहने हुए थे जब उन्होंने संकट के समय टीम का धीरे से मार्गदर्शन किया,"कॉस्ट्यूम पार्टी में, उसने अपने सुरुचिपूर्ण पोशाक के हिस्से के रूप में मखमली दस्ताने पहने हुए थे",मखमली दस्ताना पहन रखा था,"A menedzser bársonykesztyűt viselt, amikor finoman átvezette a csapatot a válságon",A jelmezes bulin elegáns ruhája részeként bársonykesztyűt viselt,bársonykesztyűt viselt,매니저는 위기를 통해 팀을 부드럽게 인도할 때 벨벳 장갑을 끼고 있었다,코스튬 파티에서 그녀는 우아한 의상의 일부로 벨벳 장갑을 끼고 있었습니다.,벨벳 장갑을 끼고 있었다,El técnico llevaba un guante de terciopelo cuando guió con delicadeza al equipo a través de la crisis.,"En la fiesta de disfraces, lució un guante de terciopelo como parte de su elegante atuendo.",llevaba un guante de terciopelo,Oluṣakoso naa wọ ibọwọ felifeti nigbati o rọra dari ẹgbẹ naa nipasẹ aawọ naa,"Ni ibi ayẹyẹ aṣọ, o wọ ibọwọ felifeti kan gẹgẹbi apakan ti aṣọ didara rẹ",ti wọ a felifeti ibowo,经理温柔地带领团队度过危机时戴着天鹅绒手套,在化装舞会上，她戴着天鹅绒手套作为她优雅装束的一部分,戴着天鹅绒手套
voice in the wilderness,"someone who expresses an opinion that no one believes or listens to, especially if proved right later",His environmental concerns were [[a voice in the wilderness]] among the industrialists,"While hiking alone, she suddenly heard [[a voice in the wilderness]] and got scared",His environmental concerns were a voice in the wilderness among the industrialists,"While hiking alone, she suddenly heard a voice in the wilderness and got scared",a voice in the wilderness,Seine Umweltbelange waren eine Stimme in der Wildnis unter den Industriellen,"Als sie alleine wanderte, hörte sie plötzlich eine Stimme in der Wildnis und bekam Angst",eine Stimme in der Wildnis,דאגותיו הסביבתיות היו קול במדבר בקרב התעשיינים,"תוך כדי טיול לבד, היא שמעה לפתע קול במדבר ונבהלה",קול במדבר,उनकी पर्यावरण संबंधी चिंताएँ उद्योगपतियों के बीच जंगल में एक आवाज़ थीं,"अकेले लंबी पैदल यात्रा के दौरान, उसे अचानक जंगल में एक आवाज सुनाई दी और वह डर गई",जंगल में एक आवाज,Környezetvédelmi aggodalmai hangot adtak a vadonban az iparosok körében,"Egyedül túrázás közben hirtelen hangot hallott a vadonban, és megijedt",egy hang a vadonban,그의 환경 문제는 산업가들 사이에서 광야의 목소리였습니다.,혼자 산행을 하던 그녀는 갑자기 광야에서 목소리를 듣고 겁이 났다.,광야에서 한 소리,Sus preocupaciones ambientales fueron una voz en el desierto entre los industriales.,"Mientras caminaba sola, de repente escuchó una voz en el desierto y se asustó.",una voz en el desierto,Awọn ifiyesi ayika rẹ jẹ ohun kan ni aginju laarin awọn oniṣẹ ẹrọ,"Lakoko ti o nrin nikan, o gbọ ohùn kan lojiji ni aginju o si bẹru",ohùn kan ni ijù,他的环境问题是实业家在荒野中的声音,一个人徒步，突然听到荒野有声音，吓了一跳,旷野中的声音
vultures are circling,when something is in danger and its enemies are getting ready for the kill,"As the company's stock plummeted, [[the vultures are circling]] to buy it cheap","While observing the desert landscape, we noticed [[the vultures are circling]] above a carcass","As the company's stock plummeted, the vultures are circling to buy it cheap","While observing the desert landscape, we noticed the vultures are circling above a carcass",the vultures are circling,"Während die Aktien des Unternehmens einbrachen, sind die Geier auf der Suche nach einem günstigen Kauf","Während wir die Wüstenlandschaft beobachteten, bemerkten wir, dass die Geier über einem Kadaver kreisten",Die Geier kreisen,"ככל שמניית החברה צנחה, הנשרים מסתובבים לקנות אותה בזול","תוך כדי התבוננות בנוף המדברי, הבחנו שהנשרים מסתובבים מעל פגר",הנשרים מסתובבים,कंपनी के शेयर में गिरावट के साथ ही गिद्ध इसे सस्ते में खरीदने के लिए चक्कर लगा रहे हैं,मरुस्थल का अवलोकन करते हुए हमने देखा कि गिद्ध शव के ऊपर चक्कर लगा रहे हैं,गिद्ध चक्कर लगा रहे हैं,"Ahogy a cég részvényei zuhantak, a keselyűk azért keringenek, hogy olcsón megvegyék","A sivatagi táj megfigyelése közben észrevettük, hogy a keselyűk egy tetem felett keringenek",a keselyűk keringenek,회사 주가가 폭락하자 싸게 사려고 독수리들이 돌고 있다.,사막 풍경을 관찰하는 동안 우리는 독수리가 시체 위를 맴돌고 있는 것을 발견했습니다.,독수리들이 맴돌고 있다,"A medida que las acciones de la compañía se desplomaron, los buitres están dando vueltas para comprarlas baratas.","Mientras observamos el paisaje desértico, notamos que los buitres vuelan en círculos sobre un cadáver.",los buitres están dando vueltas,"Bí ọjà ilé-iṣẹ́ náà ṣe ń lọ sóde, àwọn ẹyẹ ìdìtẹ̀ ń yí ká láti ra á","Nígbà tí a ń wo ilẹ̀ aṣálẹ̀, a ṣàkíyèsí pé àwọn ẹyẹ ìdìtẹ̀ ń yípo lókè òkú kan",àwọn ẹyẹ-ẹ̀yẹ ń yí ká,公司股价暴跌，秃鹰盘旋低价买入,在观察沙漠景观时，我们注意到秃鹰在尸体上方盘旋,秃鹰在盘旋
wag the dog,to divert attention from something that is bad,The politician [[was wagging the dog]] by creating a diversion from the scandal,The playful puppy [[was wagging the dog]] by grabbing its tail,The politician was wagging the dog by creating a diversion from the scandal,The playful puppy was wagging the dog by grabbing its tail,was wagging the dog,"Der Politiker wedelte mit dem Hund, indem er eine Ablenkung vom Skandal schaffte","Der verspielte Welpe wedelte mit dem Hund, indem er seinen Schwanz packte",wedelte mit dem Hund,הפוליטיקאי כשכש בכלב על ידי יצירת הסחה מהסקנדל,הגור השובב כשכש בכלב על ידי אחיזת זנבו,היה מכשכש בכלב,घोटाले से ध्यान भटकाकर नेता कुत्ते को दुलार रहे थे,चंचल पिल्ला कुत्ते की पूँछ पकड़ कर उसे हिला रहा था,कुत्ता हिला रहा था,"A politikus a kutyát csóválta azzal, hogy elterelte a botrányt",A játékos kiskutya a farkát fogva csóválta a kutyát,csóválta a kutyát,정치인은 스캔들로부터 기분 전환을 만들어 개를 흔들고 있었습니다.,장난꾸러기 강아지가 꼬리를 잡고 개를 흔들고 있었다,개를 흔들고 있었다,El político estaba moviendo al perro al crear una distracción del escándalo.,El cachorro juguetón meneaba al perro agarrándole la cola.,estaba meneando al perro,Oloṣelu naa n lu aja nipa ṣiṣẹda ipadasẹhin lati itanjẹ naa,Ọmọ aja elere ti n ta aja nipa gbigbe iru rẹ,ń gbá ajá,政客通过制造丑闻的转移来摇狗,这只顽皮的小狗抓着它的尾巴摇着狗,在摇狗
want his head on a platter,when someone makes you so angry that you want them to be punished,She was so furious with him that she [[wanted his head on a platter]],The eccentric artist [[wanted his head on a platter]] for a macabre sculpture,She was so furious with him that she wanted his head on a platter,The eccentric artist wanted his head on a platter for a macabre sculpture,wanted his head on a platter,"Sie war so wütend auf ihn, dass sie seinen Kopf auf einem Teller haben wollte",Der exzentrische Künstler wollte seinen Kopf auf einer Platte für eine makabre Skulptur haben,wollte seinen Kopf auf einem Tablett haben,היא כל כך כעסה עליו שהיא רצתה את ראשו על מגש,האמן האקסצנטרי רצה את ראשו על מגש עבור פסל מקאברי,רצה את ראשו על מגש,वह उससे इतनी नाराज थी कि वह उसका सिर एक थाल पर रखना चाहती थी,सनकी कलाकार एक भयानक मूर्तिकला के लिए अपना सिर थाली में रखना चाहता था,एक थाल पर उसका सिर चाहता था,"Annyira dühös volt rá, hogy egy tálra akarta tenni a fejét",A különc művész egy hátborzongató szoborhoz kívánta a fejét egy tálra,a fejét egy tálra akarta tenni,그녀는 그에게 너무 화가 나서 그의 머리를 접시에 담고 싶었습니다.,괴짜 예술가는 섬뜩한 조각품을 위해 플래터에 머리를 올려 놓기를 원했습니다.,플래터에 그의 머리를 원했다,Estaba tan furiosa con él que quería su cabeza en bandeja.,El excéntrico artista quería su cabeza en bandeja para una macabra escultura,quería su cabeza en bandeja,O binu pupọ si i pe o fẹ ori rẹ lori awopọkọ kan,Oṣere eccentric fẹ ori rẹ lori apẹrẹ kan fun ere ere macabre kan,fe ori re lori kan platter,她对他非常生气，想要把他的头放在盘子里,这位古怪的艺术家想把他的头放在盘子里做一个令人毛骨悚然的雕塑,想要他的头放在盘子里
wash dirty linen in public,discuss publicly matters that one should keep private,[[They washed their dirty linen in public]] by arguing about their personal issues on social media,[[They washed their dirty linen in public]] at the outdoor laundromat,They washed their dirty linen in public by arguing about their personal issues on social media,They washed their dirty linen in public at the outdoor laundromat,They washed their dirty linen in public,"Sie wuschen ihre schmutzige Wäsche in der Öffentlichkeit, indem sie in den sozialen Medien über ihre persönlichen Probleme stritten",Sie wuschen ihre schmutzige Wäsche öffentlich im Waschsalon im Freien,Sie wuschen ihre schmutzige Wäsche öffentlich,הם כיבסו את המצעים המלוכלכים שלהם בפומבי על ידי ויכוחים על הבעיות האישיות שלהם ברשתות החברתיות,הם כיבסו את המצעים המלוכלכים שלהם בפומבי במכבסה החיצונית,הם כיבסו את המצעים המלוכלכים שלהם בפומבי,उन्होंने सोशल मीडिया पर अपने व्यक्तिगत मुद्दों के बारे में बहस करके सार्वजनिक रूप से अपने गंदे कपड़े धोए,उन्होंने अपने गंदे लिनेन को आउटडोर लॉन्ड्रोमैट में सार्वजनिक रूप से धोया,उन्होंने अपने गंदे लिनन को सार्वजनिक रूप से धोया,"Piszkos ágyneműjüket nyilvánosan mosták ki, személyes problémáikról vitatkozva a közösségi médiában",A kinti mosodában nyilvánosan kimosták a koszos ágyneműt,Nyilvánosan kimosták a koszos ágyneműt,그들은 소셜 미디어에서 개인 문제에 대해 논쟁하면서 더러운 린넨을 공공 장소에서 빨았습니다.,그들은 야외 빨래방에서 공공장소에서 더러운 린넨을 세탁했습니다.,그들은 더러운 리넨을 공개적으로 세탁했습니다.,Lavaron la ropa sucia en público discutiendo sobre sus problemas personales en las redes sociales,Lavaron su ropa sucia en público en la lavandería al aire libre.,Lavaron su ropa sucia en público,Wọ́n fọ aṣọ ọ̀gbọ̀ ẹlẹ́gbin wọn ní gbangba nípa jiyàn nípa àwọn ọ̀ràn ti ara ẹni lórí ìkànnì àjọlò,Wọ́n fọ aṣọ ọ̀gbọ̀ ẹlẹ́gbin ní gbangba ní ibi ìfọṣọ níta,Wọ́n fọ aṣọ ọ̀gbọ̀ ẹlẹ́gbin ní gbangba,他们通过在社交媒体上争论他们的个人问题，在公共场合洗脏衣服,他们在户外自助洗衣店当众清洗脏衣服,他们在公共场合清洗脏衣服
wash hands of,abandon taking responsibility for someone or something,"After trying to help for months, they finally [[washed their hands of the situation]] and moved on",They [[washed their hands of the situation]] by using soap and water after touching something dirty,"After trying to help for months, they finally washed their hands of the situation and moved on",They washed their hands of the situation by using soap and water after touching something dirty,washed their hands of the situation,"Nachdem sie monatelang versucht hatten zu helfen, haben sie sich schließlich von der Situation befreit und zogen weiter","Sie reinigten sich mit Wasser und Seife von der Situation, nachdem sie etwas Schmutziges berührt hatten",haben ihre Hände von der Situation gewaschen,"לאחר שניסו לעזור במשך חודשים, הם סוף סוף שטפו את ידיהם מהמצב והמשיכו הלאה",הם שטפו את ידיהם מהמצב על ידי שימוש במים וסבון לאחר שנגעו במשהו מלוכלך,שטפו את ידיהם מהמצב,"महीनों तक मदद करने की कोशिश करने के बाद, आखिरकार उन्होंने स्थिति से हाथ धो लिया और आगे बढ़ गए",उन्होंने किसी गंदी चीज को छूने के बाद साबुन और पानी से स्थिति से हाथ धोए,स्थिति से हाथ धो लिया,"Miután hónapokig próbáltak segíteni, végül megmosták a kezüket a helyzetből, és továbbmentek","Szappannal és vízzel mosták meg a kezüket a helyzetről, miután megérintettek valami piszkot",megmosták a kezüket a helyzetből,몇 달 동안 도움을 주려고 노력한 끝에 그들은 마침내 상황에서 손을 씻고 다음 단계로 넘어갔습니다.,그들은 더러운 것을 만진 후 비누와 물로 손을 씻었습니다.,상황에서 손을 씻었습니다.,"Después de tratar de ayudar durante meses, finalmente se lavaron las manos de la situación y siguieron adelante.",Se lavaron las manos de la situación usando agua y jabón después de tocar algo sucio.,se lavaron las manos de la situación,"Lẹhin igbiyanju lati ṣe iranlọwọ fun awọn oṣu, nikẹhin wọn wẹ ọwọ wọn ti ipo naa ati gbe siwaju",Wọ́n fọ ọwọ́ ipò náà nípa lílo ọṣẹ àti omi lẹ́yìn tí wọ́n bá fọwọ́ kan ohun kan tí ó dọ̀tí,fo ọwọ wọn ti awọn ipo,在尝试了几个月的帮助之后，他们终于放弃了这种情况并继续前进,他们在接触脏东西后用肥皂和水洗手,洗手的情况
watchdog,"one who protects against loss, corruption, waste, or objectionable practices.",The company [[hired a watchdog]] to monitor their financial transactions,They [[hired a watchdog]] to guard their property at night,The company hired a watchdog to monitor their financial transactions,They hired a watchdog to guard their property at night,hired a watchdog,Das Unternehmen beauftragte einen Wachhund mit der Überwachung seiner Finanztransaktionen,"Sie stellten einen Wachhund ein, der ihr Eigentum nachts bewachen sollte",einen Wachhund angeheuert,החברה שכרה כלב שמירה כדי לפקח על העסקאות הפיננסיות שלהם,הם שכרו כלב שמירה שישמור על רכושם בלילה,שכרו כלב שמירה,कंपनी ने अपने वित्तीय लेनदेन की निगरानी के लिए एक प्रहरी नियुक्त किया,उन्होंने रात में अपनी संपत्ति की रखवाली के लिए एक चौकीदार को काम पर रखा था,एक प्रहरी नियुक्त किया,A cég felvette a felügyeletet a pénzügyi tranzakcióik megfigyelésére,"Felfogadtak egy házőrző kutyát, aki éjszaka őrizte a tulajdonukat",felbérelt egy őrzőkutyát,회사는 금융 거래를 감시하기 위해 감시인을 고용했습니다.,그들은 밤에 그들의 재산을 지키기 위해 감시견을 고용했습니다.,감시견을 고용했다,La empresa contrató a un organismo de control para monitorear sus transacciones financieras,Contrataron un perro guardián para vigilar su propiedad por la noche.,contrató un perro guardián,Ile-iṣẹ naa bẹwẹ oluṣọ kan lati ṣe atẹle awọn iṣowo owo wọn,Wọ́n yá ajá kan láti máa ṣọ́ ohun ìní wọn lálẹ́,yá a ajafitafita,公司聘请了监管机构来监控他们的财务交易,他们雇了一只看门狗在晚上看守他们的财产,雇了一个看门狗
went through the mill,"you experience a very difficult period, or are exposed to rough treatment",They [[went through the mill together]] during the tough times in their relationship,The wheat [[went through the mill together]] to be ground into flour,They went through the mill together during the tough times in their relationship,The wheat went through the mill together to be ground into flour,went through the mill together,In den schwierigen Zeiten ihrer Beziehung gingen sie gemeinsam durch die Mühlen,"Der Weizen ging gemeinsam durch die Mühle, um zu Mehl gemahlen zu werden",gemeinsam durch die Mühle gegangen,הם עברו את הטחנה יחד בזמנים הקשים במערכת היחסים שלהם,החיטה עברה יחד דרך הטחנה כדי לטחון לקמח,עברו יחד את הטחנה,वे अपने रिश्ते में कठिन समय के दौरान एक साथ मिल गए,गेहूँ मिल में पिस कर आटा बन गया,एक साथ चक्की से गुजरा,Kapcsolatuk nehéz időszakaiban együtt mentek keresztül a malmon,"A búza együtt ment át a malmon, hogy lisztté őröljék",együtt mentek át a malmon,그들은 그들의 관계에서 힘든 시기에 함께 공장을 거쳤습니다.,밀이 함께 맷돌로 들어가서 가루가 되리라,함께 방앗간을 거쳤다,Pasaron por el molino juntos durante los tiempos difíciles en su relación.,El trigo pasó por el molino junto para ser molido en harina.,pasamos juntos por el molino,Wọn lọ nipasẹ ọlọ papọ lakoko awọn akoko lile ni ibatan wọn,Àlìkámà náà gba inú ọlọ lọ́pọ̀ láti fi lọ̀ ọ́ di ìyẹ̀fun,lọ nipasẹ awọn ọlọ jọ,在他们关系的艰难时期，他们一起经历了磨难,小麦一起经过磨坊被磨成面粉,一起走过磨坊
wet behind the ears,immature or poor skill,The new intern is [[still wet behind the ears]] and needs guidance,"After swimming, she was [[still wet behind the ears]] despite toweling off",The new intern is still wet behind the ears and needs guidance,"After swimming, she was still wet behind the ears despite toweling off",still wet behind the ears,Der neue Praktikant ist noch nass hinter den Ohren und braucht Anleitung,Nach dem Schwimmen war sie trotz Abtrocknen immer noch nass hinter den Ohren,immer noch nass hinter den Ohren,המתמחה החדש עדיין רטוב מאחורי האוזניים וזקוק להכוונה,"לאחר השחייה, היא עדיין הייתה רטובה מאחורי האוזניים למרות שהמגבת נעלמה",עדיין רטוב מאחורי האוזניים,नया इंटर्न अभी भी कानों के पीछे गीला है और उसे मार्गदर्शन की जरूरत है,"तैरने के बाद, तौलिये के बावजूद भी वह कानों के पीछे गीली थी",अभी भी कानों के पीछे गीला है,"Az új gyakornok még mindig nedves a füle mögött, és útmutatásra van szüksége","Úszás után még mindig nedves volt a füle mögött, annak ellenére, hogy letörölközött",még nedves a füle mögött,신입 인턴은 여전히 ​​귀 뒤에 젖어 지도가 필요합니다.,수영 후 수건으로 닦아도 귀 뒤가 젖어 있었다.,여전히 귀 뒤에 젖어,El nuevo interno todavía está mojado detrás de las orejas y necesita orientación.,"Después de nadar, todavía estaba mojada detrás de las orejas a pesar de secarse con una toalla.",todavía mojado detrás de las orejas,Akọṣẹ tuntun tun jẹ tutu lẹhin awọn etí ati nilo itọsọna,"Lẹhin ti o we, o tun jẹ tutu lẹhin awọn etí pelu aṣọ inura ni pipa",si tun tutu sile awọn etí,新来的实习生还是耳濡目染，需要指导,游泳后，尽管用毛巾擦掉，她的耳朵后面还是湿的,耳朵后面还是湿的
wet the baby's head,to have drink to celebrate the birth of a baby,"After the birth of their child, they invited friends over to [[wet the baby's head]] with a small celebration","During the baptism ceremony, the priest gently [[wet the baby's head]] with holy water","After the birth of their child, they invited friends over to wet the baby's head with a small celebration","During the baptism ceremony, the priest gently wet the baby's head with holy water",wet the baby's head,"Nach der Geburt ihres Kindes luden sie Freunde ein, um dem Baby mit einer kleinen Feier den Kopf zu benetzen",Während der Taufzeremonie befeuchtet der Priester den Kopf des Babys sanft mit Weihwasser,Befeuchten Sie den Kopf des Babys,"לאחר לידת ילדם, הם הזמינו חברים להרטיב את ראשו של התינוק בחגיגה קטנה","במהלך טקס הטבילה, הכומר הרטיב בעדינות את ראשו של התינוק במים קדושים",להרטיב את ראשו של התינוק,"अपने बच्चे के जन्म के बाद, उन्होंने एक छोटे से उत्सव के साथ बच्चे के सिर को गीला करने के लिए दोस्तों को आमंत्रित किया","बपतिस्मा समारोह के दौरान, पुजारी धीरे से बच्चे के सिर को पवित्र जल से गीला कर देता है",बच्चे के सिर को गीला करो,"Gyermekük születése után meghívták barátaikat, hogy egy kis ünnepléssel megnedvesítsék a baba fejét",A keresztelési szertartás alatt a pap gyengéden megnedvesítette a baba fejét szenteltvízzel,nedvesítse meg a baba fejét,아이가 태어난 후 그들은 친구들을 초대하여 아기의 머리를 적시고 작은 축하를 했습니다.,세례식이 진행되는 동안 사제는 아기의 머리를 성수로 부드럽게 적십니다.,아기의 머리를 적시다,"Después del nacimiento de su hijo, invitaron a amigos a mojar la cabeza del bebé con una pequeña celebración.","Durante la ceremonia del bautismo, el sacerdote humedece suavemente la cabeza del bebé con agua bendita",mojar la cabeza del bebé,"Lẹ́yìn tí wọ́n bí ọmọ wọn, wọ́n ké sí àwọn ọ̀rẹ́ rẹ̀ pé kí wọ́n wá fi àsè kékeré kan rọ orí ọmọ náà","Nígbà ayẹyẹ ìbatisí, àlùfáà rọra fi omi mímọ́ fi omi wẹ orí ọmọ náà",tutu ori omo,孩子出生后，他们邀请朋友过来为婴儿湿头举行了一个小小的庆祝活动,在洗礼仪式上，神父用圣水轻轻地湿润婴儿的头部,弄湿宝宝的头
whatever floats my boat,"although you don't quite agree with someone, it's their choice and you think they should so whatever makes them happy","When it comes to choosing a hobby, I believe in [[whatever floats my boat]]","I'm open to trying any buoyant object, [[whatever floats my boat]] on the lake","When it comes to choosing a hobby, I believe in whatever floats my boat","I'm open to trying any buoyant object, whatever floats my boat on the lake",whatever floats my boat,"Wenn es um die Wahl eines Hobbys geht, glaube ich an alles, was mir gefällt","Ich bin offen dafür, jedes schwimmfähige Objekt auszuprobieren, egal, was auch immer mein Boot auf dem See schwimmt",was auch immer mein Boot schwimmt,"כשזה מגיע לבחירת תחביב, אני מאמין בכל מה שצף לי בסירה","אני פתוח לנסות כל חפץ צף, כל מה שמרחף את הסירה שלי על האגם",מה שצף לי בסירה,"जब कोई शौक चुनने की बात आती है, तो मैं उस पर विश्वास करता हूं जो मेरी नाव को तैराता है","मैं किसी भी उत्प्लावक वस्तु को आज़माने के लिए तैयार हूँ, जो भी मेरी नाव झील पर तैरती है",मेरी नाव जो भी तैरती है,"Ha hobbit kell választani, abban hiszek, ami a hajómban lebeg","Nyitott vagyok bármilyen lebegő tárgyat kipróbálni, bármi úszik is a csónakommal a tavon",bármi úszik is a csónakomon,취미를 고를 때 나는 내 배를 떠다니는 것을 믿는다,나는 부력이 있는 물체라면 무엇이든 시도할 준비가 되어 있습니다. 호수에 보트를 띄우면 무엇이든,내 배를 뜨는 것은 무엇이든,"Cuando se trata de elegir un pasatiempo, creo en lo que sea que haga flotar mi bote.","Estoy abierto a probar cualquier objeto flotante, lo que haga flotar mi bote en el lago.",lo que sea que flote mi bote,"Nigba ti o ba de si yiyan a ifisere, Mo gbagbo ninu ohunkohun ti floats mi ọkọ","Mo wa ni sisi lati gbiyanju eyikeyi ohun alarinrin, ohunkohun ti o leefofo ọkọ mi lori adagun",ohunkohun ti floats mi ọkọ,在选择爱好时，我相信任何让我的船漂浮的东西,我愿意尝试任何有浮力的物体，无论是什么让我的船漂浮在湖面上,无论什么漂浮我的船
wheels fall off,when a situation gets out of control and everything starts to go wrong,"After a series of setbacks, [[the wheels fell off]] our project","Due to a manufacturing defect, [[the wheels fell off]] the toy car","After a series of setbacks, the wheels fell off our project","Due to a manufacturing defect, the wheels fell off the toy car",the wheels fell off,Nach einer Reihe von Rückschlägen geriet unser Projekt aus den Fugen,Aufgrund eines Herstellungsfehlers sind die Räder vom Spielzeugauto abgefallen,die Räder sind abgefallen,"לאחר סדרה של כישלונות, הגלגלים נפלו מהפרויקט שלנו","עקב פגם בייצור, הגלגלים נפלו ממכונית הצעצוע",הגלגלים נפלו,"असफलताओं की एक श्रृंखला के बाद, पहिए हमारी परियोजना से गिर गए","निर्माण दोष के कारण, खिलौना कार के पहिए गिर गए",पहिए गिर गए,A sorozatos kudarcok után a kerekek leestek a projektünkről,Gyártási hiba miatt a kerekek leestek a játékautóról,leestek a kerekek,일련의 좌절 끝에 우리 프로젝트에서 바퀴가 떨어졌습니다.,제조 결함으로 인해 장난감 자동차에서 바퀴가 떨어졌습니다.,바퀴가 떨어졌다,"Después de una serie de contratiempos, se le cayeron las ruedas a nuestro proyecto","Debido a un defecto de fabricación, las ruedas se cayeron del coche de juguete.",las ruedas se cayeron,"Lẹhin ọpọlọpọ awọn ifaseyin, awọn kẹkẹ ṣubu kuro ni iṣẹ akanṣe wa","Nitori abawọn iṣelọpọ, awọn kẹkẹ ṣubu kuro ni ọkọ ayọkẹlẹ isere",awọn kẹkẹ ṣubu ni pipa,经过一系列的挫折，我们项目的轮子掉了下来,由于制造缺陷，车轮从玩具车上脱落,轮子掉了
when the chips are down,when a situation is urgent or desperate.,He always comes through [[when the chips are down]] and we need him the most,The poker game gets intense [[when the chips are down]] on the table,He always comes through when the chips are down and we need him the most,The poker game gets intense when the chips are down on the table,when the chips are down,"Er kommt immer dann zum Einsatz, wenn es hart auf hart kommt und wir ihn am meisten brauchen","Das Pokerspiel wird intensiver, wenn die Chips auf dem Tisch liegen",wenn es hart auf hart kommt,הוא תמיד מגיע כשהצ'יפס ירד ואנחנו הכי צריכים אותו,משחק הפוקר נעשה אינטנסיבי כאשר הצ'יפים מונחים על השולחן,כאשר הצ'יפס ירד,वह हमेशा तब आता है जब मुश्किलें कम होती हैं और हमें उसकी सबसे ज्यादा जरूरत होती है,पोकर का खेल तब तीव्र हो जाता है जब चिप्स मेज पर गिर जाते हैं,जब चिप्स नीचे हैं,"Mindig átjön, amikor lefogynak a zsetonok, és rá van a legnagyobb szükségünk","A pókerjáték intenzívebbé válik, amikor a zsetonok lekerülnek az asztalra",amikor a chipek lemerültek,그는 칩이 떨어질 때 항상 나타나며 우리는 그를 가장 필요로 합니다.,칩이 테이블에 떨어지면 포커 게임이 격렬해집니다.,막상 일이 닥치면,Siempre aparece cuando las fichas están bajas y lo necesitamos más.,El juego de póquer se vuelve intenso cuando las fichas están sobre la mesa.,cuando las fichas están abajo,O nigbagbogbo wa nipasẹ nigbati awọn eerun wa ni isalẹ ati awọn ti a nilo rẹ julọ,Awọn poka game n ni intense nigbati awọn eerun wa ni isalẹ lori tabili,nigbati awọn eerun wa ni isalẹ,当筹码下降而我们最需要他时，他总是挺身而出,当筹码落在桌面上时，扑克游戏变得激烈,当筹码下降时
where the rubber meets the road,when you have to face your challenges,The new employee will face a real challenge [[where the rubber meets the road]] in the upcoming project,The intersection is [[where the rubber meets the road]] as cars pass by,The new employee will face a real challenge where the rubber meets the road in the upcoming project,The intersection is where the rubber meets the road as cars pass by,where the rubber meets the road,"Der neue Mitarbeiter wird im kommenden Projekt vor einer echten Herausforderung stehen, bei der der Gummi auf die Straße trifft","An der Kreuzung trifft der Gummi auf die Straße, wenn Autos vorbeifahren",wo der Gummi auf die Straße trifft,העובד החדש יעמוד בפני אתגר אמיתי שבו הגומי פוגש את הדרך בפרויקט הקרוב,הצומת הוא המקום שבו הגומי פוגש את הכביש כשמכוניות חולפות,היכן שהגומי פוגש את הכביש,नए कर्मचारी को एक वास्तविक चुनौती का सामना करना पड़ेगा जहां रबर आगामी परियोजना में सड़क से मिलता है,चौराहा वह जगह है जहां रबर सड़क से मिलता है क्योंकि कारें गुजरती हैं,जहां रबर सड़क से मिलती है,"Az új alkalmazott igazi kihívással néz szembe, ahol a gumi találkozik az úttal a következő projektben","A kereszteződés az a hely, ahol a gumi találkozik az úttal, amikor az autók elhaladnak mellette",ahol a gumi találkozik az úttal,신입 사원은 다가오는 프로젝트에서 고무가 도로를 만나는 진정한 도전에 직면하게 될 것입니다.,교차로는 자동차가 지나갈 때 고무가 도로와 만나는 곳입니다.,고무가 도로와 만나는 곳,El nuevo empleado se enfrentará a un verdadero desafío donde el caucho se encuentra con la carretera en el próximo proyecto.,La intersección es donde el caucho se encuentra con la carretera cuando pasan los autos.,donde el caucho se encuentra con la carretera,Oṣiṣẹ tuntun yoo koju ipenija gidi kan nibiti roba ti pade ni opopona ni iṣẹ akanṣe ti n bọ,Ikorita ni ibi ti rọba pade ni opopona bi awọn ọkọ ayọkẹlẹ ti nkọja lọ,ibi ti roba pàdé ni opopona,新员工将面临真正的挑战，即在即将开展的项目中遇到困难,十字路口是汽车经过时橡胶与道路相遇的地方,橡胶与道路相遇的地方
