idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt
keep your nose clean,to stay out of trouble by not doing anything wrong,"To avoid getting into trouble, focus on [[keeping your nose clean]] at work","During allergy season, [[keeping your nose clean]] is essential for comfort","To avoid getting into trouble, focus on keeping your nose clean at work","During allergy season, keeping your nose clean is essential for comfort",keeping your nose clean,Az allergia szezon alatt az orr tisztán tartása elengedhetetlen a kényelem érdekében.
kick the bucket,to die,"The old couple, inseparable in life, [[kicked the bucket together]] in their sleep","While cleaning the barn, they accidentally [[kicked the bucket together]] and spilled water everywhere","The old couple, inseparable in life, kicked the bucket together in their sleep","While cleaning the barn, they accidentally kicked the bucket together and spilled water everywhere",kicked the bucket together,"Miközben takarították az istállót, véletlenül együtt rúgták fel a vödröt és mindenhol szétfröccsent a víz."
kick yourself,to be angry with yourself for something you have or have not done,They [[kicked themselves]] for not investing in the stock earlier,"During the yoga class, they accidentally [[kicked themselves]] while attempting a new pose",They kicked themselves for not investing in the stock earlier,"During the yoga class, they accidentally kicked themselves while attempting a new pose",kicked themselves,"A jógaóra során véletlenül rúgták magukat, amikor egy új pózt próbáltak ki."
kill two birds with one stone,accomplish two different things at the same time,"By combining our errands, we [[killed two birds with one stone]] and saved time","With a well-aimed throw, he [[killed two birds with one stone]] in the field","By combining our errands, we killed two birds with one stone and saved time","With a well-aimed throw, he killed two birds with one stone in the field",killed two birds with one stone,Egy jól irányzott dobással két legyet ütött egy csapásra a mezőn.
kiss and make up,to become friendly again after an argument,"After the argument, he decided [[to kiss and make up with her]] to resolve their differences","During the play, the actors had [[to kiss and make up with her]] as part of the scene","After the argument, he decided to kiss and make up with her to resolve their differences","During the play, the actors had to kiss and make up with her as part of the scene",to kiss and make up with her,A játék során a színészeknek meg kellett csókolniuk és kibékülniük vele a jelenet részeként.
knee jerk reaction,an automatic response to something,His sudden outburst was [[a knee jerk reaction to the news]] of the company's bankruptcy,"The doctor tapped his patient's leg, causing [[a knee jerk reaction to the news]] of the reflex hammer",His sudden outburst was a knee jerk reaction to the news of the company's bankruptcy,"The doctor tapped his patient's leg, causing a knee jerk reaction to the news of the reflex hammer",a knee jerk reaction to the news,"A doktor megkopogtatta a betege lábát, ami a reflexkalapács hírére térkép reflexet váltott ki."
knock on wood,tap knuckle on wood in order to avoid bad luck,"Hoping for good luck, [[she knocked on wood]] before the big presentation","To test the sturdiness of the table, [[she knocked on wood]]","Hoping for good luck, she knocked on wood before the big presentation","To test the sturdiness of the table, she knocked on wood",she knocked on wood,Az asztal ellenállóságának tesztelése érdekében kopogott a fafelületen.
know the ropes,to know all the ways and means to get something done,"Having worked there for years, [[he knew the ropes well]] and could handle any task","As an experienced sailor, [[he knew the ropes well]] and could tie any knot","Having worked there for years, he knew the ropes well and could handle any task","As an experienced sailor, he knew the ropes well and could tie any knot",he knew the ropes well,"Mint tapasztalt tengerész, jól ismerte a köteleket és bármilyen csomót meg tudott kötni."
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,"He always supports the boss's decisions, showing that he [[knows which side his bread is buttered]]",He carefully observed the sandwich and [[knows which side his bread is buttered]] to avoid getting his hands greasy,"He always supports the boss's decisions, showing that he knows which side his bread is buttered",He carefully observed the sandwich and knows which side his bread is buttered to avoid getting his hands greasy,knows which side his bread is buttered,"Ő óvatosan megfigyelte a szendvicset, és tudja, hogy melyik oldalán van a vaj, hogy elkerülje, hogy zsírosak legyenek a kezei."
knowing which way the wind blows,this means that you should know how things are developing and be prepared for the future,He made a wise decision by [[knowing which way the wind blows]] in the company,"As an experienced sailor, he was skilled at [[knowing which way the wind blows]]",He made a wise decision by knowing which way the wind blows in the company,"As an experienced sailor, he was skilled at knowing which way the wind blows",knowing which way the wind blows,"Tapasztalt vitorlázóként jól tudta, hogy melyik irányból fúj a szél."
lead astray,make someone act or think in a wrong or foolish manner.,The false information [[led them astray]] in their investigation,The broken compass [[led them astray]] in the dense forest,The false information led them astray in their investigation,The broken compass led them astray in the dense forest,led them astray,A törött iránytű eltévesztette őket a sűrű erdőben.
lean towards,to be interested in something,"After considering the pros and cons, she [[was leaning towards that option]]","While standing near the table, he [[was leaning towards that option]] to get a closer look","After considering the pros and cons, she was leaning towards that option","While standing near the table, he was leaning towards that option to get a closer look",was leaning towards that option,"Állva az asztal mellett, azon opció felé hajolt, hogy közelebbről megnézze."
leaps and bounds,progress very quickly,"After attending the workshop, her skills [[made progress in leaps and bounds]]",The kangaroo [[made progress in leaps and bounds]] across the field,"After attending the workshop, her skills made progress in leaps and bounds",The kangaroo made progress in leaps and bounds across the field,made progress in leaps and bounds,A kenguru ugrálva és hatalmas léptekkel haladt át a mezőn.
learn to walk before you run,to take smaller steps initially,You should [[learn to walk before you run]] when it comes to mastering a new skill,"As a toddler, you must [[learn to walk before you run]] to avoid falling",You should learn to walk before you run when it comes to mastering a new skill,"As a toddler, you must learn to walk before you run to avoid falling",learn to walk before you run,"Kisgyerekként először járni kell tanulnod, mielőtt futni kezdesz, hogy elkerüld a elesést."
leave at the altar,decide not to marry someone at the very last moment,[[He left her at the altar]] when he decided not to show up for their wedding,[[He left her at the altar]] to fetch the forgotten wedding rings from their car,He left her at the altar when he decided not to show up for their wedding,He left her at the altar to fetch the forgotten wedding rings from their car,He left her at the altar,"Elhagyta az oltárnál, hogy elhozza az elfelejtett esküvői gyűrűket az autójukból."
leg up,give or receive assistance to achieve a goal,The scholarship [[gave her a leg up]] in her pursuit of higher education,He [[gave her a leg up]] to help her climb over the fence,The scholarship gave her a leg up in her pursuit of higher education,He gave her a leg up to help her climb over the fence,gave her a leg up,"Ő felsegítette őt, hogy át tudjon mászni a kerítésen."
let the cat out of the bag,to let a secret out in the open,He accidentally [[let the cat out of the bag]] about the surprise party,She opened the bag and [[let the cat out of the bag]] after bringing it home from the shelter,He accidentally let the cat out of the bag about the surprise party,She opened the bag and let the cat out of the bag after bringing it home from the shelter,let the cat out of the bag,"Ő kinyitotta a táskát és kiengedte a macskát a táskából, miután hazahozta az állatot az állatmenhelyről."
lick his wounds,"to try to recover your confidence or spirit after a defeat, failure or disappointment",He [[licked his wounds after the fight]] by taking some time to recover from the emotional blow,The injured dog [[licked his wounds after the fight]] with another canine,He licked his wounds after the fight by taking some time to recover from the emotional blow,The injured dog licked his wounds after the fight with another canine,licked his wounds after the fight,Az sérült kutya nyalogatta sebeit a harc után egy másik kutyával.
lick your lips,to show that you're excited about something and are eager for it to happen,[[They licked their lips]] in anticipation of the delicious meal,"After eating the ice cream, [[they licked their lips]] to clean off the remaining traces",They licked their lips in anticipation of the delicious meal,"After eating the ice cream, they licked their lips to clean off the remaining traces",They licked their lips,"Azután, hogy megették a fagyit, lenyalogatták az ajkukat, hogy eltávolítsák a maradék nyomokat."
lie low,"To go out of sight, usually after having done something bad.","After the controversy, [[he decided to lie low]] and avoid the media","During the game of hide and seek, [[he decided to lie low]] in the tall grass","After the controversy, he decided to lie low and avoid the media","During the game of hide and seek, he decided to lie low in the tall grass",he decided to lie low,"A bújócska játék közben úgy döntött, hogy a magas fűben rejtőzik el."
lights are on but nobody is home,used to describe a stupid person.,"When I tried to explain the situation to him, it seemed like [[the lights are on but nobody is home]]",I walked past the house and noticed that [[the lights are on but nobody is home]],"When I tried to explain the situation to him, it seemed like the lights are on but nobody is home",I walked past the house and noticed that the lights are on but nobody is home,the lights are on but nobody is home,"Elmentem a ház mellett és észrevettem, hogy égnek a lámpák, de senki sincs otthon."
line in the sand,a boundary beyond which one cannot proceed without consequences,He decided [[to draw a line in the sand]] and confront his coworker about the issue,"While playing at the beach, the children decided [[to draw a line in the sand]] to divide their territories",He decided to draw a line in the sand and confront his coworker about the issue,"While playing at the beach, the children decided to draw a line in the sand to divide their territories",to draw a line in the sand,"Miközben a strandon játszottak, a gyerekek úgy döntöttek, hogy vonalat húznak a homokban, hogy felosszák a területeiket."
long in the tooth,To get too old for something.,He's [[getting long in the tooth]] and might retire soon,"The horse was [[getting long in the tooth]] as it aged, making it easier to determine its age",He's getting long in the tooth and might retire soon,"The horse was getting long in the tooth as it aged, making it easier to determine its age",getting long in the tooth,"A ló idősödött és hosszabbodtak az fogai, ami megkönnyítette az életkorának meghatározását."
long run,far away in the future,Investing in education will pay off [[in the long run]],The marathon was [[in the long run]] category of races,Investing in education will pay off in the long run,The marathon was in the long run category of races,in the long run,A maraton a hosszú távú versenyek kategóriájába tartozott.
look before you leap,to make sure that everything is alright before doing something important which you cannot revert,"When making a big decision, always remember [[to look before you leap]]","While standing on the edge of the diving board, he was reminded [[to look before you leap]]","When making a big decision, always remember to look before you leap","While standing on the edge of the diving board, he was reminded to look before you leap",to look before you leap,"Amikor a mólón állt, emlékeztették arra, hogy előbb nézz, mielőtt ugrasz."
looked through colored glasses,to look the things not as they are; having a heavily biased worldview,She always [[looked through colored glasses]] when it came to her children's achievements,"During the art class, we [[looked through colored glasses]] to observe the effects on the painting",She always looked through colored glasses when it came to her children's achievements,"During the art class, we looked through colored glasses to observe the effects on the painting",looked through colored glasses,"Az művészeti órán színes szemüvegen keresztül néztünk, hogy megfigyeljük a hatásokat a festményen."
loose cannon,somebody whose activities are uncommon and out of control,"After losing his job, he [[became a loose cannon]] and started causing problems","During the battle reenactment, the replica [[became a loose cannon]] when it broke free from its mount","After losing his job, he became a loose cannon and started causing problems","During the battle reenactment, the replica became a loose cannon when it broke free from its mount",became a loose cannon,"A csatavisszaadás során a replika elszabadult, amikor kiszabadult a tartójából."
lose your marbles,strange behaviors.,"After working non-stop for days, he finally [[lost his marbles]] and started talking nonsense","During the game, he accidentally [[lost his marbles]] when the bag ripped open","After working non-stop for days, he finally lost his marbles and started talking nonsense","During the game, he accidentally lost his marbles when the bag ripped open",lost his marbles,"A játék közben véletlenül elveszítette a golyóit, amikor kiszakadt a zsák."
lower the bar,to lower standards or expectations,The company [[lowered the bar for everyone]] by reducing the performance expectations,The gym instructor [[lowered the bar for everyone]] during the limbo competition,The company lowered the bar for everyone by reducing the performance expectations,The gym instructor lowered the bar for everyone during the limbo competition,lowered the bar for everyone,Az edző leengedte a rudat mindenki számára a limbo verseny alatt.
lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,"When I heard the sad news, [[I had a lump in my throat]] and couldn't speak","After swallowing a large piece of food, [[I had a lump in my throat]] and needed water","When I heard the sad news, I had a lump in my throat and couldn't speak","After swallowing a large piece of food, I had a lump in my throat and needed water",I had a lump in my throat,"Nagy darab ételt lenyelve csomó érzése volt a torkomban, és vizet kellett innom."
make a song and dance,if someone complains in an annoying way or becomes unnecessarily excited about something unimportant,She [[made a song and dance about it]] when she found out she won the lottery,The performers [[made a song and dance about it]] during the musical's finale,She made a song and dance about it when she found out she won the lottery,The performers made a song and dance about it during the musical's finale,made a song and dance about it,A szereplők dalra és táncra perdültek a musical fináléjában.
make ends meet,make sufficient money to survive on,"After losing her job, she [[was struggling to make ends meet]] and pay her bills",The tailor [[was struggling to make ends meet]] when sewing the two pieces of fabric together,"After losing her job, she was struggling to make ends meet and pay her bills",The tailor was struggling to make ends meet when sewing the two pieces of fabric together,was struggling to make ends meet,"A szabó nehezen tudta kijönni a pénzéből, amikor összevarrta a két anyagdarabot."
make ones bed and lie on it,to be responsible for what you have done and accept the results,[[They made their bed and lied on it]] when they decided to invest in that risky business,"After tidying up the room, [[they made their bed and lied on it]] to take a nap",They made their bed and lied on it when they decided to invest in that risky business,"After tidying up the room, they made their bed and lied on it to take a nap",They made their bed and lied on it,"Miután rendbe tették a szobát, beágyaztak és ráfeküdtek aludni."
makes his hackles rise,to make you angry,The sound of nails on a chalkboard [[makes his hackles rise]],"When the dog senses danger, it [[makes his hackles rise]] on his back",The sound of nails on a chalkboard makes his hackles rise,"When the dog senses danger, it makes his hackles rise on his back",makes his hackles rise,"Amikor a kutya veszélyt észlel, felállnak a szőrszálai a hátán."
makes my ears burn,"to be embarrassed by what you hear, especially if the conversation is about you",Hearing people gossip about me [[makes my ears burn]],Standing too close to the bonfire [[makes my ears burn]],Hearing people gossip about me makes my ears burn,Standing too close to the bonfire makes my ears burn,makes my ears burn,"Túl közel állok a tábortűzhöz, ezért égnek a füleim."
man's best friend,"It refers to animals that are of use to human beings, mostly used to address dogs.",The loyal dog is often considered [[a man's best friend]],"He wrote a book about his childhood, where he described his brother as [[a man's best friend]]",The loyal dog is often considered a man's best friend,"He wrote a book about his childhood, where he described his brother as a man's best friend",a man's best friend,"Ő írt egy könyvet a gyermekkoráról, ahol a testvérét írta le a férfi legjobb barátjaként."
mend fences,to try and improve a bad relationship with another party,"After the argument, he started [[mending fences with her]] by apologizing",The farmer spent the afternoon [[mending fences with her]] to keep the animals inside,"After the argument, he started mending fences with her by apologizing",The farmer spent the afternoon mending fences with her to keep the animals inside,mending fences with her,"A gazda délutánját a kerítések javításával töltötte, hogy az állatok bent maradjanak."
miles away,unaware of the current situation,"During the meeting, her thoughts [[seemed miles away]] from the topic",The mountain peak [[seemed miles away]] from our current location,"During the meeting, her thoughts seemed miles away from the topic",The mountain peak seemed miles away from our current location,seemed miles away,A hegy csúcsa mérföldekre tűnt a jelenlegi helyzetünktől.
mind your own beeswax,do not interfere into someone else's matter,"Instead of gossiping about others, focus [[on minding your own beeswax]]","While working at the apiary, concentrate [[on minding your own beeswax]] production","Instead of gossiping about others, focus on minding your own beeswax","While working at the apiary, concentrate on minding your own beeswax production",on minding your own beeswax,"Miközben az méhészetben dolgozol, koncentrálj arra, hogy a saját méhviasz termelésedre figyelsz."
mind your own business,to look into your own matter,The neighbors [[were minding their own business]] and didn't notice the commotion next door,The entrepreneurs [[were minding their own business]] by managing their respective companies,The neighbors were minding their own business and didn't notice the commotion next door,The entrepreneurs were minding their own business by managing their respective companies,were minding their own business,"Az üzletemberek a saját dolgukra figyeltek, amikor a saját vállalataikat vezették."
miss the boat,miss a chance,[[She missed the boat on that opportunity]] by not applying for the job in time,[[She missed the boat on that opportunity]] to take the scenic river cruise,She missed the boat on that opportunity by not applying for the job in time,She missed the boat on that opportunity to take the scenic river cruise,She missed the boat on that opportunity,"Elmulasztotta azt az alkalmat, hogy részt vegyen a festői folyóhajókiránduláson."
more heat than light,to cause anger or intense reaction but doesn't clarify anything,The heated debate [[generated more heat than light]] and left everyone confused,The malfunctioning light bulb [[generated more heat than light]] and needed to be replaced,The heated debate generated more heat than light and left everyone confused,The malfunctioning light bulb generated more heat than light and needed to be replaced,generated more heat than light,"A működési zavarokkal küzdő villanykörte több hőt termelt, mint fényt, és cserére szorult."
my hands are full,someone is too busy or has too much going on to be able to do or become involved with anything else,"With three projects to manage and a presentation to prepare, [[my hands are full at the moment]]","Carrying a stack of books and a cup of coffee, [[my hands are full at the moment]]","With three projects to manage and a presentation to prepare, my hands are full at the moment","Carrying a stack of books and a cup of coffee, my hands are full at the moment",my hands are full at the moment,Egy könyvhalom és egy csésze kávé cipelése közben a kezeim tele vannak jelenleg.
nail biter,"a situation like a close contest, which induces anxiety or tension.",The final moments of the game were [[a real nail biter]] as both teams were neck and neck,"Watching her chew on her fingers during the movie, it was clear she was [[a real nail biter]]",The final moments of the game were a real nail biter as both teams were neck and neck,"Watching her chew on her fingers during the movie, it was clear she was a real nail biter",a real nail biter,"Amikor látta, hogy rágja az ujjait a film alatt, nyilvánvaló volt, hogy igazi körömrágó."
nail in the coffin,"an action/event that will help bring about the death, end, or failure of something or someone",His resignation letter [[put the final nail in the coffin]] for the company's future,The undertaker [[put the final nail in the coffin]] before lowering it into the ground,His resignation letter put the final nail in the coffin for the company's future,The undertaker put the final nail in the coffin before lowering it into the ground,put the final nail in the coffin,"Az eltemető befejezte a koporsó utolsó szögét, mielőtt a földbe süllyesztette."
never looked back,"after an event which changed your life for the better, you continue to be happy with the situation","She quit her job and started her own business, and she [[never looked back after that]]",He walked away from the haunted house and [[never looked back after that]],"She quit her job and started her own business, and she never looked back after that",He walked away from the haunted house and never looked back after that,never looked back after that,"Elment a kísértetjárta háztól, és azóta sosem nézett vissza."
no spring chicken,Someone who's no longer young.,He realized he was [[not a spring chicken anymore]] when he couldn't keep up with the younger athletes,The farmer confirmed that the hen was [[not a spring chicken anymore]] as it had grown quite large,He realized he was not a spring chicken anymore when he couldn't keep up with the younger athletes,The farmer confirmed that the hen was not a spring chicken anymore as it had grown quite large,not a spring chicken anymore,"A gazda megerősítette, hogy a tyúk már nem fiatal, mivel eléggé megnőtt."
not getting anywhere,to make no progress at all; not improving or advancing a particular situation,We were [[not getting anywhere with this]] project due to constant setbacks,"The car was stuck in the mud, and we were [[not getting anywhere with this]] vehicle",We were not getting anywhere with this project due to constant setbacks,"The car was stuck in the mud, and we were not getting anywhere with this vehicle",not getting anywhere with this,"Az autó beszorult a sárba, és nem jutottunk előre ezzel a járművel."
not hurt a fly or flea,"To not be able to cause harm to anyone, including even a tiny and insignificant insect.","Despite his intimidating appearance, he [[wouldn't hurt a fly]] and was very gentle",She was so careful with her bug collection that she [[wouldn't hurt a fly]] while handling them,"Despite his intimidating appearance, he wouldn't hurt a fly and was very gentle",She was so careful with her bug collection that she wouldn't hurt a fly while handling them,wouldn't hurt a fly,"Olyan óvatos volt bogár gyűjteményével, hogy még egy legyet sem bántott volna, miközben kezelte őket."
not playing with a full deck,not mentally sound,His strange ideas made it seem like he was [[not playing with a full deck]],"During the poker game, we discovered we were [[not playing with a full deck]] when the ace of spades appeared twice",His strange ideas made it seem like he was not playing with a full deck,"During the poker game, we discovered we were not playing with a full deck when the ace of spades appeared twice",not playing with a full deck,"A pókerjáték során kiderült, hogy nem teljes paklival játszunk, amikor a pikk ász kétszer jelent meg."
off grid,disconnected from municipal utility systems.,He decided to disconnect from social media and [[started living off grid]],They built a cabin in the woods and [[started living off grid]] without electricity or running water,He decided to disconnect from social media and started living off grid,They built a cabin in the woods and started living off grid without electricity or running water,started living off grid,"Egy kunyhót építettek az erdőben, és elkezdtek kívül esősként élni, elektromos áram és folyóvíz nélkül."
old hat,Someone who is old fashioned. The phrase can directly refer to old fashion too.,"She's [[an old hat at]] programming, having done it for years","He found [[an old hat at]] the back of his closet, covered in dust","She's an old hat at programming, having done it for years","He found an old hat at the back of his closet, covered in dust",an old hat at,"Ő egy régi kalapot talált a szekrénye hátsó részén, porosan beborítva."
old school,old fashioned ideas or approach compared to current trends,"He prefers [[an old school approach]] to communication, like writing letters",The museum showcased [[an old school approach]] to education with antique desks and chalkboards,"He prefers an old school approach to communication, like writing letters",The museum showcased an old school approach to education with antique desks and chalkboards,an old school approach,A múzeum egy régi iskolai oktatási módszert mutatott be antik íróasztalokkal és krétatáblákkal.
on a silver platter,to get something without having to work for it,He [[served it on a silver platter]] by doing all the work for her,The waiter [[served it on a silver platter]] to impress the guests,He served it on a silver platter by doing all the work for her,The waiter served it on a silver platter to impress the guests,served it on a silver platter,"A pincér ezüst tálban szolgálta fel, hogy lenyűgözze a vendégeket."
on its knees,something that is in a very weak situation or on the verge of failure,"After the economic crisis, [[the city was on its knees]] and struggling to recover","In the art installation, [[the city was on its knees]] as the artist had created a miniature version of it, resting on two large sculptures of human knees","After the economic crisis, the city was on its knees and struggling to recover","In the art installation, the city was on its knees as the artist had created a miniature version of it, resting on two large sculptures of human knees",the city was on its knees,"Az művészeti installációban a város térdre rogyott, mivel a művész egy miniatűr verzióját készítette, amely két emberi térdre támaszkodott."
on pins and needles,being anxious or nervous,"While anticipating the exam results, we were [[waiting on pins and needles]]","During the acupressure therapy session, she was [[waiting on pins and needles]] placed on her back","While anticipating the exam results, we were waiting on pins and needles","During the acupressure therapy session, she was waiting on pins and needles placed on her back",waiting on pins and needles,Az akupresszúra terápia során tűkön ülve várakozott a hátán elhelyezett tűkön.
on the back burner,to put something (that is to be done) for later,"Due to the urgent tasks, we had to [[put it on the back burner]] for now","To simmer the sauce slowly, she [[put it on the back burner]] of the stove","Due to the urgent tasks, we had to put it on the back burner for now","To simmer the sauce slowly, she put it on the back burner of the stove",put it on the back burner,"Hogy lassan párolódjon a szósz, a tűzhely hátsó részére tette."
on the brink of,to be on the verge of doing something,The company was [[on the brink of something]] big when they launched their new product,"The hiker stood [[on the brink of something]] dangerous, a steep cliff",The company was on the brink of something big when they launched their new product,"The hiker stood on the brink of something dangerous, a steep cliff",on the brink of something,"A túrázó valami veszélyes szélén állt, egy meredek sziklán."
on the crest of a wave,to reach the highest point of success,"After the successful product launch, the company was [[riding on the crest of a wave]]",The surfer skillfully balanced himself while [[riding on the crest of a wave]],"After the successful product launch, the company was riding on the crest of a wave",The surfer skillfully balanced himself while riding on the crest of a wave,riding on the crest of a wave,"A szörfös ügyesen egyensúlyozott, miközben a hullámok gerincén lovagolt."
on the edge of their seat,to be very interested in something and fits with both extremely exciting and nerve-wracking,The suspenseful movie had everyone [[on the edge of their seat]],The chair was so small that they were uncomfortably perched [[on the edge of their seat]],The suspenseful movie had everyone on the edge of their seat,The chair was so small that they were uncomfortably perched on the edge of their seat,on the edge of their seat,"A szék olyan kicsi volt, hogy kényelmetlenül ültek az ülőkén szélén."
on the hook,someone who is responsible for something,He [[was left on the hook]] for the entire project after his partner quit,The fish [[was left on the hook]] after it was caught,He was left on the hook for the entire project after his partner quit,The fish was left on the hook after it was caught,was left on the hook,"A hal a horogra maradt, miután elkapta."
on the line,to be at serious risk.,[[She put it on the line]] when she confronted her boss about the unfair treatment,[[She put it on the line]] to dry after washing her clothes,She put it on the line when she confronted her boss about the unfair treatment,She put it on the line to dry after washing her clothes,She put it on the line,A ruháit kimosás után kifeszítette a vonalra száradni.
on the money,being right about something.,His prediction about the game's outcome was [[right on the money]],The coin landed [[right on the money]] that was placed on the table,His prediction about the game's outcome was right on the money,The coin landed right on the money that was placed on the table,right on the money,"A pénzérme pontosan a pénzre landolt, amely az asztalra volt helyezve."
on the pig's back,a successful situation and everything is going well for that person,"After winning the lottery, he [[was riding on the pig's back]] and enjoying his newfound wealth","At the farm, the child [[was riding on the pig's back]] for fun","After winning the lottery, he was riding on the pig's back and enjoying his newfound wealth","At the farm, the child was riding on the pig's back for fun",was riding on the pig's back,A farm-on a gyerek a disznó hátán lovagolt szórakozásból.
on the same page,everyone in agreement,"Before starting the project, we need to [[be on the same page]] regarding our goals","While reading the book together, they happened to [[be on the same page]]","Before starting the project, we need to be on the same page regarding our goals","While reading the book together, they happened to be on the same page",be on the same page,"Miközben együtt olvasták a könyvet, véletlenül ugyanazon az oldalon voltak."
open old wounds,"to revive memories of an unpleasant event, situation or dispute that took place in the past",Bringing up their past mistakes [[opened old wounds]] in the conversation,The surgeon [[opened old wounds]] to remove the remaining infection,Bringing up their past mistakes opened old wounds in the conversation,The surgeon opened old wounds to remove the remaining infection,opened old wounds,"A sebész megnyitotta az régi sebeket, hogy eltávolítsa a fennmaradó fertőzést."
out of hand,out of control,The party [[got out of hand]] when people started throwing food,The ball [[got out of hand]] when he accidentally dropped it,The party got out of hand when people started throwing food,The ball got out of hand when he accidentally dropped it,got out of hand,"A labda kicsúszott a kezéből, amikor véletlenül elejtette."
out of the closet,go public about something private or hidden,"After years of hiding his true self, he finally [[came out of the closet]] to his family",She [[came out of the closet]] after finding the perfect outfit to wear,"After years of hiding his true self, he finally came out of the closet to his family",She came out of the closet after finding the perfect outfit to wear,came out of the closet,"Kijött a szekrényből, miután megtalálta a tökéletes ruhát, amit viselni tud."
out of the frying pan into the fire,to go from a bad to worse situation,"By quitting her job without a backup plan, she [[jumped out of the frying pan into the fire]]",The fish [[jumped out of the frying pan into the fire]] when the cook wasn't paying attention,"By quitting her job without a backup plan, she jumped out of the frying pan into the fire",The fish jumped out of the frying pan into the fire when the cook wasn't paying attention,jumped out of the frying pan into the fire,"A hal kiugrott a serpenyőből a tűzbe, amikor a szakács nem figyelt."
out on the town,go out and enjoy yourself at one or more places in the town,They were excited about [[going out on the town]] to celebrate their anniversary,The mayor was [[going out on the town]] to inspect the new infrastructure,They were excited about going out on the town to celebrate their anniversary,The mayor was going out on the town to inspect the new infrastructure,going out on the town,"A polgármester kiment a városba, hogy ellenőrizze az új infrastruktúrát."
over my dead body,"in no way, under no circumstances","He smirked and said, '[[over my dead body]] will you ever beat me in a race'",The cat walked [[over my dead body]] in the crime scene simulation,"He smirked and said, 'over my dead body will you ever beat me in a race'",The cat walked over my dead body in the crime scene simulation,over my dead body,A macska áthaladt a holttestemen a bűntény helyszínének szimulációjában.
over the moon,extremely pleased or happy,She was [[over the moon about the news]] of her promotion,The astronaut floated [[over the moon about the news]] of a successful mission,She was over the moon about the news of her promotion,The astronaut floated over the moon about the news of a successful mission,over the moon about the news,Az asztronauta a sikeres küldetés hírére lebegett a Hold felett.
paddle own canoe,To be able to act without having to depend on anyone.,They decided [[to paddle their own canoe]] and start their own business,They had [[to paddle their own canoe]] to reach the other side of the lake,They decided to paddle their own canoe and start their own business,They had to paddle their own canoe to reach the other side of the lake,to paddle their own canoe,A tó másik oldalára eljutáshoz maguknak kellett evezniük a kenujukkal.
paint the town red,to celebrate and have a wild time,"After winning the championship, they decided [[to paint the town red together]] and celebrate","As part of a community art project, they decided [[to paint the town red together]] by covering the walls with vibrant murals","After winning the championship, they decided to paint the town red together and celebrate","As part of a community art project, they decided to paint the town red together by covering the walls with vibrant murals",to paint the town red together,"Egy közösségi művészeti projekt részeként úgy döntöttek, hogy együtt pirosra festik a várost, élénk falfestményekkel borítva a falakat."
pass away,die,Our beloved grandmother [[passed away peacefully]] in her sleep,"The storm [[passed away peacefully]], leaving a calm and clear sky",Our beloved grandmother passed away peacefully in her sleep,"The storm passed away peacefully, leaving a calm and clear sky",passed away peacefully,"Az vihar békésen elvonult, nyugodt és tiszta égboltot hagyva maga után."
pass on the baton,give responsibility for something important to another person.,The retiring CEO [[passed on the baton to her]] as the new leader of the company,"During the relay race, he [[passed on the baton to her]] for the next lap",The retiring CEO passed on the baton to her as the new leader of the company,"During the relay race, he passed on the baton to her for the next lap",passed on the baton to her,A váltófutás során átadta neki a stafétát a következő körre.
pass the buck,passing blame to another person,"He didn't want to take responsibility, so he [[passed the buck to her]]",He handed her a dollar bill and [[passed the buck to her]],"He didn't want to take responsibility, so he passed the buck to her",He handed her a dollar bill and passed the buck to her,passed the buck to her,Átnyújtott neki egy egydollárost és átpasszolta neki a felelősséget.
pass the torch,to pass on the responsibility,The retiring CEO [[passed the torch to her]] as the new leader of the company,"During the relay race, he [[passed the torch to her]] for the next lap",The retiring CEO passed the torch to her as the new leader of the company,"During the relay race, he passed the torch to her for the next lap",passed the torch to her,A váltófutás során átadta neki a fáklyát a következő körre.
pie in the sky,used to portray or refer to something that is lovely to consider however is probably not going to happen,His plan to become a millionaire overnight was just [[a pie in the sky]],The artist painted [[a pie in the sky]] to represent the whimsical nature of dreams,His plan to become a millionaire overnight was just a pie in the sky,The artist painted a pie in the sky to represent the whimsical nature of dreams,a pie in the sky,"Az művész egy álompitont festett, hogy kifejezze az álmok szeszélyes természetét."
piece of work,"a complex, tricky, or odd person","He was [[a real piece of work]], always causing trouble and stirring up drama","The sculpture she created was [[a real piece of work]], showcasing her artistic talent","He was a real piece of work, always causing trouble and stirring up drama","The sculpture she created was a real piece of work, showcasing her artistic talent",a real piece of work,"Az általa alkotott szobor valóban remekmű volt, amely bemutatta művészi tehetségét."
pipe down,to take to one or more notches down to its current standard,The teacher [[told them to pipe down]] when they were being too loud,The plumber [[told them to pipe down]] the water pressure to avoid leaks,The teacher told them to pipe down when they were being too loud,The plumber told them to pipe down the water pressure to avoid leaks,told them to pipe down,"A vízvezeték-szerelő azt mondta nekik, hogy csökkentsék a víznyomást, hogy elkerüljék a szivárgásokat."
