idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt,p_l_he_gpt,p_f_hi_gpt,p_l_hi_gpt
loose cannon,somebody whose activities are uncommon and out of control,"After losing his job, he [[became a loose cannon]] and started causing problems","During the battle reenactment, the replica [[became a loose cannon]] when it broke free from its mount","After losing his job, he became a loose cannon and started causing problems","During the battle reenactment, the replica became a loose cannon when it broke free from its mount",became a loose cannon,wurde ein unberechenbarer Wildfang,"Nachdem er seinen Job verloren hatte, wurde er unberechenbar und begann Probleme zu verursachen.","Während der Schlachtnachstellung wurde die Replik eine lose Kanone, als sie sich von ihrer Halterung löste.",הפך לפצצה חופשית,"לאחר שאיבד את עבודתו, הוא הפך לפצצה חופשית והתחיל לגרום לבעיות.","במהלך המחזור הקרבי, הרפליקה הפכה לפצצת זמן כשהיא נפרדה מהתקנתה.","अपनी नौकरी खोने के बाद, वह एक असंयमित तोप बन गया और समस्याएं उत्पन्न करना शुरू कर दिया।","लड़ाई के पुनरावृत्ति के दौरान, रिप्लिका अपने माउंट से तुच्छ हो गई जब वह तोड़ दिया गया।"
lose your marbles,strange behaviors.,"After working non-stop for days, he finally [[lost his marbles]] and started talking nonsense","During the game, he accidentally [[lost his marbles]] when the bag ripped open","After working non-stop for days, he finally lost his marbles and started talking nonsense","During the game, he accidentally lost his marbles when the bag ripped open",lost his marbles,hat seine Murmeln verloren,"Nachdem er tagelang ununterbrochen gearbeitet hatte, verlor er schließlich den Verstand und fing an, Unsinn zu reden.","Während des Spiels verlor er versehentlich seine Murmeln, als der Beutel aufriss.",איבד את הכדוריות שלו,"לאחר שעבד בלי הפסקה למספר ימים, הוא סוף סוף איבד את הכדורים שלו והתחיל לדבר בטויות.","במהלך המשחק, הוא איבד בטעות את הכדוריות שלו כשהשקית נקרעה.","दिनों तक नॉन-स्टॉप काम करने के बाद, उसे अंत में अपने मर्बल्स खो दिए और बेतुकी बातें करने लगे।","खेल के दौरान, जब बैग फट गया तो उसके मर्बल्स अकस्मात गिर गए।"
lower the bar,to lower standards or expectations,The company [[lowered the bar for everyone]] by reducing the performance expectations,The gym instructor [[lowered the bar for everyone]] during the limbo competition,The company lowered the bar for everyone by reducing the performance expectations,The gym instructor lowered the bar for everyone during the limbo competition,lowered the bar for everyone,senkte die Messlatte für alle,"Das Unternehmen senkte die Messlatte für alle, indem es die Leistungserwartungen reduzierte.",Der Fitnesstrainer senkte die Stange für alle während des Limbo-Wettbewerbs.,הוריד את הסף עבור כולם.,החברה הורידה את הסף עבור כולם על ידי הפחתת ציפיות הביצועים.,המדריך בחדר הכושר הוריד את המוט עבור כולם בתחרות הלימבו.,कंपनी ने प्रदर्शन की उम्मीदों को कम करके सभी के लिए बार कम कर दिया।,जिम इंस्ट्रक्टर लिम्बो प्रतियोगिता के दौरान सभी के लिए बार को कम कर दिया।
lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,"When I heard the sad news, [[I had a lump in my throat]] and couldn't speak","After swallowing a large piece of food, [[I had a lump in my throat]] and needed water","When I heard the sad news, I had a lump in my throat and couldn't speak","After swallowing a large piece of food, I had a lump in my throat and needed water",I had a lump in my throat,Ich hatte einen Kloß im Hals.,"Als ich die traurigen Nachrichten hörte, hatte ich einen Kloß im Hals und konnte nicht sprechen.","Nachdem ich ein großes Stück Essen geschluckt hatte, hatte ich einen Kloß im Hals und brauchte Wasser.",היה לי גוש בגרון.,"כששמעתי את החדשות העצובות, הייתה לי גודש בגרון ולא יכולתי לדבר.","לאחר שבלעתי חתיכה גדולה של אוכל, הייתה לי גוש בגרון וצריך היה לי מים.","जब मैं दुखद समाचार सुना, मेरे गले में एक गांठ थी और मैं बोल नहीं सका।","एक बड़े टुकड़े खाने के बाद, मेरी गले में एक गांठ थी और मुझे पानी की आवश्यकता थी।"
make a song and dance,if someone complains in an annoying way or becomes unnecessarily excited about something unimportant,She [[made a song and dance about it]] when she found out she won the lottery,The performers [[made a song and dance about it]] during the musical's finale,She made a song and dance about it when she found out she won the lottery,The performers made a song and dance about it during the musical's finale,made a song and dance about it,machte ein großes Theaterstück darüber,"Sie machte ein großes Theater, als sie herausfand, dass sie im Lotto gewonnen hatte.",Die Darsteller machten während des Finales des Musicals ein großes Aufheben davon.,עשה שיר ומחול על זה.,היא עשתה שיר ומחול על כך כשהיא גילתה שזכתה בגרלת הלוטו.,הבמאים עשו שיר וריקוד על כך בסיום המחזמר.,जब उसे लॉटरी जीतने का पता चला तो उसने इसके बारे में एक गीत और नाच बनाया।,संगीतलय के अंत में कलाकारों ने इसके बारे में एक गाना और नृत्य किया।
make ends meet,make sufficient money to survive on,"After losing her job, she [[was struggling to make ends meet]] and pay her bills",The tailor [[was struggling to make ends meet]] when sewing the two pieces of fabric together,"After losing her job, she was struggling to make ends meet and pay her bills",The tailor was struggling to make ends meet when sewing the two pieces of fabric together,was struggling to make ends meet,"kämpfte darum, über die Runden zu kommen","Nachdem sie ihren Job verloren hatte, kämpfte sie darum, über die Runden zu kommen und ihre Rechnungen zu bezahlen.","Der Schneider hatte Schwierigkeiten, über die Runden zu kommen, als er die beiden Stoffstücke zusammen nähte.",הייתי נאבק לסיים את החודש בכסף.,"לאחר שאיבדה את עבודתה, היא נאבקה כדי לסיים את החודש ולשלם את החשבונות שלה.",התופר היה נאבק להסתדר כלכלית כשהוא תפר את שתי חתיכות הבד יחד.,"अपनी नौकरी खोने के बाद, वह अपने खर्चों को पूरा करने और अपने बिल भरने के लिए संघर्ष कर रही थी।",जब दर्जी दो टुकड़ों को एक साथ सिलते हुए अपने खर्चे चलाने में संघर्ष कर रहा था।
make ones bed and lie on it,to be responsible for what you have done and accept the results,[[They made their bed and lied on it]] when they decided to invest in that risky business,"After tidying up the room, [[they made their bed and lied on it]] to take a nap",They made their bed and lied on it when they decided to invest in that risky business,"After tidying up the room, they made their bed and lied on it to take a nap",They made their bed and lied on it,Sie haben ihr Bett gemacht und darin gelogen.,"Sie haben ihr Bett gemacht und darin gelegen, als sie beschlossen haben, in dieses riskante Geschäft zu investieren.","Nachdem sie das Zimmer aufgeräumt hatten, machten sie ihr Bett und legten sich darauf, um ein Nickerchen zu machen.",הם עשו את מיטתם ושכבו עליה.,הם עשו את מיטתם ושכבו עליה כשהחליטו להשקיע בעסק סוכן.,"לאחר שסדרו את החדר, הם עשו את המיטה שלהם והתכרבלו עליה כדי לישון קצת.",जब उन्होंने उस जोखिमपूर्ण व्यवसाय में निवेश करने का फैसला किया तो उन्होंने अपनी बिस्तर बनाई और उस पर लेट गए।,"कमरे को साफ करने के बाद, उन्होंने अपनी बिस्तर सजाया और उस पर लेट कर एक नींद ली।"
makes his hackles rise,to make you angry,The sound of nails on a chalkboard [[makes his hackles rise]],"When the dog senses danger, it [[makes his hackles rise]] on his back",The sound of nails on a chalkboard makes his hackles rise,"When the dog senses danger, it makes his hackles rise on his back",makes his hackles rise,lässt seine Nackenhaare aufstellen,Das Geräusch von Nägeln auf einer Tafel lässt seine Nackenhaare hochstehen.,"Wenn der Hund Gefahr spürt, lässt er seine Nackenhaare auf seinem Rücken aufstellen.",מעלה את השיערות שלו,קול ציפורניים על לוח מורים מעלה את השיערות שלו.,"כשהכלב מרגיש סכנה, הוא מעלה את השיער שלו על הגב.",चाकबोर्ड पर नाखूनों की आवाज उसके बाल खड़े कर देती है।,"जब कुत्ता खतरा महसूस करता है, तो उसकी पीठ पर उभार आती है।"
makes my ears burn,"to be embarrassed by what you hear, especially if the conversation is about you",Hearing people gossip about me [[makes my ears burn]],Standing too close to the bonfire [[makes my ears burn]],Hearing people gossip about me makes my ears burn,Standing too close to the bonfire makes my ears burn,makes my ears burn,lässt meine Ohren brennen,"Wenn ich höre, wie Leute über mich tratschen, brennen meine Ohren.",Zu nah am Lagerfeuer zu stehen lässt meine Ohren brennen.,מגרים לי את האוזניים,לשמוע אנשים מדברים עליי בשפל גורם לאזור את אזניי.,העמידה קרוב מדי למדורה מגרמת לאזני להתלהב.,मेरे बारे में लोगों की गपशप सुनने से मेरे कान जलते हैं।,बोनफायर के बहुत करीब खड़े होने से मेरे कान जलते हैं।
man's best friend,"It refers to animals that are of use to human beings, mostly used to address dogs.",The loyal dog is often considered [[a man's best friend]],"He wrote a book about his childhood, where he described his brother as [[a man's best friend]]",The loyal dog is often considered a man's best friend,"He wrote a book about his childhood, where he described his brother as a man's best friend",a man's best friend,Der beste Freund eines Mannes.,Der treue Hund wird oft als der beste Freund des Menschen angesehen.,"Er schrieb ein Buch über seine Kindheit, in dem er seinen Bruder als den besten Freund eines Mannes beschrieb.",החבר הכי טוב של האדם,הכלב הנאמן נחשב לעתים קרובות לחבר הכי טוב של האדם.,"הוא כתב ספר על ילדותו, שם הוא תאר את אחיו כחבר הכי טוב של האדם.",वफादार कुत्ता अक्सर आदमी का सबसे अच्छा दोस्त माना जाता है।,"उसने अपने बचपन के बारे में एक किताब लिखी, जहाँ उसने अपने भाई को एक आदमी का सबसे अच्छा दोस्त बताया।"
mend fences,to try and improve a bad relationship with another party,"After the argument, he started [[mending fences with her]] by apologizing",The farmer spent the afternoon [[mending fences with her]] to keep the animals inside,"After the argument, he started mending fences with her by apologizing",The farmer spent the afternoon mending fences with her to keep the animals inside,mending fences with her,Zäune mit ihr reparieren,"Nach dem Streit begann er, sich mit ihr zu versöhnen, indem er sich entschuldigte.","Der Bauer verbrachte den Nachmittag damit, mit ihr Zäune zu reparieren, um die Tiere drinnen zu halten.",תיקון הגדרות עם היא.,"אחרי הווכוח, הוא התחיל לתקן את הגדרים עם היא על ידי התנצלות.",החקלאית בילתה את הצהריים בתיקוני הגדרות עם הכליות שלה כדי לשמור על הבעלי חיים בתוכם.,"विवाद के बाद, उसने माफी मांगकर उसके साथ फेंस ठीक करना शुरू किया।",किसान ने अपनी साथी के साथ बाड़ों को मरम्मत करने के लिए अपना दोपहर बिताया ताकि जानवरों को अंदर रखा जा सके।
miles away,unaware of the current situation,"During the meeting, her thoughts [[seemed miles away]] from the topic",The mountain peak [[seemed miles away]] from our current location,"During the meeting, her thoughts seemed miles away from the topic",The mountain peak seemed miles away from our current location,seemed miles away,scheint meilenweit entfernt zu sein,Während des Meetings schienen ihre Gedanken meilenweit vom Thema entfernt zu sein.,Der Berggipfel schien Meilen entfernt von unserem aktuellen Standort zu sein.,נראה רחוק מאוד,"במהלך הפגישה, המחשבות שלה נראו רחוקות מאוד מהנושא.",הפסגת ההר נראית כמיילים ממיקומנו הנוכחי.,"मीटिंग के दौरान, उसके विचार विषय से माइलों दूर लग रहे थे।",पर्वत शिखर हमारी वर्तमान स्थिति से मीलों दूर लग रहा था।
mind your own beeswax,do not interfere into someone else's matter,"Instead of gossiping about others, focus [[on minding your own beeswax]]","While working at the apiary, concentrate [[on minding your own beeswax]] production","Instead of gossiping about others, focus on minding your own beeswax","While working at the apiary, concentrate on minding your own beeswax production",on minding your own beeswax,"""Deine eigenen Angelegenheiten im Auge behalten.""","Statt über andere zu tratschen, konzentriere dich darauf, dich um deine eigenen Angelegenheiten zu kümmern.","Während der Arbeit im Bienenstock konzentriere dich darauf, dich um deine eigene Bienenwachsproduktion zu kümmern.",על להיות דואג לדבש שלך בלבד,"‎במקום לדבר על אחרים, תתמקדו בטיפול בעניינים שלכם.‎","בזמן העבודה בכוורת, מתמקדים בייצור הדבש שלכם ולא מתעסקים בדבש של אחרים.","दूसरों के बारे में गपशप करने की बजाय, अपने काम से काम रखने पर ध्यान केंद्रित करें।","एपियरी में काम करते समय, अपनी खुद की मधुमक्खी की उत्पादन पर ध्यान केंद्रित करें।"
mind your own business,to look into your own matter,The neighbors [[were minding their own business]] and didn't notice the commotion next door,The entrepreneurs [[were minding their own business]] by managing their respective companies,The neighbors were minding their own business and didn't notice the commotion next door,The entrepreneurs were minding their own business by managing their respective companies,were minding their own business,Sie kümmerten sich um ihre eigenen Angelegenheiten.,Die Nachbarn kümmerten sich um ihre eigenen Angelegenheiten und bemerkten das Durcheinander nebenan nicht.,"Die Unternehmer kümmerten sich um ihr eigenes Geschäft, indem sie ihre jeweiligen Unternehmen leiteten.",הם דאגו לעסקים שלהם.,השכנים היו מתעסקים בעסקים שלהם ולא שם לב להמולה שקרתה ליד הבית.,היזמים דאגו לעסוק בעסם שלהם על ידי ניהול החברות המתאימות שלהם.,पड़ोसी अपने काम से व्यस्त थे और उन्होंने अगले दरवाजे में हलचल को नहीं देखा।,उद्यमियों ने अपनी अपनी कंपनियों का प्रबंधन करके अपने काम से काम रख रहे थे।
miss the boat,miss a chance,[[She missed the boat on that opportunity]] by not applying for the job in time,[[She missed the boat on that opportunity]] to take the scenic river cruise,She missed the boat on that opportunity by not applying for the job in time,She missed the boat on that opportunity to take the scenic river cruise,She missed the boat on that opportunity,Sie hat diese Gelegenheit verpasst.,"Sie hat die Gelegenheit verpasst, indem sie sich nicht rechtzeitig für den Job beworben hat.","Sie hat die Gelegenheit verpasst, die malerische Flusskreuzfahrt zu machen.",היא החמיצה את הזדמנות הזאת עם הסירה.,היא החמיצה את הזדמנות הזאת על ידי שלא הגישה מועמדות לעבודה בזמן.,היא החמיצה את הסיכוי לצאת לטיול בסירה על הנהר הציורי.,उसने समय पर नौकरी के लिए आवेदन नहीं करके उस अवसर पर नौकरी करने का मौका गंवा दिया।,उसे वह अवसर नज़र नहीं आया था कि उसे चित्रस्कृत नदी यात्रा करने का मौका मिला था।
more heat than light,to cause anger or intense reaction but doesn't clarify anything,The heated debate [[generated more heat than light]] and left everyone confused,The malfunctioning light bulb [[generated more heat than light]] and needed to be replaced,The heated debate generated more heat than light and left everyone confused,The malfunctioning light bulb generated more heat than light and needed to be replaced,generated more heat than light,Erzeugte mehr Hitze als Licht.,Die hitzige Debatte erzeugte mehr Hitze als Licht und hinterließ alle verwirrt.,Die defekte Glühbirne erzeugte mehr Hitze als Licht und musste ausgetauscht werden.,ייצר יותר חום מאשר אור,הדיון המתוח גרם ליותר חום מאשר אור והשאיר את כולם מבולבלים.,הנורה הפקידה יותר חום מאשר אור והייתה צריכה להיות מוחלפת.,उत्साहित विवाद ज्यादा ताप उत्पन्न करता था और सबको भ्रमित छोड़ देता था।,खराब हो गई बल्ब रोशनी से ज्यादा गर्मी उत्पन्न कर रही थी और इसे बदलने की आवश्यकता थी।
my hands are full,someone is too busy or has too much going on to be able to do or become involved with anything else,"With three projects to manage and a presentation to prepare, [[my hands are full at the moment]]","Carrying a stack of books and a cup of coffee, [[my hands are full at the moment]]","With three projects to manage and a presentation to prepare, my hands are full at the moment","Carrying a stack of books and a cup of coffee, my hands are full at the moment",my hands are full at the moment,Meine Hände sind im Moment voll.,"Mit drei Projekten zu managen und einer Präsentation vorzubereiten, habe ich im Moment alle Hände voll zu tun.","Ich trage gerade einen Stapel Bücher und eine Tasse Kaffee, meine Hände sind im Moment voll.",הידיים שלי מלאות כרגע.,"עם שלושה פרויקטים לנהל והכנת הצגה, הידיים שלי מלאות כרגע.","נושאת מצביע של ספרים וכוס קפה, הידיים שלי מלאות כרגע.","तीन परियोजनाओं को संचालित करने और एक प्रस्तुति तैयार करने के साथ, मेरे हाथ अभी पूर्ण हैं।","एक स्टैक किताबें और एक कप कॉफी लेकर, मेरे हाथ इस समय भरे हुए हैं।"
nail biter,"a situation like a close contest, which induces anxiety or tension.",The final moments of the game were [[a real nail biter]] as both teams were neck and neck,"Watching her chew on her fingers during the movie, it was clear she was [[a real nail biter]]",The final moments of the game were a real nail biter as both teams were neck and neck,"Watching her chew on her fingers during the movie, it was clear she was a real nail biter",a real nail biter,Ein echter Nagelbeißer.,"Die letzten Momente des Spiels waren wirklich nervenaufreibend, da beide Teams Kopf an Kopf lagen.","Als ich sah, wie sie während des Films auf ihren Fingern kaute, war es offensichtlich, dass sie eine echte Nägelkauerin war.",גרוטאת ציפורניים אמיתית,הרגעים הסופיים של המשחק היו ממש מפרקי ציפייה כי שתי הקבוצות היו במעקב צמוד.,"צפייה בה נשכת על אצבעותיה במהלך הסרט, היה ברור שהיא מנקצת ציפורניים אמיתית.",खेल के अंतिम क्षण वास्तव में एक असली नेल बाइटर थे क्योंकि दोनों टीमें गले मिल रही थीं।,फिल्म देखते समय उसे अपने उंगलियों को चबाते हुए देखकर स्पष्ट था कि वह एक असली नेल बाइटर थी।
nail in the coffin,"an action/event that will help bring about the death, end, or failure of something or someone",His resignation letter [[put the final nail in the coffin]] for the company's future,The undertaker [[put the final nail in the coffin]] before lowering it into the ground,His resignation letter put the final nail in the coffin for the company's future,The undertaker put the final nail in the coffin before lowering it into the ground,put the final nail in the coffin,Den letzten Nagel in den Sarg schlagen.,Sein Rücktrittsschreiben war der letzte Nagel im Sarg für die Zukunft des Unternehmens.,"Der Bestatter setzte den letzten Nagel in den Sarg, bevor er ihn in die Erde senkte.",שים את המסמר הסופי בארון המוות.,מכתב ההתפטרות שלו הכניס את המסמר האחרון לארון לעתיד החברה.,הקבורן הניח את המסמר הסופי בארון לפני שהוריד אותו לקרקע.,उनकी इस्तीफा पत्रिका ने कंपनी के भविष्य के लिए अंतिम नाखून डाल दिया।,अंतिम नाखून डालने से पहले अंत्येष्टि ने लाश के लिए अंतिम नाखून डाला और फिर उसे धरती में नीचे उतार दिया।
never looked back,"after an event which changed your life for the better, you continue to be happy with the situation","She quit her job and started her own business, and she [[never looked back after that]]",He walked away from the haunted house and [[never looked back after that]],"She quit her job and started her own business, and she never looked back after that",He walked away from the haunted house and never looked back after that,never looked back after that,Danach hat er/sie nie zurückgeschaut.,Sie kündigte ihren Job und gründete ihr eigenes Unternehmen und hat seitdem nie zurückgeschaut.,Er ging weg von dem Spukhaus und schaute nie wieder zurück.,לא הסתכלתי אחורה מאז.,"היא עזבה את עבודתה והתחילה את העסק שלה, והיא לעולם לא הביט אחורה אחרי זה.",הוא הלך מהבית המטריד ולעולם לא הביט אחורה אחרי זה.,"उसने अपनी नौकरी छोड़ दी और अपना खुद का व्यवसाय शुरू किया, उसके बाद वह कभी पीछे नहीं देखी।",उसने भूतिया घर से दूर चला जाता और उसके बाद कभी नहीं देखा।
no spring chicken,Someone who's no longer young.,He realized he was [[not a spring chicken anymore]] when he couldn't keep up with the younger athletes,The farmer confirmed that the hen was [[not a spring chicken anymore]] as it had grown quite large,He realized he was not a spring chicken anymore when he couldn't keep up with the younger athletes,The farmer confirmed that the hen was not a spring chicken anymore as it had grown quite large,not a spring chicken anymore,kein Frühlingshuhn mehr,"Er erkannte, dass er kein junger Hüpfer mehr war, als er nicht mehr mit den jüngeren Athleten mithalten konnte.","Der Bauer bestätigte, dass die Henne kein Frühlingshuhn mehr war, da sie ziemlich groß geworden war.",לא עוף קיץ יותר,הוא הבין שהוא לא עוד ציפור קיץ כשלא הצליח להתחיל עם הספורטאים הצעירים יותר.,החקלאי אישר כי התרנגולת לא הייתה עוד ציפור צעירה מאחר שגדלה למידות ניכרות.,जब उसे युवा खिलाड़ियों के साथ कदम मिलाने में असमर्थ होने लगा तब उसे यह अनुभव हुआ कि वह अब एक जवान मुर्गा नहीं रहा है।,किसान ने पुष्टि की कि मुर्गी अब एक जवान मुर्गी नहीं रह गई है क्योंकि वह काफी बड़ी हो गई है।
not getting anywhere,to make no progress at all; not improving or advancing a particular situation,We were [[not getting anywhere with this]] project due to constant setbacks,"The car was stuck in the mud, and we were [[not getting anywhere with this]] vehicle",We were not getting anywhere with this project due to constant setbacks,"The car was stuck in the mud, and we were not getting anywhere with this vehicle",not getting anywhere with this,Ich komme mit diesem nicht weiter.,Wir kamen mit diesem Projekt aufgrund ständiger Rückschläge nicht voran.,Das Auto steckte im Schlamm fest und wir kamen mit diesem Fahrzeug nicht weiter.,לא מצליח להתקדם עם זה.,לא הצלחנו להתקדם עם הפרויקט הזה בגלל המכשולים התמידיים.,הרכב נתקע בבוץ ולא הצלחנו להתקדם עם הרכב הזה.,हम इस परियोजना में निरंतर अड़चनों के कारण कहीं नहीं जा रहे थे।,"गाड़ी की चपट में फंस गई थी, और हम इस वाहन के साथ कहीं नहीं जा रहे थे।"
not hurt a fly or flea,"To not be able to cause harm to anyone, including even a tiny and insignificant insect.","Despite his intimidating appearance, he [[wouldn't hurt a fly]] and was very gentle",She was so careful with her bug collection that she [[wouldn't hurt a fly]] while handling them,"Despite his intimidating appearance, he wouldn't hurt a fly and was very gentle",She was so careful with her bug collection that she wouldn't hurt a fly while handling them,wouldn't hurt a fly,Würde keiner Fliege etwas zuleide tun.,Trotz seines einschüchternden Aussehens würde er keiner Fliege etwas zuleide tun und war sehr sanft.,"Sie war so vorsichtig mit ihrer Insektensammlung, dass sie beim Umgang mit ihnen nicht einmal einer Fliege wehtun würde.",לא היה מפגע בזבוב.,"למרות המראה המפחיד שלו, הוא לא היה מפריע לזבוב והיה עדין מאוד.","היא הייתה כל כך זהירה עם אוסף החרקים שלה, עד כדי שלא הייתה מפגיעה בזבוב בזמן הטיפול בהם.","उसके डरावने रूप के बावजूद, वह किसी को भी नुकसान नहीं पहुंचाएगा और बहुत कोमल था।",वह अपने कीट संग्रह के साथ इतनी सावधान थी कि उन्हें हैंडल करते समय कभी भी मक्खी को नुकसान नहीं पहुंचाती थी।
not playing with a full deck,not mentally sound,His strange ideas made it seem like he was [[not playing with a full deck]],"During the poker game, we discovered we were [[not playing with a full deck]] when the ace of spades appeared twice",His strange ideas made it seem like he was not playing with a full deck,"During the poker game, we discovered we were not playing with a full deck when the ace of spades appeared twice",not playing with a full deck,nicht alle Tassen im Schrank haben,"Seine seltsamen Ideen ließen es so aussehen, als ob er nicht alle Tassen im Schrank hätte.","Während des Pokerspiels haben wir festgestellt, dass wir nicht mit einem vollständigen Deck spielen, als der Pik-Ass zweimal aufgetaucht ist.",לא משחק עם חפיסה מלאה,הרעיונות המוזרים שלו גרמו לזה שנראה כאילו הוא לא משחק עם חפיסה מלאה.,"במהלך המשחק בפוקר, גילינו שאיננו משחקים עם חפיסה מלאה כאשר אס פיק הופיע פעמיים.",उसके अजीब विचारों से ऐसा लगता था कि वह पूरी तरह से सही नहीं था।,"पोकर खेल के दौरान, हमें पता चला कि एस ऑफ स्पेड्स दो बार नज़र आने पर हम पूरी तरह से खेल नहीं खेल रहे थे।"
off grid,disconnected from municipal utility systems.,He decided to disconnect from social media and [[started living off grid]],They built a cabin in the woods and [[started living off grid]] without electricity or running water,He decided to disconnect from social media and started living off grid,They built a cabin in the woods and started living off grid without electricity or running water,started living off grid,"begannen, abseits des Stromnetzes zu leben","Er entschied sich, sich von sozialen Medien abzumelden und begann, abseits des Netzes zu leben.","Sie bauten eine Hütte im Wald und begannen, abseits des Stromnetzes ohne Strom oder fließendes Wasser zu leben.",התחיל לחיות מחוץ לרשת,הוא החליט לנתק את עצמו מרשתות החברתיות והתחיל לחיות מחוץ לרשת.,בנו צריף ביער והתחילו לחיות מחוץ לרשת עם אין חשמל או מים זורמים.,उसने सोशल मीडिया से डिस्कनेक्ट होने का फैसला किया और ऑफ ग्रिड जीवन शुरू किया।,वे जंगल में एक केबिन बनाया और बिजली या चलती पानी के बिना ऑफ ग्रिड जीवन शुरू कर दिया।
old hat,Someone who is old fashioned. The phrase can directly refer to old fashion too.,"She's [[an old hat at]] programming, having done it for years","He found [[an old hat at]] the back of his closet, covered in dust","She's an old hat at programming, having done it for years","He found an old hat at the back of his closet, covered in dust",an old hat at,einer alten Mütze,"Sie ist eine alte Hasin im Programmieren, da sie es seit Jahren tut.","Er fand einen alten Hut am Ende seines Schrankes, bedeckt mit Staub.",כובע ישן ב,"היא מומחית בתכנות, עושה זאת כבר שנים.","מצא כובע ישן בקצה הארון שלו, מכוסה באבק.","वह प्रोग्रामिंग में एक पुरानी टोपी है, जिसे वह कई सालों से कर रही है।","उसने अपने कपड़े के अंदर के पीछे एक पुरानी Topi ढूंढी, जो धूल से ढकी हुई थी।"
old school,old fashioned ideas or approach compared to current trends,"He prefers [[an old school approach]] to communication, like writing letters",The museum showcased [[an old school approach]] to education with antique desks and chalkboards,"He prefers an old school approach to communication, like writing letters",The museum showcased an old school approach to education with antique desks and chalkboards,an old school approach,ein altmodischer Ansatz,"Er bevorzugt einen altmodischen Ansatz in der Kommunikation, wie das Schreiben von Briefen.",Das Museum präsentierte einen alten Schulkonzept mit antiken Schreibtischen und Tafeln.,גישה ישנה לבית הספר,"הוא מעדיף גישה ישנה לתקשורת, כמו כתיבת מכתבים.",המוזיאון הציג גישה ישנה לחינוך עם שולחנות עתיקים ולוחות שחורים.,"वह संचार के लिए पुरानी स्कूल के तरीके को अधिक पसंद करता है, जैसे पत्र लिखना।",संग्रहालय में प्राचीन डेस्क और चाकलेट के साथ शिक्षा के पुराने स्कूल के दृष्टिकोण का प्रदर्शन किया गया।
on a silver platter,to get something without having to work for it,He [[served it on a silver platter]] by doing all the work for her,The waiter [[served it on a silver platter]] to impress the guests,He served it on a silver platter by doing all the work for her,The waiter served it on a silver platter to impress the guests,served it on a silver platter,servierte es auf einem Silbertablett,"Er servierte es auf einem Silbertablett, indem er die ganze Arbeit für sie erledigte.","Der Kellner servierte es auf einem Silbertablett, um die Gäste zu beeindrucken.",שירתו על מגש כסף,הוא שירת את זה על מגש כסף על ידי עשיית כל העבודה עבורה.,המלצר הגיש את זה על מגש כסף כדי להרשים את האורחים.,उसने उसके लिए सभी काम करके उसे चांदी की थाली पर पेश किया।,वेटर ने मेहमानों को प्रभावित करने के लिए उसे चांदी की थाली पर सर्विंग की।
on its knees,something that is in a very weak situation or on the verge of failure,"After the economic crisis, [[the city was on its knees]] and struggling to recover","In the art installation, [[the city was on its knees]] as the artist had created a miniature version of it, resting on two large sculptures of human knees","After the economic crisis, the city was on its knees and struggling to recover","In the art installation, the city was on its knees as the artist had created a miniature version of it, resting on two large sculptures of human knees",the city was on its knees,Die Stadt war am Boden.,Nach der Wirtschaftskrise lag die Stadt am Boden und kämpfte um ihre Erholung.,"In der Kunstinstallation lag die Stadt auf den Knien, da der Künstler eine Miniaturversion davon geschaffen hatte, die auf zwei großen Skulpturen von menschlichen Knien ruhte.",העיר הייתה כבויה על ברכיה.,"אחרי המשבר הכלכלי, העיר הייתה על ברכיה ומאבקת להתאושש.","במיצב האמנות, העיר הייתה על ברכיים כאשר האמן יצר גרסה מיניאטורית שלה, מנוחה על שתי פסלוני ברכי אדם גדולים.","आर्थिक संकट के बाद, शहर अपने घुटनों पर था और पुनर्स्थापित होने के लिए संघर्ष कर रहा था।","कला स्थापना में, शहर अपने घुटनों पर था क्योंकि कलाकार ने उसका एक छोटा संस्करण बनाया था, दो मानव घुटनों पर आराम करते हुए।"
on pins and needles,being anxious or nervous,"While anticipating the exam results, we were [[waiting on pins and needles]]","During the acupressure therapy session, she was [[waiting on pins and needles]] placed on her back","While anticipating the exam results, we were waiting on pins and needles","During the acupressure therapy session, she was waiting on pins and needles placed on her back",waiting on pins and needles,auf heißen Kohlen sitzen,"Während wir auf die Prüfungsergebnisse warteten, saßen wir auf heißen Kohlen.","Während der Akupressur-Therapiesitzung wartete sie auf Nadeln, die auf ihrem Rücken platziert waren.",ממתין בסיכונים ובציפייה.,"בזמן שציפינו לתוצאות המבחן, היינו ממתינים בציפייה ובחרדה.","במהלך הטיפול באקופרסור, היא המתינה בציפורניים שנכנסו לגבה.","परीक्षा परिणाम की आशा में, हम सूजन और तनाव में इंतजार कर रहे थे।","एक्यूप्रेशर थेरेपी सत्र के दौरान, उसकी पीठ पर रखे गए सुईज़ से वह बेहद उत्सुकता से इंतजार कर रही थी।"
