idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_hi_gpt,p_l_he_gpt
in the cross hairs,in a position where one might receive severe criticism,"As the whistleblower, he found himself [[caught in the cross hairs]] of the company's retaliation","During the paintball match, she was [[caught in the cross hairs]] of her opponent's gun","As the whistleblower, he found himself caught in the cross hairs of the company's retaliation","During the paintball match, she was caught in the cross hairs of her opponent's gun",caught in the cross hairs,निशाने पर पकड़ा गया।,"במהלך המשחק של פיינטבול, היא נתפסה במקום הצלף של נגדיה."
in the dark,"uninformed, a state of ignorance.",The employees [[were kept in the dark]] about the company's financial situation,"During the power outage, we [[were kept in the dark]] until the electricity came back",The employees were kept in the dark about the company's financial situation,"During the power outage, we were kept in the dark until the electricity came back",were kept in the dark,अंधेरे में रखे गए थे।,"במהלך הפערת החשמל, נשארנו בחושך עד שהחשמל חזר."
in the doghouse,someone who is in disgrace and very unpopular at the moment,"After forgetting their anniversary, he was [[in the doghouse with her]] for a week",He crawled [[in the doghouse with her]] to retrieve the lost toy,"After forgetting their anniversary, he was in the doghouse with her for a week",He crawled in the doghouse with her to retrieve the lost toy,in the doghouse with her,उसके साथ कुत्ते के घर में है।,הוא זחל לתוך בית הכלב עם היא כדי לאסוף את הצעצוע האבוד.
in the loop,to be aware of the information,"As a team member, I want to be [[kept in the loop]] about project updates",The rope was [[kept in the loop]] to secure the boat to the dock,"As a team member, I want to be kept in the loop about project updates",The rope was kept in the loop to secure the boat to the dock,kept in the loop,लूप में रखा गया।,החבל נשמר בלול כדי לקבוע את הסירה למורד.
in the red,more money going out than coming in,"Due to poor financial decisions, [[the company is in the red]]","During the paintball match, [[the company is in the red]] team","Due to poor financial decisions, the company is in the red","During the paintball match, the company is in the red team",the company is in the red,कंपनी नुकसान में है।,"במהלך המשחק של פיינטבול, החברה נמצאת בצוות האדום."
in touch,"to remain in contact with someone, especially when separated by time or distance","Even after moving to another city, we promised [[to stay in touch]]","During the team-building exercise, we had [[to stay in touch]] by holding hands","Even after moving to another city, we promised to stay in touch","During the team-building exercise, we had to stay in touch by holding hands",to stay in touch,संपर्क में रहना।,"במהלך תרגול בניית צוות, היינו צריכים להישאר בקשר על ידי תמיכה בידיים."
it's a small world,meeting someone not expected to be at a certain place,"Running into my childhood friend in a foreign country, I thought [[it's a small world after all]]","Looking at the miniature globe in the store, I remarked, [[it's a small world after all]]","Running into my childhood friend in a foreign country, I thought it's a small world after all","Looking at the miniature globe in the store, I remarked, it's a small world after all",it's a small world after all,यह सबका छोटा सा दुनिया है।,"מביט בגלובוס המיניאטורי בחנות, אמרתי, זהו עולם קטן לכל הסוף."
jam on your face,"people who appear to be caught, embarrassed or found guilty","After making a mistake in the presentation, he [[had jam on his face]] in front of the whole team","While eating breakfast, he accidentally [[had jam on his face]] from the toast","After making a mistake in the presentation, he had jam on his face in front of the whole team","While eating breakfast, he accidentally had jam on his face from the toast",had jam on his face,उसके चेहरे पर जैम था।,"בזמן שהוא אכל את הארוחת בוקר, חבלה נפלה על פניו מהטוסט בטעות."
"judge, jury and executioner","people that are in charge of every decision made, and they have the power to be rid of whomever they choose","He [[was acting as judge, jury, and executioner]] when he made the decision without consulting anyone","In the dystopian play, the main character [[was acting as judge, jury, and executioner]] in a twisted legal system","He was acting as judge, jury, and executioner when he made the decision without consulting anyone","In the dystopian play, the main character was acting as judge, jury, and executioner in a twisted legal system","was acting as judge, jury, and executioner","जज, ज्यूरी और फांसी का काम कर रहा था।","במחזה הדיסטופי, הדמות הראשית פעלה כשופט, בית משפט ומבצע עונשים במערכת משפטית מפוכחת."
jump on the bandwagon,to start doing something because it is fashionable or profitable,"When the new trend became popular, everyone [[jumped on the bandwagon]]","During the parade, he [[jumped on the bandwagon]] to join the musicians","When the new trend became popular, everyone jumped on the bandwagon","During the parade, he jumped on the bandwagon to join the musicians",jumped on the bandwagon,बैंडवैगन पर कूद गया।,"במהלך הפרדה, הוא קפץ על המגרש כדי להצטרף למוזיקאים."
jungle out there,the situation is dangerous and is characterized by ruthless behavior and competition,"With so much competition in the job market, [[it's a jungle out there]]","As we entered the dense rainforest, our guide warned us, [[it's a jungle out there]]","With so much competition in the job market, it's a jungle out there","As we entered the dense rainforest, our guide warned us, it's a jungle out there",it's a jungle out there,वहाँ जंगल है।,"כשנכנסנו ליער הטרופי העמוס, המדריך שלנו אזהר אותנו, זה יער יער שם בחוץ."
jury's out,when there is no general agreement or consensus on something,"Regarding the new policy, [[the jury's out on that decision]], as people are still debating its effectiveness","During the court recess, [[the jury's out on that decision]], discussing the case in a separate room","Regarding the new policy, the jury's out on that decision, as people are still debating its effectiveness","During the court recess, the jury's out on that decision, discussing the case in a separate room",the jury's out on that decision,उस फैसले पर ज्यूरी अभी तक नहीं हुई है।,"במהלך ההפסקה בבית המשפט, הוועדה עדיין לא החליטה ומדברת על התיק בחדר נפרד."
just off the boat,a person who is naive and inexperienced,"He was so naive and inexperienced, as if he was [[just off the boat]]","Soaking wet and carrying their luggage, they were [[just off the boat]] from their island trip","He was so naive and inexperienced, as if he was just off the boat","Soaking wet and carrying their luggage, they were just off the boat from their island trip",just off the boat,बस नाव से उतरा हुआ,"רטובים לגמרי ונושאים את המזוודות שלהם, הם רק ירדו מהסירה מהטיול שלהם באי."
just what the doctor ordered,exactly what was wanted or needed,A relaxing vacation was [[just what the doctor ordered]] after a stressful year,The prescribed medication was [[just what the doctor ordered]] for her condition,A relaxing vacation was just what the doctor ordered after a stressful year,The prescribed medication was just what the doctor ordered for her condition,just what the doctor ordered,बस वही चीज जो डॉक्टर ने निर्देशित की है।,התרופה המומלצת הייתה בדיוק מה שהרופא הזמין למצבה.
keep at arm's length,keep distance from something or somebody,"Despite his attempts to get closer, [[she kept him at arm's length]] due to her cautious nature","During the self-defense training, [[she kept him at arm's length]] to maintain a safe distance","Despite his attempts to get closer, she kept him at arm's length due to her cautious nature","During the self-defense training, she kept him at arm's length to maintain a safe distance",she kept him at arm's length,वह उसे हथेली की दूरी पर रखती रही।,"במהלך האימון להגנה עצמית, היא שמרה על מרחק בזרוע ממנו כדי לשמור על מרחק בטוח."
keep card close to chest,"be secretive or cautious, give nothing away","During the negotiations, [[they kept their cards close to their chest]] and didn't reveal their true intentions","While playing poker, [[they kept their cards close to their chest]] so no one could see their hand","During the negotiations, they kept their cards close to their chest and didn't reveal their true intentions","While playing poker, they kept their cards close to their chest so no one could see their hand",they kept their cards close to their chest,वे अपनी कार्डों को अपनी छाती के पास रखे रखे।,"בזמן שהם שיחקו פוקר, הם שמרו על הקלפים שלהם קרוב לחזה כדי שאף אחד לא יוכל לראות את היד שלהם."
keep the wolf from the door,to have sufficient money to prevent starvation or hunger,"Working two jobs, she [[kept the wolf from the door]] and provided for her family","With a sturdy fence, the farmer [[kept the wolf from the door]] of his sheep pen","Working two jobs, she kept the wolf from the door and provided for her family","With a sturdy fence, the farmer kept the wolf from the door of his sheep pen",kept the wolf from the door,दरवाजे से भेड़िया दूर रखा।,"עם גדר עמידה, החקלאי שמר על הכניסה לכלי הצאן שלו מפני הזאב."
keep your nose clean,to stay out of trouble by not doing anything wrong,"To avoid getting into trouble, focus on [[keeping your nose clean]] at work","During allergy season, [[keeping your nose clean]] is essential for comfort","To avoid getting into trouble, focus on keeping your nose clean at work","During allergy season, keeping your nose clean is essential for comfort",keeping your nose clean,अपनी नाक साफ रखना।,"בעונת האלרגיות, שמירה על ניקיון האף היא חיונית לנוחות."
kick the bucket,to die,"The old couple, inseparable in life, [[kicked the bucket together]] in their sleep","While cleaning the barn, they accidentally [[kicked the bucket together]] and spilled water everywhere","The old couple, inseparable in life, kicked the bucket together in their sleep","While cleaning the barn, they accidentally kicked the bucket together and spilled water everywhere",kicked the bucket together,एक साथ बाल्टी उठा दिया।,"בזמן שהם ניקו את האסם, הם בטעות זרקו את הדלי ביחד והפיצו מים בכל מקום."
kick yourself,to be angry with yourself for something you have or have not done,They [[kicked themselves]] for not investing in the stock earlier,"During the yoga class, they accidentally [[kicked themselves]] while attempting a new pose",They kicked themselves for not investing in the stock earlier,"During the yoga class, they accidentally kicked themselves while attempting a new pose",kicked themselves,खुद को ठोक दिया,"במהלך שיעור היוגה, הם בטעות נגעו בעצמם בעת ניסיון לבצע תנוחה חדשה."
kill two birds with one stone,accomplish two different things at the same time,"By combining our errands, we [[killed two birds with one stone]] and saved time","With a well-aimed throw, he [[killed two birds with one stone]] in the field","By combining our errands, we killed two birds with one stone and saved time","With a well-aimed throw, he killed two birds with one stone in the field",killed two birds with one stone,एक पत्थर से दो चिड़ियों को मार दिया।,"עם זריקה מדויקת, הוא הרג שתי ציפורים באבן אחת בשדה."
kiss and make up,to become friendly again after an argument,"After the argument, he decided [[to kiss and make up with her]] to resolve their differences","During the play, the actors had [[to kiss and make up with her]] as part of the scene","After the argument, he decided to kiss and make up with her to resolve their differences","During the play, the actors had to kiss and make up with her as part of the scene",to kiss and make up with her,उससे चुंबन देकर उससे फिर से मिल जाना।,"במהלך המחזה, השחקנים היו צריכים לנשק ולהתחזק עם היא כחלק מהסצינה."
knee jerk reaction,an automatic response to something,His sudden outburst was [[a knee jerk reaction to the news]] of the company's bankruptcy,"The doctor tapped his patient's leg, causing [[a knee jerk reaction to the news]] of the reflex hammer",His sudden outburst was a knee jerk reaction to the news of the company's bankruptcy,"The doctor tapped his patient's leg, causing a knee jerk reaction to the news of the reflex hammer",a knee jerk reaction to the news,समाचार के लिए एक घुटने का जेर आविष्कार।,"הרופא טפטף על רגל המטופל שלו, גורם לתגובת ברך קרסול לחדשות על המקל הרפלקסיבי."
knock on wood,tap knuckle on wood in order to avoid bad luck,"Hoping for good luck, [[she knocked on wood]] before the big presentation","To test the sturdiness of the table, [[she knocked on wood]]","Hoping for good luck, she knocked on wood before the big presentation","To test the sturdiness of the table, she knocked on wood",she knocked on wood,उसने लकड़ी पर खटखटाया।,"כדי לבדוק את העמידות של השולחן, היא דפקה על עץ."
know the ropes,to know all the ways and means to get something done,"Having worked there for years, [[he knew the ropes well]] and could handle any task","As an experienced sailor, [[he knew the ropes well]] and could tie any knot","Having worked there for years, he knew the ropes well and could handle any task","As an experienced sailor, he knew the ropes well and could tie any knot",he knew the ropes well,उसे तार अच्छी तरह से पता था।,"כמלווה ימי מנוסה, הוא ידע את החבלים היטב ויכול היה לקשור כל קשר."
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,"He always supports the boss's decisions, showing that he [[knows which side his bread is buttered]]",He carefully observed the sandwich and [[knows which side his bread is buttered]] to avoid getting his hands greasy,"He always supports the boss's decisions, showing that he knows which side his bread is buttered",He carefully observed the sandwich and knows which side his bread is buttered to avoid getting his hands greasy,knows which side his bread is buttered,जानता है कि उसका रोटी किस तरफ से मक्खन लगा हुआ है।,הוא עקב בזהירות אחרי הסנדוויץ' ויודע מי הצד שלו מטוחן כדי למנוע מלטפל את ידיו.
knowing which way the wind blows,this means that you should know how things are developing and be prepared for the future,He made a wise decision by [[knowing which way the wind blows]] in the company,"As an experienced sailor, he was skilled at [[knowing which way the wind blows]]",He made a wise decision by knowing which way the wind blows in the company,"As an experienced sailor, he was skilled at knowing which way the wind blows",knowing which way the wind blows,"हवा किस दिशा में बहती है, उसे जानना।","כמלווה מנוסה, הוא היה מיומן בזיהוי לאיזו כיוון הרוח נושבת."
lead astray,make someone act or think in a wrong or foolish manner.,The false information [[led them astray]] in their investigation,The broken compass [[led them astray]] in the dense forest,The false information led them astray in their investigation,The broken compass led them astray in the dense forest,led them astray,उन्हें भटका दिया,המצפן השבור הוביל אותם לתפוס דרך לא נכונה ביער העמוס.
lean towards,to be interested in something,"After considering the pros and cons, she [[was leaning towards that option]]","While standing near the table, he [[was leaning towards that option]] to get a closer look","After considering the pros and cons, she was leaning towards that option","While standing near the table, he was leaning towards that option to get a closer look",was leaning towards that option,उस विकल्प की ओर झुक रहा था।,"בזמן שעמד ליד השולחן, הוא התכוון לאפשרות הזאת כדי לקבל מבט קרוב יותר."
leaps and bounds,progress very quickly,"After attending the workshop, her skills [[made progress in leaps and bounds]]",The kangaroo [[made progress in leaps and bounds]] across the field,"After attending the workshop, her skills made progress in leaps and bounds",The kangaroo made progress in leaps and bounds across the field,made progress in leaps and bounds,छलांगों से प्रगति की।,הקנגרו התקדם בקפיצות וקפיצות דרך השדה.
learn to walk before you run,to take smaller steps initially,You should [[learn to walk before you run]] when it comes to mastering a new skill,"As a toddler, you must [[learn to walk before you run]] to avoid falling",You should learn to walk before you run when it comes to mastering a new skill,"As a toddler, you must learn to walk before you run to avoid falling",learn to walk before you run,दौड़ने से पहले चलना सीखें।,"כתינוק, עליך ללמוד ללכת לפני שתרוץ כדי למנוע נפילות."
leave at the altar,decide not to marry someone at the very last moment,[[He left her at the altar]] when he decided not to show up for their wedding,[[He left her at the altar]] to fetch the forgotten wedding rings from their car,He left her at the altar when he decided not to show up for their wedding,He left her at the altar to fetch the forgotten wedding rings from their car,He left her at the altar,उसने उसे मंडप पर छोड़ दिया।,הוא עזב אותה על החופה כדי להביא את טבעות הנישואין השכוחות מהרכב שלהם.
leg up,give or receive assistance to achieve a goal,The scholarship [[gave her a leg up]] in her pursuit of higher education,He [[gave her a leg up]] to help her climb over the fence,The scholarship gave her a leg up in her pursuit of higher education,He gave her a leg up to help her climb over the fence,gave her a leg up,उसे एक पैर ऊपर दिया।,הוא נתן לה עזרה כדי לעזור לה לטפס על הגדר.
let the cat out of the bag,to let a secret out in the open,He accidentally [[let the cat out of the bag]] about the surprise party,She opened the bag and [[let the cat out of the bag]] after bringing it home from the shelter,He accidentally let the cat out of the bag about the surprise party,She opened the bag and let the cat out of the bag after bringing it home from the shelter,let the cat out of the bag,बैल को बाहर निकालने दो।,פתחה את התיק ושחררה את החתול מהתיק לאחר שהביאה אותו הביתה מהמקלט.
lick his wounds,"to try to recover your confidence or spirit after a defeat, failure or disappointment",He [[licked his wounds after the fight]] by taking some time to recover from the emotional blow,The injured dog [[licked his wounds after the fight]] with another canine,He licked his wounds after the fight by taking some time to recover from the emotional blow,The injured dog licked his wounds after the fight with another canine,licked his wounds after the fight,लड़ाई के बाद उसने अपनी घावों को चाटा।,הכלב הפצוע גרם לפצעיו ללק לאחר הקרב עם כלב אחר.
lick your lips,to show that you're excited about something and are eager for it to happen,[[They licked their lips]] in anticipation of the delicious meal,"After eating the ice cream, [[they licked their lips]] to clean off the remaining traces",They licked their lips in anticipation of the delicious meal,"After eating the ice cream, they licked their lips to clean off the remaining traces",They licked their lips,उन्होंने अपने होंठ चाटे।,"אחרי שאכלו את הגלידה, הם לחצו את שפתותיהם כדי לנקות את העקבות הנותרות."
lie low,"To go out of sight, usually after having done something bad.","After the controversy, [[he decided to lie low]] and avoid the media","During the game of hide and seek, [[he decided to lie low]] in the tall grass","After the controversy, he decided to lie low and avoid the media","During the game of hide and seek, he decided to lie low in the tall grass",he decided to lie low,उसने निर्णय लिया कि वह कम बोलेगा।,"במהלך משחק החבאי, הוא החליט להתחבא בדשא הגבוה."
lights are on but nobody is home,used to describe a stupid person.,"When I tried to explain the situation to him, it seemed like [[the lights are on but nobody is home]]",I walked past the house and noticed that [[the lights are on but nobody is home]],"When I tried to explain the situation to him, it seemed like the lights are on but nobody is home",I walked past the house and noticed that the lights are on but nobody is home,the lights are on but nobody is home,रोशनी जल रही है लेकिन कोई घर में नहीं है।,התהלכתי מעבר לבית ושם לבתי שהאורות דלוקים אבל אין אף אחד בבית.
line in the sand,a boundary beyond which one cannot proceed without consequences,He decided [[to draw a line in the sand]] and confront his coworker about the issue,"While playing at the beach, the children decided [[to draw a line in the sand]] to divide their territories",He decided to draw a line in the sand and confront his coworker about the issue,"While playing at the beach, the children decided to draw a line in the sand to divide their territories",to draw a line in the sand,रेत में एक रेखा खींचना।,"בזמן שהילדים שיחקו בחוף הים, הם החליטו לצייר קו בחול כדי לחלק את השטחים שלהם."
long in the tooth,To get too old for something.,He's [[getting long in the tooth]] and might retire soon,"The horse was [[getting long in the tooth]] as it aged, making it easier to determine its age",He's getting long in the tooth and might retire soon,"The horse was getting long in the tooth as it aged, making it easier to determine its age",getting long in the tooth,दांतों में उम्र बढ़ना।,"הסוס היה מתבגר וגם יש לו שיניים ארוכות, מה שהופך את זיהוי הגיל שלו לקל."
long run,far away in the future,Investing in education will pay off [[in the long run]],The marathon was [[in the long run]] category of races,Investing in education will pay off in the long run,The marathon was in the long run category of races,in the long run,लंबी दौड़ में,המרתון היה בקטגוריית המרוצים הארוכים.
look before you leap,to make sure that everything is alright before doing something important which you cannot revert,"When making a big decision, always remember [[to look before you leap]]","While standing on the edge of the diving board, he was reminded [[to look before you leap]]","When making a big decision, always remember to look before you leap","While standing on the edge of the diving board, he was reminded to look before you leap",to look before you leap,पहले देखो फिर तोफान में कूदो।,"בעודו עומד על קצה לוח הקפיצה, נזכר שצריך להסתכל לפני שמקפיץ."
looked through colored glasses,to look the things not as they are; having a heavily biased worldview,She always [[looked through colored glasses]] when it came to her children's achievements,"During the art class, we [[looked through colored glasses]] to observe the effects on the painting",She always looked through colored glasses when it came to her children's achievements,"During the art class, we looked through colored glasses to observe the effects on the painting",looked through colored glasses,रंगीन चश्मों से देखा।,"במהלך שיעורי האמנות, צפינו דרך כוסות צבעוניות כדי לצפות בהשפעות על הציור."
loose cannon,somebody whose activities are uncommon and out of control,"After losing his job, he [[became a loose cannon]] and started causing problems","During the battle reenactment, the replica [[became a loose cannon]] when it broke free from its mount","After losing his job, he became a loose cannon and started causing problems","During the battle reenactment, the replica became a loose cannon when it broke free from its mount",became a loose cannon,एक ढीला तोप बन गया।,"במהלך המחזור הקרבי, הרפליקה הפכה לפצצת זמן כשהיא נפרדה מהתקנתה."
lose your marbles,strange behaviors.,"After working non-stop for days, he finally [[lost his marbles]] and started talking nonsense","During the game, he accidentally [[lost his marbles]] when the bag ripped open","After working non-stop for days, he finally lost his marbles and started talking nonsense","During the game, he accidentally lost his marbles when the bag ripped open",lost his marbles,उसने अपनी मर्बल्स खो दीं।,"במהלך המשחק, הוא איבד בטעות את הכדוריות שלו כשהשקית נקרעה."
lower the bar,to lower standards or expectations,The company [[lowered the bar for everyone]] by reducing the performance expectations,The gym instructor [[lowered the bar for everyone]] during the limbo competition,The company lowered the bar for everyone by reducing the performance expectations,The gym instructor lowered the bar for everyone during the limbo competition,lowered the bar for everyone,सभी के लिए बार को कम कर दिया।,המדריך בחדר הכושר הוריד את המוט עבור כולם בתחרות הלימבו.
lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,"When I heard the sad news, [[I had a lump in my throat]] and couldn't speak","After swallowing a large piece of food, [[I had a lump in my throat]] and needed water","When I heard the sad news, I had a lump in my throat and couldn't speak","After swallowing a large piece of food, I had a lump in my throat and needed water",I had a lump in my throat,मेरे गले में एक गांठ थी।,"לאחר שבלעתי חתיכה גדולה של אוכל, הייתה לי גוש בגרון וצריך היה לי מים."
make a song and dance,if someone complains in an annoying way or becomes unnecessarily excited about something unimportant,She [[made a song and dance about it]] when she found out she won the lottery,The performers [[made a song and dance about it]] during the musical's finale,She made a song and dance about it when she found out she won the lottery,The performers made a song and dance about it during the musical's finale,made a song and dance about it,इसके बारे में एक गाना और नृत्य बनाया।,הבמאים עשו שיר וריקוד על כך בסיום המחזמר.
make ends meet,make sufficient money to survive on,"After losing her job, she [[was struggling to make ends meet]] and pay her bills",The tailor [[was struggling to make ends meet]] when sewing the two pieces of fabric together,"After losing her job, she was struggling to make ends meet and pay her bills",The tailor was struggling to make ends meet when sewing the two pieces of fabric together,was struggling to make ends meet,अंत मिलाने के लिए संघर्ष कर रहा था।,התופר היה נאבק להסתדר כלכלית כשהוא תפר את שתי חתיכות הבד יחד.
make ones bed and lie on it,to be responsible for what you have done and accept the results,[[They made their bed and lied on it]] when they decided to invest in that risky business,"After tidying up the room, [[they made their bed and lied on it]] to take a nap",They made their bed and lied on it when they decided to invest in that risky business,"After tidying up the room, they made their bed and lied on it to take a nap",They made their bed and lied on it,उन्होंने अपनी बिस्तर बनाई और उस पर लेट गए।,"לאחר שסדרו את החדר, הם עשו את המיטה שלהם והתכרבלו עליה כדי לישון קצת."
makes his hackles rise,to make you angry,The sound of nails on a chalkboard [[makes his hackles rise]],"When the dog senses danger, it [[makes his hackles rise]] on his back",The sound of nails on a chalkboard makes his hackles rise,"When the dog senses danger, it makes his hackles rise on his back",makes his hackles rise,उसके कानों में खुजली होना।,"כשהכלב מרגיש סכנה, הוא מעלה את השיערות על גבו."
makes my ears burn,"to be embarrassed by what you hear, especially if the conversation is about you",Hearing people gossip about me [[makes my ears burn]],Standing too close to the bonfire [[makes my ears burn]],Hearing people gossip about me makes my ears burn,Standing too close to the bonfire makes my ears burn,makes my ears burn,मेरे कान जलते हैं।,העמידה קרוב מדי למדורה מגרמת לאזני להתלהב.
man's best friend,"It refers to animals that are of use to human beings, mostly used to address dogs.",The loyal dog is often considered [[a man's best friend]],"He wrote a book about his childhood, where he described his brother as [[a man's best friend]]",The loyal dog is often considered a man's best friend,"He wrote a book about his childhood, where he described his brother as a man's best friend",a man's best friend,एक आदमी का सबसे अच्छा दोस्त,"הוא כתב ספר על ילדותו, שם הוא תאר את אחיו כחבר הכי טוב של האדם."
mend fences,to try and improve a bad relationship with another party,"After the argument, he started [[mending fences with her]] by apologizing",The farmer spent the afternoon [[mending fences with her]] to keep the animals inside,"After the argument, he started mending fences with her by apologizing",The farmer spent the afternoon mending fences with her to keep the animals inside,mending fences with her,उसके साथ फेंस को ठीक करना।,החקלאית בילתה את הצהריים בתיקוני הגדרות עם הכליות שלה כדי לשמור על הבעלי חיים בתוכם.
miles away,unaware of the current situation,"During the meeting, her thoughts [[seemed miles away]] from the topic",The mountain peak [[seemed miles away]] from our current location,"During the meeting, her thoughts seemed miles away from the topic",The mountain peak seemed miles away from our current location,seemed miles away,दूर दिखाई देता था।,הפסגת ההר נראית כמיילים ממיקומנו הנוכחי.
mind your own beeswax,do not interfere into someone else's matter,"Instead of gossiping about others, focus [[on minding your own beeswax]]","While working at the apiary, concentrate [[on minding your own beeswax]] production","Instead of gossiping about others, focus on minding your own beeswax","While working at the apiary, concentrate on minding your own beeswax production",on minding your own beeswax,अपने अपने काम से काम रखने पर।,"בזמן העבודה בכוורת, מתמקדים בייצור הדבש שלכם ולא מתעסקים בדבש של אחרים."
mind your own business,to look into your own matter,The neighbors [[were minding their own business]] and didn't notice the commotion next door,The entrepreneurs [[were minding their own business]] by managing their respective companies,The neighbors were minding their own business and didn't notice the commotion next door,The entrepreneurs were minding their own business by managing their respective companies,were minding their own business,वे अपने काम से काम रख रहे थे।,היזמים דאגו לעסוק בעסם שלהם על ידי ניהול החברות המתאימות שלהם.
miss the boat,miss a chance,[[She missed the boat on that opportunity]] by not applying for the job in time,[[She missed the boat on that opportunity]] to take the scenic river cruise,She missed the boat on that opportunity by not applying for the job in time,She missed the boat on that opportunity to take the scenic river cruise,She missed the boat on that opportunity,उसे उस अवसर पर नौका चूक गई थी।,היא החמיצה את הסיכוי לצאת לטיול בסירה על הנהר הציורי.
more heat than light,to cause anger or intense reaction but doesn't clarify anything,The heated debate [[generated more heat than light]] and left everyone confused,The malfunctioning light bulb [[generated more heat than light]] and needed to be replaced,The heated debate generated more heat than light and left everyone confused,The malfunctioning light bulb generated more heat than light and needed to be replaced,generated more heat than light,उत्पन्न की गई अधिक गर्मी थी जबकि प्रकाश कम था।,הנורה הפקידה יותר חום מאשר אור והייתה צריכה להיות מוחלפת.
my hands are full,someone is too busy or has too much going on to be able to do or become involved with anything else,"With three projects to manage and a presentation to prepare, [[my hands are full at the moment]]","Carrying a stack of books and a cup of coffee, [[my hands are full at the moment]]","With three projects to manage and a presentation to prepare, my hands are full at the moment","Carrying a stack of books and a cup of coffee, my hands are full at the moment",my hands are full at the moment,मेरे हाथ अभी भरे हुए हैं।,"נושאת מצביע של ספרים וכוס קפה, הידיים שלי מלאות כרגע."
nail biter,"a situation like a close contest, which induces anxiety or tension.",The final moments of the game were [[a real nail biter]] as both teams were neck and neck,"Watching her chew on her fingers during the movie, it was clear she was [[a real nail biter]]",The final moments of the game were a real nail biter as both teams were neck and neck,"Watching her chew on her fingers during the movie, it was clear she was a real nail biter",a real nail biter,एक वास्तविक नाखून चबाने वाली घटना।,"צפייה בה נשכת על אצבעותיה במהלך הסרט, היה ברור שהיא מנקצת ציפורניים אמיתית."
nail in the coffin,"an action/event that will help bring about the death, end, or failure of something or someone",His resignation letter [[put the final nail in the coffin]] for the company's future,The undertaker [[put the final nail in the coffin]] before lowering it into the ground,His resignation letter put the final nail in the coffin for the company's future,The undertaker put the final nail in the coffin before lowering it into the ground,put the final nail in the coffin,अंतिम नाखून डालें।,הקברן הניח את המסמר הסופי בארון לפני שהוריד אותו לקרקע.
never looked back,"after an event which changed your life for the better, you continue to be happy with the situation","She quit her job and started her own business, and she [[never looked back after that]]",He walked away from the haunted house and [[never looked back after that]],"She quit her job and started her own business, and she never looked back after that",He walked away from the haunted house and never looked back after that,never looked back after that,उसके बाद कभी पीछे नहीं देखा,הוא הלך מהבית המטריד ולעולם לא הביט אחורה אחרי זה.
no spring chicken,Someone who's no longer young.,He realized he was [[not a spring chicken anymore]] when he couldn't keep up with the younger athletes,The farmer confirmed that the hen was [[not a spring chicken anymore]] as it had grown quite large,He realized he was not a spring chicken anymore when he couldn't keep up with the younger athletes,The farmer confirmed that the hen was not a spring chicken anymore as it had grown quite large,not a spring chicken anymore,अब और जवान नहीं है।,החקלאי אישר כי התרנגולת לא הייתה עוד ציפור צעירה מאחר שגדלה למידות ניכרות.
not getting anywhere,to make no progress at all; not improving or advancing a particular situation,We were [[not getting anywhere with this]] project due to constant setbacks,"The car was stuck in the mud, and we were [[not getting anywhere with this]] vehicle",We were not getting anywhere with this project due to constant setbacks,"The car was stuck in the mud, and we were not getting anywhere with this vehicle",not getting anywhere with this,इससे कहीं नहीं जा रहे हैं।,הרכב נתקע בבוץ ולא הצלחנו להתקדם עם הרכב הזה.
not hurt a fly or flea,"To not be able to cause harm to anyone, including even a tiny and insignificant insect.","Despite his intimidating appearance, he [[wouldn't hurt a fly]] and was very gentle",She was so careful with her bug collection that she [[wouldn't hurt a fly]] while handling them,"Despite his intimidating appearance, he wouldn't hurt a fly and was very gentle",She was so careful with her bug collection that she wouldn't hurt a fly while handling them,wouldn't hurt a fly,एक मक्खी को भी नुकसान नहीं पहुंचाएगा।,"היא הייתה כל כך זהירה עם אוסף החרקים שלה, עד כדי שלא הייתה מפגיעה בזבוב בזמן הטיפול בהם."
not playing with a full deck,not mentally sound,His strange ideas made it seem like he was [[not playing with a full deck]],"During the poker game, we discovered we were [[not playing with a full deck]] when the ace of spades appeared twice",His strange ideas made it seem like he was not playing with a full deck,"During the poker game, we discovered we were not playing with a full deck when the ace of spades appeared twice",not playing with a full deck,पूरी तरह से नहीं खेलना।,"במהלך המשחק בפוקר, גילינו שאיננו משחקים עם חפיסה מלאה כאשר אס פיק הופיע פעמיים."
off grid,disconnected from municipal utility systems.,He decided to disconnect from social media and [[started living off grid]],They built a cabin in the woods and [[started living off grid]] without electricity or running water,He decided to disconnect from social media and started living off grid,They built a cabin in the woods and started living off grid without electricity or running water,started living off grid,ग्रिड से बाहर रहना शुरू कर दिया।,בנו צריף ביער והתחילו לחיות מחוץ לרשת עם ללא חשמל או מים זורמים.
old hat,Someone who is old fashioned. The phrase can directly refer to old fashion too.,"She's [[an old hat at]] programming, having done it for years","He found [[an old hat at]] the back of his closet, covered in dust","She's an old hat at programming, having done it for years","He found an old hat at the back of his closet, covered in dust",an old hat at,एक पुरानी टोपी,"מצא כובע ישן בקצה הארון שלו, מכוסה באבק."
