idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt,p_f_ko_gpt,p_l_ko_gpt,p_f_es_gpt,p_l_es_gpt,p_a_yo_gpt,p_f_yo_gpt
in at the deep end,to start a new job or activity without being prepared for it,"On her first day at work, she [[was thrown in at the deep end]] with a challenging project","During swimming lessons, he [[was thrown in at the deep end]] of the pool to test his skills","On her first day at work, she was thrown in at the deep end with a challenging project","During swimming lessons, he was thrown in at the deep end of the pool to test his skills",was thrown in at the deep end,"Az úszóórákon a medence mélyebb részébe dobták, hogy teszteljék az úszástudását.",깊은 끝에 던져졌다.,"그녀의 첫 출근 날, 도전적인 프로젝트에 던져졌다.",수영 수업 중에 그는 그의 기술을 시험하기 위해 수영장의 깊은 곳에 던져졌습니다.,"En su primer día de trabajo, la pusieron en el fondo con un proyecto desafiante.","Durante las lecciones de natación, lo arrojaron al extremo profundo de la piscina para poner a prueba sus habilidades.","ti o ba ti fi oju kan sile, o ti wa ni oju pupa.","Ni ojo ewa re ti o wa ni ise, o ti fi oju kan sile pelu iroyin ti o dara ju."
in bed with,"to work with a person or organisation, or being involved with them, in a way that causes other people to distrust you.",The company was accused of being [[in bed with the competition]] to manipulate prices,"The two athletes, who were also roommates, found themselves sharing a room and sleeping [[in bed with the competition]]",The company was accused of being in bed with the competition to manipulate prices,"The two athletes, who were also roommates, found themselves sharing a room and sleeping in bed with the competition",in bed with the competition,"A két sportoló, akik egyben lakótársak is voltak, azt találták, hogy egy szobát kell osztozniuk és az ágyat a versenytársukkal kell megosztaniuk.",경쟁업체와 침대에서 함께한다.,그 회사는 가격 조작을 위해 경쟁 업체와 함께 일했다는 비난을 받았다.,"두 선수는 룸메이트이기도 한데, 경쟁 상대와 함께 방을 공유하고 침대에서 자게 되었다.",La empresa fue acusada de estar en connivencia con la competencia para manipular los precios.,"Los dos atletas, que también eran compañeros de habitación, se encontraron compartiendo una habitación y durmiendo en la cama con la competencia.",ni ilẹkun pẹlu awọn ọrọpọ.,Iṣẹlẹ ti a ti ṣe ni o ti ń ṣe inú àwọn ọrọpọ ni o ṣe ṣe afikun lọwọ awọn ọja lati ṣe iṣiro.
in black and white,printed form of a document,"To avoid any confusion, we decided [[to put it in black and white]] in the contract",The artist chose [[to put it in black and white]] for a more dramatic effect,"To avoid any confusion, we decided to put it in black and white in the contract",The artist chose to put it in black and white for a more dramatic effect,to put it in black and white,"Az művész fekete-fehérre választotta, hogy drámaibb hatást érjen el.",흑백으로 말하자면,"혼란을 피하기 위해, 우리는 계약서에 검은색과 흰색으로 명시하기로 결정했습니다.",작가는 더욱 극적인 효과를 위해 흑백으로 표현하기로 선택했습니다.,"Para evitar cualquier confusión, decidimos ponerlo en blanco y negro en el contrato.",El artista decidió ponerlo en blanco y negro para lograr un efecto más dramático.,lati fi sori pupa ati funfun.,"Fun ni ipa ti o dara ju, a tun maa gbe eyi si ni dudu ati funfun ni iye akoko."
in deep water,a very serious situation,"After making a costly mistake, [[he found himself in deep water]] with his boss","While swimming in the ocean, [[he found himself in deep water]] and struggled to stay afloat","After making a costly mistake, he found himself in deep water with his boss","While swimming in the ocean, he found himself in deep water and struggled to stay afloat",he found himself in deep water,"Miközben az óceánban úszott, mély vízbe került és küzdött, hogy fennmaradjon a víz felszínén.",그는 자신이 깊은 물에 빠졌다는 것을 깨달았다.,"비싼 실수를 저지른 후, 그는 상사와 깊은 물에 빠졌다.",그는 바다에서 수영하다가 깊은 물에 빠져 뜻밖에 떠내려가며 떠오르기 위해 애를 썼다.,"Después de cometer un costoso error, se encontró en aguas profundas con su jefe.","Mientras nadaba en el océano, se encontró en aguas profundas y luchó por mantenerse a flote.",O ti ri oju omi to lọ.,"Lẹhin ti o ṣe iṣẹ alágbára, o ri ọna to lọwọ lọwọ pẹlu ọlẹ rẹ."
in full swing,at a stage when the level of activity is at its highest,"When we arrived, [[the party was in full swing]] with everyone dancing and laughing",The pendulum experiment demonstrated that [[the party was in full swing]] when the ball reached its highest point,"When we arrived, the party was in full swing with everyone dancing and laughing",The pendulum experiment demonstrated that the party was in full swing when the ball reached its highest point,the party was in full swing,"A lengőóra kísérlet azt mutatta, hogy a buli teljes gőzzel zajlott, amikor a labda elérte a legmagasabb pontját.",파티는 전면적으로 진행되고 있었다.,"우리가 도착했을 때, 파티는 모두가 춤을 추고 웃으며 열기가 났다.",진자 실험은 공이 최고점에 도달했을 때 파티가 한창이었음을 보여주었다.,"Cuando llegamos, la fiesta estaba en pleno apogeo con todos bailando y riendo.",El experimento del péndulo demostró que la fiesta estaba en pleno apogeo cuando la pelota alcanzó su punto más alto.,Ijọba ti wa ni ogo ọrọ.,"Lẹhin ti a ṣiṣẹ, awọn ọjọ́gbọn ti wa ni ìdíje yìí ní ìgbà gbogbo nitori awọn eniyan nípa àtúnṣe àti ìròyìn."
in hot water,in trouble or state of shame,He [[found himself in hot water]] after forgetting to submit the report on time,He accidentally [[found himself in hot water]] when he stepped into the scalding bathtub,He found himself in hot water after forgetting to submit the report on time,He accidentally found himself in hot water when he stepped into the scalding bathtub,found himself in hot water,A forró fürdőbe lépve véletlenül kellemetlen helyzetbe került.,그는 곤경에 처했다.,그는 보고서를 제출하는 것을 잊어버린 후에 곤경에 처했다.,그는 뜨거운 욕조에 발을 넣어 실수로 곤란한 상황에 처했다.,Se metió en problemas después de olvidar entregar el informe a tiempo.,Se metió en problemas sin querer cuando entró en la bañera hirviendo.,fi ara re si omi tutu,O ti ri oju ala ni ibi ti o ba fi iwe ipo yi pada si ojuami ni ojo ti o soro.
in one's blood,a natural or inherited characteristic.,"She's a natural athlete, [[it's in her blood]]","The medication she took is now circulating, [[it's in her blood]]","She's a natural athlete, it's in her blood","The medication she took is now circulating, it's in her blood",it's in her blood,"Az általa szedett gyógyszer most kering, a véráramában van.",그것은 그녀의 혈액 속에 있다.,"그녀는 천성적인 운동선수이며, 그것은 그녀의 혈통에 깊이 새겨져 있다.","그녀가 복용한 약은 현재 순환 중이며, 그녀의 혈액 속에 있습니다.","Ella es una atleta natural, está en su sangre.","La medicación que tomó ahora está circulando, está en su sangre.",O n jẹ ọkan rẹ.,"O ni ise oluwa ni, o wa ni omo ile."
in the black,to not be in debt,"After months of struggling, our business is [[finally in the black]]",She wore a dark outfit and was [[finally in the black]] for the themed party,"After months of struggling, our business is finally in the black",She wore a dark outfit and was finally in the black for the themed party,finally in the black,"Ő sötét ruhát viselt, és végül a témás bulin nyereségesen zárt.",마침내 흑자로 돌아왔다.,"몇 달간의 고난 끝에, 우리 비즈니스는 드디어 흑자입니다.",그녀는 어두운 옷을 입고 테마 파티에서 드디어 블랙으로 나왔다.,"Después de meses de luchar, nuestro negocio finalmente está en números negros.",Ella llevaba un atuendo oscuro y finalmente estaba en negro para la fiesta temática.,ni agbegbe dudu ni.,"Nitoripe owo ojo meta ni a ti fi owo oju kan sile, ijoba wa ni o si ni oju ala."
in the cross hairs,in a position where one might receive severe criticism,"As the whistleblower, he found himself [[caught in the cross hairs]] of the company's retaliation","During the paintball match, she was [[caught in the cross hairs]] of her opponent's gun","As the whistleblower, he found himself caught in the cross hairs of the company's retaliation","During the paintball match, she was caught in the cross hairs of her opponent's gun",caught in the cross hairs,A paintball mérkőzés során az ellenfele fegyverének keresztjébe került.,크로스헤어에 걸린.,"고발자로서, 그는 회사의 보복의 표적이 되어버렸다.",페인트볼 경기 중에 그녀는 상대방 총의 조준선에 걸렸습니다.,"Como denunciante, se encontró en la mira de la retaliación de la empresa.","Durante el juego de paintball, ella fue atrapada en la mira del arma de su oponente.",ko si ohun ti o le fi sile ni orisun ibeji.,"Bíi òṣèlú, ó sì tún jẹ́ ìdílé ìgbàgbọ́n ìṣẹ́ ní ìròyìn ìṣẹ́."
in the dark,"uninformed, a state of ignorance.",The employees [[were kept in the dark]] about the company's financial situation,"During the power outage, we [[were kept in the dark]] until the electricity came back",The employees were kept in the dark about the company's financial situation,"During the power outage, we were kept in the dark until the electricity came back",were kept in the dark,"Az áramszünet alatt sötétben tartottak minket, amíg vissza nem jött az áram.",어둠 속에 갇혀 있었다.,직원들은 회사의 재정 상황에 대해 알지 못하게 되어 있었다.,정전 동안에는 전기가 돌아올 때까지 우리는 어둠 속에 갇혀 있었습니다.,Los empleados fueron mantenidos en la oscuridad acerca de la situación financiera de la empresa.,"Durante el corte de energía, estuvimos a oscuras hasta que volvió la electricidad.",ko mọ awọn ọkan.,Awọn olumọ ti o ni oju kan niwaju iranlọwọ niwaju iṣẹlẹ ti o ni aye oṣiṣẹ rẹ.
in the doghouse,someone who is in disgrace and very unpopular at the moment,"After forgetting their anniversary, he was [[in the doghouse with her]] for a week",He crawled [[in the doghouse with her]] to retrieve the lost toy,"After forgetting their anniversary, he was in the doghouse with her for a week",He crawled in the doghouse with her to retrieve the lost toy,in the doghouse with her,"Bekászálódott a kutyaházba vele, hogy visszaszerezze az elveszett játékot.",그녀와 함께 개집에 있다.,"기념일을 잊어버린 후, 그는 일주일 동안 그녀와 함께 개집에 있었다.",그는 잃어버린 장난감을 찾기 위해 그녀와 함께 개집 안으로 기어들었다.,"Después de olvidar su aniversario, él estuvo en el perro de la casa con ella durante una semana.",Él se arrastró en la caseta del perro con ella para recuperar el juguete perdido.,ni ile alawo fun o.,"Lẹhin ti o ba ni ojó ibi rẹ, o jẹ ni ilé ìwé pẹlu rẹ ní ibi kan ni oṣù kan."
in the loop,to be aware of the information,"As a team member, I want to be [[kept in the loop]] about project updates",The rope was [[kept in the loop]] to secure the boat to the dock,"As a team member, I want to be kept in the loop about project updates",The rope was kept in the loop to secure the boat to the dock,kept in the loop,"A kötél a hurokban volt tartva, hogy a hajót a dokkhoz rögzítsék.","""kept in the loop""의 한국어 번역은 ""계속해서 정보를 받고 있다""입니다.",저는 팀원으로서 프로젝트 업데이트에 대해 계속해서 알려주시기를 바랍니다.,밧줄은 도크에 보트를 고정하기 위해 루프에 묶여 있었다.,"Como miembro del equipo, quiero estar al tanto de las actualizaciones del proyecto.",La cuerda se mantuvo en el lazo para asegurar el barco al muelle.,ni ipo yii.,"Bii omo-ogun, mo fẹran lati gba awọn ọrọ igbeyewo ti o wa ni ọna-ọna."
in the red,more money going out than coming in,"Due to poor financial decisions, [[the company is in the red]]","During the paintball match, [[the company is in the red]] team","Due to poor financial decisions, the company is in the red","During the paintball match, the company is in the red team",the company is in the red,A paintball mérkőzés alatt a cég a piros csapatban van.,회사는 적자 상태입니다.,"안 좋은 재정 결정으로 인해, 회사는 적자 상태입니다.","페인트볼 경기 중, 회사는 빨간 팀입니다.","Debido a malas decisiones financieras, la empresa está en números rojos.","Durante el juego de paintball, la empresa está en el equipo rojo.",Ile-iṣẹ náà ni ọwọ.,"Nitori awọn iṣẹda ẹbi ti o jẹ, odo o wa ni pupa."
in touch,"to remain in contact with someone, especially when separated by time or distance","Even after moving to another city, we promised [[to stay in touch]]","During the team-building exercise, we had [[to stay in touch]] by holding hands","Even after moving to another city, we promised to stay in touch","During the team-building exercise, we had to stay in touch by holding hands",to stay in touch,A csapatépítő gyakorlat során kéz fogásával kellett kapcsolatban maradnunk.,연락을 유지하다.,"다른 도시로 이사를 가더라도, 우리는 연락을 유지하기로 약속했다.",팀 빌딩 운동 중에 우리는 손을 잡고 연락을 유지해야 했습니다.,"Incluso después de mudarnos a otra ciudad, prometimos mantenernos en contacto.","Durante el ejercicio de construcción de equipo, tuvimos que mantenernos en contacto tomándonos de las manos.",ni ipoju rẹ.,"Nitorina ni ojo kan ti a fi sile si ilu keji, a ti obinrin funfun lati wa ni ibeere."
it's a small world,meeting someone not expected to be at a certain place,"Running into my childhood friend in a foreign country, I thought [[it's a small world after all]]","Looking at the miniature globe in the store, I remarked, [[it's a small world after all]]","Running into my childhood friend in a foreign country, I thought it's a small world after all","Looking at the miniature globe in the store, I remarked, it's a small world after all",it's a small world after all,"A boltban a miniatűr földgömbre nézve megjegyeztem, hogy végül is kicsi a világ.",그것은 결국 작은 세상이다.,"외국에서 어린 시절 친구를 만나게 되어, 세상이 정말 좁다는 생각이 들었습니다.","가게에서 소형 지구본을 보며, ""결국 작은 세상이구나""라고 말했다.","Al encontrarme con mi amigo de la infancia en un país extranjero, pensé que el mundo es pequeño después de todo.","Mirando el globo terráqueo en miniatura en la tienda, comenté: después de todo, es un mundo pequeño.",O dun bi alakan meta ni.,"Nitori ti mo ri omo alaabo mi ni orile-ede to wa ni ibeere, mo nso pe oye kekere ni ibeere yii."
jam on your face,"people who appear to be caught, embarrassed or found guilty","After making a mistake in the presentation, he [[had jam on his face]] in front of the whole team","While eating breakfast, he accidentally [[had jam on his face]] from the toast","After making a mistake in the presentation, he had jam on his face in front of the whole team","While eating breakfast, he accidentally had jam on his face from the toast",had jam on his face,"Miközben reggelizett, véletlenül lekvár került az arcára a pirítóstól.",그의 얼굴에 잼이 묻어 있었다.,"발표에서 실수를 한 후, 그는 전체 팀 앞에서 얼굴에 잼이 묻었다.",그는 아침을 먹으면서 실수로 토스트에서 잼이 얼굴에 묻었다.,"Después de cometer un error en la presentación, tenía mermelada en la cara frente a todo el equipo.","Mientras desayunaba, accidentalmente tenía mermelada en la cara por el pan tostado.",o ni jamu lori oro re,"Lẹhin ti o ṣe ẹrọ lọrọ ni ipinnu, o jẹ ọpọlọpọ jam ni aarin awọn ẹkipu gbogbo."
"judge, jury and executioner","people that are in charge of every decision made, and they have the power to be rid of whomever they choose","He [[was acting as judge, jury, and executioner]] when he made the decision without consulting anyone","In the dystopian play, the main character [[was acting as judge, jury, and executioner]] in a twisted legal system","He was acting as judge, jury, and executioner when he made the decision without consulting anyone","In the dystopian play, the main character was acting as judge, jury, and executioner in a twisted legal system","was acting as judge, jury, and executioner","A disztópikus darabban a főszereplő bíró, esküdt és hóhér szerepét játszotta el egy eltorzult jogrendszerben.","심판, 배심원, 그리고 집행자 역할을 했다.","그는 아무도 상담하지 않고 결정을 내릴 때 심판, 배심원 및 집행자 역할을 했다.","디스토피아적 연극에서, 주인공은 비뢰한 법률 체계에서 판사, 배심원, 그리고 집행자로 행동했다.","Él actuó como juez, jurado y verdugo cuando tomó la decisión sin consultar a nadie.","En la obra distópica, el personaje principal actuaba como juez, jurado y verdugo en un retorcido sistema legal.","O ti ṣe iṣẹ alabọde, alabọde, ati alabọde.","O ti ṣe iṣẹ alabọde, alabọde, ati alabọde ni o ti wa niyanju lori igbeyawo kan ti o koja si eniyan kan."
jump on the bandwagon,to start doing something because it is fashionable or profitable,"When the new trend became popular, everyone [[jumped on the bandwagon]]","During the parade, he [[jumped on the bandwagon]] to join the musicians","When the new trend became popular, everyone jumped on the bandwagon","During the parade, he jumped on the bandwagon to join the musicians",jumped on the bandwagon,Az felvonulás alatt felugrott a zenészekhez csatlakozni.,밴드와건에 뛰어들었다.,새로운 트렌드가 인기를 얻자 모두가 따라하기 시작했다.,퍼레이드 중에 그는 음악가들과 함께하기 위해 밴드 왜건에 올라탔다.,"Cuando la nueva tendencia se hizo popular, todos se subieron al carro.","Durante el desfile, se subió al carro de los músicos para unirse a ellos.",ni oju owo pada pada.,"Lẹhin ti ọrọ ayẹwo titun bẹẹni ti wa ni agbaye, gbogbo eniyan wa ni ọkọlọ."
jungle out there,the situation is dangerous and is characterized by ruthless behavior and competition,"With so much competition in the job market, [[it's a jungle out there]]","As we entered the dense rainforest, our guide warned us, [[it's a jungle out there]]","With so much competition in the job market, it's a jungle out there","As we entered the dense rainforest, our guide warned us, it's a jungle out there",it's a jungle out there,"Amikor beléptünk a sűrű esőerdőbe, az idegenvezetőnk figyelmeztetett minket, hogy az odakint egy dzsungel.",거기는 정말 정글 같아요.,"취업 시장에서 경쟁이 치열하기 때문에, 그곳은 정말 정글 같다.","우리가 빽빽한 우림에 들어갈 때, 우리 가이드는 경고했다. ""거기는 정글이야.""","Con tanta competencia en el mercado laboral, es una jungla ahí fuera.","Al entrar en la densa selva tropical, nuestro guía nos advirtió: es una jungla ahí fuera.",O ni ile-ijọba ni ibi yii.,"Pelé ni agbègbè iṣẹ, o jẹ alẹ."
jury's out,when there is no general agreement or consensus on something,"Regarding the new policy, [[the jury's out on that decision]], as people are still debating its effectiveness","During the court recess, [[the jury's out on that decision]], discussing the case in a separate room","Regarding the new policy, the jury's out on that decision, as people are still debating its effectiveness","During the court recess, the jury's out on that decision, discussing the case in a separate room",the jury's out on that decision,"Az ítélőtábla szünetében a döntés még kérdéses, a zsűri külön szobában tárgyalja az ügyet.",그 결정에 대해서는 아직 판단이 나지 않았습니다.,새로운 정책에 대해서는 아직 효과에 대한 논쟁이 이어지고 있어서 결정이 분명하지 않습니다.,재판 중 휴정 중에 배심원들은 그 결정에 대해 의논하며 별도의 방에서 사건을 논의합니다.,"En cuanto a la nueva política, el veredicto está pendiente sobre esa decisión, ya que las personas todavía están debatiendo su efectividad.","Durante el receso del tribunal, el jurado está deliberando esa decisión, discutiendo el caso en una sala aparte.",Iroyin ko ti di opin lori iyanju yii.,"Nipa iṣẹ afikun tuntun, awọn ọmọde ni wọn ti ṣe iṣẹlẹ niwaju awọn iṣẹlẹ kan, nitori wọn ni wọn ti nira lati ṣe iṣẹlẹ kan yii, bi o ṣe le ṣe niwaju awọn iṣẹlẹ kan."
just off the boat,a person who is naive and inexperienced,"He was so naive and inexperienced, as if he was [[just off the boat]]","Soaking wet and carrying their luggage, they were [[just off the boat]] from their island trip","He was so naive and inexperienced, as if he was just off the boat","Soaking wet and carrying their luggage, they were just off the boat from their island trip",just off the boat,Átázva és csomagjaikkal a kezükben épp most szálltak ki a hajóról a szigetútjukról.,방금 배에서 내려온,그는 배에서 내려온 것 같이 순진하고 경험이 없었다.,그들은 짐을 들고 젖은 채 섬 여행에서 바로 내려와 있었다.,"Era tan ingenuo e inexperto, como si acabara de bajar del barco.","Empapados y cargando su equipaje, acababan de bajar del barco de su viaje a la isla.",oju owo ni o wa.,"O ti oju owo, o ti oju opo, bi o ba ti wa ni ilu."
just what the doctor ordered,exactly what was wanted or needed,A relaxing vacation was [[just what the doctor ordered]] after a stressful year,The prescribed medication was [[just what the doctor ordered]] for her condition,A relaxing vacation was just what the doctor ordered after a stressful year,The prescribed medication was just what the doctor ordered for her condition,just what the doctor ordered,"Az előírt gyógyszer pontosan az volt, amit az orvos előírt az állapota miatt.",방문한 의사가 처방한 대로,스트레스가 많았던 한 해 후에 편안한 휴가가 바로 의사가 처방한 것이었다.,처방된 약은 그녀의 상태에 딱 맞는 것이었습니다.,Unas vacaciones relajantes eran justo lo que el doctor recetó después de un año estresante.,La medicación prescrita fue justo lo que el médico ordenó para su condición.,nitori pe o ti oju omo iya doctor.,Ọjọ ayẹwo ti o dara ju loju omo araye ni o wa ni ojumo ti o ni aṣojú kan lọjọ kan ni o wa ni ojumo ti o ni aṣojú kan.
keep at arm's length,keep distance from something or somebody,"Despite his attempts to get closer, [[she kept him at arm's length]] due to her cautious nature","During the self-defense training, [[she kept him at arm's length]] to maintain a safe distance","Despite his attempts to get closer, she kept him at arm's length due to her cautious nature","During the self-defense training, she kept him at arm's length to maintain a safe distance",she kept him at arm's length,"Az önvédelmi edzés során távol tartotta magától, hogy biztonságos távolságot tartsanak.",그녀는 그를 손길이 닿지 않는 거리에 두었다.,그녀는 신중한 성격 때문에 그가 더 가까이 다가오려는 노력에도 손길을 멀리하고 있었다.,자기 방어 훈련 중에 그녀는 안전 거리를 유지하기 위해 그를 팔 길이만큼 멀리 떨어뜨려 놓았다.,"A pesar de sus intentos por acercarse, ella lo mantuvo a distancia debido a su naturaleza cautelosa.","Durante el entrenamiento de autodefensa, ella lo mantuvo a distancia para mantener una distancia segura.",O ti gbe ọrẹ rẹ lọwọ ọwọ kan.,"Nitorina awọn iṣẹ rẹ lati wa ni ibeere, o si gbe o ni odo rẹ ni ibeere ti o ni ọrọ ọrọ."
keep card close to chest,"be secretive or cautious, give nothing away","During the negotiations, [[they kept their cards close to their chest]] and didn't reveal their true intentions","While playing poker, [[they kept their cards close to their chest]] so no one could see their hand","During the negotiations, they kept their cards close to their chest and didn't reveal their true intentions","While playing poker, they kept their cards close to their chest so no one could see their hand",they kept their cards close to their chest,"Miközben pókereztek, szorosan a mellkasukhoz tartották a lapjaikat, hogy senki ne láthassa a kezüket.",그들은 그들의 카드를 가슴에 꽉 쥐고 있었다.,협상 중에 그들은 카드를 가까이에 두고 진정한 의도를 드러내지 않았다.,포커를 하면서 그들은 카드를 가슴에 가깝게 두어 다른 사람들이 자신의 패를 볼 수 없도록 했다.,"Durante las negociaciones, mantuvieron sus cartas cerca del pecho y no revelaron sus verdaderas intenciones.","Mientras jugaban al póker, mantuvieron sus cartas cerca del pecho para que nadie pudiera ver su mano.",Won ti gbe awọn kadi wọn lọwọ wọn.,"Ni ibere iranlọwọ, wọn ti gbe awọn kadi wọn si ipa wọn ati ko si gbe awọn iranlọwọ toto wọn."
keep the wolf from the door,to have sufficient money to prevent starvation or hunger,"Working two jobs, she [[kept the wolf from the door]] and provided for her family","With a sturdy fence, the farmer [[kept the wolf from the door]] of his sheep pen","Working two jobs, she kept the wolf from the door and provided for her family","With a sturdy fence, the farmer kept the wolf from the door of his sheep pen",kept the wolf from the door,Egy erős kerítéssel a gazda távol tartotta a farkast a juhakol ajtajától.,문을 지키다.,"두 개의 일을 하며, 그녀는 가난을 이겨내고 가족을 지원했다.",튼튼한 울타리로 농부는 양 우리 문 앞에서 늑대를 막았다.,"Trabajando en dos empleos, mantuvo al lobo alejado de la puerta y proporcionó para su familia.","Con una cerca resistente, el granjero mantuvo al lobo alejado de la puerta de su corral de ovejas.",ni ojú òkùnrin kan lọwọ ilé.,"Nitoripe o ti owo awon ise meji, o si gbe oko lara owo ati gbe omo re ni ipo."
keep your nose clean,to stay out of trouble by not doing anything wrong,"To avoid getting into trouble, focus on [[keeping your nose clean]] at work","During allergy season, [[keeping your nose clean]] is essential for comfort","To avoid getting into trouble, focus on keeping your nose clean at work","During allergy season, keeping your nose clean is essential for comfort",keeping your nose clean,Az allergia szezon alatt az orr tisztán tartása elengedhetetlen a kényelem érdekében.,당신의 코를 깨끗하게 유지하기,문제에 빠지지 않으려면 직장에서 깨끗한 모습을 유지하는 것에 집중하세요.,알레르기 시즌 동안 코를 깨끗하게 유지하는 것은 편안함을 위해 필수적입니다.,"Para evitar meterse en problemas, concéntrate en mantener tu nariz limpia en el trabajo.","Durante la temporada de alergias, mantener la nariz limpia es esencial para la comodidad.",ni ipa rẹ ni ọrọ Yoruba.,"Fun ara e si ni owo, joko si iṣẹ rẹ lati mu ara rẹ ṣe alailẹṣẹ."
kick the bucket,to die,"The old couple, inseparable in life, [[kicked the bucket together]] in their sleep","While cleaning the barn, they accidentally [[kicked the bucket together]] and spilled water everywhere","The old couple, inseparable in life, kicked the bucket together in their sleep","While cleaning the barn, they accidentally kicked the bucket together and spilled water everywhere",kicked the bucket together,"Miközben takarították az istállót, véletlenül együtt rúgták fel a vödröt és mindenhol szétfröccsent a víz.",함께 그릇을 찼다.,인생에서 떨어지지 않는 노부부는 함께 자면서 함께 세상을 떠났다.,헛간을 청소하다가 그들은 실수로 함께 양동이를 차고 물을 쏟아냈습니다.,"La pareja de ancianos, inseparable en la vida, falleció juntos mientras dormían.","Mientras limpiaban el establo, accidentalmente patearon el cubo juntos y derramaron agua por todas partes.",ko gbodo mu ọpọlọpọ ni ọna.,"Iyawo ati oko to nla, ti o ko ni le se, ti o ku ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni won ni"
kick yourself,to be angry with yourself for something you have or have not done,They [[kicked themselves]] for not investing in the stock earlier,"During the yoga class, they accidentally [[kicked themselves]] while attempting a new pose",They kicked themselves for not investing in the stock earlier,"During the yoga class, they accidentally kicked themselves while attempting a new pose",kicked themselves,"A jógaóra során véletlenül rúgták magukat, amikor egy új pózt próbáltak ki.",자신들을 차다.,그들은 이전에 주식에 투자하지 않아서 자신들을 탓했다.,요가 수업 중에 새로운 자세를 시도하다가 실수로 자신들을 차면서 다쳤습니다.,Se arrepintieron de no haber invertido en la bolsa antes.,"Durante la clase de yoga, se dieron un golpe accidentalmente mientras intentaban una nueva postura.",ko si won pada sile,Won ti gbe inu won fun awon ohun ti won ko se ise owo ni owo isale lo.
kill two birds with one stone,accomplish two different things at the same time,"By combining our errands, we [[killed two birds with one stone]] and saved time","With a well-aimed throw, he [[killed two birds with one stone]] in the field","By combining our errands, we killed two birds with one stone and saved time","With a well-aimed throw, he killed two birds with one stone in the field",killed two birds with one stone,Egy jól irányzott dobással két legyet ütött egy csapásra a mezőn.,한 번에 두 마리의 새를 잡았다.,우리는 우리의 일거리를 결합하여 한 번에 두 마리의 새를 잡아 시간을 절약했습니다.,정확한 던지기로 그는 들판에서 두 마리의 새를 한 번에 잡았다.,"Al combinar nuestras diligencias, matamos dos pájaros de un tiro y ahorramos tiempo.","Con un lanzamiento bien dirigido, mató dos pájaros de un tiro en el campo.",O pa eyin meji pelu odo kan.,"Nipa ifihan wa ti a fi se, a pa eji kan pẹlu ọkan ati jẹ aiku."
kiss and make up,to become friendly again after an argument,"After the argument, he decided [[to kiss and make up with her]] to resolve their differences","During the play, the actors had [[to kiss and make up with her]] as part of the scene","After the argument, he decided to kiss and make up with her to resolve their differences","During the play, the actors had to kiss and make up with her as part of the scene",to kiss and make up with her,A játék során a színészeknek meg kellett csókolniuk és kibékülniük vele a jelenet részeként.,그녀와 키스하고 화해하다.,"논쟁 후, 그는 그녀와 화해하고 문제를 해결하기 위해 키스하기로 결정했다.",연극 중에 배우들은 장면의 일부로 그녀와 키스하고 화해해야 했습니다.,"Después de la discusión, decidió besarla y hacer las paces con ella para resolver sus diferencias.","Durante la obra, los actores tuvieron que besarse y reconciliarse con ella como parte de la escena.",lati sofo ati gba ara re pada.,"Lẹhin awọn iṣẹda, o wa ni iranlọwọ lati bẹrẹ si ọ lati ṣeto awọn ohun rere wọn."
