idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt,p_f_ko_gpt
leave at the altar,decide not to marry someone at the very last moment,[[He left her at the altar]] when he decided not to show up for their wedding,[[He left her at the altar]] to fetch the forgotten wedding rings from their car,He left her at the altar when he decided not to show up for their wedding,He left her at the altar to fetch the forgotten wedding rings from their car,He left her at the altar,"Elhagyta az oltárnál, hogy elhozza az elfelejtett esküvői gyűrűket az autójukból.",그는 그녀를 제단 앞에서 버렸다.,그는 그녀를 제단 앞에서 버렸다. 그는 결혼식에 나타나지 않기로 결정했기 때문이다.
leg up,give or receive assistance to achieve a goal,The scholarship [[gave her a leg up]] in her pursuit of higher education,He [[gave her a leg up]] to help her climb over the fence,The scholarship gave her a leg up in her pursuit of higher education,He gave her a leg up to help her climb over the fence,gave her a leg up,"Ő felsegítette őt, hogy át tudjon mászni a kerítésen.",그녀에게 발판을 제공했다.,장학금은 그녀가 더 높은 교육을 추구하는 데 도움이 되었습니다.
let the cat out of the bag,to let a secret out in the open,He accidentally [[let the cat out of the bag]] about the surprise party,She opened the bag and [[let the cat out of the bag]] after bringing it home from the shelter,He accidentally let the cat out of the bag about the surprise party,She opened the bag and let the cat out of the bag after bringing it home from the shelter,let the cat out of the bag,"Ő kinyitotta a táskát és kiengedte a macskát a táskából, miután hazahozta az állatot az állatmenhelyről.",고양이를 가방에서 놓아주세요.,그는 우연히 의외의 파티에 대한 비밀을 고양이가 가방에서 나오게 해버렸다.
lick his wounds,"to try to recover your confidence or spirit after a defeat, failure or disappointment",He [[licked his wounds after the fight]] by taking some time to recover from the emotional blow,The injured dog [[licked his wounds after the fight]] with another canine,He licked his wounds after the fight by taking some time to recover from the emotional blow,The injured dog licked his wounds after the fight with another canine,licked his wounds after the fight,Az sérült kutya nyalogatta sebeit a harc után egy másik kutyával.,싸움 끝나고 상처를 핥았다.,그는 감정적 충격으로부터 회복하기 위해 시간을 내어 싸움 끝에 상처를 핥았다.
lick your lips,to show that you're excited about something and are eager for it to happen,[[They licked their lips]] in anticipation of the delicious meal,"After eating the ice cream, [[they licked their lips]] to clean off the remaining traces",They licked their lips in anticipation of the delicious meal,"After eating the ice cream, they licked their lips to clean off the remaining traces",They licked their lips,"Azután, hogy megették a fagyit, lenyalogatták az ajkukat, hogy eltávolítsák a maradék nyomokat.",그들은 입술을 핥았다.,그들은 맛있는 식사를 기대하며 입술을 핥았다.
lie low,"To go out of sight, usually after having done something bad.","After the controversy, [[he decided to lie low]] and avoid the media","During the game of hide and seek, [[he decided to lie low]] in the tall grass","After the controversy, he decided to lie low and avoid the media","During the game of hide and seek, he decided to lie low in the tall grass",he decided to lie low,"A bújócska játék közben úgy döntött, hogy a magas fűben rejtőzik el.",그는 낮게 자리 잡기로 결정했다.,논란 후 그는 낮게 자리를 잡고 언론을 피하기로 결정했다.
lights are on but nobody is home,used to describe a stupid person.,"When I tried to explain the situation to him, it seemed like [[the lights are on but nobody is home]]",I walked past the house and noticed that [[the lights are on but nobody is home]],"When I tried to explain the situation to him, it seemed like the lights are on but nobody is home",I walked past the house and noticed that the lights are on but nobody is home,the lights are on but nobody is home,"Elmentem a ház mellett és észrevettem, hogy égnek a lámpák, de senki sincs otthon.",불은 켜져 있지만 아무도 집에 없습니다.,"그에게 상황을 설명하려고 시도했을 때, 불이 켜져 있지만 아무도 없는 것 같았다."
line in the sand,a boundary beyond which one cannot proceed without consequences,He decided [[to draw a line in the sand]] and confront his coworker about the issue,"While playing at the beach, the children decided [[to draw a line in the sand]] to divide their territories",He decided to draw a line in the sand and confront his coworker about the issue,"While playing at the beach, the children decided to draw a line in the sand to divide their territories",to draw a line in the sand,"Miközben a strandon játszottak, a gyerekek úgy döntöttek, hogy vonalat húznak a homokban, hogy felosszák a területeiket.",모래 위에 선을 그리다.,그는 모멘트를 선택하여 동료와 문제에 대해 대립하고자 했다.
long in the tooth,To get too old for something.,He's [[getting long in the tooth]] and might retire soon,"The horse was [[getting long in the tooth]] as it aged, making it easier to determine its age",He's getting long in the tooth and might retire soon,"The horse was getting long in the tooth as it aged, making it easier to determine its age",getting long in the tooth,"A ló idősödött és hosszabbodtak az fogai, ami megkönnyítette az életkorának meghatározását.",이제 나이가 들어서 늙어가고 있다.,그는 이제 나이가 들어서 곧 은퇴할 수도 있습니다.
long run,far away in the future,Investing in education will pay off [[in the long run]],The marathon was [[in the long run]] category of races,Investing in education will pay off in the long run,The marathon was in the long run category of races,in the long run,A maraton a hosszú távú versenyek kategóriájába tartozott.,장기적으로는,교육에 투자하는 것은 장기적으로 보면 이익이 될 것입니다.
look before you leap,to make sure that everything is alright before doing something important which you cannot revert,"When making a big decision, always remember [[to look before you leap]]","While standing on the edge of the diving board, he was reminded [[to look before you leap]]","When making a big decision, always remember to look before you leap","While standing on the edge of the diving board, he was reminded to look before you leap",to look before you leap,"Amikor a mólón állt, emlékeztették arra, hogy előbb nézz, mielőtt ugrasz.",도약하기 전에 미리 살피세요.,큰 결정을 내릴 때는 뛰기 전에 항상 먼저 보는 것을 기억하세요.
looked through colored glasses,to look the things not as they are; having a heavily biased worldview,She always [[looked through colored glasses]] when it came to her children's achievements,"During the art class, we [[looked through colored glasses]] to observe the effects on the painting",She always looked through colored glasses when it came to her children's achievements,"During the art class, we looked through colored glasses to observe the effects on the painting",looked through colored glasses,"Az művészeti órán színes szemüvegen keresztül néztünk, hogy megfigyeljük a hatásokat a festményen.",색안경을 끼고 봤다.,그녀는 항상 자신의 자녀들의 성취에 대해서는 유색 안경을 쓰고 있었다.
loose cannon,somebody whose activities are uncommon and out of control,"After losing his job, he [[became a loose cannon]] and started causing problems","During the battle reenactment, the replica [[became a loose cannon]] when it broke free from its mount","After losing his job, he became a loose cannon and started causing problems","During the battle reenactment, the replica became a loose cannon when it broke free from its mount",became a loose cannon,"A csatavisszaadás során a replika elszabadult, amikor kiszabadult a tartójából.","""became a loose cannon"" translates to ""난무하는 대포가 되었다"" in Korean.","일자리를 잃은 후, 그는 통제할 수 없는 인물이 되어 문제를 일으키기 시작했다."
lose your marbles,strange behaviors.,"After working non-stop for days, he finally [[lost his marbles]] and started talking nonsense","During the game, he accidentally [[lost his marbles]] when the bag ripped open","After working non-stop for days, he finally lost his marbles and started talking nonsense","During the game, he accidentally lost his marbles when the bag ripped open",lost his marbles,"A játék közben véletlenül elveszítette a golyóit, amikor kiszakadt a zsák.",그는 그의 구슬을 잃어버렸다.,"며칠 동안 끊임없이 일한 후, 그는 마침내 제정신을 잃고 헛소리를 하기 시작했다."
lower the bar,to lower standards or expectations,The company [[lowered the bar for everyone]] by reducing the performance expectations,The gym instructor [[lowered the bar for everyone]] during the limbo competition,The company lowered the bar for everyone by reducing the performance expectations,The gym instructor lowered the bar for everyone during the limbo competition,lowered the bar for everyone,Az edző leengedte a rudat mindenki számára a limbo verseny alatt.,모두를 위해 기준을 낮추었습니다.,그 회사는 성과 기대치를 낮춤으로써 모든 사람들에게 기준을 낮추었습니다.
lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,"When I heard the sad news, [[I had a lump in my throat]] and couldn't speak","After swallowing a large piece of food, [[I had a lump in my throat]] and needed water","When I heard the sad news, I had a lump in my throat and couldn't speak","After swallowing a large piece of food, I had a lump in my throat and needed water",I had a lump in my throat,"Nagy darab ételt lenyelve csomó érzése volt a torkomban, és vizet kellett innom.",내 목에는 덩어리가 있었다.,"슬픈 소식을 들었을 때, 목구멍이 메어 말을 할 수 없었다."
make a song and dance,if someone complains in an annoying way or becomes unnecessarily excited about something unimportant,She [[made a song and dance about it]] when she found out she won the lottery,The performers [[made a song and dance about it]] during the musical's finale,She made a song and dance about it when she found out she won the lottery,The performers made a song and dance about it during the musical's finale,made a song and dance about it,A szereplők dalra és táncra perdültek a musical fináléjában.,그것에 대해 노래와 춤을 추었다.,그녀는 복권에 당첨됐다는 소식을 듣고 그것에 대해 노래와 춤을 추며 크게 기뻐했다.
make ends meet,make sufficient money to survive on,"After losing her job, she [[was struggling to make ends meet]] and pay her bills",The tailor [[was struggling to make ends meet]] when sewing the two pieces of fabric together,"After losing her job, she was struggling to make ends meet and pay her bills",The tailor was struggling to make ends meet when sewing the two pieces of fabric together,was struggling to make ends meet,"A szabó nehezen tudta kijönni a pénzéből, amikor összevarrta a két anyagdarabot.",끝을 맞추기 위해 고군분투했다.,"일자리를 잃은 후, 그녀는 생활비와 청구서를 갚기 위해 고군분투했다."
make ones bed and lie on it,to be responsible for what you have done and accept the results,[[They made their bed and lied on it]] when they decided to invest in that risky business,"After tidying up the room, [[they made their bed and lied on it]] to take a nap",They made their bed and lied on it when they decided to invest in that risky business,"After tidying up the room, they made their bed and lied on it to take a nap",They made their bed and lied on it,"Miután rendbe tették a szobát, beágyaztak és ráfeküdtek aludni.",그들은 자기 침대를 만들고 누웠다.,그들은 그 위험한 사업에 투자하기로 결정했을 때 자신들의 침대를 만들고 누웠다.
makes his hackles rise,to make you angry,The sound of nails on a chalkboard [[makes his hackles rise]],"When the dog senses danger, it [[makes his hackles rise]] on his back",The sound of nails on a chalkboard makes his hackles rise,"When the dog senses danger, it makes his hackles rise on his back",makes his hackles rise,"Amikor a kutya veszélyt észlel, felállnak a szőrszálai a hátán.",그는 분노하게 만든다.,칠판에 손톱이 긁히는 소리는 그의 털을 곤두세우게 만든다.
makes my ears burn,"to be embarrassed by what you hear, especially if the conversation is about you",Hearing people gossip about me [[makes my ears burn]],Standing too close to the bonfire [[makes my ears burn]],Hearing people gossip about me makes my ears burn,Standing too close to the bonfire makes my ears burn,makes my ears burn,"Túl közel állok a tábortűzhöz, ezért égnek a füleim.",제 귀를 뜨거워지게 만듭니다.,나를 향한 험담을 듣는 것은 내 귀가 빨개지게 만든다.
man's best friend,"It refers to animals that are of use to human beings, mostly used to address dogs.",The loyal dog is often considered [[a man's best friend]],"He wrote a book about his childhood, where he described his brother as [[a man's best friend]]",The loyal dog is often considered a man's best friend,"He wrote a book about his childhood, where he described his brother as a man's best friend",a man's best friend,"Ő írt egy könyvet a gyermekkoráról, ahol a testvérét írta le a férfi legjobb barátjaként.",남자의 가장 친한 친구,충실한 개는 종종 사람의 가장 친한 친구로 여겨집니다.
mend fences,to try and improve a bad relationship with another party,"After the argument, he started [[mending fences with her]] by apologizing",The farmer spent the afternoon [[mending fences with her]] to keep the animals inside,"After the argument, he started mending fences with her by apologizing",The farmer spent the afternoon mending fences with her to keep the animals inside,mending fences with her,"A gazda délutánját a kerítések javításával töltötte, hogy az állatok bent maradjanak.",그녀와 화해하기,"논쟁 후, 그는 사과하여 그녀와 화해하려고 시작했다."
miles away,unaware of the current situation,"During the meeting, her thoughts [[seemed miles away]] from the topic",The mountain peak [[seemed miles away]] from our current location,"During the meeting, her thoughts seemed miles away from the topic",The mountain peak seemed miles away from our current location,seemed miles away,A hegy csúcsa mérföldekre tűnt a jelenlegi helyzetünktől.,멀어 보였다.,회의 중에 그녀의 생각은 주제와 멀어 보였다.
mind your own beeswax,do not interfere into someone else's matter,"Instead of gossiping about others, focus [[on minding your own beeswax]]","While working at the apiary, concentrate [[on minding your own beeswax]] production","Instead of gossiping about others, focus on minding your own beeswax","While working at the apiary, concentrate on minding your own beeswax production",on minding your own beeswax,"Miközben az méhészetben dolgozol, koncentrálj arra, hogy a saját méhviasz termelésedre figyelsz.",네 일에만 집중하세요.,"다른 사람에 대해 수다를 퍼뜨리는 대신, 자신의 일에 집중하세요."
mind your own business,to look into your own matter,The neighbors [[were minding their own business]] and didn't notice the commotion next door,The entrepreneurs [[were minding their own business]] by managing their respective companies,The neighbors were minding their own business and didn't notice the commotion next door,The entrepreneurs were minding their own business by managing their respective companies,were minding their own business,"Az üzletemberek a saját dolgukra figyeltek, amikor a saját vállalataikat vezették.",그들은 자신들의 일에 전념하고 있었다.,이웃들은 자신들의 일에 집중하고 옆집에서 벌어지는 소동에 대해서는 주목하지 않았다.
miss the boat,miss a chance,[[She missed the boat on that opportunity]] by not applying for the job in time,[[She missed the boat on that opportunity]] to take the scenic river cruise,She missed the boat on that opportunity by not applying for the job in time,She missed the boat on that opportunity to take the scenic river cruise,She missed the boat on that opportunity,"Elmulasztotta azt az alkalmat, hogy részt vegyen a festői folyóhajókiránduláson.",그녀는 그 기회를 놓쳤다.,그녀는 그 기회를 놓쳤다. 시간 내에 그 일자리에 지원하지 않아서.
more heat than light,to cause anger or intense reaction but doesn't clarify anything,The heated debate [[generated more heat than light]] and left everyone confused,The malfunctioning light bulb [[generated more heat than light]] and needed to be replaced,The heated debate generated more heat than light and left everyone confused,The malfunctioning light bulb generated more heat than light and needed to be replaced,generated more heat than light,"A működési zavarokkal küzdő villanykörte több hőt termelt, mint fényt, és cserére szorult.",빛보다는 열을 더 발생시켰다.,열띤 논쟁은 빛보다 더 많은 열을 발생시켰고 모두 혼란스러워졌습니다.
my hands are full,someone is too busy or has too much going on to be able to do or become involved with anything else,"With three projects to manage and a presentation to prepare, [[my hands are full at the moment]]","Carrying a stack of books and a cup of coffee, [[my hands are full at the moment]]","With three projects to manage and a presentation to prepare, my hands are full at the moment","Carrying a stack of books and a cup of coffee, my hands are full at the moment",my hands are full at the moment,Egy könyvhalom és egy csésze kávé cipelése közben a kezeim tele vannak jelenleg.,지금은 내 손이 가득 차 있어요.,세 개의 프로젝트를 관리하고 발표를 준비하느라 지금은 손이 가득 차 있습니다.
nail biter,"a situation like a close contest, which induces anxiety or tension.",The final moments of the game were [[a real nail biter]] as both teams were neck and neck,"Watching her chew on her fingers during the movie, it was clear she was [[a real nail biter]]",The final moments of the game were a real nail biter as both teams were neck and neck,"Watching her chew on her fingers during the movie, it was clear she was a real nail biter",a real nail biter,"Amikor látta, hogy rágja az ujjait a film alatt, nyilvánvaló volt, hogy igazi körömrágó.",진짜 긴장감이 쏙쏙 느껴지는 상황,게임의 마지막 순간은 양 팀이 목숨을 걸고 경쟁하며 긴장감이 높았다.
nail in the coffin,"an action/event that will help bring about the death, end, or failure of something or someone",His resignation letter [[put the final nail in the coffin]] for the company's future,The undertaker [[put the final nail in the coffin]] before lowering it into the ground,His resignation letter put the final nail in the coffin for the company's future,The undertaker put the final nail in the coffin before lowering it into the ground,put the final nail in the coffin,"Az eltemető befejezte a koporsó utolsó szögét, mielőtt a földbe süllyesztette.",마지막 못을 관에 박다.,그의 사직서는 회사의 미래에 마지막 못을 박았다.
never looked back,"after an event which changed your life for the better, you continue to be happy with the situation","She quit her job and started her own business, and she [[never looked back after that]]",He walked away from the haunted house and [[never looked back after that]],"She quit her job and started her own business, and she never looked back after that",He walked away from the haunted house and never looked back after that,never looked back after that,"Elment a kísértetjárta háztól, és azóta sosem nézett vissza.",그 후로는 뒤돌아보지 않았다.,"그녀는 일을 그만두고 자신의 사업을 시작했고, 그 이후로는 뒤돌아보지 않았다."
no spring chicken,Someone who's no longer young.,He realized he was [[not a spring chicken anymore]] when he couldn't keep up with the younger athletes,The farmer confirmed that the hen was [[not a spring chicken anymore]] as it had grown quite large,He realized he was not a spring chicken anymore when he couldn't keep up with the younger athletes,The farmer confirmed that the hen was not a spring chicken anymore as it had grown quite large,not a spring chicken anymore,"A gazda megerősítette, hogy a tyúk már nem fiatal, mivel eléggé megnőtt.",이젠 어린 친구가 아니에요.,그는 젊은 선수들과 따라가지 못할 때 더 이상 젊은 친구가 아니라는 것을 깨달았다.
not getting anywhere,to make no progress at all; not improving or advancing a particular situation,We were [[not getting anywhere with this]] project due to constant setbacks,"The car was stuck in the mud, and we were [[not getting anywhere with this]] vehicle",We were not getting anywhere with this project due to constant setbacks,"The car was stuck in the mud, and we were not getting anywhere with this vehicle",not getting anywhere with this,"Az autó beszorult a sárba, és nem jutottunk előre ezzel a járművel.",이것으로 어디에도 도달하지 못하고 있다.,우리는 지속적인 장애물로 인해 이 프로젝트에서 어떤 진전도 이루지 못했습니다.
not hurt a fly or flea,"To not be able to cause harm to anyone, including even a tiny and insignificant insect.","Despite his intimidating appearance, he [[wouldn't hurt a fly]] and was very gentle",She was so careful with her bug collection that she [[wouldn't hurt a fly]] while handling them,"Despite his intimidating appearance, he wouldn't hurt a fly and was very gentle",She was so careful with her bug collection that she wouldn't hurt a fly while handling them,wouldn't hurt a fly,"Olyan óvatos volt bogár gyűjteményével, hogy még egy legyet sem bántott volna, miközben kezelte őket.",파리한테도 상처주지 않을 거야.,"그의 위협적인 외모에도 불구하고, 그는 벌레 하나도 다치지 않을 정도로 매우 온순합니다."
not playing with a full deck,not mentally sound,His strange ideas made it seem like he was [[not playing with a full deck]],"During the poker game, we discovered we were [[not playing with a full deck]] when the ace of spades appeared twice",His strange ideas made it seem like he was not playing with a full deck,"During the poker game, we discovered we were not playing with a full deck when the ace of spades appeared twice",not playing with a full deck,"A pókerjáték során kiderült, hogy nem teljes paklival játszunk, amikor a pikk ász kétszer jelent meg.",전체 카드를 사용하지 않는다.,그의 이상한 생각들은 그가 머리가 좀 이상하다는 것처럼 보이게 했다.
off grid,disconnected from municipal utility systems.,He decided to disconnect from social media and [[started living off grid]],They built a cabin in the woods and [[started living off grid]] without electricity or running water,He decided to disconnect from social media and started living off grid,They built a cabin in the woods and started living off grid without electricity or running water,started living off grid,"Egy kunyhót építettek az erdőben, és elkezdtek kívül esősként élni, elektromos áram és folyóvíz nélkül.",오프 그리드 생활을 시작했다.,그는 소셜 미디어와의 연결을 끊기로 결정하고 오프 그리드 생활을 시작했다.
old hat,Someone who is old fashioned. The phrase can directly refer to old fashion too.,"She's [[an old hat at]] programming, having done it for years","He found [[an old hat at]] the back of his closet, covered in dust","She's an old hat at programming, having done it for years","He found an old hat at the back of his closet, covered in dust",an old hat at,"Ő egy régi kalapot talált a szekrénye hátsó részén, porosan beborítva.",노련한 베테랑,"그녀는 수년간 프로그래밍을 해왔기 때문에, 그것에 대해 능숙합니다."
old school,old fashioned ideas or approach compared to current trends,"He prefers [[an old school approach]] to communication, like writing letters",The museum showcased [[an old school approach]] to education with antique desks and chalkboards,"He prefers an old school approach to communication, like writing letters",The museum showcased an old school approach to education with antique desks and chalkboards,an old school approach,A múzeum egy régi iskolai oktatási módszert mutatott be antik íróasztalokkal és krétatáblákkal.,과거적인 방식,그는 편지 쓰기와 같은 고전적인 방식의 의사소통을 선호합니다.
on a silver platter,to get something without having to work for it,He [[served it on a silver platter]] by doing all the work for her,The waiter [[served it on a silver platter]] to impress the guests,He served it on a silver platter by doing all the work for her,The waiter served it on a silver platter to impress the guests,served it on a silver platter,"A pincér ezüst tálban szolgálta fel, hogy lenyűgözze a vendégeket.",은색 접시에 담아 제공했다.,그는 그녀를 위해 모든 일을 다 해서 은 접시에 올려서 제공했다.
on its knees,something that is in a very weak situation or on the verge of failure,"After the economic crisis, [[the city was on its knees]] and struggling to recover","In the art installation, [[the city was on its knees]] as the artist had created a miniature version of it, resting on two large sculptures of human knees","After the economic crisis, the city was on its knees and struggling to recover","In the art installation, the city was on its knees as the artist had created a miniature version of it, resting on two large sculptures of human knees",the city was on its knees,"Az művészeti installációban a város térdre rogyott, mivel a művész egy miniatűr verzióját készítette, amely két emberi térdre támaszkodott.",그 도시는 무릎을 꿇고 있었다.,"경제 위기 이후, 그 도시는 무릎을 꿇고 회복을 위해 고군분투했다."
on pins and needles,being anxious or nervous,"While anticipating the exam results, we were [[waiting on pins and needles]]","During the acupressure therapy session, she was [[waiting on pins and needles]] placed on her back","While anticipating the exam results, we were waiting on pins and needles","During the acupressure therapy session, she was waiting on pins and needles placed on her back",waiting on pins and needles,Az akupresszúra terápia során tűkön ülve várakozott a hátán elhelyezett tűkön.,바늘과 바늘 위에서 기다리는 중,"시험 결과를 기다리면서, 우리는 바늘로 꽂힌 채 기다리고 있었다."
on the back burner,to put something (that is to be done) for later,"Due to the urgent tasks, we had to [[put it on the back burner]] for now","To simmer the sauce slowly, she [[put it on the back burner]] of the stove","Due to the urgent tasks, we had to put it on the back burner for now","To simmer the sauce slowly, she put it on the back burner of the stove",put it on the back burner,"Hogy lassan párolódjon a szósz, a tűzhely hátsó részére tette.",뒷면으로 미루다.,"긴급한 업무 때문에, 우리는 지금은 그것을 뒷전으로 미루어 놓아야 했습니다."
on the brink of,to be on the verge of doing something,The company was [[on the brink of something]] big when they launched their new product,"The hiker stood [[on the brink of something]] dangerous, a steep cliff",The company was on the brink of something big when they launched their new product,"The hiker stood on the brink of something dangerous, a steep cliff",on the brink of something,"A túrázó valami veszélyes szélén állt, egy meredek sziklán.",무엇의 가장자리에 있다.,그 회사는 새 제품을 출시할 때 큰 일을 맞이하게 될 뻔했다.
on the crest of a wave,to reach the highest point of success,"After the successful product launch, the company was [[riding on the crest of a wave]]",The surfer skillfully balanced himself while [[riding on the crest of a wave]],"After the successful product launch, the company was riding on the crest of a wave",The surfer skillfully balanced himself while riding on the crest of a wave,riding on the crest of a wave,"A szörfös ügyesen egyensúlyozott, miközben a hullámok gerincén lovagolt.",파도 꼭대기를 타고 있는 것 같다.,"성공적인 제품 출시 이후, 회사는 파도 정상에 타고 있었다."
on the edge of their seat,to be very interested in something and fits with both extremely exciting and nerve-wracking,The suspenseful movie had everyone [[on the edge of their seat]],The chair was so small that they were uncomfortably perched [[on the edge of their seat]],The suspenseful movie had everyone on the edge of their seat,The chair was so small that they were uncomfortably perched on the edge of their seat,on the edge of their seat,"A szék olyan kicsi volt, hogy kényelmetlenül ültek az ülőkén szélén.",그들은 자리에서 앞으로 기울어져 있었다.,긴장감 넘치는 영화는 모두가 자리에서 앉아 기다리게 만들었다.
on the hook,someone who is responsible for something,He [[was left on the hook]] for the entire project after his partner quit,The fish [[was left on the hook]] after it was caught,He was left on the hook for the entire project after his partner quit,The fish was left on the hook after it was caught,was left on the hook,"A hal a horogra maradt, miután elkapta.",갈고리에 걸려 놓여졌다.,그는 파트너가 그만둔 후 전체 프로젝트에 대한 책임을 지게 되었다.
on the line,to be at serious risk.,[[She put it on the line]] when she confronted her boss about the unfair treatment,[[She put it on the line]] to dry after washing her clothes,She put it on the line when she confronted her boss about the unfair treatment,She put it on the line to dry after washing her clothes,She put it on the line,A ruháit kimosás után kifeszítette a vonalra száradni.,그녀는 그것을 선 위에 올렸다.,불공정한 대우에 대해 상사와 대면하여 그녀는 위험을 무릅쓰고 말했다.
on the money,being right about something.,His prediction about the game's outcome was [[right on the money]],The coin landed [[right on the money]] that was placed on the table,His prediction about the game's outcome was right on the money,The coin landed right on the money that was placed on the table,right on the money,"A pénzérme pontosan a pénzre landolt, amely az asztalra volt helyezve.",딱 맞다 (ddak matda),그의 게임 결과 예측은 정확했다.
on the pig's back,a successful situation and everything is going well for that person,"After winning the lottery, he [[was riding on the pig's back]] and enjoying his newfound wealth","At the farm, the child [[was riding on the pig's back]] for fun","After winning the lottery, he was riding on the pig's back and enjoying his newfound wealth","At the farm, the child was riding on the pig's back for fun",was riding on the pig's back,A farm-on a gyerek a disznó hátán lovagolt szórakozásból.,돼지 등에 타고 있었다.,복권에 당첨되자 그는 돼지 등에 올라타 새로운 부를 즐기고 있었다.
on the same page,everyone in agreement,"Before starting the project, we need to [[be on the same page]] regarding our goals","While reading the book together, they happened to [[be on the same page]]","Before starting the project, we need to be on the same page regarding our goals","While reading the book together, they happened to be on the same page",be on the same page,"Miközben együtt olvasták a könyvet, véletlenül ugyanazon az oldalon voltak.","""같은 페이지에 있다""","프로젝트를 시작하기 전에, 우리는 목표에 대해 동일한 페이지에 있어야 합니다."
open old wounds,"to revive memories of an unpleasant event, situation or dispute that took place in the past",Bringing up their past mistakes [[opened old wounds]] in the conversation,The surgeon [[opened old wounds]] to remove the remaining infection,Bringing up their past mistakes opened old wounds in the conversation,The surgeon opened old wounds to remove the remaining infection,opened old wounds,"A sebész megnyitotta az régi sebeket, hogy eltávolítsa a fennmaradó fertőzést.",과거의 상처를 다시 열었다.,그들의 과거 실수를 언급하면 대화에서 옛 상처가 다시 열렸다.
out of hand,out of control,The party [[got out of hand]] when people started throwing food,The ball [[got out of hand]] when he accidentally dropped it,The party got out of hand when people started throwing food,The ball got out of hand when he accidentally dropped it,got out of hand,"A labda kicsúszott a kezéből, amikor véletlenül elejtette.",제어할 수 없게 되었다.,사람들이 음식을 던지기 시작하면 파티가 제어를 벗어났다.
out of the closet,go public about something private or hidden,"After years of hiding his true self, he finally [[came out of the closet]] to his family",She [[came out of the closet]] after finding the perfect outfit to wear,"After years of hiding his true self, he finally came out of the closet to his family",She came out of the closet after finding the perfect outfit to wear,came out of the closet,"Kijött a szekrényből, miután megtalálta a tökéletes ruhát, amit viselni tud.",옷장에서 나왔다.,"그가 진정한 자신을 숨겨온 지 몇 년 후, 그는 마침내 가족에게 나와서 자신의 정체성을 밝혔다."
out of the frying pan into the fire,to go from a bad to worse situation,"By quitting her job without a backup plan, she [[jumped out of the frying pan into the fire]]",The fish [[jumped out of the frying pan into the fire]] when the cook wasn't paying attention,"By quitting her job without a backup plan, she jumped out of the frying pan into the fire",The fish jumped out of the frying pan into the fire when the cook wasn't paying attention,jumped out of the frying pan into the fire,"A hal kiugrott a serpenyőből a tűzbe, amikor a szakács nem figyelt.",프라이팬에서 뛰어나서 불길한 상황으로 빠졌다.,그녀는 백업 계획 없이 일을 그만두어 불쌍한 상황에서 더 나쁜 상황으로 뛰어들었다.
out on the town,go out and enjoy yourself at one or more places in the town,They were excited about [[going out on the town]] to celebrate their anniversary,The mayor was [[going out on the town]] to inspect the new infrastructure,They were excited about going out on the town to celebrate their anniversary,The mayor was going out on the town to inspect the new infrastructure,going out on the town,"A polgármester kiment a városba, hogy ellenőrizze az új infrastruktúrát.",도시를 떠나다.,그들은 기념일을 축하하기 위해 도시 밖으로 나가는 것에 흥분했다.
over my dead body,"in no way, under no circumstances","He smirked and said, '[[over my dead body]] will you ever beat me in a race'",The cat walked [[over my dead body]] in the crime scene simulation,"He smirked and said, 'over my dead body will you ever beat me in a race'",The cat walked over my dead body in the crime scene simulation,over my dead body,A macska áthaladt a holttestemen a bűntény helyszínének szimulációjában.,내 시체를 지나서야.,"그는 미소를 짓고 ""내 시체를 넘어서야만 너가 나를 이길 수 있을 거야""라고 말했다."
over the moon,extremely pleased or happy,She was [[over the moon about the news]] of her promotion,The astronaut floated [[over the moon about the news]] of a successful mission,She was over the moon about the news of her promotion,The astronaut floated over the moon about the news of a successful mission,over the moon about the news,Az asztronauta a sikeres küldetés hírére lebegett a Hold felett.,이 소식에 엄청나게 기뻐하다.,그녀는 승진 소식에 너무나 기뻤다.
paddle own canoe,To be able to act without having to depend on anyone.,They decided [[to paddle their own canoe]] and start their own business,They had [[to paddle their own canoe]] to reach the other side of the lake,They decided to paddle their own canoe and start their own business,They had to paddle their own canoe to reach the other side of the lake,to paddle their own canoe,A tó másik oldalára eljutáshoz maguknak kellett evezniük a kenujukkal.,자신의 카누를 저글링하다.,그들은 자신들의 카누를 저글링하고 자신들의 비즈니스를 시작하기로 결정했다.
paint the town red,to celebrate and have a wild time,"After winning the championship, they decided [[to paint the town red together]] and celebrate","As part of a community art project, they decided [[to paint the town red together]] by covering the walls with vibrant murals","After winning the championship, they decided to paint the town red together and celebrate","As part of a community art project, they decided to paint the town red together by covering the walls with vibrant murals",to paint the town red together,"Egy közösségi művészeti projekt részeként úgy döntöttek, hogy együtt pirosra festik a várost, élénk falfestményekkel borítva a falakat.",함께 도시를 빨갛게 칠하다.,"챔피언십을 우승한 후, 그들은 함께 도시를 붉게 칠하고 축하하기로 결정했다."
