idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt
hot potato,any subject which several folks are talking about and which is frequently argued,The politician [[handled the hot potato]] by addressing the controversial issue,"During the picnic, she [[handled the hot potato]] carefully to avoid burning her fingers",The politician handled the hot potato by addressing the controversial issue,"During the picnic, she handled the hot potato carefully to avoid burning her fingers",handled the hot potato,"A piknik alatt óvatosan bánt a forró krumplival, hogy ne égesse meg az ujjait.",뜨거운 감자를 다루었습니다.
household name,to be very popular,"After her successful book series, [[she became a household name]] in the literary world","When the family decided to name their new puppy after her, [[she became a household name]]","After her successful book series, she became a household name in the literary world","When the family decided to name their new puppy after her, she became a household name",she became a household name,"Amikor a család úgy döntött, hogy az új kiskutyát róla nevezik el, ő az otthoni név lett.",그녀는 가정에서 많이 알려진 이름이 되었습니다.
hung out to dry,"to abandon someone who is in difficulty, without giving any assistance or support","When the team failed to support her, she felt [[hung out to dry]]",The laundry was [[hung out to dry]] on the clothesline,"When the team failed to support her, she felt hung out to dry",The laundry was hung out to dry on the clothesline,hung out to dry,A mosás ki volt akasztva száradni a ruhaszárító kötélen.,말리다
icing on the cake,when something good is added to another good thing that you already have,Getting a promotion was [[the icing on the cake]] after a successful year,She carefully spread [[the icing on the cake]] for her friend's birthday,Getting a promotion was the icing on the cake after a successful year,She carefully spread the icing on the cake for her friend's birthday,the icing on the cake,Ő óvatosan eloszlatta a torta tetején a krémet barátja születésnapjára.,최고의 보너스
in a fog,in a great confusion,"After the long meeting, he was [[lost in a fog]] and couldn't concentrate","While hiking, they were [[lost in a fog]] and couldn't find their way back","After the long meeting, he was lost in a fog and couldn't concentrate","While hiking, they were lost in a fog and couldn't find their way back",lost in a fog,Túrázás közben eltévedtek a ködben és nem találták az utat vissza.,안개 속에서 길을 잃다.
in a nutshell,to be brief and straight to the point.,[[She explained it in a nutshell]] so that everyone could understand the concept quickly,"As a creative challenge, [[she explained it in a nutshell]] by writing a tiny summary inside a walnut shell",She explained it in a nutshell so that everyone could understand the concept quickly,"As a creative challenge, she explained it in a nutshell by writing a tiny summary inside a walnut shell",She explained it in a nutshell,Kreatív kihívásként egy dióhéjban írt apró összefoglalóval magyarázta el.,그녀는 간략하게 설명했다.
in a pickle,to be in a difficult situation,They [[found themselves in a pickle]] when they realized they had double-booked their appointments,The tiny figurines [[found themselves in a pickle]] when they were accidentally placed inside a jar of pickles,They found themselves in a pickle when they realized they had double-booked their appointments,The tiny figurines found themselves in a pickle when they were accidentally placed inside a jar of pickles,found themselves in a pickle,"A kis figurák bajba kerültek, amikor véletlenül egy savanyúságos üvegbe kerültek.",자신들이 궁지에 빠졌다.
in at the deep end,to start a new job or activity without being prepared for it,"On her first day at work, she [[was thrown in at the deep end]] with a challenging project","During swimming lessons, he [[was thrown in at the deep end]] of the pool to test his skills","On her first day at work, she was thrown in at the deep end with a challenging project","During swimming lessons, he was thrown in at the deep end of the pool to test his skills",was thrown in at the deep end,"Az úszóórákon a medence mélyebb részébe dobták, hogy teszteljék az úszástudását.",깊은 끝에 던져졌다.
in bed with,"to work with a person or organisation, or being involved with them, in a way that causes other people to distrust you.",The company was accused of being [[in bed with the competition]] to manipulate prices,"The two athletes, who were also roommates, found themselves sharing a room and sleeping [[in bed with the competition]]",The company was accused of being in bed with the competition to manipulate prices,"The two athletes, who were also roommates, found themselves sharing a room and sleeping in bed with the competition",in bed with the competition,"A két sportoló, akik egyben lakótársak is voltak, azt találták, hogy egy szobát kell osztozniuk és az ágyat a versenytársukkal kell megosztaniuk.",경쟁업체와 침대에서 함께한다.
in black and white,printed form of a document,"To avoid any confusion, we decided [[to put it in black and white]] in the contract",The artist chose [[to put it in black and white]] for a more dramatic effect,"To avoid any confusion, we decided to put it in black and white in the contract",The artist chose to put it in black and white for a more dramatic effect,to put it in black and white,"Az művész fekete-fehérre választotta, hogy drámaibb hatást érjen el.",흑백으로 말하자면
in deep water,a very serious situation,"After making a costly mistake, [[he found himself in deep water]] with his boss","While swimming in the ocean, [[he found himself in deep water]] and struggled to stay afloat","After making a costly mistake, he found himself in deep water with his boss","While swimming in the ocean, he found himself in deep water and struggled to stay afloat",he found himself in deep water,"Miközben az óceánban úszott, mély vízbe került és küzdött, hogy fennmaradjon a víz felszínén.",그는 자신이 깊은 물에 빠졌다는 것을 깨달았다.
in full swing,at a stage when the level of activity is at its highest,"When we arrived, [[the party was in full swing]] with everyone dancing and laughing",The pendulum experiment demonstrated that [[the party was in full swing]] when the ball reached its highest point,"When we arrived, the party was in full swing with everyone dancing and laughing",The pendulum experiment demonstrated that the party was in full swing when the ball reached its highest point,the party was in full swing,"A lengőóra kísérlet azt mutatta, hogy a buli teljes gőzzel zajlott, amikor a labda elérte a legmagasabb pontját.",파티는 전면적으로 진행되고 있었다.
in hot water,in trouble or state of shame,He [[found himself in hot water]] after forgetting to submit the report on time,He accidentally [[found himself in hot water]] when he stepped into the scalding bathtub,He found himself in hot water after forgetting to submit the report on time,He accidentally found himself in hot water when he stepped into the scalding bathtub,found himself in hot water,A forró fürdőbe lépve véletlenül kellemetlen helyzetbe került.,그는 곤경에 처했다.
in one's blood,a natural or inherited characteristic.,"She's a natural athlete, [[it's in her blood]]","The medication she took is now circulating, [[it's in her blood]]","She's a natural athlete, it's in her blood","The medication she took is now circulating, it's in her blood",it's in her blood,"Az általa szedett gyógyszer most kering, a véráramában van.",그것은 그녀의 혈액 속에 있다.
in the black,to not be in debt,"After months of struggling, our business is [[finally in the black]]",She wore a dark outfit and was [[finally in the black]] for the themed party,"After months of struggling, our business is finally in the black",She wore a dark outfit and was finally in the black for the themed party,finally in the black,"Ő sötét ruhát viselt, és végül a témás bulin nyereségesen zárt.",마침내 흑자로 돌아왔다.
in the cross hairs,in a position where one might receive severe criticism,"As the whistleblower, he found himself [[caught in the cross hairs]] of the company's retaliation","During the paintball match, she was [[caught in the cross hairs]] of her opponent's gun","As the whistleblower, he found himself caught in the cross hairs of the company's retaliation","During the paintball match, she was caught in the cross hairs of her opponent's gun",caught in the cross hairs,A paintball mérkőzés során az ellenfele fegyverének keresztjébe került.,크로스헤어에 걸린.
in the dark,"uninformed, a state of ignorance.",The employees [[were kept in the dark]] about the company's financial situation,"During the power outage, we [[were kept in the dark]] until the electricity came back",The employees were kept in the dark about the company's financial situation,"During the power outage, we were kept in the dark until the electricity came back",were kept in the dark,"Az áramszünet alatt sötétben tartottak minket, amíg vissza nem jött az áram.",어둠 속에 갇혀 있었다.
in the doghouse,someone who is in disgrace and very unpopular at the moment,"After forgetting their anniversary, he was [[in the doghouse with her]] for a week",He crawled [[in the doghouse with her]] to retrieve the lost toy,"After forgetting their anniversary, he was in the doghouse with her for a week",He crawled in the doghouse with her to retrieve the lost toy,in the doghouse with her,"Bekászálódott a kutyaházba vele, hogy visszaszerezze az elveszett játékot.",그녀와 함께 개집에 있다.
in the loop,to be aware of the information,"As a team member, I want to be [[kept in the loop]] about project updates",The rope was [[kept in the loop]] to secure the boat to the dock,"As a team member, I want to be kept in the loop about project updates",The rope was kept in the loop to secure the boat to the dock,kept in the loop,"A kötél a hurokban volt tartva, hogy a hajót a dokkhoz rögzítsék.","""kept in the loop""의 한국어 번역은 ""계속해서 정보를 받고 있다""입니다."
in the red,more money going out than coming in,"Due to poor financial decisions, [[the company is in the red]]","During the paintball match, [[the company is in the red]] team","Due to poor financial decisions, the company is in the red","During the paintball match, the company is in the red team",the company is in the red,A paintball mérkőzés alatt a cég a piros csapatban van.,회사는 적자 상태입니다.
in touch,"to remain in contact with someone, especially when separated by time or distance","Even after moving to another city, we promised [[to stay in touch]]","During the team-building exercise, we had [[to stay in touch]] by holding hands","Even after moving to another city, we promised to stay in touch","During the team-building exercise, we had to stay in touch by holding hands",to stay in touch,A csapatépítő gyakorlat során kéz fogásával kellett kapcsolatban maradnunk.,연락을 유지하다.
it's a small world,meeting someone not expected to be at a certain place,"Running into my childhood friend in a foreign country, I thought [[it's a small world after all]]","Looking at the miniature globe in the store, I remarked, [[it's a small world after all]]","Running into my childhood friend in a foreign country, I thought it's a small world after all","Looking at the miniature globe in the store, I remarked, it's a small world after all",it's a small world after all,"A boltban a miniatűr földgömbre nézve megjegyeztem, hogy végül is kicsi a világ.",그것은 결국 작은 세상이다.
jam on your face,"people who appear to be caught, embarrassed or found guilty","After making a mistake in the presentation, he [[had jam on his face]] in front of the whole team","While eating breakfast, he accidentally [[had jam on his face]] from the toast","After making a mistake in the presentation, he had jam on his face in front of the whole team","While eating breakfast, he accidentally had jam on his face from the toast",had jam on his face,"Miközben reggelizett, véletlenül lekvár került az arcára a pirítóstól.",그의 얼굴에 잼이 묻어 있었다.
"judge, jury and executioner","people that are in charge of every decision made, and they have the power to be rid of whomever they choose","He [[was acting as judge, jury, and executioner]] when he made the decision without consulting anyone","In the dystopian play, the main character [[was acting as judge, jury, and executioner]] in a twisted legal system","He was acting as judge, jury, and executioner when he made the decision without consulting anyone","In the dystopian play, the main character was acting as judge, jury, and executioner in a twisted legal system","was acting as judge, jury, and executioner","A disztópikus darabban a főszereplő bíró, esküdt és hóhér szerepét játszotta el egy eltorzult jogrendszerben.","심판, 배심원, 그리고 집행자 역할을 했다."
jump on the bandwagon,to start doing something because it is fashionable or profitable,"When the new trend became popular, everyone [[jumped on the bandwagon]]","During the parade, he [[jumped on the bandwagon]] to join the musicians","When the new trend became popular, everyone jumped on the bandwagon","During the parade, he jumped on the bandwagon to join the musicians",jumped on the bandwagon,Az felvonulás alatt felugrott a zenészekhez csatlakozni.,밴드와건에 뛰어들었다.
jungle out there,the situation is dangerous and is characterized by ruthless behavior and competition,"With so much competition in the job market, [[it's a jungle out there]]","As we entered the dense rainforest, our guide warned us, [[it's a jungle out there]]","With so much competition in the job market, it's a jungle out there","As we entered the dense rainforest, our guide warned us, it's a jungle out there",it's a jungle out there,"Amikor beléptünk a sűrű esőerdőbe, az idegenvezetőnk figyelmeztetett minket, hogy az odakint egy dzsungel.",거기는 정말 정글 같아요.
jury's out,when there is no general agreement or consensus on something,"Regarding the new policy, [[the jury's out on that decision]], as people are still debating its effectiveness","During the court recess, [[the jury's out on that decision]], discussing the case in a separate room","Regarding the new policy, the jury's out on that decision, as people are still debating its effectiveness","During the court recess, the jury's out on that decision, discussing the case in a separate room",the jury's out on that decision,"Az ítélőtábla szünetében a döntés még kérdéses, a zsűri külön szobában tárgyalja az ügyet.",그 결정에 대해서는 아직 판단이 나지 않았습니다.
just off the boat,a person who is naive and inexperienced,"He was so naive and inexperienced, as if he was [[just off the boat]]","Soaking wet and carrying their luggage, they were [[just off the boat]] from their island trip","He was so naive and inexperienced, as if he was just off the boat","Soaking wet and carrying their luggage, they were just off the boat from their island trip",just off the boat,Átázva és csomagjaikkal a kezükben épp most szálltak ki a hajóról a szigetútjukról.,방금 배에서 내려온
just what the doctor ordered,exactly what was wanted or needed,A relaxing vacation was [[just what the doctor ordered]] after a stressful year,The prescribed medication was [[just what the doctor ordered]] for her condition,A relaxing vacation was just what the doctor ordered after a stressful year,The prescribed medication was just what the doctor ordered for her condition,just what the doctor ordered,"Az előírt gyógyszer pontosan az volt, amit az orvos előírt az állapota miatt.",방문한 의사가 처방한 대로
keep at arm's length,keep distance from something or somebody,"Despite his attempts to get closer, [[she kept him at arm's length]] due to her cautious nature","During the self-defense training, [[she kept him at arm's length]] to maintain a safe distance","Despite his attempts to get closer, she kept him at arm's length due to her cautious nature","During the self-defense training, she kept him at arm's length to maintain a safe distance",she kept him at arm's length,"Az önvédelmi edzés során távol tartotta magától, hogy biztonságos távolságot tartsanak.",그녀는 그를 손길이 닿지 않는 거리에 두었다.
keep card close to chest,"be secretive or cautious, give nothing away","During the negotiations, [[they kept their cards close to their chest]] and didn't reveal their true intentions","While playing poker, [[they kept their cards close to their chest]] so no one could see their hand","During the negotiations, they kept their cards close to their chest and didn't reveal their true intentions","While playing poker, they kept their cards close to their chest so no one could see their hand",they kept their cards close to their chest,"Miközben pókereztek, szorosan a mellkasukhoz tartották a lapjaikat, hogy senki ne láthassa a kezüket.",그들은 그들의 카드를 가슴에 꽉 쥐고 있었다.
keep the wolf from the door,to have sufficient money to prevent starvation or hunger,"Working two jobs, she [[kept the wolf from the door]] and provided for her family","With a sturdy fence, the farmer [[kept the wolf from the door]] of his sheep pen","Working two jobs, she kept the wolf from the door and provided for her family","With a sturdy fence, the farmer kept the wolf from the door of his sheep pen",kept the wolf from the door,Egy erős kerítéssel a gazda távol tartotta a farkast a juhakol ajtajától.,문을 지키다.
keep your nose clean,to stay out of trouble by not doing anything wrong,"To avoid getting into trouble, focus on [[keeping your nose clean]] at work","During allergy season, [[keeping your nose clean]] is essential for comfort","To avoid getting into trouble, focus on keeping your nose clean at work","During allergy season, keeping your nose clean is essential for comfort",keeping your nose clean,Az allergia szezon alatt az orr tisztán tartása elengedhetetlen a kényelem érdekében.,당신의 코를 깨끗하게 유지하기
kick the bucket,to die,"The old couple, inseparable in life, [[kicked the bucket together]] in their sleep","While cleaning the barn, they accidentally [[kicked the bucket together]] and spilled water everywhere","The old couple, inseparable in life, kicked the bucket together in their sleep","While cleaning the barn, they accidentally kicked the bucket together and spilled water everywhere",kicked the bucket together,"Miközben takarították az istállót, véletlenül együtt rúgták fel a vödröt és mindenhol szétfröccsent a víz.",함께 그릇을 찼다.
kick yourself,to be angry with yourself for something you have or have not done,They [[kicked themselves]] for not investing in the stock earlier,"During the yoga class, they accidentally [[kicked themselves]] while attempting a new pose",They kicked themselves for not investing in the stock earlier,"During the yoga class, they accidentally kicked themselves while attempting a new pose",kicked themselves,"A jógaóra során véletlenül rúgták magukat, amikor egy új pózt próbáltak ki.",자신들을 차다.
kill two birds with one stone,accomplish two different things at the same time,"By combining our errands, we [[killed two birds with one stone]] and saved time","With a well-aimed throw, he [[killed two birds with one stone]] in the field","By combining our errands, we killed two birds with one stone and saved time","With a well-aimed throw, he killed two birds with one stone in the field",killed two birds with one stone,Egy jól irányzott dobással két legyet ütött egy csapásra a mezőn.,한 번에 두 마리의 새를 잡았다.
kiss and make up,to become friendly again after an argument,"After the argument, he decided [[to kiss and make up with her]] to resolve their differences","During the play, the actors had [[to kiss and make up with her]] as part of the scene","After the argument, he decided to kiss and make up with her to resolve their differences","During the play, the actors had to kiss and make up with her as part of the scene",to kiss and make up with her,A játék során a színészeknek meg kellett csókolniuk és kibékülniük vele a jelenet részeként.,그녀와 키스하고 화해하다.
knee jerk reaction,an automatic response to something,His sudden outburst was [[a knee jerk reaction to the news]] of the company's bankruptcy,"The doctor tapped his patient's leg, causing [[a knee jerk reaction to the news]] of the reflex hammer",His sudden outburst was a knee jerk reaction to the news of the company's bankruptcy,"The doctor tapped his patient's leg, causing a knee jerk reaction to the news of the reflex hammer",a knee jerk reaction to the news,"A doktor megkopogtatta a betege lábát, ami a reflexkalapács hírére térkép reflexet váltott ki.",뉴스에 대한 무조건적인 반응
knock on wood,tap knuckle on wood in order to avoid bad luck,"Hoping for good luck, [[she knocked on wood]] before the big presentation","To test the sturdiness of the table, [[she knocked on wood]]","Hoping for good luck, she knocked on wood before the big presentation","To test the sturdiness of the table, she knocked on wood",she knocked on wood,Az asztal ellenállóságának tesztelése érdekében kopogott a fafelületen.,그녀는 나무를 두드렸다.
know the ropes,to know all the ways and means to get something done,"Having worked there for years, [[he knew the ropes well]] and could handle any task","As an experienced sailor, [[he knew the ropes well]] and could tie any knot","Having worked there for years, he knew the ropes well and could handle any task","As an experienced sailor, he knew the ropes well and could tie any knot",he knew the ropes well,"Mint tapasztalt tengerész, jól ismerte a köteleket és bármilyen csomót meg tudott kötni.",그는 그 일에 능숙했다.
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,"He always supports the boss's decisions, showing that he [[knows which side his bread is buttered]]",He carefully observed the sandwich and [[knows which side his bread is buttered]] to avoid getting his hands greasy,"He always supports the boss's decisions, showing that he knows which side his bread is buttered",He carefully observed the sandwich and knows which side his bread is buttered to avoid getting his hands greasy,knows which side his bread is buttered,"Ő óvatosan megfigyelte a szendvicset, és tudja, hogy melyik oldalán van a vaj, hogy elkerülje, hogy zsírosak legyenek a kezei.",그는 빵이 바른 쪽을 안다.
knowing which way the wind blows,this means that you should know how things are developing and be prepared for the future,He made a wise decision by [[knowing which way the wind blows]] in the company,"As an experienced sailor, he was skilled at [[knowing which way the wind blows]]",He made a wise decision by knowing which way the wind blows in the company,"As an experienced sailor, he was skilled at knowing which way the wind blows",knowing which way the wind blows,"Tapasztalt vitorlázóként jól tudta, hogy melyik irányból fúj a szél.",바람이 어느 방향으로 불어오는지 알기
lead astray,make someone act or think in a wrong or foolish manner.,The false information [[led them astray]] in their investigation,The broken compass [[led them astray]] in the dense forest,The false information led them astray in their investigation,The broken compass led them astray in the dense forest,led them astray,A törött iránytű eltévesztette őket a sűrű erdőben.,그들을 잘못된 길로 이끌었다.
lean towards,to be interested in something,"After considering the pros and cons, she [[was leaning towards that option]]","While standing near the table, he [[was leaning towards that option]] to get a closer look","After considering the pros and cons, she was leaning towards that option","While standing near the table, he was leaning towards that option to get a closer look",was leaning towards that option,"Állva az asztal mellett, azon opció felé hajolt, hogy közelebbről megnézze.",그 옵션을 향해 기울고 있었다.
leaps and bounds,progress very quickly,"After attending the workshop, her skills [[made progress in leaps and bounds]]",The kangaroo [[made progress in leaps and bounds]] across the field,"After attending the workshop, her skills made progress in leaps and bounds",The kangaroo made progress in leaps and bounds across the field,made progress in leaps and bounds,A kenguru ugrálva és hatalmas léptekkel haladt át a mezőn.,도약적인 발전을 이루었다.
learn to walk before you run,to take smaller steps initially,You should [[learn to walk before you run]] when it comes to mastering a new skill,"As a toddler, you must [[learn to walk before you run]] to avoid falling",You should learn to walk before you run when it comes to mastering a new skill,"As a toddler, you must learn to walk before you run to avoid falling",learn to walk before you run,"Kisgyerekként először járni kell tanulnod, mielőtt futni kezdesz, hogy elkerüld a elesést.",달리기 전에 걷는 법을 배우세요.
leave at the altar,decide not to marry someone at the very last moment,[[He left her at the altar]] when he decided not to show up for their wedding,[[He left her at the altar]] to fetch the forgotten wedding rings from their car,He left her at the altar when he decided not to show up for their wedding,He left her at the altar to fetch the forgotten wedding rings from their car,He left her at the altar,"Elhagyta az oltárnál, hogy elhozza az elfelejtett esküvői gyűrűket az autójukból.",그는 그녀를 제단 앞에서 버렸다.
leg up,give or receive assistance to achieve a goal,The scholarship [[gave her a leg up]] in her pursuit of higher education,He [[gave her a leg up]] to help her climb over the fence,The scholarship gave her a leg up in her pursuit of higher education,He gave her a leg up to help her climb over the fence,gave her a leg up,"Ő felsegítette őt, hogy át tudjon mászni a kerítésen.",그녀에게 발판을 제공했다.
let the cat out of the bag,to let a secret out in the open,He accidentally [[let the cat out of the bag]] about the surprise party,She opened the bag and [[let the cat out of the bag]] after bringing it home from the shelter,He accidentally let the cat out of the bag about the surprise party,She opened the bag and let the cat out of the bag after bringing it home from the shelter,let the cat out of the bag,"Ő kinyitotta a táskát és kiengedte a macskát a táskából, miután hazahozta az állatot az állatmenhelyről.",고양이를 가방에서 놓아주세요.
lick his wounds,"to try to recover your confidence or spirit after a defeat, failure or disappointment",He [[licked his wounds after the fight]] by taking some time to recover from the emotional blow,The injured dog [[licked his wounds after the fight]] with another canine,He licked his wounds after the fight by taking some time to recover from the emotional blow,The injured dog licked his wounds after the fight with another canine,licked his wounds after the fight,Az sérült kutya nyalogatta sebeit a harc után egy másik kutyával.,싸움 끝나고 상처를 핥았다.
lick your lips,to show that you're excited about something and are eager for it to happen,[[They licked their lips]] in anticipation of the delicious meal,"After eating the ice cream, [[they licked their lips]] to clean off the remaining traces",They licked their lips in anticipation of the delicious meal,"After eating the ice cream, they licked their lips to clean off the remaining traces",They licked their lips,"Azután, hogy megették a fagyit, lenyalogatták az ajkukat, hogy eltávolítsák a maradék nyomokat.",그들은 입술을 핥았다.
lie low,"To go out of sight, usually after having done something bad.","After the controversy, [[he decided to lie low]] and avoid the media","During the game of hide and seek, [[he decided to lie low]] in the tall grass","After the controversy, he decided to lie low and avoid the media","During the game of hide and seek, he decided to lie low in the tall grass",he decided to lie low,"A bújócska játék közben úgy döntött, hogy a magas fűben rejtőzik el.",그는 낮게 자리 잡기로 결정했다.
lights are on but nobody is home,used to describe a stupid person.,"When I tried to explain the situation to him, it seemed like [[the lights are on but nobody is home]]",I walked past the house and noticed that [[the lights are on but nobody is home]],"When I tried to explain the situation to him, it seemed like the lights are on but nobody is home",I walked past the house and noticed that the lights are on but nobody is home,the lights are on but nobody is home,"Elmentem a ház mellett és észrevettem, hogy égnek a lámpák, de senki sincs otthon.",불은 켜져 있지만 아무도 집에 없습니다.
line in the sand,a boundary beyond which one cannot proceed without consequences,He decided [[to draw a line in the sand]] and confront his coworker about the issue,"While playing at the beach, the children decided [[to draw a line in the sand]] to divide their territories",He decided to draw a line in the sand and confront his coworker about the issue,"While playing at the beach, the children decided to draw a line in the sand to divide their territories",to draw a line in the sand,"Miközben a strandon játszottak, a gyerekek úgy döntöttek, hogy vonalat húznak a homokban, hogy felosszák a területeiket.",모래 위에 선을 그리다.
long in the tooth,To get too old for something.,He's [[getting long in the tooth]] and might retire soon,"The horse was [[getting long in the tooth]] as it aged, making it easier to determine its age",He's getting long in the tooth and might retire soon,"The horse was getting long in the tooth as it aged, making it easier to determine its age",getting long in the tooth,"A ló idősödött és hosszabbodtak az fogai, ami megkönnyítette az életkorának meghatározását.",이제 나이가 들어서 늙어가고 있다.
long run,far away in the future,Investing in education will pay off [[in the long run]],The marathon was [[in the long run]] category of races,Investing in education will pay off in the long run,The marathon was in the long run category of races,in the long run,A maraton a hosszú távú versenyek kategóriájába tartozott.,장기적으로는
look before you leap,to make sure that everything is alright before doing something important which you cannot revert,"When making a big decision, always remember [[to look before you leap]]","While standing on the edge of the diving board, he was reminded [[to look before you leap]]","When making a big decision, always remember to look before you leap","While standing on the edge of the diving board, he was reminded to look before you leap",to look before you leap,"Amikor a mólón állt, emlékeztették arra, hogy előbb nézz, mielőtt ugrasz.",도약하기 전에 미리 살피세요.
looked through colored glasses,to look the things not as they are; having a heavily biased worldview,She always [[looked through colored glasses]] when it came to her children's achievements,"During the art class, we [[looked through colored glasses]] to observe the effects on the painting",She always looked through colored glasses when it came to her children's achievements,"During the art class, we looked through colored glasses to observe the effects on the painting",looked through colored glasses,"Az művészeti órán színes szemüvegen keresztül néztünk, hogy megfigyeljük a hatásokat a festményen.",색안경을 끼고 봤다.
loose cannon,somebody whose activities are uncommon and out of control,"After losing his job, he [[became a loose cannon]] and started causing problems","During the battle reenactment, the replica [[became a loose cannon]] when it broke free from its mount","After losing his job, he became a loose cannon and started causing problems","During the battle reenactment, the replica became a loose cannon when it broke free from its mount",became a loose cannon,"A csatavisszaadás során a replika elszabadult, amikor kiszabadult a tartójából.","""became a loose cannon"" translates to ""난무하는 대포가 되었다"" in Korean."
lose your marbles,strange behaviors.,"After working non-stop for days, he finally [[lost his marbles]] and started talking nonsense","During the game, he accidentally [[lost his marbles]] when the bag ripped open","After working non-stop for days, he finally lost his marbles and started talking nonsense","During the game, he accidentally lost his marbles when the bag ripped open",lost his marbles,"A játék közben véletlenül elveszítette a golyóit, amikor kiszakadt a zsák.",그는 그의 구슬을 잃어버렸다.
lower the bar,to lower standards or expectations,The company [[lowered the bar for everyone]] by reducing the performance expectations,The gym instructor [[lowered the bar for everyone]] during the limbo competition,The company lowered the bar for everyone by reducing the performance expectations,The gym instructor lowered the bar for everyone during the limbo competition,lowered the bar for everyone,Az edző leengedte a rudat mindenki számára a limbo verseny alatt.,모두를 위해 기준을 낮추었습니다.
lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,"When I heard the sad news, [[I had a lump in my throat]] and couldn't speak","After swallowing a large piece of food, [[I had a lump in my throat]] and needed water","When I heard the sad news, I had a lump in my throat and couldn't speak","After swallowing a large piece of food, I had a lump in my throat and needed water",I had a lump in my throat,"Nagy darab ételt lenyelve csomó érzése volt a torkomban, és vizet kellett innom.",내 목에는 덩어리가 있었다.
make a song and dance,if someone complains in an annoying way or becomes unnecessarily excited about something unimportant,She [[made a song and dance about it]] when she found out she won the lottery,The performers [[made a song and dance about it]] during the musical's finale,She made a song and dance about it when she found out she won the lottery,The performers made a song and dance about it during the musical's finale,made a song and dance about it,A szereplők dalra és táncra perdültek a musical fináléjában.,그것에 대해 노래와 춤을 추었다.
make ends meet,make sufficient money to survive on,"After losing her job, she [[was struggling to make ends meet]] and pay her bills",The tailor [[was struggling to make ends meet]] when sewing the two pieces of fabric together,"After losing her job, she was struggling to make ends meet and pay her bills",The tailor was struggling to make ends meet when sewing the two pieces of fabric together,was struggling to make ends meet,"A szabó nehezen tudta kijönni a pénzéből, amikor összevarrta a két anyagdarabot.",끝을 맞추기 위해 고군분투했다.
make ones bed and lie on it,to be responsible for what you have done and accept the results,[[They made their bed and lied on it]] when they decided to invest in that risky business,"After tidying up the room, [[they made their bed and lied on it]] to take a nap",They made their bed and lied on it when they decided to invest in that risky business,"After tidying up the room, they made their bed and lied on it to take a nap",They made their bed and lied on it,"Miután rendbe tették a szobát, beágyaztak és ráfeküdtek aludni.",그들은 자기 침대를 만들고 누웠다.
makes his hackles rise,to make you angry,The sound of nails on a chalkboard [[makes his hackles rise]],"When the dog senses danger, it [[makes his hackles rise]] on his back",The sound of nails on a chalkboard makes his hackles rise,"When the dog senses danger, it makes his hackles rise on his back",makes his hackles rise,"Amikor a kutya veszélyt észlel, felállnak a szőrszálai a hátán.",그는 분노하게 만든다.
makes my ears burn,"to be embarrassed by what you hear, especially if the conversation is about you",Hearing people gossip about me [[makes my ears burn]],Standing too close to the bonfire [[makes my ears burn]],Hearing people gossip about me makes my ears burn,Standing too close to the bonfire makes my ears burn,makes my ears burn,"Túl közel állok a tábortűzhöz, ezért égnek a füleim.",제 귀를 뜨거워지게 만듭니다.
man's best friend,"It refers to animals that are of use to human beings, mostly used to address dogs.",The loyal dog is often considered [[a man's best friend]],"He wrote a book about his childhood, where he described his brother as [[a man's best friend]]",The loyal dog is often considered a man's best friend,"He wrote a book about his childhood, where he described his brother as a man's best friend",a man's best friend,"Ő írt egy könyvet a gyermekkoráról, ahol a testvérét írta le a férfi legjobb barátjaként.",남자의 가장 친한 친구
mend fences,to try and improve a bad relationship with another party,"After the argument, he started [[mending fences with her]] by apologizing",The farmer spent the afternoon [[mending fences with her]] to keep the animals inside,"After the argument, he started mending fences with her by apologizing",The farmer spent the afternoon mending fences with her to keep the animals inside,mending fences with her,"A gazda délutánját a kerítések javításával töltötte, hogy az állatok bent maradjanak.",그녀와 화해하기
miles away,unaware of the current situation,"During the meeting, her thoughts [[seemed miles away]] from the topic",The mountain peak [[seemed miles away]] from our current location,"During the meeting, her thoughts seemed miles away from the topic",The mountain peak seemed miles away from our current location,seemed miles away,A hegy csúcsa mérföldekre tűnt a jelenlegi helyzetünktől.,멀어 보였다.
mind your own beeswax,do not interfere into someone else's matter,"Instead of gossiping about others, focus [[on minding your own beeswax]]","While working at the apiary, concentrate [[on minding your own beeswax]] production","Instead of gossiping about others, focus on minding your own beeswax","While working at the apiary, concentrate on minding your own beeswax production",on minding your own beeswax,"Miközben az méhészetben dolgozol, koncentrálj arra, hogy a saját méhviasz termelésedre figyelsz.",네 일에만 집중하세요.
mind your own business,to look into your own matter,The neighbors [[were minding their own business]] and didn't notice the commotion next door,The entrepreneurs [[were minding their own business]] by managing their respective companies,The neighbors were minding their own business and didn't notice the commotion next door,The entrepreneurs were minding their own business by managing their respective companies,were minding their own business,"Az üzletemberek a saját dolgukra figyeltek, amikor a saját vállalataikat vezették.",그들은 자신들의 일에 전념하고 있었다.
