idiom,meaning,instance,label,assignment_0,assignment_1,assignment_2,gold_0,gold_1,gold_2,maxVote,review_noAgreement,review_maxVoteGptDiff
have no truck with,avoid dealing or being associated with,I have no truck with them because they keep lying to me,0,"{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 518, 'AssignmentId': '33IZTU6J8HHON53DMTG34HWWSFSSXF', 'HITId': '3M0556244707KMMTN1OUAWQTNS6NFM', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 264, 'AssignmentId': '3DH6GAKTYE5AOMF1MHWDJO08H0LZYW', 'HITId': '3M0556244707KMMTN1OUAWQTNS6NFM', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 40, 'AssignmentId': '3V26SBZTBTUATCP6I3YWXV9ANUQZZO', 'HITId': '3M0556244707KMMTN1OUAWQTNS6NFM', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
go through channels,to follow the correct steps in order to get something done,"They went through the channels to get the job done, meaning that they stuck to the system and followed the rules",0,"{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 596, 'AssignmentId': '3SKEMFQBZJL0KLPX9CV9XWOTKC4K8G', 'HITId': '3OYHVNTV68E0ITEJPRF45YI3LYSKO0', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A3PRQ2GSU42718', 'WorkTimeInSeconds': 227, 'AssignmentId': '3H8DHMCCWPRC1GLOQK6PJO2UV31KDM', 'HITId': '3OYHVNTV68E0ITEJPRF45YI3LYSKO0', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'AEK2SAEL9GG39', 'WorkTimeInSeconds': 197, 'AssignmentId': '3RJSC4XJ1GAFKDZR7LEO2SZT4OZ05Q', 'HITId': '3OYHVNTV68E0ITEJPRF45YI3LYSKO0', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
close shave,a narrow escape,That was a close shave,2,"{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 596, 'AssignmentId': '3SKEMFQBZJL0KLPX9CV9XWOTKC4K8G', 'HITId': '3OYHVNTV68E0ITEJPRF45YI3LYSKO0', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A3PRQ2GSU42718', 'WorkTimeInSeconds': 227, 'AssignmentId': '3H8DHMCCWPRC1GLOQK6PJO2UV31KDM', 'HITId': '3OYHVNTV68E0ITEJPRF45YI3LYSKO0', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'AEK2SAEL9GG39', 'WorkTimeInSeconds': 197, 'AssignmentId': '3RJSC4XJ1GAFKDZR7LEO2SZT4OZ05Q', 'HITId': '3OYHVNTV68E0ITEJPRF45YI3LYSKO0', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",2,2,2,2,False,False
feet of clay,have a flaw or weakness most people are unaware of.,He has feet of clay because he stepped on some wet clay,1,"{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 596, 'AssignmentId': '3SKEMFQBZJL0KLPX9CV9XWOTKC4K8G', 'HITId': '3OYHVNTV68E0ITEJPRF45YI3LYSKO0', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A3PRQ2GSU42718', 'WorkTimeInSeconds': 227, 'AssignmentId': '3H8DHMCCWPRC1GLOQK6PJO2UV31KDM', 'HITId': '3OYHVNTV68E0ITEJPRF45YI3LYSKO0', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'AEK2SAEL9GG39', 'WorkTimeInSeconds': 197, 'AssignmentId': '3RJSC4XJ1GAFKDZR7LEO2SZT4OZ05Q', 'HITId': '3OYHVNTV68E0ITEJPRF45YI3LYSKO0', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,1,1,1,False,False
on the edge of their seat,to be very interested in something and fits with both extremely exciting and nerve-wracking,People were on the edge of their seats because there was no more room on the seats,1,"{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 596, 'AssignmentId': '3SKEMFQBZJL0KLPX9CV9XWOTKC4K8G', 'HITId': '3OYHVNTV68E0ITEJPRF45YI3LYSKO0', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A3PRQ2GSU42718', 'WorkTimeInSeconds': 227, 'AssignmentId': '3H8DHMCCWPRC1GLOQK6PJO2UV31KDM', 'HITId': '3OYHVNTV68E0ITEJPRF45YI3LYSKO0', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'AEK2SAEL9GG39', 'WorkTimeInSeconds': 197, 'AssignmentId': '3RJSC4XJ1GAFKDZR7LEO2SZT4OZ05Q', 'HITId': '3OYHVNTV68E0ITEJPRF45YI3LYSKO0', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,1,1,1,False,False
up a river without a paddle,"when you are in an unfortunate situation, unprepared and with none of the resources to remedy the matter",He was up a river without a paddle when he had no idea what to do next,0,"{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 596, 'AssignmentId': '3SKEMFQBZJL0KLPX9CV9XWOTKC4K8G', 'HITId': '3OYHVNTV68E0ITEJPRF45YI3LYSKO0', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A3PRQ2GSU42718', 'WorkTimeInSeconds': 227, 'AssignmentId': '3H8DHMCCWPRC1GLOQK6PJO2UV31KDM', 'HITId': '3OYHVNTV68E0ITEJPRF45YI3LYSKO0', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'AEK2SAEL9GG39', 'WorkTimeInSeconds': 197, 'AssignmentId': '3RJSC4XJ1GAFKDZR7LEO2SZT4OZ05Q', 'HITId': '3OYHVNTV68E0ITEJPRF45YI3LYSKO0', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
wrapped up in cotton wool,to be over-protected from dangers and risks,He was wrapped up in cotton wool,2,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 175, 'AssignmentId': '3ZSY5X72NDRPSHP86DT2VU07U93ROK', 'HITId': '3UQVX1UPG7XKYWIAY07PF10R6VQ206', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2OVOVZBJYUO', 'WorkTimeInSeconds': 563, 'AssignmentId': '3VA45EW49331ZCQR8JENP3IUQB8O1K', 'HITId': '3UQVX1UPG7XKYWIAY07PF10R6VQ206', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 110, 'AssignmentId': '3IHR8NYAMNH0CBZBA1A4C1UNC0EP4F', 'HITId': '3UQVX1UPG7XKYWIAY07PF10R6VQ206', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",2,2,2,2,False,False
tip of the iceberg,to only know a very small part of the problem,This is just the tip of the iceberg of the things I want to talk about,0,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 175, 'AssignmentId': '3ZSY5X72NDRPSHP86DT2VU07U93ROK', 'HITId': '3UQVX1UPG7XKYWIAY07PF10R6VQ206', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2OVOVZBJYUO', 'WorkTimeInSeconds': 563, 'AssignmentId': '3VA45EW49331ZCQR8JENP3IUQB8O1K', 'HITId': '3UQVX1UPG7XKYWIAY07PF10R6VQ206', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 110, 'AssignmentId': '3IHR8NYAMNH0CBZBA1A4C1UNC0EP4F', 'HITId': '3UQVX1UPG7XKYWIAY07PF10R6VQ206', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
jungle out there,the situation is dangerous and is characterized by ruthless behavior and competition,It's a jungle out there and it's full of dangerous wild animals,1,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 175, 'AssignmentId': '3ZSY5X72NDRPSHP86DT2VU07U93ROK', 'HITId': '3UQVX1UPG7XKYWIAY07PF10R6VQ206', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2OVOVZBJYUO', 'WorkTimeInSeconds': 563, 'AssignmentId': '3VA45EW49331ZCQR8JENP3IUQB8O1K', 'HITId': '3UQVX1UPG7XKYWIAY07PF10R6VQ206', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 110, 'AssignmentId': '3IHR8NYAMNH0CBZBA1A4C1UNC0EP4F', 'HITId': '3UQVX1UPG7XKYWIAY07PF10R6VQ206', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,1,1,1,False,False
cat got your tongue,used to refer a time when someone has nothing to say,Has the cat got your tongue?,2,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 175, 'AssignmentId': '3ZSY5X72NDRPSHP86DT2VU07U93ROK', 'HITId': '3UQVX1UPG7XKYWIAY07PF10R6VQ206', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2OVOVZBJYUO', 'WorkTimeInSeconds': 563, 'AssignmentId': '3VA45EW49331ZCQR8JENP3IUQB8O1K', 'HITId': '3UQVX1UPG7XKYWIAY07PF10R6VQ206', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 110, 'AssignmentId': '3IHR8NYAMNH0CBZBA1A4C1UNC0EP4F', 'HITId': '3UQVX1UPG7XKYWIAY07PF10R6VQ206', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",0,2,2,2,False,False
shed light,to explain something in order to make it easier to understand,"She is shedding light on the issue, providing unique insights to help us tackle the challenge",0,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 175, 'AssignmentId': '3ZSY5X72NDRPSHP86DT2VU07U93ROK', 'HITId': '3UQVX1UPG7XKYWIAY07PF10R6VQ206', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2OVOVZBJYUO', 'WorkTimeInSeconds': 563, 'AssignmentId': '3VA45EW49331ZCQR8JENP3IUQB8O1K', 'HITId': '3UQVX1UPG7XKYWIAY07PF10R6VQ206', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 110, 'AssignmentId': '3IHR8NYAMNH0CBZBA1A4C1UNC0EP4F', 'HITId': '3UQVX1UPG7XKYWIAY07PF10R6VQ206', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
burst the bubble,the sudden end of a very happy or successful period,She burst the bubble,2,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 177, 'AssignmentId': '34Z02EIMI8TH5FAH8HWM5857KRJT08', 'HITId': '3HJ1EVZS33ZXJ8YSWD49I766LZQR35', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 519, 'AssignmentId': '3YHH42UU5RVTM22CZ8UVJHVQQEXL0X', 'HITId': '3HJ1EVZS33ZXJ8YSWD49I766LZQR35', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 520, 'AssignmentId': '3JBT3HLQFOIGF8N0VU0U6X7WDVHZP1', 'HITId': '3HJ1EVZS33ZXJ8YSWD49I766LZQR35', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",2,2,2,2,False,False
dark horse,"a little known, unexpectedly successful entrant",He's a dark horse,2,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 177, 'AssignmentId': '34Z02EIMI8TH5FAH8HWM5857KRJT08', 'HITId': '3HJ1EVZS33ZXJ8YSWD49I766LZQR35', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 519, 'AssignmentId': '3YHH42UU5RVTM22CZ8UVJHVQQEXL0X', 'HITId': '3HJ1EVZS33ZXJ8YSWD49I766LZQR35', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 520, 'AssignmentId': '3JBT3HLQFOIGF8N0VU0U6X7WDVHZP1', 'HITId': '3HJ1EVZS33ZXJ8YSWD49I766LZQR35', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",2,2,2,2,False,False
riding shotgun,to provide active aid to someone,Mark was riding shotgun,2,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 177, 'AssignmentId': '34Z02EIMI8TH5FAH8HWM5857KRJT08', 'HITId': '3HJ1EVZS33ZXJ8YSWD49I766LZQR35', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 519, 'AssignmentId': '3YHH42UU5RVTM22CZ8UVJHVQQEXL0X', 'HITId': '3HJ1EVZS33ZXJ8YSWD49I766LZQR35', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 520, 'AssignmentId': '3JBT3HLQFOIGF8N0VU0U6X7WDVHZP1', 'HITId': '3HJ1EVZS33ZXJ8YSWD49I766LZQR35', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",0,2,2,2,False,False
nail biter,"a situation like a close contest, which induces anxiety or tension.",It was a nail biter,2,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 177, 'AssignmentId': '34Z02EIMI8TH5FAH8HWM5857KRJT08', 'HITId': '3HJ1EVZS33ZXJ8YSWD49I766LZQR35', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 519, 'AssignmentId': '3YHH42UU5RVTM22CZ8UVJHVQQEXL0X', 'HITId': '3HJ1EVZS33ZXJ8YSWD49I766LZQR35', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 520, 'AssignmentId': '3JBT3HLQFOIGF8N0VU0U6X7WDVHZP1', 'HITId': '3HJ1EVZS33ZXJ8YSWD49I766LZQR35', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",0,2,2,2,False,False
put the cart before the horse,to do things in the wrong order or sequence,We have put the cart before the horse for the parade today,1,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 177, 'AssignmentId': '34Z02EIMI8TH5FAH8HWM5857KRJT08', 'HITId': '3HJ1EVZS33ZXJ8YSWD49I766LZQR35', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 519, 'AssignmentId': '3YHH42UU5RVTM22CZ8UVJHVQQEXL0X', 'HITId': '3HJ1EVZS33ZXJ8YSWD49I766LZQR35', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 520, 'AssignmentId': '3JBT3HLQFOIGF8N0VU0U6X7WDVHZP1', 'HITId': '3HJ1EVZS33ZXJ8YSWD49I766LZQR35', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",2,2,1,2,False,True
zero tolerance,"denial to allow rebellious activities, usually by rigid and strict application of the rules;",She had a zero tolerance policy towards any kind of misbehavior in her classroom,0,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 233, 'AssignmentId': '3FIJLY1B6AKAARW0UI6N35RE1QNFPT', 'HITId': '3JYPJ2TAZXO7N7Y63G1MELVON77FPA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 68, 'AssignmentId': '3TVRFO09G0V1JS8N2KJ2SVI10LKXL6', 'HITId': '3JYPJ2TAZXO7N7Y63G1MELVON77FPA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 253, 'AssignmentId': '3RXCAC0YI75VIZTEJLAUZ4W0DVOG8A', 'HITId': '3JYPJ2TAZXO7N7Y63G1MELVON77FPA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
ring fencing,to create a separate legal entity through the way of off-shore accounting in order to protect some assets in a corporation,They implemented ring fencing to protect their assets from outside interference,0,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 233, 'AssignmentId': '3FIJLY1B6AKAARW0UI6N35RE1QNFPT', 'HITId': '3JYPJ2TAZXO7N7Y63G1MELVON77FPA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 68, 'AssignmentId': '3TVRFO09G0V1JS8N2KJ2SVI10LKXL6', 'HITId': '3JYPJ2TAZXO7N7Y63G1MELVON77FPA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 253, 'AssignmentId': '3RXCAC0YI75VIZTEJLAUZ4W0DVOG8A', 'HITId': '3JYPJ2TAZXO7N7Y63G1MELVON77FPA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",1,0,0,0,False,False
cool heels,to wait or take rest,They had to cool their heels in the shade to reduce the action of the sweat glands,1,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 233, 'AssignmentId': '3FIJLY1B6AKAARW0UI6N35RE1QNFPT', 'HITId': '3JYPJ2TAZXO7N7Y63G1MELVON77FPA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 68, 'AssignmentId': '3TVRFO09G0V1JS8N2KJ2SVI10LKXL6', 'HITId': '3JYPJ2TAZXO7N7Y63G1MELVON77FPA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 253, 'AssignmentId': '3RXCAC0YI75VIZTEJLAUZ4W0DVOG8A', 'HITId': '3JYPJ2TAZXO7N7Y63G1MELVON77FPA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,1,1,1,False,False
where the rubber meets the road,when you have to face your challenges,This is where the rubber meets the road,2,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 233, 'AssignmentId': '3FIJLY1B6AKAARW0UI6N35RE1QNFPT', 'HITId': '3JYPJ2TAZXO7N7Y63G1MELVON77FPA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 68, 'AssignmentId': '3TVRFO09G0V1JS8N2KJ2SVI10LKXL6', 'HITId': '3JYPJ2TAZXO7N7Y63G1MELVON77FPA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 253, 'AssignmentId': '3RXCAC0YI75VIZTEJLAUZ4W0DVOG8A', 'HITId': '3JYPJ2TAZXO7N7Y63G1MELVON77FPA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",2,2,2,2,False,False
in full swing,at a stage when the level of activity is at its highest,The party is in full swing,2,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 233, 'AssignmentId': '3FIJLY1B6AKAARW0UI6N35RE1QNFPT', 'HITId': '3JYPJ2TAZXO7N7Y63G1MELVON77FPA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 68, 'AssignmentId': '3TVRFO09G0V1JS8N2KJ2SVI10LKXL6', 'HITId': '3JYPJ2TAZXO7N7Y63G1MELVON77FPA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 253, 'AssignmentId': '3RXCAC0YI75VIZTEJLAUZ4W0DVOG8A', 'HITId': '3JYPJ2TAZXO7N7Y63G1MELVON77FPA', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,True
ring fencing,to create a separate legal entity through the way of off-shore accounting in order to protect some assets in a corporation,They implemented ring fencing around the perimeter of the property,1,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 207, 'AssignmentId': '3FPRZHYEPENSZZD3WZEK8ORZKOJV3L', 'HITId': '3TRB893CTYQOV1Q1IEDNWK4FOS17GU', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 469, 'AssignmentId': '3DY4FPOOAH4KI1Y57PFGQMUFQ2ZVRP', 'HITId': '3TRB893CTYQOV1Q1IEDNWK4FOS17GU', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 384, 'AssignmentId': '373ERPL3Y4O559UG2UF1P46UTHJRT5', 'HITId': '3TRB893CTYQOV1Q1IEDNWK4FOS17GU', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,0,1,1,False,False
the rose that grew from concrete,a person who achieved greatness even though they came from a place not so great.,She is the rose that grew from concrete despite all the challenges she faced,0,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 207, 'AssignmentId': '3FPRZHYEPENSZZD3WZEK8ORZKOJV3L', 'HITId': '3TRB893CTYQOV1Q1IEDNWK4FOS17GU', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 469, 'AssignmentId': '3DY4FPOOAH4KI1Y57PFGQMUFQ2ZVRP', 'HITId': '3TRB893CTYQOV1Q1IEDNWK4FOS17GU', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 384, 'AssignmentId': '373ERPL3Y4O559UG2UF1P46UTHJRT5', 'HITId': '3TRB893CTYQOV1Q1IEDNWK4FOS17GU', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
to the core,totally,He was impacted to the core after hearing the sad news,0,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 207, 'AssignmentId': '3FPRZHYEPENSZZD3WZEK8ORZKOJV3L', 'HITId': '3TRB893CTYQOV1Q1IEDNWK4FOS17GU', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 469, 'AssignmentId': '3DY4FPOOAH4KI1Y57PFGQMUFQ2ZVRP', 'HITId': '3TRB893CTYQOV1Q1IEDNWK4FOS17GU', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 384, 'AssignmentId': '373ERPL3Y4O559UG2UF1P46UTHJRT5', 'HITId': '3TRB893CTYQOV1Q1IEDNWK4FOS17GU', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
