index,idiom_set,idiom
1007,"frozenset({'burst', 'seams'})",burst at the seams
1009,frozenset({'case'}),on the case
1010,"frozenset({'dawn', 'crack'})",crack of dawn
1011,"frozenset({'like', 'cakes', 'hot', 'sell'})",sell like hot cakes
1012,frozenset({'can'}),in the can
1013,"frozenset({'card', 'up', 'sleeve'})",card up sleeve
1015,"frozenset({'catch', '22'})",catch-22
1016,"frozenset({'change', 'heart'})",change of heart
1017,"frozenset({'throw', 'winds', 'caution'})",throw caution to the winds
1018,"frozenset({'close', 'books'})",close the books
1019,"frozenset({'reap', 'what', 'sow'})",you reap what you sow
1020,"frozenset({'set', 'off'})",set off
1021,"frozenset({'chill', 'pill'})",chill pill
1022,frozenset({'dock'}),in the dock
1023,"frozenset({'cold', 'day', 'light'})",in the cold light of day
1025,"frozenset({'best', 'health'})",in the best of health
1027,"frozenset({'only', 'name'})",in name only
1028,frozenset({'limbo'}),in limbo
1030,"frozenset({'with', 'cahoots'})",in cahoots with
1031,"frozenset({'shape', 'bad'})",in bad shape
1035,"frozenset({'gotten', 'gains', 'ill'})",ill-gotten gains
1040,frozenset({'hop'}),hop in
1041,"frozenset({'truth', 'home'})",home truth
1043,"frozenset({'second', 'hold'})",hold on a second
1044,"frozenset({'hocus', 'pocus'})",hocus pocus
1049,"frozenset({'eyes', 'law'})",in the eyes of the law
1050,"frozenset({'family', 'way'})",in the family way
1052,"frozenset({'nick', 'time'})",in the nick of time
1053,"frozenset({'keep', 'work', 'up', 'good'})",keep up the good work
1054,"frozenset({'keep', 'tabs'})",keep tabs on
1055,"frozenset({'keep', 'touch'})",keep in touch
1057,"frozenset({'keep', 'bay'})",keep at bay
1059,"frozenset({'keep', 'above', 'head', 'water'})",keep [pron] head above water
1060,"frozenset({'eyes', 'keep', 'peeled'})",keep [pron] eyes peeled
1062,"frozenset({'keep', 'eye', 'open'})",keep [pron] eye open
1063,"frozenset({'keep', 'cool'})",keep [pron] cool
1066,"frozenset({'hit', 'ceiling'})",hit [pron] ceiling
1070,"frozenset({'jump', 'deep', 'end'})",jump in at [pron] deep end
1072,"frozenset({'club', 'join'})",join [pron] club
1074,"frozenset({'itchy', 'feet'})",itchy feet
1075,"frozenset({'inside', 'job'})",inside job
1076,frozenset({'zone'}),in the zone
1077,frozenset({'wake'}),in the wake of
1078,"frozenset({'boat', 'same'})",in the same boat
1082,"frozenset({'season', 'high'})",high season
1083,"frozenset({'mighty', 'and', 'high'})",high and mighty
1084,"frozenset({'bent', 'hell'})",hell bent
1085,"frozenset({'life', 'give', 'kiss'})",give [pron] kiss of life
1086,"frozenset({'hand', 'give'})",give [pron] [pron] hand
1087,"frozenset({'cold', 'shoulder', 'give'})",give [pron] [pron] cold shoulder
1088,"frozenset({'get', 'point'})",get to [pron] point
1089,"frozenset({'get', 'religion'})",get religion
1091,"frozenset({'out', 'hand', 'get'})",get out of hand
1092,"frozenset({'board', 'get'})",get on board
1094,"frozenset({'get', 'hair'})",get in [pron] hair
1095,"frozenset({'get', 'life'})",get a life
1096,"frozenset({'get', 'sack'})",get [pron] sack
1099,"frozenset({'bender', 'gender'})",gender bender
1100,"frozenset({'gain', 'ground'})",gain ground
1101,"frozenset({'fruit', 'forbidden'})",forbidden fruit
1102,"frozenset({'nor', 'love', 'money'})",for love nor money
1103,frozenset({'song'}),for a song
1106,"frozenset({'and', 'jetsam', 'flotsam'})",flotsam and jetsam
1109,"frozenset({'market', 'flea'})",flea market
1111,"frozenset({'come', 'first', 'served'})",first come first served
1112,"frozenset({'equals', 'first', 'among'})",first among equals
1113,"frozenset({'gas', 'up'})",gas up
1114,"frozenset({'fingers', 'keeping', 'crossed'})",keeping [pron] fingers crossed
1116,"frozenset({'board', 'back', 'drawing', 'go'})",go back to [pron] drawing board
1117,"frozenset({'heart', 'gold'})",heart of gold
1120,"frozenset({'friends', 'have', 'places', 'high'})",have friends in high places
1122,"frozenset({'have', 'big', 'ears'})",have big ears
1123,"frozenset({'have', 'time', 'whale'})",have [pron] whale of [pron] time
1124,"frozenset({'have', 'guts'})",have [pron] guts
1125,"frozenset({'have', 'blast'})",have [pron] blast
1128,"frozenset({'and', 'hale', 'hearty'})",hale and hearty
1131,"frozenset({'cheshire', 'cat', 'grin', 'like'})",grin like [pron] cheshire cat
1132,"frozenset({'with', 'envy', 'green'})",green with envy
1133,"frozenset({'light', 'green'})",green light
1136,"frozenset({'age', 'golden'})",golden age
1137,"frozenset({'knows', 'god'})",god knows
1138,"frozenset({'forbid', 'god'})",god forbid
1143,"frozenset({'dutch', 'go'})",go dutch
1145,"frozenset({'pastures', 'greener'})",greener pastures
1149,"frozenset({'once', 'blue', 'moon'})",once in a blue moon
1150,"frozenset({'thin', 'ice'})",on thin ice
1151,frozenset({'wagon'}),on the wagon
1152,frozenset({'table'}),on the table
1153,"frozenset({'wavelength', 'same'})",on the same wavelength
1155,frozenset({'run'}),on the run
1157,frozenset({'record'}),on the record
1158,"frozenset({'dilemma', 'horns'})",on the horns of a dilemma
1159,frozenset({'fence'}),on the fence
1160,frozenset({'shoestring'}),on a shoestring
1162,"frozenset({'open', 'warfare'})",open warfare
1163,"frozenset({'chestnut', 'old'})",old chestnut
1165,"frozenset({'track', 'off', 'beaten'})",off the beaten track
1166,"frozenset({'ends', 'odds', 'and'})",odds and ends
1167,"frozenset({'nuts', 'and', 'bolts'})",nuts and bolts
1168,"frozenset({'nurse', 'health', 'back'})",nurse [pron] back to health
1169,"frozenset({'never', 'or', 'now'})",now or never
1170,"frozenset({'and', 'now', 'then'})",now and then
1171,"frozenset({'not', 'million', 'years'})",not in a million years
1172,"frozenset({'not', 'minute'})",not for a minute
1173,"frozenset({'not', 'bat', 'eyelid'})",not bat [pron] eyelid
1175,"frozenset({'and', 'south', 'north'})",north and south
1176,"frozenset({'attached', 'no', 'strings'})",no strings attached
1179,"frozenset({'out', 'sight'})",out of sight
1180,"frozenset({'out', 'world'})",out of this world
1181,"frozenset({'play', 'safe'})",play safe
1182,"frozenset({'s', 'play', 'advocate', 'devil'})",play devil's advocate
1184,"frozenset({'play', 'ball'})",play ball
1185,"frozenset({'away', 'play', 'from', 'home'})",play away from home
1186,"frozenset({'joke', 'play'})",play [pron] joke
1187,"frozenset({'play', 'field'})",play [pron] field
1191,"frozenset({'might', 'pigs', 'fly'})",pigs might fly
1192,"frozenset({'out', 'pig'})",pig out
1196,"frozenset({'pick', 'tab', 'up'})",pick up [pron] tab
1197,"frozenset({'pitch', 'perfect'})",perfect pitch
1198,"frozenset({'per', 'se'})",per se
1199,"frozenset({'out', 'peg'})",peg out
1200,"frozenset({'tom', 'peeping'})",peeping tom
1201,"frozenset({'pay', 'dues'})",pay [pron] dues
1203,"frozenset({'party', 'animal'})",party animal
1207,"frozenset({'hill', 'over'})",over the hill
1209,"frozenset({'health', 'picture'})",picture of health
1210,"frozenset({'imagination', 'fire'})",fire [pron] imagination
1211,"frozenset({'no', 'rush'})",no rush
1212,"frozenset({'five', 'nine'})",nine to five
1213,"frozenset({'touch', 'magic'})",magic touch
1214,"frozenset({'made', 'money'})",made of money
1219,"frozenset({'lose', 'shirt'})",lose [pron] shirt
1223,"frozenset({'and', 'learn', 'live'})",live and learn
1224,"frozenset({'curtain', 'lift'})",lift [pron] curtain
1226,"frozenset({'magic', 'wand'})",magic wand
1228,"frozenset({'let', 'off', 'hook'})",let [pron] off [pron] hook
1231,"frozenset({'leave', 'nest'})",leave [pron] nest
1232,"frozenset({'heart', 'learn'})",learn by heart
1233,"frozenset({'law', 'down', 'lay'})",lay down [pron] law
1234,"frozenset({'law', 'jungle'})",law of [pron] jungle
1235,"frozenset({'laugh', 'up', 'sleeve'})",laugh up [pron] sleeve
1238,"frozenset({'lame', 'duck'})",lame duck
1242,"frozenset({'gritty', 'nitty'})",nitty gritty
1243,"frozenset({'mouth', 'water', 'make'})",make [pron] mouth water
1244,"frozenset({'shines', 'hay', 'while', 'make', 'sun'})",make hay while the sun shines
1245,"frozenset({'out', 'ten', 'times', 'nine'})",nine times out of ten
1247,"frozenset({'next', 'nothing'})",next to nothing
1248,"frozenset({'block', 'new', 'kid'})",new kid on [pron] block
1249,"frozenset({'new', 'arrival'})",new arrival
1250,"frozenset({'never', 'land'})",never-never land
1253,"frozenset({'neither', 'fish', 'fowl', 'nor'})",neither fish nor fowl
1254,"frozenset({'day', 'name'})",name [pron] day
1255,frozenset({'nail'}),nail it
1258,"frozenset({'scene', 'make'})",make [pron] scene
1259,"frozenset({'talks', 'money'})",money talks
1261,"frozenset({'middle', 'road'})",middle of the road
1262,"frozenset({'men', 'suits'})",men in suits
1263,"frozenset({'meet', 'waterloo'})",meet [pron] waterloo
1264,"frozenset({'culpa', 'mea'})",mea culpa
1265,"frozenset({'happy', 'many', 'returns'})",many happy returns
1266,"frozenset({'man', 'means'})",man of means
1267,"frozenset({'man', 'street'})",man in the street
1268,"frozenset({'man', 'blue'})",man in blue
1269,"frozenset({'make', 'home', 'yourself'})",make yourself at home
1270,"frozenset({'waves', 'make'})",make waves
1271,"frozenset({'mind', 'up', 'make'})",make up [pron] mind
1273,"frozenset({'rope', 'money', 'old'})",money for old rope
1274,"frozenset({'justice', 'poetic'})",poetic justice
1276,"frozenset({'shoes', 'fill'})",fill [pron] shoes
1278,frozenset({'beats'}),beats me
1279,"frozenset({'beat', 'retreat'})",beat [pron] retreat
1280,"frozenset({'beat', 'clock'})",beat [pron] clock
1282,"frozenset({'beach', 'bum'})",beach bum
1284,"frozenset({'tired', 'and', 'sick'})",be sick and tired of
1290,"frozenset({'dead', 'world'})",be dead to [pron] world
1291,frozenset({'sport'}),be a sport
1294,"frozenset({'baptism', 'fire'})",baptism of fire
1295,frozenset({'bank'}),bank on
1297,"frozenset({'bag', 'tricks'})",bag of tricks
1298,"frozenset({'bag', 'bones'})",bag of bones
1299,"frozenset({'bag', 'lady'})",bag lady
1303,"frozenset({'back', 'feet'})",back on [pron] feet
1304,"frozenset({'behave', 'yourself'})",behave yourself
1305,"frozenset({'behind', 'back'})",behind [pron] back
1308,"frozenset({'and', 'glass', 'bottle'})",bottle and glass
1309,"frozenset({'from', 'blue', 'bolt'})",bolt from the blue
1311,"frozenset({'blow', 'fuse'})",blow [pron] fuse
1318,"frozenset({'bite', 'lip'})",bite [pron] lip
1321,frozenset({'wheel'}),at the wheel
1322,"frozenset({'big', 'wheel'})",big wheel
1325,"frozenset({'big', 'bucks'})",big bucks
1326,"frozenset({'words', 'beyond'})",beyond words
1327,"frozenset({'price', 'beyond'})",beyond price
1328,"frozenset({'dreams', 'beyond', 'wildest'})",beyond [pron] wildest dreams
1329,"frozenset({'between', 'life', 'death', 'and'})",between life and death
1331,"frozenset({'dollar', 'bottom', 'bet'})",bet [pron] bottom dollar
1333,"frozenset({'law', 'bend'})",bend [pron] law
1334,"frozenset({'below', 'salt'})",below the salt
1336,"frozenset({'big', 'head'})",big head
1340,"frozenset({'law', 'above'})",above the law
1341,"frozenset({'above', 'suspicion'})",above suspicion
1342,"frozenset({'face', 'about'})",about face
1345,frozenset({'steal'}),a steal
1346,"frozenset({'sight', 'sorry'})",a sorry sight
1349,"frozenset({'shot', 'arm'})",a shot in the arm
1351,"frozenset({'pair', 'hands', 'safe'})",a safe pair of hands
1352,"frozenset({'red', 'flag'})",a red flag
1354,"frozenset({'life', 'lease', 'new'})",a new lease of life
1356,"frozenset({'wall', 'fly'})",a fly on the wall
1360,"frozenset({'bill', 'clean', 'health'})",a clean bill of health
1361,"frozenset({'air', 'fresh', 'breath'})",a breath of fresh air
1362,"frozenset({'disguise', 'blessing'})",a blessing in disguise
1363,"frozenset({'law', 'word'})",[pron] word is law
1364,"frozenset({'place', 'sun'})",[pron] place in [pron] sun
1365,"frozenset({'man', 'words', 'few'})",[pron] man of few words
1367,"frozenset({'life', 'saver'})",[pron] life-saver
1368,"frozenset({'load', 'cobblers'})",a load of cobblers
1369,"frozenset({'tacks', 'brass'})",brass tacks
1373,"frozenset({'mouse', 'poor', 'church', 'as'})",as poor as a church mouse
1374,"frozenset({'as', 'kite', 'high'})",as high as a kite
1377,frozenset({'eye'}),an eye for an eye
1379,"frozenset({'act', 'war'})",an act of war
1380,"frozenset({'soup', 'alphabet'})",alphabet soup
1381,"frozenset({'along', 'lines'})",along the lines
1383,"frozenset({'cat', 'alley'})",alley cat
1384,"frozenset({'together', 'now', 'all'})",all together now
1385,"frozenset({'thumbs', 'all'})",all thumbs
1386,"frozenset({'all', 'way'})",all the way
1387,"frozenset({'all', 'more'})",all the more
1388,"frozenset({'all', 'jazz'})",all that jazz
1391,"frozenset({'al', 'fresco'})",al fresco
1392,"frozenset({'ahead', 'time'})",ahead of [pron] time
1393,"frozenset({'time', 'against'})",against time
1396,"frozenset({'fuel', 'add', 'fire'})",add fuel to [pron] fire
1399,"frozenset({'act', 'age'})",act [pron] age
1400,"frozenset({'aching', 'heart'})",aching heart
1404,"frozenset({'draw', 'horns'})",draw in [pron] horns
1405,"frozenset({'draw', 'fire'})",draw fire
1406,"frozenset({'draw', 'straw', 'shortest'})",draw [pron] shortest straw
1407,"frozenset({'drag', 'feet'})",drag [pron] feet
1409,"frozenset({'death', 'done'})",done to death
1412,"frozenset({'work', 'dirty'})",dirty work
1413,"frozenset({'work', 'dirty', 'do'})",do [pron] dirty work
1414,"frozenset({'death', 'dice', 'with'})",dice with death
1415,"frozenset({'dead', 'wood'})",dead wood
1416,"frozenset({'serious', 'dead'})",dead serious
1419,"frozenset({'meat', 'dead'})",dead meat
1420,"frozenset({'loss', 'dead'})",dead loss
1422,"frozenset({'date', 'rape'})",date rape
1424,"frozenset({'daily', 'grind'})",daily grind
1429,"frozenset({'losses', 'cut'})",cut [pron] losses
1430,"frozenset({'curl', 'lip'})",curl [pron] lip
1432,"frozenset({'right', 'dead'})",dead right
1434,"frozenset({'ticket', 'dream'})",dream ticket
1437,"frozenset({'fight', 'with', 'fire'})",fight fire with fire
1438,"frozenset({'fight', 'good'})",fight [pron] good fight
1439,"frozenset({'feel', 'age'})",feel [pron] age
1440,"frozenset({'frenzy', 'feeding'})",feeding frenzy
1441,"frozenset({'father', 'figure'})",father figure
1445,"frozenset({'dressed', 'nines', 'up'})",dressed up to the nines
1446,"frozenset({'enough', 'fair'})",fair enough
1449,"frozenset({'cleansing', 'ethnic'})",ethnic cleansing
1450,"frozenset({'hard', 'drive', 'bargain'})",drive [pron] hard bargain
1452,"frozenset({'drop', 'ball'})",drop [pron] ball
1454,"frozenset({'drop', 'subject'})",drop [pron] subject
1457,"frozenset({'easy', 'ear'})",easy on the ear
1459,"frozenset({'prey', 'fall'})",fall prey to
1460,"frozenset({'out', 'love', 'fall'})",fall out of love
1463,"frozenset({'grease', 'elbow'})",elbow grease
1464,"frozenset({'easy', 'eye'})",easy on the eye
1466,"frozenset({'cross', 'fingers'})",cross [pron] fingers
1468,"frozenset({'ball', 'carry'})",carry [pron] ball
1470,"frozenset({'carpe', 'diem'})",carpe diem
1471,"frozenset({'canteen', 'culture'})",canteen culture
1472,"frozenset({'tune', 'call'})",call [pron] tune
1476,"frozenset({'calendar', 'year'})",calendar year
1477,frozenset({'numbers'}),by the numbers
1478,"frozenset({'large', 'and'})",by and large
1480,"frozenset({'business', 'as', 'usual'})",business as usual
1481,"frozenset({'cash', 'cow'})",cash cow
1488,"frozenset({'knees', 'bring'})",bring to knees
1489,"frozenset({'table', 'bring'})",bring to [pron] table
1491,"frozenset({'curtain', 'down', 'bring'})",bring [pron] curtain down
1492,"frozenset({'button', 'as', 'bright'})",bright as a button
1493,"frozenset({'mortar', 'bricks', 'and'})",bricks and mortar
1494,"frozenset({'breathe', 'last'})",breathe [pron] last
1495,"frozenset({'break', 'up'})",break up
1496,"frozenset({'ends', 'burn', 'both', 'candles'})",burn candles at both ends
1497,"frozenset({'crop', 'cream'})",cream of the crop
1501,"frozenset({'man', 'company'})",company man
1503,"frozenset({'come', 'fire', 'under'})",come under fire
1504,"frozenset({'true', 'come'})",come true
1505,"frozenset({'come', 'with', 'terms'})",come to terms with
1506,"frozenset({'fruition', 'come'})",come to fruition
1509,"frozenset({'come', 'attention'})",come to [pron] attention
1510,"frozenset({'shine', 'come', 'or', 'rain'})",come rain or shine
1511,"frozenset({'out', 'come', 'woodwork'})",come out of [pron] woodwork
1512,"frozenset({'out', 'come', 'closet'})",come out of [pron] closet
1513,"frozenset({'cat', 'burglar'})",cat burglar
1515,"frozenset({'from', 'behind', 'come'})",come from behind
1518,"frozenset({'home', 'close'})",close to home
1520,"frozenset({'out', 'clock'})",clock out
1521,"frozenset({'out', 'chicken'})",chicken out
1522,"frozenset({'feed', 'chicken'})",chicken feed
1524,"frozenset({'chew', 'cud'})",chew [pron] cud
1525,"frozenset({'cheek', 'jowl'})",cheek by jowl
1529,"frozenset({'poetry', 'motion'})",poetry in motion
1530,"frozenset({'poison', 'pill'})",poison pill
1532,frozenset({'wane'}),wane
1533,"frozenset({'s', 'nest', 'feather', 'one'})",feather one's (own) nest
1534,"frozenset({'fake', 'till', 'make'})",fake it till you make it
1535,"frozenset({'big', 'gun'})",big gun
1536,"frozenset({'shoot', 'breeze'})",shoot the breeze
1537,"frozenset({'mouth', 'word'})",word of mouth
1538,"frozenset({'fast', 'lightning'})",lightning fast
1539,"frozenset({'barrel', 'scrape', 'bottom'})",scrape the bottom of the barrel
1540,"frozenset({'compliment', 'backhanded'})",backhanded compliment
1542,"frozenset({'spoon', 'silver'})",silver spoon
1543,"frozenset({'order', 'tall'})",a tall order
1544,"frozenset({'blind', 'spot'})",blind spot
1545,"frozenset({'happy', 'life', 'wife'})",happy wife happy life
1546,"frozenset({'cons', 'and', 'pros'})",pros and cons
1547,frozenset({'helm'}),at the helm
1548,"frozenset({'behind', 'brains'})",the brains behind
1549,"frozenset({'s', 'surgery', 'brain', 'not'})",it's not brain surgery
1550,"frozenset({'s', 'wet', 'feet', 'one', 'get'})",get one's feet wet
1551,"frozenset({'break', 'news'})",break the news
1552,frozenset({'and'}),by and by
1553,"frozenset({'tasted', 'blood'})",tasted blood
1554,"frozenset({'door', 'show'})",show the door
1555,"frozenset({'out', 'get', 'dodge'})",get out of dodge
1556,"frozenset({'s', 'neck', 'yoke', 'one', 'around'})",yoke around one's neck
1557,"frozenset({'while', 'rome', 'burns', 'fiddle'})",fiddle while Rome burns
1558,"frozenset({'know', 's', 'buttered', 'one', 'which', 'side', 'bread'})",know which side one's bread is buttered
1559,"frozenset({'dressed', 'nightmare', 'daydream', 'like'})",nightmare dressed like a daydream
1560,"frozenset({'blind', 'impulse'})",blind impulse
1561,"frozenset({'wave', 'ride'})",ride (on) a wave
1562,"frozenset({'top', 'world'})",on top of the world
1563,"frozenset({'know', 'buttered', 'which', 'side', 'bread'})",know on which side bread is buttered
1564,"frozenset({'will', 'let', 'loose', 'hell', 'all'})",all hell will let loose
1565,"frozenset({'cat', 'among', 'pigeons'})",cat among the pigeons
1566,"frozenset({'burst', 'bubble'})",burst the bubble
1567,frozenset({'lone'}),lone it
1568,"frozenset({'thumb', 'green'})",green thumb
1569,"frozenset({'hook', 'or', 'crook'})",by hook or by crook
1570,"frozenset({'big', 'mouth'})",big mouth
1571,"frozenset({'sweep', 'rug', 'under'})",sweep under the rug
1572,"frozenset({'and', 'bounds', 'leaps'})",leaps and bounds
1574,"frozenset({'chest', 'keep', 'card', 'close'})",keep card close to chest
1575,"frozenset({'table', 'cards', 'put'})",put cards on the table
1576,"frozenset({'ends', 'burn', 'both', 'candle'})",burn the candle at both ends
1577,"frozenset({'s', 'bull', 'eye'})",bull's eye
1578,frozenset({'board'}),on board
1579,"frozenset({'wind', 'second'})",second wind
1580,"frozenset({'rip', 'off'})",rip off
1581,"frozenset({'happy', 'lucky', 'go'})",happy go lucky
1582,"frozenset({'rubber', 'where', 'meets', 'road'})",where the rubber meets the road
1583,"frozenset({'mint', 'condition'})",in mint condition
1584,"frozenset({'across', 'run'})",run across
1585,"frozenset({'take', 'cake'})",take the cake
1586,"frozenset({'down', 'buckle'})",buckle down
1587,"frozenset({'stand', 'chance'})",stand a chance
1588,"frozenset({'cross', 'purposes'})",at cross purposes
1589,frozenset({'cards'}),on the cards
1590,"frozenset({'points', 'brownie'})",brownie points
1591,"frozenset({'s', 'life', 'dog'})",dog's life
1592,"frozenset({'paul', 'rob', 'pay', 'peter'})",rob Peter to pay Paul
1593,"frozenset({'monde', 'beau'})",beau monde
1594,"frozenset({'bosom', 'friend'})",bosom friend
1595,"frozenset({'lights', 'but', 'nobody', 'home'})",lights are on but nobody is home
1596,"frozenset({'deep', 'sea', 'between', 'and', 'devil', 'blue'})",between the devil and the deep blue sea
1597,"frozenset({'cross', 'swords'})",cross swords
1598,"frozenset({'coin', 'side', 'other'})",the other side of the coin
1599,frozenset({'cakewalk'}),cakewalk
1600,"frozenset({'act', 'class'})",class act
1601,"frozenset({'s', 'child', 'play'})",child's play
1602,"frozenset({'s', 'cover', 'tracks', 'one'})",cover one's tracks
1603,"frozenset({'grid', 'off'})",off grid
1604,"frozenset({'up', 'all', 'way'})",all the way up
1605,"frozenset({'call', 'clarion'})",clarion call
1606,frozenset({'riddle'}),riddle me
1607,"frozenset({'cross', 'paths'})",cross paths
1608,"frozenset({'easy', 'money'})",easy money
1609,"frozenset({'eye', 'bat'})",bat an eye
1610,"frozenset({'from', 'grave', 'cradle'})",from cradle to grave
1612,"frozenset({'clean', 'breast', 'make'})",make a clean breast
1613,"frozenset({'come', 'grief'})",come to grief
1614,frozenset({'around'}),been around
1615,"frozenset({'s', 'keep', 'one', 'counsel'})",keep one's own counsel
1616,"frozenset({'have', 'designs'})",have designs on
1617,"frozenset({'quick', 'buck'})",a quick buck
1618,frozenset({'line'}),on the line
1619,"frozenset({'s', 'cracked', 'not', 'up', 'all'})",not all it's cracked up to be
1620,"frozenset({'s', 'one', 'blood'})",in one's blood
1621,"frozenset({'not', 'have', 'clue'})",not have a clue
1622,"frozenset({'check', 'blank'})",blank check
1623,"frozenset({'faint', 'heart'})",faint of heart
1624,"frozenset({'s', 'recharge', 'batteries', 'one'})",recharge one's batteries
1625,"frozenset({'hay', 'hit'})",hit the hay
1626,"frozenset({'as', 'busy', 'beaver'})",busy as a beaver
1627,"frozenset({'as', 'brass', 'bold'})",as bold as brass
1628,"frozenset({'between', 'and'})",between you and me
1629,"frozenset({'buy', 'time'})",buy time
1630,"frozenset({'check', 'rain'})",rain check
1631,"frozenset({'sand', 'bury', 'head'})",bury head in the sand
1632,"frozenset({'wide', 'berth'})",wide berth
1633,"frozenset({'button', 'hit', 'panic'})",hit the panic button
1634,"frozenset({'break', 'new', 'ground'})",break new ground
1635,"frozenset({'living', 'time', 'borrowed'})",living on borrowed time
1636,"frozenset({'someone', 'book', 'bring'})",bring someone to book
1637,"frozenset({'s', 'leaf', 'someone', 'out', 'take', 'book'})",take a leaf out of someone's book
1638,"frozenset({'and', 'body', 'soul'})",body and soul
1639,"frozenset({'sweat', 'and', 'tears', 'blood'})","blood, sweat, and tears"
1640,frozenset({'blink'}),on the blink
1641,"frozenset({'s', 'someone', 'blushes', 'spare'})",spare someone's blushes
1642,"frozenset({'feather', 'birds'})",birds of a feather
1643,"frozenset({'blast', 'from', 'past'})",blast from the past
1644,"frozenset({'s', 'do', 'bit', 'one'})",do one's bit
1645,frozenset({'dint'}),by dint of
1646,"frozenset({'as', 'pay', 'go'})",pay as you go
1647,"frozenset({'card', 'wild'})",wild card
1648,"frozenset({'off', 'block', 'chip', 'old'})",chip off the old block
1649,"frozenset({'s', 'life', 'light', 'one'})",light of one's life
1650,"frozenset({'roots', 'deep', 'run'})",roots run deep
1651,"frozenset({'red', 'book'})",red book
1652,"frozenset({'cause', 'common', 'make'})",make common cause
1653,"frozenset({'down', 'upside'})",upside down
1654,"frozenset({'red', 'zone'})",red zone
1655,"frozenset({'rock', 'boat'})",rock the boat
1656,"frozenset({'make', 'difference', 'all'})",make all the difference
1657,"frozenset({'auspices', 'under'})",under the auspices
1660,"frozenset({'school', 'old'})",old school
1661,frozenset({'light'}),in light of
1662,"frozenset({'keep', 'promise'})",keep promise
1663,"frozenset({'goose', 'egg'})",goose egg
1664,"frozenset({'turvy', 'topsy'})",topsy-turvy
1665,"frozenset({'gives', 'lemons', 'life', 'when'})",when life gives you lemons
1666,"frozenset({'problem', 'knotty'})",knotty problem
1667,"frozenset({'call', 'duty'})",call of duty
1668,"frozenset({'task', 'herculean'})",Herculean task
1669,"frozenset({'fight', 'tooth', 'and', 'nail'})",fight tooth and nail
1670,"frozenset({'turn', 'against'})",turn against
1671,"frozenset({'hard', 'nut', 'crack'})",a hard nut to crack
1672,"frozenset({'better', 'than', 'cure', 'prevention'})",prevention is better than cure
1673,"frozenset({'two', 'peas', 'pod'})",two peas in a pod
1674,"frozenset({'get', 'rid'})",get rid of
1675,"frozenset({'bang', 'buck'})",bang for the buck
1676,"frozenset({'turn', 'aside'})",turn aside
1678,"frozenset({'zone', 'buffer'})",buffer zone
1679,"frozenset({'up', 'end'})",end up
1680,"frozenset({'backroom', 'boys'})",backroom boy(s)
1681,"frozenset({'hill', 'king'})",king of the hill
1682,"frozenset({'uncle', 'dutch'})",Dutch uncle
1683,"frozenset({'further', 'without', 'ado'})",without further ado
1684,"frozenset({'apple', 'worm'})",worm in the apple
1685,"frozenset({'think', 'come', 'ofabout'})",come to think of/about it
1686,"frozenset({'and', 'span', 'spick'})",spick and span
1687,"frozenset({'lip', 'pay', 'service'})",pay lip service
1688,"frozenset({'not', 'believe', 'eyes'})",not believe eyes
1689,frozenset({'loop'}),in the loop
1690,"frozenset({'and', 'square', 'fair'})",fair and square
1691,"frozenset({'lean', 'towards'})",lean towards
1692,"frozenset({'air', 'walking'})",walking on air
1693,"frozenset({'mind', 'beeswax'})",mind your own beeswax
1694,"frozenset({'take', 'granted'})",take for granted
1695,frozenset({'chance'}),by chance
1696,frozenset({'apples'}),apples to apples
1697,"frozenset({'grain', 'against'})",against the grain
1698,"frozenset({'out', 'business'})",out of business
1699,"frozenset({'dozen', 'one', 'half', 'other', 'six'})","six of one, half a dozen of the other"
1700,"frozenset({'day', 'black'})",black day
1701,"frozenset({'spend', 'fortune'})",spend a fortune
1702,"frozenset({'as', 'result'})",as a result
1703,"frozenset({'out', 'rule'})",rule out
1704,"frozenset({'pipe', 'dream'})",pipe dream
1706,"frozenset({'out', 'molehill', 'mountain', 'make'})",make a mountain out of a molehill
1707,"frozenset({'away', 'miles'})",miles away
1708,"frozenset({'s', 'den', 'lion'})",the lion's den
1709,"frozenset({'grief', 'good'})",good grief
1710,"frozenset({'mind', 'business'})",mind your own business
1711,"frozenset({'get', 'stick', 'wrong', 'end'})",get the wrong end of the stick
1712,"frozenset({'black', 'friday'})",Black Friday
1713,"frozenset({'long', 'run'})",long run
1714,"frozenset({'wire', 'live'})",live wire
1715,"frozenset({'waters', 'troubled'})",troubled waters
1716,"frozenset({'heart', 'where', 'home'})",home is where the heart is
1717,"frozenset({'exactly', 'what', 'does', 'says', 'tin'})",does exactly what it says on the tin
1718,"frozenset({'ahead', 'curve'})",ahead of the curve
1719,"frozenset({'as', 'doornail', 'dead'})",dead as a doornail
1720,"frozenset({'break', 'back', 's', 'one'})",break one's back
1721,"frozenset({'halfway', 'house'})",halfway house
1722,"frozenset({'stand', 'ground'})",stand your ground
1723,"frozenset({'skeleton', 'closet'})",skeleton in the closet
1724,"frozenset({'boot', 'get', 'sack', 'axe'})","get the sack (boot, axe)"
1725,"frozenset({'leg', 'up'})",leg up
1726,"frozenset({'cold', 'shoulder'})",cold shoulder
1727,"frozenset({'handle', 'off', 'fly'})",fly off the handle
1728,"frozenset({'take', 'from', 'cue'})",take a cue from
1729,"frozenset({'black', 'book'})",black book
1731,"frozenset({'brain', 'drain'})",brain drain
