idiom_set,idiom_EPIE,meaning_EPIE,example_EPIE,tag_EPIE,idiom_dictionary,meaning_dictionary,example_dictionary,idiom_bookcorpus,meaning_bookcorpus
"frozenset({'air', 'fresh', 'breath'})",a breath of fresh air,something new and refreshing.,"He would of course require a pastoral call even if he did not — and his car did not bode well — look like the kind of man Peter might hope for , as a breath of fresh air on the PCC ; as a possible churchwarden in place of old Sir Francis Mayhew who said he 'd done fifteen years which was more than enough ; or even as a parishioner willing to raise the £25,000 that the diocesan architect had said would have to be spent on Loxford church roof within the next three years .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'bless', 'disguis'})",a blessing in disguise,a good thing that initially seemed bad.,"One might argue , indeed , that his departure from power was a blessing in disguise for him , because it left others with the disagreeable but unavoidable job of extricating France from this cul-de-sac , by recognizing a powerful West German state and ultimately accepting German rearmament , by fighting and then retreating from a bloody colonial conflict in Indochina .",O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'law', 'word'})",[pron] word is law,what someone says is taken as absolute truth and must be followed.,"He was a strict disciplinarian whose word was law and , while players could argue with his views and put their own ideas to him freely , he would tolerate no arguing with umpires ; when Sobers once disputed an lbw decision he was reprimanded in front of the team .",O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'place', 'sun'})",[pron] place in [pron] sun,give someone recognition or praise for their accomplishments.,"Imperial expansion was driven forward not only by the collapse of order in extra-European societies , but also by intensifying competition from Britain 's European rivals for ‘ a place in the sun ’ .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O,,,,,
"frozenset({'man', 'word', 'few'})",[pron] man of few words,someone who speaks very little and is not very talkative.,"Whether or not this is so , few would deny that Abbado is a sound choice , a man of few words who nevertheless commands great respect among orchestral players and is as highly praised for his Rossini as for his Mahler , his Mozart or his Brian Ferneyhough .",O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'man', 'action'})",[pron] man of action,someone who is quick to take action and get things done.,"Almost 30 when he was finally crowned at Scone , and with his naturally introspective , melancholy temperament soured by long , enforced idleness , he drove himself to become a man of action and set about destroying those who had grown rich and powerful in his absence , especially the Albany faction .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O,a man of action,a person of energetic activity,The country needs a political leader who is a man of action,,
"frozenset({'life', 'saver'})",[pron] life-saver,someone who helps out in a difficult situation and is greatly appreciated.,"The well , once a life-saver for the villagers of Stoke Row , is now an intriguing curiosity for visitors who must be surprised by this touch of India in an English landscape .",O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'law', 'abov'})",above the law,not subject to the same rules and regulations as everyone else.,"Dicey himself argued that it comprised "" at least three distinct though kindred conceptions "" : "" That no man is punishable or can be lawfully made to suffer in body or goods except for a distinct breach of law established in the ordinary legal manner before the ordinary courts of the land "" ; that "" no man is above the law [ and ] every man , whatever be his rank or condition , is subject to the ordinary law of the realm and amenable to the jurisdiction of the ordinary tribunals "" ; and that "" the general principles of the constitution [ are ] the result of judicial decisions determining the rights of private persons in particular cases brought before the courts . """,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
frozenset({'hand'}),at hand,close by or readily available.,"Behind the truant husband Marmeladov , perhaps the greatest feat of instant creation in all Dostoevsky as he buttonholes Raskolnikov in the pub with hay sticking to his clothes and vodka at hand — behind that immortal Russian drunkard stretches a long line of urban dropouts and psychological cripples , of paupers and other victims of the ravages of early capitalism ( think of Petersburg as several decades behind Manchester ) , of the ‘ insulted and injured ’ in the novel of that title and elsewhere , back to the beginning , back to Mr Devushkin with his teapot and pipe and his ‘ fearful lapses ’ over the bottle .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,hand in hand,close ties or connections,I saw a couple walking hand in hand along the beach. ,,
"frozenset({'grow', 'heart', 'absenc', 'fonder', 'make'})",absence makes the heart grow fonder,being away from someone or something can make one appreciate them more.,"If that power was sufficient , the holy spirit , if that power was sufficient to raise Christ from the dead , you not think he 's able to exert that power in your life and in my life to make us live lives that are pleasing to God , of course it is so we do not do it ourselves , just let me in closing mention one other thing , this relationship we have needs to be maintained , you know for any relationship to grow , one needs to spend time with the other person , I do not give a lot of credence to the saying that absence makes the heart grow fonder , it does with somebody else , it 's true , it does not make it grow fonder of that person the person is you know who you , you heard this story so often , like particularly like going back during the last war , folk who were separated sometimes for , for , not just for months but for several years , there they were in concentration camps perhaps , in prisoner of war camps , separated for years , they come back home they have got to get to know each other all over again you see that a relationship on a human level as well as in our relationship with God is dependent on , on association , it 's dependent on companionship , it 's dependent on spending time with the other person and in our relationship with Christ this is achieved by , by prayer , by knowing and understanding God 's word , by having fellowship with other Christians and fellowship with other Christians is not just meeting them and passing the time of day with them , oh that 's fellowship but it 's far more than that is required , there 's the fellowship in worship , we worship together , of course I can worship God at home of course I can do it , so can you do it and we , we should do it , but there 's that re , there 's that need , that requirement as God 's people we come together to worship him in a corporate act , in the sacraments , in , as we mentioned in , in earlier on in taking the bread and the wine and remembering the lords death , there 's a sense in which I can do it by myself",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,absence makes the heart grow fonder,to miss and love someone more when they are not around,The couple reunited after almost a year and understood that the absence had made their hearts grow fonder.,,
"frozenset({'ach', 'heart'})",aching heart,feeling of deep sadness or longing.,"The role of the lonely outsider with an aching heart but crusty exterior is this time taken by Irish actress Brenda Fricker , grimed up to her red eyeballs as a bag lady with a pigeon fetish .",O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'mous', 'poor', 'church'})",as poor as a church mouse,"very poor, having very little money.","It did not matter that I had rejected my father 's ways , that I had become a marine and was as poor as a church mouse while McIllvanney had become a rich man ; the stench of privilege still clung to me and McIllvanney loved to discomfort me because of it .",O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'kite', 'high'})",as high as a kite,very happy or excited.,"And er , I first started feeling I was overweight when I fourteen and I was , I was twelve stone and I went to the doctor and got black capsules to take which had me as high as a kite for a long time !",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O,,,,,
"frozenset({'teeth', 'arm'})",armed to the teeth,to be heavily armed and prepared for battle.,"And what 's more , if she 'd been about in your time , instead of that man , nice little Neville Chamberlain , she 'd have given your old Hitler a few right-handers below the belt ; and seen to it that Britain was armed to the teeth , with an airforce twice the size of the Luftwaffe instead of a few old men with pitch forks and a handful of plucky chaps like yourself to keep the Nazis out .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,armed to the teeth,"heavily and formidably armed, usually with deadly weapons","The alleged tax-defaulter was ready for all their questions, and armed to the teeth with proof of his innocence.",,
"frozenset({'ugli', 'duckl'})",an ugly duckling,a person or thing that is initially unattractive or awkward but eventually transforms into something beautiful or impressive.,We all know the story of the two beautiful swans who brought forth what was regarded as an ugly duckling but which later surprised everyone by turning into a swan itself .,O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O,ugly duckling,a young person who turns out to be beautiful or talented against all expectations.,Some people think they've turned into an ugly duckling whereas the truth is they are & look the same as they used to in their childhood.,,
frozenset({'eye'}),an eye for an eye,retaliation in kind; the idea that a person who has been wronged should be given the same punishment as the wrongdoer.,"The Old Testament ius talionis ( an eye for an eye , a life for a life , etc. ) is one example of such a tariff , but only one : a retributive tariff could be considerably more lenient than this , as long as the proportionate relationship between crimes and punishments was retained .",O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'leg', 'arm'})",an arm and a leg,a large amount of money,"While there are those who may see this as a canny means of winning market share and believe that the participating publishers must be giving an arm and a leg in discount to obtain such control , the publishers concerned view it in less Machiavellian terms .",O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O,,,,an arm and a leg,a large amount of money
"frozenset({'act', 'war'})",an act of war,a hostile action that is considered to be an aggressive and hostile move.,"They claimed that the ruling nullified the government 's argument that it had no liability for the death of the Palestinian because it was an act of war , and that it effectively restored the government 's response to the intifada to the status of a police operation .",O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'soup', 'alphabet'})",alphabet soup,a confusing situation with many acronyms and abbreviations.,"When the war ended the OSS was busted up : they hung on to a few units — there was a whole alphabet soup of SI , SSU , X-2 , CIG , for a time — but most of us just went home to build a brave new world with law books and Shakespeare .",O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'line', 'along'})",along the lines,in a similar way; in a related manner.,"Erm with without a new settlement erm that that was indeed the the impression that erm I was left with as well , and what what we have sought to do in in the evidence that we have we have put before you is to take the nine seven , nine thousand seven hundred figure in Greater York , and and er s based on the data supplied by the County Council to demonstrate that that actually when one looks at outstanding commitments erm with planning permission , identified the sites er without planning permission , those those that are allocated in local plans , making suitable allowances for small sites erm windfall sites and conversion , erm the the residual figure that is left in Greater York , which I calculate to be eight thousand six hundred and thirty seven , once one has taken away completions , which I think is an agreed figure between nineteen ninety one and nineteen ninety three of one thousand and sixty three , that erm , those existing commitments , and the sites likely to come forward , ma virtually match the figure for the outstanding housing requirement , so so one is left with a view that erm from from the data that 's put in front of us that there is not a residue of that size to accommodate , although I accept that there may well be a residue of some sort , erm and it seems to me that the established Greater York erm framework , er is is the process by which that is distributed around the counties along the lines that the discussion 's proceeded this morning .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O,,,,,
"frozenset({'cat', 'alley'})",alley cat,a person who is wild and unpredictable.,"No approval by the production Code Administration shall be given to the use of words and phrases in motion pictures including , but not limited to , the following : Alley cat ( applied to a woman ) ; bat ( applied to a woman ) ; broad ( applied to a woman ) ; bronx cheer ( the sound ) ; chip-pie ; cocotte ; God , Lord , Jesus , Christ ( unless used reverently ) ; cripes ; fanny ; fairy ( in a vulgar sense ) ; ‘ hold your hat ’ ; louse ; lousy ; Mada ( relating to prostitution ) ; nance , nerts ; nuts ( except when meaning crazy ) ; pansy ; razzberry ( the sound ) ; slut ( applied to a woman ) ; S O B ; son-of-a ; tart ; toilet gags ; tom cat ( applied to a man ) ; travelling salesmen and farmer 's daughter jokes ; whore ; damn ; hell ( excepting when the use of said last two words shall be essential and required for portrayal , in proper historical context , of any scene or dialogue based upon historical fact or folklore , or for the presentation in proper literary context of a Biblical , or other religious quotation , or a quotation from a literary work provided that no such use shall be permitted which is intrinsically objectionable or offends good taste ) .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
frozenset({'all'}),all in all,"overall, taking everything into consideration.","right , so , he is there as er Jean er has read to us , seated at the , at the father 's right hand , he 's there on the throne , but Paul also says , talks about erm in the last verse there which is his body the fullness of , the fullness of him through Jesus who feels all in all , by the holy spirit although the glorified resurrected body of Jesus is on the throne , by the holy spirit he is everywhere , that 's why he 's with you and he 's with me and he 's with a folk in Timbuktu and in Honolulu , he is every where by the holy spirit , so now thinking of his exhortation again , as the God man , Jesus now fully and always makes use of the divine powers and attributes that are his , all power belongs to him and it 's because that he says to his disciples you 're to go into all the world and I am with you because all power is mine , all power , all authority is given onto me , therefore says Jesus , because of that you can go because you 're going in my strength and in my authority .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,after all,"ing: considering the fact that something happened, something that is usually assumed. Example: You don't need to call him. After all, he never callsExample: ing: considering the fact that something happened, something that is usually assumed. ","You don't need to call him. After all, he never callsExample: ing: considering the fact that something happened, something that is usually assumed. Example: You don't need to call him. After all, he never calls",not all there,"to behave strangely at times, or seems a bit odd"
"frozenset({'togeth', 'all'})",all together now,everyone should do something at the same time.,"The most important , perhaps , is freedom from the restrictive grasp of the ‘ all together now ’ class teaching system that goes back to Victorian times .",O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O,,,,,
"frozenset({'thumb', 'all'})",all thumbs,clumsy or awkward with one's hands.,"Carrie tried to mop up the mess with the edge of the table cloth and put a mat under the worst of it to stop the damp marking the table , but her hands seemed all thumbs and she could not stop crying .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O,,,,,
"frozenset({'all', 'way'})",all the way,"completely, to the fullest extent.","yeah , well let me just read you two or three verses from Exodus , chapter forty , this is what it says then the cloud covered the tent of meeting and the glory of the Lord filled the tabernacle and Moses was not able to enter the tent of meeting because the cloud had settled on it and the glory of the Lord filled the tabernacle and throughout all their journeys whenever the cloud was taken up from over the tabernacle the sons of Israel would set out , but if the cloud was not taken up then they did not set out until the day that it was taken up , for throughout all their journeys the cloud of the Lord was on the tabernacle by day and there was fire in it by night , in the sight of all the house in Israel and if you were to turn over to kings you have got a , you have got a similar thing there with the dedication of the temple and as Be Ben was saying the power really it 's the it 's the presence of God , the shine , the glory , that cloud of , and so what , what , what catches the Lord Jesus up is really the glory of God here he is , the , the riseness , the glorified Christ being called up into heaven in the , in the glory , what he 's been glorified , so he withdraws his physical , physical presence from one place here on earth to present there on the throne and yet by the holy spirit to be every where now Jesus then , he did not cease to be truly man at either his resurrection or at his ascension , he stays man , God , the God man all the way through and it 's still true today he is the God man today and that 's important for you and me , think of the very worse experience that you have ever had in your life , think of the very worse experience that could happen to you , with the exception of you know that of , of say total failure of some awful sin , the worse thing , maybe a loss of someone dear to you , someone very close to you , er , er , a bereavement , the most awful experience you have had well he has gone through , he has known that experience , he has , has tempted in all points like as we are he knows our frame , he remembers were dust and he has been there and it is a man who has experienced those same experiences that you and I experience day by day , year after year , it is a man who has gone that , who has walked that path , who is in heaven interceding and praying for us , we will stop there cos time has gone erm we will stop there , we will not go on otherwise I will get into trouble During this past month some of the questions in the New Testament , the first one we looked at you remember was that question that Jesus asked of his disciples , do you believe that I am able to do this , then we looked at a question which the disciples asked of Jesus , why could we not cast it out last week we looked at another question , are only a few people going to be saved and this morning I 'd like us it 's the final one of these questions not that there are not other questions in the New Testament and scores , scores of others but were just looking at four er throughout this month , I 'd like us to look this morning for one at , for a few minutes , at one that Jesus asked of a man who confronted him , I 'd like to read a few verses from Luke chapter eighteen , Luke chapter eighteen I 'm going to read from verse thirty five , it 's the well known account of blind Bartimaeus , Luke chapter eighteen and verse thirty five and he came about that as Jesus was approaching Jericho a certain blind man was sitting by the road begging , now hearing a multitude going by he began to inquire",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'all', 'jazz'})",all that jazz,"all the extra details, activities, or embellishments.",Ken wanted to go to Tangier — ‘ He had been there with Orton and all that jazz and I was not interested . ’,O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O,,,,,
"frozenset({'set', 'all'})",all set,ready to go or begin something.,"That would be about sixty , sixty one as I see , and er they were the last match of the season virtually was that they gained promotion on was Shrewsbury , which was at the game meadow and Arthur , the player manager who was a prolific goal scorer in his day , was playing at the time and er nobody expected Walsall to win but they ran out two-one winners and all down the A five that night all the pubs were full coming back with everyone celebrating , so erm , after then they had a civic dinner at the Town Hall for the players and they did a big flower display in the arboretum all set out in flowers the club badge and congratulation lads on winning promotion , and this when they kicked off the following season , in the second division , prior to that they played a friendly match against Leicester and Gordon was in goal and I took my boy with me Tim , who was only a toddler at the time , and he , I stood him on the old archway where the players used to run out , but the first league match was against Sunderland and Brian , actually played for Sunderland as centre forward and er Walsall ran out four-three winners in the end Tony , who was Walsall inside left got a hat trick and I believe Tommy , got the other goal and Brian scored for Sunderland , then the er we went on to the , the first away match which was at Derby County , and Walsall won that three-one .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,all set,to refer a state of being ready for an event,"After putting the luggage in the trunk, we were all set to go on our vacation.",,
"frozenset({'kick', 'aliv'})",alive and kicking,in good health and full of energy.,"But it is an option that I certainly would not want to discount at this particular er stage erm because it depends on so many er factors , it depends for example whether er the site that er has been identified for up to two thousand and six , and which is developed up to two thousand and six , has the physical capacity to expand beyond two thousand and six , and I think that that ought to be one of the considerations perhaps that we ought to look at as we move towards the identification erm er of the new settlement , conversely , it could well be that ought to be looking at a second new settlement in a different location , erm I can not give an answer , a definitive answer , what I can say is , coming back again er to Mr Brook , this sort of issue er will not be picked up in nineteen eighty eight or nineteen eighty nine , er if we are all alive and kicking in North Yorkshire and the District Councils we will be looking at it regularly , we will be looking at it in two years time , one years time , erm erm that 's the way we work in Greater York , and it 's basically worked very successfully .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,alive and kicking,lively and active,She hadn't met her younger sister after her marriage and was delighted to see her alive and kicking at a social event last weekend.,,
"frozenset({'al', 'fresco'})",al fresco,eating or dining outdoors.,"For although we frequently find in paintings of this period that a number of consecutive scenes are represented simultaneously in one picture , in other ways temporal considerations came to exert a decisive influence — in particular , causing painting a secco to replace al fresco , or true fresco , since the very long apprenticeship that pupils had to serve before they became proficient in fresco painting could not be maintained , and a successful painter had to work fast in order to handle all the commissions that he received .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'ahead', 'time'})",ahead of [pron] time,earlier than expected.,"In many respects , Finniston was ahead of his time in the management policies he adopted during the period he was chairman of British Steel but he stresses that commercial strategy without enlightened personnel policies can never be successful .",O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'time', 'against'})",against time,working quickly and urgently to complete a task before a deadline.,"Although there were no significant differences in the global left ventricular ejection fractions whether patients were treated early or in the third hour , when the global left ventricular ejection fraction measured in these patients was plotted against time and a regression analysis performed , the delay in treatment was significantly related to the global ejection fraction , i.e. the longer the delay to treatment the lower the global ejection fraction .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'clock', 'against'})",against the clock,working quickly and under pressure to complete a task before a certain deadline.,"This , Paula soon discovered , was the way of the fashion world — a constant frantic rush against the clock , to have collections ready on time or to complete individual couture garments for customers who always considered their order more urgent , more important , than that of anyone else .",O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,against the clock,in a great hurry to finish something before a particular time,The team was working against the clock to finish the project on time.,against the clock,to be in a hurry to do something before a particular time
"frozenset({'insult', 'add', 'injuri'})",add insult to injury,make a bad situation even worse.,"I took that line , so the main , the main character goes skiing for the first time , can not do it , and is frustrated because everybody else around him can do it including his girlfriend which er adds insult to injury and there is in there of course , a very attractive dashing Austrian ski instructor ; that 's the catalyst really for the drama .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O,add insult to injury,to make a bad situation worse,"The company rejected his application for a job, and to add insult to injury, refused to pay his expenses.",,
"frozenset({'fuel', 'add', 'fire'})",add fuel to [pron] fire,make a bad situation worse by adding more problems or complications.,Concerning the current strike he declared ‘ AFPFL originally had nothing to do with it but now they were backing it and he was finding difficulty in restraining some of his party from adding fuel to the fire . ’,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O,,,,,
"frozenset({'word', 'speak', 'action', 'louder'})",actions speak louder than words,what someone does is more important than what they say.,"So the point of the maxim that actions speak louder than words is not that people never use non-linguistic actions to communicate ( which is when they may be deliberately misleading ) , but that language is much less often used to do anything else .",O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,actions speak louder than words,what you do carries more weight than what you say,"""You always speak of the importance of charity, but never do anything. Actions speak louder than words!""",,
"frozenset({'act', 'god'})",act of god,"an event that is beyond human control, such as a natural disaster.",NEGLIGENCE — heart attack — act of god release 038,O O O O O B-IDIOM I-IDIOM I-IDIOM O O,act of God,an occurrence of out of control natural forces in action,No matter how strong you are but you can't stop the acts of God.,,
"frozenset({'act', 'age'})",act [pron] age,behave in a way that is not appropriate for one's age.,"It 's all very well keeping mentally flexible and all the rest of the who-har , but if you , er , my , my mother stopped and said to her many years ago , she said , you do not look your age , you do not act your age , you do not sound your age , you do not think your age , but you are your age , and this is absolutely true , as you grow older , nothing will stop the fact that your arteries get a little harder , so that , you know , that you get raised blood pressure quite easily if your agitated and you are , for some reason you , you have to puff a lot more , I was reading about this just recently , and these are changes that take place whatever you do , you can exercise , and you can take vitamins and you can keep your weight down , but you age .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
