idiom,meaning,example,source,dupl,idiom_set,idiom_EPIE,meaning_EPIE,example_EPIE,tag_EPIE,idiom_dictionary,meaning_dictionary,example_dictionary,idiom_bookcorpus,meaning_bookcorpus
cut [pron] losses,"stop investing time, money, or energy into something that is not working out.","The conglomerate , acting through its ‘ directing mind and will ’ , does not deal in its own shares ; instead it uses information generated by its clients ( or , on occasion , information generated from within the conglomerate itself ) to make profits , or to cut losses , by trading with the public , or even by giving advice to clients , at a time when it ( the conglomerate ) has access to unpublished price sensitive information pertaining to publicly traded securities .",EPIE,0,"frozenset({'cut', 'loss'})",cut [pron] losses,"stop investing time, money, or energy into something that is not working out.","The conglomerate , acting through its ‘ directing mind and will ’ , does not deal in its own shares ; instead it uses information generated by its clients ( or , on occasion , information generated from within the conglomerate itself ) to make profits , or to cut losses , by trading with the public , or even by giving advice to clients , at a time when it ( the conglomerate ) has access to unpublished price sensitive information pertaining to publicly traded securities .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
curl [pron] lip,express disapproval or contempt for someone or something.,"And although many architects still find it hard to say Charles 's name without curling their lips , most of them do admit that by bringing the whole subject into the public domain , architecture has had a much-needed shot in the arm .",EPIE,0,"frozenset({'lip', 'curl'})",curl [pron] lip,express disapproval or contempt for someone or something.,"And although many architects still find it hard to say Charles 's name without curling their lips , most of them do admit that by bringing the whole subject into the public domain , architecture has had a much-needed shot in the arm .",O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
cream of the crop,the best of a group or collection.,"He has always turned out teams who , until recently , were the cream of the crop in terms of style .",EPIE,0,"frozenset({'cream', 'crop'})",cream of the crop,the best of a group or collection.,"He has always turned out teams who , until recently , were the cream of the crop in terms of style .",O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O,,,,,
draw [pron] shortest straw,be the one who has to do something unpleasant or undesirable.,"Now , we have got quite a long list , colleagues , of , er , members of the European Parliament and members of Parliament who will be with us during the course of the week for for short stays er Euro European MPs first , er Linden , Cheshire West secretary of the European P L P Steven , Durham , deputy leader of the European P L P Hugh , Strathclyde West Barry , Yorkshire West and from the G M B parliamentary group , er , these MPs may only be present for short periods Nicholas , Newcastle-upon-Tyne East Doug , Newcastle-upon-Tyne North Gerald , George , Hamilton Clive Hammersmith and Giles who 's drawn the short straw , who 's going to give us an address this morning .",EPIE,0,"frozenset({'draw', 'shortest', 'straw'})",draw [pron] shortest straw,be the one who has to do something unpleasant or undesirable.,"Now , we have got quite a long list , colleagues , of , er , members of the European Parliament and members of Parliament who will be with us during the course of the week for for short stays er Euro European MPs first , er Linden , Cheshire West secretary of the European P L P Steven , Durham , deputy leader of the European P L P Hugh , Strathclyde West Barry , Yorkshire West and from the G M B parliamentary group , er , these MPs may only be present for short periods Nicholas , Newcastle-upon-Tyne East Doug , Newcastle-upon-Tyne North Gerald , George , Hamilton Clive Hammersmith and Giles who 's drawn the short straw , who 's going to give us an address this morning .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O,,,,,
draw in [pron] horns,to become more cautious or conservative in one's actions or decisions.,"It was somewhat of a disappointment to her vengeful mind to consider that he might have taken yesterday 's omen to heart , and prudently drawn in his horns , resigning his pretensions on her rather than venture even token opposition to the fiat of the prince and his governor .",EPIE,0,"frozenset({'draw', 'horn'})",draw in [pron] horns,to become more cautious or conservative in one's actions or decisions.,"It was somewhat of a disappointment to her vengeful mind to consider that he might have taken yesterday 's omen to heart , and prudently drawn in his horns , resigning his pretensions on her rather than venture even token opposition to the fiat of the prince and his governor .",O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O,,,,,
father figure,"a person who provides guidance and support, often in the absence of a biological father.","Police officers like Sergeant Allan Peters and Inspector Graham Smith became avuncular father figures , defusing tricky situations and deflating overweening subjects alike with a joke or a crisp command .",EPIE,0,"frozenset({'figur', 'father'})",father figure,"a person who provides guidance and support, often in the absence of a biological father.","Police officers like Sergeant Allan Peters and Inspector Graham Smith became avuncular father figures , defusing tricky situations and deflating overweening subjects alike with a joke or a crisp command .",O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O,,,,,
fall prey to,"become a victim of something, usually a scam or deception.","These young people stumbled ‘ from one nightmare into another ’ , often falling prey to drugs , prostitution , disease and despair , she told a conference in London organised by Centrepoint , a charity that runs hostels for the homeless .",EPIE,0,"frozenset({'prey', 'fall'})",fall prey to,"become a victim of something, usually a scam or deception.","These young people stumbled ‘ from one nightmare into another ’ , often falling prey to drugs , prostitution , disease and despair , she told a conference in London organised by Centrepoint , a charity that runs hostels for the homeless .",O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
fall out of love,stop feeling romantic love for someone.,"By the time I was 22 , I 'd run up nearly £4,000 in debt , and was beginning to fall behind with the payments because I rested sending money off to pay for clothes I 'd fallen out of love with .",EPIE,0,"frozenset({'out', 'fall', 'love'})",fall out of love,stop feeling romantic love for someone.,"By the time I was 22 , I 'd run up nearly £4,000 in debt , and was beginning to fall behind with the payments because I rested sending money off to pay for clothes I 'd fallen out of love with .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O,,,,,
fair enough,acknowledgement that something is reasonable or acceptable.,"So I said well you know , I can not just wind it up over the next six months , I said er what I want to do I said is erm I got ta carry it on for that transit for that Orion till I finished anyway so it 's got ta go another year so I said well what I 'm feeling about doing I said is er just sort of keeping a finger in the pie I said , he said , if I 'd said tomorrow , if I had finished the whole the tomorrow I have got ta buy a car I can buy it finance so I 'm going to get no tax relief on the H P I get no depreciation no nothing like that I said so at least if I still self employed I can if I have the sort of two or three vehicles or whatever three , four , five vehicles but I said at least I can have some erm and I can then sort of they would be more utilised , where as I said at the moment we got more vehicles than we really need to keep full capacity so he said yeah , yeah fair enough then .",EPIE,0,"frozenset({'enough', 'fair'})",fair enough,acknowledgement that something is reasonable or acceptable.,"So I said well you know , I can not just wind it up over the next six months , I said er what I want to do I said is erm I got ta carry it on for that transit for that Orion till I finished anyway so it 's got ta go another year so I said well what I 'm feeling about doing I said is er just sort of keeping a finger in the pie I said , he said , if I 'd said tomorrow , if I had finished the whole the tomorrow I have got ta buy a car I can buy it finance so I 'm going to get no tax relief on the H P I get no depreciation no nothing like that I said so at least if I still self employed I can if I have the sort of two or three vehicles or whatever three , four , five vehicles but I said at least I can have some erm and I can then sort of they would be more utilised , where as I said at the moment we got more vehicles than we really need to keep full capacity so he said yeah , yeah fair enough then .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O,,,,,
ethnic cleansing,the systematic removal of a particular ethnic group from a given area by force or intimidation.,"The representative there of the Bosnian Serbs , Misha Milosevic , told the commission ( i ) that no concentration camps existed in Serbian territory in Bosnia-Hercegovina ; ( ii ) that no hidden camp had been created ; ( iii ) that the [ self-proclaimed ] Serbian government of Bosnia-Hercegovina had never carried out operations of "" ethnic cleansing "" on its territory ; and ( iv ) that the same government had never refused international control over the prison camps in its territory .",EPIE,0,"frozenset({'cleans', 'ethnic'})",ethnic cleansing,the systematic removal of a particular ethnic group from a given area by force or intimidation.,"The representative there of the Bosnian Serbs , Misha Milosevic , told the commission ( i ) that no concentration camps existed in Serbian territory in Bosnia-Hercegovina ; ( ii ) that no hidden camp had been created ; ( iii ) that the [ self-proclaimed ] Serbian government of Bosnia-Hercegovina had never carried out operations of "" ethnic cleansing "" on its territory ; and ( iv ) that the same government had never refused international control over the prison camps in its territory .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
elbow grease,hard work and effort.,"It is an unfortunate excrescence on a democratic policy which is essentially sound and it follows from this that , with the right ideological tools and political elbow grease , racism can be dealt with once and for all , leaving the basic structures and relations of British economy and society essentially unchanged .",EPIE,0,"frozenset({'greas', 'elbow'})",elbow grease,hard work and effort.,"It is an unfortunate excrescence on a democratic policy which is essentially sound and it follows from this that , with the right ideological tools and political elbow grease , racism can be dealt with once and for all , leaving the basic structures and relations of British economy and society essentially unchanged .",O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
easy on the eye,pleasing to look at.,Admitting that he was easy on the eyes was simple artistic honesty .,EPIE,0,"frozenset({'easi', 'eye'})",easy on the eye,pleasing to look at.,Admitting that he was easy on the eyes was simple artistic honesty .,O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O,,,,,
easy on the ear,pleasing to listen to.,"The music of The Wizard of Oz is , of course , more familiar to most people , and it 's performed well here : Gillian Beven 's Dorothy , very much in the Judy Garland mould , is featured in every strong , providing sound foundation for each , and my only real grouch was that the children 's chorus was far less easy on the ear than that used in Oliver .",EPIE,0,"frozenset({'easi', 'ear'})",easy on the ear,pleasing to listen to.,"The music of The Wizard of Oz is , of course , more familiar to most people , and it 's performed well here : Gillian Beven 's Dorothy , very much in the Judy Garland mould , is featured in every strong , providing sound foundation for each , and my only real grouch was that the children 's chorus was far less easy on the ear than that used in Oliver .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O,,,,,
drop [pron] subject,stop talking about a particular topic or person.,"I did ask if they 'd had a nice meal , but Lisabeth just ‘ harrumphed ’ so I dropped the subject and told them instead that I was going to meet Duncan and collect Salome 's car .",EPIE,0,"frozenset({'drop', 'subject'})",drop [pron] subject,stop talking about a particular topic or person.,"I did ask if they 'd had a nice meal , but Lisabeth just ‘ harrumphed ’ so I dropped the subject and told them instead that I was going to meet Duncan and collect Salome 's car .",O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O,,,,,
drop [pron] ball,fail to do something that was expected or required.,A lateral water hazard is defined as such when the Committee considers it is impracticable to drop a ball behind the hazard as Rule 26–1b states .,EPIE,0,"frozenset({'ball', 'drop'})",drop [pron] ball,fail to do something that was expected or required.,A lateral water hazard is defined as such when the Committee considers it is impracticable to drop a ball behind the hazard as Rule 26–1b states .,O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O,,,,,
drive [pron] hard bargain,negotiate aggressively to get the best possible deal.,"The return of a Tory Government with a workable majority of 21 has denied the Ulster Unionists the balance of power and the chance to drive a hard bargain with a minority administration , and they will now buckle down to what will be tough negotiations over the next few months .",EPIE,0,"frozenset({'drive', 'hard', 'bargain'})",drive [pron] hard bargain,negotiate aggressively to get the best possible deal.,"The return of a Tory Government with a workable majority of 21 has denied the Ulster Unionists the balance of power and the chance to drive a hard bargain with a minority administration , and they will now buckle down to what will be tough negotiations over the next few months .",O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O,,,,,
dressed up to the nines,dressed in one's best clothes.,"But generally the climate is comfortably warm — ideal for small children and perfect for the Spanish ritual of the paseo , the evening parade when grandmothers , mothers and their offspring , dressed up to the nines , ride their bikes , push prams , sip coffee , choose ice-creams , and gossip like a noisy flock of birds settling down before bedtime .",EPIE,0,"frozenset({'up', 'dress', 'nine'})",dressed up to the nines,dressed in one's best clothes.,"But generally the climate is comfortably warm — ideal for small children and perfect for the Spanish ritual of the paseo , the evening parade when grandmothers , mothers and their offspring , dressed up to the nines , ride their bikes , push prams , sip coffee , choose ice-creams , and gossip like a noisy flock of birds settling down before bedtime .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
dream ticket,an ideal combination of people or things that would be perfect for a particular situation.,"In the late Fifties , early Sixties , following Look Back In Anger , Roots , A Taste Of Honey , Saturday Night And Sunday Morning , Lucky Jim , Room At The Top , a young Burton would have been a dream ticket .",EPIE,0,"frozenset({'ticket', 'dream'})",dream ticket,an ideal combination of people or things that would be perfect for a particular situation.,"In the late Fifties , early Sixties , following Look Back In Anger , Roots , A Taste Of Honey , Saturday Night And Sunday Morning , Lucky Jim , Room At The Top , a young Burton would have been a dream ticket .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O,,,,,
draw fire,attract criticism or hostility.,"It is equally safe to wager that some of her actions will bring her into conflict with the competition directorate in Brussels , while her community policy plans will draw fire from Britain and Germany .",EPIE,0,"frozenset({'fire', 'draw'})",draw fire,attract criticism or hostility.,"It is equally safe to wager that some of her actions will bring her into conflict with the competition directorate in Brussels , while her community policy plans will draw fire from Britain and Germany .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O,,,,,
brass tacks,get to the point; focus on the practical details.,"It is doubly ironic that Philip 's sense of intellectual and spiritual degradation is in fact very like Eliot 's , and his life risks being as impoverished and as meaningless as Sweeney 's minimalist ‘ brass tacks ’ scenario .",EPIE,0,"frozenset({'tack', 'brass'})",brass tacks,get to the point; focus on the practical details.,"It is doubly ironic that Philip 's sense of intellectual and spiritual degradation is in fact very like Eliot 's , and his life risks being as impoverished and as meaningless as Sweeney 's minimalist ‘ brass tacks ’ scenario .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O,,,,,
company man,a person who is loyal to their employer and willing to do whatever is asked of them.,"Though the Company is still evil and still tends to give its spacecraft Conradian names ( 'Sulaco' this time , instead of ‘ Nostromo ’ , suggesting that someone other than Ridley Scott had actually read Nostromo , the devious company man , Burke ( Paul Reiser ) , is now the loner , and he behaves exactly like a Hollywood executive , or agent , intent on a deal .",EPIE,0,"frozenset({'compani', 'man'})",company man,a person who is loyal to their employer and willing to do whatever is asked of them.,"Though the Company is still evil and still tends to give its spacecraft Conradian names ( 'Sulaco' this time , instead of ‘ Nostromo ’ , suggesting that someone other than Ridley Scott had actually read Nostromo , the devious company man , Burke ( Paul Reiser ) , is now the loner , and he behaves exactly like a Hollywood executive , or agent , intent on a deal .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
come under fire,"be criticized or attacked, especially in a public way.","Less than a year later Rust and Sabrina were on a routine stakeout at the Marseilles docks when they had come under heavy fire from a gang of drug smugglers and Rust was hit in the spine , leaving him paralysed from the waist down .",EPIE,0,"frozenset({'fire', 'come', 'under'})",come under fire,"be criticized or attacked, especially in a public way.","Less than a year later Rust and Sabrina were on a routine stakeout at the Marseilles docks when they had come under heavy fire from a gang of drug smugglers and Rust was hit in the spine , leaving him paralysed from the waist down .",O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O,,,,,
canteen culture,"a workplace culture that is informal and relaxed, where employees are encouraged to socialize and interact with each other.","What is more important than gender is the personality and skill of the fieldworker in overcoming the feelings of suspicion the police have of all outsiders , especially in the more enclosed and threatened world of the RUC , and in our case the field-worker 's gender seemed no bar to her obtaining access to the masculine ‘ canteen culture ’ of the men or to participating in conversations on the topics which are popular in that culture , which van Maanen describes as ‘ sports , cars and sex ’ ( 1981 : 476 ) .",EPIE,0,"frozenset({'canteen', 'cultur'})",canteen culture,"a workplace culture that is informal and relaxed, where employees are encouraged to socialize and interact with each other.","What is more important than gender is the personality and skill of the fieldworker in overcoming the feelings of suspicion the police have of all outsiders , especially in the more enclosed and threatened world of the RUC , and in our case the field-worker 's gender seemed no bar to her obtaining access to the masculine ‘ canteen culture ’ of the men or to participating in conversations on the topics which are popular in that culture , which van Maanen describes as ‘ sports , cars and sex ’ ( 1981 : 476 ) .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
call [pron] tune,allow someone to make all the decisions.,"British trade union leaders were , it seemed , being called upon to pay the piper when they were not even being allowed to call the tune .",EPIE,0,"frozenset({'tune', 'call'})",call [pron] tune,allow someone to make all the decisions.,"British trade union leaders were , it seemed , being called upon to pay the piper when they were not even being allowed to call the tune .",O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O,,,,,
calendar year,"a period of twelve months, usually from January 1 to December 31.","According to the briefing the main areas of broad agreement , as specified by the evolving joint US-Soviet draft treaty texts , were : ( i ) a 1,600 numerical ceiling on the total number of "" strategic nuclear delivery vehicles ' ( SNDVs ) , comprising intercontinental ballistic missiles ( ICBMs ) , submarine-launched ballistic missiles ( SLBMs ) and heavy bomber aircraft ; ( ii ) a 6,000-warhead overall ceiling ; ( iii ) a set of basic verification procedures including exchange of data , on-site inspection and ongoing monitoring of agreed reductions and the right to inspections at short notice of a variety of specified sites ; ( iv ) the provision of advance notification of one major strategic exercise involving heavy bombers per calendar year ; ( v ) the permitting of mobile ICBM deployment , contingent upon US congressional funding of the MX ( rail-based ) and/or the Midgetman ( road-based ) systems ( as announced in Wyoming , USA , in September 1989-see p. 36909 ) , with sub-limits to be agreed ; and ( vi ) the de-linking of completion and implementation of a START treaty from a "" Space and Defence "" agreement , implying an end ( conditionally for the Soviet Union ) to a commitment by the two sides not to withdraw from the ( 1972 ) Anti-Ballistic Missile ( ABM ) treaty ( an agreement also reached in Wyoming-ibid . ) .",EPIE,0,"frozenset({'year', 'calendar'})",calendar year,"a period of twelve months, usually from January 1 to December 31.","According to the briefing the main areas of broad agreement , as specified by the evolving joint US-Soviet draft treaty texts , were : ( i ) a 1,600 numerical ceiling on the total number of "" strategic nuclear delivery vehicles ' ( SNDVs ) , comprising intercontinental ballistic missiles ( ICBMs ) , submarine-launched ballistic missiles ( SLBMs ) and heavy bomber aircraft ; ( ii ) a 6,000-warhead overall ceiling ; ( iii ) a set of basic verification procedures including exchange of data , on-site inspection and ongoing monitoring of agreed reductions and the right to inspections at short notice of a variety of specified sites ; ( iv ) the provision of advance notification of one major strategic exercise involving heavy bombers per calendar year ; ( v ) the permitting of mobile ICBM deployment , contingent upon US congressional funding of the MX ( rail-based ) and/or the Midgetman ( road-based ) systems ( as announced in Wyoming , USA , in September 1989-see p. 36909 ) , with sub-limits to be agreed ; and ( vi ) the de-linking of completion and implementation of a START treaty from a "" Space and Defence "" agreement , implying an end ( conditionally for the Soviet Union ) to a commitment by the two sides not to withdraw from the ( 1972 ) Anti-Ballistic Missile ( ABM ) treaty ( an agreement also reached in Wyoming-ibid . ) .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
by the numbers,following a set of instructions or a plan exactly as it is written.,"An index of loss of mandibles and maxillae from the predator assemblages is given by the numbers of isolated teeth in the assemblages compared with the empty alveolar spaces in the known samples of upper and lower jaws ( which is given by the figures in column 1 , Table 3.6 for molar loss , and column 4 in the same table for incisor loss ) : see Table 3.9 .",EPIE,0,frozenset({'number'}),by the numbers,following a set of instructions or a plan exactly as it is written.,"An index of loss of mandibles and maxillae from the predator assemblages is given by the numbers of isolated teeth in the assemblages compared with the empty alveolar spaces in the known samples of upper and lower jaws ( which is given by the figures in column 1 , Table 3.6 for molar loss , and column 4 in the same table for incisor loss ) : see Table 3.9 .",O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
by and large,generally speaking; on the whole.,"Very briefly , Peter Davis , North Yorkshire County Council , you raised the issue of procedures looking at the er post two thousand and six scenario within the light of er a statutory greenbelt er at that time , and I would envisage that the County Council and the Districts , if indeed we 're all er in business at er er in in in the next century , would probably want to run a similar sort of exercise that they would be ran through the end of the eighties , and that is to sit down together , er and look at all the options , er that are available for Greater York , in the same way that they did it in ninety eighty nine , one additional factor at that time would be that er the greenbelt would be statutory , and it would be statutory if the County Council and ninety five percent of the district support on sites would be a tight greenbelt so the options would be looked at erm er in that context , on the comments that er Miss Whittaker , erm questions that Miss Whittaker raised , there is a paper that the County Council produced for the greenbelt local plan enquiry that I remember well as N Y Two , which set out in detail the various components , erm of the York greenbelt in addition to the historic title that the that the focus of the green belt comes across a variety of of of of matters , and if it if it is helpful to this panel that document was acceptable by and large , supported by the District , we can certainly put that in , and can circulate it round .",EPIE,0,frozenset({'larg'}),by and large,generally speaking; on the whole.,"Very briefly , Peter Davis , North Yorkshire County Council , you raised the issue of procedures looking at the er post two thousand and six scenario within the light of er a statutory greenbelt er at that time , and I would envisage that the County Council and the Districts , if indeed we 're all er in business at er er in in in the next century , would probably want to run a similar sort of exercise that they would be ran through the end of the eighties , and that is to sit down together , er and look at all the options , er that are available for Greater York , in the same way that they did it in ninety eighty nine , one additional factor at that time would be that er the greenbelt would be statutory , and it would be statutory if the County Council and ninety five percent of the district support on sites would be a tight greenbelt so the options would be looked at erm er in that context , on the comments that er Miss Whittaker , erm questions that Miss Whittaker raised , there is a paper that the County Council produced for the greenbelt local plan enquiry that I remember well as N Y Two , which set out in detail the various components , erm of the York greenbelt in addition to the historic title that the that the focus of the green belt comes across a variety of of of of matters , and if it if it is helpful to this panel that document was acceptable by and large , supported by the District , we can certainly put that in , and can circulate it round .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O,,,,,
business as usual,"continue to operate as normal, despite any changes or disruptions.","The report 's assumptions are based on one of the "" business as usual "" scenarios from the latest report of the Intergovernmental Panel on Climate Change : a doubling of the world population , an increase in emissions of carbon dioxide by 180 per cent and a global temperature rise of 2.5 degrees centigrade by the end of the next century [ see ED 57 , 59/60 ] .",EPIE,0,"frozenset({'busi', 'usual'})",business as usual,"continue to operate as normal, despite any changes or disruptions.","The report 's assumptions are based on one of the "" business as usual "" scenarios from the latest report of the Intergovernmental Panel on Climate Change : a doubling of the world population , an increase in emissions of carbon dioxide by 180 per cent and a global temperature rise of 2.5 degrees centigrade by the end of the next century [ see ED 57 , 59/60 ] .",O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
bring to knees,,"I also made a documentary about the U-boat campaign which in two world wars had nearly brought us to our knees ; and I have always regretted that after the last war , when we sank so many of them in deep water , we did not keep one as a trophy and bring it up the Thames into the heart of London : it would have been a perennial attraction for every schoolboy in the country .",EPIE,0,"frozenset({'knee', 'bring'})",bring to knees,,"I also made a documentary about the U-boat campaign which in two world wars had nearly brought us to our knees ; and I have always regretted that after the last war , when we sank so many of them in deep water , we did not keep one as a trophy and bring it up the Thames into the heart of London : it would have been a perennial attraction for every schoolboy in the country .",O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
bring to [pron] table,"contribute one's ideas, knowledge, or resources to a discussion or situation.","We then went a stage further and to share the technology established joint teams for each of these major areas , so that er the specification while it was under Dasa 's leadership , it was actually done by a joint team which involved expertise from British Aerospace and the other three and er therefore at that time the whole Eurofighter consortium was confident that they were making the best use of the available expertise across the four partner companies , each bringing to the table , their own so that they could go forward on a confident basis .",EPIE,0,"frozenset({'tabl', 'bring'})",bring to [pron] table,"contribute one's ideas, knowledge, or resources to a discussion or situation.","We then went a stage further and to share the technology established joint teams for each of these major areas , so that er the specification while it was under Dasa 's leadership , it was actually done by a joint team which involved expertise from British Aerospace and the other three and er therefore at that time the whole Eurofighter consortium was confident that they were making the best use of the available expertise across the four partner companies , each bringing to the table , their own so that they could go forward on a confident basis .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O,,,,,
bring [pron] curtain down,"end something, usually a performance or presentation.","Backstage they were all screaming at Gesner ; Stefan — ‘ You do that again and I will bring the curtain down ’ — Alfred , Freddi , Ingrid , Rudi , everyone was shaken , aware that he had nearly wrecked the entire production , and afraid that he still might .",EPIE,0,"frozenset({'curtain', 'bring', 'down'})",bring [pron] curtain down,"end something, usually a performance or presentation.","Backstage they were all screaming at Gesner ; Stefan — ‘ You do that again and I will bring the curtain down ’ — Alfred , Freddi , Ingrid , Rudi , everyone was shaken , aware that he had nearly wrecked the entire production , and afraid that he still might .",O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
bright as a button,very intelligent and quick-witted.,Baby Bogdan on road to recovery ROMANIAN baby Bogdan Ursu is as ‘ bright as a button ’ in Middlesbrough General Hospital after last week 's operation to remove water from his brain .,EPIE,0,"frozenset({'button', 'bright'})",bright as a button,very intelligent and quick-witted.,Baby Bogdan on road to recovery ROMANIAN baby Bogdan Ursu is as ‘ bright as a button ’ in Middlesbrough General Hospital after last week 's operation to remove water from his brain .,O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O,,,,,
