idiom,meaning,example,source,dupl,tag,idiom_set,idiom_EPIE,meaning_EPIE,example_EPIE,idiom_dictionary,meaning_dictionary,example_dictionary,idiom_bookcorpus,meaning_bookcorpus
sea change,to have a big change in perspective,There was a sea change in his personality after he married his wife.,dictionary,1,,"frozenset({'sea', 'chang'})",a sea change,a complete transformation or alteration.,"George Foreman , whose comeback as the roly-poly , cheeseburger contender has helped to hasten heavyweight boxing 's descent towards something dangerously close to the wide world of wrestling , recognised Lewis 's devastating performance as a sea change in the game .",sea change,to have a big change in perspective,There was a sea change in his personality after he married his wife.,,
foot in the door,succeed with a first step.,Mary was so excited to get her foot in the door with her new internship.,dictionary,1,,"frozenset({'door', 'foot'})",a foot in the door,a way to get a start in a particular field or to gain access to a particular opportunity.,"The third part is perhaps something that erm , we find a little more difficult , I do found that er number two , number three and number four if you were not careful blends very much into one another and actually then part three as far as I 'm concerned actually putting across the benefits is really the main part I think and that really is putting into everyday English what we know as professionals as in technical terms , cos if you go and talk to somebody whatever it is , they have not got a clue we have , we talk about it all the time and I think the biggest criticism of the insurance industry as a whole is the fact that you do not talk to people in English and that 's why it 's got such a foot in the door and I think the third part for me really is the most important part of the sales process , relating our cock-ups in English , the benefits the client .",foot in the door,succeed with a first step.,Mary was so excited to get her foot in the door with her new internship.,,
flash in the pan,"something that cannot be repeated, usually a positive concept","His initial good performances were a mere flash in the pan. Nowadays, he delivers only mediocre work.",dictionary,1,,"frozenset({'pan', 'flash'})",a flash in the pan,something that is initially successful but quickly fades away.,"In earlier years , is it true that you attended a Senior Management Seminar as a representative of the International Sports Company , ( Dunlop , Slazenger , Carlton , Litesome ) , and stated that you had the two finest wooden rackets in the world and that you had no intention of following the fibreglass and graphite racket trend as it was all a flash in the pan ?",flash in the pan,"something that cannot be repeated, usually a positive concept","His initial good performances were a mere flash in the pan. Nowadays, he delivers only mediocre work.",,
fate worse than death,It means to have to suffer through ordeal that makes a person prefer death over going through it again.,Even after she got the surgery done she was in pain for weeks. It was a fate worse than death.,dictionary,1,,"frozenset({'death', 'fate', 'wors'})",a fate worse than death,a situation or experience that is so unpleasant or unbearable that death would be preferable.,"Would not speak to me for six months , but then his natural goodness of heart , as well perhaps as his gradual realization that I might have been right , that perhaps I had saved him from a fate worse than death , made it impossible for him to keep it up .",fate worse than death,It means to have to suffer through ordeal that makes a person prefer death over going through it again.,Even after she got the surgery done she was in pain for weeks. It was a fate worse than death.,,
a man of action,a person of energetic activity,The country needs a political leader who is a man of action,dictionary,1,,"frozenset({'man', 'action'})",[pron] man of action,someone who is quick to take action and get things done.,"Almost 30 when he was finally crowned at Scone , and with his naturally introspective , melancholy temperament soured by long , enforced idleness , he drove himself to become a man of action and set about destroying those who had grown rich and powerful in his absence , especially the Albany faction .",a man of action,a person of energetic activity,The country needs a political leader who is a man of action,,
hand in hand,close ties or connections,I saw a couple walking hand in hand along the beach. ,dictionary,1,,frozenset({'hand'}),at hand,close by or readily available.,"Behind the truant husband Marmeladov , perhaps the greatest feat of instant creation in all Dostoevsky as he buttonholes Raskolnikov in the pub with hay sticking to his clothes and vodka at hand — behind that immortal Russian drunkard stretches a long line of urban dropouts and psychological cripples , of paupers and other victims of the ravages of early capitalism ( think of Petersburg as several decades behind Manchester ) , of the ‘ insulted and injured ’ in the novel of that title and elsewhere , back to the beginning , back to Mr Devushkin with his teapot and pipe and his ‘ fearful lapses ’ over the bottle .",hand in hand,close ties or connections,I saw a couple walking hand in hand along the beach. ,,
absence makes the heart grow fonder,to miss and love someone more when they are not around,The couple reunited after almost a year and understood that the absence had made their hearts grow fonder.,dictionary,1,,"frozenset({'grow', 'heart', 'absenc', 'fonder', 'make'})",absence makes the heart grow fonder,being away from someone or something can make one appreciate them more.,"If that power was sufficient , the holy spirit , if that power was sufficient to raise Christ from the dead , you not think he 's able to exert that power in your life and in my life to make us live lives that are pleasing to God , of course it is so we do not do it ourselves , just let me in closing mention one other thing , this relationship we have needs to be maintained , you know for any relationship to grow , one needs to spend time with the other person , I do not give a lot of credence to the saying that absence makes the heart grow fonder , it does with somebody else , it 's true , it does not make it grow fonder of that person the person is you know who you , you heard this story so often , like particularly like going back during the last war , folk who were separated sometimes for , for , not just for months but for several years , there they were in concentration camps perhaps , in prisoner of war camps , separated for years , they come back home they have got to get to know each other all over again you see that a relationship on a human level as well as in our relationship with God is dependent on , on association , it 's dependent on companionship , it 's dependent on spending time with the other person and in our relationship with Christ this is achieved by , by prayer , by knowing and understanding God 's word , by having fellowship with other Christians and fellowship with other Christians is not just meeting them and passing the time of day with them , oh that 's fellowship but it 's far more than that is required , there 's the fellowship in worship , we worship together , of course I can worship God at home of course I can do it , so can you do it and we , we should do it , but there 's that re , there 's that need , that requirement as God 's people we come together to worship him in a corporate act , in the sacraments , in , as we mentioned in , in earlier on in taking the bread and the wine and remembering the lords death , there 's a sense in which I can do it by myself",absence makes the heart grow fonder,to miss and love someone more when they are not around,The couple reunited after almost a year and understood that the absence had made their hearts grow fonder.,,
armed to the teeth,"heavily and formidably armed, usually with deadly weapons","The alleged tax-defaulter was ready for all their questions, and armed to the teeth with proof of his innocence.",dictionary,1,,"frozenset({'teeth', 'arm'})",armed to the teeth,to be heavily armed and prepared for battle.,"And what 's more , if she 'd been about in your time , instead of that man , nice little Neville Chamberlain , she 'd have given your old Hitler a few right-handers below the belt ; and seen to it that Britain was armed to the teeth , with an airforce twice the size of the Luftwaffe instead of a few old men with pitch forks and a handful of plucky chaps like yourself to keep the Nazis out .",armed to the teeth,"heavily and formidably armed, usually with deadly weapons","The alleged tax-defaulter was ready for all their questions, and armed to the teeth with proof of his innocence.",,
ugly duckling,a young person who turns out to be beautiful or talented against all expectations.,Some people think they've turned into an ugly duckling whereas the truth is they are & look the same as they used to in their childhood.,dictionary,1,,"frozenset({'ugli', 'duckl'})",an ugly duckling,a person or thing that is initially unattractive or awkward but eventually transforms into something beautiful or impressive.,We all know the story of the two beautiful swans who brought forth what was regarded as an ugly duckling but which later surprised everyone by turning into a swan itself .,ugly duckling,a young person who turns out to be beautiful or talented against all expectations.,Some people think they've turned into an ugly duckling whereas the truth is they are & look the same as they used to in their childhood.,,
after all,"ing: considering the fact that something happened, something that is usually assumed. Example: You don't need to call him. After all, he never callsExample: ing: considering the fact that something happened, something that is usually assumed. ","You don't need to call him. After all, he never callsExample: ing: considering the fact that something happened, something that is usually assumed. Example: You don't need to call him. After all, he never calls",dictionary,1,,frozenset({'all'}),all in all,"overall, taking everything into consideration.","right , so , he is there as er Jean er has read to us , seated at the , at the father 's right hand , he 's there on the throne , but Paul also says , talks about erm in the last verse there which is his body the fullness of , the fullness of him through Jesus who feels all in all , by the holy spirit although the glorified resurrected body of Jesus is on the throne , by the holy spirit he is everywhere , that 's why he 's with you and he 's with me and he 's with a folk in Timbuktu and in Honolulu , he is every where by the holy spirit , so now thinking of his exhortation again , as the God man , Jesus now fully and always makes use of the divine powers and attributes that are his , all power belongs to him and it 's because that he says to his disciples you 're to go into all the world and I am with you because all power is mine , all power , all authority is given onto me , therefore says Jesus , because of that you can go because you 're going in my strength and in my authority .",after all,"ing: considering the fact that something happened, something that is usually assumed. Example: You don't need to call him. After all, he never callsExample: ing: considering the fact that something happened, something that is usually assumed. ","You don't need to call him. After all, he never callsExample: ing: considering the fact that something happened, something that is usually assumed. Example: You don't need to call him. After all, he never calls",not all there,"to behave strangely at times, or seems a bit odd"
all set,to refer a state of being ready for an event,"After putting the luggage in the trunk, we were all set to go on our vacation.",dictionary,1,,"frozenset({'set', 'all'})",all set,ready to go or begin something.,"That would be about sixty , sixty one as I see , and er they were the last match of the season virtually was that they gained promotion on was Shrewsbury , which was at the game meadow and Arthur , the player manager who was a prolific goal scorer in his day , was playing at the time and er nobody expected Walsall to win but they ran out two-one winners and all down the A five that night all the pubs were full coming back with everyone celebrating , so erm , after then they had a civic dinner at the Town Hall for the players and they did a big flower display in the arboretum all set out in flowers the club badge and congratulation lads on winning promotion , and this when they kicked off the following season , in the second division , prior to that they played a friendly match against Leicester and Gordon was in goal and I took my boy with me Tim , who was only a toddler at the time , and he , I stood him on the old archway where the players used to run out , but the first league match was against Sunderland and Brian , actually played for Sunderland as centre forward and er Walsall ran out four-three winners in the end Tony , who was Walsall inside left got a hat trick and I believe Tommy , got the other goal and Brian scored for Sunderland , then the er we went on to the , the first away match which was at Derby County , and Walsall won that three-one .",all set,to refer a state of being ready for an event,"After putting the luggage in the trunk, we were all set to go on our vacation.",,
alive and kicking,lively and active,She hadn't met her younger sister after her marriage and was delighted to see her alive and kicking at a social event last weekend.,dictionary,1,,"frozenset({'kick', 'aliv'})",alive and kicking,in good health and full of energy.,"But it is an option that I certainly would not want to discount at this particular er stage erm because it depends on so many er factors , it depends for example whether er the site that er has been identified for up to two thousand and six , and which is developed up to two thousand and six , has the physical capacity to expand beyond two thousand and six , and I think that that ought to be one of the considerations perhaps that we ought to look at as we move towards the identification erm er of the new settlement , conversely , it could well be that ought to be looking at a second new settlement in a different location , erm I can not give an answer , a definitive answer , what I can say is , coming back again er to Mr Brook , this sort of issue er will not be picked up in nineteen eighty eight or nineteen eighty nine , er if we are all alive and kicking in North Yorkshire and the District Councils we will be looking at it regularly , we will be looking at it in two years time , one years time , erm erm that 's the way we work in Greater York , and it 's basically worked very successfully .",alive and kicking,lively and active,She hadn't met her younger sister after her marriage and was delighted to see her alive and kicking at a social event last weekend.,,
against the clock,in a great hurry to finish something before a particular time,The team was working against the clock to finish the project on time.,dictionary,1,,"frozenset({'clock', 'against'})",against the clock,working quickly and under pressure to complete a task before a certain deadline.,"This , Paula soon discovered , was the way of the fashion world — a constant frantic rush against the clock , to have collections ready on time or to complete individual couture garments for customers who always considered their order more urgent , more important , than that of anyone else .",against the clock,in a great hurry to finish something before a particular time,The team was working against the clock to finish the project on time.,against the clock,to be in a hurry to do something before a particular time
add insult to injury,to make a bad situation worse,"The company rejected his application for a job, and to add insult to injury, refused to pay his expenses.",dictionary,1,,"frozenset({'insult', 'add', 'injuri'})",add insult to injury,make a bad situation even worse.,"I took that line , so the main , the main character goes skiing for the first time , can not do it , and is frustrated because everybody else around him can do it including his girlfriend which er adds insult to injury and there is in there of course , a very attractive dashing Austrian ski instructor ; that 's the catalyst really for the drama .",add insult to injury,to make a bad situation worse,"The company rejected his application for a job, and to add insult to injury, refused to pay his expenses.",,
actions speak louder than words,what you do carries more weight than what you say,"""You always speak of the importance of charity, but never do anything. Actions speak louder than words!""",dictionary,1,,"frozenset({'word', 'speak', 'action', 'louder'})",actions speak louder than words,what someone does is more important than what they say.,"So the point of the maxim that actions speak louder than words is not that people never use non-linguistic actions to communicate ( which is when they may be deliberately misleading ) , but that language is much less often used to do anything else .",actions speak louder than words,what you do carries more weight than what you say,"""You always speak of the importance of charity, but never do anything. Actions speak louder than words!""",,
act of God,an occurrence of out of control natural forces in action,No matter how strong you are but you can't stop the acts of God.,dictionary,1,,"frozenset({'act', 'god'})",act of god,"an event that is beyond human control, such as a natural disaster.",NEGLIGENCE — heart attack — act of god release 038,act of God,an occurrence of out of control natural forces in action,No matter how strong you are but you can't stop the acts of God.,,
across the board,applying to everyone,"The improvement is seen across the board, with all divisions either recording profits or reducing losses.",dictionary,1,,"frozenset({'board', 'across'})",across the board,applying to everyone or everything in a group or category.,"Nao Naomi realizes there 's no point talking about it now , the dye has been cast the decision has been made , the commitment has been entered into , whatever the cost she was going gods way , there was nothing more to be said about it we find that a de a decision made before god and we all make those decisions , means nothing at all unless were determined to carry it through , whatever the cost may be , three women here make their decisions before god , they make their choices , Naomi she chooses to return to Judah once again and enjoy the inheritance god has given her , Auper she chooses to return to her own country and her own god , as far as were concerned that 's the end of the story , but Ruth she chooses , she expresses her faith in the one true god , she turns her back on the old ways and decides to follow gods way , no matter what the cost , she would of said with Joshua , but as for me and my husband were going to serve god , whatever the cost , I du n no what will be and she did not know what she was letting herself in for , and the , I counted it , although I do not know what it is , I counted that cost , I 'm willing to pay it and Jesus said that that is the acid test of disciples , said to count the cost and weigh it up and Ruth had done that , then to make their decision and because if we make a decision without counting the cost , without weighing it all up , like Auper you will go back , it will not last , there is that choice for every one of us day by day , who will we serve , not to be like Joshua , its for us , never for any body else , I will serve the lord because and this is the reason for it , not because you have done nice things for me , I will be your saviour because he is god , that 's the reason for our serving god , not because he blesses us because he blesses people who do not serve him , blessing is not exclusive to gods people , blessing , god blesses across the board , god is generous he 's gracious , he causes the rain and the sun to shine on the just and on the unjust , blessing is not the ground for serving god , but because he is god that 's sufficient reason for our committing ourselves to him .",across the board,applying to everyone,"The improvement is seen across the board, with all divisions either recording profits or reducing losses.",across the board,"affecting everyone or everything within an organization, system, or society"
Achilles heel,a vulnerable spot or weakness,The corrupt minister is regarded as the government's Achilles heel and is expected to resign.,dictionary,1,,"frozenset({'achill', 'heel'})",achilles heel,a person's weak spot or vulnerability.,"But none of them would be tempted to incorporate : capital is already available to them ; incorporation would not give them protection from litigation ; and , perhaps most importantly , they would lose their most precious asset — and their achilles heel — their privacy .",Achilles heel,a vulnerable spot or weakness,The corrupt minister is regarded as the government's Achilles heel and is expected to resign.,achilles heel,"a vulnerable area or a weak spot, in an otherwise strong situation, that could cause one's downfall or failure"
break one's back,get through the hardest part of something.,I'm tired and need an ice-cold drink. I broke my back at work today on that project.,dictionary,1,,"frozenset({'break', 'back'})",break [pron] back,overwhelm someone with a difficult task or situation.,"And yes you ask and open probe , but follow up with secondary and tertiary open probes , what they mean if you broke your back and could not pay the bills , how would you suffer , what would , what would be the problems if , god forbid , you did die last night , what would you want your family to have how much do you want them to have , when do you want them to have it what would they go without if they did not have it okay so they start building mental pictures rather than saying okay you need hundred thousand pounds worth of life assurance , because that 's a fact",break one's back,get through the hardest part of something.,I'm tired and need an ice-cold drink. I broke my back at work today on that project.,break the back of,to get most or the worst part of a particular task done
down to earth,"decent, simple, realistic","She is very down to earth person, not at all attracted by the glamour world.",dictionary,1,,"frozenset({'down', 'earth'})",down to earth,having a practical and realistic attitude.,"And er I lost touch with her after that but Joyce was very nice , very , very a down to earth cockney girl from Hockston and she said er she 'd tell her sister she said I do admire my sister she said they will never have anything other than a council house , I do not suppose but she said my brother-in-law mends people 's motorcycles as a side line and the money that he gets from that he gives her most of it and she buys things on hire purchase , this was the days when hire purchase was not fearsomely expensive",down to earth,"decent, simple, realistic","She is very down to earth person, not at all attracted by the glamour world.",,
dog days,"hot, sultry days","During the dog days of summer, people prefer to remain indoors and go out as little as possible.",dictionary,1,,"frozenset({'day', 'dog'})",dog days,a period of time that is hot and uncomfortable.,"Tommaso did not call again at the farm that leave , and after the Easter holidays , Davide went back to Rupe for the short summer school term before the dog days drove most people indoors to keep cool , and some venturesome spirits down to the coast , to the white sand beaches at Dolmetta and Tirrani , where sea bathing was just becoming popular among adults .",dog days,"hot, sultry days","During the dog days of summer, people prefer to remain indoors and go out as little as possible.",,
do the trick,successfully achieve a result,"If nothing seems to be working, just pray to the God, sometimes that does the trick.",dictionary,1,,frozenset({'trick'}),do [pron] trick,accomplish something difficult or impressive.,"The 13-goal marksman 's chances of being fit have improved since he started the treatment and his manager Ron Atkinson said : ‘ If he does make it and this machine has done the trick I will gladly pay out Pounds 25,000 myself to buy one . ’",do the trick,successfully achieve a result,"If nothing seems to be working, just pray to the God, sometimes that does the trick.",,
dead ringer,A duplicate of the exact nature.,She is a dead ringer of one of my friends. I in fact walked up to her at an event mistaking her for my friend.,dictionary,1,,"frozenset({'ringer', 'dead'})",dead ringer,an exact duplicate or copy of something.,"In desperate need of love vibes , the audience descended like a pack of ravenous wolves on St Etienne , not least because this duo of Thunderbird puppets in polo necks are now fronted solely by Stephanie , a dead ringer for the teenage Bardot who gambols about the stage in such a display of unrestrained delight , that you think ‘ this is the real thing ’ .",dead ringer,A duplicate of the exact nature.,She is a dead ringer of one of my friends. I in fact walked up to her at an event mistaking her for my friend.,,
dead and buried,ing: no longer in use. Example: US. and Great Britain won't stop their weapons until the terrorism is dead and buried from the eaExample: ing: no longer in use. ,US. and Great Britain won't stop their weapons until the terrorism is dead and buried from the eaExample: ing: no longer in use. Example: US. and Great Britain won't stop their weapons until the terrorism is dead and buried from the ea,dictionary,1,,"frozenset({'dead', 'buri'})",dead and buried,completely finished and forgotten.,"These charities were originally administered by the Church or trustees appointed by the old vestry meetings , but with the Local Government Act of 1894 , they passed into the hands of the new parish councils , or such as still existed , for in 1893 , we find the local vicar complaining that most of the charities were dead and buried , and that Thomas Towers promised to give twenty shillings each Christmas Day , very kind of him no doubt , but unfortunately he left no provision for anybody to give it after he was dead , so that in his case he and benefaction are both dead and buried .",dead and buried,ing: no longer in use. Example: US. and Great Britain won't stop their weapons until the terrorism is dead and buried from the eaExample: ing: no longer in use. ,US. and Great Britain won't stop their weapons until the terrorism is dead and buried from the eaExample: ing: no longer in use. Example: US. and Great Britain won't stop their weapons until the terrorism is dead and buried from the ea,,
dark horse,"a little known, unexpectedly successful entrant","You never can tell, some dark horse many come along and win a House of Lords seat.",dictionary,1,,"frozenset({'hors', 'dark'})",dark horse,a person or thing that unexpectedly achieves success or prominence.,"Jerry Brown , the Democrats ' dark horse in the presidential primaries , is settled in a worn armchair , cradling a 10-month-old baby called Peter , whose eyes are vacant because he was born with both cocaine and the HIV virus in his veins .",dark horse,"a little known, unexpectedly successful entrant","You never can tell, some dark horse many come along and win a House of Lords seat.",,
cutting edge,to be among the latest and the best (often used for technological advancements),The company has introduced cutting edge technology which will handle all client servicing issues.,dictionary,1,,"frozenset({'edg', 'cut'})",cutting edge,the most advanced and up-to-date technology or ideas.,"Experience with an earlier version of comprehensive 16+ examination north of the border where the cutting edge of educational policy has already elevated modular accreditation into a major component of post-16 certification ( SED , 1983 ) suggests that the GCSE , like the Scottish Standard Grade , may already be obsolete , and that they hybrid offspring of the conjoining of the norm and criterion referencing pedigree that the search for subject and grade criteria represents will satisfy no one ( Munro , 1985 ) .",cutting edge,to be among the latest and the best (often used for technological advancements),The company has introduced cutting edge technology which will handle all client servicing issues.,,
cut corners,"economise on time, money, materials or effort, perhaps unwisely",It is certainly not a sensible move to cut corners with national security.,dictionary,1,,"frozenset({'corner', 'cut'})",cut corners,"to do something in a way that is not thorough or complete, usually in order to save time or money.","Opponents of the building programme "" which in any case may not go ahead as planned because of a lack of funds "" claim that political instability in Russia , antiquated technologies and economic pressures ( to cut corners on safety in order to produce much-needed electricity ) could lead to another major nuclear accident .",cut corners,"economise on time, money, materials or effort, perhaps unwisely",It is certainly not a sensible move to cut corners with national security.,,
cut the mustard,to succeed,"My neighbor had applied for the post of architect in a big project, but did not cut the mustard.",dictionary,1,,"frozenset({'mustard', 'cut'})",cut [pron] mustard,succeed in meeting a certain standard or expectation.,"He is keen to exchange the first gifts , but the laibon 's family first want to see if he can cut the mustard .",cut the mustard,to succeed,"My neighbor had applied for the post of architect in a big project, but did not cut the mustard.",,
curiosity killed the cat,too much curiosity can lead to dangerous situations,"When he started asking too many questions of his neighbours about their whereabouts during the weekend, they warned him that curiosity killed the cat.",dictionary,1,,"frozenset({'kill', 'cat', 'curios'})",curiosity killed the cat,being too inquisitive can lead to trouble.,The townspeople had learned the hard way that curiosity killed the cat — you stayed indoors if there was trouble .,curiosity killed the cat,too much curiosity can lead to dangerous situations,"When he started asking too many questions of his neighbours about their whereabouts during the weekend, they warned him that curiosity killed the cat.",,
cry wolf,"to keep asking for help, even when you don't need it. When you really need help, no one believes you.",The little boy had cried wolf so many times that when he was really sick no one believed him.,dictionary,1,,"frozenset({'cri', 'wolf'})",cry wolf,"to make false alarms or warnings, leading people to not take you seriously when you are telling the truth.","Parents have been selected to become erm , relatively insensitive to signs of distress in the offspring , because erm , as where they cry wolf all the time , and as a result , erm , parents do not take crying as seriously in children as they do in adults .",cry wolf,"to keep asking for help, even when you don't need it. When you really need help, no one believes you.",The little boy had cried wolf so many times that when he was really sick no one believed him.,,
fingers crossed,a gesture of crossed fingers used to express good luck,Good luck with your test tomorrow. I'll have my fingers crossed.,dictionary,1,,"frozenset({'cross', 'finger'})",cross [pron] fingers,hope for the best.,"They find out that they will be competing against three local councillors from Kent , one from each of the main political parties — everyone crosses their fingers that they will not be able to agree on an answer .",fingers crossed,a gesture of crossed fingers used to express good luck,Good luck with your test tomorrow. I'll have my fingers crossed.,,
couch potato,a chronic television viewer,My younger sister is a great couch potato; she can watch TV 24 hours a day.,dictionary,1,,"frozenset({'couch', 'potato'})",couch potato,a person who spends a lot of time sitting around and watching television.,"Couch potatoes can run the London Marathon , take an in-depth reccy around St Paul 's , and do nine rounds with Chris Eubank , all while tucking into a freshly-delivered deep-pan !",couch potato,a chronic television viewer,My younger sister is a great couch potato; she can watch TV 24 hours a day.,,
cost an arm and a leg,very expensive,"I'd like to have a new farmhouse, but it may cost me an arm and a leg.",dictionary,1,,"frozenset({'leg', 'cost', 'arm'})",cost [pron] arm and [pron] leg,be very expensive.,"When his or her car was not being illegally clamped , stolen , broken into , photographed by a Gatso camera or failing the MoT emissions test , it was costing an arm and a leg to insure .",cost an arm and a leg,very expensive,"I'd like to have a new farmhouse, but it may cost me an arm and a leg.",,
fancy free,something or someone who has no commitments or ties,Until the time his father was around to take care of him he was footloose and fancy free. Now things are very different.,dictionary,1,,"frozenset({'fanci', 'free'})",fancy free,not bound by any commitments or obligations.,"They catch a plane to Florida but Kevin winds up in New York where he is fancy free with his Pop 's credit card , eating all the ice cream and pizza the metropolis has to offer .",fancy free,something or someone who has no commitments or ties,Until the time his father was around to take care of him he was footloose and fancy free. Now things are very different.,,
fan the flames,make a bad situation even worse,The president's racist comments are really going to fan the flames of hatred among the crowd.,dictionary,1,,"frozenset({'fan', 'flame'})",fan [pron] flames,encourage someone to become more passionate or excited about something.,As capitalists own and control the popular press they are able to spread disinformation about ethnic minorities and fan the flames of popular prejudice against them .,fan the flames,make a bad situation even worse,The president's racist comments are really going to fan the flames of hatred among the crowd.,,
familiarity breeds contempt,to start disliking something when one gets to know too much about it,The couple could not stay together long after their wedding because familiarity breeds contempt.,dictionary,1,,"frozenset({'familiar', 'contempt', 'breed'})",familiarity breeds contempt,being too familiar with someone or something can lead to a lack of respect or appreciation.,"Memories are cruel to the present in that way and , as far as sexual intercourse is concerned , it is axiomatic that familiarity breeds contempt . ’",familiarity breeds contempt,to start disliking something when one gets to know too much about it,The couple could not stay together long after their wedding because familiarity breeds contempt.,,
fall for,to be attracted romantically to a person,I think Charlie has fallen for Jenny. He is always trying to find reasons to be with her.,dictionary,1,,frozenset({'fall'}),fall for it,be tricked or deceived by someone.,"Tension can be created either by the sponsor 's subtle , superior position of detachment : ‘ I am only here to describe the problems ; you are the ones who will have to face them ’ , or , quite differently , a hint of ‘ I know more than I am going to tell ’ , or its cruder version : ‘ I am doing a good salesman 's job and you are going to fall for it ’ .",fall for,to be attracted romantically to a person,I think Charlie has fallen for Jenny. He is always trying to find reasons to be with her.,,
fall on deaf ears,to disregard or ignore.,His protestations that the project would put the firm over budget fell on deaf ears.,dictionary,1,,"frozenset({'ear', 'deaf', 'fall'})",fall on deaf ears,be ignored or not taken seriously.,"‘ Of course , ’ and I begin to cry then , to really cry , while he whispers in my ear how brave I am , so very brave ; the sweet , steady lull of his voice competing only with John and Jackie on the other side of the curtain , while the telly relents upon its silly swivel , hushed though it is , advert upon advert falling on all ears in a quiet , busy murmur .",fall on deaf ears,to disregard or ignore.,His protestations that the project would put the firm over budget fell on deaf ears.,,
fall from grace,"to lose status, respect or prestige",The Economic and Finance minister's fall from grace gave her detractors great satisfaction.,dictionary,1,,"frozenset({'grace', 'fall'})",fall from grace,"to lose the favor or respect of someone or something, usually due to a mistake or wrongdoing.","The worst instance of this sort of linguistic fall from grace would seem to be that of the terms "" debt "" and "" paying the debt "" , from the figurative sense of penance due to God , through the literal sense of a financial repayment , to a figurative countersense to the religious one , of sexual indulgence .",fall from grace,"to lose status, respect or prestige",The Economic and Finance minister's fall from grace gave her detractors great satisfaction.,,
face the music,receive punishment,"If you have done something wrong, you have to face the music. There's no escaping out of it.",dictionary,1,,"frozenset({'music', 'face'})",face the music,accept the consequences of one's actions.,"In August 1931 , Wigram wrote to Sir Horace Rumbold , the British Ambassador to Germany , regretting that no single Party is going to face the music of reducing wages and cutting down the dole .",face the music,receive punishment,"If you have done something wrong, you have to face the music. There's no escaping out of it.",,
every cloud has a silver lining,there is something good in everything that's bad,"Reena was depressed to be confined to bed after her surgery, but over time, when she could spend a lot of time with her family and catch up with old friends, who came to visit her, she realized that every cloud has a silver lining.",dictionary,1,,"frozenset({'line', 'everi', 'silver', 'cloud'})",every cloud has a silver lining,every difficult situation has a positive aspect.,"‘ Oh , well , they say every cloud has a silver lining .",every cloud has a silver lining,there is something good in everything that's bad,"Reena was depressed to be confined to bed after her surgery, but over time, when she could spend a lot of time with her family and catch up with old friends, who came to visit her, she realized that every cloud has a silver lining.",,
eat humble pie,To become very humble in behaviour when someone points out a wrong doing by the person.,I know for certain that the appliance should not be handled this way but if I turn out to be wrong then I'll eat humble pie.,dictionary,1,,"frozenset({'humbl', 'pie', 'eat'})",eat humble pie,admit one's mistakes and apologize for them humbly.,"A word gets around the famine is over and after the tragic experience of loosing her family , her three men in her life , her husband and her sons , nobody starts to consider the situation again , she 's alone now in a foreign , a strange land , surely the only sensible thing for her to do would be to return to her own people in Bethlehem , they say news comes through that they have been a succession of good harvest , well of course there was going to be good harvest , god had not forsaken his people , although they had sinned , although they had done what was wrong , he had not forsaken them , gods not in the business for forsaken people , he 's long suffering , he is faithful , he keeps his covenant from one generation to another that he had not forgotten the people in Bethlehem and he had sent them through and he had provided good harvests those who had remained in Bethlehem during the famine , they 'd only suffered for a short time , perhaps enough time to bring them to their senses , to bring them back to god , now the suffering was forgotten as they revelled in a plentiful supplying in abundant harvests Naomi on the other hand she knows want now , she 's suffering bereavement , she 's suffering poverty , she 's suffering remorse , there 's nothing for her in Noad , there 's no rest , no joy , no provision , nothing that could meet her needs what a pity she had wasted there those ten wasted those ten years , ten long wasted years in her life now she comes to a decision whatever the cost and there is a cost , she 's going to have to eat humble pie , how are they going to receive her when she goes back but she comes to that decision that no matter what it costs her , she will go back to the place that was chosen for her by god , her inheritance of him It always to our cost when we under value our inheritance , do you remember the story of Jacob and Aesop and how Aesop despised his birth right , the inheritance that was his , and Illuminarc and Naomi had done the same , and you and I can do it so easily , leaving , forgetting , not entering in to the inheritance that is ours in Christ , we do it to our own costs , and so she goes through that I 'm going to go back , I 'm going to take up my inheritance , I 'm going back home .",eat humble pie,To become very humble in behaviour when someone points out a wrong doing by the person.,I know for certain that the appliance should not be handled this way but if I turn out to be wrong then I'll eat humble pie.,,
easier said than done,to explain that a task is easier to talk about than perform.,It's easier said than done when it comes to convincing people that something is true.,dictionary,1,,"frozenset({'easier', 'done', 'said'})",easier said than done,something that is more difficult to do than it is to say.,"Erm I know it 's easier said than done sometimes but er it has to be your decision because even if you went ahead and were confirmed , we were tal talking about the idea of sometimes parents bring pressure on them on you to go ahead and do it and be confirmed , erm when perhaps you 're not do not feel ready for it and it takes a lot of courage to stand up and say No I 'm not ready .",easier said than done,to explain that a task is easier to talk about than perform.,It's easier said than done when it comes to convincing people that something is true.,,
drop a bombshell,"make an unexpected, startling or disturbing announcement",My sister dropped a bombshell by announcing she was discontinuing her study for a job.,dictionary,1,,"frozenset({'drop', 'bombshel'})",drop [pron] bombshell,reveal a shocking or unexpected piece of information.,"‘ It must have occurred to you before you dropped your bombshell that it would distract Simon , ’ Vitor said , starting to pace up and down the confined space like an enraged tiger trapped in a too small cage .",drop a bombshell,"make an unexpected, startling or disturbing announcement",My sister dropped a bombshell by announcing she was discontinuing her study for a job.,drop a bombshell,to make an unexpected announcement which will greatly change a situation
