idiom,meaning
桃李满天下,have students everywhere; 
梁上君子,"burglar; ""gentleman on the beam"""
绠短汲深,"it's beyond one whose ability is limited; if the rope is short, it cannot reach the deep water"
条分缕析,make a careful and detailed analysis; point by point exposition
枭首示众,cut off a person's head and hang it up as a warning to all; 
梳妆打扮,be dressed up; dress smartly
弃甲曳兵,flee pell-mell; be routed
弃旧图新,turn over a new leaf; start afresh
弃如粪土,cast away like dirt; 
弃若敝履,cast aside like an old shoe; be left in the basket
弃暗投明,leave the reactionary side and cross over to the side of progress; leave the darkness and come to the light
棋逢对手,"even-matched; when Greek meets Greek, then comes the tug of war"
森罗万象,everything under the sun; myriads of things
业精于勤,efficiency comes from diligence; 
荣华富贵,high position and great wealth; honor and wealth
枪林弹雨,a hail of bullets; 
概莫能外,without exception; admit no exception whatsoever
乐不可支,extremely happy; overjoyed
乐不思蜀,so happy as to be unwilling to return home; indulge in pleasure and forget home and duty
乐极生悲,extreme joy begets sorrow; drunken days have all their tomorrows
乐善好施,be prodigal of benefactions; 
标新立异,create something new and original; uphold what is new and establish what is distinctive
模棱两可,ambiguous; on the line
树碑立传,glorify somebody by erecting a monument to him and writing his biography; sing in praise and eulogy of
树大招风,a person in high position is liable to be attacked; a tall tree catches the wind
树倒猢狲散,rats leave a sinking ship; members run away when a family or institution falls
树高千丈,"a person residing away from home eventually returns to his native soil; a tree may grow a thousand chang high, but its leaves fall back to its roots"
树欲静而风不止,contradictions and problems exist in ourselves and in the world though we want to get away from them; the trees may prefer calm but the wind will not subside
机不可失,don't lose a golden opportunity; it is never found again; now of never
横七竖八,in disorder; topsy-turvy
横行霸道,tyrannize; domineer
横行无忌,run amuck; do evil outrageously
横征暴敛,cruelly exploit the people with exorbitant taxes and miscellaneous levies; bleed the people white with taxes
横冲直撞,jostle and elbow one's way; rampage
横生枝节,side issues or new problems unexpectedly crop up; deliberately complicate an issue
横扫千军,sweep away the enemy; sweep all before one
栉风沐雨,travel or work despite wind and rain; travel all the time
权衡轻重,weigh up the matter carefully; weigh up one thing against another
权宜之计,a makeshift; stopgap measures
欣喜若狂,leap with joy; exult
欣欣向荣,full of life and vigor; prosperous
欲罢不能,try to stop but cannot; cannot help carrying on
欲盖弥彰,"the harder one tries to conceal a thing, the more it attracts attention; who excuses himself, accuses himself"
欲壑难填,avarice knows no bounds; the covetous are never satisfied
欲加之罪,"if you are out to condemn somebody, you can always trump up a charge; if you want a pretence to whip a dog, say that he ate the frying pan"
欲擒故纵,leave somebody at large to better apprehend him; allow somebody more latitude first to keep a tighter rein on him afterwards
欲取姑与,make concessions for the sake of future gains; give in order to take
欲速则不达,haste brings no success; too swift arrives as tardy as too stow
钦差大臣,an imperial envoy; an imperial commissioner
欺世盗名,win popularity by cheap means; angle for undeserved fame
欺人太甚,bully others too much; go too far in insult
欺人之谈,deceptive talk; deceitful words
欺软怕硬,bully the weak and fear the strong; 
歌功颂德,heap praises and eulogies on; flattery and exaggerated praise
歌舞升平,celebrate peace by singing and dancing; pat on a false show of peace and prosperity
叹为观止,acclaim as the acme of perfection; 
欢天喜地,extremely delighted; overjoyed
欢欣鼓舞,be elated and inspired; jubilantly
欢声雷动,cheers resound like rolls of thunder; thunderous cheers
正本清源,thoroughly overhaul; reform from the bottom
正襟危坐,be completely serious; straighten one's clothes and sit properly
正中下怀,be just what one hopes for; after one's heart
正人君子,gentleman; a man of honor
正颜厉色,put on a stern countenance; sedate and grave
此地无银三百两,"a guilty person gives himself away by conspicuously protesting his innocence; ""no 300 taels of silver buried here"""
此起彼伏,ebb and flow; in a wavelike fashion
步步为营,consolidate at every step; take precautions at every step
步调一致,keep pace with; fall into step
步履维艰,have difficulty walking; walk with difficulty
步人后尘,trail along behind others; follow in the wake of somebody
歪风邪气,unhealthy trends and evil practices; gust of evil wind
历历在目,leap up vividly before the eyes; come clearly into view
归根结蒂,in the end; finally
归心似箭,impatient to get back; anxious to return
死不瞑目,die with a grievance or everlasting regret; die with injustice unredressed or with one's wishes not fulfilled
死皮赖脸,brazen-faced and unreasonable; thick-skinned and hard to shake off
死马当活马医,make every possible effort; try last resort to save a hopeless situation
死得其所,die a worthy death; 
死里逃生,escape by the skin of one's teeth; a close shave
死灰复燃,come to life again; rise again from the ashes
死记硬背,mechanical memorizing; learn by rote
死气沉沉,dull; inert
死去活来,hovering between life and death; half alive
死心塌地,be hell-bent on; be dead set on
死有余辜,even death would be too good for him; even death would not expiate all one's crimes
死无对证,the dead cannot bear witness; 
死于非命,die an unnatural death; 
殊途同归,reach the same goal by different routes; all roads lead to Rome
殊深轸念,express deep solicitude for; 
残杯冷炙,leftovers; crumbs from the table
残兵败将,remnants of a routed army; 
残缺不全,fragmentary; incomplete
残渣余孽,the dregs of the old society; dregs and leftover evils
残山剩水,the remaining remnants of national territory; 
殷鉴不远,past examples serving as a warning to later generations are not far to seek; one need not look far for a lesson
杀回马枪,wheel around and hit back; make a backward thrust at one's pursuer
杀鸡警猴,punish somebody as a warning to others; kill the chicken to frighten the monkey
杀鸡取卵,kill the hen to get all its eggs; kill the goose that lays the golden eggs
杀鸡焉用牛刀,what's the need for using a large knife to kill a fowl?; how could people use a sledge-hammer on a gnat?
杀气腾腾,have plenty of fight in one; bellicose
杀身成仁,die for a just cause; one's integrity
杀人不见血,kill without spilling blood; destroy a person by smooth strategy
杀人不眨眼,kill without batting an eyelid; bloodthirsty
杀人灭口,kill all so that there won't be any eye-witness left; 
杀人如麻,kill people like flies; commit innumerable murders
杀人越货,kill a person and seize his goods; murder for property
杀一儆百,execute one as a warming to a hundred where; punish one as an example to others
毁于一旦,be destroyed in a moment; 
毅然决然,firmly; resolutely
每逢佳节倍思亲,on festive occasions more than ever we think of our dear ones far away; 
每况愈下,steadily deteriorate; from smoke into smother
比比皆是,can be seen everywhere; a universal phenomenon
比肩接踵,be crowded with people; jostle each other
比上不足,"worse off than some, better off than many; can pass muster"
毛骨悚然,make one's flesh creep; horror-stricken
毛手毛脚,perverted; indecent
毛遂自荐,volunteer one's services; self-recommendation for a post or task
毫不在乎,do not give a dime; 
毫厘不爽,without the slightest error; just right
毫无二致,identical; without the least difference
民不聊生,live on the edge of starvation; make life impossible for the people
民不畏死,"the people fear no death, why threaten them with it?; "
民穷财尽,the people suffer privation and the country has depleted its resources; a complete bankruptcy
民脂民膏,flesh and blood of the people; the people's life-blood
民生凋敝,a mass impoverishment; the people live in destitution
民以食为天,food is the first necessity; the masses regard sufficient food as their heaven
民怨沸腾,seething popular discontent; the people are boiling with resentment
气吞山河,imbued with a spirit that can conquer mountains and rivers; full of daring
气贯长虹,full of noble aspiration and daring; imbued with a spirit as lofty as a rainbow spanning the sky
气急败坏,flustered and exasperated; utterly discomfited
气息奄奄,at death's door; dying
气象万千,majestic; spectacular
气壮山河,full of power and grandeur; magnificent
气势磅礴,of a great momentum; powerful
气势汹汹,be in a very threatening manner; arrogantly
气焰嚣张,be swollen with arrogance; 
气味相投,people of the same tastes; be congenial to each other
水到渠成,something achieved without effort; a canal is formed when water comes
水滴石穿,constant effort brings success; little strokes fell great oaks
水落石出,the truth is out; the murder is out
水火不相容,irreconcilable; agree like cats and dogs
水火无情,floods and fires have no mercy for anybody; 
水泄不通,tightly packed; like rabbits in a warren
水至清则无鱼,things do not exist in absolute purity; one should not demand absolute purity
水涨船高,particular things improve with the improvement of the general situation; a ship rises with the tide
水中捞月,futile fantasy; cry for the moon
水深火热,extreme misery; dire suffering
水乳交融,inseparable; complete understanding between friends
永志不忘,will always cherish the memory of somebody or something; will always bear in mind
永垂不朽,live forever in the hearts of; immortal
求大同,seek common ground on major issues while leaving aside the minor differences; seek common ground on major issues while reserving differences on minor points
求同存异,seek common ground while reserving differences; 
求全责备,"demand perfection; take to task severely, expect to be saints"
求之不得,all that one could wish for; most welcome
汗马功劳,war exploits; make achievements in one's work
汗牛充栋,an immense number of books; them perspire and to fill a house to the rafters
汗流浃背,streaming with sweat; sweat like a pig
江河日下,be on the decline; fail away
江心补漏,too late; mend a leaking boat in midstream
江山易改,"a leopard cannot change its spots; a sow, when washed, returns to the muck"
江洋大盗,an infamous robber or pirate; a highway robber
污泥浊水,filthy mire; the mire
决一雌雄,fight it out; fight to see who is the stronger
沁人心脾,refreshing; gladdening the heart and refreshing the mind
沃野千里,a vast expanse of fertile land; 
沆瀣一气,like attracts like; of the same ilk
沉默寡言,of few words; reticent
沉冤莫白,a deep grievance; wrongs that cannot be redressed
沙里淘金,get a small return from great effort; extract the essential from a large mass of material
没齿不忘,remember for the rest of one's life; will never forget to the end of one's days
油头滑脑,flippant; as slippery as an eel
油腔滑调,tongue in cheek; plausible
油嘴滑舌,slice; oleaginous
河清难俟,the time would be too long; it is hard to wait till the river is clear
河清海晏,a peaceful era; perfect tranquility under heaven
沽名钓誉,court publicity; angle for praise
治病救人,cure the sickness to save the patient; 
治国安民,run the country well and give the people peace and security; 
治丝益棼,do something which only makes matters worse; make confusion worse confounded
沾沾自喜,be very pleased with oneself; self-contented
沿波讨源,make a thorough investigation of a thing; follow up the stream and seek the source
沿门托钵,beg from house to house with a bowl in hand; 
泛泛之交,casual acquaintance; a nodding acquaintance
泛滥成灾,be swamped by something; inundate
波澜壮阔,unfold on a magnificent scale; sweep ahead magnificently
泣不成声,choke with sobs; 
泥菩萨过河,hardly able to save oneself; an idol of clay which can hardly survive when crossing a river
泥牛入海,gone forever; never to be heard of again
泥沙俱下,there is a mingling of good and bad; mud and sand are carried away
泥塑木雕,as wooden as a dummy; as modelled in clay of carved from wood
泰山北斗,"Mt. Tai and the Big Dipper, both are high and looked up to - said in praise of worthy men; "
泰山鸿毛,a great mountain and a goose feather; comparison of extremes in weight
泰山压顶,bear down on one with the weight of Mount Tai; 
泰山压卵,"when the extremely powerful crush the extremely weak, the; use Mt. Tai to crush an egg"
泰然处之,not bat an eyelid; take it easy
泰然自若,be self-possessed; as cool as a cucumber
泰阿倒持,surrender one's power to another at one's own peril; hold the sword by the blade
洋洋大观,spectacular sight; imposing
洋洋得意,with evident pride; jauntily
洋为中用,make foreign things serve China; 
洗心革面,turn over a new leaf; reform oneself thoroughly
洗耳恭听,be all ears; hang on somebody's lips
洞烛其奸,see through somebody's treachery; know one's villainy fully
洞察一切,have a keen insight into matters; 
洞若观火,clear like looking at fire; see something as clearly as a blazing fire
津津乐道,take delight in talking about; dwell upon something with great relish
津津有味,with great interest; with relish
洪水猛兽,like floods and wild beasts; great scourges
汹涌澎湃,torrential; tempestuous
活到老,one is never too old to learn; live and learn
活灵活现,make something come to life; lifelike
流芳百世,be immortalized; have a niche in the temple of fame
流离转徙,vagrant; migratory life of a refugee
流离失所,displaced; be forced to leave one's home and wander about
流连忘返,"enjoy oneself so much that one forgets to go home; linger on, forgetting to return"
流水不腐,running water is never stale and a door-hinge never gets worm-eaten; the used key is always bright
流言蜚语,derogatory remarks; lies and slanders
浩浩荡荡,enormous and powerful; with mighty power
浩然之气,noble spirit; 
浩如烟海,tremendous amount of; voluminous
浴血奋战,fight a bloody battle; battle courageously
浮光掠影,shimming over the surface; cursory
浮想联翩,thoughts thronging one's mind; a lot of fancies gush forth like a spring
浮云朝露,passing clouds and morning dew; not lasting
海底捞针,look for a needle in a haystack; fish up a needle from the bottom of the sea
海底捞月,strive for the impossible or illusory; try to fish out the moon from the bottom of the sea
海枯石烂,forevermore; the seas run dry and the rocks crumble
海阔天空,talk at random; unrestrained and far-ranging
海誓山盟,pledge of eternal love; lovers' vows
海市蜃楼,imaginary; mirage
海外奇谈,a tall story; a long yarn
泾渭不分,make no such distinction between good and evil; can not distinguish between the rivers Ching and Wei
泾渭分明,make a clear distinction between good and evil; entirely different
涓滴归公,turn in every cent of public money; 
涸辙之鲋,a person in a desperate situation; a fish trapped in a dry rut
凄风苦雨,wretched circumstances; wailing wind and weeping rain
淋漓尽致,most incisively and vividly; thoroughly
淡然处之,give somebody the cold shoulder; turn the cold shoulder on
深不可测,have no bottom; abysmal
深谋远虑,think deeply and plan carefully; foresighted
深明大义,be deeply conscious of the righteousness of a cause; know clearly the right thing to do and principles to follow
深沟高垒,strong defence; deep trenches and high ramparts
深更半夜,in the dead of night; the midnight hours
深居简出,live in solitude; live a secluded life
深情厚谊,profound sentiments of friendship; 
深仇大恨,have a dead hatred for; great enmity and deep hostility
深山老林,"remote, thickly forested mountains; "
深入浅出,explain the profound in simple terms; be described penetratingly with simple language
深入人心,capture the hearts of the people; find its way deep into the hearts of the people
深藏若虚,be modest about one's talent or learning; not be given to boasting or showing off
深思熟虑,ponder deeply; cogitative
深恶痛绝,hate deeply; detest
深文周纳,frame and punish severely; convict somebody by deliberately mis-interpreting the law
混世魔王,devil incarnate; fiend in human shape
混淆黑白,confuse black and white; obliterate the difference between black and white
混淆是非,confuse right and wrong; 
混淆视听,mislead the public; confuse public opinion
混为一谈,confuse something with something else; lump together
清规戒律,"outmoded rules, regulations and conventions; restrictions and fetters"
清夜扪心,examine one's own conscience in the stillness of the night; 
浅尝辄止,be satisfied with a smattering of a subject; stop after getting a little knowledge of a subject or about something
添枝加叶,embellish a story; add a few branches and leaves
添砖加瓦,do one's little bit; add bricks and tiles
添油加醋,add color and emphasis to; add inflammatory details to
涣然冰释,melt away; of doubts or suspicions being quickly dispelled
游手好闲,loaf about; lounge idly
游刃有余,be move than equal to a task; do a job with skill and ease
浑浑噩噩,muddle-headed; ignorant
浑身是胆,be every inch a hero; be the very embodiment of valor
浑水摸鱼,fish in troubled waters; 
浑然一体,an integral whole; a unified entity
湮没无闻,drift into obscurity; be buried in oblivion
温故而知新,reviewing the past helps one to understand the present; review what you have learned and know what is new
温情脉脉,full of tender feeling; too softhearted
温文尔雅,gentle and cultivated; cultured and refined in manners
源源不绝,inexhaustible; in a steady stream
源远流长,of ancient origin and long development; date from ancient times
源源而来,move on in a continuous stream; incessantly coming
溜之大吉,make oneself scarce; seek safety in flight
沧海横流,the changes and disorders of the times; 
沧海桑田,the world is changing all the time; time brings great changes to the world
沧海一粟,"a drop in the ocean; paltry, compared with heaven and earth"
灭顶之灾,be drowned; be swamped
灭绝人性,inhuman; savage
灭此朝食,be anxious to finish off the enemy immediately; will not have breakfast until the enemy is wiped out
滑头滑脑,crafty; artful
滔滔不绝,talk your ear off; most effusive
滴水成冰,freezing cold; hard frost
滴水穿石,little strokes fell great oaks; drops of water wear out the stone
滚瓜烂熟,have something at one's fingertips; down pat
满不在乎,not worry at all; give no heed
满面春风,radiant with happiness; beaming with satisfaction
满腹牢骚,full of grievances; be querulous
满腹经纶,profoundly learned and talented; 
满谷满坑,in great abundance; in plenty
满腔热忱,with warmth and enthusiasm; with zeal
满招损,one loses by pride and gains by modesty; pride leads to toss while modesty brings benefit
满城风雨,become the talk of the town; raise a colossal uproar like a storm over the whole city
满载而归,come back with fruitful results; return from a rewarding journey
满园春色,a garden full of the beauty of spring; the beauties of spring please the eye everywhere
漆黑一团,pitch-dark; utterly hopeless
漏洞百出,full of loopholes; 
漠不关心,indifferent and apathetic; nonchalant
漠然置之,show no concern for; hold loose
漫不经心,careless; inattentively
漫山遍野,all over the mountains and plains; over hill and dale
洁身自好,lead an honest and clean life; mind one's own business in order to keep out of trouble
泼妇骂街,like a shrew shouting abuse in the street; 
潜移默化,be unconsciously influenced; a silent transforming influence
溃不成军,be completely defeated; be put to rout
激浊扬清,eliminate vice and exalt virtue; remove evil-doers and promote the pure
滥竽充数,just to fill up a vacancy; act as a stop-gap
火中取栗,pull chestnuts out of the fire; be a cat's paws
火烧眉毛,a matter of the utmost urgency; an imminent crisis
火烧火燎,restless with anxiety; feeling terribly hot
火上加油,add fuel to the flames; inflame one's anger
火树银花,a display of fireworks and a sea of lanterns; fiery trees with silver flowers
灰心丧气,be utterly disheartened; despair
炙手可热,burning to the touch; the supreme arrogance of a person with great power
炯炯有神,bright piercing eyes; 
乌合之众,a motley crowd; rabble
乌有先生,Mr. Nobody - a fictitious character created by Su-Ma Hsiang Ju; 
乌烟瘴气,a foul atmosphere; pandemonium
烈火见真金,true blue will never stain; genuine gold fears no fire
烘云托月,art of using contrasting effects; provide a foil to set off a character in a literary work
烜赫一时,be far-famed for a time; shining impressive reputation for a time
烽火连天,continuous wars; war-clouds spread everywhere
焦头烂额,utterly exhausted from overwork or anxiety; black and blue
无病呻吟,make a fuss about an imaginary illness; baseless anxiety
无米之炊,make bricks without straw; cook a meal without rice
无名小卒,a nobody; nonentity
无名英雄,an unknown hero; 
无法无天,run wild and stir up trouble; lawless
无风不起浪,theres no smoke without fire; there are no waves without wind
无风起浪,make trouble out of nothing; baseless slanders
无的放矢,shoot at random; discharge one's pistol in the air
无地自容,look for a hole to crawl into; feel too ashamed to show one's face
无敌于天下,unmatched anywhere in the world; peerless
无独有偶,"not come singly but in pairs; it is not unique, but has its counterpart"
无动于衷,aloof and indifferent; unconcerned
无能为力,incapable of action; helpless
无理取闹,refuse to listen to reason; mischief-making
无论如何,whatever happens; sink or swim
无根无蒂,without foundation or support; 
无关大局,not matter very much; a side issue
无关痛痒,be completely indifferent to; irrelevant
无关宏旨,insignificant; inessential
无功受禄,get a reward without deserving it; 
无可比拟,unparalleled; incomparable
无可非议,above reproach; unimpeachable
无可奈何,have no alternative; helpless
无可厚非,give no cause for much criticism; not inexcusable
无可讳言,undeniable; there is no hiding the fact
无可置疑,without doubt; unquestionable
无可争辩,indisputable; undeniable
无可无不可,uncertain; indecisive
无孔不入,seize every opportunity; all-pervasive
无计可施,utterly without resources; at the end of one's tether
无稽之谈,baseless gossip; fiction
无济于事,useless; unhelpful
无价之宝,priceless treasure; above price
无坚不摧,invincible; be all-conquering
无精打采,be in low spirits; lackadaisical
无拘无束,free and easy; unrestrained
无穷无尽,boundless; unfailing
无隙可乘,leave no room for; no weakness to take advantage of
无懈可击,flawless; watertight
无中生有,manufacture out of thin air; fabricated
无耻之尤,brazen in the extreme; most shameless of all
无出其右,second to none; unexcelled
无事不登三宝殿,"would not go to somebody's place except on business, for help, etc.; I wouldn't come to you if I hadn't something to ask of you."
无事生非,create problems where none exists; be deliberately provocative
无伤大雅,not matter much; unimportant defects
无声无臭,obscure; unknown
无足挂齿,not worth mentioning; don't mention it
无足轻重,of little importance; footy
无所不包,all-encompassing; all-embracing
无所不能,omnipotent; almighty
无所不知,omniscient; 
无所不至,in every possible way; by every possible means
无所不在,omnipresent; ubiquitous
无所不为,stop at nothing; go all lengths
无所不用其极,stop at nothing; go to any length
无所顾忌,without scruple; unscrupulously
无所事事,have nothing to do; idleness
无所适从,with no definite plan to follow; be at sea
无所作为,be in a state of inertia; attempt nothing and accomplish nothing
无所措手足,be at a loss as to what to do; not knowing what to do
无所畏惧,utterly without fear; undaunted
无所用心,not give serious thought to anything; have an empty head
无恶不作,commit all manner of crimes; one's evil doings know no limits
无以复加,in the extreme; 
无依无靠,helpless; have no one to depend on
无忧无虑,carefree; free from care
无影无踪,vanish without a trace; clean gone
无微不至,meticulously; to the last atom
无往不利,be ever successful; all water runs to one's mill
无往不胜,invincible; ever-victorious
无妄之灾,unexpected misfortune; undeserved ill turn
无与伦比,without equal; unique
无源之水,watery without a source and a tree without roots; 
无缘无故,for no reason at all; without rhyme or reason
无庸讳言,be frank; no need for reticence
无庸赘述,it's unnecessary to go into details; 
烟消云散,disappear in a flash; turn to dust and ashes
焕然一新,take on an entirely new look; spick-and-span
煮豆燃萁,fratricidal strife; boil beans with beanstalks - reference to a fight among brothers
煮鹤焚琴,inappreciative of art or beauty; cooked the crane for meat and burned a stringed instrument for fuel
煞费苦心,laboriously; painstakingly
照本宣科,repeat what the book says; read item by item from the text
照猫画虎,imitate; copy
茕茕孑立,"standing all alone, body and shadow comforting each other; "
熙熙攘攘,bustling with activity; coming and going in crowds
熊熊烈火,raging flames; 
煽风点火,instigate; blow the coals
熟能生巧,practice makes perfect; skill comes from practice
熟视无睹,ignore; be indifferent to
热火朝天,in full swing; flaming
热气腾腾,seething with activity; steaming hot
灯火辉煌,brilliantly illuminated; ablaze with lights
灯红酒绿,scene of debauchery; bright wine banquet
燃眉之急,a matter of extreme urgency; a pressing need
燎原烈火,a prairie fire; 
燕雀处堂,"oblivious of imminent danger; swallows and sparrows nesting in the hall, unmindful of the spreading blaze"
燕巢幕上,precarious; a swallow's nest in a tent
营私舞弊,practise graft; jobbery
炉火纯青,high degree of one's technical proficiency and perfection of one's learning; the pure blue flame
争分夺秒,race against time; seize every minute and every second
争权夺利,scramble for power and profit; fight for power and wealth
争先恐后,fall over each other; vie with each other
争长论短,squabble; argue
为民请命,plead in the name of the people; plead for the people
为非作歹,break the law; perpetrate outrages
为富不仁,be rich and cruel; be one of the heartless rich
为虎傅翼,assist an evil-doer; lend support to an evil-doer like adding wings to a tiger
为虎作伥,help a villain do evil; hold a candle to the devil
为期不远,the day is not far off; 
为人作嫁,slave for other people; act on others' behalf
为丛驱雀,drive one's friends to the side of the enemy; drive the birds into the woods
为所欲为,have one's own way; act wilfully
为渊驱鱼,drive one's friends to the side of the enemy; drive the fish into deep waters
爽然若失,not know what to do; be at a loss
尔虞我诈,each trying to cheat and outwit the other; play each other false
墙倒众人推,everybody bits a man who is down; take advantage of other's frustration
片甲不留,the army is completely wiped out; not a single armored warrior remains
片言只字,fragments of writing; just a note with few words on it
片瓦无存,be razed to the ground; not a single tile remains
版版六十四,unaccommodating; rigid
牛头不对马嘴,incongruous; irrelevant
牛鬼蛇神,monsters and demons of all descriptions; ogres of all kinds
牝鸡司晨,wife being the head of the family; the grey mare is the better horse
牢不可破,unbreakable; impregnable
物腐虫生,worms breed in decaying matter; worms invest decayed matter
物换星移,things or aspects of things have changed; change of the seasons
物极必反,things always revert themselves after reaching an extreme; things which have reached their extremes turn into their opposites
物尽其用,make the best use of everything; let all things serve their proper purpose
物以类聚,birds of a feather flock together; like attracts like
特立独行,do not follow the crowd; do not drift with the tide
牵肠挂肚,be very worried about; cause deep personal concern
牵一发而动全身,a slight move in one part may affect the situation as a whole; one careless move loses the whole game
犬马之劳,be at one's beck and call; serve like a dog or a horse
犬牙交错,jigsaw-like; of jigsaw pattern
狂风暴雨,a windy downpour; tempest
狂妄自大,arrogant and conceited; 
狗急跳墙,will take desperate measures if pushed to the wall; despair gives courage to a coward
狗血喷头,let loose a stream of abuse; pour out a flood of invective
狗仗人势,like a dog threatening people on the strength of its master's power; bully others with evil force
狗嘴里吐不出象牙,a cracked bell can never sound well; a filthy mouth can't utter decent language
狗眼看人低,act like a snob; be damned snobbish
狗尾续貂,like patching up a sable coat with a dog's tail; write a deplorable sequel to a masterpiece
狐狸尾巴,cloven hoof; fox's tail - something that gives away a person's real character or evil intentions
狐假虎威,take advantage of the influence of others; bully people by flaunting one's powerful connections
狐群狗党,a gang of scoundrels; evil associates
狡兔三窟,a crafty person has more than one hideout; a wily rabbit has several exits to its burrow
狼狈不堪,in an extremely awkward position; utterly disconcerted
狼狈为奸,be partners in crime; work hand in glove with ...
狼奔豕突,run like wolves and rush like boars; infest and harass about
狼吞虎咽,wolf down; gormandize
狼心狗肺,brutal and coldblooded; ungrateful
狼子野心,"greedy, cruel and full of wild ambitions; designs of wolves and of wolfish nature"
狭路相逢,meet face to face on a narrow path; be squeezed into an ever-shrinking domain
犹豫不决,remain undecided; waver
獐头鼠目,repulsively ugly and sly looking; with the head of a buck and the eyes of a rat
独霸一方,be a local despot; lord it over a district
独步一时,set the pace for the generation; be unequalled in one's generation
独木不成林,unable to do single-handed; one swallow does not make a summer
独木难支,one person alone cannot save the situation; individual effort cannot sustain it
独夫民贼,autocrat and traitor to the people; 
独当一面,lake charge as chief of one department; take charge of a department
独断专行,decide alone and act at one's own will; decide and act arbitrarily
独揽大权,arrogate all powers to oneself; 
独立自主,on an independent basis; stand on one's own feet
独具匠心,have originality; show ingenuity
独具双眼,have exceptional insight; be able to see what others cannot
独占鳌头,head the list of successful candidates; be the champion
独出心裁,show originality; ingenuity
独善其身,attend to one's own virtue in solitude; pay attention to one's own moral uplift without thought of others
独树一帜,create a separate school; develop a school of one's own
独一无二,unmatched; unparalleled
献计献策,make suggestions; suggest ways and means for ...
玄之又玄,mystery of mysteries; extremely mysterious and abstruse
率由旧章,follow the beaten track; act in accordance with established rules
玉不琢,"jade requires chiseling - as man needs training and discipline; if jade is not cut and polished, it can not be made into anything"
玉石俱焚,good men destroyed with the bad; jade and stone both burned
玩火自焚,whoever plays with fire gets burnt; get burnt by playing with fire
玩世不恭,be cynical; a hippy
玩物丧志,play through life and have no serious ambition; sap one's aspiration by seeking pleasure
珠联璧合,a perfect pair; a happy combination
珠圆玉润,excellent singing or polished writing; round as pearls and smooth as jade
班门弄斧,show off in the presence of an old hand; teach one's grandmother how to suck eggs
现身说法,advise somebody or explain something by using one's own experience as an example; take oneself as an example
理屈词穷,fall silent when having nothing left to justify oneself; be condemned out of one's own showing
理直气壮,be self-confident on the strength of one's righteousness; be in the right and self-confident
理所当然,both natural and right; as a matter of course
琳琅满目,dazzle the eye; a feast for the eyes
瑕不掩瑜,the defects cannot obscure the virtues; blemishes do not detract from man's greatness
瑕瑜互见,have both strong and weak points; have defects as well as merits
瑞雪兆丰年,"winter snow signifies a year of good crops; a snow year, a good year"
璞玉浑金,unadorned beauty; gold-ore and unworked jade - said of one who has not been spoiled
琼楼玉宇,a magnificent building; a richly decorated jade palace
瓜田李下,be found in a suspicious position; avoid being suspected
瓜熟蒂落,at the right time things are easily managed; things will be easily settled when conditions are ripe
瓦釜雷鸣,an unworthy man in a high position; earthen pots making a lot of noise instead of the classical bells - said of bombastic politicians in power while good men are out
瓮中之鳖,a rat in a hole; trapped
瓮中捉鳖,a sure catch; go after an easy prey
甘拜下风,willingly acknowledge defeat; lower one's sail
甘之如饴,gladly endure hardships; enjoy something bitter as if it were malt sugar
甚嚣尘上,making a lot of noise; cause a temporary clamor
甜言蜜语,sweet words and honeyed phrases; smooth-tongued
生搬硬套,apply or copy mechanically; copy mechanically and apply indiscriminately
生米煮成熟饭,what's done can't be undone; the rice is already cooked
生龙活虎,lively; vivid and vigorous
生吞活剥,swallow something raw and whole; skin alive
生拉活扯,stretch the meaning; drag somebody out to do something by force as well as by persuasion
生离死别,part forever; part never to meet again
生灵涂炭,the people are plunged into an abyss of misery; people in great affliction
生龙活虎,with furious energy; be alive and kicking
生花妙笔,a gifted pen; a graphic pen
生气勃勃,full of life; spirited
生杀予夺,have somebody completely in one's power; hold power over somebody's life and property
生死存亡,life or death; life-and-death
生死攸关,life and death; life-or-death
生于忧患,"life springs from sorrow and calamity, death comes from ease and pleasure; "
用兵如神,be a superb military commander; work miracles in manoeuvring troops
男盗女娼,behave like thieves and whores; be out-and-out scoundrels
畏首畏尾,fear both the beginning and the end; be frightened all over
畏缩不前,hesitate to press forward; flinch from
留得青山在,while there is life there is hope; as long as green hills remain there'll never be a shortage of firewood
留有余地,allow for unforeseen circumstances; leave some leeway
略见一斑,get a rough idea of; catch a glimpse of
略胜一筹,slightly better; preferable
毕其功于一役,accomplish the whole task at one stroke; 
异端邪说,heretical beliefs; unorthodox opinions
异口同声,unanimously; without a dissentient voice
异乎寻常,uncommon; abnormal
异军突起,a new force suddenly coming to the fore; 
异曲同工,the same result achieved by different methods; the same meaning expressed in different words
异想天开,"have strange, fantastic ideas; fantastic"
画饼充饥,feed on illusions; eat the air
画地为牢,restrict somebody's activities to a designated area or sphere; draw a circle on the ground for a prison
画龙点睛,put the finishing touches on something; add a word or two to clinch the point
画虎类狗,attempting more than one has ability for; make a poor imitation
画虎画皮难画骨,"in drawing a tiger, you show its skin but not its bones; in knowing a man, you know his face but not his heart; "
画蛇添足,ruin the effect by adding something superfluous; fan the breezes
当头棒喝,a blow to the head; issue a strong warning
当机立断,decide on the moment; prompt a decision at the right moment
当家作主,be the master of one's own affairs; be master in one's own house
